	Kazachstania_africana	Saccharomyces_cerevisiae
OG0003199	genemark-scaffold_6-processed-gene-2.43-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.43&CDS=1-1329	YPL245W
OG0003200	genemark-scaffold_6-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.67&CDS=1-1029	YPL244C
OG0003201	genemark-scaffold_6-processed-gene-2.44-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.44&CDS=1-1752	YPL243W
OG0003202	genemark-scaffold_6-processed-gene-2.68-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.68&CDS=1-4539	YPL242C
OG0003203	snap_masked-scaffold_6-processed-gene-2.118-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.118&CDS=1-813	YPL241C
OG0003204	genemark-scaffold_6-processed-gene-2.45-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.45&CDS=1-576	YPL239W
OG0003205	genemark-scaffold_6-processed-gene-2.46-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.46&CDS=1-849	YPL237W
OG0003206	snap_masked-scaffold_6-processed-gene-2.119-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.119&CDS=1-1074	YPL236C
OG0003207	genemark-scaffold_6-processed-gene-2.47-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.47&CDS=1-1416	YPL235W
OG0003208	genemark-scaffold_6-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.71&CDS=1-495	YPL234C
OG0003209	snap_masked-scaffold_6-processed-gene-2.95-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.95&CDS=1-621	YPL233W
OG0003210	genemark-scaffold_6-processed-gene-2.50-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.50&CDS=1-5664	YPL231W
OG0003211	augustus_masked-scaffold_6-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.13&CDS=1-1482	YPL228W
OG0003212	genemark-scaffold_6-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.72&CDS=1-1008	YPL227C
OG0003213	genemark-scaffold_6-processed-gene-2.52-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.52&CDS=1-2019	YPL222W
OG0003214	augustus_masked-scaffold_6-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.17&CDS=1-1092	YJR043C
OG0003215	genemark-scaffold_6-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.75&CDS=1-2283	YJR040W
OG0003216	genemark-scaffold_6-processed-gene-2.57-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.57&CDS=1-378	YEL026W
OG0003217	snap_masked-scaffold_6-processed-gene-2.125-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.125&CDS=1-3375	YJR039W
OG0003218	snap_masked-scaffold_6-processed-gene-2.108-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.108&CDS=1-2304	YJR036C
OG0003219	maker-scaffold_6-augustus-gene-2.83-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-2.83&CDS=1-3537	YJR035W
OG0003220	genemark-scaffold_6-processed-gene-2.59-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.59&CDS=1-4062	YJR033C
OG0003221	genemark-scaffold_6-processed-gene-2.79-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.79&CDS=1-1173	YJR032W
OG0003222	genemark-scaffold_6-processed-gene-2.80-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.80&CDS=1-1392	YCR024C
OG0003223	snap_masked-scaffold_6-processed-gene-2.128-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.128&CDS=1-186	YCR020W-B
OG0003224	snap_masked-scaffold_6-processed-gene-2.110-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.110&CDS=1-207	YCR020C-A
OG0003225	genemark-scaffold_6-processed-gene-2.61-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.61&CDS=1-2802	YCR017C
OG0003226	snap_masked-scaffold_6-processed-gene-2.112-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.112&CDS=1-3171	YCR011C
OG0003227	genemark-scaffold_6-processed-gene-2.64-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.64&CDS=1-930	YNR003C
OG0003228	genemark-scaffold_6-processed-gene-3.110-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.110&CDS=1-1974	YJL206C
OG0003229	augustus_masked-scaffold_6-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.64&CDS=1-846	YJL203W
OG0003230	genemark-scaffold_6-processed-gene-3.109-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.109&CDS=1-2361	YJL204C
OG0003231	genemark-scaffold_6-processed-gene-3.112-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.112&CDS=1-1818	YJL201W
OG0003232	genemark-scaffold_6-processed-gene-3.132-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.132&CDS=1-2379	YJL200C
OG0003233	genemark-scaffold_6-processed-gene-3.114-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.114&CDS=1-3513	YJL197W
OG0003234	genemark-scaffold_6-processed-gene-3.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.115&CDS=1-1554	YJL194W
OG0003235	genemark-scaffold_6-processed-gene-3.116-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.116&CDS=1-1149	YJL193W
OG0003236	genemark-scaffold_6-processed-gene-3.134-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.134&CDS=1-690	YJL192C
OG0003237	augustus_masked-scaffold_6-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.89&CDS=1-1230	YJL187C
OG0003238	genemark-scaffold_6-processed-gene-3.118-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.118&CDS=1-2502	YCR030C
OG0003239	genemark-scaffold_6-processed-gene-3.119-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.119&CDS=1-372	YJL184W
OG0003240	genemark-scaffold_6-processed-gene-3.120-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.120&CDS=1-1266	YJL183W
OG0003241	genemark-scaffold_6-processed-gene-3.138-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.138&CDS=1-957	YJL180C
OG0003242	genemark-scaffold_6-processed-gene-3.121-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.121&CDS=1-342	YJL179W
OG0003243	genemark-scaffold_6-processed-gene-3.139-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.139&CDS=1-810	YJL178C
OG0003244	genemark-scaffold_6-processed-gene-3.140-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.140&CDS=1-2598	YJL176C
OG0003245	genemark-scaffold_6-processed-gene-3.123-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.123&CDS=1-822	YJL174W
OG0003246	genemark-scaffold_6-processed-gene-3.141-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.141&CDS=1-351	YJL173C
OG0003247	genemark-scaffold_6-processed-gene-3.124-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.124&CDS=1-1731	YJL172W
OG0003248	augustus_masked-scaffold_6-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.95&CDS=1-627	YJL170C
OG0003249	genemark-scaffold_6-processed-gene-3.143-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.143&CDS=1-2133	YJL168C
OG0003250	augustus_masked-scaffold_6-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.78&CDS=1-282	YJL166W
OG0003251	genemark-scaffold_6-processed-gene-3.146-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.146&CDS=1-1665	YJL162C
OG0003252	genemark-scaffold_6-processed-gene-3.148-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.148&CDS=1-711	YJL158C
OG0003253	augustus_masked-scaffold_6-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.100&CDS=1-2445	YJL157C
OG0003254	genemark-scaffold_6-processed-gene-3.150-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.150&CDS=1-1353	YJL155C
OG0003255	genemark-scaffold_6-processed-gene-3.151-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.151&CDS=1-1626	YJL153C
OG0003256	genemark-scaffold_6-processed-gene-3.152-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.152&CDS=1-363	YJL151C
OG0003257	genemark-scaffold_6-processed-gene-3.125-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.125&CDS=1-1770	YJL149W
OG0003258	augustus_masked-scaffold_6-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.104&CDS=1-1071	YJL147C
OG0003259	augustus_masked-scaffold_6-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.80&CDS=1-1353	YJL146W
OG0003260	genemark-scaffold_6-processed-gene-3.127-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.127&CDS=1-873	YJL145W
OG0003261	genemark-scaffold_6-processed-gene-3.129-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.129&CDS=1-477	YJL143W
OG0003262	genemark-scaffold_6-processed-gene-3.154-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.154&CDS=1-2373	YJL141C
OG0003263	genemark-scaffold_6-processed-gene-3.130-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.130&CDS=1-597	YJL140W
OG0003264	snap_masked-scaffold_6-processed-gene-3.49-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.49&CDS=1-195	YJL133C-A
OG0003265	augustus_masked-scaffold_6-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.52&CDS=1-7623	YJL130C
OG0003266	genemark-scaffold_6-processed-gene-4.100-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.100&CDS=1-456	YKL067W
OG0003267	genemark-scaffold_6-processed-gene-4.121-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.121&CDS=1-555	YKL065C
OG0003268	maker-scaffold_6-snap-gene-4.145-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.145&CDS=1-2451	YKL064W
OG0003269	genemark-scaffold_6-processed-gene-4.122-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.122&CDS=1-381	YKL063C
OG0003270	snap_masked-scaffold_6-processed-gene-4.9-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.9&CDS=1-279	YDL045W-A
OG0003271	augustus_masked-scaffold_6-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.77&CDS=1-2160	YDL045C
OG0003272	genemark-scaffold_6-processed-gene-4.125-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.125&CDS=1-816	YDL043C
OG0003273	genemark-scaffold_6-processed-gene-4.127-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.127&CDS=1-528	YOL067C
OG0003274	genemark-scaffold_6-processed-gene-4.128-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.128&CDS=1-2556	YDL040C
OG0003275	snap_masked-scaffold_6-processed-gene-4.37-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.37&CDS=1-2412	YDL035C
OG0003276	snap_masked-scaffold_6-processed-gene-4.38-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.38&CDS=1-1146	YDL033C
OG0003277	maker-scaffold_6-snap-gene-4.146-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.146&CDS=1-3531	YDL028C
OG0003278	augustus_masked-scaffold_6-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.84&CDS=1-1515	YDL020C
OG0003279	genemark-scaffold_6-processed-gene-4.133-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.133&CDS=1-2130	YAR035W
OG0003280	genemark-scaffold_6-processed-gene-4.134-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.134&CDS=1-924	YAR015W
OG0003281	snap_masked-scaffold_6-processed-gene-4.43-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.43&CDS=1-681	YDL018C
OG0003282	genemark-scaffold_6-processed-gene-4.109-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.109&CDS=1-1530	YDL017W
OG0003283	genemark-scaffold_6-processed-gene-4.111-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.111&CDS=1-1137	YBR026C
OG0003284	genemark-scaffold_6-processed-gene-4.112-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.112&CDS=1-1179	YBR025C
OG0003285	genemark-scaffold_6-processed-gene-4.113-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.113&CDS=1-2964	YBR038W
OG0003286	genemark-scaffold_6-processed-gene-4.114-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.114&CDS=1-501	YBR022W
OG0003287	genemark-scaffold_6-processed-gene-4.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.115&CDS=1-2106	YBR019C
OG0003288	genemark-scaffold_6-processed-gene-4.116-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.116&CDS=1-1308	YDL007W
OG0003289	genemark-scaffold_6-processed-gene-4.117-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.117&CDS=1-855	YDL006W
OG0003290	genemark-scaffold_6-processed-gene-4.142-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.142&CDS=1-1119	YDL005C
OG0003291	genemark-scaffold_6-processed-gene-4.118-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.118&CDS=1-312	YBL001C
OG0003292	genemark-scaffold_6-processed-gene-4.144-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.144&CDS=1-1398	YDL001W
OG0003293	genemark-scaffold_6-processed-gene-4.120-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.120&CDS=1-681	YDL002C
OG0003294	genemark-scaffold_6-processed-gene-5.86-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.86&CDS=1-7446	YBL004W
OG0003295	genemark-scaffold_6-processed-gene-5.87-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.87&CDS=1-1782	YDL003W
OG0003296	genemark-scaffold_6-processed-gene-5.88-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.88&CDS=1-867	YBR002C
OG0003297	snap_masked-scaffold_6-processed-gene-5.5-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.5&CDS=1-1335	YBR003W
OG0003298	genemark-scaffold_6-processed-gene-5.90-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.90&CDS=1-1395	YDR004W
OG0003299	genemark-scaffold_6-processed-gene-5.105-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.105&CDS=1-1134	YDR005C
OG0003300	genemark-scaffold_6-processed-gene-5.107-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.107&CDS=1-849	YJL115W
OG0003301	genemark-scaffold_6-processed-gene-5.91-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.91&CDS=1-1464	YLR033W
OG0003302	genemark-scaffold_6-processed-gene-5.108-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.108&CDS=1-1404	YLR034C
OG0003303	genemark-scaffold_6-processed-gene-5.109-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.109&CDS=1-2022	YLR035C
OG0003304	maker-scaffold_6-augustus-gene-5.0-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-5.0&CDS=1-4173	YLR039C
OG0003305	genemark-scaffold_6-processed-gene-5.93-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.93&CDS=1-1053	YDL078C
OG0003306	snap_masked-scaffold_6-processed-gene-5.14-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.14&CDS=1-1155	YMR139W
OG0003307	genemark-scaffold_6-processed-gene-5.95-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.95&CDS=1-1830	YLL019C
OG0003308	genemark-scaffold_6-processed-gene-5.114-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.114&CDS=1-3612	YLL021W
OG0003309	snap_masked-scaffold_6-processed-gene-5.17-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.17&CDS=1-849	YLL023C
OG0003310	genemark-scaffold_6-processed-gene-5.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.115&CDS=1-2229	YHL024W
OG0003311	genemark-scaffold_6-processed-gene-5.116-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.116&CDS=1-2745	YLL026W
OG0003312	genemark-scaffold_6-processed-gene-5.117-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.117&CDS=1-717	YLL027W
OG0003313	genemark-scaffold_6-processed-gene-5.118-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.118&CDS=1-1557	YCR068W
OG0003314	genemark-scaffold_6-processed-gene-5.119-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.119&CDS=1-1038	YCR066W
OG0003315	snap_masked-scaffold_6-processed-gene-5.42-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.42&CDS=1-1509	YCR065W
OG0003316	snap_masked-scaffold_6-processed-gene-5.43-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.43&CDS=1-471	YCR063W
OG0003317	genemark-scaffold_6-processed-gene-5.121-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.121&CDS=1-1782	YCR061W
OG0003318	augustus_masked-scaffold_6-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.64&CDS=1-825	YPL033C
OG0003319	genemark-scaffold_6-processed-gene-5.123-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.123&CDS=1-552	YPL034W
OG0003320	genemark-scaffold_6-processed-gene-5.101-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.101&CDS=1-819	YDL086W
OG0003321	genemark-scaffold_6-processed-gene-5.103-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.103&CDS=1-1329	YDL084W
OG0003322	snap_masked-scaffold_6-processed-gene-5.47-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.47&CDS=1-1014	YMR144W
OG0003323	snap_masked-scaffold_6-processed-gene-6.3-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.3&CDS=1-264	YLL018C-A
OG0003324	genemark-scaffold_6-processed-gene-6.108-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.108&CDS=1-1656	YLL018C
OG0003325	genemark-scaffold_6-processed-gene-6.105-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.105&CDS=1-2472	YLR309C
OG0003326	genemark-scaffold_6-processed-gene-6.111-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.111&CDS=1-1335	YLR303W
OG0003327	genemark-scaffold_6-processed-gene-6.112-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.112&CDS=1-852	YGL050W
OG0003328	genemark-scaffold_6-processed-gene-6.134-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.134&CDS=1-1215	YGL048C
OG0003329	genemark-scaffold_6-processed-gene-6.113-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.113&CDS=1-597	YGL047W
OG0003330	genemark-scaffold_6-processed-gene-6.114-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.114&CDS=1-1236	YGR159C
OG0003331	genemark-scaffold_6-processed-gene-6.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.115&CDS=1-1617	YGL045W
OG0003332	augustus_masked-scaffold_6-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.75&CDS=1-651	YGR158C
OG0003333	genemark-scaffold_6-processed-gene-6.135-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.135&CDS=1-825	YGL044C
OG0003334	genemark-scaffold_6-processed-gene-6.117-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.117&CDS=1-969	YGL043W
OG0003335	augustus_masked-scaffold_6-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.93&CDS=1-1776	YGL023C
OG0003336	genemark-scaffold_6-processed-gene-6.118-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.118&CDS=1-2211	YGL022W
OG0003337	genemark-scaffold_6-processed-gene-6.137-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.137&CDS=1-630	YGL020C
OG0003338	genemark-scaffold_6-processed-gene-6.119-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.119&CDS=1-810	YGL019W
OG0003339	genemark-scaffold_6-processed-gene-6.138-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.138&CDS=1-555	YGL018C
OG0003340	genemark-scaffold_6-processed-gene-6.120-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.120&CDS=1-1485	YGL017W
OG0003341	genemark-scaffold_6-processed-gene-6.121-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.121&CDS=1-3225	YGL016W
OG0003342	genemark-scaffold_6-processed-gene-6.122-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.122&CDS=1-993	YGR007W
OG0003343	genemark-scaffold_6-processed-gene-6.123-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.123&CDS=1-1167	YGR005C
OG0003344	snap_masked-scaffold_6-processed-gene-6.40-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.40&CDS=1-2310	YGR003W
OG0003345	genemark-scaffold_6-processed-gene-6.124-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.124&CDS=1-1596	YGR002C
OG0003346	genemark-scaffold_6-processed-gene-6.125-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.125&CDS=1-624	YAL003W
OG0003347	augustus_masked-scaffold_6-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.98&CDS=1-1824	YGL001C
OG0003348	augustus_masked-scaffold_6-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.85&CDS=1-2013	YGL004C
OG0003349	genemark-scaffold_6-processed-gene-6.144-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.144&CDS=1-3321	YGL006W
OG0003350	genemark-scaffold_6-processed-gene-6.130-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.130&CDS=1-2421	YGL014W
OG0003351	genemark-scaffold_6-processed-gene-6.146-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.146&CDS=1-756	YGL011C
OG0003352	genemark-scaffold_6-processed-gene-6.147-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.147&CDS=1-2310	YGL009C
OG0003353	genemark-scaffold_6-processed-gene-6.132-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.132&CDS=1-1158	YGR012W
OG0003354	genemark-scaffold_6-processed-gene-6.148-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.148&CDS=1-1440	YNL261W
OG0003355	augustus_masked-scaffold_6-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.111&CDS=1-861	YGR015C
OG0003356	genemark-scaffold_6-processed-gene-7.195-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.195&CDS=1-561	YGR016W
OG0003357	genemark-scaffold_6-processed-gene-7.197-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.197&CDS=1-2463	YGL027C
OG0003358	genemark-scaffold_6-processed-gene-7.198-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.198&CDS=1-1578	YGL028C
OG0003359	genemark-scaffold_6-processed-gene-7.247-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.247&CDS=1-360	YGL030W
OG0003360	snap_masked-scaffold_6-processed-gene-7.63-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.63&CDS=1-648	YGL033W
OG0003361	genemark-scaffold_6-processed-gene-7.204-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.204&CDS=1-1005	YGL035C
OG0003362	augustus_masked-scaffold_6-processed-gene-7.160-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.160&CDS=1-6030	YGR145W
OG0003363	genemark-scaffold_6-processed-gene-7.206-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.206&CDS=1-660	YGL037C
OG0003364	genemark-scaffold_6-processed-gene-7.207-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.207&CDS=1-1335	YGL038C
OG0003365	genemark-scaffold_6-processed-gene-7.253-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.253&CDS=1-789	YGR152C
OG0003366	genemark-scaffold_6-processed-gene-7.208-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.208&CDS=1-1026	YGL040C
OG0003367	snap_masked-scaffold_6-processed-gene-7.24-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.24&CDS=1-828	YGR017W
OG0003368	genemark-scaffold_6-processed-gene-7.210-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.210&CDS=1-1440	YGR019W
OG0003369	genemark-scaffold_6-processed-gene-7.254-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.254&CDS=1-357	YGR020C
OG0003370	genemark-scaffold_6-processed-gene-7.211-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.211&CDS=1-750	YGR021W
OG0003371	genemark-scaffold_6-processed-gene-7.255-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.255&CDS=1-834	YGR026W
OG0003372	genemark-scaffold_6-processed-gene-7.214-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.214&CDS=1-711	YGR024C
OG0003373	maker-scaffold_6-augustus-gene-7.6-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-7.6&CDS=1-1551	YGR028W
OG0003374	genemark-scaffold_6-processed-gene-7.257-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.257&CDS=1-471	YGR030C
OG0003375	genemark-scaffold_6-processed-gene-7.217-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.217&CDS=1-933	YLR340W
OG0003376	genemark-scaffold_6-processed-gene-7.218-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.218&CDS=1-849	YGR031W
OG0003377	genemark-scaffold_6-processed-gene-7.258-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.258&CDS=1-744	YGR033C
OG0003378	genemark-scaffold_6-processed-gene-7.259-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.259&CDS=1-795	YGR037C
OG0003379	genemark-scaffold_6-processed-gene-7.222-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.222&CDS=1-1107	YGR040W
OG0003380	snap_masked-scaffold_6-processed-gene-7.38-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.38&CDS=1-1554	YGR041W
OG0003381	genemark-scaffold_6-processed-gene-7.224-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.224&CDS=1-726	YGR042W
OG0003382	genemark-scaffold_6-processed-gene-7.262-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.262&CDS=1-1356	YGR044C
