	Candida_succiphila	Saccharomyces_cerevisiae
OG0002707	-snap-gene-13.134-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-13.134&CDS=1-2304	YHL029C
OG0002708	-processed-gene-13.56-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.56&CDS=1-1554	YLL036C
OG0002709	-processed-gene-13.76-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.76&CDS=1-768	YKL154W
OG0002710	-processed-gene-13.59-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.59&CDS=1-408	YOL012C
OG0002711	-processed-gene-13.77-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.77&CDS=1-1560	YOL013C
OG0002712	-processed-gene-13.124-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.124&CDS=1-1380	YML043C
OG0002713	-processed-gene-13.125-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.125&CDS=1-1098	YLR287C
OG0002714	-processed-gene-13.80-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.80&CDS=1-2298	YOR181W
OG0002715	-processed-gene-13.61-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.61&CDS=1-192	YLR262C-A
OG0002716	-processed-gene-13.62-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.62&CDS=1-615	YLR262C
OG0002717	-processed-gene-13.82-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.82&CDS=1-1275	YJL060W
OG0002718	-processed-gene-13.64-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.64&CDS=1-1770	YDR294C
OG0002719	-processed-gene-13.41-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.41&CDS=1-2325	YGR150C
OG0002720	-processed-gene-13.85-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.85&CDS=1-1299	YGL181W
OG0002721	-processed-gene-13.112-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.112&CDS=1-984	YOL002C
OG0002722	-processed-gene-13.86-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.86&CDS=1-2196	YGL124C
OG0002723	-processed-gene-14.90-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.90&CDS=1-1263	YJL059W
OG0002724	-processed-gene-14.91-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.91&CDS=1-1728	YLR259C
OG0002725	-processed-gene-14.93-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.93&CDS=1-2232	YKL213C
OG0002726	-processed-gene-14.94-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.94&CDS=1-1797	YGL084C
OG0002727	-processed-gene-14.26-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.26&CDS=1-690	YGL085W
OG0002728	-processed-gene-14.27-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.27&CDS=1-2145	YOR035C
OG0002729	-processed-gene-14.117-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.117&CDS=1-1629	YEL058W
OG0002730	-processed-gene-14.118-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.118&CDS=1-417	YGL087C
OG0002731	-processed-gene-14.9-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.9&CDS=1-2079	YGL086W
OG0002732	-augustus-gene-14.131-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-augustus-gene-14.131&CDS=1-1398	YNR001C
OG0002733	-processed-gene-14.98-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.98&CDS=1-2064	YOL057W
OG0002734	-processed-gene-14.119-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.119&CDS=1-1242	YDL205C
OG0002735	-processed-gene-14.100-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.100&CDS=1-2094	YLR403W
OG0002736	-processed-gene-14.102-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.102&CDS=1-2265	YDL074C
OG0002737	-processed-gene-14.103-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.103&CDS=1-5511	YBR208C
OG0002738	-snap-gene-14.46-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-14.46&CDS=1-2490	YPL072W
OG0002739	-processed-gene-14.64-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.64&CDS=1-384	YMR073C
OG0002740	-augustus-gene-14.134-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-augustus-gene-14.134&CDS=1-426	YMR074C
OG0002741	-processed-gene-14.105-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.105&CDS=1-774	YOR126C
OG0002742	-processed-gene-14.106-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.106&CDS=1-1881	YLR152C
OG0002743	-processed-gene-14.107-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.107&CDS=1-588	YDL072C
OG0002744	-processed-gene-14.124-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.124&CDS=1-1851	YLR401C
OG0002745	-processed-gene-14.108-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.108&CDS=1-1125	YLR405W
OG0002746	-processed-gene-14.20-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.20&CDS=1-1818	YDL076C
OG0002747	-processed-gene-14.110-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.110&CDS=1-1311	YLR407W
OG0002748	-processed-gene-14.111-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.111&CDS=1-3510	YDL077C
OG0002749	-processed-gene-14.128-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.128&CDS=1-2871	YLR409C
OG0002750	-processed-gene-14.129-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.129&CDS=1-2232	YLR277C
OG0002751	-processed-gene-14.113-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-14.113&CDS=1-282	YLR438C-A
OG0002752	-processed-gene-15.46-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.46&CDS=1-5007	YML059C
OG0002753	-processed-gene-15.45-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.45&CDS=1-6222	YKL182W
OG0002754	-processed-gene-15.47-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.47&CDS=1-897	YLR412W
OG0002755	-processed-gene-15.48-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.48&CDS=1-1455	YKL181W
OG0002756	-processed-gene-15.64-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.64&CDS=1-3903	YLR410W
OG0002757	-processed-gene-15.49-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.49&CDS=1-3534	YDR089W
OG0002758	-processed-gene-15.65-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.65&CDS=1-1326	YLR085C
OG0002759	-processed-gene-15.66-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.66&CDS=1-1332	YDL084W
OG0002760	-processed-gene-15.50-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.50&CDS=1-1707	YML069W
OG0002761	-processed-gene-15.67-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.67&CDS=1-1194	YLR130C
OG0002762	-processed-gene-15.68-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.68&CDS=1-2883	YLR129W
OG0002763	-processed-gene-15.69-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.69&CDS=1-792	YLR128W
OG0002764	-processed-gene-15.52-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.52&CDS=1-1887	YLR127C
OG0002765	-processed-gene-15.70-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.70&CDS=1-4263	YLR419W
OG0002766	-processed-gene-15.72-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.72&CDS=1-1134	YKL193C
OG0002767	-processed-gene-15.8-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.8&CDS=1-3699	YNL329C
OG0002768	-processed-gene-15.9-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.9&CDS=1-1746	YPL243W
OG0002769	-processed-gene-15.74-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.74&CDS=1-867	YPL237W
OG0002770	-processed-gene-15.75-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.75&CDS=1-576	YPL239W
OG0002771	-processed-gene-15.102-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.102&CDS=1-2958	YMR185W
OG0002772	-processed-gene-15.76-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.76&CDS=1-582	YAL059W
OG0002773	-augustus-gene-15.86-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-augustus-gene-15.86&CDS=1-414	YDR308C
OG0002774	-processed-gene-15.79-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.79&CDS=1-1263	YDR313C
OG0002775	-processed-gene-15.58-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.58&CDS=1-1659	YIL154C
OG0002776	-processed-gene-15.59-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.59&CDS=1-1344	YLR151C
OG0002777	-processed-gene-15.80-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.80&CDS=1-2043	YIL155C
OG0002778	-processed-gene-15.81-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.81&CDS=1-1095	YHR069C
OG0002779	-processed-gene-15.63-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.63&CDS=1-2295	YKR099W
OG0002780	-processed-gene-15.83-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-15.83&CDS=1-219	YIL156W-B
OG0002781	-processed-gene-16.0-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.0&CDS=1-1974	YKL139W
OG0002782	-processed-gene-16.2-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.2&CDS=1-1608	YHR064C
OG0002783	-processed-gene-16.103-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.103&CDS=1-2019	YOR080W
OG0002784	-processed-gene-16.128-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.128&CDS=1-180	YHR072W-A
OG0002785	-processed-gene-16.9-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.9&CDS=1-2343	YDR320C
OG0002786	-processed-gene-16.27-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.27&CDS=1-2025	YDR311W
OG0002787	-processed-gene-16.10-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.10&CDS=1-654	YIL157C
OG0002788	-processed-gene-16.78-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.78&CDS=1-1023	YKR087C
OG0002789	-processed-gene-16.11-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.11&CDS=1-948	YOR077W
OG0002790	-processed-gene-16.30-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.30&CDS=1-2700	YKR089C
OG0002791	-processed-gene-16.32-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.32&CDS=1-2499	YKR090W
OG0002792	-processed-gene-16.33-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.33&CDS=1-846	YKR088C
OG0002793	-processed-gene-16.13-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.13&CDS=1-1230	YMR026C
OG0002794	-processed-gene-16.34-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.34&CDS=1-2256	YKL125W
OG0002795	-processed-gene-16.64-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.64&CDS=1-864	YLR414C
OG0002796	-processed-gene-16.16-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.16&CDS=1-504	YPR098C
OG0002797	-processed-gene-16.66-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.66&CDS=1-423	YPR100W
OG0002798	-processed-gene-16.37-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.37&CDS=1-1185	YCL029C
OG0002799	-processed-gene-16.38-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.38&CDS=1-2595	YCL030C
OG0002800	-processed-gene-16.87-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.87&CDS=1-1389	YDR289C
OG0002801	-processed-gene-16.18-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.18&CDS=1-714	YGR167W
OG0002802	-snap-gene-16.50-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-16.50&CDS=1-2598	YOL051W
OG0002803	-processed-gene-16.20-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.20&CDS=1-2604	YBR114W
OG0002804	-processed-gene-16.40-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.40&CDS=1-4242	YBR115C
OG0002805	-processed-gene-16.89-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.89&CDS=1-486	YPR073C
OG0002806	-processed-gene-16.43-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.43&CDS=1-645	YJL063C
OG0002807	-processed-gene-16.44-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.44&CDS=1-981	YBR265W
OG0002808	-processed-gene-16.23-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.23&CDS=1-993	YDR460W
OG0002809	-processed-gene-16.147-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.147&CDS=1-2772	YBR281C
OG0002810	-processed-gene-16.95-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.95&CDS=1-2301	YDR306C
OG0002811	-processed-gene-16.47-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.47&CDS=1-1560	YLR004C
OG0002812	-processed-gene-16.48-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.48&CDS=1-528	YLR370C
OG0002813	-processed-gene-16.25-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-16.25&CDS=1-4599	YLR371W
OG0002814	-processed-gene-17.1-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.1&CDS=1-738	YGR235C
OG0002815	-processed-gene-17.54-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.54&CDS=1-3162	YOL098C
OG0002816	-processed-gene-17.55-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.55&CDS=1-1266	YGR257C
OG0002817	-processed-gene-17.3-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.3&CDS=1-4425	YHR186C
OG0002818	-processed-gene-17.101-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.101&CDS=1-897	YJL006C
OG0002819	-processed-gene-17.119-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.119&CDS=1-1065	YJL031C
OG0002820	-processed-gene-17.58-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.58&CDS=1-669	YJL030W
OG0002821	-processed-gene-17.59-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.59&CDS=1-642	YKL142W
OG0002822	-processed-gene-17.78-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.78&CDS=1-1020	YKL151C
OG0002823	-processed-gene-17.104-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.104&CDS=1-915	YKL150W
OG0002824	-processed-gene-17.61-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.61&CDS=1-1404	YKL149C
OG0002825	-processed-gene-17.62-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.62&CDS=1-1350	YKL145W
OG0002826	-processed-gene-17.79-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.79&CDS=1-603	YKL144C
OG0002827	-processed-gene-17.80-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.80&CDS=1-1989	YDR496C
OG0002828	-processed-gene-17.81-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.81&CDS=1-1917	YKL148C
OG0002829	-processed-gene-17.83-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.83&CDS=1-1059	YDL006W
OG0002830	-augustus-gene-17.47-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-augustus-gene-17.47&CDS=1-1986	YDL007W
OG0002831	-processed-gene-17.63-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.63&CDS=1-2232	YBR142W
OG0002832	-processed-gene-17.86-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.86&CDS=1-1302	YBR143C
OG0002833	-processed-gene-17.64-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.64&CDS=1-1572	YGR083C
OG0002834	-processed-gene-17.87-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.87&CDS=1-2130	YOR014W
OG0002835	-processed-gene-17.88-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.88&CDS=1-582	YLR251W
OG0002836	-processed-gene-17.65-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.65&CDS=1-927	YGR086C
OG0002837	-processed-gene-17.67-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.67&CDS=1-2037	YDL164C
OG0002838	-processed-gene-17.91-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.91&CDS=1-648	YIL010W
OG0002839	-processed-gene-17.72-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.72&CDS=1-1023	YPR176C
OG0002840	-processed-gene-17.93-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.93&CDS=1-2163	YPR175W
OG0002841	-processed-gene-17.25-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-17.25&CDS=1-3675	YHR073W
OG0002842	-processed-gene-18.59-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.59&CDS=1-570	YJR012C
OG0002843	-processed-gene-18.60-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.60&CDS=1-2706	YNL221C
OG0002844	-processed-gene-18.61-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.61&CDS=1-1590	YHR030C
OG0002845	-processed-gene-18.57-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.57&CDS=1-1947	YPL254W
OG0002846	-processed-gene-18.78-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.78&CDS=1-1155	YLR321C
OG0002847	-snap-gene-18.109-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-18.109&CDS=1-600	YAL003W
OG0002848	-processed-gene-18.64-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.64&CDS=1-3057	YHR027C
OG0002849	-processed-gene-18.80-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.80&CDS=1-1449	YHR025W
OG0002850	-processed-gene-18.65-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.65&CDS=1-1509	YHR024C
OG0002851	-processed-gene-18.82-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.82&CDS=1-456	YHR051W
OG0002852	-processed-gene-18.84-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.84&CDS=1-744	YKL152C
OG0002853	-processed-gene-18.67-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.67&CDS=1-2139	YJL041W
OG0002854	-processed-gene-18.85-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.85&CDS=1-1887	YJL044C
OG0002855	-processed-gene-18.86-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.86&CDS=1-4161	YJL042W
OG0002856	-processed-gene-18.89-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.89&CDS=1-2622	YCR077C
OG0002857	-processed-gene-18.90-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.90&CDS=1-1008	YNR035C
OG0002858	-processed-gene-18.91-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.91&CDS=1-447	YNR036C
OG0002859	-processed-gene-18.69-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.69&CDS=1-507	YKL192C
OG0002860	-processed-gene-18.92-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.92&CDS=1-1998	YNR038W
OG0002861	-processed-gene-18.132-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.132&CDS=1-1491	YCR079W
OG0002862	-processed-gene-18.94-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.94&CDS=1-273	YNR037C
OG0002863	-processed-gene-18.97-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.97&CDS=1-987	YIL041W
OG0002864	-snap-gene-18.115-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-18.115&CDS=1-2127	YGL045W
OG0002865	-processed-gene-18.158-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.158&CDS=1-645	YPR124W
OG0002866	-processed-gene-18.73-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.73&CDS=1-1494	YGR149W
OG0002867	-processed-gene-18.74-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.74&CDS=1-984	YBR251W
OG0002868	-processed-gene-18.100-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.100&CDS=1-1425	YIR004W
OG0002869	-processed-gene-18.101-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.101&CDS=1-753	YER010C
OG0002870	-processed-gene-18.102-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-18.102&CDS=1-609	YPL051W
OG0002871	-processed-gene-0.86-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.86&CDS=1-1131	YHR112C
OG0002872	-processed-gene-0.87-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.87&CDS=1-1944	YDR333C
OG0002873	-processed-gene-0.88-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.88&CDS=1-936	YJR077C
OG0002874	-processed-gene-0.109-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.109&CDS=1-957	YKL024C
OG0002875	-processed-gene-0.110-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.110&CDS=1-786	YIR035C
OG0002876	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.90&CDS=1-2271	YKL025C
OG0002877	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.92&CDS=1-1365	YHR005C
OG0002878	-processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.93&CDS=1-1029	YHR071W
