	Lachancea_kluyveri	Saccharomyces_cerevisiae
OG0003732	snap_masked-SAKL0H-processed-gene-7.86-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-7.86&CDS=1-1965	YPL104W
OG0003733	augustus_masked-SAKL0H-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.23&CDS=1-945	YBR176W
OG0003734	augustus_masked-SAKL0H-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.45&CDS=1-1407	YPL103C
OG0003735	augustus_masked-SAKL0H-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.24&CDS=1-1392	YPL101W
OG0003736	augustus_masked-SAKL0H-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.25&CDS=1-1206	YPL100W
OG0003737	augustus_masked-SAKL0H-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.46&CDS=1-507	YPL099C
OG0003738	augustus_masked-SAKL0H-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.47&CDS=1-342	YPL098C
OG0003739	maker-SAKL0H-snap-gene-7.56-mRNA-1_1&gene=maker-SAKL0H-snap-gene-7.56&CDS=1-2379	YPL097W
OG0003740	augustus_masked-SAKL0H-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.48&CDS=1-1362	YBR177C
OG0003741	augustus_masked-SAKL0H-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.49&CDS=1-2496	YBR179C
OG0003742	augustus_masked-SAKL0H-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.50&CDS=1-732	YPL094C
OG0003743	maker-SAKL0H-snap-gene-8.48-mRNA-1_1&gene=maker-SAKL0H-snap-gene-8.48&CDS=1-3576	YPL093W
OG0003744	augustus_masked-SAKL0H-processed-gene-8.2-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.2&CDS=1-1296	YPL092W
OG0003745	augustus_masked-SAKL0H-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.3&CDS=1-1401	YPL091W
OG0003746	maker-SAKL0H-augustus-gene-8.47-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-8.47&CDS=1-1668	YBR182C
OG0003747	augustus_masked-SAKL0H-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.7&CDS=1-954	YPL087W
OG0003748	augustus_masked-SAKL0H-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.26&CDS=1-1671	YPL086C
OG0003749	augustus_masked-SAKL0H-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.10&CDS=1-7062	YPL085W
OG0003750	augustus_masked-SAKL0H-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.27&CDS=1-834	YBR185C
OG0003751	augustus_masked-SAKL0H-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.11&CDS=1-2526	YPL084W
OG0003752	augustus_masked-SAKL0H-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.28&CDS=1-1401	YPL083C
OG0003753	maker-SAKL0H-augustus-gene-8.43-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-8.43&CDS=1-2460	YBR186W
OG0003754	augustus_masked-SAKL0H-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.30&CDS=1-5586	YPL082C
OG0003755	augustus_masked-SAKL0H-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.16&CDS=1-1110	YBR192W
OG0003756	augustus_masked-SAKL0H-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.31&CDS=1-657	YBR193C
OG0003757	snap_masked-SAKL0H-processed-gene-8.72-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.72&CDS=1-411	YBR194W
OG0003758	augustus_masked-SAKL0H-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.32&CDS=1-708	YPL078C
OG0003759	augustus_masked-SAKL0H-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.33&CDS=1-1248	YBR195C
OG0003760	augustus_masked-SAKL0H-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.34&CDS=1-1665	YBR196C
OG0003761	augustus_masked-SAKL0H-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.35&CDS=1-405	YPL077C
OG0003762	augustus_masked-SAKL0H-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.37&CDS=1-2247	YBR198C
OG0003763	snap_masked-SAKL0H-processed-gene-8.73-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.73&CDS=1-1776	YPL075W
OG0003764	augustus_masked-SAKL0H-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.20&CDS=1-1434	YBR199W
OG0003765	augustus_masked-SAKL0H-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.21&CDS=1-3951	YBR200W
OG0003766	snap_masked-SAKL0H-processed-gene-8.95-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.95&CDS=1-456	YPL071C
OG0003767	augustus_masked-SAKL0H-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.22&CDS=1-1542	YPL070W
OG0003768	augustus_masked-SAKL0H-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.39&CDS=1-960	YPL069C
OG0003769	snap_masked-SAKL0H-processed-gene-8.79-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.79&CDS=1-630	YBR201W
OG0003770	snap_masked-SAKL0H-processed-gene-8.98-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.98&CDS=1-630	YPL067C
OG0003771	augustus_masked-SAKL0H-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.41&CDS=1-2652	YBR203W
OG0003772	augustus_masked-SAKL0H-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-8.42&CDS=1-1434	YPL063W
OG0003773	snap_masked-SAKL0H-processed-gene-8.80-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.80&CDS=1-963	YPL064C
OG0003774	augustus_masked-SAKL0H-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.114&CDS=1-717	YPL065W
OG0003775	snap_masked-SAKL0H-processed-gene-9.52-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.52&CDS=1-1269	YPL066W
OG0003776	snap_masked-SAKL0H-processed-gene-9.53-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.53&CDS=1-2538	YBR202W
OG0003777	snap_masked-SAKL0H-processed-gene-9.55-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.55&CDS=1-1032	YBR204C
OG0003778	snap_masked-SAKL0H-processed-gene-9.49-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.49&CDS=1-1086	YGR263C
OG0003779	augustus_masked-SAKL0H-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.119&CDS=1-1176	YPL060W
OG0003780	augustus_masked-SAKL0H-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.120&CDS=1-1278	YBR207W
OG0003781	augustus_masked-SAKL0H-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.135&CDS=1-5490	YBR208C
OG0003782	augustus_masked-SAKL0H-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.121&CDS=1-429	YPL059W
OG0003783	snap_masked-SAKL0H-processed-gene-9.81-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.81&CDS=1-186	YBR162W-A
OG0003784	augustus_masked-SAKL0H-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.122&CDS=1-1401	YBR162C
OG0003785	augustus_masked-SAKL0H-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.138&CDS=1-1092	YPL057C
OG0003786	maker-SAKL0H-snap-gene-9.107-mRNA-1_1&gene=maker-SAKL0H-snap-gene-9.107&CDS=1-1956	YBR160W
OG0003787	snap_masked-SAKL0H-processed-gene-9.85-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.85&CDS=1-810	YPL055C
OG0003788	augustus_masked-SAKL0H-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.123&CDS=1-1365	YPL054W
OG0003789	augustus_masked-SAKL0H-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.124&CDS=1-2421	YBR156C
OG0003790	augustus_masked-SAKL0H-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.144&CDS=1-1140	YBR155W
OG0003791	augustus_masked-SAKL0H-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.146&CDS=1-831	YPR192W
OG0003792	snap_masked-SAKL0H-processed-gene-9.64-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.64&CDS=1-609	YPL052W
OG0003793	snap_masked-SAKL0H-processed-gene-9.65-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.65&CDS=1-423	YDR482C
OG0003794	snap_masked-SAKL0H-processed-gene-9.66-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.66&CDS=1-591	YPL051W
OG0003795	snap_masked-SAKL0H-processed-gene-9.67-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.67&CDS=1-1644	YDR481C
OG0003796	augustus_masked-SAKL0H-processed-gene-9.147-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.147&CDS=1-1179	YPL050C
OG0003797	snap_masked-SAKL0H-processed-gene-9.92-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.92&CDS=1-1029	YPL049C
OG0003798	snap_masked-SAKL0H-processed-gene-9.69-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.69&CDS=1-1533	YDR256C
OG0003799	augustus_masked-SAKL0H-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.130&CDS=1-1467	YDR255C
OG0003800	augustus_masked-SAKL0H-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.149&CDS=1-291	YPL046C
OG0003801	augustus_masked-SAKL0H-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.131&CDS=1-2424	YPL045W
OG0003802	augustus_masked-SAKL0H-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.150&CDS=1-1323	YDR254W
OG0003803	augustus_masked-SAKL0H-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.132&CDS=1-2091	YPL043W
OG0003804	augustus_masked-SAKL0H-processed-gene-9.151-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.151&CDS=1-1791	YPL042C
OG0003805	maker-SAKL0H-augustus-gene-9.103-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-9.103&CDS=1-3513	YPL040C
OG0003806	snap_masked-SAKL0H-processed-gene-9.74-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.74&CDS=1-954	YPL039W
OG0003807	maker-SAKL0H-augustus-gene-9.104-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-9.104&CDS=1-2103	YNR056C
OG0003808	snap_masked-SAKL0H-processed-gene-9.100-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-9.100&CDS=1-666	YNR057C
OG0003809	augustus_masked-SAKL0H-processed-gene-10.7-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.7&CDS=1-2682	YPL032C
OG0003810	snap_masked-SAKL0H-processed-gene-10.97-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-10.97&CDS=1-873	YDR249C
OG0003811	maker-SAKL0H-snap-gene-10.1-mRNA-1_1&gene=maker-SAKL0H-snap-gene-10.1&CDS=1-2223	YPL031C
OG0003812	augustus_masked-SAKL0H-processed-gene-10.5-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.5&CDS=1-3660	YPL029W
OG0003813	augustus_masked-SAKL0H-processed-gene-10.6-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.6&CDS=1-1197	YPL028W
OG0003814	augustus_masked-SAKL0H-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.9&CDS=1-555	YDR248C
OG0003815	augustus_masked-SAKL0H-processed-gene-10.29-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.29&CDS=1-570	YDR246W
OG0003816	augustus_masked-SAKL0H-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.10&CDS=1-702	YPL024W
OG0003817	augustus_masked-SAKL0H-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.30&CDS=1-1932	YPL023C
OG0003818	augustus_masked-SAKL0H-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.11&CDS=1-3072	YPL022W
OG0003819	augustus_masked-SAKL0H-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.31&CDS=1-3627	YPL016W
OG0003820	augustus_masked-SAKL0H-processed-gene-10.32-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.32&CDS=1-1011	YDR245W
OG0003821	augustus_masked-SAKL0H-processed-gene-10.33-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.33&CDS=1-1719	YDR244W
OG0003822	augustus_masked-SAKL0H-processed-gene-10.12-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.12&CDS=1-1698	YDR243C
OG0003823	augustus_masked-SAKL0H-processed-gene-10.34-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.34&CDS=1-1638	YDR242W
OG0003824	augustus_masked-SAKL0H-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.35&CDS=1-1032	YDL209C
OG0003825	augustus_masked-SAKL0H-processed-gene-10.13-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.13&CDS=1-447	YDL208W
OG0003826	augustus_masked-SAKL0H-processed-gene-10.14-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.14&CDS=1-3750	YDR240C
OG0003827	augustus_masked-SAKL0H-processed-gene-10.15-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.15&CDS=1-2925	YDR238C
OG0003828	augustus_masked-SAKL0H-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.36&CDS=1-867	YDR237W
OG0003829	augustus_masked-SAKL0H-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.16&CDS=1-2076	YDL207W
OG0003830	augustus_masked-SAKL0H-processed-gene-10.17-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.17&CDS=1-1758	YDL206W
OG0003831	augustus_masked-SAKL0H-processed-gene-10.37-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.37&CDS=1-1626	YDR235W
OG0003832	augustus_masked-SAKL0H-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.38&CDS=1-993	YDL205C
OG0003833	augustus_masked-SAKL0H-processed-gene-10.39-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.39&CDS=1-2064	YDR234W
OG0003834	augustus_masked-SAKL0H-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.18&CDS=1-849	YDR233C
OG0003835	augustus_masked-SAKL0H-processed-gene-10.40-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.40&CDS=1-1662	YDR232W
OG0003836	augustus_masked-SAKL0H-processed-gene-10.41-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.41&CDS=1-1758	YDL203C
OG0003837	augustus_masked-SAKL0H-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.19&CDS=1-567	YDR231C
OG0003838	augustus_masked-SAKL0H-processed-gene-10.42-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.42&CDS=1-1365	YDR229W
OG0003839	augustus_masked-SAKL0H-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.21&CDS=1-687	YDL202W
OG0003840	augustus_masked-SAKL0H-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.22&CDS=1-843	YDL201W
OG0003841	augustus_masked-SAKL0H-processed-gene-10.45-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.45&CDS=1-894	YDL198C
OG0003842	augustus_masked-SAKL0H-processed-gene-10.23-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.23&CDS=1-1728	YDR228C
OG0003843	augustus_masked-SAKL0H-processed-gene-10.47-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.47&CDS=1-684	YDR226W
OG0003844	augustus_masked-SAKL0H-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.24&CDS=1-2049	YLR219W
OG0003845	augustus_masked-SAKL0H-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-10.26&CDS=1-885	YLR220W
OG0003846	augustus_masked-SAKL0H-processed-gene-11.0-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.0&CDS=1-579	YLR221C
OG0003847	augustus_masked-SAKL0H-processed-gene-11.1-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.1&CDS=1-2463	YLR222C
OG0003848	augustus_masked-SAKL0H-processed-gene-11.2-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.2&CDS=1-2913	YLR223C
OG0003849	augustus_masked-SAKL0H-processed-gene-11.4-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.4&CDS=1-2085	YDR221W
OG0003850	augustus_masked-SAKL0H-processed-gene-11.5-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.5&CDS=1-1425	YDR219C
OG0003851	augustus_masked-SAKL0H-processed-gene-11.6-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.6&CDS=1-1152	YLR226W
OG0003852	snap_masked-SAKL0H-processed-gene-11.78-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.78&CDS=1-1227	YLR227C
OG0003853	snap_masked-SAKL0H-processed-gene-11.60-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.60&CDS=1-3951	YDR217C
OG0003854	augustus_masked-SAKL0H-processed-gene-11.27-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.27&CDS=1-3387	YDR216W
OG0003855	augustus_masked-SAKL0H-processed-gene-11.28-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.28&CDS=1-1053	YDR214W
OG0003856	maker-SAKL0H-snap-gene-11.49-mRNA-1_1&gene=maker-SAKL0H-snap-gene-11.49&CDS=1-2169	YDR213W
OG0003857	augustus_masked-SAKL0H-processed-gene-11.30-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.30&CDS=1-1680	YDR212W
OG0003858	augustus_masked-SAKL0H-processed-gene-11.31-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.31&CDS=1-573	YLR229C
OG0003859	augustus_masked-SAKL0H-processed-gene-11.32-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.32&CDS=1-2181	YDR211W
OG0003860	augustus_masked-SAKL0H-processed-gene-11.34-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.34&CDS=1-1995	YDR208W
OG0003861	augustus_masked-SAKL0H-processed-gene-11.35-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.35&CDS=1-1392	YLR231C
OG0003862	augustus_masked-SAKL0H-processed-gene-11.11-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.11&CDS=1-1683	YDR207C
OG0003863	snap_masked-SAKL0H-processed-gene-11.88-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.88&CDS=1-2652	YDR206W
OG0003864	augustus_masked-SAKL0H-processed-gene-11.12-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.12&CDS=1-1914	YLR234W
OG0003865	augustus_masked-SAKL0H-processed-gene-11.37-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.37&CDS=1-2034	YDR205W
OG0003866	augustus_masked-SAKL0H-processed-gene-11.38-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.38&CDS=1-987	YDR204W
OG0003867	snap_masked-SAKL0H-processed-gene-11.65-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.65&CDS=1-1020	YDR202C
OG0003868	augustus_masked-SAKL0H-processed-gene-11.39-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.39&CDS=1-471	YDR201W
OG0003869	augustus_masked-SAKL0H-processed-gene-11.15-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.15&CDS=1-1392	YLR238W
OG0003870	augustus_masked-SAKL0H-processed-gene-11.40-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.40&CDS=1-954	YLR239C
OG0003871	augustus_masked-SAKL0H-processed-gene-11.16-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.16&CDS=1-1362	YDR198C
OG0003872	augustus_masked-SAKL0H-processed-gene-11.41-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.41&CDS=1-1116	YDR197W
OG0003873	augustus_masked-SAKL0H-processed-gene-11.17-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.17&CDS=1-729	YDR196C
OG0003874	snap_masked-SAKL0H-processed-gene-11.93-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.93&CDS=1-1410	YDR195W
OG0003875	genemark-SAKL0H-processed-gene-11.118-mRNA-1_1&gene=genemark-SAKL0H-processed-gene-11.118&CDS=1-1992	YDR194C
OG0003876	augustus_masked-SAKL0H-processed-gene-11.19-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.19&CDS=1-2613	YLR240W
OG0003877	augustus_masked-SAKL0H-processed-gene-11.20-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.20&CDS=1-2343	YLR241W
OG0003878	snap_masked-SAKL0H-processed-gene-11.73-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.73&CDS=1-1674	YDR192C
OG0003879	augustus_masked-SAKL0H-processed-gene-11.22-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.22&CDS=1-813	YLR243W
OG0003880	augustus_masked-SAKL0H-processed-gene-11.43-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.43&CDS=1-1146	YDR191W
OG0003881	snap_masked-SAKL0H-processed-gene-11.75-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.75&CDS=1-1383	YDR190C
OG0003882	augustus_masked-SAKL0H-processed-gene-11.44-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.44&CDS=1-3510	YDR188W
OG0003883	augustus_masked-SAKL0H-processed-gene-11.45-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.45&CDS=1-1119	YLR244C
OG0003884	augustus_masked-SAKL0H-processed-gene-11.46-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.46&CDS=1-438	YLR245C
OG0003885	augustus_masked-SAKL0H-processed-gene-11.24-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.24&CDS=1-2121	YDR186C
OG0003886	genemark-SAKL0H-processed-gene-11.125-mRNA-1_1&gene=genemark-SAKL0H-processed-gene-11.125&CDS=1-1056	YLR246W
OG0003887	augustus_masked-SAKL0H-processed-gene-11.47-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.47&CDS=1-699	YLR168C
OG0003888	snap_masked-SAKL0H-processed-gene-11.77-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-11.77&CDS=1-849	YDR184C
OG0003889	augustus_masked-SAKL0H-processed-gene-12.75-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.75&CDS=1-684	YDR183W
OG0003890	augustus_masked-SAKL0H-processed-gene-12.74-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.74&CDS=1-2475	YLR166C
OG0003891	augustus_masked-SAKL0H-processed-gene-12.76-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.76&CDS=1-1458	YDR182W
OG0003892	augustus_masked-SAKL0H-processed-gene-12.78-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.78&CDS=1-1164	YDR181C
OG0003893	augustus_masked-SAKL0H-processed-gene-12.94-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.94&CDS=1-4428	YDR180W
OG0003894	augustus_masked-SAKL0H-processed-gene-12.79-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.79&CDS=1-762	YLR165C
OG0003895	snap_masked-SAKL0H-processed-gene-12.6-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-12.6&CDS=1-492	YDR179C
OG0003896	augustus_masked-SAKL0H-processed-gene-12.95-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.95&CDS=1-498	YDR178W
OG0003897	augustus_masked-SAKL0H-processed-gene-12.81-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.81&CDS=1-1383	YLR163C
OG0003898	augustus_masked-SAKL0H-processed-gene-12.96-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.96&CDS=1-1932	YDR176W
OG0003899	augustus_masked-SAKL0H-processed-gene-12.82-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.82&CDS=1-903	YDR175C
OG0003900	augustus_masked-SAKL0H-processed-gene-12.97-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.97&CDS=1-747	YDR174W
OG0003901	snap_masked-SAKL0H-processed-gene-12.9-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-12.9&CDS=1-2508	YMR030W
OG0003902	augustus_masked-SAKL0H-processed-gene-12.85-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.85&CDS=1-1026	YDR173C
OG0003903	augustus_masked-SAKL0H-processed-gene-12.98-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.98&CDS=1-2091	YDR172W
OG0003904	augustus_masked-SAKL0H-processed-gene-12.99-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-12.99&CDS=1-1134	YDR171W
OG0003905	snap_masked-SAKL0H-processed-gene-12.12-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-12.12&CDS=1-5514	YDR170C
