	Saccharomyces_cerevisiae	yHMPu5000034990_Candida_corydali
OG0002755	YNL317W	genemark-flattened_line_5-processed-gene-3.138-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.138&CDS=1-1551
OG0002756	YNL320W	snap_masked-flattened_line_33-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.58&CDS=1-825
OG0002757	YNL321W	augustus_masked-flattened_line_33-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.18&CDS=1-3114
OG0002758	YNL322C	genemark-flattened_line_33-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-0.102&CDS=1-384
OG0002759	YNL323W	snap_masked-flattened_line_17-processed-gene-3.35-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-3.35&CDS=1-1320
OG0002760	YNL325C	snap_masked-flattened_line_63-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.38&CDS=1-2526
OG0002761	YNL328C	genemark-flattened_line_7-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.125&CDS=1-432
OG0002762	YNL329C	genemark-flattened_line_7-processed-gene-1.147-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.147&CDS=1-3507
OG0002763	YNL330C	snap_masked-flattened_line_13-processed-gene-3.36-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.36&CDS=1-1383
OG0002764	YNR001C	maker-flattened_line_19-snap-gene-2.76-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-2.76&CDS=1-1401
OG0002765	YNR003C	snap_masked-flattened_line_55-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.66&CDS=1-951
OG0002766	YNR006W	snap_masked-flattened_line_13-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.37&CDS=1-2148
OG0002767	YNR007C	snap_masked-flattened_line_41-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.62&CDS=1-807
OG0002768	YNR008W	snap_masked-flattened_line_41-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.63&CDS=1-2031
OG0002769	YNR011C	snap_masked-flattened_line_25-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.38&CDS=1-2490
OG0002770	YNR012W	snap_masked-flattened_line_25-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.59&CDS=1-1557
OG0002771	YNR013C	snap_masked-flattened_line_25-processed-gene-1.166-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.166&CDS=1-2538
OG0002772	YNR015W	snap_masked-flattened_line_51-processed-gene-0.160-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.160&CDS=1-1278
OG0002773	YNR016C	snap_masked-flattened_line_3-processed-gene-3.63-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.63&CDS=1-6726
OG0002774	YNR017W	snap_masked-flattened_line_51-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.119&CDS=1-630
OG0002775	YNR018W	snap_masked-flattened_line_5-processed-gene-4.74-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.74&CDS=1-699
OG0002776	YNR020C	snap_masked-flattened_line_61-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.42&CDS=1-732
OG0002777	YNR023W	snap_masked-flattened_line_41-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.49&CDS=1-1413
OG0002778	YNR029C	augustus_masked-flattened_line_13-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-0.21&CDS=1-1086
OG0002779	YNR032C-A	snap_masked-flattened_line_1-processed-gene-6.84-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.84&CDS=1-219
OG0002780	YNR032W	snap_masked-flattened_line_1-processed-gene-6.82-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.82&CDS=1-1143
OG0002781	YNR033W	snap_masked-flattened_line_1-processed-gene-6.107-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.107&CDS=1-2283
OG0002782	YNR036C	genemark-flattened_line_29-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.132&CDS=1-501
OG0002783	YNR037C	snap_masked-flattened_line_47-processed-gene-0.155-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.155&CDS=1-273
OG0002784	YNR038W	snap_masked-flattened_line_47-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.123&CDS=1-1767
OG0002785	YNR040W	genemark-flattened_line_29-processed-gene-1.214-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.214&CDS=1-1458
OG0002786	YNR041C	augustus_masked-flattened_line_33-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.37&CDS=1-2802
OG0002787	YNR046W	genemark-flattened_line_41-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-0.130&CDS=1-318
OG0002788	YNR050C	snap_masked-flattened_line_13-processed-gene-3.16-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.16&CDS=1-1332
OG0002789	YNR051C	genemark-flattened_line_1-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-1.18&CDS=1-1722
OG0002790	YNR052C	snap_masked-flattened_line_1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-0.50&CDS=1-1434
OG0002791	YNR053C	maker-flattened_line_1-snap-gene-0.131-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-0.131&CDS=1-1554
OG0002792	YNR054C	snap_masked-flattened_line_43-processed-gene-0.173-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.173&CDS=1-966
OG0002793	YNR055C	augustus_masked-flattened_line_25-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.29&CDS=1-2043
OG0002794	YOL001W	snap_masked-flattened_line_1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.39&CDS=1-1860
OG0002795	YOL003C	genemark-flattened_line_11-processed-gene-4.16-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-4.16&CDS=1-1146
OG0002796	YOL004W	maker-flattened_line_41-snap-gene-1.141-mRNA-1_1&gene=maker-flattened_line_41-snap-gene-1.141&CDS=1-3942
OG0002797	YOL005C	genemark-flattened_line_41-processed-gene-1.0-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-1.0&CDS=1-390
OG0002798	YOL006C	snap_masked-flattened_line_1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-0.71&CDS=1-2346
OG0002799	YOL009C	snap_masked-flattened_line_11-processed-gene-5.114-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-5.114&CDS=1-1011
OG0002800	YOL010W	snap_masked-flattened_line_39-processed-gene-1.119-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.119&CDS=1-1101
OG0002801	YOL012C	snap_masked-flattened_line_9-processed-gene-5.137-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.137&CDS=1-399
OG0002802	YOL016C	snap_masked-flattened_line_41-processed-gene-1.95-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.95&CDS=1-1251
OG0002803	YOL019W	genemark-flattened_line_7-processed-gene-5.55-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-5.55&CDS=1-1641
OG0002804	YOL021C	genemark-flattened_line_5-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-1.101&CDS=1-2967
OG0002805	YOL022C	snap_masked-flattened_line_11-processed-gene-4.131-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.131&CDS=1-1197
OG0002806	YOL023W	snap_masked-flattened_line_11-processed-gene-4.132-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.132&CDS=1-2109
OG0002807	YOL026C	snap_masked-flattened_line_3-processed-gene-6.99-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.99&CDS=1-369
OG0002808	YOL030W	genemark-flattened_line_35-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.104&CDS=1-1362
OG0002809	YOL031C	snap_masked-flattened_line_47-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.98&CDS=1-1167
OG0002810	YOL032W	snap_masked-flattened_line_47-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.96&CDS=1-666
OG0002811	YOL033W	snap_masked-flattened_line_47-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.129&CDS=1-1503
OG0002812	YOL034W	snap_masked-flattened_line_3-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.52&CDS=1-3180
OG0002813	YOL038W	maker-flattened_line_3-snap-gene-6.54-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-6.54&CDS=1-726
OG0002814	YOL040C	maker-flattened_line_9-augustus-gene-5.85-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-5.85&CDS=1-1293
OG0002815	YOL041C	snap_masked-flattened_line_17-processed-gene-2.47-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.47&CDS=1-1359
OG0002816	YOL042W	snap_masked-flattened_line_7-processed-gene-6.80-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-6.80&CDS=1-1128
OG0002817	YOL048C	genemark-flattened_line_47-processed-gene-0.224-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.224&CDS=1-519
OG0002818	YOL049W	snap_masked-flattened_line_47-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.99&CDS=1-1428
OG0002819	YOL052C	snap_masked-flattened_line_15-processed-gene-2.113-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.113&CDS=1-1113
OG0002820	YOL057W	snap_masked-flattened_line_37-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.66&CDS=1-4248
OG0002821	YOL058W	snap_masked-flattened_line_3-processed-gene-3.80-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.80&CDS=1-1242
OG0002822	YOL060C	maker-flattened_line_9-snap-gene-3.48-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-3.48&CDS=1-2304
OG0002823	YOL061W	snap_masked-flattened_line_29-processed-gene-1.170-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.170&CDS=1-1326
OG0002824	YOL062C	snap_masked-flattened_line_29-processed-gene-1.171-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.171&CDS=1-1368
OG0002825	YOL064C	genemark-flattened_line_63-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.68&CDS=1-1062
OG0002826	YOL065C	snap_masked-flattened_line_15-processed-gene-2.107-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.107&CDS=1-1341
OG0002827	YOL066C	snap_masked-flattened_line_15-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.125&CDS=1-1701
OG0002828	YOL067C	snap_masked-flattened_line_5-processed-gene-2.65-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.65&CDS=1-750
OG0002829	YOL069W	snap_masked-flattened_line_15-processed-gene-3.85-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.85&CDS=1-1431
OG0002830	YOL070C	snap_masked-flattened_line_15-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.90&CDS=1-1296
OG0002831	YOL071W	snap_masked-flattened_line_5-processed-gene-2.67-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.67&CDS=1-474
OG0002832	YOL072W	snap_masked-flattened_line_21-processed-gene-2.156-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.156&CDS=1-1239
OG0002833	YOL073C	snap_masked-flattened_line_13-processed-gene-1.3-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.3&CDS=1-942
OG0002834	YOL075C	maker-flattened_line_25-augustus-gene-1.209-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.209&CDS=1-5361
OG0002835	YOL077C	snap_masked-flattened_line_5-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.78&CDS=1-864
OG0002836	YOL077W-A	augustus_masked-flattened_line_5-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-1.25&CDS=1-204
OG0002837	YOL078W	snap_masked-flattened_line_5-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.56&CDS=1-2769
OG0002838	YOL080C	snap_masked-flattened_line_5-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.57&CDS=1-819
OG0002839	YOL084W	snap_masked-flattened_line_39-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.40&CDS=1-2808
OG0002840	YOL086W-A	snap_masked-flattened_line_5-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.63&CDS=1-333
OG0002841	YOL087C	genemark-flattened_line_5-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.128&CDS=1-3282
OG0002842	YOL090W	snap_masked-flattened_line_27-processed-gene-1.269-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.269&CDS=1-2601
OG0002843	YOL094C	snap_masked-flattened_line_33-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.71&CDS=1-945
OG0002844	YOL095C	augustus_masked-flattened_line_33-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.24&CDS=1-1365
OG0002845	YOL096C	snap_masked-flattened_line_23-processed-gene-2.87-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.87&CDS=1-924
OG0002846	YOL097C	snap_masked-flattened_line_5-processed-gene-1.80-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.80&CDS=1-1284
OG0002847	YOL098C	snap_masked-flattened_line_9-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.83&CDS=1-3084
OG0002848	YOL102C	snap_masked-flattened_line_11-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.20&CDS=1-747
OG0002849	YOL114C	maker-flattened_line_29-augustus-gene-1.174-mRNA-1_1&gene=maker-flattened_line_29-augustus-gene-1.174&CDS=1-1110
OG0002850	YOL122C	snap_masked-flattened_line_41-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.52&CDS=1-1533
OG0002851	YOL123W	genemark-flattened_line_13-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.95&CDS=1-1335
OG0002852	YOL124C	genemark-flattened_line_13-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.110&CDS=1-1311
OG0002853	YOL125W	snap_masked-flattened_line_3-processed-gene-4.46-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.46&CDS=1-1221
OG0002854	YOL127W	snap_masked-flattened_line_1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-2.58&CDS=1-1089
OG0002855	YOL129W	genemark-flattened_line_1-processed-gene-2.95-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-2.95&CDS=1-537
OG0002856	YOL132W	genemark-flattened_line_27-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.39&CDS=1-1353
OG0002857	YOL133W	snap_masked-flattened_line_49-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.127&CDS=1-363
OG0002858	YOL135C	genemark-flattened_line_49-processed-gene-0.206-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.206&CDS=1-654
OG0002859	YOL136C	genemark-flattened_line_5-processed-gene-3.160-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.160&CDS=1-1059
OG0002860	YOL137W	snap_masked-flattened_line_3-processed-gene-6.91-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.91&CDS=1-1272
OG0002861	YOL138C	snap_masked-flattened_line_33-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.84&CDS=1-1923
OG0002862	YOL139C	snap_masked-flattened_line_33-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.55&CDS=1-621
OG0002863	YOL140W	augustus_masked-flattened_line_1-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-6.44&CDS=1-7578
OG0002864	YOL143C	maker-flattened_line_29-snap-gene-1.82-mRNA-1_1&gene=maker-flattened_line_29-snap-gene-1.82&CDS=1-498
OG0002865	YOL144W	snap_masked-flattened_line_55-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.74&CDS=1-1692
OG0002866	YOL145C	snap_masked-flattened_line_9-processed-gene-2.12-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.12&CDS=1-3162
OG0002867	YOL146W	snap_masked-flattened_line_9-processed-gene-2.35-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.35&CDS=1-519
OG0002868	YOL147C	snap_masked-flattened_line_55-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.73&CDS=1-693
OG0002869	YOL149W	maker-flattened_line_29-augustus-gene-1.183-mRNA-1_1&gene=maker-flattened_line_29-augustus-gene-1.183&CDS=1-2658
OG0002870	YOL152W	augustus_masked-flattened_line_9-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.69&CDS=1-3492
OG0002871	YOL154W	genemark-flattened_line_1-processed-gene-3.114-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.114&CDS=1-966
OG0002872	YOR001W	augustus_masked-flattened_line_29-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.53&CDS=1-2733
OG0002873	YOR002W	genemark-flattened_line_3-processed-gene-2.104-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.104&CDS=1-1434
OG0002874	YOR004W	snap_masked-flattened_line_3-processed-gene-1.29-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.29&CDS=1-2436
OG0002875	YOR005C	snap_masked-flattened_line_17-processed-gene-1.115-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.115&CDS=1-2811
OG0002876	YOR006C	snap_masked-flattened_line_17-processed-gene-1.144-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.144&CDS=1-870
OG0002877	YOR007C	genemark-flattened_line_7-processed-gene-5.30-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-5.30&CDS=1-987
OG0002878	YOR017W	genemark-flattened_line_5-processed-gene-3.161-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.161&CDS=1-2046
OG0002879	YOR018W	augustus_masked-flattened_line_7-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-5.82&CDS=1-3336
OG0002880	YOR021C	maker-flattened_line_7-snap-gene-0.121-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-0.121&CDS=1-2760
OG0002881	YOR023C	snap_masked-flattened_line_33-processed-gene-1.221-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.221&CDS=1-1137
OG0002882	YOR026W	snap_masked-flattened_line_15-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.61&CDS=1-1044
OG0002883	YOR027W	snap_masked-flattened_line_15-processed-gene-3.110-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.110&CDS=1-1731
OG0002884	YOR032C	snap_masked-flattened_line_15-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.70&CDS=1-711
OG0002885	YOR035C	snap_masked-flattened_line_7-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.35&CDS=1-2190
OG0002886	YOR036W	snap_masked-flattened_line_25-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.41&CDS=1-858
OG0002887	YOR037W	snap_masked-flattened_line_43-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.101&CDS=1-1548
OG0002888	YOR038C	snap_masked-flattened_line_43-processed-gene-0.149-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.149&CDS=1-2859
OG0002889	YOR039W	snap_masked-flattened_line_43-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.102&CDS=1-849
OG0002890	YOR042W	snap_masked-flattened_line_29-processed-gene-1.145-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.145&CDS=1-1053
OG0002891	YOR046C	snap_masked-flattened_line_25-processed-gene-1.138-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.138&CDS=1-1521
OG0002892	YOR048C	snap_masked-flattened_line_23-processed-gene-2.60-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.60&CDS=1-2853
OG0002893	YOR051C	snap_masked-flattened_line_7-processed-gene-4.70-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.70&CDS=1-1209
OG0002894	YOR052C	snap_masked-flattened_line_7-processed-gene-4.88-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.88&CDS=1-525
OG0002895	YOR056C	snap_masked-flattened_line_13-processed-gene-3.90-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.90&CDS=1-1365
OG0002896	YOR058C	snap_masked-flattened_line_13-processed-gene-3.84-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.84&CDS=1-2325
OG0002897	YOR061W	augustus_masked-flattened_line_17-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.146&CDS=1-984
OG0002898	YOR063W	snap_masked-flattened_line_51-processed-gene-0.153-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.153&CDS=1-1164
OG0002899	YOR065W	augustus_masked-flattened_line_17-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-3.148&CDS=1-867
OG0002900	YOR067C	snap_masked-flattened_line_11-processed-gene-3.52-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.52&CDS=1-1644
OG0002901	YOR069W	snap_masked-flattened_line_1-processed-gene-7.127-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.127&CDS=1-1743
OG0002902	YOR074C	augustus_masked-flattened_line_7-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-2.39&CDS=1-1065
OG0002903	YOR075W	augustus_masked-flattened_line_11-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-4.67&CDS=1-1548
OG0002904	YOR077W	snap_masked-flattened_line_7-processed-gene-1.28-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.28&CDS=1-672
OG0002905	YOR079C	augustus_masked-flattened_line_11-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-2.109&CDS=1-735
OG0002906	YOR084W	snap_masked-flattened_line_5-processed-gene-6.138-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-6.138&CDS=1-1185
OG0002907	YOR085W	snap_masked-flattened_line_35-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-1.74&CDS=1-2859
OG0002908	YOR086C	snap_masked-flattened_line_31-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.105&CDS=1-3636
OG0002909	YOR087W	maker-flattened_line_39-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_39-snap-gene-1.0&CDS=1-5745
OG0002910	YOR090C	snap_masked-flattened_line_19-processed-gene-1.98-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.98&CDS=1-1710
OG0002911	YOR091W	snap_masked-flattened_line_49-processed-gene-0.110-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.110&CDS=1-1044
OG0002912	YOR093C	augustus_masked-flattened_line_1-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-1.103&CDS=1-4851
OG0002913	YOR094W	augustus_masked-flattened_line_49-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.65&CDS=1-525
OG0002914	YOR095C	genemark-flattened_line_49-processed-gene-0.195-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.195&CDS=1-705
OG0002915	YOR099W	snap_masked-flattened_line_49-processed-gene-0.134-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.134&CDS=1-1287
OG0002916	YOR100C	maker-flattened_line_47-snap-gene-0.74-mRNA-1_1&gene=maker-flattened_line_47-snap-gene-0.74&CDS=1-2817
OG0002917	YOR101W	snap_masked-flattened_line_41-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.125&CDS=1-756
OG0002918	YOR103C	snap_masked-flattened_line_41-processed-gene-1.92-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.92&CDS=1-498
OG0002919	YOR112W	snap_masked-flattened_line_19-processed-gene-2.109-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.109&CDS=1-2187
OG0002920	YOR113W	snap_masked-flattened_line_19-processed-gene-2.108-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.108&CDS=1-2328
OG0002921	YOR115C	snap_masked-flattened_line_11-processed-gene-5.161-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-5.161&CDS=1-1494
OG0002922	YOR116C	snap_masked-flattened_line_1-processed-gene-7.118-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.118&CDS=1-4326
OG0002923	YOR117W	snap_masked-flattened_line_1-processed-gene-7.119-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.119&CDS=1-1320
OG0002924	YOR118W	augustus_masked-flattened_line_31-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.73&CDS=1-2412
OG0002925	YOR119C	genemark-flattened_line_31-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.14&CDS=1-1479
OG0002926	YOR122C	snap_masked-flattened_line_31-processed-gene-1.202-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.202&CDS=1-378
OG0002927	YOR123C	snap_masked-flattened_line_71-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.20&CDS=1-870
OG0002928	YOR124C	genemark-flattened_line_3-processed-gene-5.84-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-5.84&CDS=1-3462
