	Candida_infanticola	Saccharomyces_cerevisiae
OG0002604	augustus_masked-LWLF01000022.1-processed-gene-14.88-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.88&CDS=1-837	YGR119C
OG0002605	augustus_masked-LWLF01000022.1-processed-gene-14.89-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.89&CDS=1-1173	YPR133C
OG0002606	augustus_masked-LWLF01000022.1-processed-gene-14.121-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.121&CDS=1-1185	YPR191W
OG0002607	augustus_masked-LWLF01000022.1-processed-gene-14.91-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.91&CDS=1-1662	YPR190C
OG0002608	genemark-LWLF01000022.1-processed-gene-14.55-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-14.55&CDS=1-2058	YDR324C
OG0002609	augustus_masked-LWLF01000022.1-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.92&CDS=1-2367	YDR325W
OG0002610	augustus_masked-LWLF01000022.1-processed-gene-14.93-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.93&CDS=1-1143	YML008C
OG0002611	augustus_masked-LWLF01000022.1-processed-gene-14.94-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.94&CDS=1-1767	YDR361C
OG0002612	augustus_masked-LWLF01000022.1-processed-gene-14.96-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.96&CDS=1-3678	YDR359C
OG0002613	augustus_masked-LWLF01000022.1-processed-gene-14.125-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.125&CDS=1-1404	YLR417W
OG0002614	augustus_masked-LWLF01000022.1-processed-gene-14.126-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.126&CDS=1-870	YOR158W
OG0002615	augustus_masked-LWLF01000022.1-processed-gene-14.127-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.127&CDS=1-1869	YNR008W
OG0002616	augustus_masked-LWLF01000022.1-processed-gene-14.128-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.128&CDS=1-2925	YPR055W
OG0002617	augustus_masked-LWLF01000022.1-processed-gene-14.130-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.130&CDS=1-840	YJL126W
OG0002618	augustus_masked-LWLF01000022.1-processed-gene-14.102-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.102&CDS=1-1272	YJL127C
OG0002619	augustus_masked-LWLF01000022.1-processed-gene-15.105-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.105&CDS=1-6642	YJL130C
OG0002620	augustus_masked-LWLF01000022.1-processed-gene-15.106-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.106&CDS=1-2169	YKL073W
OG0002621	augustus_masked-LWLF01000022.1-processed-gene-15.107-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.107&CDS=1-1146	YKL047W
OG0002622	augustus_masked-LWLF01000022.1-processed-gene-15.126-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.126&CDS=1-2049	YJL128C
OG0002623	augustus_masked-LWLF01000022.1-processed-gene-15.127-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.127&CDS=1-2385	YKR050W
OG0002624	augustus_masked-LWLF01000022.1-processed-gene-15.108-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.108&CDS=1-558	YKL095W
OG0002625	augustus_masked-LWLF01000022.1-processed-gene-15.129-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.129&CDS=1-1563	YHL032C
OG0002626	snap_masked-LWLF01000022.1-processed-gene-15.30-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-15.30&CDS=1-4359	YJL005W
OG0002627	augustus_masked-LWLF01000022.1-processed-gene-15.131-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.131&CDS=1-837	YLR351C
OG0002628	maker-LWLF01000022.1-augustus-gene-15.50-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-15.50&CDS=1-1758	YDR376W
OG0002629	genemark-LWLF01000022.1-processed-gene-15.60-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-15.60&CDS=1-2370	YHR119W
OG0002630	snap_masked-LWLF01000022.1-processed-gene-15.10-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-15.10&CDS=1-2658	YHR120W
OG0002631	augustus_masked-LWLF01000022.1-processed-gene-15.134-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.134&CDS=1-972	YNL124W
OG0002632	augustus_masked-LWLF01000022.1-processed-gene-15.135-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.135&CDS=1-453	YDR378C
OG0002633	genemark-LWLF01000022.1-processed-gene-15.62-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-15.62&CDS=1-2190	YDR159W
OG0002634	augustus_masked-LWLF01000022.1-processed-gene-15.136-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.136&CDS=1-1806	YML020W
OG0002635	augustus_masked-LWLF01000022.1-processed-gene-15.113-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.113&CDS=1-912	YDL108W
OG0002636	augustus_masked-LWLF01000022.1-processed-gene-15.114-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.114&CDS=1-975	YDL107W
OG0002637	augustus_masked-LWLF01000022.1-processed-gene-15.115-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.115&CDS=1-1050	YML018C
OG0002638	augustus_masked-LWLF01000022.1-processed-gene-15.140-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.140&CDS=1-801	YJR113C
OG0002639	augustus_masked-LWLF01000022.1-processed-gene-15.117-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.117&CDS=1-855	YDR175C
OG0002640	augustus_masked-LWLF01000022.1-processed-gene-15.118-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.118&CDS=1-873	YGR031W
OG0002641	augustus_masked-LWLF01000022.1-processed-gene-15.120-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.120&CDS=1-1491	YKL035W
OG0002642	augustus_masked-LWLF01000022.1-processed-gene-15.143-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.143&CDS=1-681	YDR196C
OG0002643	augustus_masked-LWLF01000022.1-processed-gene-15.124-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.124&CDS=1-858	YNR007C
OG0002644	augustus_masked-LWLF01000022.1-processed-gene-15.146-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.146&CDS=1-2730	YGR047C
OG0002645	augustus_masked-LWLF01000022.1-processed-gene-15.125-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.125&CDS=1-915	YGR048W
OG0002646	augustus_masked-LWLF01000022.1-processed-gene-15.148-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.148&CDS=1-987	YNL263C
OG0002647	maker-LWLF01000022.1-augustus-gene-16.160-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-16.160&CDS=1-7902	YNL262W
OG0002648	augustus_masked-LWLF01000022.1-processed-gene-16.57-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.57&CDS=1-1221	YJR084W
OG0002649	augustus_masked-LWLF01000022.1-processed-gene-16.58-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.58&CDS=1-2172	YNL021W
OG0002650	augustus_masked-LWLF01000022.1-processed-gene-16.78-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.78&CDS=1-1191	YOL061W
OG0002651	augustus_masked-LWLF01000022.1-processed-gene-16.79-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.79&CDS=1-1473	YGL164C
OG0002652	augustus_masked-LWLF01000022.1-processed-gene-16.63-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.63&CDS=1-1893	YDR172W
OG0002653	augustus_masked-LWLF01000022.1-processed-gene-16.80-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.80&CDS=1-510	YFL017C
OG0002654	augustus_masked-LWLF01000022.1-processed-gene-16.82-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.82&CDS=1-1278	YNL237W
OG0002655	augustus_masked-LWLF01000022.1-processed-gene-16.84-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.84&CDS=1-744	YNL232W
OG0002656	snap_masked-LWLF01000022.1-processed-gene-16.139-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-16.139&CDS=1-2313	YNL233W
OG0002657	augustus_masked-LWLF01000022.1-processed-gene-16.65-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.65&CDS=1-2055	YGR150C
OG0002658	augustus_masked-LWLF01000022.1-processed-gene-16.87-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.87&CDS=1-600	YDR084C
OG0002659	augustus_masked-LWLF01000022.1-processed-gene-16.88-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.88&CDS=1-282	YDR079W
OG0002660	augustus_masked-LWLF01000022.1-processed-gene-16.90-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.90&CDS=1-792	YGL166W
OG0002661	augustus_masked-LWLF01000022.1-processed-gene-16.66-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.66&CDS=1-1230	YER019W
OG0002662	augustus_masked-LWLF01000022.1-processed-gene-16.91-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.91&CDS=1-1080	YDR047W
OG0002663	snap_masked-LWLF01000022.1-processed-gene-16.119-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-16.119&CDS=1-678	YBR256C
OG0002664	augustus_masked-LWLF01000022.1-processed-gene-16.92-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.92&CDS=1-1251	YIR012W
OG0002665	augustus_masked-LWLF01000022.1-processed-gene-16.95-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.95&CDS=1-3204	YCR033W
OG0002666	augustus_masked-LWLF01000022.1-processed-gene-16.69-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.69&CDS=1-1161	YNL040W
OG0002667	augustus_masked-LWLF01000022.1-processed-gene-16.96-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.96&CDS=1-1503	YBR158W
OG0002668	augustus_masked-LWLF01000022.1-processed-gene-16.97-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.97&CDS=1-519	YNL044W
OG0002669	augustus_masked-LWLF01000022.1-processed-gene-16.98-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.98&CDS=1-1410	YKL059C
OG0002670	augustus_masked-LWLF01000022.1-processed-gene-16.99-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.99&CDS=1-1326	YMR027W
OG0002671	augustus_masked-LWLF01000022.1-processed-gene-16.71-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.71&CDS=1-1263	YMR028W
OG0002672	augustus_masked-LWLF01000022.1-processed-gene-16.73-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.73&CDS=1-2967	YLR371W
OG0002673	augustus_masked-LWLF01000022.1-processed-gene-16.74-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.74&CDS=1-1035	YCR034W
OG0002674	augustus_masked-LWLF01000022.1-processed-gene-16.102-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.102&CDS=1-1848	YPL263C
OG0002675	snap_masked-LWLF01000022.1-processed-gene-16.128-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-16.128&CDS=1-933	YCR044C
OG0002676	augustus_masked-LWLF01000022.1-processed-gene-16.103-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.103&CDS=1-1578	YEL058W
OG0002677	snap_masked-LWLF01000022.1-processed-gene-16.158-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-16.158&CDS=1-405	YGL087C
OG0002678	augustus_masked-LWLF01000022.1-processed-gene-16.105-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.105&CDS=1-1545	YNL275W
OG0002679	genemark-LWLF01000022.1-processed-gene-17.1-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.1&CDS=1-627	YGL085W
OG0002680	augustus_masked-LWLF01000022.1-processed-gene-17.62-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.62&CDS=1-1644	YGL084C
OG0002681	augustus_masked-LWLF01000022.1-processed-gene-17.58-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.58&CDS=1-1371	YKL140W
OG0002682	augustus_masked-LWLF01000022.1-processed-gene-17.59-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.59&CDS=1-2286	YLR115W
OG0002683	augustus_masked-LWLF01000022.1-processed-gene-17.61-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.61&CDS=1-1347	YLR116W
OG0002684	augustus_masked-LWLF01000022.1-processed-gene-17.86-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.86&CDS=1-1941	YLR117C
OG0002685	snap_masked-LWLF01000022.1-processed-gene-17.136-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-17.136&CDS=1-4680	YDR141C
OG0002686	augustus_masked-LWLF01000022.1-processed-gene-17.88-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.88&CDS=1-1020	YDR142C
OG0002687	augustus_masked-LWLF01000022.1-processed-gene-17.66-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.66&CDS=1-2043	YFR015C
OG0002688	augustus_masked-LWLF01000022.1-processed-gene-17.67-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.67&CDS=1-2340	YLL032C
OG0002689	augustus_masked-LWLF01000022.1-processed-gene-17.90-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.90&CDS=1-2694	YLL031C
OG0002690	augustus_masked-LWLF01000022.1-processed-gene-17.91-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.91&CDS=1-822	YAL009W
OG0002691	genemark-LWLF01000022.1-processed-gene-17.14-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.14&CDS=1-459	YEL012W
OG0002692	augustus_masked-LWLF01000022.1-processed-gene-17.92-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.92&CDS=1-2922	YCR019W
OG0002693	genemark-LWLF01000022.1-processed-gene-17.16-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.16&CDS=1-2400	YLR241W
OG0002694	genemark-LWLF01000022.1-processed-gene-17.43-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.43&CDS=1-711	YLR242C
OG0002695	augustus_masked-LWLF01000022.1-processed-gene-17.96-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.96&CDS=1-1851	YLR234W
OG0002696	augustus_masked-LWLF01000022.1-processed-gene-17.97-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.97&CDS=1-975	YGR060W
OG0002697	augustus_masked-LWLF01000022.1-processed-gene-17.98-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.98&CDS=1-804	YPR060C
OG0002698	augustus_masked-LWLF01000022.1-processed-gene-17.76-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.76&CDS=1-3618	YBR097W
OG0002699	augustus_masked-LWLF01000022.1-processed-gene-17.100-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.100&CDS=1-1515	YOR310C
OG0002700	snap_masked-LWLF01000022.1-processed-gene-17.127-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-17.127&CDS=1-642	YLR025W
OG0002701	augustus_masked-LWLF01000022.1-processed-gene-17.102-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.102&CDS=1-1035	YLR026C
OG0002702	augustus_masked-LWLF01000022.1-processed-gene-17.79-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.79&CDS=1-519	YPR028W
OG0002703	genemark-LWLF01000022.1-processed-gene-17.25-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.25&CDS=1-717	YBR185C
OG0002704	snap_masked-LWLF01000022.1-processed-gene-17.154-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-17.154&CDS=1-7053	YPL085W
OG0002705	augustus_masked-LWLF01000022.1-processed-gene-17.83-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.83&CDS=1-1629	YPL086C
OG0002706	augustus_masked-LWLF01000022.1-processed-gene-17.104-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.104&CDS=1-1086	YNL217W
OG0002707	genemark-LWLF01000022.1-processed-gene-17.54-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.54&CDS=1-639	YBR154C
OG0002708	augustus_masked-LWLF01000022.1-processed-gene-17.106-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.106&CDS=1-1755	YBL061C
OG0002709	augustus_masked-LWLF01000022.1-processed-gene-18.7-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.7&CDS=1-1041	YLR447C
OG0002710	snap_masked-LWLF01000022.1-processed-gene-18.48-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-18.48&CDS=1-1074	YML071C
OG0002711	augustus_masked-LWLF01000022.1-processed-gene-18.26-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.26&CDS=1-681	YNL265C
OG0002712	augustus_masked-LWLF01000022.1-processed-gene-18.27-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.27&CDS=1-2283	YAL053W
OG0002713	augustus_masked-LWLF01000022.1-processed-gene-18.30-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.30&CDS=1-1176	YJL183W
OG0002714	augustus_masked-LWLF01000022.1-processed-gene-18.12-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.12&CDS=1-2241	YOR346W
OG0002715	augustus_masked-LWLF01000022.1-processed-gene-18.31-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.31&CDS=1-1557	YAL038W
OG0002716	augustus_masked-LWLF01000022.1-processed-gene-18.13-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.13&CDS=1-453	YKL067W
OG0002717	augustus_masked-LWLF01000022.1-processed-gene-18.15-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.15&CDS=1-1005	YHR002W
OG0002718	augustus_masked-LWLF01000022.1-processed-gene-18.32-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.32&CDS=1-1326	YKL027W
OG0002719	snap_masked-LWLF01000022.1-processed-gene-18.81-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-18.81&CDS=1-1626	YPR155C
OG0002720	genemark-LWLF01000022.1-processed-gene-18.132-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-18.132&CDS=1-1581	YDL057W
OG0002721	augustus_masked-LWLF01000022.1-processed-gene-18.37-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.37&CDS=1-1317	YPL184C
OG0002722	augustus_masked-LWLF01000022.1-processed-gene-18.17-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.17&CDS=1-1683	YDR109C
OG0002723	maker-LWLF01000022.1-snap-gene-18.2-mRNA-1_1&gene=maker-LWLF01000022.1-snap-gene-18.2&CDS=1-2760	YNL250W
OG0002724	augustus_masked-LWLF01000022.1-processed-gene-18.18-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.18&CDS=1-2217	YNL247W
OG0002725	snap_masked-LWLF01000022.1-processed-gene-18.63-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-18.63&CDS=1-2580	YLR084C
OG0002726	snap_masked-LWLF01000022.1-processed-gene-18.64-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-18.64&CDS=1-498	YOR163W
OG0002727	augustus_masked-LWLF01000022.1-processed-gene-18.40-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.40&CDS=1-876	YOR164C
OG0002728	augustus_masked-LWLF01000022.1-processed-gene-18.41-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.41&CDS=1-1473	YOR175C
OG0002729	augustus_masked-LWLF01000022.1-processed-gene-18.20-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.20&CDS=1-1101	YOR176W
OG0002730	augustus_masked-LWLF01000022.1-processed-gene-18.22-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.22&CDS=1-2448	YER061C
OG0002731	snap_masked-LWLF01000022.1-processed-gene-18.69-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-18.69&CDS=1-5406	YGR217W
OG0002732	augustus_masked-LWLF01000022.1-processed-gene-18.43-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.43&CDS=1-330	YGR215W
OG0002733	augustus_masked-LWLF01000022.1-processed-gene-18.44-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.44&CDS=1-2256	YNL313C
OG0002734	genemark-LWLF01000022.1-processed-gene-18.141-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-18.141&CDS=1-435	YOL149W
OG0002735	augustus_masked-LWLF01000022.1-processed-gene-19.54-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.54&CDS=1-852	YGR132C
OG0002736	augustus_masked-LWLF01000022.1-processed-gene-19.49-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.49&CDS=1-1086	YPL151C
OG0002737	augustus_masked-LWLF01000022.1-processed-gene-19.50-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.50&CDS=1-1254	YOR244W
OG0002738	augustus_masked-LWLF01000022.1-processed-gene-19.52-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.52&CDS=1-3069	YKL205W
OG0002739	augustus_masked-LWLF01000022.1-processed-gene-19.56-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.56&CDS=1-906	YPL173W
OG0002740	maker-LWLF01000022.1-augustus-gene-19.93-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-19.93&CDS=1-1935	YGR195W
OG0002741	genemark-LWLF01000022.1-processed-gene-19.122-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-19.122&CDS=1-762	YHR062C
OG0002742	augustus_masked-LWLF01000022.1-processed-gene-19.57-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.57&CDS=1-1281	YHR135C
OG0002743	augustus_masked-LWLF01000022.1-processed-gene-19.75-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.75&CDS=1-1182	YOR025W
OG0002744	genemark-LWLF01000022.1-processed-gene-19.111-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-19.111&CDS=1-1710	YKR002W
OG0002745	augustus_masked-LWLF01000022.1-processed-gene-19.80-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.80&CDS=1-1263	YDR257C
OG0002746	genemark-LWLF01000022.1-processed-gene-19.112-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-19.112&CDS=1-1125	YEL056W
OG0002747	augustus_masked-LWLF01000022.1-processed-gene-19.66-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.66&CDS=1-1104	YKR051W
OG0002748	augustus_masked-LWLF01000022.1-processed-gene-19.86-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.86&CDS=1-4692	YMR162C
OG0002749	augustus_masked-LWLF01000022.1-processed-gene-19.67-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.67&CDS=1-1038	YDR527W
OG0002750	augustus_masked-LWLF01000022.1-processed-gene-19.87-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.87&CDS=1-1506	YNL027W
OG0002751	augustus_masked-LWLF01000022.1-processed-gene-19.69-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.69&CDS=1-3102	YJL050W
OG0002752	augustus_masked-LWLF01000022.1-processed-gene-19.89-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.89&CDS=1-1113	YNL181W
OG0002753	augustus_masked-LWLF01000022.1-processed-gene-19.70-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-19.70&CDS=1-1197	YNL182C
OG0002754	augustus_masked-LWLF01000022.1-processed-gene-20.134-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.134&CDS=1-3390	YDR293C
OG0002755	genemark-LWLF01000022.1-processed-gene-20.11-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-20.11&CDS=1-675	YJL121C
OG0002756	augustus_masked-LWLF01000022.1-processed-gene-20.137-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.137&CDS=1-2316	YMR287C
OG0002757	genemark-LWLF01000022.1-processed-gene-20.14-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-20.14&CDS=1-4206	YOR336W
OG0002758	augustus_masked-LWLF01000022.1-processed-gene-20.139-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.139&CDS=1-768	YNR054C
OG0002759	augustus_masked-LWLF01000022.1-processed-gene-20.140-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.140&CDS=1-5220	YOR335C
OG0002760	maker-LWLF01000022.1-augustus-gene-20.1-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-20.1&CDS=1-1506	YJR121W
OG0002761	augustus_masked-LWLF01000022.1-processed-gene-20.164-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.164&CDS=1-834	YKR088C
OG0002762	augustus_masked-LWLF01000022.1-processed-gene-20.166-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.166&CDS=1-564	YBR106W
OG0002763	augustus_masked-LWLF01000022.1-processed-gene-20.167-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.167&CDS=1-972	YIL039W
OG0002764	augustus_masked-LWLF01000022.1-processed-gene-20.143-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.143&CDS=1-4236	YGR116W
OG0002765	augustus_masked-LWLF01000022.1-processed-gene-20.168-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.168&CDS=1-1275	YML096W
OG0002766	augustus_masked-LWLF01000022.1-processed-gene-20.144-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.144&CDS=1-3279	YPL226W
