	Naumovozyma_dairenensis	Saccharomyces_cerevisiae
OG0003035	augustus_masked-NC_016485.2-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-1.22&CDS=1-957	YFR047C
OG0003036	augustus_masked-NC_016485.2-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.45&CDS=1-762	YGR135W
OG0003037	augustus_masked-NC_016485.2-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.46&CDS=1-3837	YGR134W
OG0003038	augustus_masked-NC_016485.2-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.47&CDS=1-489	YGR133W
OG0003039	augustus_masked-NC_016485.2-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.41&CDS=1-888	YGR132C
OG0003040	augustus_masked-NC_016485.2-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.42&CDS=1-1968	YGR130C
OG0003041	snap_masked-NC_016485.2-processed-gene-2.8-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-2.8&CDS=1-639	YGR129W
OG0003042	augustus_masked-NC_016485.2-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.43&CDS=1-2100	YGR128C
OG0003043	augustus_masked-NC_016485.2-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.60&CDS=1-996	YGR127W
OG0003044	genemark-NC_016485.2-processed-gene-2.99-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-2.99&CDS=1-702	YGR126W
OG0003045	genemark-NC_016485.2-processed-gene-2.100-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-2.100&CDS=1-3162	YGR125W
OG0003046	augustus_masked-NC_016485.2-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.62&CDS=1-1209	YGR122W
OG0003047	augustus_masked-NC_016485.2-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.50&CDS=1-789	YGR120C
OG0003048	augustus_masked-NC_016485.2-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.51&CDS=1-1761	YGR119C
OG0003049	snap_masked-NC_016485.2-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-2.11&CDS=1-1365	YGR117C
OG0003050	augustus_masked-NC_016485.2-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.64&CDS=1-1170	YPR129W
OG0003051	augustus_masked-NC_016485.2-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.65&CDS=1-1206	YGR113W
OG0003052	augustus_masked-NC_016485.2-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.66&CDS=1-1038	YGR112W
OG0003053	augustus_masked-NC_016485.2-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.67&CDS=1-1212	YGR111W
OG0003054	augustus_masked-NC_016485.2-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.53&CDS=1-1368	YGR110W
OG0003055	augustus_masked-NC_016485.2-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.55&CDS=1-912	YGR106C
OG0003056	augustus_masked-NC_016485.2-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.70&CDS=1-228	YGR105W
OG0003057	augustus_masked-NC_016485.2-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.56&CDS=1-804	YGR104C
OG0003058	augustus_masked-NC_016485.2-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.71&CDS=1-1854	YGR103W
OG0003059	augustus_masked-NC_016485.2-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.57&CDS=1-561	YGR102C
OG0003060	augustus_masked-NC_016485.2-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.72&CDS=1-552	YGR101W
OG0003061	augustus_masked-NC_016485.2-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.73&CDS=1-2883	YGR100W
OG0003062	augustus_masked-NC_016485.2-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.74&CDS=1-2118	YGR099W
OG0003063	maker-NC_016485.2-augustus-gene-2.40-mRNA-1_1&gene=maker-NC_016485.2-augustus-gene-2.40&CDS=1-5526	YGR098C
OG0003064	augustus_masked-NC_016485.2-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.76&CDS=1-981	YGR096W
OG0003065	augustus_masked-NC_016485.2-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.59&CDS=1-675	YGR095C
OG0003066	augustus_masked-NC_016485.2-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.78&CDS=1-1551	YGR093W
OG0003067	augustus_masked-NC_016485.2-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.79&CDS=1-1737	YGR092W
OG0003068	augustus_masked-NC_016485.2-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.42&CDS=1-1488	YGR091W
OG0003069	augustus_masked-NC_016485.2-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.43&CDS=1-3681	YGR090W
OG0003070	augustus_masked-NC_016485.2-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.44&CDS=1-3072	YGR089W
OG0003071	augustus_masked-NC_016485.2-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.45&CDS=1-1722	YGR088W
OG0003072	genemark-NC_016485.2-processed-gene-3.4-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-3.4&CDS=1-1005	YNL326C
OG0003073	snap_masked-NC_016485.2-processed-gene-3.109-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-3.109&CDS=1-2499	YNL327W
OG0003074	maker-NC_016485.2-augustus-gene-3.133-mRNA-1_1&gene=maker-NC_016485.2-augustus-gene-3.133&CDS=1-3747	YNL329C
OG0003075	augustus_masked-NC_016485.2-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.63&CDS=1-630	YOL146W
OG0003076	augustus_masked-NC_016485.2-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.65&CDS=1-651	YGR081C
OG0003077	augustus_masked-NC_016485.2-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.49&CDS=1-570	YGR082W
OG0003078	augustus_masked-NC_016485.2-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.66&CDS=1-2043	YGR083C
OG0003079	augustus_masked-NC_016485.2-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.67&CDS=1-1035	YGR084C
OG0003080	snap_masked-NC_016485.2-processed-gene-3.118-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-3.118&CDS=1-2733	YNL325C
OG0003081	augustus_masked-NC_016485.2-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.69&CDS=1-1302	YNL322C
OG0003082	augustus_masked-NC_016485.2-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.51&CDS=1-3021	YNL321W
OG0003083	augustus_masked-NC_016485.2-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.52&CDS=1-855	YNL320W
OG0003084	augustus_masked-NC_016485.2-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.70&CDS=1-1590	YNL318C
OG0003085	augustus_masked-NC_016485.2-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.71&CDS=1-1038	YNL316C
OG0003086	augustus_masked-NC_016485.2-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.72&CDS=1-957	YNL315C
OG0003087	augustus_masked-NC_016485.2-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.73&CDS=1-870	YBR002C
OG0003088	augustus_masked-NC_016485.2-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.53&CDS=1-861	YBR011C
OG0003089	augustus_masked-NC_016485.2-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.74&CDS=1-681	YDR007W
OG0003090	genemark-NC_016485.2-processed-gene-3.15-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-3.15&CDS=1-2217	YBR007C
OG0003091	augustus_masked-NC_016485.2-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.76&CDS=1-1497	YBR006W
OG0003092	augustus_masked-NC_016485.2-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.77&CDS=1-1602	YJL210W
OG0003093	augustus_masked-NC_016485.2-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.57&CDS=1-1371	YBR004C
OG0003094	augustus_masked-NC_016485.2-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.78&CDS=1-645	YDR002W
OG0003095	augustus_masked-NC_016485.2-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.59&CDS=1-639	YFL046W
OG0003096	augustus_masked-NC_016485.2-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.79&CDS=1-756	YFL045C
OG0003097	augustus_masked-NC_016485.2-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.60&CDS=1-639	YLR073C
OG0003098	augustus_masked-NC_016485.2-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.80&CDS=1-2154	YFL042C
OG0003099	augustus_masked-NC_016485.2-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.61&CDS=1-1899	YFL041W
OG0003100	augustus_masked-NC_016485.2-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.81&CDS=1-639	YLR066W
OG0003101	augustus_masked-NC_016485.2-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.40&CDS=1-1578	YFL040W
OG0003102	genemark-NC_016485.2-processed-gene-4.3-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-4.3&CDS=1-1278	YAR018C
OG0003103	genemark-NC_016485.2-processed-gene-4.4-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-4.4&CDS=1-2238	YAR014C
OG0003104	augustus_masked-NC_016485.2-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.42&CDS=1-2814	YBR017C
OG0003105	augustus_masked-NC_016485.2-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.46&CDS=1-666	YBR014C
OG0003106	augustus_masked-NC_016485.2-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.47&CDS=1-1338	YBR036C
OG0003107	augustus_masked-NC_016485.2-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.48&CDS=1-1104	YBR018C
OG0003108	augustus_masked-NC_016485.2-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.69&CDS=1-861	YIL003W
OG0003109	augustus_masked-NC_016485.2-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.71&CDS=1-414	YER046W
OG0003110	snap_masked-NC_016485.2-processed-gene-4.95-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-4.95&CDS=1-585	YER044C-A
OG0003111	augustus_masked-NC_016485.2-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.51&CDS=1-435	YER044C
OG0003112	augustus_masked-NC_016485.2-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.72&CDS=1-2532	YFR038W
OG0003113	augustus_masked-NC_016485.2-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.52&CDS=1-1683	YFR037C
OG0003114	augustus_masked-NC_016485.2-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.53&CDS=1-3546	YIL026C
OG0003115	augustus_masked-NC_016485.2-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.54&CDS=1-933	YIL021W
OG0003116	augustus_masked-NC_016485.2-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.55&CDS=1-1035	YIL019W
OG0003117	maker-NC_016485.2-snap-gene-4.79-mRNA-1_1&gene=maker-NC_016485.2-snap-gene-4.79&CDS=1-921	YFR032C
OG0003118	augustus_masked-NC_016485.2-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.61&CDS=1-3513	YFR031C
OG0003119	augustus_masked-NC_016485.2-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.74&CDS=1-3180	YFR030W
OG0003120	snap_masked-NC_016485.2-processed-gene-4.121-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-4.121&CDS=1-765	YEL028W
OG0003121	snap_masked-NC_016485.2-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-4.122&CDS=1-2184	YLR233C
OG0003122	augustus_masked-NC_016485.2-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.62&CDS=1-1968	YLR234W
OG0003123	augustus_masked-NC_016485.2-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.63&CDS=1-1140	YDR202C
OG0003124	snap_masked-NC_016485.2-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-4.124&CDS=1-1005	YLR239C
OG0003125	augustus_masked-NC_016485.2-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.87&CDS=1-2739	YLR240W
OG0003126	augustus_masked-NC_016485.2-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.88&CDS=1-2406	YLR241W
OG0003127	augustus_masked-NC_016485.2-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.91&CDS=1-882	YLR242C
OG0003128	augustus_masked-NC_016485.2-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.89&CDS=1-819	YLR243W
OG0003129	augustus_masked-NC_016485.2-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.90&CDS=1-1392	YDR190C
OG0003130	augustus_masked-NC_016485.2-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.92&CDS=1-1887	YDR189W
OG0003131	augustus_masked-NC_016485.2-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.93&CDS=1-1662	YDR188W
OG0003132	maker-NC_016485.2-augustus-gene-5.3-mRNA-1_1&gene=maker-NC_016485.2-augustus-gene-5.3&CDS=1-1680	YLR244C
OG0003133	augustus_masked-NC_016485.2-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.94&CDS=1-1167	YLR246W
OG0003134	augustus_masked-NC_016485.2-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.95&CDS=1-762	YLR168C
OG0003135	maker-NC_016485.2-snap-gene-5.0-mRNA-1_1&gene=maker-NC_016485.2-snap-gene-5.0&CDS=1-3315	YLR166C
OG0003136	augustus_masked-NC_016485.2-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.98&CDS=1-1389	YLR163C
OG0003137	augustus_masked-NC_016485.2-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.100&CDS=1-1413	YDR314C
OG0003138	augustus_masked-NC_016485.2-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.103&CDS=1-972	YLR151C
OG0003139	augustus_masked-NC_016485.2-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.105&CDS=1-2238	YLR149C
OG0003140	genemark-NC_016485.2-processed-gene-5.78-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-5.78&CDS=1-2964	YLR148W
OG0003141	genemark-NC_016485.2-processed-gene-5.65-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-5.65&CDS=1-267	YLR147C
OG0003142	augustus_masked-NC_016485.2-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.106&CDS=1-921	YLR146C
OG0003143	augustus_masked-NC_016485.2-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.118&CDS=1-801	YLR145W
OG0003144	augustus_masked-NC_016485.2-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.107&CDS=1-2631	YLR144C
OG0003145	augustus_masked-NC_016485.2-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.120&CDS=1-2151	YLR143W
OG0003146	snap_masked-NC_016485.2-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.39&CDS=1-1635	YLR141W
OG0003147	snap_masked-NC_016485.2-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.24&CDS=1-2439	YLR139C
OG0003148	augustus_masked-NC_016485.2-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.123&CDS=1-3126	YLR138W
OG0003149	snap_masked-NC_016485.2-processed-gene-5.42-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.42&CDS=1-1305	YLR137W
OG0003150	snap_masked-NC_016485.2-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.43&CDS=1-2406	YLR135W
OG0003151	augustus_masked-NC_016485.2-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.126&CDS=1-1812	YLR133W
OG0003152	snap_masked-NC_016485.2-processed-gene-5.26-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.26&CDS=1-900	YLR132C
OG0003153	augustus_masked-NC_016485.2-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.111&CDS=1-2382	YLR131C
OG0003154	augustus_masked-NC_016485.2-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-5.112&CDS=1-1287	YLR130C
OG0003155	maker-NC_016485.2-snap-gene-6.40-mRNA-1_1&gene=maker-NC_016485.2-snap-gene-6.40&CDS=1-3636	YLR129W
OG0003156	augustus_masked-NC_016485.2-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.43&CDS=1-2733	YLR127C
OG0003157	augustus_masked-NC_016485.2-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.44&CDS=1-765	YLR126C
OG0003158	augustus_masked-NC_016485.2-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.48&CDS=1-1983	YDR143C
OG0003159	augustus_masked-NC_016485.2-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.62&CDS=1-576	YLR119W
OG0003160	augustus_masked-NC_016485.2-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.49&CDS=1-678	YLR118C
OG0003161	augustus_masked-NC_016485.2-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.50&CDS=1-2121	YLR117C
OG0003162	augustus_masked-NC_016485.2-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.63&CDS=1-1572	YLR116W
OG0003163	augustus_masked-NC_016485.2-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.64&CDS=1-2538	YLR115W
OG0003164	augustus_masked-NC_016485.2-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.51&CDS=1-2466	YLR114C
OG0003165	augustus_masked-NC_016485.2-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.65&CDS=1-1341	YLR113W
OG0003166	augustus_masked-NC_016485.2-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.52&CDS=1-330	YDR134C
OG0003167	augustus_masked-NC_016485.2-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.66&CDS=1-531	YLR109W
OG0003168	augustus_masked-NC_016485.2-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.67&CDS=1-1209	YLR107W
OG0003169	augustus_masked-NC_016485.2-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.54&CDS=1-14883	YLR106C
OG0003170	augustus_masked-NC_016485.2-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.55&CDS=1-1140	YLR105C
OG0003171	augustus_masked-NC_016485.2-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.68&CDS=1-396	YLR104W
OG0003172	augustus_masked-NC_016485.2-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.56&CDS=1-954	YHR144C
OG0003173	augustus_masked-NC_016485.2-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.70&CDS=1-1767	YOL070C
OG0003174	augustus_masked-NC_016485.2-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.57&CDS=1-1353	YOL069W
OG0003175	augustus_masked-NC_016485.2-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.73&CDS=1-1080	YOL064C
OG0003176	augustus_masked-NC_016485.2-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.58&CDS=1-2973	YDL031W
OG0003177	augustus_masked-NC_016485.2-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.59&CDS=1-1608	YDL030W
OG0003178	augustus_masked-NC_016485.2-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.60&CDS=1-1173	YDL029W
OG0003179	snap_masked-NC_016485.2-processed-gene-6.34-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-6.34&CDS=1-2901	YOL063C
OG0003180	genemark-NC_016485.2-processed-gene-6.111-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-6.111&CDS=1-1458	YOL062C
OG0003181	augustus_masked-NC_016485.2-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.61&CDS=1-1485	YOL061W
OG0003182	augustus_masked-NC_016485.2-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.75&CDS=1-2115	YOL060C
OG0003183	augustus_masked-NC_016485.2-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.70&CDS=1-1260	YOL058W
OG0003184	augustus_masked-NC_016485.2-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.75&CDS=1-3357	YAR019C
OG0003185	snap_masked-NC_016485.2-processed-gene-7.52-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-7.52&CDS=1-1125	YFL039C
OG0003186	augustus_masked-NC_016485.2-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.88&CDS=1-630	YFL038C
OG0003187	augustus_masked-NC_016485.2-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.76&CDS=1-4062	YFL036W
OG0003188	snap_masked-NC_016485.2-processed-gene-7.54-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-7.54&CDS=1-846	YFL034C-B
OG0003189	maker-NC_016485.2-augustus-gene-7.104-mRNA-1_1&gene=maker-NC_016485.2-augustus-gene-7.104&CDS=1-3180	YFL034W
OG0003190	augustus_masked-NC_016485.2-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.91&CDS=1-1785	YLR060W
OG0003191	augustus_masked-NC_016485.2-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.92&CDS=1-5121	YFL033C
OG0003192	augustus_masked-NC_016485.2-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.78&CDS=1-954	YFL031W
OG0003193	augustus_masked-NC_016485.2-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.79&CDS=1-1128	YFL030W
OG0003194	augustus_masked-NC_016485.2-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.80&CDS=1-1407	YLR058C
OG0003195	augustus_masked-NC_016485.2-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.93&CDS=1-1140	YFL029C
OG0003196	augustus_masked-NC_016485.2-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.94&CDS=1-855	YFL028C
OG0003197	snap_masked-NC_016485.2-processed-gene-7.60-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-7.60&CDS=1-1503	YFL027C
OG0003198	genemark-NC_016485.2-processed-gene-7.12-mRNA-1_1&gene=genemark-NC_016485.2-processed-gene-7.12&CDS=1-1431	YFL026W
OG0003199	augustus_masked-NC_016485.2-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.96&CDS=1-3156	YFL025C
OG0003200	augustus_masked-NC_016485.2-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.97&CDS=1-2442	YFL024C
OG0003201	snap_masked-NC_016485.2-processed-gene-7.47-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-7.47&CDS=1-2622	YFL023W
OG0003202	augustus_masked-NC_016485.2-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.98&CDS=1-1497	YFL022C
OG0003203	snap_masked-NC_016485.2-processed-gene-7.64-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-7.64&CDS=1-675	YLR052W
OG0003204	snap_masked-NC_016485.2-processed-gene-7.49-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-7.49&CDS=1-228	YFL017W-A
