	Saccharomyces_cerevisiae	yHMPu5000041829_Debaryomyces_fabryi
OG0002674	YMR296C	augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-1.21&CDS=1-1743
OG0002675	YMR300C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.198-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.198&CDS=1-1584
OG0002676	YMR301C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-2.2&CDS=1-2277
OG0002677	YMR302C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.21&CDS=1-2637
OG0002678	YMR304W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.134&CDS=1-3879
OG0002679	YMR305C	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.119&CDS=1-1116
OG0002680	YMR308C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.41&CDS=1-3273
OG0002681	YMR309C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-2.16&CDS=1-2556
OG0002682	YMR310C	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.156-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.156&CDS=1-1143
OG0002683	YMR311C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-1.26&CDS=1-615
OG0002684	YMR312W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.115&CDS=1-828
OG0002685	YMR313C	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-4.82&CDS=1-1932
OG0002686	YMR314W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.131&CDS=1-840
OG0002687	YMR315W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-6.45&CDS=1-1053
OG0002688	YNL001W	maker-NODE_5_length_854671_cov_13.4875_ID_2683-snap-gene-1.59-mRNA-1_1&gene=maker-NODE_5_length_854671_cov_13.4875_ID_2683-snap-gene-1.59&CDS=1-2277
OG0002689	YNL002C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.21&CDS=1-825
OG0002690	YNL003C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.22&CDS=1-1923
OG0002691	YNL006W	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.20&CDS=1-969
OG0002692	YNL007C	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.19&CDS=1-1008
OG0002693	YNL011C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.142&CDS=1-1473
OG0002694	YNL014W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-4.139&CDS=1-3150
OG0002695	YNL016W	snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.94&CDS=1-1395
OG0002696	YNL021W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.136&CDS=1-2418
OG0002697	YNL022C	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.135&CDS=1-1476
OG0002698	YNL023C	snap_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-4.122&CDS=1-2976
OG0002699	YNL024C-A	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.134&CDS=1-213
OG0002700	YNL025C	maker-NODE_5_length_854671_cov_13.4875_ID_2683-augustus-gene-3.0-mRNA-1_1&gene=maker-NODE_5_length_854671_cov_13.4875_ID_2683-augustus-gene-3.0&CDS=1-1494
OG0002701	YNL026W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.129&CDS=1-1455
OG0002702	YNL032W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.117&CDS=1-810
OG0002703	YNL035C	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.137&CDS=1-1245
OG0002704	YNL036W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.53&CDS=1-804
OG0002705	YNL037C	genemark-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.104-mRNA-1_1&gene=genemark-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.104&CDS=1-1077
OG0002706	YNL038W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.138&CDS=1-753
OG0002707	YNL039W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.134&CDS=1-1905
OG0002708	YNL040W	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.1-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-8.1&CDS=1-1347
OG0002709	YNL041C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.146&CDS=1-2325
OG0002710	YNL042W	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.161&CDS=1-1428
OG0002711	YNL051W	augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.32&CDS=1-5688
OG0002712	YNL054W	augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.16&CDS=1-2790
OG0002713	YNL055C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-2.124&CDS=1-846
OG0002714	YNL056W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-0.111&CDS=1-849
OG0002715	YNL059C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.151&CDS=1-2325
OG0002716	YNL061W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.125&CDS=1-1830
OG0002717	YNL062C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.124&CDS=1-1419
OG0002718	YNL063W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.120&CDS=1-933
OG0002719	YNL065W	snap_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.96&CDS=1-1512
OG0002720	YNL070W	snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-7.64-mRNA-1_1&gene=snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-7.64&CDS=1-183
OG0002721	YNL071W	maker-NODE_5_length_854671_cov_13.4875_ID_2683-augustus-gene-7.3-mRNA-1_1&gene=maker-NODE_5_length_854671_cov_13.4875_ID_2683-augustus-gene-7.3&CDS=1-2550
OG0002722	YNL075W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-3.122&CDS=1-852
OG0002723	YNL081C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.132&CDS=1-1878
OG0002724	YNL082W	snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.106&CDS=1-2889
OG0002725	YNL083W	maker-NODE_5_length_854671_cov_13.4875_ID_2683-snap-gene-3.105-mRNA-1_1&gene=maker-NODE_5_length_854671_cov_13.4875_ID_2683-snap-gene-3.105&CDS=1-3231
OG0002726	YNL084C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.131&CDS=1-1179
OG0002727	YNL085W	snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-0.50&CDS=1-2511
OG0002728	YNL086W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-3.20&CDS=1-528
OG0002729	YNL088W	augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-1.12&CDS=1-4248
OG0002730	YNL090W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-5.135&CDS=1-561
OG0002731	YNL091W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-5.136&CDS=1-3549
OG0002732	YNL092W	snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.103&CDS=1-1233
OG0002733	YNL094W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.12&CDS=1-2001
OG0002734	YNL097C	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-4.27&CDS=1-1092
OG0002735	YNL099C	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-4.29&CDS=1-588
OG0002736	YNL101W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-5.43&CDS=1-5604
OG0002737	YNL102W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.143&CDS=1-7296
OG0002738	YNL103W	snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.142-mRNA-1_1&gene=snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.142&CDS=1-1002
OG0002739	YNL107W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-7.200-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-7.200&CDS=1-666
OG0002740	YNL111C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-6.34&CDS=1-471
OG0002741	YNL113W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-1.19&CDS=1-399
OG0002742	YNL115C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.37&CDS=1-1704
OG0002743	YNL118C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.124&CDS=1-2799
OG0002744	YNL119W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.50&CDS=1-1344
OG0002745	YNL122C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.35&CDS=1-267
OG0002746	YNL123W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.54&CDS=1-2961
OG0002747	YNL124W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-1.56&CDS=1-1992
OG0002748	YNL125C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.128&CDS=1-1857
OG0002749	YNL127W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.43&CDS=1-2697
OG0002750	YNL129W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.128&CDS=1-753
OG0002751	YNL131W	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.44&CDS=1-456
OG0002752	YNL132W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.153&CDS=1-3138
OG0002753	YNL135C	augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-3.61&CDS=1-336
OG0002754	YNL136W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.123&CDS=1-960
OG0002755	YNL137C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.119&CDS=1-1401
OG0002756	YNL138W	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-2.126&CDS=1-1590
OG0002757	YNL138W-A	snap_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-5.132-mRNA-1_1&gene=snap_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-5.132&CDS=1-255
OG0002758	YNL139C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.17&CDS=1-4671
OG0002759	YNL142W	augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.17&CDS=1-1545
OG0002760	YNL147W	maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-2.0-mRNA-1_1&gene=maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-2.0&CDS=1-363
OG0002761	YNL148C	genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.10-mRNA-1_1&gene=genemark-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.10&CDS=1-744
OG0002762	YNL149C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.121&CDS=1-375
OG0002763	YNL151C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.115&CDS=1-678
OG0002764	YNL152W	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.119&CDS=1-1599
OG0002765	YNL153C	snap_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-0.139&CDS=1-390
OG0002766	YNL155W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-4.4&CDS=1-846
OG0002767	YNL161W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-7.124&CDS=1-2181
OG0002768	YNL163C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.168-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.168&CDS=1-3153
OG0002769	YNL164C	augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.169-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-6.169&CDS=1-1449
OG0002770	YNL168C	augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.34&CDS=1-702
OG0002771	YNL169C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-8.112&CDS=1-1791
OG0002772	YNL175C	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-1.204&CDS=1-1170
OG0002773	YNL177C	maker-NODE_14_length_271302_cov_16.67_ID_4278-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_14_length_271302_cov_16.67_ID_4278-snap-gene-0.0&CDS=1-1101
OG0002774	YNL178W	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.214-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-5.214&CDS=1-717
OG0002775	YNL181W	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.30&CDS=1-1392
OG0002776	YNL182C	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.12&CDS=1-1536
OG0002777	YNL185C	augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.11&CDS=1-429
OG0002778	YNL186W	snap_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_14_length_271302_cov_16.67_ID_4278-processed-gene-0.74&CDS=1-2088
OG0002779	YNL189W	augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-0.32&CDS=1-1635
OG0002780	YNL191W	snap_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.115-mRNA-1_1&gene=snap_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-5.115&CDS=1-1074
OG0002781	YNL193W	augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-6.130&CDS=1-1644
OG0002782	YNL200C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.2&CDS=1-699
OG0002783	YNL201C	snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-0.22&CDS=1-2703
OG0002784	YNL206C	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-5.39&CDS=1-1446
OG0002785	YNL207W	augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-2.125&CDS=1-1269
OG0002786	YNL211C	snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.146-mRNA-1_1&gene=snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.146&CDS=1-237
OG0002787	YNL212W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.47&CDS=1-2583
OG0002788	YNL213C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.11&CDS=1-678
OG0002789	YNL216W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.135&CDS=1-1818
OG0002790	YNL217W	augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-1.136&CDS=1-1227
OG0002791	YNL218W	augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.50&CDS=1-2355
OG0002792	YNL219C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.39&CDS=1-1752
OG0002793	YNL220W	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-7.38&CDS=1-1287
