	Candida_tropicalis	Saccharomyces_cerevisiae
OG0002520	maker-NW_003020057.1-augustus-gene-0.132-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-0.132&CDS=1-417	YDR100W
OG0002521	augustus_masked-NW_003020057.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-0.93&CDS=1-6324	YDR359C
OG0002522	genemark-NW_003020057.1-processed-gene-0.65-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.65&CDS=1-1197	YDR181C
OG0002523	genemark-NW_003020057.1-processed-gene-0.45-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.45&CDS=1-1107	YDR182W
OG0002524	snap_masked-NW_003020057.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.21&CDS=1-2373	YLR166C
OG0002525	genemark-NW_003020057.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.67&CDS=1-453	YLR167W
OG0002526	snap_masked-NW_003020057.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.22&CDS=1-621	YDR183W
OG0002527	snap_masked-NW_003020057.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.25&CDS=1-579	YLR168C
OG0002528	maker-NW_003020057.1-augustus-gene-0.134-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-0.134&CDS=1-1950	YDL087C
OG0002529	genemark-NW_003020057.1-processed-gene-0.49-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.49&CDS=1-942	YOL154W
OG0002530	maker-NW_003020057.1-snap-gene-0.89-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-0.89&CDS=1-1116	YLR411W
OG0002531	augustus_masked-NW_003020057.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-0.100&CDS=1-2175	YPR167C
OG0002532	snap_masked-NW_003020057.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.31&CDS=1-2628	YOL090W
OG0002533	snap_masked-NW_003020057.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.34&CDS=1-1164	YPR201W
OG0002534	snap_masked-NW_003020057.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.10&CDS=1-255	YDR363W-A
OG0002535	snap_masked-NW_003020057.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.35&CDS=1-1284	YOR117W
OG0002536	maker-NW_003020057.1-augustus-gene-0.131-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-0.131&CDS=1-1494	YLR244C
OG0002537	snap_masked-NW_003020057.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.13&CDS=1-1668	YDR188W
OG0002538	genemark-NW_003020057.1-processed-gene-0.60-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.60&CDS=1-1911	YDR189W
OG0002539	snap_masked-NW_003020057.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.37&CDS=1-1374	YDR190C
OG0002540	snap_masked-NW_003020057.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-0.38&CDS=1-819	YLR243W
OG0002541	augustus_masked-NW_003020057.1-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-0.128&CDS=1-1695	YDR205W
OG0002542	genemark-NW_003020057.1-processed-gene-0.85-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.85&CDS=1-1893	YIL155C
OG0002543	snap_masked-NW_003020057.1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.69&CDS=1-1767	YML013W
OG0002544	snap_masked-NW_003020057.1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.72&CDS=1-954	YDL014W
OG0002545	genemark-NW_003020057.1-processed-gene-1.37-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-1.37&CDS=1-444	YBR173C
OG0002546	snap_masked-NW_003020057.1-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.92&CDS=1-2031	YOR069W
OG0002547	genemark-NW_003020057.1-processed-gene-1.42-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-1.42&CDS=1-1860	YKL148C
OG0002548	snap_masked-NW_003020057.1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.97&CDS=1-807	YEL051W
OG0002549	snap_masked-NW_003020057.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.82&CDS=1-1473	YDR416W
OG0002550	snap_masked-NW_003020057.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.98&CDS=1-1323	YEL052W
OG0002551	snap_masked-NW_003020057.1-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.84&CDS=1-426	YEL044W
OG0002552	snap_masked-NW_003020057.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.85&CDS=1-621	YMR295C
OG0002553	snap_masked-NW_003020057.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.101&CDS=1-1179	YBL016W
OG0002554	snap_masked-NW_003020057.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.102&CDS=1-1509	YKL045W
OG0002555	snap_masked-NW_003020057.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.86&CDS=1-2994	YGL207W
OG0002556	genemark-NW_003020057.1-processed-gene-1.67-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-1.67&CDS=1-942	YIL153W
OG0002557	maker-NW_003020057.1-augustus-gene-1.32-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-1.32&CDS=1-1518	YOL094C
OG0002558	snap_masked-NW_003020057.1-processed-gene-1.104-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.104&CDS=1-1566	YDR484W
OG0002559	snap_masked-NW_003020057.1-processed-gene-2.39-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.39&CDS=1-1914	YOL095C
OG0002560	maker-NW_003020057.1-snap-gene-2.113-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-2.113&CDS=1-4113	YNL088W
OG0002561	maker-NW_003020057.1-snap-gene-2.114-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-2.114&CDS=1-840	YJR060W
OG0002562	snap_masked-NW_003020057.1-processed-gene-2.63-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.63&CDS=1-4353	YGL131C
OG0002563	snap_masked-NW_003020057.1-processed-gene-2.64-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.64&CDS=1-699	YPL213W
OG0002564	snap_masked-NW_003020057.1-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.48&CDS=1-1428	YGL130W
OG0002565	snap_masked-NW_003020057.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.67&CDS=1-369	YER048W-A
OG0002566	genemark-NW_003020057.1-processed-gene-2.105-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-2.105&CDS=1-3558	YMR218C
OG0002567	snap_masked-NW_003020057.1-processed-gene-2.70-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.70&CDS=1-1206	YGR111W
OG0002568	maker-NW_003020057.1-snap-gene-2.116-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-2.116&CDS=1-1746	YPR024W
OG0002569	maker-NW_003020057.1-snap-gene-2.112-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-2.112&CDS=1-3615	YPR181C
OG0002570	snap_masked-NW_003020057.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.72&CDS=1-390	YNL153C
OG0002571	genemark-NW_003020057.1-processed-gene-2.89-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-2.89&CDS=1-2337	YBL097W
OG0002572	snap_masked-NW_003020057.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.73&CDS=1-1002	YIL019W
OG0002573	genemark-NW_003020057.1-processed-gene-2.90-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-2.90&CDS=1-822	YIL020C
OG0002574	snap_masked-NW_003020057.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.74&CDS=1-981	YIL021W
OG0002575	snap_masked-NW_003020057.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.75&CDS=1-2847	YGR100W
OG0002576	genemark-NW_003020057.1-processed-gene-3.34-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-3.34&CDS=1-8409	YPR117W
OG0002577	snap_masked-NW_003020057.1-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.60&CDS=1-1485	YLR212C
OG0002578	snap_masked-NW_003020057.1-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.61&CDS=1-1539	YHR137W
OG0002579	snap_masked-NW_003020057.1-processed-gene-3.64-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.64&CDS=1-966	YIL041W
OG0002580	genemark-NW_003020057.1-processed-gene-3.53-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-3.53&CDS=1-1632	YER052C
OG0002581	snap_masked-NW_003020057.1-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.65&CDS=1-1824	YER049W
OG0002582	snap_masked-NW_003020057.1-processed-gene-3.66-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.66&CDS=1-936	YIL043C
OG0002583	snap_masked-NW_003020057.1-processed-gene-3.68-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.68&CDS=1-1836	YKR039W
OG0002584	snap_masked-NW_003020057.1-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.72&CDS=1-1851	YGR194C
OG0002585	snap_masked-NW_003020057.1-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.73&CDS=1-1404	YJR003C
OG0002586	snap_masked-NW_003020057.1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.74&CDS=1-1119	YIR034C
OG0002587	snap_masked-NW_003020057.1-processed-gene-3.86-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.86&CDS=1-1374	YKL021C
OG0002588	snap_masked-NW_003020057.1-processed-gene-3.75-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.75&CDS=1-2136	YKL022C
OG0002589	snap_masked-NW_003020057.1-processed-gene-3.76-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.76&CDS=1-1665	YGR223C
OG0002590	snap_masked-NW_003020057.1-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.87&CDS=1-975	YGR222W
OG0002591	snap_masked-NW_003020057.1-processed-gene-3.77-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.77&CDS=1-2649	YLL013C
OG0002592	snap_masked-NW_003020057.1-processed-gene-3.81-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.81&CDS=1-3939	YMR109W
OG0002593	maker-NW_003020057.1-augustus-gene-4.50-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-4.50&CDS=1-2355	YCR077C
OG0002594	snap_masked-NW_003020057.1-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.2&CDS=1-2271	YNR033W
OG0002595	snap_masked-NW_003020057.1-processed-gene-4.3-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.3&CDS=1-6408	YDL058W
OG0002596	snap_masked-NW_003020057.1-processed-gene-4.4-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.4&CDS=1-3969	YLR384C
OG0002597	snap_masked-NW_003020057.1-processed-gene-4.0-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.0&CDS=1-2448	YOR270C
OG0002598	snap_masked-NW_003020057.1-processed-gene-4.6-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.6&CDS=1-2175	YHR197W
OG0002599	augustus_masked-NW_003020057.1-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-4.108&CDS=1-2862	YGL221C
OG0002600	snap_masked-NW_003020057.1-processed-gene-4.10-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.10&CDS=1-1386	YBR110W
OG0002601	maker-NW_003020057.1-snap-gene-4.48-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-4.48&CDS=1-4533	YOR346W
OG0002602	genemark-NW_003020057.1-processed-gene-4.64-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-4.64&CDS=1-447	YBR109C
OG0002603	snap_masked-NW_003020057.1-processed-gene-4.14-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.14&CDS=1-9336	YLL040C
OG0002604	snap_masked-NW_003020057.1-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.34&CDS=1-1095	YBL013W
OG0002605	snap_masked-NW_003020057.1-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.35&CDS=1-1179	YGR286C
OG0002606	snap_masked-NW_003020057.1-processed-gene-4.37-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.37&CDS=1-2034	YDR234W
OG0002607	snap_masked-NW_003020057.1-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.23&CDS=1-1005	YKR087C
OG0002608	genemark-NW_003020057.1-processed-gene-4.94-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-4.94&CDS=1-702	YOR077W
OG0002609	snap_masked-NW_003020057.1-processed-gene-4.26-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.26&CDS=1-1620	YHR064C
OG0002610	snap_masked-NW_003020057.1-processed-gene-4.27-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.27&CDS=1-1710	YOR070C
OG0002611	snap_masked-NW_003020057.1-processed-gene-4.28-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.28&CDS=1-975	YKR080W
OG0002612	snap_masked-NW_003020057.1-processed-gene-4.29-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.29&CDS=1-2208	YKR099W
OG0002613	snap_masked-NW_003020057.1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.30&CDS=1-3180	YNL054W
OG0002614	snap_masked-NW_003020057.1-processed-gene-4.31-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.31&CDS=1-531	YDL120W
OG0002615	snap_masked-NW_003020057.1-processed-gene-5.83-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.83&CDS=1-1416	YCR028C
OG0002616	snap_masked-NW_003020057.1-processed-gene-5.103-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.103&CDS=1-876	YGR280C
OG0002617	augustus_masked-NW_003020057.1-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-5.25&CDS=1-4287	YAL001C
OG0002618	snap_masked-NW_003020057.1-processed-gene-5.88-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.88&CDS=1-747	YGR001C
OG0002619	maker-NW_003020057.1-snap-gene-5.114-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-5.114&CDS=1-627	YAL003W
OG0002620	snap_masked-NW_003020057.1-processed-gene-5.106-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.106&CDS=1-2325	YGL180W
OG0002621	snap_masked-NW_003020057.1-processed-gene-5.107-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.107&CDS=1-4308	YGL179C
OG0002622	snap_masked-NW_003020057.1-processed-gene-5.110-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.110&CDS=1-4566	YPR184W
OG0002623	genemark-NW_003020057.1-processed-gene-5.51-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-5.51&CDS=1-747	YMR038C
OG0002624	snap_masked-NW_003020057.1-processed-gene-5.91-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.91&CDS=1-2598	YOR353C
OG0002625	snap_masked-NW_003020057.1-processed-gene-5.93-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.93&CDS=1-1767	YJL103C
OG0002626	genemark-NW_003020057.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-5.73&CDS=1-804	YPR060C
OG0002627	snap_masked-NW_003020057.1-processed-gene-5.99-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.99&CDS=1-3099	YNL163C
OG0002628	snap_masked-NW_003020057.1-processed-gene-5.113-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-5.113&CDS=1-3495	YGR274C
OG0002629	genemark-NW_003020057.1-processed-gene-5.62-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-5.62&CDS=1-1968	YGR276C
OG0002630	snap_masked-NW_003020057.1-processed-gene-6.80-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.80&CDS=1-1662	YDL160C
OG0002631	maker-NW_003020057.1-augustus-gene-6.39-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-6.39&CDS=1-939	YMR300C
OG0002632	snap_masked-NW_003020057.1-processed-gene-6.83-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.83&CDS=1-996	YGL225W
OG0002633	snap_masked-NW_003020057.1-processed-gene-6.84-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.84&CDS=1-2958	YGL238W
OG0002634	snap_masked-NW_003020057.1-processed-gene-6.106-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.106&CDS=1-690	YGL237C
OG0002635	snap_masked-NW_003020057.1-processed-gene-6.108-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.108&CDS=1-897	YLR003C
OG0002636	snap_masked-NW_003020057.1-processed-gene-6.86-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.86&CDS=1-2052	YGL236C
OG0002637	genemark-NW_003020057.1-processed-gene-6.67-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-6.67&CDS=1-777	YFR027W
OG0002638	snap_masked-NW_003020057.1-processed-gene-6.88-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.88&CDS=1-900	YFR047C
OG0002639	genemark-NW_003020057.1-processed-gene-6.68-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-6.68&CDS=1-1482	YGL240W
OG0002640	snap_masked-NW_003020057.1-processed-gene-6.113-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.113&CDS=1-2265	YJL101C
OG0002641	snap_masked-NW_003020057.1-processed-gene-6.114-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.114&CDS=1-2037	YGL234W
OG0002642	snap_masked-NW_003020057.1-processed-gene-6.115-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.115&CDS=1-1170	YMR024W
OG0002643	snap_masked-NW_003020057.1-processed-gene-6.116-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.116&CDS=1-1299	YDR414C
OG0002644	augustus_masked-NW_003020057.1-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-6.9&CDS=1-1473	YGR044C
OG0002645	snap_masked-NW_003020057.1-processed-gene-6.92-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.92&CDS=1-3072	YBR245C
OG0002646	snap_masked-NW_003020057.1-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.93&CDS=1-2295	YDL167C
OG0002647	snap_masked-NW_003020057.1-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.94&CDS=1-717	YPR183W
OG0002648	snap_masked-NW_003020057.1-processed-gene-6.95-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.95&CDS=1-1851	YDR390C
OG0002649	snap_masked-NW_003020057.1-processed-gene-6.96-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.96&CDS=1-378	YOR122C
OG0002650	snap_masked-NW_003020057.1-processed-gene-6.122-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.122&CDS=1-3069	YAL035W
OG0002651	snap_masked-NW_003020057.1-processed-gene-6.100-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.100&CDS=1-1104	YAL036C
OG0002652	snap_masked-NW_003020057.1-processed-gene-7.0-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.0&CDS=1-3273	YMR308C
OG0002653	genemark-NW_003020057.1-processed-gene-7.32-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-7.32&CDS=1-2106	YLR319C
OG0002654	augustus_masked-NW_003020057.1-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-7.76&CDS=1-2382	YLR318W
OG0002655	augustus_masked-NW_003020057.1-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-7.74&CDS=1-975	YLR316C
OG0002656	snap_masked-NW_003020057.1-processed-gene-7.2-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.2&CDS=1-1056	YLR321C
OG0002657	genemark-NW_003020057.1-processed-gene-7.56-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-7.56&CDS=1-2847	YMR185W
OG0002658	snap_masked-NW_003020057.1-processed-gene-7.4-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.4&CDS=1-633	YPL239W
OG0002659	snap_masked-NW_003020057.1-processed-gene-7.5-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.5&CDS=1-861	YPL237W
OG0002660	snap_masked-NW_003020057.1-processed-gene-7.22-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.22&CDS=1-1080	YPL236C
OG0002661	snap_masked-NW_003020057.1-processed-gene-7.7-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.7&CDS=1-858	YPL246C
OG0002662	snap_masked-NW_003020057.1-processed-gene-7.23-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.23&CDS=1-1167	YMR203W
OG0002663	snap_masked-NW_003020057.1-processed-gene-7.24-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.24&CDS=1-3591	YPL217C
OG0002664	snap_masked-NW_003020057.1-processed-gene-7.12-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.12&CDS=1-2985	YIL125W
OG0002665	snap_masked-NW_003020057.1-processed-gene-7.27-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.27&CDS=1-879	YIL124W
OG0002666	augustus_masked-NW_003020057.1-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-7.102&CDS=1-2451	YBL014C
OG0002667	snap_masked-NW_003020057.1-processed-gene-7.15-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.15&CDS=1-2481	YGL027C
OG0002668	snap_masked-NW_003020057.1-processed-gene-7.29-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.29&CDS=1-2103	YGL026C
OG0002669	snap_masked-NW_003020057.1-processed-gene-7.16-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.16&CDS=1-1368	YAL062W
OG0002670	augustus_masked-NW_003020057.1-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-7.90&CDS=1-11424	YDR150W
OG0002671	maker-NW_003020057.1-augustus-gene-7.106-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-7.106&CDS=1-2466	YNL275W
OG0002672	augustus_masked-NW_003020057.1-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-7.92&CDS=1-1626	YAR002W
OG0002673	snap_masked-NW_003020057.1-processed-gene-7.20-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-7.20&CDS=1-1062	YGL001C
OG0002674	augustus_masked-NW_003020057.1-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-8.48&CDS=1-2682	YER008C
OG0002675	genemark-NW_003020057.1-processed-gene-8.2-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-8.2&CDS=1-2094	YER005W
OG0002676	maker-NW_003020057.1-augustus-gene-8.140-mRNA-1_1&gene=maker-NW_003020057.1-augustus-gene-8.140&CDS=1-1824	YER006W
OG0002677	snap_masked-NW_003020057.1-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.98&CDS=1-3486	YIR002C
OG0002678	genemark-NW_003020057.1-processed-gene-8.7-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-8.7&CDS=1-552	YER007C-A
OG0002679	augustus_masked-NW_003020057.1-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-NW_003020057.1-processed-gene-8.75&CDS=1-1512	YER007W
OG0002680	snap_masked-NW_003020057.1-processed-gene-8.102-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.102&CDS=1-597	YGL033W
OG0002681	snap_masked-NW_003020057.1-processed-gene-8.123-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.123&CDS=1-3000	YMR231W
OG0002682	snap_masked-NW_003020057.1-processed-gene-8.104-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.104&CDS=1-651	YPR113W
OG0002683	snap_masked-NW_003020057.1-processed-gene-8.125-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.125&CDS=1-2211	YOR249C
OG0002684	snap_masked-NW_003020057.1-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.105&CDS=1-1554	YEL015W
OG0002685	snap_masked-NW_003020057.1-processed-gene-8.106-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.106&CDS=1-4062	YGL092W
OG0002686	snap_masked-NW_003020057.1-processed-gene-8.107-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.107&CDS=1-1026	YGL091C
OG0002687	snap_masked-NW_003020057.1-processed-gene-8.126-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.126&CDS=1-1707	YEL013W
OG0002688	snap_masked-NW_003020057.1-processed-gene-8.127-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.127&CDS=1-1536	YCL008C
OG0002689	snap_masked-NW_003020057.1-processed-gene-8.109-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-8.109&CDS=1-213	YCL005W-A
