	Saccharomyces_cerevisiae	yHMPu5000035675_Kregervanrija_fluxuum
OG0002631	YMR227C	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.94&CDS=1-1638
OG0002632	YMR228W	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.110&CDS=1-1059
OG0002633	YMR229C	augustus_masked-NODE_39_length_115132_cov_41.2047_ID_14359-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NODE_39_length_115132_cov_41.2047_ID_14359-processed-gene-0.160&CDS=1-5124
OG0002634	YMR231W	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.98&CDS=1-2955
OG0002635	YMR234W	augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.2&CDS=1-2946
OG0002636	YMR235C	augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.9&CDS=1-1194
OG0002637	YMR239C	augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.163&CDS=1-2223
OG0002638	YMR240C	genemark-NODE_26_length_161125_cov_39.819_ID_18698-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_26_length_161125_cov_39.819_ID_18698-processed-gene-0.1&CDS=1-1458
OG0002639	YMR241W	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.232-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.232&CDS=1-891
OG0002640	YMR243C	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.115&CDS=1-1440
OG0002641	YMR244C-A	augustus_masked-NODE_37_length_120017_cov_41.1689_ID_25789-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_37_length_120017_cov_41.1689_ID_25789-processed-gene-0.18&CDS=1-312
OG0002642	YMR244W	snap_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-0.31&CDS=1-912
OG0002643	YMR247C	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.203-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.203&CDS=1-4683
OG0002644	YMR250W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.126&CDS=1-1836
OG0002645	YMR252C	genemark-NODE_1111_length_397_cov_0.797101_ID_36973-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_1111_length_397_cov_0.797101_ID_36973-processed-gene-0.0&CDS=1-267
OG0002646	YMR256C	augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_5_length_303051_cov_38.0798_ID_9543-processed-gene-1.21&CDS=1-2451
OG0002647	YMR258C	snap_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.107&CDS=1-1581
OG0002648	YMR259C	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.213&CDS=1-4518
OG0002649	YMR260C	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-1.214&CDS=1-456
OG0002650	YMR262W	augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.216-mRNA-1_1&gene=augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-2.216&CDS=1-876
OG0002651	YMR263W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.30&CDS=1-447
OG0002652	YMR265C	snap_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-1.103&CDS=1-1146
OG0002653	YMR269W	augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_12_length_250894_cov_39.8622_ID_41140-processed-gene-0.14&CDS=1-858
OG0002654	YMR272C	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-0.100&CDS=1-1137
OG0002655	YMR276W	genemark-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.2&CDS=1-1152
OG0002656	YMR277W	augustus_masked-NODE_43_length_94247_cov_38.8994_ID_14182-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_43_length_94247_cov_38.8994_ID_14182-processed-gene-0.113&CDS=1-2322
OG0002657	YMR280C	augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-1.29&CDS=1-3753
OG0002658	YMR281W	augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_48_length_80061_cov_41.2643_ID_15622-processed-gene-0.26&CDS=1-900
OG0002659	YMR283C	augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_4_length_399286_cov_39.7387_ID_11480-processed-gene-1.2&CDS=1-1410
OG0002660	YMR284W	snap_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.43&CDS=1-1983
OG0002661	YMR285C	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-1.115&CDS=1-1518
OG0002662	YMR286W	augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.17&CDS=1-267
OG0002663	YMR288W	augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-NODE_3_length_400669_cov_39.5315_ID_28686-processed-gene-3.113&CDS=1-3324
OG0002664	YMR289W	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.36&CDS=1-912
OG0002665	YMR290C	augustus_masked-NODE_85_length_30736_cov_45.3603_ID_20143-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_85_length_30736_cov_45.3603_ID_20143-processed-gene-0.55&CDS=1-1758
OG0002666	YMR292W	augustus_masked-NODE_78_length_35961_cov_46.2465_ID_20263-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_78_length_35961_cov_46.2465_ID_20263-processed-gene-0.36&CDS=1-417
OG0002667	YMR293C	augustus_masked-NODE_78_length_35961_cov_46.2465_ID_20263-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_78_length_35961_cov_46.2465_ID_20263-processed-gene-0.45&CDS=1-1527
OG0002668	YMR295C	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.245-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.245&CDS=1-582
OG0002669	YMR296C	augustus_masked-NODE_43_length_94247_cov_38.8994_ID_14182-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_43_length_94247_cov_38.8994_ID_14182-processed-gene-0.115&CDS=1-1680
OG0002670	YMR297W	augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.27&CDS=1-1620
OG0002671	YMR300C	augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.196&CDS=1-1668
OG0002672	YMR301C	augustus_masked-NODE_99_length_19427_cov_52.692_ID_22167-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_99_length_19427_cov_52.692_ID_22167-processed-gene-0.7&CDS=1-2181
OG0002673	YMR302C	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.136&CDS=1-2349
OG0002674	YMR304W	augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_7_length_295593_cov_39.4802_ID_11207-processed-gene-1.23&CDS=1-3717
OG0002675	YMR307W	maker-NODE_70_length_45645_cov_39.2794_ID_19815-snap-gene-0.68-mRNA-1_1&gene=maker-NODE_70_length_45645_cov_39.2794_ID_19815-snap-gene-0.68&CDS=1-3267
OG0002676	YMR308C	augustus_masked-NODE_70_length_45645_cov_39.2794_ID_19815-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_70_length_45645_cov_39.2794_ID_19815-processed-gene-0.7&CDS=1-3276
OG0002677	YMR309C	augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.247-mRNA-1_1&gene=augustus_masked-NODE_6_length_299385_cov_38.0087_ID_9641-processed-gene-1.247&CDS=1-2535
OG0002678	YMR312W	augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.110&CDS=1-783
OG0002679	YMR313C	augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_49_length_76713_cov_41.354_ID_15326-processed-gene-0.90&CDS=1-1683
OG0002680	YMR314W	augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.157&CDS=1-906
OG0002681	YMR315W	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.246-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.246&CDS=1-1056
OG0002682	YNL001W	maker-NODE_1_length_545607_cov_39.0795_ID_37410-snap-gene-0.93-mRNA-1_1&gene=maker-NODE_1_length_545607_cov_39.0795_ID_37410-snap-gene-0.93&CDS=1-2145
OG0002683	YNL003C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.57&CDS=1-837
OG0002684	YNL005C	augustus_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_57_length_61462_cov_46.266_ID_20586-processed-gene-0.94&CDS=1-1113
OG0002685	YNL006W	augustus_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.4&CDS=1-909
OG0002686	YNL007C	augustus_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_65_length_52007_cov_46.55_ID_18378-processed-gene-0.3&CDS=1-1071
OG0002687	YNL010W	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.0&CDS=1-699
OG0002688	YNL011C	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.30&CDS=1-1242
OG0002689	YNL014W	augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_36_length_122900_cov_38.302_ID_12940-processed-gene-0.31&CDS=1-3138
OG0002690	YNL015W	maker-NODE_44_length_88802_cov_40.0904_ID_21692-augustus-gene-0.90-mRNA-1_1&gene=maker-NODE_44_length_88802_cov_40.0904_ID_21692-augustus-gene-0.90&CDS=1-222
OG0002691	YNL016W	augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.3&CDS=1-1152
OG0002692	YNL021W	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.16&CDS=1-2322
OG0002693	YNL022C	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.34&CDS=1-1323
OG0002694	YNL023C	augustus_masked-NODE_16_length_214599_cov_38.2211_ID_10423-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_16_length_214599_cov_38.2211_ID_10423-processed-gene-1.152&CDS=1-2865
OG0002695	YNL025C	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.39&CDS=1-999
OG0002696	YNL026W	augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_14_length_221329_cov_39.3294_ID_10776-processed-gene-1.2&CDS=1-1503
OG0002697	YNL032W	augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.277-mRNA-1_1&gene=augustus_masked-NODE_22_length_196581_cov_37.2978_ID_11317-processed-gene-0.277&CDS=1-981
OG0002698	YNL036W	genemark-NODE_25_length_163307_cov_38.207_ID_16192-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_25_length_163307_cov_38.207_ID_16192-processed-gene-0.132&CDS=1-756
OG0002699	YNL037C	maker-NODE_19_length_204027_cov_37.7657_ID_13337-snap-gene-1.109-mRNA-1_1&gene=maker-NODE_19_length_204027_cov_37.7657_ID_13337-snap-gene-1.109&CDS=1-2631
OG0002700	YNL039W	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.31&CDS=1-2136
OG0002701	YNL040W	augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.135&CDS=1-1275
OG0002702	YNL041C	augustus_masked-NODE_35_length_123801_cov_38.4065_ID_13066-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_35_length_123801_cov_38.4065_ID_13066-processed-gene-0.32&CDS=1-2406
OG0002703	YNL042W	augustus_masked-NODE_75_length_39620_cov_40.4956_ID_18983-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_75_length_39620_cov_40.4956_ID_18983-processed-gene-0.11&CDS=1-1119
OG0002704	YNL043C	snap_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.64&CDS=1-303
OG0002705	YNL044W	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-0.132&CDS=1-1608
OG0002706	YNL045W	augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_19_length_204027_cov_37.7657_ID_13337-processed-gene-1.1&CDS=1-1920
OG0002707	YNL048W	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-4.61&CDS=1-1848
OG0002708	YNL049C	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-0.2&CDS=1-2799
OG0002709	YNL051W	augustus_masked-NODE_54_length_72431_cov_41.2795_ID_16302-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_54_length_72431_cov_41.2795_ID_16302-processed-gene-0.102&CDS=1-1188
OG0002710	YNL056W	augustus_masked-NODE_68_length_51053_cov_38.2257_ID_17589-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_68_length_51053_cov_38.2257_ID_17589-processed-gene-0.3&CDS=1-1083
OG0002711	YNL059C	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.36&CDS=1-2268
OG0002712	YNL061W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.66&CDS=1-1863
OG0002713	YNL062C	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.37&CDS=1-1329
OG0002714	YNL064C	snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.21&CDS=1-1212
OG0002715	YNL071W	augustus_masked-NODE_46_length_87417_cov_39.1084_ID_23451-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_46_length_87417_cov_39.1084_ID_23451-processed-gene-0.2&CDS=1-1437
OG0002716	YNL075W	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-1.170&CDS=1-864
OG0002717	YNL076W	augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_38_length_119021_cov_39.2331_ID_13124-processed-gene-0.17&CDS=1-2577
OG0002718	YNL081C	maker-NODE_12_length_250894_cov_39.8622_ID_41140-snap-gene-1.78-mRNA-1_1&gene=maker-NODE_12_length_250894_cov_39.8622_ID_41140-snap-gene-1.78&CDS=1-1830
OG0002719	YNL082W	augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_51_length_75891_cov_40.8082_ID_15468-processed-gene-0.109&CDS=1-3447
OG0002720	YNL083W	augustus_masked-NODE_77_length_36252_cov_38.4183_ID_19329-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_77_length_36252_cov_38.4183_ID_19329-processed-gene-0.14&CDS=1-1542
OG0002721	YNL084C	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-0.94&CDS=1-1173
OG0002722	YNL085W	snap_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_44_length_88802_cov_40.0904_ID_21692-processed-gene-0.75&CDS=1-2235
OG0002723	YNL088W	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-1.209&CDS=1-4266
OG0002724	YNL089C	snap_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.59&CDS=1-354
OG0002725	YNL090W	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.2&CDS=1-588
OG0002726	YNL094W	augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_9_length_260814_cov_39.3821_ID_13670-processed-gene-0.24&CDS=1-2004
OG0002727	YNL097C	augustus_masked-NODE_134_length_6587_cov_56.2074_ID_25519-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_134_length_6587_cov_56.2074_ID_25519-processed-gene-0.4&CDS=1-1311
OG0002728	YNL099C	augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.149&CDS=1-657
OG0002729	YNL101W	augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.150&CDS=1-1902
OG0002730	YNL102W	augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.186&CDS=1-4563
OG0002731	YNL103W	maker-NODE_71_length_44874_cov_51.2053_ID_19079-snap-gene-0.50-mRNA-1_1&gene=maker-NODE_71_length_44874_cov_51.2053_ID_19079-snap-gene-0.50&CDS=1-1443
OG0002732	YNL107W	augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_1_length_545607_cov_39.0795_ID_37410-processed-gene-1.141&CDS=1-627
OG0002733	YNL110C	augustus_masked-NODE_46_length_87417_cov_39.1084_ID_23451-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_46_length_87417_cov_39.1084_ID_23451-processed-gene-0.0&CDS=1-831
OG0002734	YNL113W	augustus_masked-NODE_54_length_72431_cov_41.2795_ID_16302-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_54_length_72431_cov_41.2795_ID_16302-processed-gene-0.97&CDS=1-393
OG0002735	YNL118C	augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.300-mRNA-1_1&gene=augustus_masked-NODE_8_length_291183_cov_38.6591_ID_11116-processed-gene-1.300&CDS=1-2667
OG0002736	YNL119W	augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_13_length_240629_cov_39.7979_ID_36636-processed-gene-0.116&CDS=1-1281
OG0002737	YNL122C	augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.191&CDS=1-786
OG0002738	YNL123W	augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.158&CDS=1-3051
OG0002739	YNL124W	augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.193&CDS=1-1980
OG0002740	YNL126W	snap_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.51&CDS=1-2187
OG0002741	YNL127W	genemark-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.87&CDS=1-2985
OG0002742	YNL132W	snap_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_28_length_147730_cov_39.2264_ID_12273-processed-gene-0.22&CDS=1-3162
OG0002743	YNL135C	augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_66_length_51463_cov_41.9441_ID_17365-processed-gene-0.22&CDS=1-324
OG0002744	YNL137C	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.67&CDS=1-2232
OG0002745	YNL138W	augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-NODE_2_length_544514_cov_38.891_ID_36300-processed-gene-4.65&CDS=1-1614
OG0002746	YNL138W-A	snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_29_length_143840_cov_40.7451_ID_12393-processed-gene-0.38&CDS=1-315
OG0002747	YNL141W	augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_11_length_257823_cov_39.7523_ID_10145-processed-gene-0.35&CDS=1-1059
OG0002748	YNL142W	augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_10_length_259899_cov_37.9377_ID_10059-processed-gene-0.111&CDS=1-1428
OG0002749	YNL147W	augustus_masked-NODE_15_length_219373_cov_38.4414_ID_13220-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_15_length_219373_cov_38.4414_ID_13220-processed-gene-1.32&CDS=1-417
OG0002750	YNL149C	augustus_masked-NODE_15_length_219373_cov_38.4414_ID_13220-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NODE_15_length_219373_cov_38.4414_ID_13220-processed-gene-1.12&CDS=1-1038
