	Ascoidea_rubescens	Saccharomyces_cerevisiae
OG0002366	snap_masked-scaffold_3-processed-gene-6.69-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.69&CDS=1-1989	YMR013C
OG0002367	genemark-scaffold_3-processed-gene-6.38-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.38&CDS=1-909	YDL052C
OG0002368	genemark-scaffold_3-processed-gene-6.48-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.48&CDS=1-687	YOR131C
OG0002369	genemark-scaffold_3-processed-gene-6.39-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.39&CDS=1-321	YMR244C-A
OG0002370	genemark-scaffold_3-processed-gene-6.50-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.50&CDS=1-1533	YGR110W
OG0002371	genemark-scaffold_3-processed-gene-6.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.41&CDS=1-3405	YER162C
OG0002372	genemark-scaffold_3-processed-gene-7.82-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.82&CDS=1-6234	YDR097C
OG0002373	genemark-scaffold_3-processed-gene-6.53-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.53&CDS=1-2025	YER169W
OG0002374	genemark-scaffold_3-processed-gene-7.83-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.83&CDS=1-3549	YER173W
OG0002375	genemark-scaffold_3-processed-gene-7.84-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.84&CDS=1-4161	YGR178C
OG0002376	maker-scaffold_3-snap-gene-7.44-mRNA-1_1&gene=maker-scaffold_3-snap-gene-7.44&CDS=1-3471	YHL002W
OG0002377	genemark-scaffold_3-processed-gene-7.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.87&CDS=1-756	YLR099W-A
OG0002378	maker-scaffold_3-snap-gene-7.45-mRNA-1_1&gene=maker-scaffold_3-snap-gene-7.45&CDS=1-4542	YER164W
OG0002379	genemark-scaffold_3-processed-gene-7.107-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.107&CDS=1-453	YDR092W
OG0002380	genemark-scaffold_3-processed-gene-7.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.91&CDS=1-795	YGL123W
OG0002381	genemark-scaffold_3-processed-gene-7.109-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.109&CDS=1-1155	YBR221C
OG0002382	genemark-scaffold_3-processed-gene-7.110-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.110&CDS=1-2940	YOR080W
OG0002383	augustus_masked-scaffold_3-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.58&CDS=1-2451	YHR007C
OG0002384	genemark-scaffold_3-processed-gene-7.94-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.94&CDS=1-2883	YLR006C
OG0002385	genemark-scaffold_3-processed-gene-7.112-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.112&CDS=1-981	YJR008W
OG0002386	augustus_masked-scaffold_3-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.79&CDS=1-3960	YJR007W
OG0002387	genemark-scaffold_3-processed-gene-7.95-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.95&CDS=1-2355	YJR005W
OG0002388	genemark-scaffold_3-processed-gene-7.97-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.97&CDS=1-1179	YJL026W
OG0002389	augustus_masked-scaffold_3-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.65&CDS=1-3345	YDR291W
OG0002390	snap_masked-scaffold_3-processed-gene-7.18-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.18&CDS=1-825	YOR084W
OG0002391	genemark-scaffold_3-processed-gene-7.101-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.101&CDS=1-4602	YDR293C
OG0002392	genemark-scaffold_3-processed-gene-7.116-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.116&CDS=1-1545	YHR111W
OG0002393	genemark-scaffold_3-processed-gene-7.103-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.103&CDS=1-3138	YDR060W
OG0002394	genemark-scaffold_3-processed-gene-8.67-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.67&CDS=1-3009	YBR083W
OG0002395	genemark-scaffold_3-processed-gene-8.68-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.68&CDS=1-297	YBL028C
OG0002396	snap_masked-scaffold_3-processed-gene-8.5-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.5&CDS=1-891	YMR126C
OG0002397	snap_masked-scaffold_3-processed-gene-8.6-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.6&CDS=1-6621	YPL082C
OG0002398	genemark-scaffold_3-processed-gene-8.82-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.82&CDS=1-804	YLL041C
OG0002399	genemark-scaffold_3-processed-gene-8.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.73&CDS=1-3309	YOR160W
OG0002400	genemark-scaffold_3-processed-gene-8.85-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.85&CDS=1-3129	YMR032W
OG0002401	augustus_masked-scaffold_3-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.43&CDS=1-678	YDR399W
OG0002402	snap_masked-scaffold_3-processed-gene-8.25-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.25&CDS=1-957	YPL111W
OG0002403	snap_masked-scaffold_3-processed-gene-8.26-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.26&CDS=1-765	YGR253C
OG0002404	genemark-scaffold_3-processed-gene-8.75-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.75&CDS=1-2229	YDR398W
OG0002405	genemark-scaffold_3-processed-gene-8.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.87&CDS=1-1422	YKL221W
OG0002406	genemark-scaffold_3-processed-gene-8.76-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.76&CDS=1-1200	YMR310C
OG0002407	snap_masked-scaffold_3-processed-gene-8.13-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.13&CDS=1-2478	YCR008W
OG0002408	snap_masked-scaffold_3-processed-gene-8.14-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.14&CDS=1-2535	YOL006C
OG0002409	maker-scaffold_3-snap-gene-8.63-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.63&CDS=1-4272	YOR144C
OG0002410	genemark-scaffold_3-processed-gene-8.89-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.89&CDS=1-945	YOR158W
OG0002411	genemark-scaffold_3-processed-gene-8.78-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.78&CDS=1-654	YBR047W
OG0002412	snap_masked-scaffold_3-processed-gene-8.17-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.17&CDS=1-816	YCL047C
OG0002413	genemark-scaffold_3-processed-gene-8.90-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.90&CDS=1-2181	YOR149C
OG0002414	genemark-scaffold_3-processed-gene-8.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.91&CDS=1-1266	YDR394W
OG0002415	snap_masked-scaffold_3-processed-gene-9.10-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.10&CDS=1-216	YHR143W-A
OG0002416	maker-scaffold_3-augustus-gene-9.85-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.85&CDS=1-1503	YBR065C
OG0002417	genemark-scaffold_3-processed-gene-9.94-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.94&CDS=1-1812	YOR310C
OG0002418	maker-scaffold_3-snap-gene-9.3-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.3&CDS=1-534	YML030W
OG0002419	genemark-scaffold_3-processed-gene-9.111-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.111&CDS=1-2955	YJL061W
OG0002420	genemark-scaffold_3-processed-gene-9.112-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.112&CDS=1-777	YDR405W
OG0002421	genemark-scaffold_3-processed-gene-9.98-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.98&CDS=1-3717	YOR151C
OG0002422	maker-scaffold_3-snap-gene-9.4-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.4&CDS=1-528	YOR150W
OG0002423	augustus_masked-scaffold_3-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.54&CDS=1-513	YDR404C
OG0002424	snap_masked-scaffold_3-processed-gene-9.30-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.30&CDS=1-1278	YOR155C
OG0002425	genemark-scaffold_3-processed-gene-9.102-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.102&CDS=1-1704	YOR132W
OG0002426	genemark-scaffold_3-processed-gene-9.116-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.116&CDS=1-3333	YFR016C
OG0002427	genemark-scaffold_3-processed-gene-9.103-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.103&CDS=1-1377	YLR459W
OG0002428	genemark-scaffold_3-processed-gene-9.104-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.104&CDS=1-249	YGL127C
OG0002429	genemark-scaffold_3-processed-gene-9.120-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.120&CDS=1-1707	YDR387C
OG0002430	genemark-scaffold_3-processed-gene-9.105-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.105&CDS=1-1938	YOL023W
OG0002431	snap_masked-scaffold_3-processed-gene-9.42-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.42&CDS=1-894	YHL008C
OG0002432	genemark-scaffold_3-processed-gene-10.74-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.74&CDS=1-1950	YOR087W
OG0002433	augustus_masked-scaffold_3-processed-gene-10.37-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.37&CDS=1-570	YNL090W
OG0002434	genemark-scaffold_3-processed-gene-10.75-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.75&CDS=1-1839	YNL209W
OG0002435	genemark-scaffold_3-processed-gene-10.90-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.90&CDS=1-5166	YOR093C
OG0002436	genemark-scaffold_3-processed-gene-10.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.91&CDS=1-1386	YNL206C
OG0002437	genemark-scaffold_3-processed-gene-10.93-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.93&CDS=1-1518	YPL204W
OG0002438	genemark-scaffold_3-processed-gene-10.77-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.77&CDS=1-3765	YER151C
OG0002439	genemark-scaffold_3-processed-gene-10.95-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.95&CDS=1-735	YOL142W
OG0002440	augustus_masked-scaffold_3-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.57&CDS=1-2634	YMR116C
OG0002441	genemark-scaffold_3-processed-gene-10.79-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.79&CDS=1-948	YMR112C
OG0002442	genemark-scaffold_3-processed-gene-10.98-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.98&CDS=1-1269	YFL026W
OG0002443	genemark-scaffold_3-processed-gene-10.82-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.82&CDS=1-1230	YNL084C
OG0002444	genemark-scaffold_3-processed-gene-10.103-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.103&CDS=1-348	YLR364W
OG0002445	genemark-scaffold_3-processed-gene-10.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.87&CDS=1-2415	YAL016W
OG0002446	augustus_masked-scaffold_3-processed-gene-10.51-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.51&CDS=1-1416	YBR110W
OG0002447	augustus_masked-scaffold_3-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.66&CDS=1-1131	YOL043C
OG0002448	genemark-scaffold_3-processed-gene-11.0-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.0&CDS=1-1383	YDR449C
OG0002449	maker-scaffold_3-augustus-gene-11.35-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.35&CDS=1-2253	YPL104W
OG0002450	genemark-scaffold_3-processed-gene-11.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.3&CDS=1-1428	YKR004C
OG0002451	snap_masked-scaffold_3-processed-gene-11.96-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.96&CDS=1-2922	YLR336C
OG0002452	genemark-scaffold_3-processed-gene-11.6-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.6&CDS=1-975	YDL111C
OG0002453	genemark-scaffold_3-processed-gene-11.7-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.7&CDS=1-348	YPL046C
OG0002454	genemark-scaffold_3-processed-gene-11.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.24&CDS=1-930	YNL110C
OG0002455	genemark-scaffold_3-processed-gene-11.26-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.26&CDS=1-762	YBR261C
OG0002456	genemark-scaffold_3-processed-gene-11.27-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.27&CDS=1-855	YLR192C
OG0002457	genemark-scaffold_3-processed-gene-11.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.11&CDS=1-3000	YPL084W
OG0002458	genemark-scaffold_3-processed-gene-11.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.29&CDS=1-3420	YPL183C
OG0002459	genemark-scaffold_3-processed-gene-11.13-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.13&CDS=1-888	YGL240W
OG0002460	genemark-scaffold_3-processed-gene-11.30-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.30&CDS=1-948	YCR002C
OG0002461	augustus_masked-scaffold_3-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.58&CDS=1-1221	YJL031C
OG0002462	genemark-scaffold_3-processed-gene-11.31-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.31&CDS=1-7068	YJL039C
OG0002463	genemark-scaffold_3-processed-gene-11.18-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.18&CDS=1-1026	YJL115W
OG0002464	augustus_masked-scaffold_3-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.76&CDS=1-1992	YOR334W
OG0002465	genemark-scaffold_3-processed-gene-12.136-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.136&CDS=1-1392	YJR013W
OG0002466	maker-scaffold_3-snap-gene-12.62-mRNA-1_1&gene=maker-scaffold_3-snap-gene-12.62&CDS=1-7485	YNR016C
OG0002467	genemark-scaffold_3-processed-gene-12.138-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.138&CDS=1-3102	YBR114W
OG0002468	maker-scaffold_3-snap-gene-12.60-mRNA-1_1&gene=maker-scaffold_3-snap-gene-12.60&CDS=1-2010	YJL093C
OG0002469	genemark-scaffold_3-processed-gene-12.166-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.166&CDS=1-2322	YDL063C
OG0002470	snap_masked-scaffold_3-processed-gene-12.33-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.33&CDS=1-4422	YLR386W
OG0002471	snap_masked-scaffold_3-processed-gene-12.34-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.34&CDS=1-471	YDL064W
OG0002472	genemark-scaffold_3-processed-gene-12.140-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.140&CDS=1-1179	YDL065C
OG0002473	genemark-scaffold_3-processed-gene-12.169-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.169&CDS=1-2049	YHR045W
OG0002474	genemark-scaffold_3-processed-gene-12.143-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.143&CDS=1-489	YNL208W
OG0002475	snap_masked-scaffold_3-processed-gene-12.39-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.39&CDS=1-1494	YNL207W
OG0002476	snap_masked-scaffold_3-processed-gene-12.40-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.40&CDS=1-3912	YDL231C
OG0002477	genemark-scaffold_3-processed-gene-12.144-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.144&CDS=1-1056	YLR220W
OG0002478	genemark-scaffold_3-processed-gene-12.145-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.145&CDS=1-708	YIL118W
OG0002479	genemark-scaffold_3-processed-gene-12.147-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.147&CDS=1-1326	YLL006W
OG0002480	snap_masked-scaffold_3-processed-gene-12.44-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.44&CDS=1-3309	YDL025C
OG0002481	maker-scaffold_3-snap-gene-12.68-mRNA-1_1&gene=maker-scaffold_3-snap-gene-12.68&CDS=1-2172	YOL060C
OG0002482	maker-scaffold_3-snap-gene-12.69-mRNA-1_1&gene=maker-scaffold_3-snap-gene-12.69&CDS=1-1629	YOL061W
OG0002483	genemark-scaffold_3-processed-gene-12.179-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.179&CDS=1-522	YMR035W
OG0002484	genemark-scaffold_3-processed-gene-12.151-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.151&CDS=1-2577	YNL021W
OG0002485	genemark-scaffold_3-processed-gene-12.152-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.152&CDS=1-2694	YNL020C
OG0002486	genemark-scaffold_3-processed-gene-12.153-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.153&CDS=1-2967	YNL041C
OG0002487	genemark-scaffold_3-processed-gene-12.183-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.183&CDS=1-1878	YEL065W
OG0002488	genemark-scaffold_3-processed-gene-12.155-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.155&CDS=1-1302	YIL160C
OG0002489	genemark-scaffold_3-processed-gene-12.156-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.156&CDS=1-1665	YIL099W
OG0002490	augustus_masked-scaffold_3-processed-gene-12.98-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.98&CDS=1-1929	YIL084C
OG0002491	genemark-scaffold_3-processed-gene-12.159-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.159&CDS=1-1191	YBL058W
OG0002492	genemark-scaffold_3-processed-gene-12.161-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.161&CDS=1-1164	YNL032W
OG0002493	genemark-scaffold_30-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_30-processed-gene-0.15&CDS=1-2682	YPR021C
OG0002494	genemark-scaffold_30-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_30-processed-gene-0.12&CDS=1-1467	YGL172W
OG0002495	maker-scaffold_31-snap-gene-0.23-mRNA-1_1&gene=maker-scaffold_31-snap-gene-0.23&CDS=1-1131	YMR193W
OG0002496	maker-scaffold_31-snap-gene-0.25-mRNA-1_1&gene=maker-scaffold_31-snap-gene-0.25&CDS=1-303	YMR194C-B
OG0002497	maker-scaffold_31-snap-gene-0.24-mRNA-1_1&gene=maker-scaffold_31-snap-gene-0.24&CDS=1-1350	YPL247C
OG0002498	snap_masked-scaffold_31-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scaffold_31-processed-gene-0.20&CDS=1-1143	YML121W
OG0002499	maker-scaffold_38-augustus-gene-0.0-mRNA-1_1&gene=maker-scaffold_38-augustus-gene-0.0&CDS=1-1218	YDL154W
OG0002500	augustus_masked-scaffold_38-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_38-processed-gene-0.6&CDS=1-1359	YDL153C
OG0002501	genemark-scaffold_4-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.82&CDS=1-1587	YEL058W
OG0002502	genemark-scaffold_4-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.97&CDS=1-2316	YNL247W
OG0002503	maker-scaffold_4-snap-gene-0.11-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.11&CDS=1-6450	YNL271C
OG0002504	maker-scaffold_4-augustus-gene-0.74-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-0.74&CDS=1-6357	YNL267W
OG0002505	genemark-scaffold_4-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.103&CDS=1-1476	YFL022C
OG0002506	genemark-scaffold_4-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.104&CDS=1-4770	YGL092W
OG0002507	genemark-scaffold_4-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.89&CDS=1-363	YLR295C
OG0002508	genemark-scaffold_4-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.106&CDS=1-1065	YGL115W
OG0002509	genemark-scaffold_4-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.90&CDS=1-453	YPR187W
OG0002510	augustus_masked-scaffold_4-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.67&CDS=1-1650	YGR048W
OG0002511	snap_masked-scaffold_4-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.41&CDS=1-4350	YNL118C
OG0002512	genemark-scaffold_4-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.93&CDS=1-2286	YER091C
OG0002513	genemark-scaffold_4-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.3&CDS=1-3441	YDR128W
OG0002514	snap_masked-scaffold_4-processed-gene-1.75-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.75&CDS=1-990	YGR144W
OG0002515	genemark-scaffold_4-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.5&CDS=1-930	YJR095W
OG0002516	genemark-scaffold_4-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.9&CDS=1-279	YNL015W
OG0002517	maker-scaffold_4-snap-gene-1.36-mRNA-1_1&gene=maker-scaffold_4-snap-gene-1.36&CDS=1-1560	YPR129W
OG0002518	genemark-scaffold_4-processed-gene-1.7-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.7&CDS=1-2019	YKL213C
OG0002519	genemark-scaffold_4-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.11&CDS=1-1962	YNL048W
OG0002520	genemark-scaffold_4-processed-gene-1.13-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.13&CDS=1-4743	YDR495C
OG0002521	genemark-scaffold_4-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.25&CDS=1-4590	YPR184W
OG0002522	genemark-scaffold_4-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.26&CDS=1-1095	YPR191W
OG0002523	genemark-scaffold_4-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.14&CDS=1-3075	YPR185W
OG0002524	genemark-scaffold_4-processed-gene-1.28-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.28&CDS=1-1584	YJL153C
OG0002525	snap_masked-scaffold_4-processed-gene-1.96-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.96&CDS=1-4842	YDR028C
OG0002526	maker-scaffold_4-snap-gene-1.37-mRNA-1_1&gene=maker-scaffold_4-snap-gene-1.37&CDS=1-2997	YLR115W
OG0002527	genemark-scaffold_4-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.16&CDS=1-1542	YIL010W
OG0002528	snap_masked-scaffold_4-processed-gene-1.83-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.83&CDS=1-1026	YPR182W
OG0002529	snap_masked-scaffold_4-processed-gene-1.99-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.99&CDS=1-3084	YGL180W
OG0002530	maker-scaffold_4-augustus-gene-1.2-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-1.2&CDS=1-1503	YKL114C
OG0002531	genemark-scaffold_4-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.18&CDS=1-483	YOR298C-A
OG0002532	genemark-scaffold_4-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.19&CDS=1-492	YDR155C
OG0002533	genemark-scaffold_4-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.32&CDS=1-1074	YGR165W
OG0002534	genemark-scaffold_4-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.20&CDS=1-1461	YJL145W
OG0002535	augustus_masked-scaffold_4-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.0&CDS=1-555	YAL059W
OG0002536	genemark-scaffold_4-processed-gene-2.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.43&CDS=1-1581	YDL207W
OG0002537	augustus_masked-scaffold_4-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.7&CDS=1-303	YBR058C-A
OG0002538	augustus_masked-scaffold_4-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.8&CDS=1-1656	YIR032C
OG0002539	genemark-scaffold_4-processed-gene-2.60-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.60&CDS=1-1428	YPL011C
OG0002540	genemark-scaffold_4-processed-gene-2.48-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.48&CDS=1-849	YNL056W
OG0002541	snap_masked-scaffold_4-processed-gene-2.96-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.96&CDS=1-1044	YPR139C
OG0002542	genemark-scaffold_4-processed-gene-2.53-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.53&CDS=1-804	YJR113C
OG0002543	genemark-scaffold_4-processed-gene-2.54-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.54&CDS=1-1542	YOL119C
OG0002544	augustus_masked-scaffold_4-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.18&CDS=1-2235	YPR181C
OG0002545	maker-scaffold_4-augustus-gene-3.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.0&CDS=1-2991	YJL033W
OG0002546	genemark-scaffold_4-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.39&CDS=1-1866	YML128C
OG0002547	snap_masked-scaffold_4-processed-gene-3.25-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.25&CDS=1-780	YJR102C
OG0002548	genemark-scaffold_4-processed-gene-3.41-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.41&CDS=1-1191	YGL048C
OG0002549	genemark-scaffold_4-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.42&CDS=1-1320	YGR161C
