	Metschnikowia_hamakuensis	Saccharomyces_cerevisiae
OG0002633	snap_masked-ham-_s558-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s558-processed-gene-0.3&CDS=1-2958	YIL047C
OG0002634	snap_masked-ham-_s558-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s558-processed-gene-0.2&CDS=1-3531	YIL048W
OG0002635	genemark-ham-_s564-processed-gene-0.38-mRNA-1_1&gene=genemark-ham-_s564-processed-gene-0.38&CDS=1-618	YOL114C
OG0002636	snap_masked-ham-_s564-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.20&CDS=1-2238	YJL057C
OG0002637	snap_masked-ham-_s564-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.33&CDS=1-492	YOL143C
OG0002638	snap_masked-ham-_s564-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.35&CDS=1-321	YKL084W
OG0002639	snap_masked-ham-_s564-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.24&CDS=1-1461	YDL155W
OG0002640	snap_masked-ham-_s564-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.25&CDS=1-768	YIL070C
OG0002641	augustus_masked-ham-_s564-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ham-_s564-processed-gene-0.15&CDS=1-2574	YPR112C
OG0002642	snap_masked-ham-_s57-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s57-processed-gene-0.15&CDS=1-345	YJR034W
OG0002643	genemark-ham-_s57-processed-gene-0.7-mRNA-1_1&gene=genemark-ham-_s57-processed-gene-0.7&CDS=1-3573	YML049C
OG0002644	snap_masked-ham-_s57-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ham-_s57-processed-gene-0.17&CDS=1-1410	YAR003W
OG0002645	genemark-ham-_s570-processed-gene-0.17-mRNA-1_1&gene=genemark-ham-_s570-processed-gene-0.17&CDS=1-2199	YLR352W
OG0002646	maker-ham-_s570-snap-gene-0.55-mRNA-1_1&gene=maker-ham-_s570-snap-gene-0.55&CDS=1-435	YPR017C
OG0002647	snap_masked-ham-_s570-processed-gene-0.41-mRNA-1_1&gene=snap_masked-ham-_s570-processed-gene-0.41&CDS=1-1434	YGL181W
OG0002648	snap_masked-ham-_s570-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ham-_s570-processed-gene-0.42&CDS=1-2661	YLL026W
OG0002649	snap_masked-ham-_s570-processed-gene-0.43-mRNA-1_1&gene=snap_masked-ham-_s570-processed-gene-0.43&CDS=1-735	YPR016C
OG0002650	snap_masked-ham-_s570-processed-gene-0.45-mRNA-1_1&gene=snap_masked-ham-_s570-processed-gene-0.45&CDS=1-5955	YLR305C
OG0002651	snap_masked-ham-_s570-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ham-_s570-processed-gene-0.47&CDS=1-1290	YDR148C
OG0002652	genemark-ham-_s58-processed-gene-0.11-mRNA-1_1&gene=genemark-ham-_s58-processed-gene-0.11&CDS=1-900	YKR025W
OG0002653	snap_masked-ham-_s58-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s58-processed-gene-0.2&CDS=1-2661	YKR024C
OG0002654	snap_masked-ham-_s587-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.27&CDS=1-576	YBR106W
OG0002655	genemark-ham-_s587-processed-gene-0.36-mRNA-1_1&gene=genemark-ham-_s587-processed-gene-0.36&CDS=1-498	YMR022W
OG0002656	snap_masked-ham-_s587-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.21&CDS=1-435	YPL225W
OG0002657	snap_masked-ham-_s587-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.22&CDS=1-963	YMR029C
OG0002658	genemark-ham-_s587-processed-gene-0.42-mRNA-1_1&gene=genemark-ham-_s587-processed-gene-0.42&CDS=1-4254	YPL226W
OG0002659	snap_masked-ham-_s587-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.25&CDS=1-2727	YML093W
OG0002660	snap_masked-ham-_s587-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.30&CDS=1-1665	YML086C
OG0002661	snap_masked-ham-_s587-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.26&CDS=1-1113	YPL181W
OG0002662	snap_masked-ham-_s587-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.31&CDS=1-1860	YGL095C
OG0002663	snap_masked-ham-_s59-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ham-_s59-processed-gene-0.19&CDS=1-3798	YBR235W
OG0002664	snap_masked-ham-_s59-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s59-processed-gene-0.25&CDS=1-921	YGR026W
OG0002665	snap_masked-ham-_s59-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ham-_s59-processed-gene-0.20&CDS=1-312	YBR233W-A
OG0002666	snap_masked-ham-_s59-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ham-_s59-processed-gene-0.21&CDS=1-1443	YLR359W
OG0002667	snap_masked-ham-_s591-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s591-processed-gene-0.15&CDS=1-2652	YOR165W
OG0002668	snap_masked-ham-_s591-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s591-processed-gene-0.16&CDS=1-2520	YJL102W
OG0002669	snap_masked-ham-_s591-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ham-_s591-processed-gene-0.17&CDS=1-1002	YEL004W
OG0002670	snap_masked-ham-_s593-processed-gene-0.46-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.46&CDS=1-1656	YIL166C
OG0002671	maker-ham-_s593-augustus-gene-0.41-mRNA-1_1&gene=maker-ham-_s593-augustus-gene-0.41&CDS=1-2949	YDR402C
OG0002672	augustus_masked-ham-_s593-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-ham-_s593-processed-gene-0.85&CDS=1-1689	YLL035W
OG0002673	snap_masked-ham-_s593-processed-gene-0.66-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.66&CDS=1-2577	YCR030C
OG0002674	snap_masked-ham-_s593-processed-gene-0.50-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.50&CDS=1-1518	YNL142W
OG0002675	snap_masked-ham-_s593-processed-gene-0.52-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.52&CDS=1-690	YPL213W
OG0002676	snap_masked-ham-_s593-processed-gene-0.53-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.53&CDS=1-4668	YGL131C
OG0002677	snap_masked-ham-_s593-processed-gene-0.54-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.54&CDS=1-1383	YGL130W
OG0002678	snap_masked-ham-_s593-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.67&CDS=1-390	YNL153C
OG0002679	maker-ham-_s593-snap-gene-0.2-mRNA-1_1&gene=maker-ham-_s593-snap-gene-0.2&CDS=1-1260	YGR111W
OG0002680	snap_masked-ham-_s593-processed-gene-0.70-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.70&CDS=1-1677	YDR536W
OG0002681	snap_masked-ham-_s593-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.71&CDS=1-1842	YLR023C
OG0002682	snap_masked-ham-_s593-processed-gene-0.73-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.73&CDS=1-2805	YPR097W
OG0002683	maker-ham-_s593-snap-gene-0.1-mRNA-1_1&gene=maker-ham-_s593-snap-gene-0.1&CDS=1-1653	YNR053C
OG0002684	snap_masked-ham-_s593-processed-gene-0.74-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.74&CDS=1-1515	YNR052C
OG0002685	snap_masked-ham-_s593-processed-gene-0.77-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.77&CDS=1-1806	YPR190C
OG0002686	snap_masked-ham-_s593-processed-gene-0.57-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.57&CDS=1-4170	YPR189W
OG0002687	snap_masked-ham-_s593-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.58&CDS=1-2244	YPR185W
OG0002688	snap_masked-ham-_s593-processed-gene-0.59-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.59&CDS=1-1473	YEL052W
OG0002689	snap_masked-ham-_s593-processed-gene-0.60-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.60&CDS=1-1689	YGR002C
OG0002690	snap_masked-ham-_s594-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s594-processed-gene-0.0&CDS=1-2781	YBR017C
OG0002691	snap_masked-ham-_s594-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s594-processed-gene-0.1&CDS=1-3486	YJR109C
OG0002692	snap_masked-ham-_s599-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.92&CDS=1-1890	YAR018C
OG0002693	snap_masked-ham-_s599-processed-gene-0.112-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.112&CDS=1-915	YAR015W
OG0002694	snap_masked-ham-_s599-processed-gene-0.93-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.93&CDS=1-597	YKL001C
OG0002695	snap_masked-ham-_s599-processed-gene-0.115-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.115&CDS=1-6369	YJL207C
OG0002696	snap_masked-ham-_s599-processed-gene-0.117-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.117&CDS=1-2016	YDR026C
OG0002697	snap_masked-ham-_s599-processed-gene-0.96-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.96&CDS=1-252	YLR038C
OG0002698	snap_masked-ham-_s599-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.118&CDS=1-699	YMR132C
OG0002699	snap_masked-ham-_s599-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.98&CDS=1-6741	YCR093W
OG0002700	snap_masked-ham-_s599-processed-gene-0.99-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.99&CDS=1-660	YDR177W
OG0002701	snap_masked-ham-_s599-processed-gene-0.100-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.100&CDS=1-1269	YNR051C
OG0002702	snap_masked-ham-_s599-processed-gene-0.119-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.119&CDS=1-2577	YIL143C
OG0002703	snap_masked-ham-_s599-processed-gene-0.120-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.120&CDS=1-1068	YKR092C
OG0002704	snap_masked-ham-_s599-processed-gene-0.121-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.121&CDS=1-1122	YOR084W
OG0002705	augustus_masked-ham-_s599-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ham-_s599-processed-gene-0.10&CDS=1-924	YIL145C
OG0002706	snap_masked-ham-_s599-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.123&CDS=1-1950	YGR119C
OG0002707	snap_masked-ham-_s599-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.105&CDS=1-1227	YPR065W
OG0002708	snap_masked-ham-_s599-processed-gene-0.126-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.126&CDS=1-1083	YKR071C
OG0002709	snap_masked-ham-_s599-processed-gene-0.106-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.106&CDS=1-1911	YIL144W
OG0002710	snap_masked-ham-_s599-processed-gene-0.128-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.128&CDS=1-552	YKR085C
OG0002711	snap_masked-ham-_s599-processed-gene-0.130-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.130&CDS=1-1572	YNL152W
OG0002712	snap_masked-ham-_s599-processed-gene-0.107-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.107&CDS=1-645	YNL151C
OG0002713	snap_masked-ham-_s599-processed-gene-0.131-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.131&CDS=1-1545	YPR137W
OG0002714	snap_masked-ham-_s599-processed-gene-0.132-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.132&CDS=1-393	YNL149C
OG0002715	snap_masked-ham-_s599-processed-gene-0.133-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.133&CDS=1-717	YNL148C
OG0002716	snap_masked-ham-_s599-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.108&CDS=1-438	YNL147W
OG0002717	snap_masked-ham-_s599-processed-gene-0.109-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.109&CDS=1-648	YHR128W
OG0002718	snap_masked-ham-_s599-processed-gene-0.135-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.135&CDS=1-468	YPR187W
OG0002719	snap_masked-ham-_s599-processed-gene-0.136-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.136&CDS=1-1119	YPR191W
OG0002720	snap_masked-ham-_s599-processed-gene-0.137-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.137&CDS=1-1278	YLR459W
OG0002721	snap_masked-ham-_s599-processed-gene-0.111-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.111&CDS=1-333	YPR182W
OG0002722	snap_masked-ham-_s6-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ham-_s6-processed-gene-0.9&CDS=1-786	YGL224C
OG0002723	genemark-ham-_s6-processed-gene-0.25-mRNA-1_1&gene=genemark-ham-_s6-processed-gene-0.25&CDS=1-4431	YDL195W
OG0002724	snap_masked-ham-_s6-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s6-processed-gene-0.14&CDS=1-300	YGR215W
OG0002725	snap_masked-ham-_s6-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s6-processed-gene-0.3&CDS=1-6513	YGR217W
OG0002726	augustus_masked-ham-_s6-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-ham-_s6-processed-gene-0.55&CDS=1-1479	YGR211W
OG0002727	snap_masked-ham-_s6-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s6-processed-gene-0.4&CDS=1-2262	YIL046W
OG0002728	snap_masked-ham-_s6-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ham-_s6-processed-gene-0.17&CDS=1-2157	YOL141W
OG0002729	snap_masked-ham-_s6-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s6-processed-gene-0.18&CDS=1-795	YOL142W
OG0002730	genemark-ham-_s6-processed-gene-0.40-mRNA-1_1&gene=genemark-ham-_s6-processed-gene-0.40&CDS=1-876	YLR128W
OG0002731	genemark-ham-_s6-processed-gene-0.31-mRNA-1_1&gene=genemark-ham-_s6-processed-gene-0.31&CDS=1-2010	YLR127C
OG0002732	maker-ham-_s6-snap-gene-0.24-mRNA-1_1&gene=maker-ham-_s6-snap-gene-0.24&CDS=1-1578	YDR145W
OG0002733	augustus_masked-ham-_s607-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_s607-processed-gene-0.2&CDS=1-3447	YDR270W
OG0002734	snap_masked-ham-_s607-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s607-processed-gene-0.27&CDS=1-2874	YOR160W
OG0002735	snap_masked-ham-_s607-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s607-processed-gene-0.22&CDS=1-561	YDR454C
OG0002736	snap_masked-ham-_s612-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s612-processed-gene-0.3&CDS=1-342	YOL133W
OG0002737	snap_masked-ham-_s612-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s612-processed-gene-0.0&CDS=1-741	YOL135C
OG0002738	snap_masked-ham-_s612-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s612-processed-gene-0.4&CDS=1-2136	YKL135C
OG0002739	snap_masked-ham-_s612-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s612-processed-gene-0.5&CDS=1-549	YJR074W
OG0002740	maker-ham-_s619-snap-gene-0.19-mRNA-1_1&gene=maker-ham-_s619-snap-gene-0.19&CDS=1-882	YNL316C
OG0002741	snap_masked-ham-_s619-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.11&CDS=1-462	YIL065C
OG0002742	snap_masked-ham-_s619-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.2&CDS=1-522	YKR065C
OG0002743	snap_masked-ham-_s619-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.3&CDS=1-2991	YIL125W
OG0002744	snap_masked-ham-_s619-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.14&CDS=1-861	YIL124W
OG0002745	snap_masked-ham-_s619-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.15&CDS=1-321	YDR286C
OG0002746	genemark-ham-_s619-processed-gene-0.43-mRNA-1_1&gene=genemark-ham-_s619-processed-gene-0.43&CDS=1-1932	YDR208W
OG0002747	snap_masked-ham-_s62-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ham-_s62-processed-gene-0.29&CDS=1-774	YML015C
OG0002748	augustus_masked-ham-_s62-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ham-_s62-processed-gene-0.24&CDS=1-1593	YPR060C
OG0002749	genemark-ham-_s620-processed-gene-0.6-mRNA-1_1&gene=genemark-ham-_s620-processed-gene-0.6&CDS=1-732	YOR305W
OG0002750	snap_masked-ham-_s620-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s620-processed-gene-0.4&CDS=1-1332	YLR286C
OG0002751	genemark-ham-_s63-processed-gene-0.19-mRNA-1_1&gene=genemark-ham-_s63-processed-gene-0.19&CDS=1-360	YOL005C
OG0002752	snap_masked-ham-_s63-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s63-processed-gene-0.0&CDS=1-4467	YOL004W
OG0002753	snap_masked-ham-_s63-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s63-processed-gene-0.6&CDS=1-3819	YOR296W
OG0002754	genemark-ham-_s63-processed-gene-0.23-mRNA-1_1&gene=genemark-ham-_s63-processed-gene-0.23&CDS=1-600	YOR294W
OG0002755	augustus_masked-ham-_s630-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ham-_s630-processed-gene-0.7&CDS=1-3267	YBL104C
OG0002756	maker-ham-_s632-snap-gene-0.0-mRNA-1_1&gene=maker-ham-_s632-snap-gene-0.0&CDS=1-5400	YMR176W
OG0002757	snap_masked-ham-_s632-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s632-processed-gene-0.10&CDS=1-2022	YJL090C
OG0002758	snap_masked-ham-_s632-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s632-processed-gene-0.12&CDS=1-693	YPL199C
OG0002759	snap_masked-ham-_s635-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.5&CDS=1-1821	YHR194W
OG0002760	genemark-ham-_s635-processed-gene-0.63-mRNA-1_1&gene=genemark-ham-_s635-processed-gene-0.63&CDS=1-1392	YKL194C
OG0002761	snap_masked-ham-_s635-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.33&CDS=1-1068	YLR418C
OG0002762	snap_masked-ham-_s635-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.8&CDS=1-2256	YLR424W
OG0002763	snap_masked-ham-_s635-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.10&CDS=1-798	YKL195W
OG0002764	snap_masked-ham-_s635-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.11&CDS=1-597	YKL196C
OG0002765	snap_masked-ham-_s635-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.35&CDS=1-1602	YOR359W
OG0002766	snap_masked-ham-_s635-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.36&CDS=1-1740	YOR360C
OG0002767	snap_masked-ham-_s635-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.39&CDS=1-4167	YBR115C
OG0002768	snap_masked-ham-_s635-processed-gene-0.40-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.40&CDS=1-2835	YBR114W
OG0002769	snap_masked-ham-_s635-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.42&CDS=1-711	YML025C
OG0002770	genemark-ham-_s635-processed-gene-0.99-mRNA-1_1&gene=genemark-ham-_s635-processed-gene-0.99&CDS=1-1899	YGL203C
OG0002771	snap_masked-ham-_s635-processed-gene-0.44-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.44&CDS=1-2691	YPR160W
OG0002772	genemark-ham-_s635-processed-gene-0.73-mRNA-1_1&gene=genemark-ham-_s635-processed-gene-0.73&CDS=1-5151	YFL033C
OG0002773	snap_masked-ham-_s635-processed-gene-0.45-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.45&CDS=1-876	YLR059C
OG0002774	snap_masked-ham-_s635-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.19&CDS=1-474	YLR050C
OG0002775	snap_masked-ham-_s635-processed-gene-0.46-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.46&CDS=1-258	YGR037C
OG0002776	snap_masked-ham-_s635-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.47&CDS=1-1626	YGL244W
OG0002777	snap_masked-ham-_s635-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.22&CDS=1-2433	YOR168W
OG0002778	snap_masked-ham-_s635-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.23&CDS=1-2109	YKL088W
OG0002779	maker-ham-_s635-snap-gene-0.2-mRNA-1_1&gene=maker-ham-_s635-snap-gene-0.2&CDS=1-1785	YDR120C
OG0002780	snap_masked-ham-_s635-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.25&CDS=1-309	YLR099W-A
OG0002781	augustus_masked-ham-_s635-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-ham-_s635-processed-gene-0.133&CDS=1-1038	YDR126W
OG0002782	snap_masked-ham-_s635-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.26&CDS=1-3204	YIR023W
OG0002783	snap_masked-ham-_s635-processed-gene-0.54-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.54&CDS=1-516	YKL013C
OG0002784	snap_masked-ham-_s635-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.55&CDS=1-1941	YKL012W
OG0002785	snap_masked-ham-_s64-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s64-processed-gene-0.11&CDS=1-4611	YML059C
OG0002786	maker-ham-_s643-snap-gene-0.0-mRNA-1_1&gene=maker-ham-_s643-snap-gene-0.0&CDS=1-1812	YKL062W
OG0002787	snap_masked-ham-_s646-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s646-processed-gene-0.14&CDS=1-2787	YNL049C
OG0002788	snap_masked-ham-_s646-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s646-processed-gene-0.16&CDS=1-1314	YNL051W
OG0002789	snap_masked-ham-_s648-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.7&CDS=1-642	YDR167W
OG0002790	snap_masked-ham-_s648-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.0&CDS=1-4167	YDR128W
OG0002791	snap_masked-ham-_s648-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.8&CDS=1-1026	YLR100W
OG0002792	snap_masked-ham-_s648-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.1&CDS=1-1239	YER019W
OG0002793	augustus_masked-ham-_s648-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ham-_s648-processed-gene-0.36&CDS=1-378	YLR104W
OG0002794	snap_masked-ham-_s648-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.4&CDS=1-2421	YGL113W
OG0002795	snap_masked-ham-_s648-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.14&CDS=1-1470	YGL112C
OG0002796	snap_masked-ham-_s648-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.5&CDS=1-1695	YLR149C
OG0002797	snap_masked-ham-_s648-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s648-processed-gene-0.6&CDS=1-2112	YLR103C
OG0002798	snap_masked-ham-_s654-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s654-processed-gene-0.11&CDS=1-309	YOR020C
OG0002799	maker-ham-_s654-snap-gene-0.21-mRNA-1_1&gene=maker-ham-_s654-snap-gene-0.21&CDS=1-2985	YPR163C
OG0002800	snap_masked-ham-_s654-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s654-processed-gene-0.14&CDS=1-468	YEL034W
OG0002801	snap_masked-ham-_s659-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.2&CDS=1-6843	YPL085W
OG0002802	snap_masked-ham-_s659-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.20&CDS=1-888	YOR311C
OG0002803	augustus_masked-ham-_s659-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-ham-_s659-processed-gene-0.90&CDS=1-1419	YMR023C
OG0002804	snap_masked-ham-_s659-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.6&CDS=1-1794	YPR048W
OG0002805	maker-ham-_s659-snap-gene-0.0-mRNA-1_1&gene=maker-ham-_s659-snap-gene-0.0&CDS=1-2001	YPR047W
OG0002806	maker-ham-_s659-snap-gene-0.1-mRNA-1_1&gene=maker-ham-_s659-snap-gene-0.1&CDS=1-657	YKL041W
OG0002807	snap_masked-ham-_s659-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.24&CDS=1-1074	YBR087W
OG0002808	snap_masked-ham-_s659-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.25&CDS=1-561	YER042W
OG0002809	snap_masked-ham-_s659-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.28&CDS=1-618	YOR289W
OG0002810	genemark-ham-_s659-processed-gene-0.57-mRNA-1_1&gene=genemark-ham-_s659-processed-gene-0.57&CDS=1-660	YMR134W
OG0002811	snap_masked-ham-_s659-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.30&CDS=1-1104	YMR135C
