	Komagataella_pastoris	Saccharomyces_cerevisiae
OG0002443	snap_masked-chromosome_3-processed-gene-12.5-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.5&CDS=1-1434	YHR070W
OG0002444	snap_masked-chromosome_3-processed-gene-12.21-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.21&CDS=1-2412	YOL076W
OG0002445	snap_masked-chromosome_3-processed-gene-12.24-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.24&CDS=1-2178	YMR154C
OG0002446	snap_masked-chromosome_3-processed-gene-12.25-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.25&CDS=1-1251	YPR075C
OG0002447	snap_masked-chromosome_3-processed-gene-12.26-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.26&CDS=1-819	YOR358W
OG0002448	maker-chromosome_3-snap-gene-12.95-mRNA-1_1&gene=maker-chromosome_3-snap-gene-12.95&CDS=1-462	YOR357C
OG0002449	snap_masked-chromosome_3-processed-gene-12.8-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.8&CDS=1-657	YLR178C
OG0002450	snap_masked-chromosome_3-processed-gene-12.9-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.9&CDS=1-2202	YAL043C
OG0002451	snap_masked-chromosome_3-processed-gene-12.27-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.27&CDS=1-1527	YDL030W
OG0002452	snap_masked-chromosome_3-processed-gene-12.28-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.28&CDS=1-3480	YBR235W
OG0002453	snap_masked-chromosome_3-processed-gene-12.29-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.29&CDS=1-1284	YBR236C
OG0002454	snap_masked-chromosome_3-processed-gene-12.31-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.31&CDS=1-5112	YKR031C
OG0002455	snap_masked-chromosome_3-processed-gene-12.11-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.11&CDS=1-1464	YPL262W
OG0002456	genemark-chromosome_3-processed-gene-12.83-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-12.83&CDS=1-2631	YGR144W
OG0002457	snap_masked-chromosome_3-processed-gene-12.12-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.12&CDS=1-1239	YNL248C
OG0002458	maker-chromosome_3-snap-gene-12.96-mRNA-1_1&gene=maker-chromosome_3-snap-gene-12.96&CDS=1-762	YNL246W
OG0002459	snap_masked-chromosome_3-processed-gene-12.37-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.37&CDS=1-2868	YMR080C
OG0002460	snap_masked-chromosome_3-processed-gene-12.40-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.40&CDS=1-1290	YPR084W
OG0002461	snap_masked-chromosome_3-processed-gene-12.41-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.41&CDS=1-1899	YEL065W
OG0002462	augustus_masked-chromosome_3-processed-gene-12.138-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-12.138&CDS=1-456	YBR120C
OG0002463	augustus_masked-chromosome_3-processed-gene-12.118-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-12.118&CDS=1-438	YPR082C
OG0002464	snap_masked-chromosome_3-processed-gene-12.19-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.19&CDS=1-996	YBR129C
OG0002465	snap_masked-chromosome_3-processed-gene-12.43-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.43&CDS=1-597	YKL001C
OG0002466	snap_masked-chromosome_3-processed-gene-12.44-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.44&CDS=1-1554	YJR003C
OG0002467	augustus_masked-chromosome_3-processed-gene-13.61-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-13.61&CDS=1-3342	YKL078W
OG0002468	genemark-chromosome_3-processed-gene-13.6-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-13.6&CDS=1-1509	YDL178W
OG0002469	snap_masked-chromosome_3-processed-gene-13.130-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.130&CDS=1-1566	YPL260W
OG0002470	snap_masked-chromosome_3-processed-gene-13.131-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.131&CDS=1-1728	YGR124W
OG0002471	maker-chromosome_3-snap-gene-13.121-mRNA-1_1&gene=maker-chromosome_3-snap-gene-13.121&CDS=1-1419	YDL103C
OG0002472	augustus_masked-chromosome_3-processed-gene-13.67-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-13.67&CDS=1-1185	YIR011C
OG0002473	maker-chromosome_3-augustus-gene-13.118-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-13.118&CDS=1-1899	YOR004W
OG0002474	snap_masked-chromosome_3-processed-gene-13.137-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.137&CDS=1-1995	YLR002C
OG0002475	snap_masked-chromosome_3-processed-gene-13.168-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.168&CDS=1-630	YDL018C
OG0002476	snap_masked-chromosome_3-processed-gene-13.138-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.138&CDS=1-948	YNR007C
OG0002477	augustus_masked-chromosome_3-processed-gene-13.70-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-13.70&CDS=1-1386	YDL020C
OG0002478	snap_masked-chromosome_3-processed-gene-13.140-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.140&CDS=1-879	YIL076W
OG0002479	genemark-chromosome_3-processed-gene-13.16-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-13.16&CDS=1-4551	YIR006C
OG0002480	snap_masked-chromosome_3-processed-gene-13.173-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.173&CDS=1-1887	YAL048C
OG0002481	snap_masked-chromosome_3-processed-gene-13.145-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.145&CDS=1-804	YOR362C
OG0002482	snap_masked-chromosome_3-processed-gene-13.146-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.146&CDS=1-2145	YOR361C
OG0002483	genemark-chromosome_3-processed-gene-13.47-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-13.47&CDS=1-357	YAL046C
OG0002484	snap_masked-chromosome_3-processed-gene-13.175-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.175&CDS=1-1605	YOR329C
OG0002485	augustus_masked-chromosome_3-processed-gene-13.106-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-13.106&CDS=1-3036	YOR330C
OG0002486	snap_masked-chromosome_3-processed-gene-13.149-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.149&CDS=1-690	YOR332W
OG0002487	augustus_masked-chromosome_3-processed-gene-13.107-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-13.107&CDS=1-2574	YAL031C
OG0002488	snap_masked-chromosome_3-processed-gene-13.178-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.178&CDS=1-1317	YOR334W
OG0002489	snap_masked-chromosome_3-processed-gene-13.150-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.150&CDS=1-933	YOR340C
OG0002490	snap_masked-chromosome_3-processed-gene-13.151-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.151&CDS=1-822	YAL034W-A
OG0002491	snap_masked-chromosome_3-processed-gene-13.179-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.179&CDS=1-504	YOR339C
OG0002492	snap_masked-chromosome_3-processed-gene-13.180-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.180&CDS=1-441	YBR082C
OG0002493	snap_masked-chromosome_3-processed-gene-13.153-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.153&CDS=1-3192	YJL050W
OG0002494	snap_masked-chromosome_3-processed-gene-13.155-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.155&CDS=1-3573	YBR081C
OG0002495	augustus_masked-chromosome_3-processed-gene-13.86-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-13.86&CDS=1-3876	YMR129W
OG0002496	snap_masked-chromosome_3-processed-gene-13.157-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.157&CDS=1-855	YLR243W
OG0002497	snap_masked-chromosome_3-processed-gene-13.159-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.159&CDS=1-621	YLR246W
OG0002498	snap_masked-chromosome_3-processed-gene-13.160-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.160&CDS=1-762	YLR168C
OG0002499	maker-chromosome_3-snap-gene-13.126-mRNA-1_1&gene=maker-chromosome_3-snap-gene-13.126&CDS=1-729	YDR183W
OG0002500	snap_masked-chromosome_3-processed-gene-13.163-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.163&CDS=1-909	YDR204W
OG0002501	maker-chromosome_3-snap-gene-13.123-mRNA-1_1&gene=maker-chromosome_3-snap-gene-13.123&CDS=1-468	YLR245C
OG0002502	snap_masked-chromosome_3-processed-gene-13.184-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.184&CDS=1-3075	YOR373W
OG0002503	snap_masked-chromosome_3-processed-gene-14.55-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.55&CDS=1-3459	YPL226W
OG0002504	snap_masked-chromosome_3-processed-gene-14.57-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.57&CDS=1-846	YNL210W
OG0002505	snap_masked-chromosome_3-processed-gene-14.60-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.60&CDS=1-3339	YOR005C
OG0002506	snap_masked-chromosome_3-processed-gene-14.59-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.59&CDS=1-1683	YDR062W
OG0002507	snap_masked-chromosome_3-processed-gene-14.83-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.83&CDS=1-1278	YDR072C
OG0002508	snap_masked-chromosome_3-processed-gene-14.62-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.62&CDS=1-1857	YLL007C
OG0002509	snap_masked-chromosome_3-processed-gene-14.84-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.84&CDS=1-843	YKR062W
OG0002510	snap_masked-chromosome_3-processed-gene-14.85-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.85&CDS=1-2283	YLL008W
OG0002511	snap_masked-chromosome_3-processed-gene-14.63-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.63&CDS=1-1803	YPL164C
OG0002512	snap_masked-chromosome_3-processed-gene-14.87-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.87&CDS=1-939	YLR017W
OG0002513	snap_masked-chromosome_3-processed-gene-14.64-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.64&CDS=1-1389	YJL002C
OG0002514	maker-chromosome_3-snap-gene-14.0-mRNA-1_1&gene=maker-chromosome_3-snap-gene-14.0&CDS=1-1443	YOR250C
OG0002515	snap_masked-chromosome_3-processed-gene-14.89-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.89&CDS=1-555	YJL004C
OG0002516	maker-chromosome_3-augustus-gene-14.52-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-14.52&CDS=1-1887	YHR104W
OG0002517	snap_masked-chromosome_3-processed-gene-14.66-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.66&CDS=1-726	YPL162C
OG0002518	snap_masked-chromosome_3-processed-gene-14.67-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.67&CDS=1-648	YJL001W
OG0002519	snap_masked-chromosome_3-processed-gene-14.68-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.68&CDS=1-1224	YLL002W
OG0002520	snap_masked-chromosome_3-processed-gene-14.71-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.71&CDS=1-663	YGR095C
OG0002521	augustus_masked-chromosome_3-processed-gene-14.40-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-14.40&CDS=1-3141	YGR094W
OG0002522	snap_masked-chromosome_3-processed-gene-14.72-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.72&CDS=1-1341	YGR091W
OG0002523	snap_masked-chromosome_3-processed-gene-14.73-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.73&CDS=1-918	YGR096W
OG0002524	snap_masked-chromosome_3-processed-gene-14.95-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.95&CDS=1-1686	YPR144C
OG0002525	maker-chromosome_3-augustus-gene-14.53-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-14.53&CDS=1-6489	YLR451W
OG0002526	snap_masked-chromosome_3-processed-gene-14.74-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.74&CDS=1-1347	YJR124C
OG0002527	augustus_masked-chromosome_3-processed-gene-14.23-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-14.23&CDS=1-663	YJR123W
OG0002528	snap_masked-chromosome_3-processed-gene-14.75-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.75&CDS=1-837	YPR192W
OG0002529	snap_masked-chromosome_3-processed-gene-14.99-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.99&CDS=1-1890	YPR175W
OG0002530	snap_masked-chromosome_3-processed-gene-14.78-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.78&CDS=1-591	YGL237C
OG0002531	genemark-chromosome_3-processed-gene-14.152-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-14.152&CDS=1-4836	YGL238W
OG0002532	snap_masked-chromosome_3-processed-gene-14.79-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.79&CDS=1-978	YFR045W
OG0002533	snap_masked-chromosome_3-processed-gene-14.103-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.103&CDS=1-2358	YGL234W
OG0002534	snap_masked-chromosome_3-processed-gene-14.80-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.80&CDS=1-1113	YNL103W
OG0002535	snap_masked-chromosome_3-processed-gene-14.81-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.81&CDS=1-1734	YER032W
OG0002536	snap_masked-chromosome_3-processed-gene-14.105-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.105&CDS=1-2430	YMR309C
OG0002537	snap_masked-chromosome_3-processed-gene-14.82-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.82&CDS=1-1086	YGL211W
OG0002538	snap_masked-chromosome_3-processed-gene-15.2-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.2&CDS=1-6327	YFL007W
OG0002539	augustus_masked-chromosome_3-processed-gene-15.106-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-15.106&CDS=1-1647	YGL160W
OG0002540	snap_masked-chromosome_3-processed-gene-15.4-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.4&CDS=1-582	YEL012W
OG0002541	snap_masked-chromosome_3-processed-gene-15.6-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.6&CDS=1-2109	YLR258W
OG0002542	snap_masked-chromosome_3-processed-gene-15.8-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.8&CDS=1-2379	YLR222C
OG0002543	augustus_masked-chromosome_3-processed-gene-15.112-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-15.112&CDS=1-558	YGR251W
OG0002544	augustus_masked-chromosome_3-processed-gene-15.113-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-15.113&CDS=1-1191	YOR201C
OG0002545	snap_masked-chromosome_3-processed-gene-15.35-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.35&CDS=1-1014	YPL118W
OG0002546	maker-chromosome_3-snap-gene-15.102-mRNA-1_1&gene=maker-chromosome_3-snap-gene-15.102&CDS=1-1233	YHR016C
OG0002547	augustus_masked-chromosome_3-processed-gene-15.116-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-15.116&CDS=1-3021	YCR014C
OG0002548	snap_masked-chromosome_3-processed-gene-15.18-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.18&CDS=1-1149	YER020W
OG0002549	snap_masked-chromosome_3-processed-gene-15.20-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.20&CDS=1-2760	YGR100W
OG0002550	snap_masked-chromosome_3-processed-gene-15.21-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.21&CDS=1-1656	YKL103C
OG0002551	genemark-chromosome_3-processed-gene-15.90-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-15.90&CDS=1-918	YDR282C
OG0002552	snap_masked-chromosome_3-processed-gene-15.40-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.40&CDS=1-447	YMR002W
OG0002553	snap_masked-chromosome_3-processed-gene-15.41-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.41&CDS=1-660	YMR003W
OG0002554	snap_masked-chromosome_3-processed-gene-15.42-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.42&CDS=1-1041	YKL114C
OG0002555	augustus_masked-chromosome_3-processed-gene-15.125-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-15.125&CDS=1-1266	YNL193W
OG0002556	augustus_masked-chromosome_3-processed-gene-15.126-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-15.126&CDS=1-1785	YPR018W
OG0002557	snap_masked-chromosome_3-processed-gene-15.46-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.46&CDS=1-3408	YLL021W
OG0002558	snap_masked-chromosome_3-processed-gene-15.47-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.47&CDS=1-624	YLR312W-A
OG0002559	snap_masked-chromosome_3-processed-gene-15.28-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.28&CDS=1-1632	YGL171W
OG0002560	snap_masked-chromosome_3-processed-gene-15.48-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.48&CDS=1-432	YPR020W
OG0002561	augustus_masked-chromosome_3-processed-gene-15.128-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-15.128&CDS=1-1914	YLR141W
OG0002562	maker-chromosome_3-augustus-gene-15.147-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-15.147&CDS=1-4098	YHR024C
OG0002563	snap_masked-chromosome_3-processed-gene-16.105-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.105&CDS=1-432	YHR051W
OG0002564	snap_masked-chromosome_3-processed-gene-16.107-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.107&CDS=1-2313	YJL041W
OG0002565	snap_masked-chromosome_3-processed-gene-16.103-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.103&CDS=1-744	YKL152C
OG0002566	snap_masked-chromosome_3-processed-gene-16.131-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.131&CDS=1-2193	YPL207W
OG0002567	snap_masked-chromosome_3-processed-gene-16.109-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.109&CDS=1-960	YOR142W
OG0002568	snap_masked-chromosome_3-processed-gene-16.133-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.133&CDS=1-2175	YGR150C
OG0002569	snap_masked-chromosome_3-processed-gene-16.136-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.136&CDS=1-981	YGR080W
OG0002570	snap_masked-chromosome_3-processed-gene-16.113-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.113&CDS=1-1572	YER025W
OG0002571	augustus_masked-chromosome_3-processed-gene-16.37-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-16.37&CDS=1-1809	YLR452C
OG0002572	snap_masked-chromosome_3-processed-gene-16.114-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.114&CDS=1-1824	YFL053W
OG0002573	snap_masked-chromosome_3-processed-gene-16.116-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.116&CDS=1-1680	YPL214C
OG0002574	snap_masked-chromosome_3-processed-gene-16.138-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.138&CDS=1-1200	YPR140W
OG0002575	snap_masked-chromosome_3-processed-gene-16.139-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.139&CDS=1-2982	YOR048C
OG0002576	snap_masked-chromosome_3-processed-gene-16.120-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.120&CDS=1-1431	YLR006C
OG0002577	maker-chromosome_3-snap-gene-16.53-mRNA-1_1&gene=maker-chromosome_3-snap-gene-16.53&CDS=1-3204	YJL020C
OG0002578	snap_masked-chromosome_3-processed-gene-16.141-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.141&CDS=1-5079	YDR283C
OG0002579	snap_masked-chromosome_3-processed-gene-16.121-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.121&CDS=1-2067	YMR224C
OG0002580	snap_masked-chromosome_3-processed-gene-16.122-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.122&CDS=1-672	YJR099W
OG0002581	augustus_masked-chromosome_3-processed-gene-16.44-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-16.44&CDS=1-1116	YDR286C
OG0002582	snap_masked-chromosome_3-processed-gene-16.145-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.145&CDS=1-1389	YLR163C
OG0002583	augustus_masked-chromosome_3-processed-gene-16.25-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-16.25&CDS=1-3720	YKL210W
OG0002584	snap_masked-chromosome_3-processed-gene-16.146-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.146&CDS=1-2694	YDR166C
OG0002585	augustus_masked-chromosome_3-processed-gene-16.27-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-16.27&CDS=1-636	YJR073C
OG0002586	snap_masked-chromosome_3-processed-gene-16.127-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.127&CDS=1-1128	YKL178C
OG0002587	snap_masked-chromosome_3-processed-gene-16.148-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.148&CDS=1-381	YCR028C-A
OG0002588	snap_masked-chromosome_3-processed-gene-16.130-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.130&CDS=1-2523	YCR030C
OG0002589	snap_masked-chromosome_3-processed-gene-17.60-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.60&CDS=1-897	YJL068C
OG0002590	snap_masked-chromosome_3-processed-gene-17.61-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.61&CDS=1-585	YMR295C
OG0002591	snap_masked-chromosome_3-processed-gene-17.66-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.66&CDS=1-1059	YLR377C
OG0002592	snap_masked-chromosome_3-processed-gene-17.63-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.63&CDS=1-1092	YDL055C
OG0002593	snap_masked-chromosome_3-processed-gene-17.64-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.64&CDS=1-3663	YIL115C
OG0002594	snap_masked-chromosome_3-processed-gene-17.69-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.69&CDS=1-999	YML067C
OG0002595	snap_masked-chromosome_3-processed-gene-17.70-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.70&CDS=1-1152	YDR502C
OG0002596	snap_masked-chromosome_3-processed-gene-17.71-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.71&CDS=1-1434	YHR009C
OG0002597	snap_masked-chromosome_3-processed-gene-17.72-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.72&CDS=1-1170	YDR346C
OG0002598	snap_masked-chromosome_3-processed-gene-17.73-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.73&CDS=1-369	YDR469W
OG0002599	snap_masked-chromosome_3-processed-gene-17.95-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.95&CDS=1-1485	YDR470C
OG0002600	snap_masked-chromosome_3-processed-gene-17.96-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.96&CDS=1-780	YOR145C
OG0002601	maker-chromosome_3-augustus-gene-17.6-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-17.6&CDS=1-2262	YDR394W
OG0002602	augustus_masked-chromosome_3-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-17.43&CDS=1-1422	YOR149C
OG0002603	snap_masked-chromosome_3-processed-gene-17.99-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.99&CDS=1-423	YDR397C
OG0002604	snap_masked-chromosome_3-processed-gene-17.78-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.78&CDS=1-627	YDR399W
OG0002605	maker-chromosome_3-augustus-gene-17.7-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-17.7&CDS=1-1854	YER043C
OG0002606	snap_masked-chromosome_3-processed-gene-17.81-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.81&CDS=1-1512	YHR204W
OG0002607	genemark-chromosome_3-processed-gene-17.139-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-17.139&CDS=1-2049	YHR205W
OG0002608	snap_masked-chromosome_3-processed-gene-17.101-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.101&CDS=1-1392	YHR207C
OG0002609	snap_masked-chromosome_3-processed-gene-17.85-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.85&CDS=1-2745	YHR027C
OG0002610	maker-chromosome_3-augustus-gene-17.9-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-17.9&CDS=1-1575	YHR025W
OG0002611	snap_masked-chromosome_3-processed-gene-17.104-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.104&CDS=1-735	YOR238W
OG0002612	snap_masked-chromosome_3-processed-gene-17.107-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.107&CDS=1-1167	YPL146C
OG0002613	snap_masked-chromosome_3-processed-gene-17.86-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.86&CDS=1-1086	YER095W
OG0002614	augustus_masked-chromosome_3-processed-gene-17.53-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-17.53&CDS=1-2496	YBL066C
OG0002615	snap_masked-chromosome_3-processed-gene-17.88-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.88&CDS=1-2037	YGL236C
OG0002616	snap_masked-chromosome_3-processed-gene-17.89-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.89&CDS=1-783	YLR003C
OG0002617	snap_masked-chromosome_3-processed-gene-17.90-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.90&CDS=1-1065	YMR024W
OG0002618	snap_masked-chromosome_3-processed-gene-17.113-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.113&CDS=1-3918	YBL034C
OG0002619	snap_masked-chromosome_3-processed-gene-17.114-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.114&CDS=1-663	YFR027W
OG0002620	snap_masked-chromosome_3-processed-gene-17.91-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.91&CDS=1-900	YFR047C
