	Candida_auris	Saccharomyces_cerevisiae
OG0002699	snap_masked-LGST01000043.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.16&CDS=1-1674	YPR088C
OG0002700	snap_masked-LGST01000043.1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.34&CDS=1-357	YKL160W
OG0002701	augustus_masked-LGST01000043.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-LGST01000043.1-processed-gene-1.119&CDS=1-2628	YHR007C
OG0002702	snap_masked-LGST01000043.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.39&CDS=1-1068	YOR032C
OG0002703	snap_masked-LGST01000043.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.18&CDS=1-1299	YDR465C
OG0002704	snap_masked-LGST01000043.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.19&CDS=1-1479	YHR024C
OG0002705	snap_masked-LGST01000043.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.41&CDS=1-1632	YKR002W
OG0002706	snap_masked-LGST01000043.1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.21&CDS=1-2625	YNL267W
OG0002707	snap_masked-LGST01000043.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-1.22&CDS=1-2433	YJL204C
OG0002708	snap_masked-LGST01000043.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.6&CDS=1-486	YBR122C
OG0002709	snap_masked-LGST01000043.1-processed-gene-2.5-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.5&CDS=1-1623	YJL111W
OG0002710	augustus_masked-LGST01000043.1-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-LGST01000043.1-processed-gene-2.98&CDS=1-1659	YML123C
OG0002711	snap_masked-LGST01000043.1-processed-gene-2.22-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.22&CDS=1-1146	YLR180W
OG0002712	snap_masked-LGST01000043.1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.11&CDS=1-3213	YCL061C
OG0002713	snap_masked-LGST01000043.1-processed-gene-2.24-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.24&CDS=1-1149	YCL059C
OG0002714	snap_masked-LGST01000043.1-processed-gene-2.13-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.13&CDS=1-1254	YIR012W
OG0002715	snap_masked-LGST01000043.1-processed-gene-2.14-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.14&CDS=1-1389	YIR008C
OG0002716	snap_masked-LGST01000043.1-processed-gene-2.27-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.27&CDS=1-585	YER012W
OG0002717	snap_masked-LGST01000043.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.28&CDS=1-702	YBR256C
OG0002718	snap_masked-LGST01000043.1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.33&CDS=1-1248	YIL160C
OG0002719	genemark-LGST01000043.1-processed-gene-2.82-mRNA-1_1&gene=genemark-LGST01000043.1-processed-gene-2.82&CDS=1-2754	YNL313C
OG0002720	augustus_masked-LGST01000043.1-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-LGST01000043.1-processed-gene-2.129&CDS=1-2070	YBR060C
OG0002721	augustus_masked-LGST01000043.1-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-LGST01000043.1-processed-gene-2.106&CDS=1-333	YDR045C
OG0002722	snap_masked-LGST01000043.1-processed-gene-2.42-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.42&CDS=1-990	YBR065C
OG0002723	snap_masked-LGST01000043.1-processed-gene-2.43-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.43&CDS=1-3948	YMR259C
OG0002724	genemark-LGST01000043.1-processed-gene-2.63-mRNA-1_1&gene=genemark-LGST01000043.1-processed-gene-2.63&CDS=1-2730	YBR073W
OG0002725	snap_masked-LGST01000043.1-processed-gene-2.45-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.45&CDS=1-1761	YDR049W
OG0002726	maker-LGST01000043.1-snap-gene-2.137-mRNA-1_1&gene=maker-LGST01000043.1-snap-gene-2.137&CDS=1-1083	YDR047W
OG0002727	snap_masked-LGST01000043.1-processed-gene-2.47-mRNA-1_1&gene=snap_masked-LGST01000043.1-processed-gene-2.47&CDS=1-3021	YBR074W
OG0002728	augustus_masked-LGST01000043.1-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-LGST01000043.1-processed-gene-2.109&CDS=1-525	YOL132W
OG0002729	snap_masked-LGST01000044.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LGST01000044.1-processed-gene-0.19&CDS=1-708	YDL087C
OG0002730	snap_masked-LGST01000044.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LGST01000044.1-processed-gene-0.20&CDS=1-1983	YLL007C
OG0002731	snap_masked-LGST01000044.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-LGST01000044.1-processed-gene-0.21&CDS=1-2214	YLL008W
OG0002732	snap_masked-LGST01000044.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LGST01000044.1-processed-gene-0.22&CDS=1-564	YJL004C
OG0002733	snap_masked-LGST01000045.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-LGST01000045.1-processed-gene-0.47&CDS=1-1389	YNR062C
OG0002734	snap_masked-LGST01000045.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LGST01000045.1-processed-gene-0.56&CDS=1-1650	YNR063W
OG0002735	snap_masked-LGST01000045.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LGST01000045.1-processed-gene-0.64&CDS=1-1959	YMR168C
OG0002736	augustus_masked-LGST01000046.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LGST01000046.1-processed-gene-0.62&CDS=1-3597	YLR001C
OG0002737	snap_masked-LGST01000046.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.46&CDS=1-630	YKL070W
OG0002738	snap_masked-LGST01000046.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.35&CDS=1-909	YLR220W
OG0002739	snap_masked-LGST01000046.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.37&CDS=1-684	YGR232W
OG0002740	snap_masked-LGST01000046.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.51&CDS=1-1269	YER061C
OG0002741	snap_masked-LGST01000046.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LGST01000046.1-processed-gene-0.54&CDS=1-1755	YPR155C
OG0002742	snap_masked-LGST01000047.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.35&CDS=1-1428	YDR402C
OG0002743	maker-LGST01000047.1-augustus-gene-0.164-mRNA-1_1&gene=maker-LGST01000047.1-augustus-gene-0.164&CDS=1-2727	YCR030C
OG0002744	snap_masked-LGST01000047.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.9&CDS=1-1518	YNL142W
OG0002745	augustus_masked-LGST01000047.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-LGST01000047.1-processed-gene-0.119&CDS=1-6318	YGL131C
OG0002746	snap_masked-LGST01000047.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.13&CDS=1-1437	YGL130W
OG0002747	snap_masked-LGST01000047.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.38&CDS=1-387	YNL153C
OG0002748	snap_masked-LGST01000047.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.39&CDS=1-1221	YGR111W
OG0002749	snap_masked-LGST01000047.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.42&CDS=1-1812	YJL085W
OG0002750	maker-LGST01000047.1-snap-gene-0.166-mRNA-1_1&gene=maker-LGST01000047.1-snap-gene-0.166&CDS=1-3198	YJL087C
OG0002751	snap_masked-LGST01000047.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.15&CDS=1-1365	YDR531W
OG0002752	snap_masked-LGST01000047.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.16&CDS=1-1296	YPL112C
OG0002753	snap_masked-LGST01000047.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.43&CDS=1-1146	YGR012W
OG0002754	snap_masked-LGST01000047.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.45&CDS=1-777	YHR090C
OG0002755	snap_masked-LGST01000047.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.19&CDS=1-693	YEL038W
OG0002756	snap_masked-LGST01000047.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.50&CDS=1-1101	YEL037C
OG0002757	snap_masked-LGST01000047.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.20&CDS=1-3204	YDR464W
OG0002758	augustus_masked-LGST01000047.1-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-LGST01000047.1-processed-gene-0.128&CDS=1-5118	YFL008W
OG0002759	snap_masked-LGST01000047.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.52&CDS=1-2844	YLR336C
OG0002760	snap_masked-LGST01000047.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.23&CDS=1-1053	YGR028W
OG0002761	snap_masked-LGST01000047.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.24&CDS=1-2613	YMR302C
OG0002762	snap_masked-LGST01000047.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.54&CDS=1-1476	YPL020C
OG0002763	augustus_masked-LGST01000047.1-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-LGST01000047.1-processed-gene-0.132&CDS=1-555	YPL010W
OG0002764	augustus_masked-LGST01000047.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-LGST01000047.1-processed-gene-0.133&CDS=1-1422	YPL011C
OG0002765	snap_masked-LGST01000047.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-LGST01000047.1-processed-gene-0.29&CDS=1-924	YLR308W
OG0002766	snap_masked-LGST01000048.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.6&CDS=1-3792	YOL075C
OG0002767	snap_masked-LGST01000048.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.7&CDS=1-480	YPL059W
OG0002768	snap_masked-LGST01000048.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.8&CDS=1-4683	YKL014C
OG0002769	snap_masked-LGST01000048.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.10&CDS=1-2175	YKL017C
OG0002770	snap_masked-LGST01000048.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.12&CDS=1-3000	YKL015W
OG0002771	snap_masked-LGST01000048.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.44&CDS=1-987	YPR004C
OG0002772	snap_masked-LGST01000048.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.15&CDS=1-714	YDR071C
OG0002773	snap_masked-LGST01000048.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.16&CDS=1-963	YHR083W
OG0002774	snap_masked-LGST01000048.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.17&CDS=1-1431	YFR006W
OG0002775	snap_masked-LGST01000048.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.18&CDS=1-1338	YER136W
OG0002776	augustus_masked-LGST01000048.1-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-LGST01000048.1-processed-gene-0.171&CDS=1-987	YER143W
OG0002777	augustus_masked-LGST01000048.1-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-LGST01000048.1-processed-gene-0.172&CDS=1-282	YER146W
OG0002778	snap_masked-LGST01000048.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.47&CDS=1-1893	YLR006C
OG0002779	snap_masked-LGST01000048.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.48&CDS=1-981	YDR068W
OG0002780	snap_masked-LGST01000048.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.19&CDS=1-1641	YDR061W
OG0002781	snap_masked-LGST01000048.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.20&CDS=1-1665	YDR062W
OG0002782	snap_masked-LGST01000048.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.21&CDS=1-606	YDR067C
OG0002783	augustus_masked-LGST01000048.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-LGST01000048.1-processed-gene-0.150&CDS=1-933	YKR026C
OG0002784	augustus_masked-LGST01000048.1-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-LGST01000048.1-processed-gene-0.176&CDS=1-1371	YNL011C
OG0002785	maker-LGST01000048.1-snap-gene-0.131-mRNA-1_1&gene=maker-LGST01000048.1-snap-gene-0.131&CDS=1-945	YMR116C
OG0002786	snap_masked-LGST01000048.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.26&CDS=1-516	YMR112C
OG0002787	snap_masked-LGST01000048.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.52&CDS=1-654	YDR013W
OG0002788	snap_masked-LGST01000048.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.27&CDS=1-1098	YOL009C
OG0002789	snap_masked-LGST01000048.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.53&CDS=1-3183	YKL197C
OG0002790	snap_masked-LGST01000048.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.54&CDS=1-483	YDR231C
OG0002791	maker-LGST01000048.1-snap-gene-0.132-mRNA-1_1&gene=maker-LGST01000048.1-snap-gene-0.132&CDS=1-750	YKL207W
OG0002792	snap_masked-LGST01000048.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.29&CDS=1-1149	YJR072C
OG0002793	snap_masked-LGST01000048.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.30&CDS=1-786	YLR285W
OG0002794	genemark-LGST01000048.1-processed-gene-0.119-mRNA-1_1&gene=genemark-LGST01000048.1-processed-gene-0.119&CDS=1-3432	YBL023C
OG0002795	snap_masked-LGST01000048.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.61&CDS=1-3207	YBL022C
OG0002796	snap_masked-LGST01000048.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.63&CDS=1-2043	YBL024W
OG0002797	snap_masked-LGST01000048.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.64&CDS=1-912	YBL021C
OG0002798	augustus_masked-LGST01000048.1-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-LGST01000048.1-processed-gene-0.160&CDS=1-1581	YBL020W
OG0002799	genemark-LGST01000048.1-processed-gene-0.124-mRNA-1_1&gene=genemark-LGST01000048.1-processed-gene-0.124&CDS=1-1644	YBL026W
OG0002800	snap_masked-LGST01000048.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.36&CDS=1-3138	YNL132W
OG0002801	snap_masked-LGST01000048.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.66&CDS=1-699	YNL129W
OG0002802	snap_masked-LGST01000048.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LGST01000048.1-processed-gene-0.67&CDS=1-648	YDR486C
OG0002803	snap_masked-LGST01000049.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-LGST01000049.1-processed-gene-0.12&CDS=1-1014	YJL088W
OG0002804	snap_masked-LGST01000049.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LGST01000049.1-processed-gene-0.18&CDS=1-849	YEL009C
OG0002805	snap_masked-LGST01000049.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-LGST01000049.1-processed-gene-0.21&CDS=1-3000	YCR092C
OG0002806	snap_masked-LGST01000049.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LGST01000049.1-processed-gene-0.23&CDS=1-1851	YMR068W
OG0002807	genemark-LGST01000050.1-processed-gene-0.157-mRNA-1_1&gene=genemark-LGST01000050.1-processed-gene-0.157&CDS=1-2289	YCR091W
OG0002808	snap_masked-LGST01000050.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.89&CDS=1-2649	YGR003W
OG0002809	snap_masked-LGST01000050.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.63&CDS=1-2334	YGL009C
OG0002810	snap_masked-LGST01000050.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.66&CDS=1-1020	YGL159W
OG0002811	snap_masked-LGST01000050.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.67&CDS=1-1674	YDR481C
OG0002812	snap_masked-LGST01000050.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.92&CDS=1-1170	YEL046C
OG0002813	snap_masked-LGST01000050.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.95&CDS=1-1770	YHL029C
OG0002814	snap_masked-LGST01000050.1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.96&CDS=1-5505	YHL030W
OG0002815	augustus_masked-LGST01000050.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LGST01000050.1-processed-gene-0.31&CDS=1-5499	YAL026C
OG0002816	snap_masked-LGST01000050.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.70&CDS=1-1311	YOR323C
OG0002817	snap_masked-LGST01000050.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.99&CDS=1-801	YBR213W
OG0002818	snap_masked-LGST01000050.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.71&CDS=1-1866	YOR370C
OG0002819	snap_masked-LGST01000050.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.72&CDS=1-429	YOR369C
OG0002820	snap_masked-LGST01000050.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.74&CDS=1-1761	YBR212W
OG0002821	snap_masked-LGST01000050.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.106&CDS=1-288	YBR111W-A
OG0002822	snap_masked-LGST01000050.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.75&CDS=1-627	YBR111C
OG0002823	snap_masked-LGST01000050.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.107&CDS=1-2682	YBR112C
OG0002824	augustus_masked-LGST01000050.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LGST01000050.1-processed-gene-0.38&CDS=1-2799	YNL330C
OG0002825	maker-LGST01000050.1-augustus-gene-0.202-mRNA-1_1&gene=maker-LGST01000050.1-augustus-gene-0.202&CDS=1-3084	YPL244C
OG0002826	snap_masked-LGST01000050.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.113&CDS=1-387	YNL111C
OG0002827	snap_masked-LGST01000050.1-processed-gene-0.115-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.115&CDS=1-711	YNL110C
OG0002828	snap_masked-LGST01000050.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.118&CDS=1-1455	YNL071W
OG0002829	maker-LGST01000050.1-augustus-gene-0.204-mRNA-1_1&gene=maker-LGST01000050.1-augustus-gene-0.204&CDS=1-2160	YNL072W
OG0002830	snap_masked-LGST01000050.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.80&CDS=1-5469	YER155C
OG0002831	genemark-LGST01000050.1-processed-gene-0.192-mRNA-1_1&gene=genemark-LGST01000050.1-processed-gene-0.192&CDS=1-1050	YER154W
OG0002832	maker-LGST01000050.1-snap-gene-0.57-mRNA-1_1&gene=maker-LGST01000050.1-snap-gene-0.57&CDS=1-2493	YLR383W
OG0002833	snap_masked-LGST01000050.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.127&CDS=1-483	YBR137W
OG0002834	snap_masked-LGST01000050.1-processed-gene-0.132-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.132&CDS=1-1086	YHR069C
OG0002835	snap_masked-LGST01000050.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-LGST01000050.1-processed-gene-0.84&CDS=1-1368	YHR070W
OG0002836	snap_masked-LGST01000051.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.52&CDS=1-1029	YCR086W
OG0002837	snap_masked-LGST01000051.1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.76&CDS=1-456	YCR087C-A
OG0002838	snap_masked-LGST01000051.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.77&CDS=1-390	YJL003W
OG0002839	snap_masked-LGST01000051.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.53&CDS=1-1803	YCR084C
OG0002840	maker-LGST01000051.1-snap-gene-0.102-mRNA-1_1&gene=maker-LGST01000051.1-snap-gene-0.102&CDS=1-1155	YNR043W
OG0002841	snap_masked-LGST01000051.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.55&CDS=1-570	YDL142C
OG0002842	snap_masked-LGST01000051.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.79&CDS=1-624	YER046W
OG0002843	snap_masked-LGST01000051.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.57&CDS=1-1665	YJL008C
OG0002844	snap_masked-LGST01000051.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.80&CDS=1-774	YDR007W
OG0002845	snap_masked-LGST01000051.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.81&CDS=1-2385	YJL029C
OG0002846	snap_masked-LGST01000051.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.82&CDS=1-2304	YGL045W
OG0002847	snap_masked-LGST01000051.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.83&CDS=1-1404	YGR159C
OG0002848	snap_masked-LGST01000051.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.61&CDS=1-600	YNL069C
OG0002849	snap_masked-LGST01000051.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.84&CDS=1-1065	YDR058C
OG0002850	snap_masked-LGST01000051.1-processed-gene-0.85-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.85&CDS=1-1419	YGR255C
OG0002851	snap_masked-LGST01000051.1-processed-gene-0.86-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.86&CDS=1-750	YNL246W
OG0002852	snap_masked-LGST01000051.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.87&CDS=1-1224	YNL248C
OG0002853	genemark-LGST01000051.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LGST01000051.1-processed-gene-0.13&CDS=1-435	YJR097W
OG0002854	snap_masked-LGST01000051.1-processed-gene-0.88-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.88&CDS=1-2001	YJR098C
OG0002855	snap_masked-LGST01000051.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.65&CDS=1-1314	YMR091C
OG0002856	snap_masked-LGST01000051.1-processed-gene-0.90-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.90&CDS=1-3276	YKL140W
OG0002857	snap_masked-LGST01000051.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.68&CDS=1-972	YJL208C
OG0002858	snap_masked-LGST01000051.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.69&CDS=1-6180	YKL182W
OG0002859	snap_masked-LGST01000051.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.93&CDS=1-3432	YLR410W
OG0002860	snap_masked-LGST01000051.1-processed-gene-0.94-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.94&CDS=1-1209	YKL181W
OG0002861	snap_masked-LGST01000051.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.70&CDS=1-759	YLR412W
OG0002862	snap_masked-LGST01000051.1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.96&CDS=1-2787	YBR229C
OG0002863	snap_masked-LGST01000051.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.71&CDS=1-2028	YDL074C
OG0002864	snap_masked-LGST01000051.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.72&CDS=1-1908	YLR399C
OG0002865	snap_masked-LGST01000051.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.73&CDS=1-1023	YLR405W
OG0002866	snap_masked-LGST01000051.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-LGST01000051.1-processed-gene-0.97&CDS=1-4254	YLR086W
OG0002867	genemark-LGST01000051.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LGST01000051.1-processed-gene-0.24&CDS=1-333	YDR115W
