	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
OG0002223	augustus_masked-ari-_s372-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s372-processed-gene-0.3&CDS=1-1038	YEL004W
OG0002224	augustus_masked-ari-_s372-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s372-processed-gene-0.4&CDS=1-2520	YJL102W
OG0002225	augustus_masked-ari-_s372-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s372-processed-gene-0.5&CDS=1-2748	YOR165W
OG0002226	augustus_masked-ari-_s373-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s373-processed-gene-0.11&CDS=1-2367	YLR222C
OG0002227	augustus_masked-ari-_s374-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s374-processed-gene-0.4&CDS=1-345	YKL192C
OG0002228	augustus_masked-ari-_s374-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s374-processed-gene-0.5&CDS=1-1065	YKL193C
OG0002229	maker-ari-_s377-snap-gene-0.21-mRNA-1_1&gene=maker-ari-_s377-snap-gene-0.21&CDS=1-4233	YIR006C
OG0002230	augustus_masked-ari-_s377-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s377-processed-gene-0.4&CDS=1-2244	YML035C
OG0002231	snap_masked-ari-_s377-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ari-_s377-processed-gene-0.12&CDS=1-945	YPL111W
OG0002232	augustus_masked-ari-_s377-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s377-processed-gene-0.1&CDS=1-3798	YPL110C
OG0002233	augustus_masked-ari-_s378-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s378-processed-gene-0.2&CDS=1-735	YPR016C
OG0002234	augustus_masked-ari-_s378-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s378-processed-gene-0.3&CDS=1-6042	YLR305C
OG0002235	augustus_masked-ari-_s380-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s380-processed-gene-0.5&CDS=1-657	YNL107W
OG0002236	snap_masked-ari-_s380-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ari-_s380-processed-gene-0.0&CDS=1-177	YNL070W
OG0002237	augustus_masked-ari-_s381-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s381-processed-gene-0.5&CDS=1-900	YJR007W
OG0002238	augustus_masked-ari-_s381-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s381-processed-gene-0.3&CDS=1-1071	YPR054W
OG0002239	snap_masked-ari-_s382-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ari-_s382-processed-gene-0.7&CDS=1-3513	YFR031C
OG0002240	augustus_masked-ari-_s387-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.20&CDS=1-1755	YPL184C
OG0002241	augustus_masked-ari-_s387-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.1&CDS=1-1167	YDR019C
OG0002242	augustus_masked-ari-_s387-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.22&CDS=1-972	YPL215W
OG0002243	augustus_masked-ari-_s387-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.24&CDS=1-960	YAL032C
OG0002244	augustus_masked-ari-_s387-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.26&CDS=1-1341	YGL067W
OG0002245	genemark-ari-_s387-processed-gene-0.70-mRNA-1_1&gene=genemark-ari-_s387-processed-gene-0.70&CDS=1-1716	YGL064C
OG0002246	augustus_masked-ari-_s387-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.5&CDS=1-1440	YGL129C
OG0002247	augustus_masked-ari-_s387-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.28&CDS=1-543	YPL211W
OG0002248	augustus_masked-ari-_s387-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.6&CDS=1-1539	YPL212C
OG0002249	augustus_masked-ari-_s387-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.7&CDS=1-2787	YIL137C
OG0002250	augustus_masked-ari-_s387-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.31&CDS=1-2121	YMR301C
OG0002251	augustus_masked-ari-_s387-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.8&CDS=1-777	YJR060W
OG0002252	augustus_masked-ari-_s387-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.34&CDS=1-1530	YKL045W
OG0002253	augustus_masked-ari-_s387-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.11&CDS=1-3084	YGL207W
OG0002254	augustus_masked-ari-_s387-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.35&CDS=1-417	YER029C
OG0002255	augustus_masked-ari-_s387-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.13&CDS=1-516	YER030W
OG0002256	snap_masked-ari-_s387-processed-gene-0.126-mRNA-1_1&gene=snap_masked-ari-_s387-processed-gene-0.126&CDS=1-2352	YMR019W
OG0002257	maker-ari-_s387-snap-gene-0.131-mRNA-1_1&gene=maker-ari-_s387-snap-gene-0.131&CDS=1-567	YJR055W
OG0002258	maker-ari-_s387-augustus-gene-0.130-mRNA-1_1&gene=maker-ari-_s387-augustus-gene-0.130&CDS=1-1869	YLR215C
OG0002259	augustus_masked-ari-_s387-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.16&CDS=1-1596	YDL143W
OG0002260	augustus_masked-ari-_s387-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.40&CDS=1-1659	YDL153C
OG0002261	augustus_masked-ari-_s388-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s388-processed-gene-0.12&CDS=1-1392	YPL235W
OG0002262	augustus_masked-ari-_s388-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s388-processed-gene-0.13&CDS=1-513	YPL234C
OG0002263	augustus_masked-ari-_s390-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s390-processed-gene-0.13&CDS=1-930	YOR164C
OG0002264	augustus_masked-ari-_s390-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s390-processed-gene-0.15&CDS=1-543	YOR163W
OG0002265	augustus_masked-ari-_s390-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s390-processed-gene-0.14&CDS=1-636	YLR250W
OG0002266	augustus_masked-ari-_s390-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s390-processed-gene-0.16&CDS=1-477	YDR162C
OG0002267	augustus_masked-ari-_s391-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s391-processed-gene-0.16&CDS=1-933	YNL025C
OG0002268	maker-ari-_s391-snap-gene-0.0-mRNA-1_1&gene=maker-ari-_s391-snap-gene-0.0&CDS=1-1857	YIR029W
OG0002269	augustus_masked-ari-_s393-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s393-processed-gene-0.5&CDS=1-636	YML012W
OG0002270	augustus_masked-ari-_s393-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s393-processed-gene-0.3&CDS=1-210	YML009C
OG0002271	augustus_masked-ari-_s393-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s393-processed-gene-0.6&CDS=1-3132	YDR430C
OG0002272	augustus_masked-ari-_s394-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s394-processed-gene-0.0&CDS=1-1101	YPL165C
OG0002273	snap_masked-ari-_s395-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ari-_s395-processed-gene-0.13&CDS=1-714	YOL114C
OG0002274	augustus_masked-ari-_s395-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s395-processed-gene-0.25&CDS=1-507	YOL149W
OG0002275	maker-ari-_s395-snap-gene-0.0-mRNA-1_1&gene=maker-ari-_s395-snap-gene-0.0&CDS=1-2937	YOL148C
OG0002276	snap_masked-ari-_s396-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ari-_s396-processed-gene-0.36&CDS=1-651	YGR235C
OG0002277	augustus_masked-ari-_s396-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s396-processed-gene-0.0&CDS=1-2355	YKL155C
OG0002278	augustus_masked-ari-_s396-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s396-processed-gene-0.1&CDS=1-1389	YDR306C
OG0002279	augustus_masked-ari-_s396-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s396-processed-gene-0.7&CDS=1-480	YDR308C
OG0002280	augustus_masked-ari-_s396-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s396-processed-gene-0.8&CDS=1-1425	YHR065C
OG0002281	augustus_masked-ari-_s396-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s396-processed-gene-0.10&CDS=1-1164	YLR151C
OG0002282	augustus_masked-ari-_s397-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s397-processed-gene-0.6&CDS=1-2994	YLR243W
OG0002283	augustus_masked-ari-_s398-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s398-processed-gene-0.9&CDS=1-1416	YJL002C
OG0002284	augustus_masked-ari-_s4-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.59&CDS=1-1863	YML042W
OG0002285	augustus_masked-ari-_s4-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.72&CDS=1-1755	YJR016C
OG0002286	augustus_masked-ari-_s4-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.62&CDS=1-3501	YBL007C
OG0002287	augustus_masked-ari-_s4-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.63&CDS=1-1554	YGL192W
OG0002288	augustus_masked-ari-_s4-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.73&CDS=1-573	YGL010W
OG0002289	augustus_masked-ari-_s4-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.74&CDS=1-2241	YGL022W
OG0002290	augustus_masked-ari-_s4-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.78&CDS=1-339	YKL138C
OG0002291	augustus_masked-ari-_s40-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s40-processed-gene-0.1&CDS=1-2382	YJR126C
OG0002292	augustus_masked-ari-_s40-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s40-processed-gene-0.5&CDS=1-2433	YGR099W
OG0002293	augustus_masked-ari-_s402-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ari-_s402-processed-gene-0.23&CDS=1-1560	YHR194W
OG0002294	augustus_masked-ari-_s402-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s402-processed-gene-0.36&CDS=1-1071	YLR418C
OG0002295	augustus_masked-ari-_s402-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-ari-_s402-processed-gene-0.27&CDS=1-2034	YLR424W
OG0002296	augustus_masked-ari-_s402-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s402-processed-gene-0.29&CDS=1-804	YKL195W
OG0002297	augustus_masked-ari-_s402-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s402-processed-gene-0.30&CDS=1-597	YKL196C
OG0002298	augustus_masked-ari-_s402-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-ari-_s402-processed-gene-0.38&CDS=1-1746	YOR359W
OG0002299	augustus_masked-ari-_s402-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-ari-_s402-processed-gene-0.39&CDS=1-1740	YOR360C
OG0002300	augustus_masked-ari-_s403-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s403-processed-gene-0.3&CDS=1-288	YBR111W-A
OG0002301	augustus_masked-ari-_s403-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s403-processed-gene-0.2&CDS=1-621	YBR111C
OG0002302	augustus_masked-ari-_s404-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s404-processed-gene-0.0&CDS=1-1380	YOR307C
OG0002303	snap_masked-ari-_s404-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ari-_s404-processed-gene-0.5&CDS=1-918	YMR241W
OG0002304	augustus_masked-ari-_s405-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s405-processed-gene-0.2&CDS=1-1413	YCL034W
OG0002305	augustus_masked-ari-_s406-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s406-processed-gene-0.0&CDS=1-2580	YGL216W
OG0002306	augustus_masked-ari-_s407-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s407-processed-gene-0.4&CDS=1-624	YHR100C
OG0002307	augustus_masked-ari-_s409-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ari-_s409-processed-gene-0.24&CDS=1-855	YKL019W
OG0002308	genemark-ari-_s409-processed-gene-0.3-mRNA-1_1&gene=genemark-ari-_s409-processed-gene-0.3&CDS=1-1413	YMR209C
OG0002309	augustus_masked-ari-_s409-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s409-processed-gene-0.25&CDS=1-1356	YOR272W
OG0002310	augustus_masked-ari-_s409-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s409-processed-gene-0.18&CDS=1-1587	YMR217W
OG0002311	augustus_masked-ari-_s409-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s409-processed-gene-0.20&CDS=1-984	YOR271C
OG0002312	augustus_masked-ari-_s409-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s409-processed-gene-0.26&CDS=1-1254	YMR208W
OG0002313	augustus_masked-ari-_s41-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s41-processed-gene-0.8&CDS=1-351	YJR034W
OG0002314	augustus_masked-ari-_s41-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s41-processed-gene-0.5&CDS=1-3312	YML049C
OG0002315	augustus_masked-ari-_s410-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s410-processed-gene-0.9&CDS=1-915	YJL126W
OG0002316	augustus_masked-ari-_s410-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s410-processed-gene-0.12&CDS=1-1338	YJL123C
OG0002317	augustus_masked-ari-_s411-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s411-processed-gene-0.1&CDS=1-1119	YBL058W
OG0002318	augustus_masked-ari-_s411-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s411-processed-gene-0.2&CDS=1-2304	YER091C
OG0002319	augustus_masked-ari-_s412-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-ari-_s412-processed-gene-0.31&CDS=1-7284	YHR165C
OG0002320	augustus_masked-ari-_s412-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s412-processed-gene-0.25&CDS=1-2079	YJR110W
OG0002321	augustus_masked-ari-_s412-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-ari-_s412-processed-gene-0.27&CDS=1-1011	YJR111C
OG0002322	augustus_masked-ari-_s412-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s412-processed-gene-0.32&CDS=1-252	YPR170W-B
OG0002323	augustus_masked-ari-_s412-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s412-processed-gene-0.28&CDS=1-504	YBR137W
OG0002324	snap_masked-ari-_s412-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ari-_s412-processed-gene-0.9&CDS=1-3486	YLR383W
OG0002325	augustus_masked-ari-_s413-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s413-processed-gene-0.6&CDS=1-1380	YNL182C
OG0002326	augustus_masked-ari-_s413-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s413-processed-gene-0.4&CDS=1-1371	YNL181W
OG0002327	augustus_masked-ari-_s414-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s414-processed-gene-0.0&CDS=1-453	YBR109C
OG0002328	snap_masked-ari-_s417-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ari-_s417-processed-gene-0.2&CDS=1-219	YHR143W-A
OG0002329	augustus_masked-ari-_s418-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s418-processed-gene-0.6&CDS=1-1386	YLL002W
OG0002330	augustus_masked-ari-_s418-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s418-processed-gene-0.9&CDS=1-1176	YLR191W
OG0002331	augustus_masked-ari-_s419-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s419-processed-gene-0.5&CDS=1-4911	YML103C
OG0002332	augustus_masked-ari-_s421-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s421-processed-gene-0.3&CDS=1-1080	YHR069C
OG0002333	augustus_masked-ari-_s423-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s423-processed-gene-0.11&CDS=1-1329	YBR110W
OG0002334	augustus_masked-ari-_s423-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s423-processed-gene-0.8&CDS=1-642	YLR323C
OG0002335	augustus_masked-ari-_s423-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s423-processed-gene-0.9&CDS=1-621	YLR326W
OG0002336	maker-ari-_s423-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s423-augustus-gene-0.0&CDS=1-1152	YGR007W
OG0002337	augustus_masked-ari-_s425-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s425-processed-gene-0.2&CDS=1-6186	YKL182W
OG0002338	maker-ari-_s426-snap-gene-0.1-mRNA-1_1&gene=maker-ari-_s426-snap-gene-0.1&CDS=1-393	Q0255
OG0002339	augustus_masked-ari-_s428-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s428-processed-gene-0.0&CDS=1-588	YKL144C
OG0002340	augustus_masked-ari-_s428-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s428-processed-gene-0.5&CDS=1-1335	YKL145W
OG0002341	augustus_masked-ari-_s428-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s428-processed-gene-0.7&CDS=1-702	YDR296W
OG0002342	augustus_masked-ari-_s428-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s428-processed-gene-0.1&CDS=1-1875	YHR078W
OG0002343	genemark-ari-_s429-processed-gene-0.0-mRNA-1_1&gene=genemark-ari-_s429-processed-gene-0.0&CDS=1-3453	YOR346W
OG0002344	maker-ari-_s43-augustus-gene-0.71-mRNA-1_1&gene=maker-ari-_s43-augustus-gene-0.71&CDS=1-2121	YLR427W
OG0002345	genemark-ari-_s43-processed-gene-0.34-mRNA-1_1&gene=genemark-ari-_s43-processed-gene-0.34&CDS=1-1809	YKL191W
OG0002346	augustus_masked-ari-_s43-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.10&CDS=1-2403	YBR108W
OG0002347	augustus_masked-ari-_s43-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.11&CDS=1-1371	YAL022C
OG0002348	augustus_masked-ari-_s43-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.12&CDS=1-741	YMR188C
OG0002349	augustus_masked-ari-_s43-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.13&CDS=1-1191	YIL116W
OG0002350	augustus_masked-ari-_s43-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.1&CDS=1-639	YLR292C
OG0002351	augustus_masked-ari-_s43-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.15&CDS=1-1281	YML071C
OG0002352	augustus_masked-ari-_s43-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.3&CDS=1-1047	YLR447C
OG0002353	augustus_masked-ari-_s43-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.4&CDS=1-1242	YOR368W
OG0002354	augustus_masked-ari-_s43-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.6&CDS=1-1086	YBR290W
OG0002355	genemark-ari-_s43-processed-gene-0.42-mRNA-1_1&gene=genemark-ari-_s43-processed-gene-0.42&CDS=1-1950	YBR291C
OG0002356	augustus_masked-ari-_s43-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s43-processed-gene-0.20&CDS=1-435	YCR063W
OG0002357	snap_masked-ari-_s430-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ari-_s430-processed-gene-0.0&CDS=1-3054	YBR198C
OG0002358	augustus_masked-ari-_s431-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s431-processed-gene-0.1&CDS=1-1083	YKL114C
OG0002359	augustus_masked-ari-_s432-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s432-processed-gene-0.7&CDS=1-3684	YNL273W
OG0002360	augustus_masked-ari-_s432-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s432-processed-gene-0.10&CDS=1-1473	YEL064C
OG0002361	augustus_masked-ari-_s432-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s432-processed-gene-0.11&CDS=1-1809	YLR253W
OG0002362	augustus_masked-ari-_s432-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s432-processed-gene-0.9&CDS=1-309	YLR147C
OG0002363	augustus_masked-ari-_s432-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s432-processed-gene-0.13&CDS=1-1464	YPL091W
OG0002364	augustus_masked-ari-_s434-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s434-processed-gene-0.6&CDS=1-441	YDR059C
OG0002365	genemark-ari-_s435-processed-gene-0.4-mRNA-1_1&gene=genemark-ari-_s435-processed-gene-0.4&CDS=1-435	YPL059W
OG0002366	augustus_masked-ari-_s437-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.0&CDS=1-762	YCR015C
OG0002367	augustus_masked-ari-_s437-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.1&CDS=1-1662	YOR205C
OG0002368	augustus_masked-ari-_s437-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.3&CDS=1-1593	YOR046C
OG0002369	augustus_masked-ari-_s437-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.21&CDS=1-1029	YDR347W
OG0002370	genemark-ari-_s437-processed-gene-0.69-mRNA-1_1&gene=genemark-ari-_s437-processed-gene-0.69&CDS=1-171	YOR045W
OG0002371	augustus_masked-ari-_s437-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.5&CDS=1-1239	YMR235C
OG0002372	maker-ari-_s437-augustus-gene-0.141-mRNA-1_1&gene=maker-ari-_s437-augustus-gene-0.141&CDS=1-2280	YGL186C
OG0002373	augustus_masked-ari-_s437-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.6&CDS=1-4368	YLR425W
OG0002374	augustus_masked-ari-_s437-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.8&CDS=1-522	YKL190W
OG0002375	genemark-ari-_s437-processed-gene-0.74-mRNA-1_1&gene=genemark-ari-_s437-processed-gene-0.74&CDS=1-5781	YLR430W
OG0002376	maker-ari-_s437-augustus-gene-0.142-mRNA-1_1&gene=maker-ari-_s437-augustus-gene-0.142&CDS=1-2715	YML067C
OG0002377	snap_masked-ari-_s437-processed-gene-0.106-mRNA-1_1&gene=snap_masked-ari-_s437-processed-gene-0.106&CDS=1-1530	YNR012W
OG0002378	augustus_masked-ari-_s437-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.16&CDS=1-1530	YDR111C
OG0002379	augustus_masked-ari-_s437-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.37&CDS=1-1794	YLR088W
OG0002380	augustus_masked-ari-_s437-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.18&CDS=1-831	YDR116C
OG0002381	augustus_masked-ari-_s437-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.40&CDS=1-1701	YDR117C
OG0002382	snap_masked-ari-_s439-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ari-_s439-processed-gene-0.10&CDS=1-1620	YNL272C
OG0002383	augustus_masked-ari-_s44-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.25&CDS=1-1425	YBR180W
OG0002384	augustus_masked-ari-_s44-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.26&CDS=1-1440	YDR402C
OG0002385	augustus_masked-ari-_s44-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.27&CDS=1-2589	YCR030C
OG0002386	augustus_masked-ari-_s44-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.3&CDS=1-1545	YNL142W
OG0002387	augustus_masked-ari-_s44-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.5&CDS=1-4569	YGL131C
OG0002388	augustus_masked-ari-_s44-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.6&CDS=1-1380	YGL130W
OG0002389	augustus_masked-ari-_s44-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.28&CDS=1-390	YNL153C
OG0002390	augustus_masked-ari-_s44-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.29&CDS=1-1242	YGR111W
OG0002391	augustus_masked-ari-_s44-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.31&CDS=1-1680	YDR536W
OG0002392	augustus_masked-ari-_s44-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.32&CDS=1-1842	YLR023C
OG0002393	augustus_masked-ari-_s44-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.34&CDS=1-2811	YPR097W
OG0002394	maker-ari-_s44-augustus-gene-0.159-mRNA-1_1&gene=maker-ari-_s44-augustus-gene-0.159&CDS=1-1860	YNR053C
OG0002395	augustus_masked-ari-_s44-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.35&CDS=1-1548	YNR052C
OG0002396	augustus_masked-ari-_s44-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.38&CDS=1-1815	YPR190C
OG0002397	augustus_masked-ari-_s44-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.10&CDS=1-4167	YPR189W
