	Candida_homilentoma	Saccharomyces_cerevisiae
OG0002576	-processed-gene-13.52-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.52&CDS=1-2694	YKR009C
OG0002577	-processed-gene-13.65-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.65&CDS=1-2478	YMR036C
OG0002578	-snap-gene-13.117-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-13.117&CDS=1-2547	YDR311W
OG0002579	-processed-gene-13.53-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.53&CDS=1-576	YIL157C
OG0002580	-processed-gene-13.55-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.55&CDS=1-957	YKR087C
OG0002581	-processed-gene-13.56-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.56&CDS=1-774	YOR077W
OG0002582	-processed-gene-13.73-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.73&CDS=1-1662	YKR099W
OG0002583	-processed-gene-13.74-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.74&CDS=1-948	YKR080W
OG0002584	-processed-gene-13.75-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.75&CDS=1-1743	YOR070C
OG0002585	-processed-gene-13.76-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.76&CDS=1-1629	YHR064C
OG0002586	-processed-gene-13.58-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.58&CDS=1-2727	YIL109C
OG0002587	-processed-gene-14.76-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.76&CDS=1-1122	YNL051W
OG0002588	-processed-gene-14.1-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.1&CDS=1-5820	YNL050C
OG0002589	-processed-gene-14.44-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.44&CDS=1-3891	YJL187C
OG0002590	-snap-gene-14.121-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-14.121&CDS=1-1470	YIL110W
OG0002591	-processed-gene-14.83-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.83&CDS=1-2826	YIL107C
OG0002592	-processed-gene-14.84-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.84&CDS=1-3072	YNL054W
OG0002593	-processed-gene-14.87-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.87&CDS=1-1194	YCR044C
OG0002594	-processed-gene-14.108-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.108&CDS=1-903	YLR172C
OG0002595	-processed-gene-14.109-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.109&CDS=1-993	YPL069C
OG0002596	-processed-gene-14.94-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.94&CDS=1-4752	YLR189C
OG0002597	-processed-gene-14.95-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.95&CDS=1-1419	YNL277W
OG0002598	-processed-gene-14.71-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.71&CDS=1-1656	YCL043C
OG0002599	-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.73&CDS=1-1728	YNL275W
OG0002600	-processed-gene-14.116-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.116&CDS=1-1239	YGR286C
OG0002601	-augustus-gene-14.126-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-14.126&CDS=1-3660	YHR074W
OG0002602	-processed-gene-14.117-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.117&CDS=1-1161	YHR075C
OG0002603	-processed-gene-15.94-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.94&CDS=1-915	YJL035C
OG0002604	-processed-gene-15.51-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.51&CDS=1-1518	YLR005W
OG0002605	-processed-gene-15.99-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.99&CDS=1-2919	YML010W
OG0002606	-processed-gene-15.96-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.96&CDS=1-549	YML022W
OG0002607	-processed-gene-15.100-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.100&CDS=1-288	YDR424C
OG0002608	-processed-gene-15.102-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.102&CDS=1-2514	YHR154W
OG0002609	-processed-gene-15.105-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.105&CDS=1-1812	YJL036W
OG0002610	-processed-gene-15.82-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.82&CDS=1-2985	YDR427W
OG0002611	-processed-gene-15.66-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.66&CDS=1-888	YIL034C
OG0002612	-processed-gene-15.84-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.84&CDS=1-660	YGR167W
OG0002613	-processed-gene-15.127-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.127&CDS=1-2433	YGR200C
OG0002614	-processed-gene-15.111-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.111&CDS=1-696	YHR041C
OG0002615	-processed-gene-15.112-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.112&CDS=1-2274	YJL033W
OG0002616	-processed-gene-15.113-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.113&CDS=1-1650	YDL153C
OG0002617	-processed-gene-15.114-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.114&CDS=1-1182	YPR025C
OG0002618	-processed-gene-15.129-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.129&CDS=1-1599	YDL143W
OG0002619	-processed-gene-15.115-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.115&CDS=1-993	YLR215C
OG0002620	-processed-gene-15.116-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.116&CDS=1-1005	YBR053C
OG0002621	-processed-gene-15.130-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.130&CDS=1-483	YJR055W
OG0002622	-processed-gene-15.117-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.117&CDS=1-1065	YKL051W
OG0002623	-processed-gene-15.75-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.75&CDS=1-2694	YMR019W
OG0002624	-processed-gene-15.120-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.120&CDS=1-1248	YGL215W
OG0002625	-processed-gene-15.132-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.132&CDS=1-468	YER030W
OG0002626	-processed-gene-15.78-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.78&CDS=1-453	YER029C
OG0002627	-processed-gene-15.134-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.134&CDS=1-3087	YGL207W
OG0002628	-processed-gene-15.122-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.122&CDS=1-1560	YKL045W
OG0002629	-processed-gene-16.44-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.44&CDS=1-765	YJR060W
OG0002630	-processed-gene-16.42-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.42&CDS=1-2118	YMR301C
OG0002631	-processed-gene-16.63-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.63&CDS=1-2787	YIL137C
OG0002632	-processed-gene-16.46-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.46&CDS=1-1272	YPL204W
OG0002633	-processed-gene-16.64-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.64&CDS=1-1521	YPL212C
OG0002634	-processed-gene-16.47-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.47&CDS=1-543	YPL211W
OG0002635	-processed-gene-16.65-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.65&CDS=1-1422	YGL129C
OG0002636	-processed-gene-16.8-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.8&CDS=1-1761	YGL064C
OG0002637	-processed-gene-16.96-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.96&CDS=1-1317	YGL067W
OG0002638	-snap-gene-16.84-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-16.84&CDS=1-2235	YPL206C
OG0002639	-processed-gene-16.53-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.53&CDS=1-978	YPL215W
OG0002640	-processed-gene-16.68-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.68&CDS=1-1980	YPL210C
OG0002641	-processed-gene-16.70-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.70&CDS=1-1170	YDR019C
OG0002642	-processed-gene-16.56-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.56&CDS=1-1899	YPL184C
OG0002643	-processed-gene-16.71-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.71&CDS=1-774	YGL098W
OG0002644	-processed-gene-16.19-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.19&CDS=1-498	YER116C
OG0002645	-processed-gene-16.73-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.73&CDS=1-1323	YDL007W
OG0002646	-processed-gene-16.59-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.59&CDS=1-2022	YDR496C
OG0002647	-processed-gene-16.60-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.60&CDS=1-1317	YBR143C
OG0002648	-processed-gene-16.80-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.80&CDS=1-2343	YBR142W
OG0002649	-processed-gene-16.61-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.61&CDS=1-996	YBR141C
OG0002650	-processed-gene-17.56-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.56&CDS=1-939	YDR337W
OG0002651	-processed-gene-17.60-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.60&CDS=1-603	YJR112W
OG0002652	-processed-gene-17.57-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.57&CDS=1-876	YBL050W
OG0002653	-processed-gene-17.61-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.61&CDS=1-525	YDR437W
OG0002654	-processed-gene-17.77-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.77&CDS=1-2754	YBR017C
OG0002655	-processed-gene-17.78-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.78&CDS=1-2697	YAR014C
OG0002656	-processed-gene-17.80-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.80&CDS=1-591	YDL046W
OG0002657	-processed-gene-17.81-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.81&CDS=1-2898	YGR125W
OG0002658	-processed-gene-17.82-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.82&CDS=1-1869	YDL017W
OG0002659	-snap-gene-17.46-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-17.46&CDS=1-942	YGR165W
OG0002660	-processed-gene-17.64-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.64&CDS=1-636	YDL018C
OG0002661	-processed-gene-17.131-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.131&CDS=1-1731	YPR110C
OG0002662	-processed-gene-17.85-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.85&CDS=1-3558	YGR090W
OG0002663	-processed-gene-17.65-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.65&CDS=1-2184	YHR072W
OG0002664	-processed-gene-17.86-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.86&CDS=1-1896	YIR027C
OG0002665	-processed-gene-17.90-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.90&CDS=1-1395	YER122C
OG0002666	-processed-gene-17.91-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.91&CDS=1-1248	YIL022W
OG0002667	-processed-gene-17.139-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.139&CDS=1-1416	YBL098W
OG0002668	-processed-gene-17.68-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.68&CDS=1-1245	YOR073W
OG0002669	-snap-gene-17.47-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-17.47&CDS=1-1149	YOR074C
OG0002670	-processed-gene-17.95-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.95&CDS=1-669	YBL095W
OG0002671	-processed-gene-17.69-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.69&CDS=1-3195	YIL031W
OG0002672	-processed-gene-17.71-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.71&CDS=1-321	YKR083C
OG0002673	-processed-gene-17.96-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.96&CDS=1-3495	YKR082W
OG0002674	-processed-gene-17.41-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.41&CDS=1-4236	YLR032W
OG0002675	-processed-gene-17.99-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.99&CDS=1-1176	YMR127C
OG0002676	-processed-gene-17.72-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.72&CDS=1-603	YDR121W
OG0002677	-augustus-gene-17.50-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-17.50&CDS=1-7512	YMR128W
OG0002678	-augustus-gene-17.53-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-17.53&CDS=1-1227	YHL018W
OG0002679	-processed-gene-18.126-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.126&CDS=1-987	YMR130W
OG0002680	-processed-gene-18.75-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.75&CDS=1-1566	YLR033W
OG0002681	-processed-gene-18.131-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.131&CDS=1-870	YLR208W
OG0002682	-processed-gene-18.150-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.150&CDS=1-915	YLR209C
OG0002683	-processed-gene-18.102-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.102&CDS=1-1746	YDR268W
OG0002684	-processed-gene-18.103-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.103&CDS=1-1602	YOR037W
OG0002685	-processed-gene-18.80-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.80&CDS=1-1140	YDR267C
OG0002686	-processed-gene-18.104-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.104&CDS=1-918	YOR036W
OG0002687	-processed-gene-18.156-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.156&CDS=1-960	YDR353W
OG0002688	-processed-gene-18.134-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.134&CDS=1-3312	YDR270W
OG0002689	-processed-gene-18.159-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.159&CDS=1-2793	YOR160W
OG0002690	-processed-gene-18.137-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.137&CDS=1-558	YDR454C
OG0002691	-snap-gene-18.57-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-18.57&CDS=1-543	YML030W
OG0002692	-processed-gene-18.88-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.88&CDS=1-912	YOR143C
OG0002693	-processed-gene-18.141-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.141&CDS=1-579	YJR069C
OG0002694	-processed-gene-18.165-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.165&CDS=1-576	YDR339C
OG0002695	-processed-gene-18.143-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.143&CDS=1-1812	YDR341C
OG0002696	-processed-gene-18.168-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.168&CDS=1-519	YDR404C
OG0002697	-processed-gene-18.145-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.145&CDS=1-522	YOR150W
OG0002698	-processed-gene-18.169-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.169&CDS=1-3699	YOR151C
OG0002699	-processed-gene-18.95-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.95&CDS=1-867	YDR405W
OG0002700	-processed-gene-18.171-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.171&CDS=1-1458	YOR155C
OG0002701	-processed-gene-18.174-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.174&CDS=1-999	YLR017W
OG0002702	-processed-gene-19.7-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.7&CDS=1-1677	YOR245C
OG0002703	-processed-gene-19.6-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.6&CDS=1-2361	YLL004W
OG0002704	-processed-gene-19.57-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.57&CDS=1-759	YJR024C
OG0002705	-processed-gene-19.58-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.58&CDS=1-1539	YOR310C
OG0002706	-processed-gene-19.80-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.80&CDS=1-3867	YHR164C
OG0002707	-processed-gene-19.26-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.26&CDS=1-2490	YLR207W
OG0002708	-processed-gene-19.44-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.44&CDS=1-1317	YJR076C
OG0002709	-processed-gene-19.66-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.66&CDS=1-396	YKL170W
OG0002710	-processed-gene-19.45-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.45&CDS=1-1587	YDL178W
OG0002711	-processed-gene-19.47-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.47&CDS=1-5664	YPL231W
OG0002712	-processed-gene-19.48-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.48&CDS=1-5712	YDR170C
OG0002713	-processed-gene-19.49-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.49&CDS=1-804	YLR150W
OG0002714	-processed-gene-19.19-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.19&CDS=1-1590	YDR169C
OG0002715	-processed-gene-19.20-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.20&CDS=1-3477	YBR202W
OG0002716	-processed-gene-19.35-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.35&CDS=1-1719	YPR145W
OG0002717	-processed-gene-19.55-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.55&CDS=1-834	YFR052W
OG0002718	-processed-gene-19.23-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.23&CDS=1-1155	YDR173C
OG0002719	-processed-gene-19.38-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.38&CDS=1-3420	YDR172W
OG0002720	-processed-gene-20.0-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.0&CDS=1-1350	YCL034W
OG0002721	-processed-gene-20.81-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.81&CDS=1-441	YIL004C
OG0002722	-processed-gene-20.44-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.44&CDS=1-870	YIL003W
OG0002723	-processed-gene-20.82-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.82&CDS=1-636	YER002W
OG0002724	-processed-gene-20.84-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.84&CDS=1-1326	YER003C
OG0002725	-processed-gene-20.86-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.86&CDS=1-1299	YER053C
OG0002726	-processed-gene-20.106-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.106&CDS=1-1245	YIL044C
OG0002727	-processed-gene-20.95-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.95&CDS=1-1311	YHL021C
OG0002728	-processed-gene-20.110-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.110&CDS=1-4950	YGR116W
OG0002729	-processed-gene-20.57-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.57&CDS=1-1047	YOR075W
OG0002730	-augustus-gene-20.125-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-20.125&CDS=1-2316	YKR084C
OG0002731	-processed-gene-20.71-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.71&CDS=1-1320	YOL022C
OG0002732	-augustus-gene-20.126-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-20.126&CDS=1-3618	YOL023W
OG0002733	-processed-gene-20.74-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.74&CDS=1-720	YDR054C
OG0002734	-processed-gene-20.58-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.58&CDS=1-2937	YFR016C
OG0002735	-processed-gene-20.59-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.59&CDS=1-3666	YJL080C
OG0002736	-processed-gene-20.75-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.75&CDS=1-1668	YOR386W
OG0002737	-processed-gene-20.60-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.60&CDS=1-1674	YGR055W
OG0002738	-processed-gene-20.61-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.61&CDS=1-420	YPR100W
OG0002739	-processed-gene-20.76-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.76&CDS=1-4188	YBL047C
OG0002740	-processed-gene-20.105-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.105&CDS=1-597	YHR089C
OG0002741	-processed-gene-20.42-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.42&CDS=1-1092	YDR336W
OG0002742	-processed-gene-21.64-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-21.64&CDS=1-5574	YKR031C
OG0002743	-processed-gene-21.65-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-21.65&CDS=1-654	YHR181W
OG0002744	-processed-gene-21.6-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-21.6&CDS=1-1107	YDL006W
