	Lipomyces_starkeyi	Saccharomyces_cerevisiae
OG0002385	maker-scaffold_5-augustus-gene-2.158-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.158&CDS=1-2472	YGR261C
OG0002386	augustus_masked-scaffold_5-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.72&CDS=1-1134	YCR045C
OG0002387	maker-scaffold_5-augustus-gene-2.160-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.160&CDS=1-3231	YDL102W
OG0002388	maker-scaffold_5-augustus-gene-2.162-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.162&CDS=1-4980	YGL206C
OG0002389	maker-scaffold_5-augustus-gene-2.163-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.163&CDS=1-3474	YPL115C
OG0002390	maker-scaffold_5-augustus-gene-2.164-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.164&CDS=1-390	YER029C
OG0002391	maker-scaffold_5-augustus-gene-2.165-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.165&CDS=1-1116	YNL037C
OG0002392	augustus_masked-scaffold_5-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.77&CDS=1-798	YCR047C
OG0002393	genemark-scaffold_5-processed-gene-2.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.28&CDS=1-696	YHR181W
OG0002394	genemark-scaffold_5-processed-gene-2.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.29&CDS=1-375	YNL081C
OG0002395	maker-scaffold_5-augustus-gene-2.166-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.166&CDS=1-771	YOR258W
OG0002396	augustus_masked-scaffold_5-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.95&CDS=1-1638	YNL189W
OG0002397	augustus_masked-scaffold_5-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.96&CDS=1-4053	YLR419W
OG0002398	augustus_masked-scaffold_5-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.78&CDS=1-1500	YIL007C
OG0002399	augustus_masked-scaffold_5-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.97&CDS=1-1278	YDL150W
OG0002400	augustus_masked-scaffold_5-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.79&CDS=1-801	YCR016W
OG0002401	maker-scaffold_5-snap-gene-2.49-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.49&CDS=1-1119	YNL044W
OG0002402	augustus_masked-scaffold_5-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.98&CDS=1-1764	YMR120C
OG0002403	augustus_masked-scaffold_5-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.81&CDS=1-756	YOR362C
OG0002404	maker-scaffold_5-snap-gene-2.64-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.64&CDS=1-3660	YNL023C
OG0002405	augustus_masked-scaffold_5-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.103&CDS=1-1440	YJR107W
OG0002406	maker-scaffold_5-augustus-gene-3.113-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.113&CDS=1-1887	YAL053W
OG0002407	augustus_masked-scaffold_5-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.32&CDS=1-1260	YOR043W
OG0002408	maker-scaffold_5-augustus-gene-3.130-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.130&CDS=1-3342	YIL026C
OG0002409	maker-scaffold_5-snap-gene-3.19-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.19&CDS=1-633	YJL001W
OG0002410	maker-scaffold_5-snap-gene-3.4-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.4&CDS=1-909	YNL320W
OG0002411	augustus_masked-scaffold_5-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.38&CDS=1-540	YNL222W
OG0002412	genemark-scaffold_5-processed-gene-3.154-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.154&CDS=1-2400	YJR040W
OG0002413	augustus_masked-scaffold_5-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.53&CDS=1-738	YNL010W
OG0002414	augustus_masked-scaffold_5-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.41&CDS=1-1320	YEL023C
OG0002415	maker-scaffold_5-augustus-gene-3.121-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.121&CDS=1-696	YEL024W
OG0002416	augustus_masked-scaffold_5-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.54&CDS=1-1089	YIL033C
OG0002417	augustus_masked-scaffold_5-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.58&CDS=1-417	YDR100W
OG0002418	snap_masked-scaffold_5-processed-gene-3.102-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.102&CDS=1-891	YJL053W
OG0002419	maker-scaffold_5-augustus-gene-3.122-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.122&CDS=1-1407	YOR250C
OG0002420	snap_masked-scaffold_5-processed-gene-3.103-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.103&CDS=1-924	YNR032W
OG0002421	augustus_masked-scaffold_5-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.62&CDS=1-567	YDR248C
OG0002422	augustus_masked-scaffold_5-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.63&CDS=1-1620	YEL058W
OG0002423	maker-scaffold_5-snap-gene-3.27-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.27&CDS=1-4596	YGR098C
OG0002424	augustus_masked-scaffold_5-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.47&CDS=1-1131	YDL168W
OG0002425	maker-scaffold_5-augustus-gene-3.126-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.126&CDS=1-633	YER002W
OG0002426	maker-scaffold_5-augustus-gene-3.140-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.140&CDS=1-1290	YER003C
OG0002427	augustus_masked-scaffold_5-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.68&CDS=1-321	YDL081C
OG0002428	maker-scaffold_5-augustus-gene-3.129-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.129&CDS=1-2181	YPL045W
OG0002429	augustus_masked-scaffold_5-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.45&CDS=1-525	YDL046W
OG0002430	augustus_masked-scaffold_5-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.43&CDS=1-357	YGR020C
OG0002431	genemark-scaffold_5-processed-gene-4.4-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.4&CDS=1-4470	YDL112W
OG0002432	augustus_masked-scaffold_5-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.44&CDS=1-1167	YMR091C
OG0002433	augustus_masked-scaffold_5-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.47&CDS=1-1281	YGL215W
OG0002434	maker-scaffold_5-augustus-gene-4.165-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.165&CDS=1-2865	YGR089W
OG0002435	augustus_masked-scaffold_5-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.50&CDS=1-636	YBR122C
OG0002436	maker-scaffold_5-augustus-gene-4.166-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.166&CDS=1-1773	YOR069W
OG0002437	maker-scaffold_5-augustus-gene-4.167-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.167&CDS=1-2145	YGL205W
OG0002438	snap_masked-scaffold_5-processed-gene-4.138-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.138&CDS=1-1623	YMR300C
OG0002439	genemark-scaffold_5-processed-gene-4.31-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.31&CDS=1-2529	YDL028C
OG0002440	augustus_masked-scaffold_5-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.73&CDS=1-2430	YPL233W
OG0002441	maker-scaffold_5-augustus-gene-4.172-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.172&CDS=1-2085	YGR150C
OG0002442	augustus_masked-scaffold_5-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.75&CDS=1-366	YLR200W
OG0002443	maker-scaffold_5-augustus-gene-4.157-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.157&CDS=1-1818	YDR109C
OG0002444	maker-scaffold_5-augustus-gene-4.173-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.173&CDS=1-2676	YLL026W
OG0002445	maker-scaffold_5-augustus-gene-4.158-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.158&CDS=1-3615	YPR091C
OG0002446	augustus_masked-scaffold_5-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.79&CDS=1-1179	YPL259C
OG0002447	augustus_masked-scaffold_5-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.60&CDS=1-606	YPL239W
OG0002448	maker-scaffold_5-augustus-gene-4.178-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.178&CDS=1-924	YFR041C
OG0002449	maker-scaffold_5-augustus-gene-4.161-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.161&CDS=1-1056	YJR072C
OG0002450	augustus_masked-scaffold_5-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.64&CDS=1-1194	YBR025C
OG0002451	augustus_masked-scaffold_5-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.66&CDS=1-2946	YLR148W
OG0002452	augustus_masked-scaffold_5-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.18&CDS=1-2283	YNL247W
OG0002453	snap_masked-scaffold_5-processed-gene-5.122-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.122&CDS=1-999	YHL020C
OG0002454	snap_masked-scaffold_5-processed-gene-5.125-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.125&CDS=1-2703	YLR362W
OG0002455	augustus_masked-scaffold_5-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.36&CDS=1-996	YDR237W
OG0002456	maker-scaffold_5-augustus-gene-5.94-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.94&CDS=1-1212	YNL237W
OG0002457	snap_masked-scaffold_5-processed-gene-5.108-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.108&CDS=1-2130	YDL074C
OG0002458	augustus_masked-scaffold_5-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.38&CDS=1-1473	YKL100C
OG0002459	snap_masked-scaffold_5-processed-gene-5.130-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.130&CDS=1-1824	YPR018W
OG0002460	maker-scaffold_5-augustus-gene-5.97-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.97&CDS=1-3126	YIL047C
OG0002461	maker-scaffold_5-augustus-gene-5.91-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.91&CDS=1-11559	YHR099W
OG0002462	augustus_masked-scaffold_5-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.46&CDS=1-774	YKL095W
OG0002463	augustus_masked-scaffold_5-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.29&CDS=1-480	YER134C
OG0002464	augustus_masked-scaffold_5-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.31&CDS=1-1158	YPL169C
OG0002465	augustus_masked-scaffold_5-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.32&CDS=1-1134	YER130C
OG0002466	maker-scaffold_5-augustus-gene-6.82-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.82&CDS=1-609	YGL183C
OG0002467	augustus_masked-scaffold_5-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.123&CDS=1-573	YJR097W
OG0002468	augustus_masked-scaffold_5-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.120&CDS=1-2004	YDR243C
OG0002469	maker-scaffold_5-augustus-gene-6.83-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.83&CDS=1-1542	YFR005C
OG0002470	maker-scaffold_5-augustus-gene-6.73-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.73&CDS=1-483	YGR076C
OG0002471	maker-scaffold_5-augustus-gene-6.74-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.74&CDS=1-1125	YLR130C
OG0002472	snap_masked-scaffold_5-processed-gene-6.55-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.55&CDS=1-2631	YGL180W
OG0002473	augustus_masked-scaffold_5-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.126&CDS=1-1119	YER118C
OG0002474	maker-scaffold_5-augustus-gene-6.85-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.85&CDS=1-2592	YDR074W
OG0002475	genemark-scaffold_5-processed-gene-6.8-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.8&CDS=1-1362	YMR182C
OG0002476	augustus_masked-scaffold_5-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.128&CDS=1-2367	YGL110C
OG0002477	augustus_masked-scaffold_5-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.140&CDS=1-1086	YFR027W
OG0002478	maker-scaffold_5-augustus-gene-6.76-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.76&CDS=1-699	YGL033W
OG0002479	augustus_masked-scaffold_5-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.130&CDS=1-2025	YPL054W
OG0002480	augustus_masked-scaffold_5-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.141&CDS=1-5181	YPL167C
OG0002481	genemark-scaffold_5-processed-gene-6.25-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.25&CDS=1-1551	YKR017C
OG0002482	augustus_masked-scaffold_5-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.143&CDS=1-333	YNL244C
OG0002483	maker-scaffold_5-augustus-gene-6.90-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.90&CDS=1-1746	YGR044C
OG0002484	maker-scaffold_5-augustus-gene-6.80-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.80&CDS=1-2931	YER047C
OG0002485	maker-scaffold_5-augustus-gene-6.92-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.92&CDS=1-1092	YMR272C
OG0002486	maker-scaffold_5-augustus-gene-6.93-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.93&CDS=1-1692	YJR052W
OG0002487	maker-scaffold_5-augustus-gene-6.94-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.94&CDS=1-1758	YML046W
OG0002488	maker-scaffold_5-snap-gene-6.104-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.104&CDS=1-5790	YLR305C
OG0002489	augustus_masked-scaffold_5-processed-gene-6.150-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.150&CDS=1-654	YDR408C
OG0002490	maker-scaffold_5-augustus-gene-7.46-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.46&CDS=1-999	YBL033C
OG0002491	maker-scaffold_5-augustus-gene-7.40-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.40&CDS=1-243	YCL057C-A
OG0002492	augustus_masked-scaffold_5-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.108&CDS=1-915	YPL131W
OG0002493	augustus_masked-scaffold_5-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.109&CDS=1-1878	YIL067C
OG0002494	augustus_masked-scaffold_5-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.116&CDS=1-1050	YML131W
OG0002495	augustus_masked-scaffold_5-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.117&CDS=1-1134	YDR352W
OG0002496	snap_masked-scaffold_5-processed-gene-7.90-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.90&CDS=1-1656	YPL212C
OG0002497	maker-scaffold_5-augustus-gene-7.45-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.45&CDS=1-543	YPL211W
OG0002498	augustus_masked-scaffold_5-processed-gene-7.119-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.119&CDS=1-1779	YGL064C
OG0002499	augustus_masked-scaffold_5-processed-gene-7.121-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.121&CDS=1-456	YBR096W
OG0002500	maker-scaffold_5-augustus-gene-7.51-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.51&CDS=1-5445	YJL109C
OG0002501	maker-scaffold_5-augustus-gene-7.52-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.52&CDS=1-390	YJL190C
OG0002502	augustus_masked-scaffold_5-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.122&CDS=1-699	YNR020C
OG0002503	maker-scaffold_5-snap-gene-7.156-mRNA-1_1&gene=maker-scaffold_5-snap-gene-7.156&CDS=1-1110	YPL209C
OG0002504	augustus_masked-scaffold_5-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.135&CDS=1-1179	YPR041W
OG0002505	augustus_masked-scaffold_5-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.123&CDS=1-1233	YGL066W
OG0002506	maker-scaffold_5-augustus-gene-7.55-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.55&CDS=1-1554	YPL214C
OG0002507	snap_masked-scaffold_5-processed-gene-7.98-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.98&CDS=1-2433	YOR165W
OG0002508	maker-scaffold_5-augustus-gene-7.56-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.56&CDS=1-3573	YMR218C
OG0002509	maker-scaffold_5-augustus-gene-7.57-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.57&CDS=1-846	YLR151C
OG0002510	snap_masked-scaffold_5-processed-gene-7.102-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.102&CDS=1-657	YDR298C
OG0002511	maker-scaffold_5-augustus-gene-7.59-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-7.59&CDS=1-687	YIL106W
OG0002512	maker-scaffold_5-augustus-gene-8.149-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.149&CDS=1-924	YGR231C
OG0002513	maker-scaffold_5-augustus-gene-8.160-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.160&CDS=1-1683	YAL011W
OG0002514	maker-scaffold_5-augustus-gene-8.150-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.150&CDS=1-1263	YJL036W
OG0002515	maker-scaffold_5-augustus-gene-8.151-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.151&CDS=1-6657	YBL004W
OG0002516	maker-scaffold_5-augustus-gene-8.161-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.161&CDS=1-2313	YIL068C
OG0002517	maker-scaffold_5-snap-gene-8.43-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.43&CDS=1-1785	YPL133C
OG0002518	maker-scaffold_5-augustus-gene-8.163-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.163&CDS=1-3384	YLR272C
OG0002519	augustus_masked-scaffold_5-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.7&CDS=1-1671	YDL017W
OG0002520	maker-scaffold_5-snap-gene-8.56-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.56&CDS=1-447	YGL103W
OG0002521	maker-scaffold_5-augustus-gene-8.165-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.165&CDS=1-2007	YNL041C
OG0002522	augustus_masked-scaffold_5-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.9&CDS=1-2241	YDL149W
OG0002523	augustus_masked-scaffold_5-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.27&CDS=1-930	YMR127C
OG0002524	maker-scaffold_5-augustus-gene-8.152-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.152&CDS=1-3390	YLR383W
OG0002525	maker-scaffold_5-augustus-gene-8.153-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.153&CDS=1-1461	YDL160C
OG0002526	maker-scaffold_5-augustus-gene-8.155-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.155&CDS=1-351	YHL015W
OG0002527	augustus_masked-scaffold_5-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.15&CDS=1-1281	YDL044C
OG0002528	maker-scaffold_5-augustus-gene-8.156-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.156&CDS=1-441	YKL192C
OG0002529	maker-scaffold_5-augustus-gene-8.157-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.157&CDS=1-3873	YMR129W
OG0002530	maker-scaffold_5-augustus-gene-8.170-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.170&CDS=1-3447	YGR090W
OG0002531	maker-scaffold_5-augustus-gene-8.171-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.171&CDS=1-405	YDR225W
OG0002532	genemark-scaffold_5-processed-gene-8.86-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.86&CDS=1-2883	YIL073C
OG0002533	maker-scaffold_5-augustus-gene-8.172-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-8.172&CDS=1-1755	YGL122C
OG0002534	augustus_masked-scaffold_5-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.21&CDS=1-1245	YLR418C
OG0002535	augustus_masked-scaffold_5-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.39&CDS=1-1185	YBR290W
OG0002536	maker-scaffold_5-augustus-gene-9.65-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.65&CDS=1-432	YKL167C
OG0002537	maker-scaffold_5-augustus-gene-9.77-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.77&CDS=1-1452	YOR025W
OG0002538	augustus_masked-scaffold_5-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.21&CDS=1-645	YLR025W
OG0002539	maker-scaffold_5-augustus-gene-9.67-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.67&CDS=1-615	YMR069W
OG0002540	maker-scaffold_5-augustus-gene-9.80-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.80&CDS=1-1215	YLR459W
OG0002541	augustus_masked-scaffold_5-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.6&CDS=1-798	YDR020C
OG0002542	maker-scaffold_5-augustus-gene-9.81-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.81&CDS=1-699	YNL051W
OG0002543	maker-scaffold_5-augustus-gene-9.82-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.82&CDS=1-1923	YLR399C
OG0002544	augustus_masked-scaffold_5-processed-gene-9.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.8&CDS=1-978	YDR398W
OG0002545	maker-scaffold_5-augustus-gene-9.69-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.69&CDS=1-1380	YDR190C
OG0002546	augustus_masked-scaffold_5-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.27&CDS=1-1959	YNR008W
OG0002547	augustus_masked-scaffold_5-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.10&CDS=1-1035	YNR007C
OG0002548	maker-scaffold_5-augustus-gene-9.84-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.84&CDS=1-2880	YNL267W
OG0002549	genemark-scaffold_5-processed-gene-9.142-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.142&CDS=1-2295	YOR154W
OG0002550	maker-scaffold_5-augustus-gene-9.85-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.85&CDS=1-1311	YDR205W
OG0002551	maker-scaffold_5-augustus-gene-9.72-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.72&CDS=1-1377	YBR110W
OG0002552	augustus_masked-scaffold_5-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.14&CDS=1-1707	YLR107W
OG0002553	maker-scaffold_5-augustus-gene-9.73-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.73&CDS=1-5685	YFR019W
OG0002554	augustus_masked-scaffold_5-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.16&CDS=1-1794	YKR016W
OG0002555	augustus_masked-scaffold_5-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.36&CDS=1-1317	YKL216W
OG0002556	maker-scaffold_5-augustus-gene-9.87-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.87&CDS=1-2169	YBR133C
OG0002557	augustus_masked-scaffold_5-processed-gene-10.127-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.127&CDS=1-2304	YCR091W
OG0002558	maker-scaffold_5-augustus-gene-10.100-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.100&CDS=1-1158	YKR088C
OG0002559	maker-scaffold_5-augustus-gene-10.112-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.112&CDS=1-2187	YHR072W
OG0002560	genemark-scaffold_5-processed-gene-10.57-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-10.57&CDS=1-192	YHR072W-A
OG0002561	maker-scaffold_5-augustus-gene-10.113-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.113&CDS=1-1620	YOR056C
OG0002562	maker-scaffold_5-augustus-gene-10.101-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.101&CDS=1-429	YNL113W
OG0002563	genemark-scaffold_5-processed-gene-10.77-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-10.77&CDS=1-534	YGL231C
OG0002564	augustus_masked-scaffold_5-processed-gene-10.132-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.132&CDS=1-1023	YML121W
