	Ogataea_polymorpha	Saccharomyces_cerevisiae
OG0002012	genemark-scaffold_5-processed-gene-1.94-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.94&CDS=1-678	YIL019W
OG0002013	genemark-scaffold_5-processed-gene-1.72-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.72&CDS=1-798	YIL020C
OG0002014	genemark-scaffold_5-processed-gene-1.73-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.73&CDS=1-933	YIL021W
OG0002015	genemark-scaffold_5-processed-gene-1.74-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.74&CDS=1-942	YPR129W
OG0002016	genemark-scaffold_5-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.75&CDS=1-564	YPR131C
OG0002017	genemark-scaffold_5-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.96&CDS=1-1134	YPR133C
OG0002018	augustus_masked-scaffold_5-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.142&CDS=1-1821	YOR340C
OG0002019	snap_masked-scaffold_5-processed-gene-1.20-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.20&CDS=1-3813	YOR330C
OG0002020	augustus_masked-scaffold_5-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.125&CDS=1-2088	YPL098C
OG0002021	genemark-scaffold_5-processed-gene-1.80-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.80&CDS=1-1914	YLR452C
OG0002022	maker-scaffold_5-augustus-gene-1.58-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.58&CDS=1-3993	YER025W
OG0002023	genemark-scaffold_5-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.81&CDS=1-1332	YJR124C
OG0002024	genemark-scaffold_5-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.82&CDS=1-687	YJR123W
OG0002025	genemark-scaffold_5-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.106&CDS=1-753	YBL054W
OG0002026	genemark-scaffold_5-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.107&CDS=1-612	YIL010W
OG0002027	genemark-scaffold_5-processed-gene-1.108-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.108&CDS=1-780	YPR192W
OG0002028	genemark-scaffold_5-processed-gene-1.109-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.109&CDS=1-624	YNL232W
OG0002029	genemark-scaffold_5-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.84&CDS=1-1500	YGR159C
OG0002030	genemark-scaffold_5-processed-gene-1.85-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.85&CDS=1-1197	YPL194W
OG0002031	maker-scaffold_5-snap-gene-1.53-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.53&CDS=1-1617	YGL080W
OG0002032	genemark-scaffold_5-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.86&CDS=1-957	YBL013W
OG0002033	augustus_masked-scaffold_5-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.80&CDS=1-17115	YLL040C
OG0002034	genemark-scaffold_5-processed-gene-2.128-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.128&CDS=1-561	YLR370C
OG0002035	genemark-scaffold_5-processed-gene-2.134-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.134&CDS=1-1272	YDR306C
OG0002036	genemark-scaffold_5-processed-gene-2.136-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.136&CDS=1-453	YKL067W
OG0002037	augustus_masked-scaffold_5-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.84&CDS=1-2970	YGR054W
OG0002038	genemark-scaffold_5-processed-gene-2.164-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.164&CDS=1-444	YLR074C
OG0002039	genemark-scaffold_5-processed-gene-2.139-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.139&CDS=1-657	YLR075W
OG0002040	genemark-scaffold_5-processed-gene-2.166-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.166&CDS=1-1707	YDR481C
OG0002041	genemark-scaffold_5-processed-gene-2.167-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.167&CDS=1-756	YPL162C
OG0002042	genemark-scaffold_5-processed-gene-2.140-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.140&CDS=1-168	YLL009C
OG0002043	genemark-scaffold_5-processed-gene-2.168-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.168&CDS=1-2739	YNL287W
OG0002044	genemark-scaffold_5-processed-gene-2.169-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.169&CDS=1-858	YNL288W
OG0002045	augustus_masked-scaffold_5-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.86&CDS=1-951	YAL044W-A
OG0002046	genemark-scaffold_5-processed-gene-2.172-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.172&CDS=1-486	YAL044C
OG0002047	genemark-scaffold_5-processed-gene-2.173-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.173&CDS=1-1566	YOR360C
OG0002048	genemark-scaffold_5-processed-gene-2.174-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.174&CDS=1-1470	YOR359W
OG0002049	snap_masked-scaffold_5-processed-gene-2.12-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.12&CDS=1-942	YGR080W
OG0002050	augustus_masked-scaffold_5-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.90&CDS=1-858	YPR082C
OG0002051	snap_masked-scaffold_5-processed-gene-2.21-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.21&CDS=1-1281	YKL194C
OG0002052	genemark-scaffold_5-processed-gene-2.178-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.178&CDS=1-1287	YLR423C
OG0002053	genemark-scaffold_5-processed-gene-2.152-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.152&CDS=1-1809	YOR370C
OG0002054	augustus_masked-scaffold_5-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.118&CDS=1-1860	YOR369C
OG0002055	genemark-scaffold_5-processed-gene-2.182-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.182&CDS=1-3039	YJR132W
OG0002056	genemark-scaffold_5-processed-gene-2.153-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.153&CDS=1-1137	YJR072C
OG0002057	genemark-scaffold_5-processed-gene-2.155-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.155&CDS=1-342	YHL015W
OG0002058	augustus_masked-scaffold_5-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.96&CDS=1-1698	YMR032W
OG0002059	genemark-scaffold_5-processed-gene-2.184-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.184&CDS=1-2469	YKL064W
OG0002060	snap_masked-scaffold_5-processed-gene-2.52-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.52&CDS=1-372	YMR039C
OG0002061	genemark-scaffold_5-processed-gene-2.157-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.157&CDS=1-996	YMR041C
OG0002062	snap_masked-scaffold_5-processed-gene-2.53-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.53&CDS=1-2697	YKR009C
OG0002063	genemark-scaffold_5-processed-gene-2.187-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.187&CDS=1-4425	YDL058W
OG0002064	genemark-scaffold_5-processed-gene-2.189-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.189&CDS=1-1569	YOR132W
OG0002065	genemark-scaffold_5-processed-gene-2.190-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.190&CDS=1-2457	YER075C
OG0002066	snap_masked-scaffold_5-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.28&CDS=1-2691	YPL268W
OG0002067	genemark-scaffold_5-processed-gene-2.191-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.191&CDS=1-1389	YBR247C
OG0002068	genemark-scaffold_5-processed-gene-2.159-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.159&CDS=1-1473	YGL097W
OG0002069	augustus_masked-scaffold_5-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.62&CDS=1-2760	YBR248C
OG0002070	snap_masked-scaffold_5-processed-gene-3.110-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.110&CDS=1-1968	YIL067C
OG0002071	snap_masked-scaffold_5-processed-gene-3.111-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.111&CDS=1-1350	YNL261W
OG0002072	genemark-scaffold_5-processed-gene-3.7-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.7&CDS=1-501	YNL260C
OG0002073	augustus_masked-scaffold_5-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.61&CDS=1-1191	YHR156C
OG0002074	genemark-scaffold_5-processed-gene-3.26-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.26&CDS=1-546	YLR306W
OG0002075	genemark-scaffold_5-processed-gene-3.9-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.9&CDS=1-4776	YDR150W
OG0002076	genemark-scaffold_5-processed-gene-3.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.27&CDS=1-3786	YDR293C
OG0002077	genemark-scaffold_5-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.10&CDS=1-1308	YKL027W
OG0002078	genemark-scaffold_5-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.28&CDS=1-624	YGR147C
OG0002079	genemark-scaffold_5-processed-gene-3.11-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.11&CDS=1-807	YMR226C
OG0002080	genemark-scaffold_5-processed-gene-3.12-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.12&CDS=1-2196	YOL076W
OG0002081	maker-scaffold_5-augustus-gene-3.106-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.106&CDS=1-2610	YOL097C
OG0002082	genemark-scaffold_5-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.13&CDS=1-1386	YNL317W
OG0002083	augustus_masked-scaffold_5-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.87&CDS=1-1731	YKL047W
OG0002084	genemark-scaffold_5-processed-gene-3.38-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.38&CDS=1-1254	YDL001W
OG0002085	genemark-scaffold_5-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.19&CDS=1-7092	YBL004W
OG0002086	genemark-scaffold_5-processed-gene-3.43-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.43&CDS=1-759	YOR145C
OG0002087	augustus_masked-scaffold_5-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.94&CDS=1-2856	YOR355W
OG0002088	augustus_masked-scaffold_5-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.76&CDS=1-2223	YHL014C
OG0002089	snap_masked-scaffold_5-processed-gene-3.153-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.153&CDS=1-843	YHL013C
OG0002090	genemark-scaffold_5-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.23&CDS=1-768	YAL039C
OG0002091	augustus_masked-scaffold_5-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.96&CDS=1-5325	YOR356W
OG0002092	genemark-scaffold_5-processed-gene-3.50-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.50&CDS=1-1797	YNL251C
OG0002093	snap_masked-scaffold_5-processed-gene-3.160-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.160&CDS=1-852	YNL055C
OG0002094	genemark-scaffold_5-processed-gene-3.53-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.53&CDS=1-720	YNL056W
OG0002095	genemark-scaffold_5-processed-gene-4.113-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.113&CDS=1-1959	YER113C
OG0002096	augustus_masked-scaffold_5-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.65&CDS=1-3042	YIR008C
OG0002097	genemark-scaffold_5-processed-gene-4.118-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.118&CDS=1-1929	YDR520C
OG0002098	genemark-scaffold_5-processed-gene-4.120-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.120&CDS=1-1734	YLR176C
OG0002099	genemark-scaffold_5-processed-gene-4.123-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.123&CDS=1-795	YNL177C
OG0002100	genemark-scaffold_5-processed-gene-4.124-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.124&CDS=1-468	YLR016C
OG0002101	augustus_masked-scaffold_5-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.70&CDS=1-5106	YBR260C
OG0002102	genemark-scaffold_5-processed-gene-4.132-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.132&CDS=1-2646	YCL061C
OG0002103	genemark-scaffold_5-processed-gene-4.133-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.133&CDS=1-1062	YCL059C
OG0002104	maker-scaffold_5-augustus-gene-4.109-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.109&CDS=1-3018	YNL279W
OG0002105	augustus_masked-scaffold_5-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.90&CDS=1-1542	YLR186W
OG0002106	genemark-scaffold_5-processed-gene-4.160-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.160&CDS=1-1125	YKL116C
OG0002107	augustus_masked-scaffold_5-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.77&CDS=1-3363	YLR071C
OG0002108	genemark-scaffold_5-processed-gene-4.161-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.161&CDS=1-711	YPR183W
OG0002109	genemark-scaffold_5-processed-gene-4.142-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.142&CDS=1-1755	YDR390C
OG0002110	genemark-scaffold_5-processed-gene-4.162-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.162&CDS=1-1848	YDR389W
OG0002111	genemark-scaffold_5-processed-gene-4.163-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.163&CDS=1-1356	YDR213W
OG0002112	maker-scaffold_5-augustus-gene-4.110-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.110&CDS=1-2226	YDR212W
OG0002113	genemark-scaffold_5-processed-gene-4.166-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.166&CDS=1-2025	YDR211W
OG0002114	genemark-scaffold_5-processed-gene-4.167-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.167&CDS=1-1836	YLL028W
OG0002115	augustus_masked-scaffold_5-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.98&CDS=1-3684	YOR275C
OG0002116	genemark-scaffold_5-processed-gene-4.146-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.146&CDS=1-3195	YGL156W
OG0002117	genemark-scaffold_5-processed-gene-4.147-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.147&CDS=1-1182	YER178W
OG0002118	snap_masked-scaffold_5-processed-gene-4.60-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.60&CDS=1-5400	YPL110C
OG0002119	genemark-scaffold_5-processed-gene-4.175-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.175&CDS=1-549	YBR164C
OG0002120	genemark-scaffold_5-processed-gene-4.176-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.176&CDS=1-1332	YBR166C
OG0002121	augustus_masked-scaffold_5-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.84&CDS=1-4059	YDR265W
OG0002122	genemark-scaffold_5-processed-gene-5.113-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.113&CDS=1-1455	YDR266C
OG0002123	augustus_masked-scaffold_5-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.66&CDS=1-1215	YHR100C
OG0002124	maker-scaffold_5-snap-gene-5.60-mRNA-1_1&gene=maker-scaffold_5-snap-gene-5.60&CDS=1-11730	YHR099W
OG0002125	augustus_masked-scaffold_5-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.69&CDS=1-5337	YOR187W
OG0002126	genemark-scaffold_5-processed-gene-5.141-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.141&CDS=1-1743	YDR419W
OG0002127	genemark-scaffold_5-processed-gene-5.120-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.120&CDS=1-1191	YDR414C
OG0002128	genemark-scaffold_5-processed-gene-5.142-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.142&CDS=1-705	YDR412W
OG0002129	genemark-scaffold_5-processed-gene-5.143-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.143&CDS=1-1218	YKR092C
OG0002130	genemark-scaffold_5-processed-gene-5.123-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.123&CDS=1-2547	YIL143C
OG0002131	genemark-scaffold_5-processed-gene-5.144-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.144&CDS=1-2148	YIL144W
OG0002132	snap_masked-scaffold_5-processed-gene-5.11-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.11&CDS=1-432	YER029C
OG0002133	genemark-scaffold_5-processed-gene-5.145-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.145&CDS=1-3684	YLR398C
OG0002134	genemark-scaffold_5-processed-gene-5.125-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.125&CDS=1-1353	YJL155C
OG0002135	genemark-scaffold_5-processed-gene-5.146-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.146&CDS=1-888	YLR393W
OG0002136	genemark-scaffold_5-processed-gene-5.126-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.126&CDS=1-2136	YJL156C
OG0002137	maker-scaffold_5-augustus-gene-5.54-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.54&CDS=1-582	YHR001W-A
OG0002138	snap_masked-scaffold_5-processed-gene-5.35-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.35&CDS=1-669	YNL222W
OG0002139	genemark-scaffold_5-processed-gene-5.128-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.128&CDS=1-1758	YOR154W
OG0002140	augustus_masked-scaffold_5-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.79&CDS=1-3801	YIL046W
OG0002141	genemark-scaffold_5-processed-gene-5.152-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.152&CDS=1-411	YPR153W
OG0002142	augustus_masked-scaffold_5-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.100&CDS=1-5886	YKL134C
OG0002143	genemark-scaffold_5-processed-gene-5.156-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.156&CDS=1-804	YBR185C
OG0002144	genemark-scaffold_5-processed-gene-5.133-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.133&CDS=1-816	YDL086W
OG0002145	augustus_masked-scaffold_5-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.102&CDS=1-636	YJL072C
OG0002146	augustus_masked-scaffold_5-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.82&CDS=1-1020	YBR271W
OG0002147	snap_masked-scaffold_5-processed-gene-5.23-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.23&CDS=1-1710	YJL071W
OG0002148	genemark-scaffold_5-processed-gene-5.160-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.160&CDS=1-1665	YPL086C
OG0002149	genemark-scaffold_5-processed-gene-5.136-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.136&CDS=1-5787	YPL085W
OG0002150	genemark-scaffold_5-processed-gene-5.163-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.163&CDS=1-1398	YBR182C
OG0002151	genemark-scaffold_5-processed-gene-5.139-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.139&CDS=1-912	YJL180C
OG0002152	augustus_masked-scaffold_5-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.110&CDS=1-3645	YML097C
OG0002153	augustus_masked-scaffold_5-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.58&CDS=1-7020	YML123C
OG0002154	genemark-scaffold_5-processed-gene-6.7-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.7&CDS=1-2550	YLR382C
OG0002155	genemark-scaffold_5-processed-gene-6.5-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.5&CDS=1-4722	YMR210W
OG0002156	genemark-scaffold_5-processed-gene-6.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.37&CDS=1-1680	YKR097W
OG0002157	maker-scaffold_5-snap-gene-6.99-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.99&CDS=1-516	YPR028W
OG0002158	maker-scaffold_5-snap-gene-6.98-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.98&CDS=1-2874	YPR029C
OG0002159	augustus_masked-scaffold_5-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.65&CDS=1-7782	YGR125W
OG0002160	genemark-scaffold_5-processed-gene-6.42-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.42&CDS=1-2322	YDL040C
OG0002161	genemark-scaffold_5-processed-gene-6.43-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.43&CDS=1-1077	YDR047W
OG0002162	maker-scaffold_5-snap-gene-6.95-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.95&CDS=1-5223	YBR074W
OG0002163	genemark-scaffold_5-processed-gene-6.44-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.44&CDS=1-1260	YLR203C
OG0002164	augustus_masked-scaffold_5-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.84&CDS=1-2106	YDR392W
OG0002165	snap_masked-scaffold_5-processed-gene-6.132-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.132&CDS=1-450	YDL177C
OG0002166	genemark-scaffold_5-processed-gene-6.22-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.22&CDS=1-1938	YPL104W
OG0002167	genemark-scaffold_5-processed-gene-6.23-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.23&CDS=1-2322	YFL024C
OG0002168	genemark-scaffold_5-processed-gene-6.24-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.24&CDS=1-1212	YLR107W
OG0002169	genemark-scaffold_5-processed-gene-6.48-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.48&CDS=1-2022	YLR103C
OG0002170	snap_masked-scaffold_5-processed-gene-6.162-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.162&CDS=1-279	YDL045W-A
OG0002171	augustus_masked-scaffold_5-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.72&CDS=1-11265	YIR002C
OG0002172	maker-scaffold_5-augustus-gene-6.112-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.112&CDS=1-5025	YHR020W
OG0002173	maker-scaffold_5-snap-gene-6.97-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.97&CDS=1-2226	YPL222W
OG0002174	snap_masked-scaffold_5-processed-gene-6.143-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.143&CDS=1-3909	YCL014W
OG0002175	genemark-scaffold_5-processed-gene-6.33-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.33&CDS=1-1179	YDR465C
OG0002176	snap_masked-scaffold_5-processed-gene-6.145-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.145&CDS=1-2709	YLR309C
OG0002177	genemark-scaffold_5-processed-gene-6.56-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.56&CDS=1-1380	YHR011W
OG0002178	maker-scaffold_5-augustus-gene-6.109-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.109&CDS=1-3075	YJR052W
OG0002179	snap_masked-scaffold_5-processed-gene-6.168-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.168&CDS=1-1893	YML046W
OG0002180	genemark-scaffold_5-processed-gene-7.105-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.105&CDS=1-1050	YEL037C
OG0002181	genemark-scaffold_5-processed-gene-7.109-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.109&CDS=1-720	YEL038W
OG0002182	genemark-scaffold_5-processed-gene-7.107-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.107&CDS=1-1521	YGL160W
OG0002183	genemark-scaffold_5-processed-gene-7.111-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.111&CDS=1-501	YEL012W
OG0002184	snap_masked-scaffold_5-processed-gene-7.8-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.8&CDS=1-243	YCR020C-A
OG0002185	snap_masked-scaffold_5-processed-gene-7.34-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.34&CDS=1-1635	YPL164C
OG0002186	genemark-scaffold_5-processed-gene-7.139-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.139&CDS=1-5388	YJL005W
OG0002187	genemark-scaffold_5-processed-gene-7.140-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.140&CDS=1-1947	YLR289W
OG0002188	genemark-scaffold_5-processed-gene-7.141-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.141&CDS=1-330	YLR275W
OG0002189	genemark-scaffold_5-processed-gene-7.115-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.115&CDS=1-963	YLR283W
OG0002190	genemark-scaffold_5-processed-gene-7.116-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.116&CDS=1-1680	YHR037W
OG0002191	augustus_masked-scaffold_5-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.90&CDS=1-5853	YHR064C
OG0002192	genemark-scaffold_5-processed-gene-7.117-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.117&CDS=1-219	YIL156W-B
OG0002193	genemark-scaffold_5-processed-gene-7.147-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.147&CDS=1-1425	YKR099W
OG0002194	augustus_masked-scaffold_5-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.72&CDS=1-4962	YIL155C
