	Lachancea_dasiensis	Saccharomyces_cerevisiae
OG0003372	genemark-LADA0G-processed-gene-14.47-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.47&CDS=1-1119	YGL211W
OG0003373	genemark-LADA0G-processed-gene-14.48-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.48&CDS=1-1035	YGL212W
OG0003374	genemark-LADA0G-processed-gene-14.8-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.8&CDS=1-1194	YGL213C
OG0003375	genemark-LADA0G-processed-gene-14.49-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.49&CDS=1-1218	YGL215W
OG0003376	genemark-LADA0G-processed-gene-14.50-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.50&CDS=1-2433	YGL216W
OG0003377	genemark-LADA0G-processed-gene-14.9-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.9&CDS=1-1668	YGL219C
OG0003378	snap_masked-LADA0G-processed-gene-14.229-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.229&CDS=1-252	YGL220W
OG0003379	genemark-LADA0G-processed-gene-14.10-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.10&CDS=1-855	YGL221C
OG0003380	snap_masked-LADA0G-processed-gene-14.187-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.187&CDS=1-543	YER034W
OG0003381	snap_masked-LADA0G-processed-gene-14.188-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.188&CDS=1-1197	YGL222C
OG0003382	genemark-LADA0G-processed-gene-14.51-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.51&CDS=1-1821	YER036C
OG0003383	snap_masked-LADA0G-processed-gene-14.189-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.189&CDS=1-1806	YGL223C
OG0003384	genemark-LADA0G-processed-gene-14.14-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.14&CDS=1-852	YGL224C
OG0003385	snap_masked-LADA0G-processed-gene-14.231-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.231&CDS=1-1215	YER038C
OG0003386	genemark-LADA0G-processed-gene-14.53-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.53&CDS=1-984	YGL225W
OG0003387	genemark-LADA0G-processed-gene-14.15-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.15&CDS=1-2220	YER040W
OG0003388	snap_masked-LADA0G-processed-gene-14.192-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.192&CDS=1-2004	YER041W
OG0003389	genemark-LADA0G-processed-gene-14.17-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.17&CDS=1-552	YER042W
OG0003390	snap_masked-LADA0G-processed-gene-14.233-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.233&CDS=1-435	YGL226W
OG0003391	snap_masked-LADA0G-processed-gene-14.194-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.194&CDS=1-267	YGL226C-A
OG0003392	snap_masked-LADA0G-processed-gene-14.234-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.234&CDS=1-2682	YGL227W
OG0003393	genemark-LADA0G-processed-gene-14.55-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.55&CDS=1-1347	YER043C
OG0003394	genemark-LADA0G-processed-gene-14.56-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.56&CDS=1-1866	YGL228W
OG0003395	genemark-LADA0G-processed-gene-14.57-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.57&CDS=1-894	YFR041C
OG0003396	genemark-LADA0G-processed-gene-14.58-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.58&CDS=1-786	YFR043C
OG0003397	genemark-LADA0G-processed-gene-14.20-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.20&CDS=1-543	YGL231C
OG0003398	augustus_masked-LADA0G-processed-gene-14.143-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-14.143&CDS=1-834	YGL232W
OG0003399	augustus_masked-LADA0G-processed-gene-14.144-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-14.144&CDS=1-2631	YGL233W
OG0003400	genemark-LADA0G-processed-gene-14.60-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.60&CDS=1-1452	YFR044C
OG0003401	augustus_masked-LADA0G-processed-gene-14.107-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-14.107&CDS=1-966	YFR045W
OG0003402	genemark-LADA0G-processed-gene-14.61-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.61&CDS=1-2382	YGL234W
OG0003403	maker-LADA0G-snap-gene-14.169-mRNA-1_1&gene=maker-LADA0G-snap-gene-14.169&CDS=1-2706	YGL236C
OG0003404	genemark-LADA0G-processed-gene-14.63-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.63&CDS=1-2877	YGL238W
OG0003405	genemark-LADA0G-processed-gene-14.64-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.64&CDS=1-747	YGL240W
OG0003406	genemark-LADA0G-processed-gene-14.65-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.65&CDS=1-888	YFR047C
OG0003407	snap_masked-LADA0G-processed-gene-14.247-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.247&CDS=1-3114	YGL241W
OG0003408	genemark-LADA0G-processed-gene-14.24-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.24&CDS=1-510	YGL242C
OG0003409	genemark-LADA0G-processed-gene-14.67-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.67&CDS=1-1149	YGL243W
OG0003410	genemark-LADA0G-processed-gene-14.68-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.68&CDS=1-1695	YGL244W
OG0003411	augustus_masked-LADA0G-processed-gene-14.111-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-14.111&CDS=1-1872	YFR048W
OG0003412	genemark-LADA0G-processed-gene-14.69-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.69&CDS=1-2112	YGL245W
OG0003413	genemark-LADA0G-processed-gene-14.26-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.26&CDS=1-1164	YGL246C
OG0003414	snap_masked-LADA0G-processed-gene-14.251-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.251&CDS=1-936	YDL124W
OG0003415	snap_masked-LADA0G-processed-gene-14.205-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.205&CDS=1-654	YFR049W
OG0003416	snap_masked-LADA0G-processed-gene-14.252-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.252&CDS=1-1083	YGL248W
OG0003417	genemark-LADA0G-processed-gene-14.72-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.72&CDS=1-795	YFR050C
OG0003418	genemark-LADA0G-processed-gene-14.73-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.73&CDS=1-1620	YFR051C
OG0003419	genemark-LADA0G-processed-gene-14.74-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.74&CDS=1-1245	YGL250W
OG0003420	augustus_masked-LADA0G-processed-gene-14.115-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-14.115&CDS=1-2538	YGL252C
OG0003421	genemark-LADA0G-processed-gene-14.75-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.75&CDS=1-1455	YGL253W
OG0003422	augustus_masked-LADA0H-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.2&CDS=1-1347	YCL063W
OG0003423	snap_masked-LADA0H-processed-gene-0.66-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-0.66&CDS=1-3063	YCL061C
OG0003424	genemark-LADA0H-processed-gene-0.109-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.109&CDS=1-999	YCL059C
OG0003425	augustus_masked-LADA0H-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.3&CDS=1-318	YCL058W-A
OG0003426	augustus_masked-LADA0H-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.22&CDS=1-246	YCL057C-A
OG0003427	genemark-LADA0H-processed-gene-0.93-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.93&CDS=1-963	YCL055W
OG0003428	genemark-LADA0H-processed-gene-0.94-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.94&CDS=1-2472	YCL054W
OG0003429	augustus_masked-LADA0H-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.25&CDS=1-1233	YCL052C
OG0003430	genemark-LADA0H-processed-gene-0.114-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.114&CDS=1-381	YDR529C
OG0003431	genemark-LADA0H-processed-gene-0.96-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.96&CDS=1-1053	YDR531W
OG0003432	genemark-LADA0H-processed-gene-0.116-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.116&CDS=1-1092	YDR532C
OG0003433	genemark-LADA0H-processed-gene-0.117-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.117&CDS=1-1368	YDR527W
OG0003434	snap_masked-LADA0H-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-0.77&CDS=1-231	YDR525W-A
OG0003435	augustus_masked-LADA0H-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.30&CDS=1-813	YIR030C
OG0003436	snap_masked-LADA0H-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-0.54&CDS=1-2526	YDR524C
OG0003437	augustus_masked-LADA0H-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.11&CDS=1-1506	YDR523C
OG0003438	genemark-LADA0H-processed-gene-0.98-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.98&CDS=1-1515	YDR522C
OG0003439	genemark-LADA0H-processed-gene-0.99-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.99&CDS=1-2343	YDR520C
OG0003440	genemark-LADA0H-processed-gene-0.119-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.119&CDS=1-786	YCL047C
OG0003441	genemark-LADA0H-processed-gene-0.120-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.120&CDS=1-414	YDR519W
OG0003442	genemark-LADA0H-processed-gene-0.121-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.121&CDS=1-2205	YCL045C
OG0003443	genemark-LADA0H-processed-gene-0.122-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.122&CDS=1-1203	YCL044C
OG0003444	genemark-LADA0H-processed-gene-0.123-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.123&CDS=1-1566	YCL043C
OG0003445	genemark-LADA0H-processed-gene-0.124-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.124&CDS=1-1134	YDR517W
OG0003446	genemark-LADA0H-processed-gene-0.100-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.100&CDS=1-1482	YCL040W
OG0003447	augustus_masked-LADA0H-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.15&CDS=1-2247	YCL039W
OG0003448	genemark-LADA0H-processed-gene-0.125-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.125&CDS=1-1509	YCL038C
OG0003449	genemark-LADA0H-processed-gene-0.126-mRNA-1_1&gene=genemark-LADA0H-processed-gene-0.126&CDS=1-1467	YCL037C
OG0003450	augustus_masked-LADA0H-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-0.16&CDS=1-1305	YDR514C
OG0003451	genemark-LADA0H-processed-gene-1.45-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.45&CDS=1-1008	YCL034W
OG0003452	genemark-LADA0H-processed-gene-1.48-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.48&CDS=1-402	YCL033C
OG0003453	snap_masked-LADA0H-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-1.94&CDS=1-237	YDR512C
OG0003454	genemark-LADA0H-processed-gene-1.46-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.46&CDS=1-957	YCL032W
OG0003455	genemark-LADA0H-processed-gene-1.49-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.49&CDS=1-918	YCL031C
OG0003456	genemark-LADA0H-processed-gene-1.50-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.50&CDS=1-390	YDR511W
OG0003457	maker-LADA0H-snap-gene-1.142-mRNA-1_1&gene=maker-LADA0H-snap-gene-1.142&CDS=1-3693	YCL030C
OG0003458	augustus_masked-LADA0H-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.2&CDS=1-1173	YCL028W
OG0003459	augustus_masked-LADA0H-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.7&CDS=1-1827	YCL027W
OG0003460	augustus_masked-LADA0H-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.8&CDS=1-291	YDR510W
OG0003461	snap_masked-LADA0H-processed-gene-1.106-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-1.106&CDS=1-1809	YDR506C
OG0003462	genemark-LADA0H-processed-gene-1.56-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.56&CDS=1-2139	YLR177W
OG0003463	genemark-LADA0H-processed-gene-1.81-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.81&CDS=1-624	YLR178C
OG0003464	genemark-LADA0H-processed-gene-1.58-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.58&CDS=1-816	YDR503C
OG0003465	genemark-LADA0H-processed-gene-1.59-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.59&CDS=1-1146	YDR502C
OG0003466	augustus_masked-LADA0H-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.35&CDS=1-1128	YLR181C
OG0003467	genemark-LADA0H-processed-gene-1.60-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.60&CDS=1-2253	YLR182W
OG0003468	genemark-LADA0H-processed-gene-1.83-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.83&CDS=1-1683	YDR501W
OG0003469	augustus_masked-LADA0H-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.38&CDS=1-2097	YDR499W
OG0003470	genemark-LADA0H-processed-gene-1.64-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.64&CDS=1-756	YLR186W
OG0003471	genemark-LADA0H-processed-gene-1.65-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.65&CDS=1-1887	YNL279W
OG0003472	genemark-LADA0H-processed-gene-1.66-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.66&CDS=1-2949	YLR187W
OG0003473	genemark-LADA0H-processed-gene-1.68-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.68&CDS=1-1452	YNL277W
OG0003474	genemark-LADA0H-processed-gene-1.86-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.86&CDS=1-3882	YLR189C
OG0003475	genemark-LADA0H-processed-gene-1.87-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.87&CDS=1-1323	YER019W
OG0003476	genemark-LADA0H-processed-gene-1.70-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.70&CDS=1-1062	YCR044C
OG0003477	snap_masked-LADA0H-processed-gene-1.122-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-1.122&CDS=1-1533	YNL275W
OG0003478	genemark-LADA0H-processed-gene-1.72-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.72&CDS=1-354	YCR043C
OG0003479	genemark-LADA0H-processed-gene-1.88-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.88&CDS=1-1047	YNL274C
OG0003480	genemark-LADA0H-processed-gene-1.73-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.73&CDS=1-4188	YCR042C
OG0003481	augustus_masked-LADA0H-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.28&CDS=1-1821	YOR154W
OG0003482	genemark-LADA0H-processed-gene-1.76-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.76&CDS=1-3639	YNL273W
OG0003483	augustus_masked-LADA0H-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.43&CDS=1-1461	YEL064C
OG0003484	genemark-LADA0H-processed-gene-1.91-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.91&CDS=1-2241	YNL272C
OG0003485	genemark-LADA0H-processed-gene-2.39-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.39&CDS=1-3039	YNL267W
OG0003486	genemark-LADA0H-processed-gene-2.41-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.41&CDS=1-1008	YGR046W
OG0003487	genemark-LADA0H-processed-gene-2.55-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.55&CDS=1-804	YNL265C
OG0003488	genemark-LADA0H-processed-gene-2.57-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.57&CDS=1-3153	YGR047C
OG0003489	genemark-LADA0H-processed-gene-2.43-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.43&CDS=1-1077	YGR048W
OG0003490	augustus_masked-LADA0H-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-2.19&CDS=1-3597	YGL140C
OG0003491	snap_masked-LADA0H-processed-gene-2.104-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-2.104&CDS=1-846	YGL128C
OG0003492	genemark-LADA0H-processed-gene-2.61-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.61&CDS=1-924	YNL263C
OG0003493	augustus_masked-LADA0H-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-2.6&CDS=1-7857	YNL262W
OG0003494	snap_masked-LADA0H-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-2.88&CDS=1-1077	YHR156C
OG0003495	genemark-LADA0H-processed-gene-2.62-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.62&CDS=1-495	YNL260C
OG0003496	snap_masked-LADA0H-processed-gene-2.107-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-2.107&CDS=1-219	YNL259C
OG0003497	snap_masked-LADA0H-processed-gene-2.108-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-2.108&CDS=1-2238	YNL258C
OG0003498	snap_masked-LADA0H-processed-gene-2.109-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-2.109&CDS=1-3684	YNL257C
OG0003499	maker-LADA0H-augustus-gene-2.80-mRNA-1_1&gene=maker-LADA0H-augustus-gene-2.80&CDS=1-3489	YGR255C
OG0003500	genemark-LADA0H-processed-gene-2.47-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.47&CDS=1-2403	YNL256W
OG0003501	genemark-LADA0H-processed-gene-2.68-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.68&CDS=1-492	YNL255C
OG0003502	genemark-LADA0H-processed-gene-2.69-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.69&CDS=1-1113	YNL254C
OG0003503	snap_masked-LADA0H-processed-gene-2.90-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-2.90&CDS=1-1221	YNL253W
OG0003504	genemark-LADA0H-processed-gene-2.70-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.70&CDS=1-825	YNL252C
OG0003505	genemark-LADA0H-processed-gene-2.71-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.71&CDS=1-1734	YNL251C
OG0003506	genemark-LADA0H-processed-gene-2.49-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.49&CDS=1-3894	YNL250W
OG0003507	genemark-LADA0H-processed-gene-2.72-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.72&CDS=1-2799	YNL248C
OG0003508	genemark-LADA0H-processed-gene-2.50-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.50&CDS=1-477	YJR097W
OG0003509	genemark-LADA0H-processed-gene-2.73-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.73&CDS=1-1836	YJR098C
OG0003510	augustus_masked-LADA0H-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-2.12&CDS=1-2262	YNL247W
OG0003511	augustus_masked-LADA0H-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-2.13&CDS=1-798	YNL246W
OG0003512	genemark-LADA0H-processed-gene-2.74-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.74&CDS=1-579	YNL245C
OG0003513	genemark-LADA0H-processed-gene-2.75-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.75&CDS=1-324	YNL244C
OG0003514	snap_masked-LADA0H-processed-gene-2.98-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-2.98&CDS=1-1725	YJL209W
OG0003515	genemark-LADA0H-processed-gene-2.77-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.77&CDS=1-1002	YJL208C
OG0003516	genemark-LADA0H-processed-gene-2.78-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.78&CDS=1-5916	YJL207C
OG0003517	genemark-LADA0H-processed-gene-3.5-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.5&CDS=1-2328	YJL204C
OG0003518	snap_masked-LADA0H-processed-gene-3.43-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-3.43&CDS=1-1146	YJL203W
OG0003519	genemark-LADA0H-processed-gene-3.3-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.3&CDS=1-1824	YJL201W
OG0003520	genemark-LADA0H-processed-gene-3.7-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.7&CDS=1-3528	YJL197W
OG0003521	genemark-LADA0H-processed-gene-3.25-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.25&CDS=1-1014	YCR036W
OG0003522	genemark-LADA0H-processed-gene-3.8-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.8&CDS=1-1134	YCR035C
OG0003523	genemark-LADA0H-processed-gene-3.26-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.26&CDS=1-1026	YCR034W
OG0003524	snap_masked-LADA0H-processed-gene-3.69-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-3.69&CDS=1-3615	YCR033W
OG0003525	augustus_masked-LADA0H-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-3.95&CDS=1-1479	YJL194W
OG0003526	genemark-LADA0H-processed-gene-3.28-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.28&CDS=1-6342	YCR032W
OG0003527	genemark-LADA0H-processed-gene-3.29-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.29&CDS=1-732	YJL192C
OG0003528	genemark-LADA0H-processed-gene-3.31-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.31&CDS=1-2205	YJL187C
OG0003529	genemark-LADA0H-processed-gene-3.12-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.12&CDS=1-2508	YCR030C
OG0003530	augustus_masked-LADA0H-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-3.99&CDS=1-744	YCR028C-A
OG0003531	genemark-LADA0H-processed-gene-3.16-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.16&CDS=1-1242	YJL183W
OG0003532	snap_masked-LADA0H-processed-gene-3.58-mRNA-1_1&gene=snap_masked-LADA0H-processed-gene-3.58&CDS=1-2496	YJR030C
OG0003533	genemark-LADA0H-processed-gene-3.33-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.33&CDS=1-951	YJL180C
OG0003534	genemark-LADA0H-processed-gene-3.18-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.18&CDS=1-333	YJL179W
OG0003535	genemark-LADA0H-processed-gene-3.34-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.34&CDS=1-852	YJL178C
OG0003536	genemark-LADA0H-processed-gene-3.20-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.20&CDS=1-621	YPL178W
OG0003537	genemark-LADA0H-processed-gene-3.35-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.35&CDS=1-1077	YPL177C
OG0003538	genemark-LADA0H-processed-gene-4.95-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.95&CDS=1-1095	YBR249C
OG0003539	genemark-LADA0H-processed-gene-4.99-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.99&CDS=1-1656	YBR248C
OG0003540	genemark-LADA0H-processed-gene-4.121-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.121&CDS=1-1443	YGL097W
OG0003541	genemark-LADA0H-processed-gene-4.100-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.100&CDS=1-1860	YML046W
OG0003542	augustus_masked-LADA0H-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-4.76&CDS=1-1818	YJR052W
OG0003543	genemark-LADA0H-processed-gene-4.123-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.123&CDS=1-1410	YEL047C
OG0003544	genemark-LADA0H-processed-gene-4.124-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.124&CDS=1-1155	YEL046C
OG0003545	genemark-LADA0H-processed-gene-4.102-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.102&CDS=1-378	YEL044W
OG0003546	genemark-LADA0H-processed-gene-4.103-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.103&CDS=1-2394	YEL043W
OG0003547	genemark-LADA0H-processed-gene-4.125-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.125&CDS=1-798	YJR050W
OG0003548	genemark-LADA0H-processed-gene-4.104-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.104&CDS=1-1869	YIL162W
OG0003549	genemark-LADA0H-processed-gene-4.105-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.105&CDS=1-1563	YEL042W
OG0003550	genemark-LADA0H-processed-gene-4.107-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.107&CDS=1-1356	YEL040W
OG0003551	genemark-LADA0H-processed-gene-4.126-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.126&CDS=1-330	YJR048W
OG0003552	genemark-LADA0H-processed-gene-4.109-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.109&CDS=1-657	YEL038W
OG0003553	genemark-LADA0H-processed-gene-4.127-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.127&CDS=1-1197	YEL037C
OG0003554	genemark-LADA0H-processed-gene-4.128-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.128&CDS=1-1482	YEL036C
OG0003555	genemark-LADA0H-processed-gene-4.111-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.111&CDS=1-2832	YEL032W
OG0003556	genemark-LADA0H-processed-gene-4.112-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.112&CDS=1-3624	YEL031W
OG0003557	augustus_masked-LADA0H-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-4.83&CDS=1-1683	YJR046W
OG0003558	genemark-LADA0H-processed-gene-4.113-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.113&CDS=1-1755	YMR284W
OG0003559	genemark-LADA0H-processed-gene-4.130-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.130&CDS=1-1512	YMR285C
