	Saccharomyces_cerevisiae	yHMPu5000035654_Tortispora_ganteri
OG0002460	YNL239W	augustus_masked-flattened_line_38-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.46&CDS=1-1464
OG0002461	YNL240C	augustus_masked-flattened_line_6-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.10&CDS=1-1461
OG0002462	YNL241C	augustus_masked-flattened_line_26-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.40&CDS=1-3324
OG0002463	YNL242W	augustus_masked-flattened_line_0-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.42&CDS=1-5001
OG0002464	YNL243W	augustus_masked-flattened_line_10-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.79&CDS=1-3168
OG0002465	YNL244C	augustus_masked-flattened_line_10-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.101&CDS=1-330
OG0002466	YNL245C	augustus_masked-flattened_line_24-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.113&CDS=1-477
OG0002467	YNL248C	augustus_masked-flattened_line_28-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.28&CDS=1-1224
OG0002468	YNL251C	augustus_masked-flattened_line_4-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.123&CDS=1-1848
OG0002469	YNL252C	augustus_masked-flattened_line_0-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.29&CDS=1-777
OG0002470	YNL256W	augustus_masked-flattened_line_20-processed-gene-1.245-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.245&CDS=1-2079
OG0002471	YNL261W	genemark-flattened_line_4-processed-gene-5.27-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.27&CDS=1-1707
OG0002472	YNL262W	augustus_masked-flattened_line_2-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.89&CDS=1-6618
OG0002473	YNL263C	augustus_masked-flattened_line_36-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.16&CDS=1-1011
OG0002474	YNL265C	augustus_masked-flattened_line_0-processed-gene-6.315-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.315&CDS=1-813
OG0002475	YNL267W	augustus_masked-flattened_line_10-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.148&CDS=1-2742
OG0002476	YNL271C	augustus_masked-flattened_line_12-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.123&CDS=1-4203
OG0002477	YNL272C	augustus_masked-flattened_line_2-processed-gene-6.174-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.174&CDS=1-1596
OG0002478	YNL273W	augustus_masked-flattened_line_10-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.122&CDS=1-3513
OG0002479	YNL275W	augustus_masked-flattened_line_8-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.89&CDS=1-1806
OG0002480	YNL277W	augustus_masked-flattened_line_6-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.72&CDS=1-1467
OG0002481	YNL280C	snap_masked-flattened_line_28-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.74&CDS=1-1317
OG0002482	YNL284C	augustus_masked-flattened_line_14-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.86&CDS=1-810
OG0002483	YNL287W	maker-flattened_line_24-augustus-gene-1.134-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.134&CDS=1-3255
OG0002484	YNL289W	augustus_masked-flattened_line_0-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.24&CDS=1-957
OG0002485	YNL290W	augustus_masked-flattened_line_24-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.106&CDS=1-1011
OG0002486	YNL291C	augustus_masked-flattened_line_72-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.61&CDS=1-1722
OG0002487	YNL292W	augustus_masked-flattened_line_78-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.29&CDS=1-1077
OG0002488	YNL294C	augustus_masked-flattened_line_6-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.145&CDS=1-1755
OG0002489	YNL297C	augustus_masked-flattened_line_54-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.146&CDS=1-4722
OG0002490	YNL305C	augustus_masked-flattened_line_16-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.75&CDS=1-753
OG0002491	YNL306W	augustus_masked-flattened_line_36-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.96&CDS=1-705
OG0002492	YNL308C	augustus_masked-flattened_line_40-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.22&CDS=1-1509
OG0002493	YNL310C	genemark-flattened_line_44-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.31&CDS=1-387
OG0002494	YNL313C	augustus_masked-flattened_line_18-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.66&CDS=1-1944
OG0002495	YNL315C	augustus_masked-flattened_line_8-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.101&CDS=1-870
OG0002496	YNL316C	augustus_masked-flattened_line_14-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.101&CDS=1-801
OG0002497	YNL317W	augustus_masked-flattened_line_6-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.75&CDS=1-1569
OG0002498	YNL320W	augustus_masked-flattened_line_16-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.68&CDS=1-909
OG0002499	YNL321W	augustus_masked-flattened_line_0-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.67&CDS=1-3372
OG0002500	YNL322C	augustus_masked-flattened_line_14-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.84&CDS=1-423
OG0002501	YNL325C	augustus_masked-flattened_line_4-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.62&CDS=1-2757
OG0002502	YNL326C	augustus_masked-flattened_line_58-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.43&CDS=1-666
OG0002503	YNL329C	augustus_masked-flattened_line_44-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.181&CDS=1-3234
OG0002504	YNL330C	maker-flattened_line_20-augustus-gene-1.97-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.97&CDS=1-1980
OG0002505	YNR001C	maker-flattened_line_4-augustus-gene-5.67-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-5.67&CDS=1-1398
OG0002506	YNR003C	maker-flattened_line_34-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-0.7&CDS=1-1362
OG0002507	YNR006W	augustus_masked-flattened_line_18-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.115&CDS=1-1878
OG0002508	YNR007C	augustus_masked-flattened_line_2-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.13&CDS=1-927
OG0002509	YNR008W	augustus_masked-flattened_line_2-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.99&CDS=1-1818
OG0002510	YNR012W	augustus_masked-flattened_line_12-processed-gene-2.259-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.259&CDS=1-1314
OG0002511	YNR013C	augustus_masked-flattened_line_0-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.83&CDS=1-2403
OG0002512	YNR015W	snap_masked-flattened_line_10-processed-gene-1.16-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.16&CDS=1-1074
OG0002513	YNR016C	augustus_masked-flattened_line_16-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.12&CDS=1-6687
OG0002514	YNR017W	augustus_masked-flattened_line_16-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.2&CDS=1-618
OG0002515	YNR018W	augustus_masked-flattened_line_2-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.56&CDS=1-660
OG0002516	YNR020C	augustus_masked-flattened_line_0-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.53&CDS=1-672
OG0002517	YNR023W	augustus_masked-flattened_line_2-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.146&CDS=1-1335
OG0002518	YNR029C	augustus_masked-flattened_line_58-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.54&CDS=1-1038
OG0002519	YNR030W	maker-flattened_line_10-augustus-gene-1.158-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.158&CDS=1-1557
OG0002520	YNR032C-A	maker-flattened_line_4-snap-gene-0.89-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-0.89&CDS=1-210
OG0002521	YNR033W	augustus_masked-flattened_line_2-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.140&CDS=1-2094
OG0002522	YNR035C	augustus_masked-flattened_line_24-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.102&CDS=1-945
OG0002523	YNR036C	augustus_masked-flattened_line_4-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.69&CDS=1-555
OG0002524	YNR037C	snap_masked-flattened_line_6-processed-gene-4.44-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.44&CDS=1-273
OG0002525	YNR038W	augustus_masked-flattened_line_10-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.62&CDS=1-1542
OG0002526	YNR039C	augustus_masked-flattened_line_14-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.97&CDS=1-1656
OG0002527	YNR041C	maker-flattened_line_8-augustus-gene-4.88-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-4.88&CDS=1-3651
OG0002528	YNR043W	augustus_masked-flattened_line_20-processed-gene-1.257-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.257&CDS=1-1152
OG0002529	YNR046W	augustus_masked-flattened_line_8-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.127&CDS=1-369
OG0002530	YNR047W	augustus_masked-flattened_line_42-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.147&CDS=1-2271
OG0002531	YNR050C	augustus_masked-flattened_line_26-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.46&CDS=1-1350
OG0002532	YNR052C	augustus_masked-flattened_line_80-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.22&CDS=1-1056
OG0002533	YNR053C	maker-flattened_line_10-augustus-gene-2.117-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-2.117&CDS=1-1452
OG0002534	YNR054C	augustus_masked-flattened_line_6-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.41&CDS=1-876
OG0002535	YOL001W	snap_masked-flattened_line_20-processed-gene-1.151-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.151&CDS=1-843
OG0002536	YOL003C	augustus_masked-flattened_line_24-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.114&CDS=1-933
OG0002537	YOL004W	augustus_masked-flattened_line_24-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.118&CDS=1-6123
OG0002538	YOL005C	maker-flattened_line_6-augustus-gene-4.329-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-4.329&CDS=1-366
OG0002539	YOL006C	augustus_masked-flattened_line_24-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.90&CDS=1-2187
OG0002540	YOL008W	augustus_masked-flattened_line_16-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.59&CDS=1-408
OG0002541	YOL009C	augustus_masked-flattened_line_10-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.131&CDS=1-1386
OG0002542	YOL010W	augustus_masked-flattened_line_30-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.155&CDS=1-1125
OG0002543	YOL012C	augustus_masked-flattened_line_62-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.46&CDS=1-387
OG0002544	YOL018C	augustus_masked-flattened_line_12-processed-gene-2.265-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.265&CDS=1-951
OG0002545	YOL023W	augustus_masked-flattened_line_2-processed-gene-6.181-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.181&CDS=1-1905
OG0002546	YOL026C	augustus_masked-flattened_line_12-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.29&CDS=1-375
OG0002547	YOL032W	augustus_masked-flattened_line_32-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.212&CDS=1-573
OG0002548	YOL033W	augustus_masked-flattened_line_78-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.41&CDS=1-1506
OG0002549	YOL034W	augustus_masked-flattened_line_24-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.122&CDS=1-3234
OG0002550	YOL038W	augustus_masked-flattened_line_20-processed-gene-1.253-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.253&CDS=1-762
OG0002551	YOL040C	augustus_masked-flattened_line_6-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.155&CDS=1-456
OG0002552	YOL041C	augustus_masked-flattened_line_6-processed-gene-4.156-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.156&CDS=1-1149
OG0002553	YOL049W	augustus_masked-flattened_line_20-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.78&CDS=1-1359
OG0002554	YOL051W	augustus_masked-flattened_line_42-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.140&CDS=1-3279
OG0002555	YOL052C	augustus_masked-flattened_line_70-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.91&CDS=1-1230
OG0002556	YOL054W	augustus_masked-flattened_line_40-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.40&CDS=1-1002
OG0002557	YOL057W	augustus_masked-flattened_line_14-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.68&CDS=1-2046
OG0002558	YOL058W	maker-flattened_line_2-augustus-gene-3.161-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.161&CDS=1-1236
OG0002559	YOL060C	augustus_masked-flattened_line_16-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.64&CDS=1-1875
OG0002560	YOL061W	augustus_masked-flattened_line_20-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.72&CDS=1-1191
OG0002561	YOL064C	augustus_masked-flattened_line_90-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.18&CDS=1-1032
OG0002562	YOL065C	augustus_masked-flattened_line_16-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.84&CDS=1-1191
OG0002563	YOL069W	genemark-flattened_line_48-processed-gene-0.136-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.136&CDS=1-1356
OG0002564	YOL071W	augustus_masked-flattened_line_2-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.23&CDS=1-420
OG0002565	YOL072W	augustus_masked-flattened_line_2-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.141&CDS=1-1272
OG0002566	YOL073C	augustus_masked-flattened_line_26-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.66&CDS=1-627
OG0002567	YOL075C	augustus_masked-flattened_line_12-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.124&CDS=1-3882
OG0002568	YOL077C	augustus_masked-flattened_line_24-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.101&CDS=1-855
OG0002569	YOL077W-A	maker-flattened_line_38-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.1&CDS=1-207
OG0002570	YOL078W	augustus_masked-flattened_line_74-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.37&CDS=1-2361
OG0002571	YOL090W	augustus_masked-flattened_line_2-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.67&CDS=1-2778
OG0002572	YOL093W	augustus_masked-flattened_line_30-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.116&CDS=1-870
OG0002573	YOL094C	augustus_masked-flattened_line_2-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.140&CDS=1-1017
OG0002574	YOL096C	snap_masked-flattened_line_2-processed-gene-4.59-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.59&CDS=1-693
OG0002575	YOL097C	augustus_masked-flattened_line_52-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.80&CDS=1-1212
OG0002576	YOL098C	maker-flattened_line_0-augustus-gene-6.117-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.117&CDS=1-5169
OG0002577	YOL111C	augustus_masked-flattened_line_64-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.46&CDS=1-531
OG0002578	YOL114C	maker-flattened_line_2-augustus-gene-6.1-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-6.1&CDS=1-504
OG0002579	YOL122C	augustus_masked-flattened_line_10-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.68&CDS=1-1677
OG0002580	YOL123W	augustus_masked-flattened_line_16-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.23&CDS=1-1347
OG0002581	YOL124C	augustus_masked-flattened_line_54-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.122&CDS=1-1296
OG0002582	YOL129W	augustus_masked-flattened_line_8-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.105&CDS=1-501
OG0002583	YOL135C	augustus_masked-flattened_line_40-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.19&CDS=1-771
OG0002584	YOL139C	augustus_masked-flattened_line_16-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.27&CDS=1-666
OG0002585	YOL141W	augustus_masked-flattened_line_44-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.177&CDS=1-1842
OG0002586	YOL143C	augustus_masked-flattened_line_0-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.43&CDS=1-492
OG0002587	YOL145C	augustus_masked-flattened_line_68-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.48&CDS=1-3219
OG0002588	YOL146W	augustus_masked-flattened_line_8-processed-gene-4.233-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.233&CDS=1-570
OG0002589	YOL148C	augustus_masked-flattened_line_24-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.75&CDS=1-2058
OG0002590	YOR001W	augustus_masked-flattened_line_28-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.73&CDS=1-2220
OG0002591	YOR002W	augustus_masked-flattened_line_14-processed-gene-2.164-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.164&CDS=1-1605
OG0002592	YOR004W	augustus_masked-flattened_line_24-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.65&CDS=1-735
OG0002593	YOR005C	augustus_masked-flattened_line_78-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.53&CDS=1-2733
OG0002594	YOR006C	genemark-flattened_line_20-processed-gene-1.1-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.1&CDS=1-813
OG0002595	YOR007C	augustus_masked-flattened_line_6-processed-gene-4.157-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.157&CDS=1-999
OG0002596	YOR008C	augustus_masked-flattened_line_20-processed-gene-1.237-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.237&CDS=1-876
OG0002597	YOR014W	augustus_masked-flattened_line_40-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.18&CDS=1-1842
OG0002598	YOR017W	augustus_masked-flattened_line_34-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.165&CDS=1-1932
OG0002599	YOR020C	augustus_masked-flattened_line_2-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.46&CDS=1-315
OG0002600	YOR021C	maker-flattened_line_2-augustus-gene-5.2-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-5.2&CDS=1-588
OG0002601	YOR022C	augustus_masked-flattened_line_4-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.72&CDS=1-2358
OG0002602	YOR023C	augustus_masked-flattened_line_14-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.142&CDS=1-840
OG0002603	YOR025W	augustus_masked-flattened_line_28-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.87&CDS=1-1350
OG0002604	YOR027W	augustus_masked-flattened_line_2-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.130&CDS=1-1707
OG0002605	YOR032C	augustus_masked-flattened_line_56-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.85&CDS=1-2658
OG0002606	YOR037W	augustus_masked-flattened_line_12-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.119&CDS=1-1269
OG0002607	YOR039W	augustus_masked-flattened_line_36-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.61&CDS=1-675
OG0002608	YOR042W	augustus_masked-flattened_line_14-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.114&CDS=1-906
OG0002609	YOR043W	augustus_masked-flattened_line_90-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.30&CDS=1-924
OG0002610	YOR046C	maker-flattened_line_34-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-0.4&CDS=1-1557
OG0002611	YOR048C	augustus_masked-flattened_line_34-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.141&CDS=1-2856
OG0002612	YOR056C	augustus_masked-flattened_line_8-processed-gene-4.191-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.191&CDS=1-1197
OG0002613	YOR057W	augustus_masked-flattened_line_0-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.167&CDS=1-1197
OG0002614	YOR058C	augustus_masked-flattened_line_78-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.37&CDS=1-2043
OG0002615	YOR063W	augustus_masked-flattened_line_4-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.108&CDS=1-1158
OG0002616	YOR065W	maker-flattened_line_6-augustus-gene-1.56-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-1.56&CDS=1-918
OG0002617	YOR067C	augustus_masked-flattened_line_38-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.11&CDS=1-3060
OG0002618	YOR069W	augustus_masked-flattened_line_66-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.28&CDS=1-1551
OG0002619	YOR070C	augustus_masked-flattened_line_16-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.22&CDS=1-1494
OG0002620	YOR074C	augustus_masked-flattened_line_38-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.68&CDS=1-891
OG0002621	YOR075W	augustus_masked-flattened_line_16-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.118&CDS=1-891
OG0002622	YOR077W	maker-flattened_line_26-augustus-gene-1.140-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-1.140&CDS=1-1455
OG0002623	YOR079C	augustus_masked-flattened_line_10-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.63&CDS=1-912
OG0002624	YOR084W	augustus_masked-flattened_line_44-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.170&CDS=1-1242
OG0002625	YOR085W	augustus_masked-flattened_line_54-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.133&CDS=1-936
OG0002626	YOR089C	augustus_masked-flattened_line_12-processed-gene-2.201-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.201&CDS=1-609
OG0002627	YOR090C	augustus_masked-flattened_line_46-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.54&CDS=1-1620
OG0002628	YOR091W	augustus_masked-flattened_line_18-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.93&CDS=1-951
OG0002629	YOR093C	augustus_masked-flattened_line_16-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.24&CDS=1-4194
