	Saccharomyces_cerevisiae	yHMPu5000034754_Lipomyces_arxii
OG0002248	YLR116W	maker-NODE_11_length_244810_cov_11.4858_ID_21-snap-gene-0.32-mRNA-1_1&gene=maker-NODE_11_length_244810_cov_11.4858_ID_21-snap-gene-0.32&CDS=1-1212
OG0002249	YLR117C	genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.148-mRNA-1_1&gene=genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.148&CDS=1-1527
OG0002250	YLR118C	genemark-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-1.161-mRNA-1_1&gene=genemark-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-1.161&CDS=1-669
OG0002251	YLR126C	genemark-NODE_57_length_98791_cov_11.4046_ID_113-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_57_length_98791_cov_11.4046_ID_113-processed-gene-0.117&CDS=1-804
OG0002252	YLR127C	snap_masked-NODE_44_length_123047_cov_11.5463_ID_87-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_44_length_123047_cov_11.5463_ID_87-processed-gene-0.127&CDS=1-2106
OG0002253	YLR128W	maker-NODE_122_length_46585_cov_11.714_ID_243-augustus-gene-0.52-mRNA-1_1&gene=maker-NODE_122_length_46585_cov_11.714_ID_243-augustus-gene-0.52&CDS=1-759
OG0002254	YLR129W	genemark-NODE_48_length_109651_cov_11.3697_ID_95-processed-gene-0.186-mRNA-1_1&gene=genemark-NODE_48_length_109651_cov_11.3697_ID_95-processed-gene-0.186&CDS=1-2808
OG0002255	YLR130C	genemark-NODE_99_length_59690_cov_22.0025_ID_197-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_99_length_59690_cov_22.0025_ID_197-processed-gene-0.74&CDS=1-1119
OG0002256	YLR133W	maker-NODE_70_length_85938_cov_11.473_ID_139-augustus-gene-0.12-mRNA-1_1&gene=maker-NODE_70_length_85938_cov_11.473_ID_139-augustus-gene-0.12&CDS=1-1542
OG0002257	YLR137W	augustus_masked-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.165&CDS=1-1323
OG0002258	YLR138W	genemark-NODE_48_length_109651_cov_11.3697_ID_95-processed-gene-0.198-mRNA-1_1&gene=genemark-NODE_48_length_109651_cov_11.3697_ID_95-processed-gene-0.198&CDS=1-2634
OG0002259	YLR143W	genemark-NODE_39_length_132718_cov_11.6163_ID_77-processed-gene-0.186-mRNA-1_1&gene=genemark-NODE_39_length_132718_cov_11.6163_ID_77-processed-gene-0.186&CDS=1-1986
OG0002260	YLR145W	maker-NODE_78_length_76792_cov_11.4931_ID_155-snap-gene-0.48-mRNA-1_1&gene=maker-NODE_78_length_76792_cov_11.4931_ID_155-snap-gene-0.48&CDS=1-720
OG0002261	YLR147C	genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_14_length_231766_cov_11.1265_ID_27-processed-gene-0.1&CDS=1-339
OG0002262	YLR148W	genemark-NODE_51_length_106695_cov_22.0781_ID_101-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_51_length_106695_cov_22.0781_ID_101-processed-gene-0.132&CDS=1-2946
OG0002263	YLR149C	genemark-NODE_573_length_976_cov_24.7508_ID_1145-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_573_length_976_cov_24.7508_ID_1145-processed-gene-0.0&CDS=1-918
OG0002264	YLR150W	genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-1.21-mRNA-1_1&gene=genemark-NODE_20_length_209916_cov_11.68_ID_39-processed-gene-1.21&CDS=1-963
OG0002265	YLR153C	maker-NODE_138_length_37251_cov_11.3024_ID_275-augustus-gene-0.60-mRNA-1_1&gene=maker-NODE_138_length_37251_cov_11.3024_ID_275-augustus-gene-0.60&CDS=1-2034
OG0002266	YLR163C	genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-1.185-mRNA-1_1&gene=genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-1.185&CDS=1-1428
OG0002267	YLR165C	maker-NODE_3_length_308411_cov_11.3318_ID_5-augustus-gene-2.110-mRNA-1_1&gene=maker-NODE_3_length_308411_cov_11.3318_ID_5-augustus-gene-2.110&CDS=1-873
OG0002268	YLR166C	genemark-NODE_42_length_124964_cov_11.4052_ID_83-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_42_length_124964_cov_11.4052_ID_83-processed-gene-0.106&CDS=1-1374
OG0002269	YLR168C	genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.146-mRNA-1_1&gene=genemark-NODE_17_length_218247_cov_11.4706_ID_33-processed-gene-1.146&CDS=1-570
OG0002270	YLR170C	genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-1.169-mRNA-1_1&gene=genemark-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-1.169&CDS=1-471
OG0002271	YLR172C	augustus_masked-NODE_71_length_85177_cov_12.7038_ID_141-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_71_length_85177_cov_12.7038_ID_141-processed-gene-0.31&CDS=1-1857
OG0002272	YLR175W	genemark-NODE_34_length_142245_cov_11.4773_ID_67-processed-gene-0.130-mRNA-1_1&gene=genemark-NODE_34_length_142245_cov_11.4773_ID_67-processed-gene-0.130&CDS=1-1413
OG0002273	YLR176C	genemark-NODE_87_length_67939_cov_11.8386_ID_173-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_87_length_67939_cov_11.8386_ID_173-processed-gene-0.96&CDS=1-2451
OG0002274	YLR186W	genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.222-mRNA-1_1&gene=genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-1.222&CDS=1-747
OG0002275	YLR189C	genemark-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.24&CDS=1-4200
OG0002276	YLR191W	genemark-NODE_28_length_151875_cov_11.5163_ID_55-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_28_length_151875_cov_11.5163_ID_55-processed-gene-0.126&CDS=1-1185
OG0002277	YLR193C	genemark-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_125_length_45201_cov_11.8398_ID_249-processed-gene-0.49&CDS=1-600
OG0002278	YLR195C	genemark-NODE_60_length_97166_cov_11.234_ID_119-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_60_length_97166_cov_11.234_ID_119-processed-gene-0.92&CDS=1-1566
OG0002279	YLR196W	maker-NODE_103_length_57922_cov_13.1606_ID_205-snap-gene-0.27-mRNA-1_1&gene=maker-NODE_103_length_57922_cov_13.1606_ID_205-snap-gene-0.27&CDS=1-1629
OG0002280	YLR197W	genemark-NODE_41_length_125786_cov_11.5009_ID_81-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_41_length_125786_cov_11.5009_ID_81-processed-gene-0.135&CDS=1-1326
OG0002281	YLR200W	genemark-NODE_36_length_135873_cov_11.6034_ID_71-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_36_length_135873_cov_11.6034_ID_71-processed-gene-0.92&CDS=1-366
OG0002282	YLR201C	genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.43&CDS=1-747
OG0002283	YLR203C	genemark-NODE_60_length_97166_cov_11.234_ID_119-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_60_length_97166_cov_11.234_ID_119-processed-gene-0.86&CDS=1-1452
OG0002284	YLR207W	snap_masked-NODE_90_length_67021_cov_12.7312_ID_179-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_90_length_67021_cov_12.7312_ID_179-processed-gene-0.60&CDS=1-2337
OG0002285	YLR208W	genemark-NODE_71_length_85177_cov_12.7038_ID_141-processed-gene-0.139-mRNA-1_1&gene=genemark-NODE_71_length_85177_cov_12.7038_ID_141-processed-gene-0.139&CDS=1-891
OG0002286	YLR209C	maker-NODE_139_length_37202_cov_11.3183_ID_277-snap-gene-0.17-mRNA-1_1&gene=maker-NODE_139_length_37202_cov_11.3183_ID_277-snap-gene-0.17&CDS=1-951
OG0002287	YLR211C	genemark-NODE_57_length_98791_cov_11.4046_ID_113-processed-gene-0.131-mRNA-1_1&gene=genemark-NODE_57_length_98791_cov_11.4046_ID_113-processed-gene-0.131&CDS=1-918
OG0002288	YLR212C	genemark-NODE_79_length_76759_cov_11.5973_ID_157-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_79_length_76759_cov_11.5973_ID_157-processed-gene-0.86&CDS=1-1344
OG0002289	YLR215C	maker-NODE_30_length_147641_cov_11.6001_ID_59-augustus-gene-0.112-mRNA-1_1&gene=maker-NODE_30_length_147641_cov_11.6001_ID_59-augustus-gene-0.112&CDS=1-1275
OG0002290	YLR216C	snap_masked-NODE_72_length_83986_cov_11.1349_ID_143-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_72_length_83986_cov_11.1349_ID_143-processed-gene-0.126&CDS=1-1179
OG0002291	YLR220W	genemark-NODE_61_length_95655_cov_13.3228_ID_121-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_61_length_95655_cov_13.3228_ID_121-processed-gene-0.99&CDS=1-918
OG0002292	YLR222C	genemark-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.26&CDS=1-2454
OG0002293	YLR229C	genemark-NODE_68_length_87717_cov_11.3619_ID_135-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_68_length_87717_cov_11.3619_ID_135-processed-gene-0.99&CDS=1-576
OG0002294	YLR231C	snap_masked-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_9_length_249165_cov_11.2857_ID_17-processed-gene-0.104&CDS=1-1365
OG0002295	YLR234W	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.69&CDS=1-2040
OG0002296	YLR239C	genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.156-mRNA-1_1&gene=genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.156&CDS=1-729
OG0002297	YLR240W	genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.90-mRNA-1_1&gene=genemark-NODE_6_length_284188_cov_11.2289_ID_11-processed-gene-1.90&CDS=1-2466
OG0002298	YLR241W	maker-NODE_106_length_55275_cov_10.9775_ID_211-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_106_length_55275_cov_10.9775_ID_211-snap-gene-0.3&CDS=1-4794
OG0002299	YLR243W	genemark-NODE_73_length_79790_cov_11.602_ID_145-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_73_length_79790_cov_11.602_ID_145-processed-gene-0.120&CDS=1-873
OG0002300	YLR244C	maker-NODE_43_length_124011_cov_12.1102_ID_85-augustus-gene-0.30-mRNA-1_1&gene=maker-NODE_43_length_124011_cov_12.1102_ID_85-augustus-gene-0.30&CDS=1-1143
OG0002301	YLR245C	genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.46&CDS=1-414
OG0002302	YLR246W	maker-NODE_65_length_90892_cov_11.2911_ID_129-snap-gene-0.133-mRNA-1_1&gene=maker-NODE_65_length_90892_cov_11.2911_ID_129-snap-gene-0.133&CDS=1-981
OG0002303	YLR247C	genemark-NODE_134_length_38727_cov_12.0854_ID_267-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_134_length_38727_cov_12.0854_ID_267-processed-gene-0.43&CDS=1-4587
OG0002304	YLR248W	genemark-NODE_72_length_83986_cov_11.1349_ID_143-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_72_length_83986_cov_11.1349_ID_143-processed-gene-0.106&CDS=1-1659
OG0002305	YLR250W	maker-NODE_27_length_161307_cov_11.5293_ID_53-snap-gene-0.46-mRNA-1_1&gene=maker-NODE_27_length_161307_cov_11.5293_ID_53-snap-gene-0.46&CDS=1-534
OG0002306	YLR251W	genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.58&CDS=1-618
OG0002307	YLR253W	maker-NODE_15_length_231195_cov_11.3764_ID_29-augustus-gene-0.21-mRNA-1_1&gene=maker-NODE_15_length_231195_cov_11.3764_ID_29-augustus-gene-0.21&CDS=1-1830
OG0002308	YLR259C	maker-NODE_50_length_107181_cov_11.4829_ID_99-snap-gene-0.66-mRNA-1_1&gene=maker-NODE_50_length_107181_cov_11.4829_ID_99-snap-gene-0.66&CDS=1-2154
OG0002309	YLR262C	maker-NODE_27_length_161307_cov_11.5293_ID_53-augustus-gene-0.29-mRNA-1_1&gene=maker-NODE_27_length_161307_cov_11.5293_ID_53-augustus-gene-0.29&CDS=1-624
OG0002310	YLR262C-A	genemark-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.116&CDS=1-185
OG0002311	YLR268W	snap_masked-NODE_16_length_223381_cov_11.4667_ID_31-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_16_length_223381_cov_11.4667_ID_31-processed-gene-0.63&CDS=1-705
OG0002312	YLR271W	genemark-NODE_77_length_77390_cov_11.3037_ID_153-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_77_length_77390_cov_11.3037_ID_153-processed-gene-0.56&CDS=1-1269
OG0002313	YLR272C	genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-0.62&CDS=1-3378
OG0002314	YLR274W	snap_masked-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-0.77&CDS=1-2238
OG0002315	YLR275W	genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_67_length_87842_cov_11.634_ID_133-processed-gene-0.11&CDS=1-342
OG0002316	YLR276C	genemark-NODE_48_length_109651_cov_11.3697_ID_95-processed-gene-0.193-mRNA-1_1&gene=genemark-NODE_48_length_109651_cov_11.3697_ID_95-processed-gene-0.193&CDS=1-1743
OG0002317	YLR277C	maker-NODE_116_length_49005_cov_10.7127_ID_231-snap-gene-0.34-mRNA-1_1&gene=maker-NODE_116_length_49005_cov_10.7127_ID_231-snap-gene-0.34&CDS=1-2199
OG0002318	YLR281C	genemark-NODE_34_length_142245_cov_11.4773_ID_67-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_34_length_142245_cov_11.4773_ID_67-processed-gene-0.99&CDS=1-762
OG0002319	YLR283W	maker-NODE_33_length_145268_cov_11.4808_ID_65-snap-gene-0.61-mRNA-1_1&gene=maker-NODE_33_length_145268_cov_11.4808_ID_65-snap-gene-0.61&CDS=1-1143
OG0002320	YLR285W	genemark-NODE_79_length_76759_cov_11.5973_ID_157-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_79_length_76759_cov_11.5973_ID_157-processed-gene-0.92&CDS=1-795
OG0002321	YLR286C	maker-NODE_79_length_76759_cov_11.5973_ID_157-augustus-gene-0.127-mRNA-1_1&gene=maker-NODE_79_length_76759_cov_11.5973_ID_157-augustus-gene-0.127&CDS=1-2091
OG0002322	YLR289W	genemark-NODE_72_length_83986_cov_11.1349_ID_143-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_72_length_83986_cov_11.1349_ID_143-processed-gene-0.88&CDS=1-2064
OG0002323	YLR290C	genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.160-mRNA-1_1&gene=genemark-NODE_7_length_273906_cov_11.6642_ID_13-processed-gene-1.160&CDS=1-813
OG0002324	YLR291C	augustus_masked-NODE_145_length_34410_cov_11.2031_ID_289-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_145_length_34410_cov_11.2031_ID_289-processed-gene-0.57&CDS=1-1959
OG0002325	YLR293C	genemark-NODE_97_length_62045_cov_11.7576_ID_193-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_97_length_62045_cov_11.7576_ID_193-processed-gene-0.48&CDS=1-645
OG0002326	YLR295C	augustus_masked-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.19&CDS=1-345
OG0002327	YLR298C	augustus_masked-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.207-mRNA-1_1&gene=augustus_masked-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.207&CDS=1-612
OG0002328	YLR303W	genemark-NODE_53_length_103088_cov_10.9603_ID_105-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_53_length_103088_cov_10.9603_ID_105-processed-gene-0.94&CDS=1-1329
OG0002329	YLR304C	genemark-NODE_184_length_23573_cov_13.8357_ID_367-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_184_length_23573_cov_13.8357_ID_367-processed-gene-0.16&CDS=1-2325
OG0002330	YLR305C	maker-NODE_26_length_177985_cov_11.2812_ID_51-augustus-gene-0.283-mRNA-1_1&gene=maker-NODE_26_length_177985_cov_11.2812_ID_51-augustus-gene-0.283&CDS=1-5829
OG0002331	YLR306W	maker-NODE_106_length_55275_cov_10.9775_ID_211-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_106_length_55275_cov_10.9775_ID_211-snap-gene-0.0&CDS=1-765
OG0002332	YLR309C	augustus_masked-NODE_118_length_48796_cov_11.9207_ID_235-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_118_length_48796_cov_11.9207_ID_235-processed-gene-0.68&CDS=1-3333
OG0002333	YLR312W-A	genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-1.191-mRNA-1_1&gene=genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-1.191&CDS=1-888
OG0002334	YLR314C	genemark-NODE_93_length_65092_cov_10.6922_ID_185-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_93_length_65092_cov_10.6922_ID_185-processed-gene-0.87&CDS=1-1461
OG0002335	YLR316C	genemark-NODE_31_length_147544_cov_12.4471_ID_61-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_31_length_147544_cov_12.4471_ID_61-processed-gene-0.58&CDS=1-1197
OG0002336	YLR318W	genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_37_length_135032_cov_14.2843_ID_73-processed-gene-0.6&CDS=1-2814
OG0002337	YLR319C	genemark-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.31&CDS=1-2544
OG0002338	YLR321C	genemark-NODE_49_length_108944_cov_11.5035_ID_97-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_49_length_108944_cov_11.5035_ID_97-processed-gene-0.86&CDS=1-1011
OG0002339	YLR323C	genemark-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.246-mRNA-1_1&gene=genemark-NODE_23_length_186393_cov_11.231_ID_45-processed-gene-0.246&CDS=1-708
OG0002340	YLR325C	snap_masked-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_121_length_46870_cov_12.3074_ID_241-processed-gene-0.51&CDS=1-300
OG0002341	YLR326W	genemark-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.163-mRNA-1_1&gene=genemark-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.163&CDS=1-768
OG0002342	YLR330W	genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.135-mRNA-1_1&gene=genemark-NODE_25_length_182198_cov_11.6102_ID_49-processed-gene-0.135&CDS=1-1380
OG0002343	YLR336C	genemark-NODE_87_length_67939_cov_11.8386_ID_173-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_87_length_67939_cov_11.8386_ID_173-processed-gene-0.91&CDS=1-2316
OG0002344	YLR337C	maker-NODE_155_length_31338_cov_10.7597_ID_309-snap-gene-0.49-mRNA-1_1&gene=maker-NODE_155_length_31338_cov_10.7597_ID_309-snap-gene-0.49&CDS=1-1971
OG0002345	YLR340W	genemark-NODE_117_length_48820_cov_10.8882_ID_233-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_117_length_48820_cov_10.8882_ID_233-processed-gene-0.22&CDS=1-942
OG0002346	YLR342W	maker-NODE_13_length_234993_cov_11.5573_ID_25-augustus-gene-1.221-mRNA-1_1&gene=maker-NODE_13_length_234993_cov_11.5573_ID_25-augustus-gene-1.221&CDS=1-5829
OG0002347	YLR345W	genemark-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.195-mRNA-1_1&gene=genemark-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.195&CDS=1-1662
OG0002348	YLR347C	genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_124_length_45768_cov_11.7547_ID_247-processed-gene-0.29&CDS=1-2601
OG0002349	YLR348C	augustus_masked-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_19_length_212853_cov_11.6979_ID_37-processed-gene-0.2&CDS=1-834
OG0002350	YLR351C	genemark-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-1.193-mRNA-1_1&gene=genemark-NODE_8_length_270071_cov_11.3361_ID_15-processed-gene-1.193&CDS=1-870
OG0002351	YLR352W	genemark-NODE_74_length_78857_cov_11.3176_ID_147-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_74_length_78857_cov_11.3176_ID_147-processed-gene-0.31&CDS=1-1482
OG0002352	YLR354C	genemark-NODE_100_length_59455_cov_11.7576_ID_199-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_100_length_59455_cov_11.7576_ID_199-processed-gene-0.56&CDS=1-972
OG0002353	YLR355C	genemark-NODE_106_length_55275_cov_10.9775_ID_211-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_106_length_55275_cov_10.9775_ID_211-processed-gene-0.63&CDS=1-1206
OG0002354	YLR359W	genemark-NODE_31_length_147544_cov_12.4471_ID_61-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_31_length_147544_cov_12.4471_ID_61-processed-gene-0.57&CDS=1-1446
OG0002355	YLR361C	maker-NODE_10_length_247159_cov_11.3339_ID_19-snap-gene-1.117-mRNA-1_1&gene=maker-NODE_10_length_247159_cov_11.3339_ID_19-snap-gene-1.117&CDS=1-3948
OG0002356	YLR362W	snap_masked-NODE_51_length_106695_cov_22.0781_ID_101-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_51_length_106695_cov_22.0781_ID_101-processed-gene-0.67&CDS=1-2700
OG0002357	YLR368W	maker-NODE_6_length_284188_cov_11.2289_ID_11-augustus-gene-1.28-mRNA-1_1&gene=maker-NODE_6_length_284188_cov_11.2289_ID_11-augustus-gene-1.28&CDS=1-1737
OG0002358	YLR370C	maker-NODE_32_length_147441_cov_12.2899_ID_63-augustus-gene-0.87-mRNA-1_1&gene=maker-NODE_32_length_147441_cov_12.2899_ID_63-augustus-gene-0.87&CDS=1-579
OG0002359	YLR377C	genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.188-mRNA-1_1&gene=genemark-NODE_13_length_234993_cov_11.5573_ID_25-processed-gene-1.188&CDS=1-1062
OG0002360	YLR378C	genemark-NODE_55_length_100684_cov_11.9594_ID_109-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_55_length_100684_cov_11.9594_ID_109-processed-gene-0.47&CDS=1-1425
OG0002361	YLR380W	genemark-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.171-mRNA-1_1&gene=genemark-NODE_29_length_148249_cov_11.5393_ID_57-processed-gene-0.171&CDS=1-1569
OG0002362	YLR382C	maker-NODE_30_length_147641_cov_11.6001_ID_59-augustus-gene-0.116-mRNA-1_1&gene=maker-NODE_30_length_147641_cov_11.6001_ID_59-augustus-gene-0.116&CDS=1-2787
OG0002363	YLR383W	maker-NODE_4_length_289952_cov_11.2436_ID_7-augustus-gene-0.79-mRNA-1_1&gene=maker-NODE_4_length_289952_cov_11.2436_ID_7-augustus-gene-0.79&CDS=1-3390
OG0002364	YLR384C	genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_11_length_244810_cov_11.4858_ID_21-processed-gene-0.107&CDS=1-3924
OG0002365	YLR386W	genemark-NODE_64_length_91347_cov_11.5369_ID_127-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_64_length_91347_cov_11.5369_ID_127-processed-gene-0.128&CDS=1-3024
OG0002366	YLR389C	snap_masked-NODE_38_length_132907_cov_11.3871_ID_75-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_38_length_132907_cov_11.3871_ID_75-processed-gene-0.44&CDS=1-3213
OG0002367	YLR390W-A	maker-NODE_11_length_244810_cov_11.4858_ID_21-snap-gene-1.48-mRNA-1_1&gene=maker-NODE_11_length_244810_cov_11.4858_ID_21-snap-gene-1.48&CDS=1-993
OG0002368	YLR393W	genemark-NODE_39_length_132718_cov_11.6163_ID_77-processed-gene-0.201-mRNA-1_1&gene=genemark-NODE_39_length_132718_cov_11.6163_ID_77-processed-gene-0.201&CDS=1-1029
OG0002369	YLR396C	snap_masked-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.149-mRNA-1_1&gene=snap_masked-NODE_33_length_145268_cov_11.4808_ID_65-processed-gene-0.149&CDS=1-1929
OG0002370	YLR397C	genemark-NODE_44_length_123047_cov_11.5463_ID_87-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_44_length_123047_cov_11.5463_ID_87-processed-gene-0.132&CDS=1-2361
OG0002371	YLR398C	maker-NODE_2_length_326681_cov_11.449_ID_3-augustus-gene-2.100-mRNA-1_1&gene=maker-NODE_2_length_326681_cov_11.449_ID_3-augustus-gene-2.100&CDS=1-3834
OG0002372	YLR399C	genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-1.214-mRNA-1_1&gene=genemark-NODE_4_length_289952_cov_11.2436_ID_7-processed-gene-1.214&CDS=1-1926
OG0002373	YLR401C	genemark-NODE_44_length_123047_cov_11.5463_ID_87-processed-gene-0.171-mRNA-1_1&gene=genemark-NODE_44_length_123047_cov_11.5463_ID_87-processed-gene-0.171&CDS=1-1932
OG0002374	YLR403W	genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_24_length_184737_cov_11.2875_ID_47-processed-gene-0.105&CDS=1-828
OG0002375	YLR405W	snap_masked-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_78_length_76792_cov_11.4931_ID_155-processed-gene-0.94&CDS=1-1098
