	Saccharomyces_cerevisiae	yHMPu5000034758_Lipomyces_japonicus
OG0002767	YOL018C	genemark-flattened_line_35-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.62&CDS=1-1131
OG0002768	YOL021C	genemark-flattened_line_0-processed-gene-3.28-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.28&CDS=1-3063
OG0002769	YOL022C	genemark-flattened_line_7-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-0.107&CDS=1-1242
OG0002770	YOL023W	snap_masked-flattened_line_7-processed-gene-0.172-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.172&CDS=1-1971
OG0002771	YOL026C	genemark-flattened_line_17-processed-gene-1.243-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.243&CDS=1-336
OG0002772	YOL030W	maker-flattened_line_5-augustus-gene-0.49-mRNA-1_1&gene=maker-flattened_line_5-augustus-gene-0.49&CDS=1-1422
OG0002773	YOL031C	augustus_masked-flattened_line_19-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.37&CDS=1-1242
OG0002774	YOL032W	genemark-flattened_line_9-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.23&CDS=1-618
OG0002775	YOL033W	maker-flattened_line_0-augustus-gene-3.245-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.245&CDS=1-1734
OG0002776	YOL038W	genemark-flattened_line_75-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_75-processed-gene-0.128&CDS=1-759
OG0002777	YOL040C	genemark-flattened_line_19-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.55&CDS=1-462
OG0002778	YOL041C	genemark-flattened_line_19-processed-gene-1.54-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.54&CDS=1-1449
OG0002779	YOL048C	maker-flattened_line_23-augustus-gene-1.90-mRNA-1_1&gene=maker-flattened_line_23-augustus-gene-1.90&CDS=1-993
OG0002780	YOL049W	genemark-flattened_line_243-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_243-processed-gene-0.23&CDS=1-1497
OG0002781	YOL052C	genemark-flattened_line_21-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.7&CDS=1-1212
OG0002782	YOL054W	snap_masked-flattened_line_133-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.87&CDS=1-1398
OG0002783	YOL057W	genemark-flattened_line_5-processed-gene-2.242-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-2.242&CDS=1-2082
OG0002784	YOL058W	snap_masked-flattened_line_143-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_143-processed-gene-0.23&CDS=1-1251
OG0002785	YOL060C	augustus_masked-flattened_line_31-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.183&CDS=1-2466
OG0002786	YOL061W	genemark-flattened_line_49-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.128&CDS=1-1236
OG0002787	YOL062C	genemark-flattened_line_33-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-0.48&CDS=1-1305
OG0002788	YOL064C	genemark-flattened_line_129-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_129-processed-gene-0.62&CDS=1-1011
OG0002789	YOL065C	genemark-flattened_line_23-processed-gene-1.140-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.140&CDS=1-1377
OG0002790	YOL069W	genemark-flattened_line_95-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_95-processed-gene-0.157&CDS=1-1425
OG0002791	YOL070C	genemark-flattened_line_31-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.65&CDS=1-2175
OG0002792	YOL071W	genemark-flattened_line_51-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.142&CDS=1-501
OG0002793	YOL075C	genemark-flattened_line_59-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_59-processed-gene-0.49&CDS=1-3957
OG0002794	YOL076W	genemark-flattened_line_241-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_241-processed-gene-0.6&CDS=1-2319
OG0002795	YOL077C	genemark-flattened_line_37-processed-gene-0.182-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.182&CDS=1-930
OG0002796	YOL080C	maker-flattened_line_208-augustus-gene-0.15-mRNA-1_1&gene=maker-flattened_line_208-augustus-gene-0.15&CDS=1-966
OG0002797	YOL086W-A	genemark-flattened_line_51-processed-gene-0.161-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.161&CDS=1-348
OG0002798	YOL087C	genemark-flattened_line_216-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.23&CDS=1-3072
OG0002799	YOL090W	genemark-flattened_line_15-processed-gene-1.196-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.196&CDS=1-2817
OG0002800	YOL093W	maker-flattened_line_57-augustus-gene-0.148-mRNA-1_1&gene=maker-flattened_line_57-augustus-gene-0.148&CDS=1-1044
OG0002801	YOL094C	genemark-flattened_line_202-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_202-processed-gene-0.17&CDS=1-1056
OG0002802	YOL096C	genemark-flattened_line_109-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_109-processed-gene-0.55&CDS=1-915
OG0002803	YOL097C	genemark-flattened_line_93-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_93-processed-gene-0.134&CDS=1-1275
OG0002804	YOL098C	genemark-flattened_line_23-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.126&CDS=1-3090
OG0002805	YOL102C	genemark-flattened_line_49-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.117&CDS=1-762
OG0002806	YOL107W	genemark-flattened_line_309-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_309-processed-gene-0.2&CDS=1-1080
OG0002807	YOL108C	genemark-flattened_line_11-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.129&CDS=1-1440
OG0002808	YOL110W	genemark-flattened_line_63-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.15&CDS=1-546
OG0002809	YOL114C	genemark-flattened_line_7-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-0.132&CDS=1-573
OG0002810	YOL123W	genemark-flattened_line_55-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.8&CDS=1-1413
OG0002811	YOL124C	genemark-flattened_line_29-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.74&CDS=1-1323
OG0002812	YOL125W	genemark-flattened_line_53-processed-gene-0.160-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.160&CDS=1-1464
OG0002813	YOL127W	genemark-flattened_line_7-processed-gene-2.48-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.48&CDS=1-435
OG0002814	YOL129W	genemark-flattened_line_2-processed-gene-1.90-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.90&CDS=1-525
OG0002815	YOL132W	maker-flattened_line_39-snap-gene-0.52-mRNA-1_1&gene=maker-flattened_line_39-snap-gene-0.52&CDS=1-1512
OG0002816	YOL133W	genemark-flattened_line_7-processed-gene-2.13-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.13&CDS=1-348
OG0002817	YOL135C	genemark-flattened_line_17-processed-gene-1.256-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.256&CDS=1-648
OG0002818	YOL139C	genemark-flattened_line_2-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.52&CDS=1-777
OG0002819	YOL140W	maker-flattened_line_51-augustus-gene-0.44-mRNA-1_1&gene=maker-flattened_line_51-augustus-gene-0.44&CDS=1-1335
OG0002820	YOL141W	augustus_masked-flattened_line_423-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_423-processed-gene-0.0&CDS=1-2370
OG0002821	YOL142W	genemark-flattened_line_95-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_95-processed-gene-0.162&CDS=1-828
OG0002822	YOL143C	genemark-flattened_line_125-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.138&CDS=1-612
OG0002823	YOL144W	genemark-flattened_line_49-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.111&CDS=1-1788
OG0002824	YOL145C	genemark-flattened_line_9-processed-gene-1.40-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.40&CDS=1-2946
OG0002825	YOL146W	maker-flattened_line_153-augustus-gene-0.108-mRNA-1_1&gene=maker-flattened_line_153-augustus-gene-0.108&CDS=1-627
OG0002826	YOL147C	genemark-flattened_line_63-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.7&CDS=1-702
OG0002827	YOL148C	genemark-flattened_line_2-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.57&CDS=1-1350
OG0002828	YOL149W	augustus_masked-flattened_line_172-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_172-processed-gene-0.10&CDS=1-1089
OG0002829	YOR001W	genemark-flattened_line_29-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.78&CDS=1-1782
OG0002830	YOR002W	genemark-flattened_line_69-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.126&CDS=1-1686
OG0002831	YOR004W	genemark-flattened_line_214-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_214-processed-gene-0.48&CDS=1-501
OG0002832	YOR005C	genemark-flattened_line_77-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.35&CDS=1-1962
OG0002833	YOR006C	maker-flattened_line_77-snap-gene-0.185-mRNA-1_1&gene=maker-flattened_line_77-snap-gene-0.185&CDS=1-867
OG0002834	YOR007C	genemark-flattened_line_65-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.135&CDS=1-1083
OG0002835	YOR008C	genemark-flattened_line_59-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_59-processed-gene-0.42&CDS=1-1122
OG0002836	YOR014W	genemark-flattened_line_0-processed-gene-3.85-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.85&CDS=1-1848
OG0002837	YOR017W	genemark-flattened_line_220-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_220-processed-gene-0.18&CDS=1-2514
OG0002838	YOR018W	genemark-flattened_line_204-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_204-processed-gene-0.25&CDS=1-1782
OG0002839	YOR020C	genemark-flattened_line_51-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.179&CDS=1-315
OG0002840	YOR021C	genemark-flattened_line_145-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_145-processed-gene-0.91&CDS=1-570
OG0002841	YOR022C	genemark-flattened_line_45-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.184&CDS=1-2730
OG0002842	YOR023C	genemark-flattened_line_63-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.16&CDS=1-1719
OG0002843	YOR025W	genemark-flattened_line_0-processed-gene-2.166-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.166&CDS=1-1098
OG0002844	YOR027W	genemark-flattened_line_5-processed-gene-0.150-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.150&CDS=1-1731
OG0002845	YOR028C	genemark-flattened_line_39-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.184&CDS=1-519
OG0002846	YOR032C	genemark-flattened_line_61-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.128&CDS=1-3117
OG0002847	YOR035C	genemark-flattened_line_129-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_129-processed-gene-0.47&CDS=1-1833
OG0002848	YOR036W	genemark-flattened_line_53-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.115&CDS=1-915
OG0002849	YOR037W	augustus_masked-flattened_line_87-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.10&CDS=1-1554
OG0002850	YOR039W	genemark-flattened_line_147-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_147-processed-gene-0.9&CDS=1-684
OG0002851	YOR042W	genemark-flattened_line_153-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_153-processed-gene-0.35&CDS=1-1602
OG0002852	YOR043W	genemark-flattened_line_131-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_131-processed-gene-0.80&CDS=1-1392
OG0002853	YOR046C	genemark-flattened_line_5-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.162&CDS=1-2217
OG0002854	YOR048C	genemark-flattened_line_109-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_109-processed-gene-0.57&CDS=1-2877
OG0002855	YOR051C	genemark-flattened_line_0-processed-gene-1.50-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.50&CDS=1-1353
OG0002856	YOR052C	maker-flattened_line_35-augustus-gene-0.251-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.251&CDS=1-438
OG0002857	YOR056C	genemark-flattened_line_13-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.74&CDS=1-1542
OG0002858	YOR057W	maker-flattened_line_57-augustus-gene-0.145-mRNA-1_1&gene=maker-flattened_line_57-augustus-gene-0.145&CDS=1-624
OG0002859	YOR058C	maker-flattened_line_153-augustus-gene-0.107-mRNA-1_1&gene=maker-flattened_line_153-augustus-gene-0.107&CDS=1-1542
OG0002860	YOR059C	genemark-flattened_line_49-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.131&CDS=1-1479
OG0002861	YOR061W	maker-flattened_line_69-snap-gene-0.33-mRNA-1_1&gene=maker-flattened_line_69-snap-gene-0.33&CDS=1-2043
OG0002862	YOR063W	genemark-flattened_line_2-processed-gene-2.110-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.110&CDS=1-1164
OG0002863	YOR065W	genemark-flattened_line_19-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.10&CDS=1-939
OG0002864	YOR067C	maker-flattened_line_5-snap-gene-2.179-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-2.179&CDS=1-1560
OG0002865	YOR069W	genemark-flattened_line_135-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_135-processed-gene-0.21&CDS=1-1920
OG0002866	YOR070C	maker-flattened_line_157-augustus-gene-0.30-mRNA-1_1&gene=maker-flattened_line_157-augustus-gene-0.30&CDS=1-1635
OG0002867	YOR074C	genemark-flattened_line_165-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_165-processed-gene-0.64&CDS=1-993
OG0002868	YOR077W	genemark-flattened_line_115-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_115-processed-gene-0.60&CDS=1-738
OG0002869	YOR079C	augustus_masked-flattened_line_236-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_236-processed-gene-0.22&CDS=1-1179
OG0002870	YOR085W	genemark-flattened_line_21-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.83&CDS=1-1023
OG0002871	YOR087W	genemark-flattened_line_97-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_97-processed-gene-0.16&CDS=1-1974
OG0002872	YOR089C	genemark-flattened_line_206-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_206-processed-gene-0.41&CDS=1-687
OG0002873	YOR090C	genemark-flattened_line_29-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.67&CDS=1-1797
OG0002874	YOR091W	augustus_masked-flattened_line_25-processed-gene-1.244-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.244&CDS=1-993
OG0002875	YOR093C	genemark-flattened_line_105-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.131&CDS=1-4734
OG0002876	YOR095C	genemark-flattened_line_19-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.92&CDS=1-759
OG0002877	YOR099W	genemark-flattened_line_17-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.75&CDS=1-1455
OG0002878	YOR100C	genemark-flattened_line_2-processed-gene-2.121-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.121&CDS=1-903
OG0002879	YOR101W	genemark-flattened_line_139-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_139-processed-gene-0.30&CDS=1-702
OG0002880	YOR103C	maker-flattened_line_55-augustus-gene-0.217-mRNA-1_1&gene=maker-flattened_line_55-augustus-gene-0.217&CDS=1-552
OG0002881	YOR104W	genemark-flattened_line_117-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_117-processed-gene-0.18&CDS=1-465
OG0002882	YOR111W	genemark-flattened_line_5-processed-gene-2.238-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-2.238&CDS=1-714
OG0002883	YOR112W	genemark-flattened_line_19-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.91&CDS=1-2268
OG0002884	YOR113W	augustus_masked-flattened_line_129-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_129-processed-gene-0.82&CDS=1-2004
OG0002885	YOR115C	genemark-flattened_line_101-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.78&CDS=1-735
OG0002886	YOR116C	maker-flattened_line_11-augustus-gene-0.18-mRNA-1_1&gene=maker-flattened_line_11-augustus-gene-0.18&CDS=1-4329
OG0002887	YOR117W	snap_masked-flattened_line_182-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_182-processed-gene-0.66&CDS=1-1386
OG0002888	YOR118W	genemark-flattened_line_133-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_133-processed-gene-0.119&CDS=1-2064
OG0002889	YOR119C	genemark-flattened_line_7-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-0.97&CDS=1-1548
OG0002890	YOR120W	genemark-flattened_line_9-processed-gene-1.51-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.51&CDS=1-909
OG0002891	YOR122C	genemark-flattened_line_35-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.38&CDS=1-378
OG0002892	YOR123C	genemark-flattened_line_0-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.77&CDS=1-1329
OG0002893	YOR124C	genemark-flattened_line_7-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-0.94&CDS=1-4158
OG0002894	YOR125C	genemark-flattened_line_15-processed-gene-1.195-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.195&CDS=1-687
OG0002895	YOR128C	genemark-flattened_line_13-processed-gene-1.14-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.14&CDS=1-1683
OG0002896	YOR129C	genemark-flattened_line_315-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_315-processed-gene-0.5&CDS=1-1902
OG0002897	YOR130C	genemark-flattened_line_117-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_117-processed-gene-0.11&CDS=1-1059
OG0002898	YOR131C	genemark-flattened_line_47-processed-gene-0.136-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.136&CDS=1-678
OG0002899	YOR132W	genemark-flattened_line_47-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.98&CDS=1-2256
OG0002900	YOR134W	genemark-flattened_line_53-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.111&CDS=1-936
OG0002901	YOR136W	genemark-flattened_line_13-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.26&CDS=1-1131
OG0002902	YOR138C	maker-flattened_line_45-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_45-snap-gene-0.1&CDS=1-2292
OG0002903	YOR140W	genemark-flattened_line_97-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_97-processed-gene-0.12&CDS=1-2001
OG0002904	YOR141C	genemark-flattened_line_210-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_210-processed-gene-0.24&CDS=1-2151
OG0002905	YOR142W	augustus_masked-flattened_line_33-processed-gene-0.301-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.301&CDS=1-1071
OG0002906	YOR143C	genemark-flattened_line_149-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_149-processed-gene-0.71&CDS=1-795
OG0002907	YOR144C	maker-flattened_line_21-snap-gene-1.157-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-1.157&CDS=1-3210
OG0002908	YOR145C	snap_masked-flattened_line_27-processed-gene-1.17-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.17&CDS=1-795
OG0002909	YOR149C	genemark-flattened_line_75-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_75-processed-gene-0.133&CDS=1-1611
OG0002910	YOR150W	genemark-flattened_line_65-processed-gene-0.158-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.158&CDS=1-474
OG0002911	YOR151C	maker-flattened_line_23-augustus-gene-1.94-mRNA-1_1&gene=maker-flattened_line_23-augustus-gene-1.94&CDS=1-3669
OG0002912	YOR154W	maker-flattened_line_27-snap-gene-0.155-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-0.155&CDS=1-2280
OG0002913	YOR155C	maker-flattened_line_299-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_299-augustus-gene-0.3&CDS=1-1302
OG0002914	YOR159C	genemark-flattened_line_57-processed-gene-0.197-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.197&CDS=1-261
OG0002915	YOR160W	genemark-flattened_line_57-processed-gene-0.160-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.160&CDS=1-2928
OG0002916	YOR161C	genemark-flattened_line_65-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.146&CDS=1-1563
OG0002917	YOR163W	genemark-flattened_line_141-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.104&CDS=1-513
OG0002918	YOR164C	maker-flattened_line_17-snap-gene-1.184-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-1.184&CDS=1-957
OG0002919	YOR165W	genemark-flattened_line_19-processed-gene-1.68-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.68&CDS=1-2400
OG0002920	YOR166C	snap_masked-flattened_line_9-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.54&CDS=1-813
OG0002921	YOR168W	genemark-flattened_line_19-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.99&CDS=1-2361
OG0002922	YOR174W	genemark-flattened_line_13-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.10&CDS=1-1404
OG0002923	YOR175C	genemark-flattened_line_41-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_41-processed-gene-0.138&CDS=1-1755
OG0002924	YOR176W	augustus_masked-flattened_line_349-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_349-processed-gene-0.10&CDS=1-1038
OG0002925	YOR181W	genemark-flattened_line_218-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_218-processed-gene-0.23&CDS=1-1983
OG0002926	YOR184W	genemark-flattened_line_133-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_133-processed-gene-0.114&CDS=1-1164
OG0002927	YOR187W	maker-flattened_line_13-snap-gene-0.159-mRNA-1_1&gene=maker-flattened_line_13-snap-gene-0.159&CDS=1-1347
OG0002928	YOR188W	snap_masked-flattened_line_57-processed-gene-0.293-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.293&CDS=1-2613
OG0002929	YOR194C	genemark-flattened_line_81-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.46&CDS=1-1014
OG0002930	YOR196C	genemark-flattened_line_5-processed-gene-2.222-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-2.222&CDS=1-1239
OG0002931	YOR197W	genemark-flattened_line_7-processed-gene-1.118-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.118&CDS=1-1470
OG0002932	YOR202W	genemark-flattened_line_0-processed-gene-3.79-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.79&CDS=1-711
OG0002933	YOR205C	genemark-flattened_line_257-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_257-processed-gene-0.9&CDS=1-1725
OG0002934	YOR206W	augustus_masked-flattened_line_81-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-flattened_line_81-processed-gene-0.168&CDS=1-4386
OG0002935	YOR207C	genemark-flattened_line_27-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.57&CDS=1-3414
OG0002936	YOR209C	maker-flattened_line_2-snap-gene-1.103-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.103&CDS=1-1353
OG0002937	YOR210W	genemark-flattened_line_81-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.43&CDS=1-213
OG0002938	YOR211C	genemark-flattened_line_45-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.157&CDS=1-2688
OG0002939	YOR212W	genemark-flattened_line_27-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.44&CDS=1-1155
OG0002940	YOR216C	genemark-flattened_line_151-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_151-processed-gene-0.36&CDS=1-1464
OG0002941	YOR217W	genemark-flattened_line_141-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.89&CDS=1-2871
OG0002942	YOR222W	genemark-flattened_line_7-processed-gene-2.36-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.36&CDS=1-900
OG0002943	YOR223W	genemark-flattened_line_178-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_178-processed-gene-0.38&CDS=1-870
OG0002944	YOR224C	genemark-flattened_line_35-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.69&CDS=1-426
OG0002945	YOR226C	augustus_masked-flattened_line_121-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.21&CDS=1-543
OG0002946	YOR232W	genemark-flattened_line_141-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.96&CDS=1-702
OG0002947	YOR236W	genemark-flattened_line_245-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_245-processed-gene-0.11&CDS=1-684
