	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
OG0003346	YMR302C	augustus_masked-NW_001834649.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.62&CDS=1-2490
OG0003347	YMR304W	augustus_masked-NW_001834649.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.48&CDS=1-3570
OG0003348	YMR306W	augustus_masked-NW_001834687.1-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.43&CDS=1-5355
OG0003349	YMR307W	augustus_masked-NW_001834687.1-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.42&CDS=1-1674
OG0003350	YMR308C	augustus_masked-NW_001834649.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.64&CDS=1-3276
OG0003351	YMR309C	augustus_masked-NW_001834649.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.65&CDS=1-2427
OG0003352	YMR310C	augustus_masked-NW_001834667.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001834667.1-processed-gene-0.68&CDS=1-1131
OG0003353	YMR311C	augustus_masked-NW_001834649.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NW_001834649.1-processed-gene-0.66&CDS=1-618
OG0003354	YMR312W	augustus_masked-NW_001834667.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NW_001834667.1-processed-gene-0.96&CDS=1-813
OG0003355	YMR313C	snap_masked-NW_001834649.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NW_001834649.1-processed-gene-0.34&CDS=1-1749
OG0003356	YMR314W	augustus_masked-NW_001834667.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NW_001834667.1-processed-gene-0.95&CDS=1-699
OG0003357	YMR315W	augustus_masked-NW_001834642.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.53&CDS=1-1050
OG0003358	YNL001W	augustus_masked-NW_001834691.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.76&CDS=1-1152
OG0003359	YNL002C	augustus_masked-NW_001834608.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.47&CDS=1-936
OG0003360	YNL003C	augustus_masked-NW_001834685.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.67&CDS=1-858
OG0003361	YNL004W	genemark-NW_001834618.1-processed-gene-0.19-mRNA-1_1&gene=genemark-NW_001834618.1-processed-gene-0.19&CDS=1-1278
OG0003362	YNL005C	augustus_masked-NW_001834618.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NW_001834618.1-processed-gene-0.7&CDS=1-1113
OG0003363	YNL006W	augustus_masked-NW_001834618.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834618.1-processed-gene-0.8&CDS=1-909
OG0003364	YNL007C	augustus_masked-NW_001834608.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834608.1-processed-gene-0.38&CDS=1-1071
OG0003365	YNL010W	augustus_masked-NW_001834618.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NW_001834618.1-processed-gene-0.10&CDS=1-723
OG0003366	YNL011C	augustus_masked-NW_001834685.1-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.69&CDS=1-1299
OG0003367	YNL012W	maker-NW_001834618.1-augustus-gene-0.51-mRNA-1_1&gene=maker-NW_001834618.1-augustus-gene-0.51&CDS=1-1881
OG0003368	YNL015W	augustus_masked-NW_001834670.1-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.135&CDS=1-255
OG0003369	YNL016W	augustus_masked-NW_001834675.1-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.207&CDS=1-1326
OG0003370	YNL021W	augustus_masked-NW_001834681.1-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.4&CDS=1-1977
OG0003371	YNL022C	augustus_masked-NW_001834654.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.64&CDS=1-1488
OG0003372	YNL023C	augustus_masked-NW_001834681.1-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.9&CDS=1-2904
OG0003373	YNL024C-A	snap_masked-NW_001834654.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NW_001834654.1-processed-gene-0.118&CDS=1-216
OG0003374	YNL025C	genemark-NW_001834654.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NW_001834654.1-processed-gene-0.18&CDS=1-984
OG0003375	YNL026W	snap_masked-NW_001834654.1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NW_001834654.1-processed-gene-0.125&CDS=1-1434
OG0003376	YNL027W	augustus_masked-NW_001834654.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.69&CDS=1-1842
OG0003377	YNL032W	augustus_masked-NW_001834654.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.66&CDS=1-840
OG0003378	YNL035C	augustus_masked-NW_001834654.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.89&CDS=1-1164
OG0003379	YNL036W	augustus_masked-NW_001834654.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.85&CDS=1-657
OG0003380	YNL037C	augustus_masked-NW_001834681.1-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.27&CDS=1-1077
OG0003381	YNL038W	snap_masked-NW_001834654.1-processed-gene-0.144-mRNA-1_1&gene=snap_masked-NW_001834654.1-processed-gene-0.144&CDS=1-483
OG0003382	YNL039W	augustus_masked-NW_001834654.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.88&CDS=1-1716
OG0003383	YNL041C	genemark-NW_001834681.1-processed-gene-1.55-mRNA-1_1&gene=genemark-NW_001834681.1-processed-gene-1.55&CDS=1-2475
OG0003384	YNL042W	snap_masked-NW_001834654.1-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NW_001834654.1-processed-gene-0.114&CDS=1-930
OG0003385	YNL044W	augustus_masked-NW_001834681.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.30&CDS=1-528
OG0003386	YNL045W	augustus_masked-NW_001834681.1-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.31&CDS=1-1890
OG0003387	YNL048W	augustus_masked-NW_001834681.1-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.32&CDS=1-1587
OG0003388	YNL050C	augustus_masked-NW_001834654.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.80&CDS=1-756
OG0003389	YNL051W	augustus_masked-NW_001834654.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.59&CDS=1-1233
OG0003390	YNL054W	snap_masked-NW_001834681.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NW_001834681.1-processed-gene-0.14&CDS=1-3105
OG0003391	YNL055C	augustus_masked-NW_001834654.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.79&CDS=1-846
OG0003392	YNL056W	augustus_masked-NW_001834654.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.58&CDS=1-552
OG0003393	YNL058C	augustus_masked-NW_001834654.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.78&CDS=1-1029
OG0003394	YNL059C	augustus_masked-NW_001834654.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.77&CDS=1-2247
OG0003395	YNL061W	augustus_masked-NW_001834654.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.57&CDS=1-1899
OG0003396	YNL062C	augustus_masked-NW_001834654.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.76&CDS=1-1383
OG0003397	YNL063W	augustus_masked-NW_001834654.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.56&CDS=1-972
OG0003398	YNL064C	augustus_masked-NW_001834654.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.75&CDS=1-1224
OG0003399	YNL065W	augustus_masked-NW_001834681.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-0.37&CDS=1-1719
OG0003400	YNL071W	augustus_masked-NW_001834681.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-0.28&CDS=1-1452
OG0003401	YNL073W	augustus_masked-NW_001834654.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.51&CDS=1-2913
OG0003402	YNL074C	snap_masked-NW_001834693.1-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NW_001834693.1-processed-gene-2.59&CDS=1-720
OG0003403	YNL075W	augustus_masked-NW_001834681.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-0.27&CDS=1-864
OG0003404	YNL076W	snap_masked-NW_001834681.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NW_001834681.1-processed-gene-0.1&CDS=1-1872
OG0003405	YNL077W	snap_masked-NW_001834693.1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NW_001834693.1-processed-gene-2.33&CDS=1-1509
OG0003406	YNL080C	augustus_masked-NW_001834658.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.60&CDS=1-1350
OG0003407	YNL081C	augustus_masked-NW_001834693.1-processed-gene-2.157-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.157&CDS=1-363
OG0003408	YNL082W	augustus_masked-NW_001834658.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.85&CDS=1-2871
OG0003409	YNL083W	augustus_masked-NW_001834658.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.86&CDS=1-1665
OG0003410	YNL084C	augustus_masked-NW_001834693.1-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.156&CDS=1-1104
OG0003411	YNL085W	maker-NW_001834693.1-snap-gene-2.5-mRNA-1_1&gene=maker-NW_001834693.1-snap-gene-2.5&CDS=1-2295
OG0003412	YNL086W	augustus_masked-NW_001834658.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.89&CDS=1-309
OG0003413	YNL088W	augustus_masked-NW_001834693.1-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.132&CDS=1-4212
OG0003414	YNL094W	augustus_masked-NW_001834658.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NW_001834658.1-processed-gene-0.90&CDS=1-1815
OG0003415	YNL097C	genemark-NW_001834601.1-processed-gene-0.15-mRNA-1_1&gene=genemark-NW_001834601.1-processed-gene-0.15&CDS=1-909
OG0003416	YNL099C	augustus_masked-NW_001834643.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.1&CDS=1-852
OG0003417	YNL100W	augustus_masked-NW_001834643.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.23&CDS=1-780
OG0003418	YNL101W	augustus_masked-NW_001834601.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NW_001834601.1-processed-gene-0.22&CDS=1-2301
OG0003419	YNL102W	augustus_masked-NW_001834643.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.25&CDS=1-4335
OG0003420	YNL103W	augustus_masked-NW_001834643.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.26&CDS=1-1773
OG0003421	YNL107W	augustus_masked-NW_001834643.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.27&CDS=1-636
OG0003422	YNL108C	augustus_masked-NW_001834643.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.5&CDS=1-1308
OG0003423	YNL110C	augustus_masked-NW_001834601.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NW_001834601.1-processed-gene-0.28&CDS=1-672
OG0003424	YNL111C	augustus_masked-NW_001834643.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.7&CDS=1-369
OG0003425	YNL112W	augustus_masked-NW_001834449.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834449.1-processed-gene-0.1&CDS=1-1275
OG0003426	YNL113W	augustus_masked-NW_001834449.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834449.1-processed-gene-0.2&CDS=1-384
OG0003427	YNL115C	augustus_masked-NW_001834643.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.10&CDS=1-1893
OG0003428	YNL118C	augustus_masked-NW_001834685.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.86&CDS=1-2505
OG0003429	YNL119W	augustus_masked-NW_001834685.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.73&CDS=1-1317
OG0003430	YNL121C	augustus_masked-NW_001834685.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.85&CDS=1-1791
OG0003431	YNL122C	snap_masked-NW_001834643.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NW_001834643.1-processed-gene-0.52&CDS=1-255
OG0003432	YNL123W	augustus_masked-NW_001834685.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.72&CDS=1-2970
OG0003433	YNL124W	augustus_masked-NW_001834685.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.70&CDS=1-1515
OG0003434	YNL125C	augustus_masked-NW_001834685.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.82&CDS=1-1974
OG0003435	YNL126W	augustus_masked-NW_001834685.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.69&CDS=1-2511
OG0003436	YNL127W	augustus_masked-NW_001834685.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.68&CDS=1-2925
OG0003437	YNL128W	augustus_masked-NW_001834643.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.30&CDS=1-1323
OG0003438	YNL129W	augustus_masked-NW_001834685.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.67&CDS=1-717
OG0003439	YNL130C	augustus_masked-NW_001834685.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.80&CDS=1-1170
OG0003440	YNL131W	augustus_masked-NW_001834643.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.31&CDS=1-360
OG0003441	YNL132W	augustus_masked-NW_001834685.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.66&CDS=1-3165
OG0003442	YNL133C	augustus_masked-NW_001834685.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.78&CDS=1-522
OG0003443	YNL135C	augustus_masked-NW_001834643.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.14&CDS=1-342
OG0003444	YNL136W	augustus_masked-NW_001834643.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.33&CDS=1-1920
OG0003445	YNL137C	augustus_masked-NW_001834643.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.15&CDS=1-1446
OG0003446	YNL138W	augustus_masked-NW_001834643.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.34&CDS=1-1590
OG0003447	YNL138W-A	augustus_masked-NW_001834643.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.35&CDS=1-258
OG0003448	YNL139C	augustus_masked-NW_001834685.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.77&CDS=1-4905
OG0003449	YNL141W	snap_masked-NW_001834664.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NW_001834664.1-processed-gene-0.9&CDS=1-1074
OG0003450	YNL142W	augustus_masked-NW_001834681.1-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.15&CDS=1-1512
OG0003451	YNL147W	augustus_masked-NW_001834685.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.76&CDS=1-411
OG0003452	YNL148C	augustus_masked-NW_001834685.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.63&CDS=1-780
OG0003453	YNL149C	augustus_masked-NW_001834643.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.36&CDS=1-387
OG0003454	YNL151C	augustus_masked-NW_001834685.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-0.64&CDS=1-720
OG0003455	YNL152W	augustus_masked-NW_001834643.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.17&CDS=1-1413
OG0003456	YNL153C	augustus_masked-NW_001834681.1-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.40&CDS=1-387
OG0003457	YNL155W	augustus_masked-NW_001834612.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.56&CDS=1-789
OG0003458	YNL156C	augustus_masked-NW_001834681.1-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.18&CDS=1-921
OG0003459	YNL158W	augustus_masked-NW_001834612.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.55&CDS=1-576
OG0003460	YNL159C	augustus_masked-NW_001834681.1-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.20&CDS=1-828
OG0003461	YNL161W	genemark-NW_001834646.1-processed-gene-0.58-mRNA-1_1&gene=genemark-NW_001834646.1-processed-gene-0.58&CDS=1-2133
OG0003462	YNL162W-A	augustus_masked-NW_001834646.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.17&CDS=1-252
OG0003463	YNL163C	augustus_masked-NW_001834646.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.35&CDS=1-3372
OG0003464	YNL164C	augustus_masked-NW_001834646.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.34&CDS=1-1023
OG0003465	YNL165W	augustus_masked-NW_001834646.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.16&CDS=1-1167
OG0003466	YNL166C	snap_masked-NW_001834646.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NW_001834646.1-processed-gene-0.110&CDS=1-1620
OG0003467	YNL168C	augustus_masked-NW_001834646.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.30&CDS=1-783
OG0003468	YNL169C	augustus_masked-NW_001834646.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.29&CDS=1-1506
OG0003469	YNL172W	augustus_masked-NW_001834646.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834646.1-processed-gene-0.14&CDS=1-5106
OG0003470	YNL175C	snap_masked-NW_001834659.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NW_001834659.1-processed-gene-0.3&CDS=1-1152
OG0003471	YNL177C	genemark-NW_001834633.1-processed-gene-0.51-mRNA-1_1&gene=genemark-NW_001834633.1-processed-gene-0.51&CDS=1-894
OG0003472	YNL178W	augustus_masked-NW_001834633.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834633.1-processed-gene-0.11&CDS=1-702
OG0003473	YNL180C	augustus_masked-NW_001834659.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834659.1-processed-gene-0.57&CDS=1-861
OG0003474	YNL181W	augustus_masked-NW_001834634.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834634.1-processed-gene-0.44&CDS=1-1311
OG0003475	YNL182C	augustus_masked-NW_001834634.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834634.1-processed-gene-0.57&CDS=1-1563
OG0003476	YNL183C	augustus_masked-NW_001834634.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NW_001834634.1-processed-gene-0.56&CDS=1-2448
OG0003477	YNL185C	augustus_masked-NW_001834634.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NW_001834634.1-processed-gene-0.55&CDS=1-447
OG0003478	YNL186W	augustus_masked-NW_001834634.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NW_001834634.1-processed-gene-0.43&CDS=1-2172
OG0003479	YNL187W	genemark-NW_001834659.1-processed-gene-0.123-mRNA-1_1&gene=genemark-NW_001834659.1-processed-gene-0.123&CDS=1-1278
OG0003480	YNL188W	augustus_masked-NW_001834677.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.99&CDS=1-996
OG0003481	YNL189W	genemark-NW_001834659.1-processed-gene-0.124-mRNA-1_1&gene=genemark-NW_001834659.1-processed-gene-0.124&CDS=1-1635
OG0003482	YNL191W	genemark-NW_001834659.1-processed-gene-0.126-mRNA-1_1&gene=genemark-NW_001834659.1-processed-gene-0.126&CDS=1-1071
OG0003483	YNL199C	maker-NW_001834584.1-snap-gene-0.12-mRNA-1_1&gene=maker-NW_001834584.1-snap-gene-0.12&CDS=1-1407
OG0003484	YNL200C	augustus_masked-NW_001834584.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834584.1-processed-gene-0.14&CDS=1-720
OG0003485	YNL201C	augustus_masked-NW_001834584.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834584.1-processed-gene-0.15&CDS=1-2526
OG0003486	YNL202W	augustus_masked-NW_001834677.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.103&CDS=1-882
OG0003487	YNL206C	augustus_masked-NW_001834584.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NW_001834584.1-processed-gene-0.17&CDS=1-1377
OG0003488	YNL207W	augustus_masked-NW_001834584.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NW_001834584.1-processed-gene-0.20&CDS=1-1275
OG0003489	YNL210W	snap_masked-NW_001834642.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NW_001834642.1-processed-gene-0.35&CDS=1-825
OG0003490	YNL211C	augustus_masked-NW_001834642.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.55&CDS=1-258
OG0003491	YNL212W	augustus_masked-NW_001834677.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.106&CDS=1-1932
OG0003492	YNL213C	augustus_masked-NW_001834677.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.78&CDS=1-627
OG0003493	YNL214W	snap_masked-NW_001834677.1-processed-gene-0.176-mRNA-1_1&gene=snap_masked-NW_001834677.1-processed-gene-0.176&CDS=1-582
OG0003494	YNL215W	genemark-NW_001834677.1-processed-gene-0.51-mRNA-1_1&gene=genemark-NW_001834677.1-processed-gene-0.51&CDS=1-903
OG0003495	YNL216W	augustus_masked-NW_001834677.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.108&CDS=1-2232
OG0003496	YNL218W	augustus_masked-NW_001834642.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.78&CDS=1-1710
OG0003497	YNL219C	genemark-NW_001834642.1-processed-gene-0.94-mRNA-1_1&gene=genemark-NW_001834642.1-processed-gene-0.94&CDS=1-1695
OG0003498	YNL220W	augustus_masked-NW_001834677.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.110&CDS=1-1296
OG0003499	YNL221C	augustus_masked-NW_001834677.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.80&CDS=1-2550
OG0003500	YNL222W	augustus_masked-NW_001834677.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.112&CDS=1-549
OG0003501	YNL223W	augustus_masked-NW_001834611.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834611.1-processed-gene-0.38&CDS=1-1233
OG0003502	YNL224C	augustus_masked-NW_001834611.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NW_001834611.1-processed-gene-0.32&CDS=1-2301
OG0003503	YNL225C	snap_masked-NW_001834652.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NW_001834652.1-processed-gene-0.72&CDS=1-2871
OG0003504	YNL227C	augustus_masked-NW_001834652.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NW_001834652.1-processed-gene-0.10&CDS=1-1866
OG0003505	YNL229C	augustus_masked-NW_001834652.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834652.1-processed-gene-0.11&CDS=1-1194
OG0003506	YNL230C	snap_masked-NW_001834652.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NW_001834652.1-processed-gene-0.75&CDS=1-1197
OG0003507	YNL231C	augustus_masked-NW_001834611.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NW_001834611.1-processed-gene-0.33&CDS=1-1044
OG0003508	YNL232W	augustus_masked-NW_001834611.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NW_001834611.1-processed-gene-0.39&CDS=1-861
OG0003509	YNL233W	augustus_masked-NW_001834611.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NW_001834611.1-processed-gene-0.40&CDS=1-2604
OG0003510	YNL234W	augustus_masked-NW_001834652.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834652.1-processed-gene-0.24&CDS=1-1182
OG0003511	YNL236W	augustus_masked-NW_001834611.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NW_001834611.1-processed-gene-0.41&CDS=1-2901
