	Saccharomyces_cerevisiae	yHMPu5000034876_Tetrapisispora_iriomotensis
OG0002896	YLR272C	augustus_masked-flattened_line_5-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.30&CDS=1-3474
OG0002897	YLR274W	augustus_masked-flattened_line_29-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.25&CDS=1-2286
OG0002898	YLR275W	genemark-flattened_line_29-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.105&CDS=1-330
OG0002899	YLR277C	maker-flattened_line_29-augustus-gene-1.14-mRNA-1_1&gene=maker-flattened_line_29-augustus-gene-1.14&CDS=1-4212
OG0002900	YLR278C	augustus_masked-flattened_line_5-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.32&CDS=1-3750
OG0002901	YLR283W	augustus_masked-flattened_line_5-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.11&CDS=1-1104
OG0002902	YLR285W	augustus_masked-flattened_line_29-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.26&CDS=1-813
OG0002903	YLR286C	augustus_masked-flattened_line_29-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.67&CDS=1-1584
OG0002904	YLR287C	augustus_masked-flattened_line_5-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.37&CDS=1-1131
OG0002905	YLR288C	augustus_masked-flattened_line_5-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.38&CDS=1-1362
OG0002906	YLR289W	snap_masked-flattened_line_29-processed-gene-1.192-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.192&CDS=1-2034
OG0002907	YLR290C	augustus_masked-flattened_line_5-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.40&CDS=1-825
OG0002908	YLR291C	augustus_masked-flattened_line_5-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.41&CDS=1-1200
OG0002909	YLR292C	augustus_masked-flattened_line_5-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.42&CDS=1-597
OG0002910	YLR299W	augustus_masked-flattened_line_29-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-1.29&CDS=1-1914
OG0002911	YLR300W	augustus_masked-flattened_line_5-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.16&CDS=1-1317
OG0002912	YLR301W	augustus_masked-flattened_line_5-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.17&CDS=1-747
OG0002913	YLR303W	augustus_masked-flattened_line_45-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-1.87&CDS=1-1323
OG0002914	YLR304C	augustus_masked-flattened_line_33-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.7&CDS=1-2352
OG0002915	YLR305C	augustus_masked-flattened_line_45-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-1.103&CDS=1-5763
OG0002916	YLR306W	augustus_masked-flattened_line_45-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-1.88&CDS=1-573
OG0002917	YLR308W	augustus_masked-flattened_line_33-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.35&CDS=1-972
OG0002918	YLR309C	augustus_masked-flattened_line_33-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.6&CDS=1-2730
OG0002919	YLR312W-A	augustus_masked-flattened_line_33-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.2&CDS=1-723
OG0002920	YLR314C	augustus_masked-flattened_line_33-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.13&CDS=1-1548
OG0002921	YLR315W	snap_masked-flattened_line_37-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.30&CDS=1-501
OG0002922	YLR316C	snap_masked-flattened_line_45-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.119&CDS=1-1074
OG0002923	YLR318W	augustus_masked-flattened_line_37-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.114&CDS=1-2547
OG0002924	YLR319C	augustus_masked-flattened_line_37-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.96&CDS=1-2298
OG0002925	YLR320W	augustus_masked-flattened_line_45-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.31&CDS=1-4653
OG0002926	YLR321C	augustus_masked-flattened_line_37-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.116&CDS=1-1578
OG0002927	YLR323C	augustus_masked-flattened_line_45-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.10&CDS=1-738
OG0002928	YLR324W	augustus_masked-flattened_line_45-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.30&CDS=1-1704
OG0002929	YLR326W	augustus_masked-flattened_line_45-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.29&CDS=1-876
OG0002930	YLR327C	augustus_masked-flattened_line_37-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.92&CDS=1-261
OG0002931	YLR329W	augustus_masked-flattened_line_45-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.9&CDS=1-783
OG0002932	YLR330W	snap_masked-flattened_line_45-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.104&CDS=1-1497
OG0002933	YLR335W	augustus_masked-flattened_line_39-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.187&CDS=1-2076
OG0002934	YLR336C	augustus_masked-flattened_line_39-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.155&CDS=1-2988
OG0002935	YLR338W	snap_masked-flattened_line_11-processed-gene-3.149-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.149&CDS=1-384
OG0002936	YLR340W	augustus_masked-flattened_line_39-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.185&CDS=1-939
OG0002937	YLR342W	augustus_masked-flattened_line_11-processed-gene-3.230-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.230&CDS=1-5643
OG0002938	YLR343W	augustus_masked-flattened_line_39-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.182&CDS=1-1731
OG0002939	YLR345W	augustus_masked-flattened_line_11-processed-gene-3.228-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.228&CDS=1-1560
OG0002940	YLR347C	augustus_masked-flattened_line_11-processed-gene-3.185-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.185&CDS=1-2865
OG0002941	YLR348C	snap_masked-flattened_line_3-processed-gene-4.147-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.147&CDS=1-948
OG0002942	YLR351C	augustus_masked-flattened_line_11-processed-gene-3.184-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.184&CDS=1-858
OG0002943	YLR352W	augustus_masked-flattened_line_11-processed-gene-3.225-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.225&CDS=1-2466
OG0002944	YLR354C	augustus_masked-flattened_line_11-processed-gene-3.183-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.183&CDS=1-996
OG0002945	YLR355C	augustus_masked-flattened_line_11-processed-gene-3.181-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.181&CDS=1-1206
OG0002946	YLR356W	augustus_masked-flattened_line_11-processed-gene-3.223-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.223&CDS=1-633
OG0002947	YLR357W	augustus_masked-flattened_line_31-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.24&CDS=1-2805
OG0002948	YLR359W	augustus_masked-flattened_line_31-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.25&CDS=1-1446
OG0002949	YLR361C	augustus_masked-flattened_line_39-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.153&CDS=1-1689
OG0002950	YLR362W	maker-flattened_line_31-augustus-gene-1.1-mRNA-1_1&gene=maker-flattened_line_31-augustus-gene-1.1&CDS=1-4341
OG0002951	YLR364W	augustus_masked-flattened_line_31-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.28&CDS=1-522
OG0002952	YLR369W	snap_masked-flattened_line_39-processed-gene-1.49-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.49&CDS=1-1959
OG0002953	YLR370C	augustus_masked-flattened_line_39-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.148&CDS=1-528
OG0002954	YLR371W	augustus_masked-flattened_line_39-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.175&CDS=1-4023
OG0002955	YLR372W	augustus_masked-flattened_line_39-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.174&CDS=1-1107
OG0002956	YLR375W	augustus_masked-flattened_line_31-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.29&CDS=1-999
OG0002957	YLR376C	augustus_masked-flattened_line_31-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.64&CDS=1-771
OG0002958	YLR377C	augustus_masked-flattened_line_31-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.65&CDS=1-1026
OG0002959	YLR378C	augustus_masked-flattened_line_39-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.170&CDS=1-1437
OG0002960	YLR380W	augustus_masked-flattened_line_39-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.168&CDS=1-1227
OG0002961	YLR381W	augustus_masked-flattened_line_31-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.33&CDS=1-2193
OG0002962	YLR382C	augustus_masked-flattened_line_39-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.145&CDS=1-2718
OG0002963	YLR383W	augustus_masked-flattened_line_31-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.34&CDS=1-3357
OG0002964	YLR384C	maker-flattened_line_31-snap-gene-1.86-mRNA-1_1&gene=maker-flattened_line_31-snap-gene-1.86&CDS=1-6414
OG0002965	YLR385C	augustus_masked-flattened_line_39-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.144&CDS=1-387
OG0002966	YLR386W	augustus_masked-flattened_line_39-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.167&CDS=1-2823
OG0002967	YLR387C	augustus_masked-flattened_line_39-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.143&CDS=1-1269
OG0002968	YLR389C	augustus_masked-flattened_line_39-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.142&CDS=1-2913
OG0002969	YLR390W	augustus_masked-flattened_line_39-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.166&CDS=1-282
OG0002970	YLR390W-A	augustus_masked-flattened_line_39-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.165&CDS=1-585
OG0002971	YLR392C	augustus_masked-flattened_line_39-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.141&CDS=1-1665
OG0002972	YLR393W	augustus_masked-flattened_line_39-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.164&CDS=1-843
OG0002973	YLR395C	snap_masked-flattened_line_39-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.9&CDS=1-216
OG0002974	YLR397C	maker-flattened_line_31-augustus-gene-1.7-mRNA-1_1&gene=maker-flattened_line_31-augustus-gene-1.7&CDS=1-4368
OG0002975	YLR398C	snap_masked-flattened_line_39-processed-gene-1.8-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.8&CDS=1-3777
OG0002976	YLR399C	augustus_masked-flattened_line_39-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.138&CDS=1-2235
OG0002977	YLR401C	augustus_masked-flattened_line_31-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.72&CDS=1-2007
OG0002978	YLR403W	snap_masked-flattened_line_31-processed-gene-1.189-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.189&CDS=1-1923
OG0002979	YLR404W	snap_masked-flattened_line_31-processed-gene-1.190-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.190&CDS=1-666
OG0002980	YLR405W	augustus_masked-flattened_line_39-processed-gene-1.160-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.160&CDS=1-1065
OG0002981	YLR407W	augustus_masked-flattened_line_31-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.39&CDS=1-705
OG0002982	YLR408C	genemark-flattened_line_39-processed-gene-1.72-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-1.72&CDS=1-366
OG0002983	YLR409C	augustus_masked-flattened_line_39-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.136&CDS=1-2805
OG0002984	YLR410W	augustus_masked-flattened_line_39-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.135&CDS=1-3417
OG0002985	YLR412W	augustus_masked-flattened_line_39-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.134&CDS=1-783
OG0002986	YLR413W	augustus_masked-flattened_line_39-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.45&CDS=1-2070
OG0002987	YLR414C	augustus_masked-flattened_line_39-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.26&CDS=1-798
OG0002988	YLR417W	augustus_masked-flattened_line_39-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.24&CDS=1-1617
OG0002989	YLR418C	snap_masked-flattened_line_39-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.127&CDS=1-1197
OG0002990	YLR419W	augustus_masked-flattened_line_39-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.25&CDS=1-4332
OG0002991	YLR420W	augustus_masked-flattened_line_31-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.41&CDS=1-1080
OG0002992	YLR421C	augustus_masked-flattened_line_39-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.20&CDS=1-489
OG0002993	YLR422W	augustus_masked-flattened_line_39-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.43&CDS=1-5559
OG0002994	YLR423C	augustus_masked-flattened_line_39-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.19&CDS=1-1251
OG0002995	YLR424W	augustus_masked-flattened_line_39-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.40&CDS=1-1764
OG0002996	YLR425W	augustus_masked-flattened_line_31-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.43&CDS=1-3825
OG0002997	YLR426W	augustus_masked-flattened_line_39-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.37&CDS=1-1047
OG0002998	YLR427W	augustus_masked-flattened_line_31-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.44&CDS=1-2130
OG0002999	YLR429W	augustus_masked-flattened_line_31-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.45&CDS=1-1845
OG0003000	YLR430W	augustus_masked-flattened_line_39-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.36&CDS=1-6267
OG0003001	YLR431C	augustus_masked-flattened_line_39-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.16&CDS=1-1452
OG0003002	YLR433C	augustus_masked-flattened_line_31-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.76&CDS=1-1716
OG0003003	YLR435W	augustus_masked-flattened_line_31-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.47&CDS=1-636
OG0003004	YLR436C	augustus_masked-flattened_line_31-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.77&CDS=1-4059
OG0003005	YLR438C-A	augustus_masked-flattened_line_31-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.78&CDS=1-255
OG0003006	YLR438W	snap_masked-flattened_line_39-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.116&CDS=1-1302
OG0003007	YLR439W	augustus_masked-flattened_line_31-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.49&CDS=1-954
OG0003008	YLR440C	augustus_masked-flattened_line_39-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.14&CDS=1-2088
OG0003009	YLR443W	snap_masked-flattened_line_31-processed-gene-1.203-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.203&CDS=1-1290
OG0003010	YLR445W	augustus_masked-flattened_line_31-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.52&CDS=1-594
OG0003011	YLR446W	augustus_masked-flattened_line_39-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.31&CDS=1-1260
OG0003012	YLR447C	augustus_masked-flattened_line_39-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.8&CDS=1-1035
OG0003013	YLR449W	augustus_masked-flattened_line_31-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.1&CDS=1-1236
OG0003014	YLR451W	augustus_masked-flattened_line_23-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.30&CDS=1-2610
OG0003015	YLR452C	augustus_masked-flattened_line_3-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.14&CDS=1-2082
OG0003016	YLR454W	augustus_masked-flattened_line_3-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.28&CDS=1-7803
OG0003017	YLR455W	augustus_masked-flattened_line_23-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.27&CDS=1-1011
OG0003018	YLR459W	augustus_masked-flattened_line_23-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.25&CDS=1-1314
OG0003019	YML001W	augustus_masked-flattened_line_33-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.55&CDS=1-627
OG0003020	YML002W	augustus_masked-flattened_line_33-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.56&CDS=1-3285
OG0003021	YML004C	augustus_masked-flattened_line_21-processed-gene-2.251-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.251&CDS=1-936
OG0003022	YML005W	snap_masked-flattened_line_23-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.57&CDS=1-1269
OG0003023	YML006C	snap_masked-flattened_line_37-processed-gene-1.81-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.81&CDS=1-2013
OG0003024	YML008C	augustus_masked-flattened_line_21-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.104&CDS=1-1128
OG0003025	YML009C	augustus_masked-flattened_line_37-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.153&CDS=1-210
OG0003026	YML010W	augustus_masked-flattened_line_37-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.187&CDS=1-3078
OG0003027	YML011C	augustus_masked-flattened_line_21-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.107&CDS=1-522
OG0003028	YML012W	augustus_masked-flattened_line_37-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.188&CDS=1-636
OG0003029	YML013W	augustus_masked-flattened_line_21-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.123&CDS=1-1914
OG0003030	YML014W	augustus_masked-flattened_line_37-processed-gene-1.189-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.189&CDS=1-813
OG0003031	YML016C	augustus_masked-flattened_line_37-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.156&CDS=1-2037
OG0003032	YML017W	augustus_masked-flattened_line_21-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.6&CDS=1-1887
OG0003033	YML018C	augustus_masked-flattened_line_21-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.4&CDS=1-1329
OG0003034	YML019W	augustus_masked-flattened_line_21-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.7&CDS=1-978
OG0003035	YML020W	augustus_masked-flattened_line_21-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.29&CDS=1-1941
OG0003036	YML021C	augustus_masked-flattened_line_21-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.8&CDS=1-1005
OG0003037	YML022W	augustus_masked-flattened_line_21-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.30&CDS=1-561
OG0003038	YML023C	augustus_masked-flattened_line_37-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.157&CDS=1-1704
OG0003039	YML025C	augustus_masked-flattened_line_21-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.12&CDS=1-828
OG0003040	YML029W	augustus_masked-flattened_line_21-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.35&CDS=1-2259
OG0003041	YML030W	augustus_masked-flattened_line_37-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.195&CDS=1-489
OG0003042	YML031W	snap_masked-flattened_line_37-processed-gene-1.126-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.126&CDS=1-1845
OG0003043	YML032C	augustus_masked-flattened_line_37-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.162&CDS=1-1497
OG0003044	YML034W	snap_masked-flattened_line_21-processed-gene-1.136-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.136&CDS=1-2130
OG0003045	YML035C	snap_masked-flattened_line_37-processed-gene-1.94-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.94&CDS=1-2451
OG0003046	YML036W	augustus_masked-flattened_line_37-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.199&CDS=1-492
OG0003047	YML037C	snap_masked-flattened_line_21-processed-gene-1.115-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.115&CDS=1-1428
OG0003048	YML038C	augustus_masked-flattened_line_21-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.15&CDS=1-1305
OG0003049	YML041C	augustus_masked-flattened_line_57-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.148&CDS=1-759
OG0003050	YML042W	augustus_masked-flattened_line_27-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.53&CDS=1-1983
OG0003051	YML043C	snap_masked-flattened_line_37-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.74&CDS=1-1302
OG0003052	YML046W	augustus_masked-flattened_line_35-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.44&CDS=1-1899
OG0003053	YML048W	augustus_masked-flattened_line_35-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.45&CDS=1-1179
OG0003054	YML049C	augustus_masked-flattened_line_5-processed-gene-5.154-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.154&CDS=1-4257
OG0003055	YML051W	augustus_masked-flattened_line_5-processed-gene-5.186-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.186&CDS=1-1296
OG0003056	YML054C	augustus_masked-flattened_line_39-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.38&CDS=1-1728
OG0003057	YML055W	augustus_masked-flattened_line_39-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.17&CDS=1-525
OG0003058	YML059C	augustus_masked-flattened_line_31-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.48&CDS=1-4680
OG0003059	YML060W	augustus_masked-flattened_line_31-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.79&CDS=1-1122
OG0003060	YML061C	augustus_masked-flattened_line_31-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.50&CDS=1-2703
OG0003061	YML062C	augustus_masked-flattened_line_39-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.34&CDS=1-1170
OG0003062	YML064C	augustus_masked-flattened_line_39-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.33&CDS=1-906
OG0003063	YML065W	augustus_masked-flattened_line_31-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.81&CDS=1-2769
OG0003064	YML066C	augustus_masked-flattened_line_39-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.32&CDS=1-1071
OG0003065	YML067C	snap_masked-flattened_line_31-processed-gene-1.204-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.204&CDS=1-1053
