	Saccharomyces_cerevisiae	yHMPu5000034648_Candida_restingae
OG0003071	YOR116C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.37&CDS=1-4386
OG0003072	YOR117W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-0.36&CDS=1-1275
OG0003073	YOR118W	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.6-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.6&CDS=1-1770
OG0003074	YOR119C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.10-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.10&CDS=1-1374
OG0003075	YOR122C	augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-6.117&CDS=1-378
OG0003076	YOR123C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.39-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.39&CDS=1-1104
OG0003077	YOR124C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-1.64&CDS=1-3522
OG0003078	YOR125C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.53-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-5.53&CDS=1-669
OG0003079	YOR128C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.85&CDS=1-1695
OG0003080	YOR129C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.82-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.82&CDS=1-1953
OG0003081	YOR130C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.69&CDS=1-891
OG0003082	YOR132W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.25&CDS=1-1536
OG0003083	YOR136W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.26&CDS=1-1095
OG0003084	YOR141C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.117&CDS=1-2490
OG0003085	YOR142W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.0-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.0&CDS=1-969
OG0003086	YOR143C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-1.100&CDS=1-888
OG0003087	YOR144C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.84&CDS=1-3357
OG0003088	YOR145C	augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-0.15&CDS=1-774
OG0003089	YOR149C	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-3.6&CDS=1-1650
OG0003090	YOR150W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.23&CDS=1-519
OG0003091	YOR151C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.8&CDS=1-3657
OG0003092	YOR154W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.39&CDS=1-1434
OG0003093	YOR155C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.5&CDS=1-1452
OG0003094	YOR157C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.134&CDS=1-801
OG0003095	YOR159C	snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.70&CDS=1-249
OG0003096	YOR160W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-1.83&CDS=1-2844
OG0003097	YOR161C	snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-1.39&CDS=1-1587
OG0003098	YOR163W	snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.192-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.192&CDS=1-537
OG0003099	YOR164C	snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.166-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.166&CDS=1-936
OG0003100	YOR165W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.54&CDS=1-2337
OG0003101	YOR168W	snap_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-1.125&CDS=1-2367
OG0003102	YOR174W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.7-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.7&CDS=1-957
OG0003103	YOR175C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.2-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.2&CDS=1-1791
OG0003104	YOR176W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.3-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.3&CDS=1-1179
OG0003105	YOR181W	snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.51&CDS=1-2220
OG0003106	YOR187W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.63-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.63&CDS=1-1275
OG0003107	YOR188W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-2.68&CDS=1-3075
OG0003108	YOR191W	snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-0.57&CDS=1-3951
OG0003109	YOR194C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.44-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.44&CDS=1-720
OG0003110	YOR196C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.22-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.22&CDS=1-1137
OG0003111	YOR197W	snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-1.114&CDS=1-1227
OG0003112	YOR198C	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.50-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.50&CDS=1-1341
OG0003113	YOR201C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.134-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.134&CDS=1-1248
OG0003114	YOR202W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.135-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.135&CDS=1-660
OG0003115	YOR204W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-2.49-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-2.49&CDS=1-1839
OG0003116	YOR205C	genemark-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.157-mRNA-1_1&gene=genemark-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.157&CDS=1-1884
OG0003117	YOR206W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.42-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.42&CDS=1-2094
OG0003118	YOR207C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.11-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.11&CDS=1-3429
OG0003119	YOR209C	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-2.57&CDS=1-1239
OG0003120	YOR210W	snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.62&CDS=1-216
OG0003121	YOR211C	augustus_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.97&CDS=1-2631
OG0003122	YOR216C	snap_masked-NODE_26_length_127389_cov_24.3691_ID_51-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_26_length_127389_cov_24.3691_ID_51-processed-gene-0.60&CDS=1-1500
OG0003123	YOR217W	snap_masked-NODE_26_length_127389_cov_24.3691_ID_51-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_26_length_127389_cov_24.3691_ID_51-processed-gene-0.61&CDS=1-2592
OG0003124	YOR223W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.45-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.45&CDS=1-837
OG0003125	YOR224C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.52-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.52&CDS=1-444
OG0003126	YOR228C	snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.66-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.66&CDS=1-780
OG0003127	YOR232W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.69-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.69&CDS=1-654
OG0003128	YOR236W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-1.32&CDS=1-609
OG0003129	YOR238W	snap_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-1.141-mRNA-1_1&gene=snap_masked-NODE_18_length_250478_cov_22.7918_ID_35-processed-gene-1.141&CDS=1-507
OG0003130	YOR239W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-3.106-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-3.106&CDS=1-936
OG0003131	YOR241W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.238-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-3.238&CDS=1-1560
OG0003132	YOR242C	snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.136-mRNA-1_1&gene=snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.136&CDS=1-951
OG0003133	YOR243C	snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.103&CDS=1-2166
OG0003134	YOR244W	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.68-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.68&CDS=1-1503
OG0003135	YOR245C	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-3.51&CDS=1-2436
OG0003136	YOR246C	maker-NODE_15_length_493248_cov_25.9769_ID_29-augustus-gene-3.91-mRNA-1_1&gene=maker-NODE_15_length_493248_cov_25.9769_ID_29-augustus-gene-3.91&CDS=1-1569
OG0003137	YOR249C	augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.28&CDS=1-2139
OG0003138	YOR250C	snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.70-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.70&CDS=1-1425
OG0003139	YOR251C	snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.104&CDS=1-930
OG0003140	YOR252W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.55&CDS=1-540
OG0003141	YOR253W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.38&CDS=1-522
OG0003142	YOR254C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.16&CDS=1-2031
OG0003143	YOR257W	augustus_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.121&CDS=1-1485
OG0003144	YOR258W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.80&CDS=1-753
OG0003145	YOR259C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.40&CDS=1-1248
OG0003146	YOR260W	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-1.22&CDS=1-1407
OG0003147	YOR261C	augustus_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.51&CDS=1-2037
OG0003148	YOR262W	snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.155-mRNA-1_1&gene=snap_masked-NODE_19_length_250385_cov_23.4955_ID_37-processed-gene-1.155&CDS=1-1053
OG0003149	YOR267C	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.44-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.44&CDS=1-2208
OG0003150	YOR269W	augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-3.98&CDS=1-1509
OG0003151	YOR271C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.46&CDS=1-981
OG0003152	YOR272W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.59&CDS=1-1311
OG0003153	YOR273C	maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-10.256-mRNA-1_1&gene=maker-NODE_1_length_1198608_cov_23.6179_ID_1-snap-gene-10.256&CDS=1-2391
OG0003154	YOR274W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.43&CDS=1-1377
OG0003155	YOR275C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.42&CDS=1-2199
OG0003156	YOR276W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-1.39&CDS=1-498
OG0003157	YOR281C	snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_22_length_196173_cov_31.0213_ID_43-processed-gene-0.141&CDS=1-756
OG0003158	YOR283W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-0.112&CDS=1-678
OG0003159	YOR285W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.35&CDS=1-540
OG0003160	YOR287C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.5-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-5.5&CDS=1-786
OG0003161	YOR288C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-3.58&CDS=1-900
OG0003162	YOR289W	augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.9&CDS=1-633
OG0003163	YOR291W	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.2-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-7.2&CDS=1-3816
OG0003164	YOR292C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.122&CDS=1-882
OG0003165	YOR294W	snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-2.89&CDS=1-600
OG0003166	YOR296W	genemark-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.41-mRNA-1_1&gene=genemark-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.41&CDS=1-4023
OG0003167	YOR298C-A	snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_29_length_90500_cov_21.8775_ID_57-processed-gene-0.42&CDS=1-450
OG0003168	YOR301W	genemark-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.111-mRNA-1_1&gene=genemark-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-3.111&CDS=1-1248
OG0003169	YOR303W	snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-1.28&CDS=1-1257
OG0003170	YOR305W	augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.14&CDS=1-705
OG0003171	YOR307C	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-2.16-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-2.16&CDS=1-1311
OG0003172	YOR310C	snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.102&CDS=1-1521
OG0003173	YOR311C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.97-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-4.97&CDS=1-999
OG0003174	YOR315W	snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.110&CDS=1-1173
OG0003175	YOR317W	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.132-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.132&CDS=1-2091
OG0003176	YOR319W	snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.94-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.94&CDS=1-723
OG0003177	YOR320C	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.131-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.131&CDS=1-1326
OG0003178	YOR322C	snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-0.33&CDS=1-1878
OG0003179	YOR323C	augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-8.29&CDS=1-1302
OG0003180	YOR327C	maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-4.122-mRNA-1_1&gene=maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-4.122&CDS=1-333
OG0003181	YOR329C	snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-1.74&CDS=1-1959
OG0003182	YOR330C	snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.144-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-4.144&CDS=1-3825
OG0003183	YOR332W	genemark-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.41-mRNA-1_1&gene=genemark-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.41&CDS=1-708
OG0003184	YOR334W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.84&CDS=1-1371
OG0003185	YOR335C	augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-2.14&CDS=1-2877
OG0003186	YOR336W	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-4.83&CDS=1-4371
OG0003187	YOR340C	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-3.69&CDS=1-852
OG0003188	YOR341W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.76&CDS=1-4875
OG0003189	YOR344C	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.119-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-7.119&CDS=1-792
OG0003190	YOR346W	maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-4.127-mRNA-1_1&gene=maker-NODE_11_length_576536_cov_25.4156_ID_21-snap-gene-4.127&CDS=1-3405
OG0003191	YOR349W	snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-0.62&CDS=1-3333
OG0003192	YOR352W	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.128-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-7.128&CDS=1-894
OG0003193	YOR353C	snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_14_length_538558_cov_20.8153_ID_27-processed-gene-1.65&CDS=1-2886
OG0003194	YOR355W	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.69-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-4.69&CDS=1-1554
