	Saccharomyces_cerevisiae	yHMPu5000035665_Middelhovenomyces_tepae
OG0002920	YNL321W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.78-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.78&CDS=1-3495
OG0002921	YNL325C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.8-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.8&CDS=1-2901
OG0002922	YNL329C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.3-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.3&CDS=1-3540
OG0002923	YNL330C	snap_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.51-mRNA-1_1&gene=snap_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.51&CDS=1-1371
OG0002924	YNR001C	snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.29-mRNA-1_1&gene=snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.29&CDS=1-1413
OG0002925	YNR003C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-9.108-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-9.108&CDS=1-978
OG0002926	YNR006W	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.113-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.113&CDS=1-1890
OG0002927	YNR007C	genemark-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.161-mRNA-1_1&gene=genemark-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.161&CDS=1-891
OG0002928	YNR008W	genemark-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.186-mRNA-1_1&gene=genemark-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.186&CDS=1-1950
OG0002929	YNR011C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-8.78-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-8.78&CDS=1-3054
OG0002930	YNR012W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.88-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-5.88&CDS=1-1374
OG0002931	YNR013C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.48-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-6.48&CDS=1-2598
OG0002932	YNR015W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.27-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.27&CDS=1-1119
OG0002933	YNR016C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.25-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.25&CDS=1-6720
OG0002934	YNR017W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.8-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.8&CDS=1-633
OG0002935	YNR018W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-2.2-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-2.2&CDS=1-627
OG0002936	YNR019W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.113-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.113&CDS=1-1728
OG0002937	YNR020C	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.85-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.85&CDS=1-732
OG0002938	YNR021W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.111&CDS=1-1146
OG0002939	YNR022C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-6.26-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-6.26&CDS=1-936
OG0002940	YNR023W	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-2.27-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-2.27&CDS=1-1290
OG0002941	YNR029C	maker-NODE_12_length_626086_cov_24.2041_ID_1287-augustus-gene-2.49-mRNA-1_1&gene=maker-NODE_12_length_626086_cov_24.2041_ID_1287-augustus-gene-2.49&CDS=1-1098
OG0002942	YNR030W	genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-2.79-mRNA-1_1&gene=genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-2.79&CDS=1-1746
OG0002943	YNR032C-A	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.169-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.169&CDS=1-126
OG0002944	YNR032W	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.131&CDS=1-963
OG0002945	YNR033W	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.168-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.168&CDS=1-2241
OG0002946	YNR035C	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.173-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.173&CDS=1-948
OG0002947	YNR036C	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.135-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.135&CDS=1-537
OG0002948	YNR037C	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.140-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.140&CDS=1-264
OG0002949	YNR038W	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.174-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-1.174&CDS=1-1821
OG0002950	YNR039C	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.96-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.96&CDS=1-1614
OG0002951	YNR041C	augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.87&CDS=1-1107
OG0002952	YNR043W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.49-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.49&CDS=1-1182
OG0002953	YNR046W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.94-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.94&CDS=1-390
OG0002954	YNR047W	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-0.26&CDS=1-2268
OG0002955	YNR050C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.83-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.83&CDS=1-1341
OG0002956	YNR052C	genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.97&CDS=1-1167
OG0002957	YNR053C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.62-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.62&CDS=1-1560
OG0002958	YNR054C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.75-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.75&CDS=1-993
OG0002959	YNR055C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.66-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.66&CDS=1-1641
OG0002960	YNR064C	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.116-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.116&CDS=1-852
OG0002961	YOL001W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.134-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.134&CDS=1-1260
OG0002962	YOL002C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-0.70&CDS=1-957
OG0002963	YOL003C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.35-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.35&CDS=1-1155
OG0002964	YOL004W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.8-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.8&CDS=1-4698
OG0002965	YOL005C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.34&CDS=1-363
OG0002966	YOL006C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.33&CDS=1-2385
OG0002967	YOL009C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-13.33-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-13.33&CDS=1-1005
OG0002968	YOL010W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.152-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-9.152&CDS=1-1080
OG0002969	YOL013C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-5.43-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-5.43&CDS=1-1584
OG0002970	YOL018C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.11-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.11&CDS=1-1017
OG0002971	YOL021C	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-1.63-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-1.63&CDS=1-2937
OG0002972	YOL022C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-9.66-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-9.66&CDS=1-1254
OG0002973	YOL023W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-9.83-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-9.83&CDS=1-2415
OG0002974	YOL026C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.112-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-1.112&CDS=1-486
OG0002975	YOL030W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-2.68-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-2.68&CDS=1-1335
OG0002976	YOL031C	augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.9&CDS=1-1128
OG0002977	YOL032W	snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.95-mRNA-1_1&gene=snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.95&CDS=1-591
OG0002978	YOL033W	maker-NODE_15_length_310466_cov_23.5083_ID_2788-augustus-gene-2.195-mRNA-1_1&gene=maker-NODE_15_length_310466_cov_23.5083_ID_2788-augustus-gene-2.195&CDS=1-1608
OG0002979	YOL034W	genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-2.174-mRNA-1_1&gene=genemark-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-2.174&CDS=1-3396
OG0002980	YOL038W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-7.9-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-7.9&CDS=1-756
OG0002981	YOL039W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-1.87&CDS=1-339
OG0002982	YOL040C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-1.65-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-1.65&CDS=1-447
OG0002983	YOL041C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.0-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.0&CDS=1-1338
OG0002984	YOL048C	augustus_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-3.147&CDS=1-876
OG0002985	YOL049W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-7.66-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-7.66&CDS=1-1461
OG0002986	YOL051W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-5.65-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-5.65&CDS=1-4062
OG0002987	YOL052C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-3.47-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-3.47&CDS=1-1185
OG0002988	YOL054W	snap_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-1.65&CDS=1-1440
OG0002989	YOL057W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.62-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.62&CDS=1-2040
OG0002990	YOL058W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.117-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.117&CDS=1-1239
OG0002991	YOL060C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.15-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.15&CDS=1-2142
OG0002992	YOL061W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.103-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.103&CDS=1-1305
OG0002993	YOL063C	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-0.41&CDS=1-1986
OG0002994	YOL065C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.79-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.79&CDS=1-1119
OG0002995	YOL066C	maker-NODE_5_length_1193255_cov_22.3319_ID_1222-augustus-gene-5.97-mRNA-1_1&gene=maker-NODE_5_length_1193255_cov_22.3319_ID_1222-augustus-gene-5.97&CDS=1-1704
OG0002996	YOL067C	maker-NODE_5_length_1193255_cov_22.3319_ID_1222-snap-gene-5.148-mRNA-1_1&gene=maker-NODE_5_length_1193255_cov_22.3319_ID_1222-snap-gene-5.148&CDS=1-1443
OG0002997	YOL069W	augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.127&CDS=1-1371
OG0002998	YOL070C	augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.126&CDS=1-2853
OG0002999	YOL071W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.53-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-5.53&CDS=1-462
OG0003000	YOL072W	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.155-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-9.155&CDS=1-1341
OG0003001	YOL073C	maker-NODE_8_length_986125_cov_23.6789_ID_1757-augustus-gene-5.119-mRNA-1_1&gene=maker-NODE_8_length_986125_cov_23.6789_ID_1757-augustus-gene-5.119&CDS=1-633
OG0003002	YOL075C	augustus_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-2.98&CDS=1-3966
OG0003003	YOL076W	snap_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.159-mRNA-1_1&gene=snap_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.159&CDS=1-2355
OG0003004	YOL077C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.20-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.20&CDS=1-864
OG0003005	YOL078W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.21-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.21&CDS=1-2460
OG0003006	YOL080C	maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-9.54-mRNA-1_1&gene=maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-9.54&CDS=1-747
OG0003007	YOL086W-A	snap_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.139-mRNA-1_1&gene=snap_masked-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.139&CDS=1-228
OG0003008	YOL087C	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-9.56-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-9.56&CDS=1-2640
OG0003009	YOL090W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.103-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-11.103&CDS=1-2745
OG0003010	YOL093W	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-2.40&CDS=1-954
OG0003011	YOL094C	snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-2.82&CDS=1-1023
OG0003012	YOL096C	augustus_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.48&CDS=1-960
OG0003013	YOL097C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.148-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-4.148&CDS=1-1275
OG0003014	YOL098C	snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-0.76&CDS=1-3069
OG0003015	YOL102C	genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.74-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.74&CDS=1-663
OG0003016	YOL108C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.43-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.43&CDS=1-378
OG0003017	YOL110W	snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.135-mRNA-1_1&gene=snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-4.135&CDS=1-630
OG0003018	YOL111C	augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-8.28&CDS=1-624
OG0003019	YOL114C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.40-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.40&CDS=1-543
OG0003020	YOL122C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-10.128-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-10.128&CDS=1-1629
OG0003021	YOL123W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-10.109-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-10.109&CDS=1-1818
OG0003022	YOL124C	maker-NODE_3_length_1219547_cov_23.6558_ID_2013-augustus-gene-10.138-mRNA-1_1&gene=maker-NODE_3_length_1219547_cov_23.6558_ID_2013-augustus-gene-10.138&CDS=1-1293
OG0003023	YOL125W	maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-3.107-mRNA-1_1&gene=maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-3.107&CDS=1-1314
OG0003024	YOL127W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.16-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-2.16&CDS=1-441
OG0003025	YOL129W	genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.98-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-2.98&CDS=1-522
OG0003026	YOL132W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-7.63-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-7.63&CDS=1-1428
OG0003027	YOL133W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-5.94-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-5.94&CDS=1-351
OG0003028	YOL135C	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.77-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.77&CDS=1-897
OG0003029	YOL138C	maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-8.41-mRNA-1_1&gene=maker-NODE_4_length_1208358_cov_23.5021_ID_1139-augustus-gene-8.41&CDS=1-2958
OG0003030	YOL139C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-3.62-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-3.62&CDS=1-711
OG0003031	YOL140W	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.79-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.79&CDS=1-1317
OG0003032	YOL141W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.10-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.10&CDS=1-2934
OG0003033	YOL142W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.27-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.27&CDS=1-699
OG0003034	YOL143C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.67-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.67&CDS=1-531
OG0003035	YOL144W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.92-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-6.92&CDS=1-1605
OG0003036	YOL145C	augustus_masked-NODE_60_length_466_cov_0.713043_ID_3636-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_60_length_466_cov_0.713043_ID_3636-processed-gene-0.0&CDS=1-429
OG0003037	YOL146W	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.73-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-5.73&CDS=1-546
OG0003038	YOL147C	augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.100&CDS=1-693
OG0003039	YOL148C	maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-7.4-mRNA-1_1&gene=maker-NODE_1_length_1691314_cov_23.5033_ID_3491-augustus-gene-7.4&CDS=1-1404
OG0003040	YOL149W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.18-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-3.18&CDS=1-435
OG0003041	YOR001W	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-6.40-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-6.40&CDS=1-2349
OG0003042	YOR002W	maker-NODE_5_length_1193255_cov_22.3319_ID_1222-snap-gene-3.103-mRNA-1_1&gene=maker-NODE_5_length_1193255_cov_22.3319_ID_1222-snap-gene-3.103&CDS=1-3471
OG0003043	YOR004W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.49-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.49&CDS=1-786
