	Priceomyces_haplophilus	Saccharomyces_cerevisiae
OG0002172	-processed-gene-11.17-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.17&CDS=1-2745	YKL073W
OG0002173	-processed-gene-11.18-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.18&CDS=1-1707	YKL074C
OG0002174	-processed-gene-11.44-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.44&CDS=1-981	YMR055C
OG0002175	-processed-gene-11.19-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.19&CDS=1-273	YER074W-A
OG0002176	-processed-gene-11.45-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.45&CDS=1-462	YDR397C
OG0002177	-processed-gene-11.48-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.48&CDS=1-2124	YBR094W
OG0002178	-processed-gene-11.20-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.20&CDS=1-336	YBR091C
OG0002179	-processed-gene-11.49-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.49&CDS=1-1080	YKL060C
OG0002180	-processed-gene-11.21-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.21&CDS=1-582	YPR051W
OG0002181	-processed-gene-11.22-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.22&CDS=1-777	YBR088C
OG0002182	-processed-gene-11.50-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.50&CDS=1-960	YBR095C
OG0002183	-processed-gene-11.23-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.23&CDS=1-3432	YPR049C
OG0002184	-processed-gene-11.52-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.52&CDS=1-1830	YML042W
OG0002185	-augustus-gene-11.57-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-augustus-gene-11.57&CDS=1-1911	YJR107W
OG0002186	-processed-gene-11.54-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.54&CDS=1-1521	YDR376W
OG0002187	-processed-gene-11.30-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-11.30&CDS=1-243	YDR378C
OG0002188	-snap-gene-11.110-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-snap-gene-11.110&CDS=1-303	YDR377W
OG0002189	-processed-gene-12.106-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.106&CDS=1-1374	YMR027W
OG0002190	-processed-gene-12.110-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.110&CDS=1-1128	YMR028W
OG0002191	-processed-gene-12.139-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.139&CDS=1-372	YKL058W
OG0002192	-processed-gene-12.111-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.111&CDS=1-1398	YKL059C
OG0002193	-processed-gene-12.113-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.113&CDS=1-1281	YOR303W
OG0002194	-snap-gene-12.51-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-snap-gene-12.51&CDS=1-1614	YMR226C
OG0002195	-processed-gene-12.141-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.141&CDS=1-1137	YGL211W
OG0002196	-processed-gene-12.142-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.142&CDS=1-2487	YMR309C
OG0002197	-processed-gene-12.143-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.143&CDS=1-1347	YLR097C
OG0002198	-processed-gene-12.116-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.116&CDS=1-1344	YLR195C
OG0002199	-processed-gene-12.117-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.117&CDS=1-1686	YLR196W
OG0002200	-processed-gene-12.145-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.145&CDS=1-2049	YLR227C
OG0002201	-processed-gene-12.119-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.119&CDS=1-2391	YLR223C
OG0002202	-processed-gene-12.121-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.121&CDS=1-3027	YDR217C
OG0002203	-processed-gene-12.43-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.43&CDS=1-1350	YLR142W
OG0002204	-processed-gene-12.124-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.124&CDS=1-2367	YLR222C
OG0002205	-processed-gene-12.150-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.150&CDS=1-702	YDR152W
OG0002206	-processed-gene-12.128-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.128&CDS=1-621	YDR162C
OG0002207	-processed-gene-12.129-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.129&CDS=1-1605	YLR141W
OG0002208	-processed-gene-12.130-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.130&CDS=1-486	YDR155C
OG0002209	-processed-gene-12.80-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.80&CDS=1-3342	YLR113W
OG0002210	-processed-gene-12.135-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.135&CDS=1-2259	YML035C
OG0002211	-processed-gene-12.137-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.137&CDS=1-4362	YIR006C
OG0002212	-processed-gene-12.138-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.138&CDS=1-2889	YHR098C
OG0002213	-processed-gene-13.144-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.144&CDS=1-2391	YOR035C
OG0002214	-processed-gene-13.68-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.68&CDS=1-840	YHR090C
OG0002215	-processed-gene-13.74-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.74&CDS=1-1056	YCL044C
OG0002216	-snap-gene-13.201-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-snap-gene-13.201&CDS=1-441	YHR051W
OG0002217	-processed-gene-13.71-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.71&CDS=1-753	YOR028C
OG0002218	-processed-gene-13.76-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.76&CDS=1-1146	YDR322W
OG0002219	-processed-gene-13.77-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.77&CDS=1-3444	YHR077C
OG0002220	-processed-gene-13.107-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.107&CDS=1-1089	YHR076W
OG0002221	-processed-gene-13.78-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.78&CDS=1-276	YDR322C-A
OG0002222	-processed-gene-13.14-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.14&CDS=1-1866	YDR323C
OG0002223	-processed-gene-13.108-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.108&CDS=1-756	YJR060W
OG0002224	-processed-gene-13.81-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.81&CDS=1-1977	YMR301C
OG0002225	-processed-gene-13.82-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.82&CDS=1-1392	YDR531W
OG0002226	-processed-gene-13.83-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.83&CDS=1-1341	YPL112C
OG0002227	-processed-gene-13.43-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.43&CDS=1-1167	YGR012W
OG0002228	-processed-gene-13.85-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.85&CDS=1-717	YEL038W
OG0002229	-processed-gene-13.112-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.112&CDS=1-1104	YEL037C
OG0002230	-processed-gene-13.86-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.86&CDS=1-1890	YJR052W
OG0002231	-processed-gene-13.180-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.180&CDS=1-2196	YML046W
OG0002232	-processed-gene-13.87-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.87&CDS=1-2277	YGR013W
OG0002233	-processed-gene-13.47-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.47&CDS=1-2931	YGR014W
OG0002234	-processed-gene-13.159-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.159&CDS=1-480	YGR016W
OG0002235	-processed-gene-13.93-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.93&CDS=1-336	YKL138C
OG0002236	-processed-gene-13.94-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.94&CDS=1-351	YKL137W
OG0002237	-processed-gene-13.164-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.164&CDS=1-4938	YGL022W
OG0002238	-processed-gene-13.117-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.117&CDS=1-1599	YGL192W
OG0002239	-snap-gene-13.202-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-snap-gene-13.202&CDS=1-3561	YBL007C
OG0002240	-processed-gene-13.187-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.187&CDS=1-1536	YGL187C
OG0002241	-processed-gene-13.99-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.99&CDS=1-1497	YGL190C
OG0002242	-processed-gene-13.122-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.122&CDS=1-411	YGL191W
OG0002243	-processed-gene-13.100-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.100&CDS=1-1059	YJR062C
OG0002244	-processed-gene-13.101-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.101&CDS=1-1611	YKL217W
OG0002245	-processed-gene-13.126-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.126&CDS=1-1587	YFL055W
OG0002246	-processed-gene-13.130-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.130&CDS=1-966	YGR144W
OG0002247	-processed-gene-0.72-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.72&CDS=1-1509	YDR403W
OG0002248	-processed-gene-0.73-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.73&CDS=1-1869	YMR092C
OG0002249	-processed-gene-0.46-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.46&CDS=1-1677	YKR016W
OG0002250	-processed-gene-0.47-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.47&CDS=1-1410	YJL081C
OG0002251	-processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.48&CDS=1-2088	YEL011W
OG0002252	-processed-gene-0.49-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.49&CDS=1-2118	YMR106C
OG0002253	-processed-gene-0.76-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.76&CDS=1-1107	YMR097C
OG0002254	-processed-gene-0.50-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.50&CDS=1-876	YKL110C
OG0002255	-processed-gene-0.77-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.77&CDS=1-744	YKL099C
OG0002256	-processed-gene-0.51-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.51&CDS=1-2895	YMR098C
OG0002257	-processed-gene-0.78-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.78&CDS=1-1458	YKR023W
OG0002258	-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.97&CDS=1-5208	YJL106W
OG0002259	-processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.58&CDS=1-1011	YBR034C
OG0002260	-processed-gene-0.59-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.59&CDS=1-462	YCL033C
OG0002261	-processed-gene-0.79-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.79&CDS=1-927	YDL015C
OG0002262	-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.101&CDS=1-672	YOR298C-A
OG0002263	-snap-gene-0.88-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-0.88&CDS=1-5763	YJL109C
OG0002264	-processed-gene-0.65-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.65&CDS=1-675	YKR014C
OG0002265	-processed-gene-0.36-mRNA-1_1&gene=genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.36&CDS=1-942	YKR030W
OG0002266	-processed-gene-0.83-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.83&CDS=1-1560	YKR017C
OG0002267	-processed-gene-0.84-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.84&CDS=1-1761	YBR030W
OG0002268	-processed-gene-0.68-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-0.68&CDS=1-387	YJL104W
OG0002269	-processed-gene-1.0-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.0&CDS=1-1503	YMR093W
OG0002270	-processed-gene-1.3-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.3&CDS=1-918	YOR064C
OG0002271	-processed-gene-1.4-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.4&CDS=1-1167	YOR063W
OG0002272	-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.79&CDS=1-1338	YNL280C
OG0002273	-processed-gene-1.29-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.29&CDS=1-909	YGR106C
OG0002274	-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.80&CDS=1-978	YGR104C
OG0002275	-processed-gene-1.31-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.31&CDS=1-1815	YGR103W
OG0002276	-processed-gene-1.10-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.10&CDS=1-1215	YPR140W
OG0002277	-processed-gene-1.33-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.33&CDS=1-2124	YPR141C
OG0002278	-processed-gene-1.35-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.35&CDS=1-1329	YDR229W
OG0002279	-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.107&CDS=1-1479	YMR239C
OG0002280	-processed-gene-1.12-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.12&CDS=1-783	YDL202W
OG0002281	-processed-gene-1.13-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.13&CDS=1-828	YDL201W
OG0002282	-processed-gene-1.39-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.39&CDS=1-2994	YMR231W
OG0002283	-processed-gene-1.14-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.14&CDS=1-2151	YFL013C
OG0002284	-augustus-gene-1.65-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-augustus-gene-1.65&CDS=1-222	YFL017W-A
OG0002285	-processed-gene-1.41-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.41&CDS=1-447	YFL017C
OG0002286	-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.114&CDS=1-1983	YKL179C
OG0002287	-processed-gene-1.15-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.15&CDS=1-1881	YLR143W
OG0002288	-processed-gene-1.49-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.49&CDS=1-324	YOL108C
OG0002289	-processed-gene-1.19-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.19&CDS=1-558	YER042W
OG0002290	-processed-gene-1.20-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.20&CDS=1-1083	YBR087W
OG0002291	-snap-gene-1.126-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-1.126&CDS=1-669	YKL041W
OG0002292	-processed-gene-1.22-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.22&CDS=1-630	YOR289W
OG0002293	-processed-gene-1.56-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.56&CDS=1-987	YOR311C
OG0002294	-processed-gene-1.154-mRNA-1_1&gene=genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.154&CDS=1-1521	YMR023C
OG0002295	-processed-gene-1.23-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.23&CDS=1-1788	YPR048W
OG0002296	-snap-gene-1.128-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-1.128&CDS=1-2034	YPR047W
OG0002297	-processed-gene-1.27-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.27&CDS=1-2058	YJR098C
OG0002298	-processed-gene-1.62-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.62&CDS=1-507	YJR097W
OG0002299	-processed-gene-1.28-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.28&CDS=1-1236	YNL248C
OG0002300	-processed-gene-2.55-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.55&CDS=1-1380	YMR091C
OG0002301	-processed-gene-2.81-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.81&CDS=1-1509	YKL140W
OG0002302	-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.28&CDS=1-2805	YOR125C
OG0002303	-processed-gene-2.85-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.85&CDS=1-2613	YCL045C
OG0002304	-processed-gene-2.66-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.66&CDS=1-246	YDR525W-A
OG0002305	-processed-gene-2.86-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.86&CDS=1-1353	YDR527W
OG0002306	-processed-gene-2.136-mRNA-1_1&gene=genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.136&CDS=1-1161	YDR459C
OG0002307	-processed-gene-2.67-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.67&CDS=1-1017	YDR460W
OG0002308	-processed-gene-2.68-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.68&CDS=1-591	YML036W
OG0002309	-snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-2.1&CDS=1-2508	YHR025W
OG0002310	-processed-gene-2.92-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.92&CDS=1-1566	YHR007C
OG0002311	-processed-gene-2.69-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.69&CDS=1-1263	YDR465C
OG0002312	-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.17&CDS=1-1527	YHR024C
OG0002313	-processed-gene-2.73-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.73&CDS=1-2394	YJL204C
OG0002314	-processed-gene-2.147-mRNA-1_1&gene=genemark-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.147&CDS=1-462	YBR122C
OG0002315	-processed-gene-2.75-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.75&CDS=1-1635	YJL111W
OG0002316	-processed-gene-2.99-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.99&CDS=1-2913	YNL267W
OG0002317	-processed-gene-2.77-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.77&CDS=1-1680	YKR002W
OG0002318	-processed-gene-2.79-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.79&CDS=1-1743	YOR027W
OG0002319	-processed-gene-2.80-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.80&CDS=1-2259	YDL040C
OG0002320	-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.0&CDS=1-624	YOL111C
OG0002321	-processed-gene-3.49-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.49&CDS=1-1476	YNL294C
OG0002322	-processed-gene-3.55-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.55&CDS=1-1566	YDL030W
OG0002323	-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.2&CDS=1-2289	YOL065C
OG0002324	-processed-gene-3.77-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.77&CDS=1-2352	YNL256W
OG0002325	-snap-gene-3.44-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-3.44&CDS=1-1941	YNL251C
OG0002326	-processed-gene-3.56-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.56&CDS=1-813	YNL252C
OG0002327	-processed-gene-3.79-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.79&CDS=1-1203	YAL042W
OG0002328	-processed-gene-3.58-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.58&CDS=1-2436	YAL041W
OG0002329	-processed-gene-3.59-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.59&CDS=1-1917	YOR356W
OG0002330	-processed-gene-3.81-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.81&CDS=1-1425	YOR355W
OG0002331	-processed-gene-3.60-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.60&CDS=1-885	YHL013C
OG0002332	-processed-gene-3.61-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.61&CDS=1-801	YAL039C
OG0002333	-snap-gene-3.43-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-3.43&CDS=1-714	YOL110W
OG0002334	-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.14&CDS=1-1236	YNL292W
OG0002335	-processed-gene-3.68-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.68&CDS=1-1227	YOL052C
OG0002336	-processed-gene-3.86-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.86&CDS=1-894	YBR085W
OG0002337	-processed-gene-3.88-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.88&CDS=1-453	YDR092W
OG0002338	-processed-gene-3.71-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.71&CDS=1-3456	YKL092C
OG0002339	-processed-gene-3.72-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.72&CDS=1-924	YMR079W
OG0002340	-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-3.23&CDS=1-795	YHR049W
