	Neurospora_crassa	Saccharomyces_cerevisiae
OG0001709	XP_959904.1	YDR394W
OG0001710	XP_959907.1	YMR079W
OG0001711	XP_959915.3	YDR282C
OG0001712	XP_959917.1	YPL154C
OG0001713	XP_959918.1	YLR058C
OG0001714	XP_959920.1	YBR081C
OG0001715	XP_959921.1	YJR112W-A
OG0001716	XP_959925.2	YOR124C
OG0001717	XP_959926.1	YKL004W
OG0001718	XP_959930.1	YPL190C
OG0001719	XP_959933.2	YBR082C
OG0001720	XP_959937.1	YMR244C-A
OG0001721	XP_959938.1	YJL004C
OG0001722	XP_959939.2	YDR208W
OG0001723	XP_959940.1	YIR027C
OG0001724	XP_959943.2	YML131W
OG0001725	XP_959949.1	YBR003W
OG0001726	XP_959961.1	YGR054W
OG0001727	XP_959965.2	YOL023W
OG0001728	XP_959966.1	YOR006C
OG0001729	XP_959969.1	YGL220W
OG0001730	XP_959970.2	YGL221C
OG0001731	XP_959975.1	YOR289W
OG0001732	XP_959980.1	YJL010C
OG0001733	XP_959997.2	YMR068W
OG0001734	XP_960003.2	YPL172C
OG0001735	XP_960006.3	YGL216W
OG0001736	XP_960011.3	YDL160C
OG0001737	XP_960029.1	YOL119C
OG0001738	XP_960030.1	YKL191W
OG0001739	XP_960037.1	YBR058C
OG0001740	XP_960040.1	YNL229C
OG0001741	XP_960041.3	YJL030W
OG0001742	XP_960042.1	YGL078C
OG0001743	XP_960043.3	YBL020W
OG0001744	XP_960057.1	YBR175W
OG0001745	XP_960063.1	YGL195W
OG0001746	XP_960070.1	YMR116C
OG0001747	XP_960073.1	YNL177C
OG0001748	XP_960076.1	YDL067C
OG0001749	XP_960097.1	YLL040C
OG0001750	XP_960113.3	YNL297C
OG0001751	XP_960117.1	YBR160W
OG0001752	XP_960146.1	YBR282W
OG0001753	XP_960147.1	YML093W
OG0001754	XP_960149.1	YBR062C
OG0001755	XP_960152.1	YMR014W
OG0001756	XP_960153.2	YOR257W
OG0001757	XP_960155.2	YKR097W
OG0001758	XP_960162.1	YJR073C
OG0001759	XP_960166.3	YBR281C
OG0001760	XP_960167.1	YJL143W
OG0001761	XP_960179.1	YML110C
OG0001762	XP_960187.1	YNL220W
OG0001763	XP_960191.2	YGL251C
OG0001764	XP_960192.1	YMR315W
OG0001765	XP_960203.3	YNL247W
OG0001766	XP_960205.1	YHR188C
OG0001767	XP_960206.1	YDL087C
OG0001768	XP_960211.3	YER110C
OG0001769	XP_960217.1	YOR356W
OG0001770	XP_960219.1	YER148W
OG0001771	XP_960224.2	YLR285W
OG0001772	XP_960226.3	YGL159W
OG0001773	XP_960229.1	YGL211W
OG0001774	XP_960287.2	YJR148W
OG0001775	XP_960288.1	YGL083W
OG0001776	XP_960292.2	YER009W
OG0001777	XP_960293.1	YMR071C
OG0001778	XP_960297.1	YDR316W
OG0001779	XP_960299.1	YCR093W
OG0001780	XP_960308.3	YER140W
OG0001781	XP_960310.2	YAL049C
OG0001782	XP_960333.1	YJL094C
OG0001783	XP_960334.2	YDR432W
OG0001784	XP_960335.1	YLR276C
OG0001785	XP_960336.1	YNL288W
OG0001786	XP_960341.1	YLR144C
OG0001787	XP_960359.3	YCL034W
OG0001788	XP_960368.3	YJL092W
OG0001789	XP_960373.2	YIL150C
OG0001790	XP_960378.1	YBR094W
OG0001791	XP_960389.1	YGL166W
OG0001792	XP_960396.3	YOR222W
OG0001793	XP_960399.2	YPR185W
OG0001794	XP_960400.1	YHL002W
OG0001795	XP_960406.1	YNL289W
OG0001796	XP_960413.3	YDR299W
OG0001797	XP_960415.3	YGL164C
OG0001798	XP_960422.1	YIL160C
OG0001799	XP_960423.1	YLR377C
OG0001800	XP_960425.1	YER165W
OG0001801	XP_960426.3	YGL141W
OG0001802	XP_960432.1	YJR113C
OG0001803	XP_960435.2	YCR098C
OG0001804	XP_960436.1	YIL153W
OG0001805	XP_960440.3	YOL060C
OG0001806	XP_960441.2	YML004C
OG0001807	XP_960443.1	YER141W
OG0001808	XP_960447.1	YGL019W
OG0001809	XP_960454.1	YOR378W
OG0001810	XP_960475.1	YGL097W
OG0001811	XP_960476.1	YGR172C
OG0001812	XP_960477.1	YJL104W
OG0001813	XP_960478.1	YDL141W
OG0001814	XP_960479.1	YJR144W
OG0001815	XP_960485.3	YPL122C
OG0001816	XP_960487.1	YGR127W
OG0001817	XP_960503.1	YPL107W
OG0001818	XP_960504.1	YJR133W
OG0001819	XP_960510.1	YBR249C
OG0001820	XP_960542.1	YBR008C
OG0001821	XP_960551.1	YMR140W
OG0001822	XP_960553.1	YOR153W
OG0001823	XP_960554.3	YER100W
OG0001824	XP_960556.1	YMR041C
OG0001825	XP_960562.3	YPL109C
OG0001826	XP_960563.1	YAL039C
OG0001827	XP_960568.1	YDR221W
OG0001828	XP_960570.2	YKL203C
OG0001829	XP_960574.3	YNR039C
OG0001830	XP_960578.1	YPL131W
OG0001831	XP_960580.2	YER151C
OG0001832	XP_960584.1	YOR201C
OG0001833	XP_960593.1	YFL024C
OG0001834	XP_960597.1	YGR063C
OG0001835	XP_960598.2	YOR077W
OG0001836	XP_960607.2	YMR020W
OG0001837	XP_960608.2	YNL242W
OG0001838	XP_960610.3	YDR217C
OG0001839	XP_960615.1	YMR130W
OG0001840	XP_960620.2	YPL259C
OG0001841	XP_960626.1	YHL013C
OG0001842	XP_960635.1	YLL048C
OG0001843	XP_960643.1	YPR088C
OG0001844	XP_960650.3	YIL026C
OG0001845	XP_960652.1	YNL189W
OG0001846	XP_960653.2	YCR075C
OG0001847	XP_960655.1	YMR100W
OG0001848	XP_960660.2	YNL045W
OG0001849	XP_960667.3	YDR472W
OG0001850	XP_960670.1	YAL044C
OG0001851	XP_960671.3	YML064C
OG0001852	XP_960675.1	YDL208W
OG0001853	XP_960676.1	YLR291C
OG0001854	XP_960683.2	YPL260W
OG0001855	XP_960690.1	YOR298C-A
OG0001856	XP_960695.2	YPL069C
OG0001857	XP_960696.1	YOR052C
OG0001858	XP_960697.1	YDL168W
OG0001859	XP_960700.1	YOR059C
OG0001860	XP_960704.3	YGR210C
OG0001861	XP_960705.2	YDR276C
OG0001862	XP_960714.1	YFL013C
OG0001863	XP_960719.1	YPR137W
OG0001864	XP_960723.1	YKL143W
OG0001865	XP_960724.1	YGL099W
OG0001866	XP_960729.1	YDR237W
OG0001867	XP_960730.1	YBR101C
OG0001868	XP_960732.2	YLR247C
OG0001869	XP_960738.1	YJL204C
OG0001870	XP_960739.1	YDL108W
OG0001871	XP_960740.2	YKL051W
OG0001872	XP_960741.3	YDL234C
OG0001873	XP_960742.1	YNL085W
OG0001874	XP_960744.3	YPL268W
OG0001875	XP_960747.2	YGL003C
OG0001876	XP_960749.1	YKL184W
OG0001877	XP_960750.1	YDR430C
OG0001878	XP_960754.1	YPR131C
OG0001879	XP_960763.2	YOL062C
OG0001880	XP_960772.2	YOR211C
OG0001881	XP_960773.3	YNL191W
OG0001882	XP_960774.1	YKL172W
OG0001883	XP_960785.1	YGL030W
OG0001884	XP_960786.1	YLR075W
OG0001885	XP_960790.1	YPL266W
OG0001886	XP_960795.1	YNR011C
OG0001887	XP_960802.3	YBR222C
OG0001888	XP_960805.2	YER142C
OG0001889	XP_960807.1	YDR529C
OG0001890	XP_960812.1	YLR107W
OG0001891	XP_960813.3	YGR132C
OG0001892	XP_960814.1	YJL166W
OG0001893	XP_960816.1	YIL090W
OG0001894	XP_960819.1	YLR025W
OG0001895	XP_960827.1	YLR175W
OG0001896	XP_960834.1	YBR043C
OG0001897	XP_960835.1	YOR323C
OG0001898	XP_960837.1	YKL043W
OG0001899	XP_960840.2	YMR300C
OG0001900	XP_960842.1	YOR049C
OG0001901	XP_960845.1	YDR001C
OG0001902	XP_960849.1	YKR085C
OG0001903	XP_960854.1	YER065C
OG0001904	XP_960859.1	YFL028C
OG0001905	XP_960860.1	YPL059W
OG0001906	XP_960862.1	YKR001C
OG0001907	XP_960863.3	YCL039W
OG0001908	XP_960866.1	YGL238W
OG0001909	XP_960879.1	YDR079C-A
OG0001910	XP_960886.1	YHR187W
OG0001911	XP_960888.1	YLR268W
OG0001912	XP_960891.2	YJL055W
OG0001913	XP_960892.1	YMR314W
OG0001914	XP_960893.1	YJR044C
OG0001915	XP_960895.1	YDR407C
OG0001916	XP_960897.1	YDL100C
OG0001917	XP_960898.1	YKL059C
OG0001918	XP_960899.1	YLR193C
OG0001919	XP_960901.3	YGL143C
OG0001920	XP_960902.1	YOL097C
OG0001921	XP_960906.2	YLR351C
OG0001922	XP_960907.1	YPR069C
OG0001923	XP_960910.1	YDR302W
OG0001924	XP_960913.1	YJL153C
OG0001925	XP_960915.2	YKR090W
OG0001926	XP_960920.3	YHR144C
OG0001927	XP_960924.1	YLR066W
OG0001928	XP_960925.3	YGL173C
OG0001929	XP_960926.3	YOR204W
OG0001930	XP_960927.1	YBR060C
OG0001931	XP_960934.3	YKL022C
OG0001932	XP_960936.3	YHR099W
OG0001933	XP_960945.1	YBR199W
OG0001934	XP_960949.1	YGR124W
OG0001935	XP_960952.2	YBL091C
OG0001936	XP_960955.3	YFR007W
OG0001937	XP_960959.2	YBL013W
OG0001938	XP_960961.1	YKR071C
OG0001939	XP_960962.3	YGL203C
OG0001940	XP_960963.1	YOR021C
OG0001941	XP_960964.2	YKL216W
OG0001942	XP_960965.1	YNL126W
OG0001943	XP_960966.1	YPL254W
OG0001944	XP_960972.1	YJL187C
OG0001945	XP_960973.1	YBL023C
OG0001946	XP_960990.1	YLR104W
OG0001947	XP_960991.1	YNL005C
OG0001948	XP_960994.2	YEL056W
OG0001949	XP_961009.1	YCR034W
OG0001950	XP_961015.1	YKL094W
OG0001951	XP_961016.3	YLR176C
OG0001952	XP_961017.1	YPR028W
OG0001953	XP_961018.3	YNL291C
OG0001954	XP_961021.1	YBR261C
OG0001955	XP_961022.1	YLR105C
OG0001956	XP_961025.2	YOR057W
OG0001957	XP_961026.2	YHR072W
OG0001958	XP_961027.3	YHL022C
OG0001959	XP_961028.2	YPL239W
OG0001960	XP_961048.2	YCL004W
OG0001961	XP_961050.2	YLR419W
OG0001962	XP_961056.1	YML079W
OG0001963	XP_961063.1	YNL175C
OG0001964	XP_961064.1	YIR011C
OG0001965	XP_961065.2	YML032C
OG0001966	XP_961067.1	YHR025W
OG0001967	XP_961069.3	YOR112W
OG0001968	XP_961070.1	YJL200C
OG0001969	XP_961071.2	YNL006W
OG0001970	XP_961078.1	YER107C
OG0001971	XP_961079.1	YGR007W
OG0001972	XP_961083.1	YML067C
OG0001973	XP_961091.1	YDL065C
OG0001974	XP_961092.1	YDL064W
OG0001975	XP_961095.2	YNR050C
OG0001976	XP_961102.1	YHR176W
OG0001977	XP_961106.1	YGR171C
OG0001978	XP_961110.1	YJR006W
OG0001979	XP_961115.1	YNL246W
OG0001980	XP_961117.3	YMR013C
OG0001981	XP_961123.1	YDR036C
OG0001982	XP_961124.2	YLR275W
OG0001983	XP_961129.1	YKL146W
OG0001984	XP_961130.1	YBR235W
OG0001985	XP_961132.2	YOR014W
OG0001986	XP_961134.2	YLR281C
OG0001987	XP_961136.1	YGR200C
OG0001988	XP_961137.2	YIL008W
OG0001989	XP_961139.2	YOR113W
OG0001990	XP_961140.1	YIL134W
OG0001991	XP_961147.1	YMR125W
OG0001992	XP_961148.2	YOL129W
OG0001993	XP_961149.3	YGR229C
OG0001994	XP_961150.3	YPR055W
OG0001995	XP_961151.3	YGL246C
OG0001996	XP_961152.1	YKL103C
OG0001997	XP_961156.2	YJL125C
OG0001998	XP_961158.1	YPR018W
OG0001999	XP_961161.1	YIL047C
OG0002000	XP_961163.3	YBR229C
OG0002001	XP_961183.1	YCR057C
OG0002002	XP_961184.1	YHR107C
OG0002003	XP_961185.2	YGL059W
OG0002004	XP_961186.3	YMR304W
OG0002005	XP_961187.3	YDL217C
OG0002006	XP_961188.1	YAL032C
OG0002007	XP_961195.2	YGL103W
OG0002008	XP_961197.1	YMR128W
OG0002009	XP_961198.1	YHR058C
OG0002010	XP_961202.1	YOR388C
OG0002011	XP_961203.1	YLR382C
OG0002012	XP_961205.2	YNL063W
OG0002013	XP_961207.1	YIL048W
OG0002014	XP_961212.1	YGL119W
OG0002015	XP_961216.2	YBR146W
OG0002016	XP_961228.3	YKL088W
OG0002017	XP_961232.3	YOR070C
OG0002018	XP_961233.1	YMR080C
OG0002019	XP_961234.1	YNL075W
OG0002020	XP_961242.2	YNL192W
OG0002021	XP_961243.2	YDR189W
OG0002022	XP_961250.3	YLR253W
OG0002023	XP_961253.2	YKL046C
OG0002024	XP_961256.1	YIL162W
OG0002025	XP_961266.1	YLR116W
OG0002026	XP_961267.2	YLR361C
OG0002027	XP_961271.1	YGR167W
OG0002028	XP_961273.2	YLR188W
OG0002029	XP_961274.1	YER052C
OG0002030	XP_961275.2	YOL018C
OG0002031	XP_961277.3	YPR029C
OG0002032	XP_961280.1	YKL179C
OG0002033	XP_961281.3	YDR495C
OG0002034	XP_961283.1	YDR086C
OG0002035	XP_961289.2	YBR074W
OG0002036	XP_961292.3	YBR198C
OG0002037	XP_961293.2	YOR069W
OG0002038	XP_961298.1	YMR186W
OG0002039	XP_961299.1	YKL116C
OG0002040	XP_961305.2	YMR023C
OG0002041	XP_961306.1	YAL025C
OG0002042	XP_961309.2	YNL292W
OG0002043	XP_961311.1	YNL232W
OG0002044	XP_961312.2	YMR202W
OG0002045	XP_961315.2	YDR339C
OG0002046	XP_961317.2	YGR281W
OG0002047	XP_961319.3	YMR162C
OG0002048	XP_961323.1	YNL231C
OG0002049	XP_961324.3	YBL035C
OG0002050	XP_961328.2	YLR414C
OG0002051	XP_961333.1	YAR007C
OG0002052	XP_961334.1	YKL218C
OG0002053	XP_961335.1	YLR355C
OG0002054	XP_961337.1	YLR306W
OG0002055	XP_961349.1	YDR320C
OG0002056	XP_961350.1	YMR022W
OG0002057	XP_961352.1	YLR147C
OG0002058	XP_961355.1	YLR222C
OG0002059	XP_961356.2	YOL086W-A
OG0002060	XP_961360.1	YMR208W
OG0002061	XP_961362.1	YLR325C
OG0002062	XP_961364.3	YJR117W
OG0002063	XP_961376.2	YJR052W
OG0002064	XP_961377.1	YBR114W
OG0002065	XP_961380.2	YJR062C
OG0002066	XP_961386.1	YOR202W
OG0002067	XP_961388.2	YMR210W
OG0002068	XP_961390.2	YOR017W
OG0002069	XP_961404.3	YPR181C
OG0002070	XP_961408.1	YKL028W
OG0002071	XP_961409.2	YFL008W
OG0002072	XP_961414.2	YPR074C
OG0002073	XP_961415.2	YLR063W
OG0002074	XP_961417.1	YEL026W
OG0002075	XP_961418.2	YEL027W
OG0002076	XP_961419.3	YGL012W
OG0002077	XP_961421.2	YAR019C
OG0002078	XP_961423.1	YMR113W
OG0002079	XP_961427.1	YLR298C
OG0002080	XP_961428.3	YML012W
OG0002081	XP_961429.1	YOL071W
OG0002082	XP_961445.1	YCL054W
OG0002083	XP_961454.2	YMR171C
OG0002084	XP_961466.1	YBR017C
OG0002085	XP_961468.2	YNL092W
OG0002086	XP_961471.1	YNL169C
OG0002087	XP_961478.1	YDL014W
OG0002088	XP_961486.3	YML018C
OG0002089	XP_961487.1	YML001W
OG0002090	XP_961488.1	YKL098W
OG0002091	XP_961489.1	YEL042W
OG0002092	XP_961494.1	YGR036C
OG0002093	XP_961506.1	YMR283C
OG0002094	XP_961508.1	YNL007C
OG0002095	XP_961513.1	YOR187W
OG0002096	XP_961516.3	YKL034W
OG0002097	XP_961523.1	YJL101C
OG0002098	XP_961526.1	YOR046C
OG0002099	XP_961527.3	YHR114W
OG0002100	XP_961528.1	YOL030W
OG0002101	XP_961529.2	YKL069W
OG0002102	XP_961530.3	YGL207W
OG0002103	XP_961537.1	YLR274W
OG0002104	XP_961538.2	YDR027C
OG0002105	XP_961540.3	YHR166C
OG0002106	XP_961541.1	YJL167W
OG0002107	XP_961545.1	YMR203W
OG0002108	XP_961549.3	YGR173W
OG0002109	XP_961550.1	YDL209C
OG0002110	XP_961553.1	YDR283C
OG0002111	XP_961554.1	YDR054C
OG0002112	XP_961556.1	YOR164C
OG0002113	XP_961558.1	YDL102W
OG0002114	XP_961561.1	YOR375C
OG0002115	XP_961563.2	YDR293C
OG0002116	XP_961564.1	YDL207W
OG0002117	XP_961565.2	YDR468C
OG0002118	XP_961567.1	YNR046W
OG0002119	XP_961569.1	YDR412W
OG0002120	XP_961572.3	YHR119W
OG0002121	XP_961573.1	YDL185W
OG0002122	XP_961576.1	YNR033W
OG0002123	XP_961582.3	YJR090C
OG0002124	XP_961590.2	YDL007W
OG0002125	XP_961591.1	YDR177W
OG0002126	XP_961593.1	YOR142W
OG0002127	XP_961595.1	YPL086C
OG0002128	XP_961599.1	YJR096W
OG0002129	XP_961600.1	YDR021W
OG0002130	XP_961601.2	YDL030W
OG0002131	XP_961602.1	YBR228W
OG0002132	XP_961604.1	YJR119C
OG0002133	XP_961607.1	YPR021C
OG0002134	XP_961608.2	YDL155W
OG0002135	XP_961616.1	YGR170W
OG0002136	XP_961619.1	YER050C
OG0002137	XP_961620.1	YHR148W
OG0002138	XP_961625.1	YGL040C
OG0002139	XP_961634.1	YIL091C
OG0002140	XP_961635.2	YJL063C
OG0002141	XP_961653.3	YKR087C
OG0002142	XP_961677.1	YNL142W
OG0002143	XP_961679.1	YPR025C
OG0002144	XP_961681.2	YCR009C
OG0002145	XP_961682.2	YHR189W
OG0002146	XP_961690.2	YPL113C
OG0002147	XP_961695.1	YOL052C
OG0002148	XP_961696.1	YIL003W
OG0002149	XP_961707.1	YBR293W
OG0002150	XP_961711.1	YML121W
OG0002151	XP_961712.1	YBL058W
OG0002152	XP_961713.1	YOL026C
OG0002153	XP_961714.1	YER154W
OG0002154	XP_961727.1	YAL035W
OG0002155	XP_961729.1	YGL125W
OG0002156	XP_961731.1	YMR247C
OG0002157	XP_961742.1	YOR258W
OG0002158	XP_961753.2	YJR045C
OG0002159	XP_961756.2	YLL032C
OG0002160	XP_961757.2	YHR077C
OG0002161	XP_961760.2	YOR349W
OG0002162	XP_961768.3	YNL325C
OG0002163	XP_961777.1	YKR024C
OG0002164	XP_961782.1	YLR321C
OG0002165	XP_961787.1	YDR180W
OG0002166	XP_961788.1	YJR063W
OG0002167	XP_961789.1	YJR070C
OG0002168	XP_961791.1	YKL181W
OG0002169	XP_961806.1	YGR175C
OG0002170	XP_961813.1	YJL130C
OG0002171	XP_961818.2	YDL134C
OG0002172	XP_961819.3	YBR102C
OG0002173	XP_961820.1	YGR082W
OG0002174	XP_961824.1	YGL055W
OG0002175	XP_961826.1	YBL022C
OG0002176	XP_961828.1	YDR308C
OG0002177	XP_961829.1	YGL224C
OG0002178	XP_961832.2	YLR409C
OG0002179	XP_961833.1	YJL020C
OG0002180	XP_961839.3	YPL116W
OG0002181	XP_961863.2	YOR101W
OG0002182	XP_961868.1	YKL071W
OG0002183	XP_961872.3	YNL268W
OG0002184	XP_961873.1	YDR256C
OG0002185	XP_961880.2	YDR377W
OG0002186	XP_961882.2	YMR135C
OG0002187	XP_961884.1	YNR012W
OG0002188	XP_961886.1	YDR061W
OG0002189	XP_961887.1	YBR173C
OG0002190	XP_961891.3	YGL231C
OG0002191	XP_961892.2	YJR005W
OG0002192	XP_961893.1	YPL146C
OG0002193	XP_961894.3	YLR262C
OG0002194	XP_961895.1	YGR271W
OG0002195	XP_961896.1	YMR028W
OG0002196	XP_961897.2	YBR035C
OG0002197	XP_961900.1	YML054C
OG0002198	XP_961901.3	YBR086C
OG0002199	XP_961904.3	YML059C
OG0002200	XP_961905.1	YJR007W
OG0002201	XP_961906.2	YMR166C
OG0002202	XP_961909.1	YFL027C
OG0002203	XP_961910.2	YDR484W
OG0002204	XP_961913.1	YGL161C
OG0002205	XP_961915.1	YMR015C
OG0002206	XP_961916.2	YOR286W
OG0002207	XP_961917.2	YKL052C
OG0002208	XP_961918.2	YNL136W
OG0002209	XP_961922.1	YMR262W
OG0002210	XP_961938.1	YGL241W
OG0002211	XP_961939.3	YCL014W
OG0002212	XP_961946.2	YNL155W
OG0002213	XP_961953.1	YHR178W
OG0002214	XP_961961.1	YBR257W
OG0002215	XP_961962.2	YIL145C
OG0002216	XP_961964.1	YHR170W
OG0002217	XP_961967.1	YNL312W
OG0002218	XP_961969.1	YPL117C
OG0002219	XP_961971.2	YHR027C
OG0002220	XP_961972.3	YNL207W
OG0002221	XP_961974.2	YJL112W
OG0002222	XP_961975.1	YPR060C
OG0002223	XP_961976.1	YDR361C
OG0002224	XP_961977.1	YDR100W
OG0002225	XP_961983.1	YGR207C
OG0002226	XP_961984.1	YDL226C
OG0002227	XP_961990.2	YDR242W
OG0002228	XP_961993.3	YDR076W
OG0002229	XP_961994.1	YGL035C
OG0002230	XP_961997.1	YGR033C
OG0002231	XP_961998.1	YER122C
OG0002232	XP_961999.3	YLR009W
OG0002233	XP_962001.1	YDR367W
OG0002234	XP_962002.2	YJR137C
OG0002235	XP_962003.3	YBR038W
OG0002236	XP_962009.1	YMR026C
OG0002237	XP_962012.1	YOR215C
OG0002238	XP_962015.1	YKL033W-A
OG0002239	XP_962017.1	YNR054C
OG0002240	XP_962020.2	YMR220W
OG0002241	XP_962027.1	YER007C-A
OG0002242	XP_962031.2	YNL091W
OG0002243	XP_962032.3	YNL090W
OG0002244	XP_962034.1	YGR061C
OG0002245	XP_962035.2	YMR178W
OG0002246	XP_962036.1	YGL091C
OG0002247	XP_962039.1	YKR009C
OG0002248	XP_962051.1	YMR033W
OG0002249	XP_962058.2	YLR439W
OG0002250	XP_962059.1	YER136W
OG0002251	XP_962060.3	YPL093W
OG0002252	XP_962062.3	YDR071C
OG0002253	XP_962063.3	YER143W
OG0002254	XP_962064.1	YDR083W
OG0002255	XP_962066.1	YGR253C
OG0002256	XP_962067.1	YHR172W
OG0002257	XP_962072.2	YBL024W
OG0002258	XP_962073.1	YHR168W
OG0002259	XP_962075.1	YOR198C
OG0002260	XP_962076.1	YBR154C
OG0002261	XP_962088.2	YHR194W
OG0002262	XP_962089.1	YOR145C
OG0002263	XP_962091.1	YNL202W
OG0002264	XP_962093.2	YNR055C
OG0002265	XP_962098.1	YPR183W
OG0002266	XP_962105.1	YLR262C-A
OG0002267	XP_962113.1	YDR331W
OG0002268	XP_962115.1	YBR110W
OG0002269	XP_962116.1	YDR205W
OG0002270	XP_962117.1	YOR100C
OG0002271	XP_962120.1	YLR172C
OG0002272	XP_962125.2	YPL103C
OG0002273	XP_962135.1	YBR196C
OG0002274	XP_962136.2	YKL054C
OG0002275	XP_962140.1	YPL170W
OG0002276	XP_962144.1	YMR091C
OG0002277	XP_962147.1	YGL215W
OG0002278	XP_962149.2	YJL054W
OG0002279	XP_962150.2	YNL161W
OG0002280	XP_962154.2	YML096W
OG0002281	XP_962159.3	YOR132W
OG0002282	XP_962160.3	YJL102W
OG0002283	XP_962163.2	YLR113W
OG0002284	XP_962166.2	YPR160W
OG0002285	XP_962180.1	YCL059C
OG0002286	XP_962193.3	YGL201C
OG0002287	XP_962197.2	YBR132C
OG0002288	XP_962199.2	YNL123W
OG0002289	XP_962201.1	YDL183C
OG0002290	XP_962202.1	YDL133W
OG0002291	XP_962205.2	YER020W
OG0002292	XP_962209.2	YCR066W
OG0002293	XP_962210.3	YBR156C
OG0002294	XP_962212.2	YDR108W
OG0002295	XP_962216.1	YOL080C
OG0002296	XP_962217.1	YOR244W
OG0002297	XP_962218.2	YIL023C
OG0002298	XP_962224.1	YPL227C
OG0002299	XP_962232.1	YNL059C
OG0002300	XP_962233.2	YEL044W
OG0002301	XP_962234.2	YMR292W
OG0002302	XP_962241.3	YPR155C
OG0002303	XP_962242.1	YFL005W
OG0002304	XP_962247.1	YCR077C
OG0002305	XP_962248.1	YOR099W
OG0002306	XP_962249.3	YNR036C
OG0002307	XP_962251.1	YBL105C
OG0002308	XP_962253.1	YDR393W
OG0002309	XP_962259.1	YBL082C
OG0002310	XP_962261.1	YNL010W
OG0002311	XP_962268.2	YDL135C
OG0002312	XP_962270.2	YNR032W
OG0002313	XP_962275.1	YOL069W
OG0002314	XP_962276.3	YGR261C
OG0002315	XP_962279.1	YBL034C
OG0002316	XP_962283.1	YOR136W
OG0002317	XP_962284.3	YDR166C
OG0002318	XP_962287.2	YKR051W
OG0002319	XP_962288.2	YLR087C
OG0002320	XP_962296.3	YJR138W
OG0002321	XP_962298.1	YDL031W
OG0002322	XP_962300.1	YDL063C
OG0002323	XP_962304.1	YDR142C
OG0002324	XP_962310.3	YCR023C
OG0002325	XP_962311.3	YLR014C
OG0002326	XP_962321.1	YFR031C
OG0002327	XP_962323.2	YCL005W-A
OG0002328	XP_962325.1	YER112W
OG0002329	XP_962335.2	YBR200W
OG0002330	XP_962336.2	YPR045C
OG0002331	XP_962337.3	YLR417W
OG0002332	XP_962348.1	YEL024W
OG0002333	XP_962358.1	YER175C
OG0002334	XP_962359.3	YGL106W
OG0002335	XP_962360.2	YCL057W
OG0002336	XP_962364.1	YPL213W
OG0002337	XP_962368.3	YBR097W
OG0002338	XP_962370.2	YDR120C
OG0002339	XP_962373.1	YIL101C
OG0002340	XP_962374.1	YBR155W
OG0002341	XP_962379.3	YBR223C
OG0002342	XP_962380.1	YGR037C
OG0002343	XP_962381.2	YNL084C
OG0002344	XP_962382.1	YDR287W
OG0002345	XP_962387.2	YER183C
OG0002346	XP_962388.1	YOR159C
OG0002347	XP_962389.1	YOR160W
OG0002348	XP_962394.1	YIL116W
OG0002349	XP_962399.1	YDR291W
OG0002350	XP_962401.1	YGL198W
OG0002351	XP_962403.1	YNL181W
OG0002352	XP_962405.2	YPL029W
OG0002353	XP_962420.1	YIL124W
OG0002354	XP_962429.1	YDR363W-A
OG0002355	XP_962430.1	YCR012W
OG0002356	XP_962431.1	YOR292C
OG0002357	XP_962438.1	YNL014W
OG0002358	XP_962442.1	YOR168W
OG0002359	XP_962447.1	YNL274C
OG0002360	XP_962451.1	YBL107C
OG0002361	XP_962452.1	YDL040C
OG0002362	XP_962457.1	YLR027C
OG0002363	XP_962458.1	YDR087C
OG0002364	XP_962467.1	YDL238C
OG0002365	XP_962471.3	YMR078C
OG0002366	XP_962477.2	YGL137W
OG0002367	XP_962479.1	YER134C
OG0002368	XP_962487.1	YOR174W
OG0002369	XP_962503.3	YMR284W
OG0002370	XP_962504.1	YOR176W
OG0002371	XP_962505.3	YJL163C
OG0002372	XP_962506.3	YDR305C
OG0002373	XP_962508.1	YDL051W
OG0002374	XP_962509.2	YNL137C
OG0002375	XP_962512.1	YMR024W
OG0002376	XP_962525.2	YDR164C
OG0002377	XP_962526.1	YBR153W
OG0002378	XP_962530.3	YPR162C
OG0002379	XP_962536.3	YBR247C
OG0002380	XP_962537.1	YGR187C
OG0002381	XP_962538.2	YML123C
OG0002382	XP_962539.2	YHR002W
OG0002383	XP_962542.1	YDR405W
OG0002384	XP_962546.1	YJL154C
OG0002385	XP_962562.2	YDR454C
OG0002386	XP_962568.3	YFR038W
OG0002387	XP_962569.1	YGL105W
OG0002388	XP_962570.3	YFL036W
OG0002389	XP_962572.1	YHR201C
OG0002390	XP_962573.1	YLR126C
OG0002391	XP_962574.1	YDL035C
OG0002392	XP_962576.2	YOR250C
OG0002393	XP_962580.1	YER013W
OG0002394	XP_962593.1	YAL009W
OG0002395	XP_962594.2	YGR110W
OG0002396	XP_962595.1	YPL094C
OG0002397	XP_962599.1	YGR013W
OG0002398	XP_962606.1	YGR203W
OG0002399	XP_962608.1	YLL023C
OG0002400	XP_962609.1	YNL128W
OG0002401	XP_962614.1	YFR025C
OG0002402	XP_962633.1	YLR015W
OG0002403	XP_962634.1	YMR213W
OG0002404	XP_962641.3	YNL277W
OG0002405	XP_962642.2	YNL139C
OG0002406	XP_962655.3	YMR155W
OG0002407	XP_962656.1	YDR105C
