	Metschnikowia_aberdeeniae	Saccharomyces_cerevisiae
OG0002130	snap_masked-abe-_s69-processed-gene-0.138-mRNA-1_1&gene=snap_masked-abe-_s69-processed-gene-0.138&CDS=1-456	YDL208W
OG0002131	augustus_masked-abe-_s69-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.35&CDS=1-2805	YDR238C
OG0002132	augustus_masked-abe-_s69-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.14&CDS=1-1920	YIL099W
OG0002133	augustus_masked-abe-_s69-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.38&CDS=1-909	YGR060W
OG0002134	snap_masked-abe-_s69-processed-gene-0.144-mRNA-1_1&gene=snap_masked-abe-_s69-processed-gene-0.144&CDS=1-957	YGR163W
OG0002135	snap_masked-abe-_s69-processed-gene-0.145-mRNA-1_1&gene=snap_masked-abe-_s69-processed-gene-0.145&CDS=1-1116	YGR225W
OG0002136	augustus_masked-abe-_s69-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.17&CDS=1-1350	YGR227W
OG0002137	augustus_masked-abe-_s69-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.40&CDS=1-1251	YGR229C
OG0002138	augustus_masked-abe-_s69-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.19&CDS=1-588	YBL057C
OG0002139	augustus_masked-abe-_s69-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.42&CDS=1-1554	YBL054W
OG0002140	maker-abe-_s69-augustus-gene-0.53-mRNA-1_1&gene=maker-abe-_s69-augustus-gene-0.53&CDS=1-1542	YER090W
OG0002141	snap_masked-abe-_s69-processed-gene-0.151-mRNA-1_1&gene=snap_masked-abe-_s69-processed-gene-0.151&CDS=1-1065	YBL058W
OG0002142	augustus_masked-abe-_s69-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.45&CDS=1-2301	YER091C
OG0002143	augustus_masked-abe-_s69-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.46&CDS=1-1176	YML048W
OG0002144	augustus_masked-abe-_s7-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.57&CDS=1-1443	YLR359W
OG0002145	augustus_masked-abe-_s7-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.58&CDS=1-300	YBR233W-A
OG0002146	augustus_masked-abe-_s7-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.59&CDS=1-3693	YBR235W
OG0002147	snap_masked-abe-_s7-processed-gene-0.21-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-0.21&CDS=1-2079	YOR322C
OG0002148	augustus_masked-abe-_s7-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.44&CDS=1-1209	YLR085C
OG0002149	augustus_masked-abe-_s7-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.61&CDS=1-915	YMR281W
OG0002150	augustus_masked-abe-_s7-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.62&CDS=1-918	YER175C
OG0002151	augustus_masked-abe-_s7-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.63&CDS=1-2877	YMR280C
OG0002152	maker-abe-_s7-augustus-gene-0.108-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-0.108&CDS=1-3837	YAL021C
OG0002153	augustus_masked-abe-_s7-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.65&CDS=1-1062	YLR420W
OG0002154	augustus_masked-abe-_s7-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.49&CDS=1-429	YPR082C
OG0002155	augustus_masked-abe-_s7-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.66&CDS=1-627	YLR178C
OG0002156	augustus_masked-abe-_s7-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.67&CDS=1-990	YOR358W
OG0002157	augustus_masked-abe-_s7-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.69&CDS=1-909	YDL124W
OG0002158	augustus_masked-abe-_s7-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.70&CDS=1-825	YHR029C
OG0002159	snap_masked-abe-_s7-processed-gene-0.11-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-0.11&CDS=1-11352	YDR150W
OG0002160	augustus_masked-abe-_s7-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.71&CDS=1-453	YBR109C
OG0002161	augustus_masked-abe-_s7-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.52&CDS=1-3822	YOR346W
OG0002162	augustus_masked-abe-_s7-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-0.72&CDS=1-1320	YBR110W
OG0002163	snap_masked-abe-_s7-processed-gene-1.43-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-1.43&CDS=1-630	YLR323C
OG0002164	snap_masked-abe-_s7-processed-gene-1.44-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-1.44&CDS=1-651	YLR326W
OG0002165	maker-abe-_s7-augustus-gene-1.38-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-1.38&CDS=1-1110	YGR007W
OG0002166	snap_masked-abe-_s7-processed-gene-1.46-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-1.46&CDS=1-1560	YML068W
OG0002167	snap_masked-abe-_s7-processed-gene-1.47-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-1.47&CDS=1-1044	YJR062C
OG0002168	augustus_masked-abe-_s7-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.94&CDS=1-4017	YJR033C
OG0002169	maker-abe-_s7-augustus-gene-1.42-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-1.42&CDS=1-339	YJR034W
OG0002170	augustus_masked-abe-_s7-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.95&CDS=1-3471	YML049C
OG0002171	augustus_masked-abe-_s7-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.118&CDS=1-1413	YAR003W
OG0002172	snap_masked-abe-_s7-processed-gene-1.52-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-1.52&CDS=1-3729	YAL002W
OG0002173	augustus_masked-abe-_s7-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.98&CDS=1-2691	YGL008C
OG0002174	augustus_masked-abe-_s7-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.101&CDS=1-1377	YGL012W
OG0002175	augustus_masked-abe-_s7-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.119&CDS=1-741	YGL011C
OG0002176	augustus_masked-abe-_s7-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.104&CDS=1-1782	YMR036C
OG0002177	augustus_masked-abe-_s7-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.120&CDS=1-2712	YKR009C
OG0002178	augustus_masked-abe-_s7-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.121&CDS=1-2193	YDL164C
OG0002179	augustus_masked-abe-_s7-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.106&CDS=1-1353	YMR033W
OG0002180	augustus_masked-abe-_s7-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-1.123&CDS=1-1281	YMR034C
OG0002181	maker-abe-_s7-augustus-gene-1.41-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-1.41&CDS=1-1446	YMR041C
OG0002182	augustus_masked-abe-_s7-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.53&CDS=1-1416	YKL043W
OG0002183	maker-abe-_s7-augustus-gene-2.2-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-2.2&CDS=1-4026	YJR035W
OG0002184	augustus_masked-abe-_s7-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.79&CDS=1-702	YGR095C
OG0002185	augustus_masked-abe-_s7-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.58&CDS=1-1533	YGR091W
OG0002186	augustus_masked-abe-_s7-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.59&CDS=1-3126	YGR094W
OG0002187	augustus_masked-abe-_s7-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.81&CDS=1-3609	YEL031W
OG0002188	augustus_masked-abe-_s7-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.82&CDS=1-891	YGR096W
OG0002189	augustus_masked-abe-_s7-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.67&CDS=1-2109	YLR396C
OG0002190	snap_masked-abe-_s7-processed-gene-2.125-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-2.125&CDS=1-183	YDL067C
OG0002191	augustus_masked-abe-_s7-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.68&CDS=1-246	YLR395C
OG0002192	snap_masked-abe-_s7-processed-gene-2.109-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-2.109&CDS=1-876	YIL101C
OG0002193	snap_masked-abe-_s7-processed-gene-2.110-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-2.110&CDS=1-2274	YNL041C
OG0002194	augustus_masked-abe-_s7-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.84&CDS=1-1263	YIL103W
OG0002195	augustus_masked-abe-_s7-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.71&CDS=1-1464	YIL104C
OG0002196	maker-abe-_s7-augustus-gene-2.1-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-2.1&CDS=1-5355	YFR009W
OG0002197	augustus_masked-abe-_s7-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.86&CDS=1-303	YPL098C
OG0002198	augustus_masked-abe-_s7-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.73&CDS=1-444	YFR011C
OG0002199	augustus_masked-abe-_s7-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.87&CDS=1-3114	YMR110C
OG0002200	genemark-abe-_s7-processed-gene-2.31-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-2.31&CDS=1-1677	YFR021W
OG0002201	snap_masked-abe-_s7-processed-gene-2.132-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-2.132&CDS=1-642	YPR113W
OG0002202	augustus_masked-abe-_s7-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.77&CDS=1-966	YLR354C
OG0002203	maker-abe-_s7-snap-gene-2.51-mRNA-1_1&gene=maker-abe-_s7-snap-gene-2.51&CDS=1-522	YDR236C
OG0002204	augustus_masked-abe-_s7-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.1&CDS=1-1410	YDR235W
OG0002205	genemark-abe-_s7-processed-gene-3.96-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-3.96&CDS=1-1272	YOR303W
OG0002206	augustus_masked-abe-_s7-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.0&CDS=1-1038	YPR127W
OG0002207	snap_masked-abe-_s7-processed-gene-3.54-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-3.54&CDS=1-1326	YKL059C
OG0002208	augustus_masked-abe-_s7-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.23&CDS=1-1113	YMR028W
OG0002209	augustus_masked-abe-_s7-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.6&CDS=1-363	YKL058W
OG0002210	augustus_masked-abe-_s7-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.25&CDS=1-1359	YMR027W
OG0002211	genemark-abe-_s7-processed-gene-3.122-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-3.122&CDS=1-2064	YBR094W
OG0002212	augustus_masked-abe-_s7-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.7&CDS=1-327	YBR091C
OG0002213	augustus_masked-abe-_s7-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.27&CDS=1-1071	YKL060C
OG0002214	augustus_masked-abe-_s7-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.8&CDS=1-606	YPR051W
OG0002215	augustus_masked-abe-_s7-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.9&CDS=1-1029	YBR095C
OG0002216	augustus_masked-abe-_s7-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.10&CDS=1-777	YBR088C
OG0002217	augustus_masked-abe-_s7-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.28&CDS=1-1320	YPL259C
OG0002218	augustus_masked-abe-_s7-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.29&CDS=1-1386	YDL147W
OG0002219	augustus_masked-abe-_s7-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.30&CDS=1-1854	YER055C
OG0002220	snap_masked-abe-_s7-processed-gene-3.81-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-3.81&CDS=1-1080	YPR025C
OG0002221	augustus_masked-abe-_s7-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.32&CDS=1-774	YLR186W
OG0002222	augustus_masked-abe-_s7-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.35&CDS=1-1089	YML060W
OG0002223	augustus_masked-abe-_s7-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.18&CDS=1-2244	YNL218W
OG0002224	augustus_masked-abe-_s7-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.36&CDS=1-1770	YNL279W
OG0002225	augustus_masked-abe-_s7-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.19&CDS=1-267	YDR510W
OG0002226	maker-abe-_s7-augustus-gene-3.44-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-3.44&CDS=1-4923	YDL238C
OG0002227	augustus_masked-abe-_s7-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.98&CDS=1-1836	YGL095C
OG0002228	augustus_masked-abe-_s7-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.100&CDS=1-1068	YPL181W
OG0002229	augustus_masked-abe-_s7-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.99&CDS=1-1659	YML086C
OG0002230	augustus_masked-abe-_s7-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.101&CDS=1-2646	YML093W
OG0002231	genemark-abe-_s7-processed-gene-4.6-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-4.6&CDS=1-4233	YPL226W
OG0002232	augustus_masked-abe-_s7-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.120&CDS=1-780	YMR029C
OG0002233	augustus_masked-abe-_s7-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.105&CDS=1-576	YBR106W
OG0002234	augustus_masked-abe-_s7-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.124&CDS=1-1722	YPL208W
OG0002235	augustus_masked-abe-_s7-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.106&CDS=1-924	YBR037C
OG0002236	augustus_masked-abe-_s7-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.126&CDS=1-2466	YOL148C
OG0002237	augustus_masked-abe-_s7-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.127&CDS=1-507	YOL149W
OG0002238	augustus_masked-abe-_s7-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.109&CDS=1-1035	YOL114C
OG0002239	augustus_masked-abe-_s7-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.113&CDS=1-1836	YJL057C
OG0002240	maker-abe-_s7-snap-gene-4.150-mRNA-1_1&gene=maker-abe-_s7-snap-gene-4.150&CDS=1-789	YOL143C
OG0002241	augustus_masked-abe-_s7-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.132&CDS=1-747	YIL070C
OG0002242	augustus_masked-abe-_s7-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.116&CDS=1-351	YKL084W
OG0002243	augustus_masked-abe-_s7-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.135&CDS=1-2520	YPR112C
OG0002244	augustus_masked-abe-_s7-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.136&CDS=1-3843	YNL250W
OG0002245	augustus_masked-abe-_s7-processed-gene-4.137-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.137&CDS=1-2427	YOR113W
OG0002246	augustus_masked-abe-_s7-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.139&CDS=1-372	YNL113W
OG0002247	augustus_masked-abe-_s7-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.35&CDS=1-783	YGR158C
OG0002248	snap_masked-abe-_s7-processed-gene-5.4-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-5.4&CDS=1-2532	YGR157W
OG0002249	snap_masked-abe-_s7-processed-gene-5.2-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-5.2&CDS=1-4452	YNL297C
OG0002250	augustus_masked-abe-_s7-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.39&CDS=1-3414	YBR023C
OG0002251	augustus_masked-abe-_s7-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.42&CDS=1-2259	YNL247W
OG0002252	augustus_masked-abe-_s7-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.43&CDS=1-567	YLR066W
OG0002253	augustus_masked-abe-_s7-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.53&CDS=1-3672	YLR067C
OG0002254	snap_masked-abe-_s7-processed-gene-5.11-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-5.11&CDS=1-1614	YJR152W
OG0002255	snap_masked-abe-_s7-processed-gene-5.21-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-5.21&CDS=1-921	YGL161C
OG0002256	augustus_masked-abe-_s7-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.57&CDS=1-2508	YNL272C
OG0002257	augustus_masked-abe-_s7-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.48&CDS=1-6351	YFL007W
OG0002258	augustus_masked-abe-_s7-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.60&CDS=1-609	YJR133W
OG0002259	augustus_masked-abe-_s7-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.49&CDS=1-1827	YER036C
OG0002260	augustus_masked-abe-_s7-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.62&CDS=1-750	YOR126C
OG0002261	augustus_masked-abe-_s7-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-5.63&CDS=1-1128	YNL084C
OG0002262	genemark-abe-_s7-processed-gene-5.95-mRNA-1_1&gene=genemark-abe-_s7-processed-gene-5.95&CDS=1-2742	YLR196W
OG0002263	snap_masked-abe-_s7-processed-gene-6.62-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-6.62&CDS=1-1320	YLR195C
OG0002264	maker-abe-_s7-snap-gene-6.47-mRNA-1_1&gene=maker-abe-_s7-snap-gene-6.47&CDS=1-1092	YLR097C
OG0002265	maker-abe-_s7-snap-gene-6.48-mRNA-1_1&gene=maker-abe-_s7-snap-gene-6.48&CDS=1-2706	YMR309C
OG0002266	augustus_masked-abe-_s7-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.2&CDS=1-1086	YGL211W
OG0002267	augustus_masked-abe-_s7-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.8&CDS=1-1428	YPR178W
OG0002268	augustus_masked-abe-_s7-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.9&CDS=1-1914	YPR179C
OG0002269	augustus_masked-abe-_s7-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.10&CDS=1-657	YGL018C
OG0002270	augustus_masked-abe-_s7-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.29&CDS=1-849	YGL019W
OG0002271	augustus_masked-abe-_s7-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.11&CDS=1-609	YGL020C
OG0002272	maker-abe-_s7-augustus-gene-6.59-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-6.59&CDS=1-2922	YBL008W
OG0002273	augustus_masked-abe-_s7-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.13&CDS=1-1137	YOL018C
OG0002274	augustus_masked-abe-_s7-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.33&CDS=1-1572	YOL019W
OG0002275	augustus_masked-abe-_s7-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.34&CDS=1-6585	YFR019W
OG0002276	augustus_masked-abe-_s7-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.14&CDS=1-999	YDR372C
OG0002277	augustus_masked-abe-_s7-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.35&CDS=1-1014	YDR371W
OG0002278	augustus_masked-abe-_s7-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.15&CDS=1-2313	YBR058C
OG0002279	augustus_masked-abe-_s7-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.38&CDS=1-3855	YMR129W
OG0002280	augustus_masked-abe-_s7-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.39&CDS=1-3792	YMR128W
OG0002281	augustus_masked-abe-_s7-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.40&CDS=1-657	YDR121W
OG0002282	snap_masked-abe-_s7-processed-gene-6.83-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-6.83&CDS=1-4383	YLR032W
OG0002283	maker-abe-_s7-augustus-gene-6.57-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-6.57&CDS=1-1560	YLR033W
OG0002284	augustus_masked-abe-_s7-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.42&CDS=1-738	YKL040C
OG0002285	augustus_masked-abe-_s7-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.23&CDS=1-1689	YBR296C
OG0002286	augustus_masked-abe-_s7-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.24&CDS=1-867	YIL034C
OG0002287	augustus_masked-abe-_s7-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.44&CDS=1-633	YGR167W
OG0002288	augustus_masked-abe-_s7-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-6.45&CDS=1-2352	YGR200C
OG0002289	augustus_masked-abe-_s7-processed-gene-7.0-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.0&CDS=1-693	YHR041C
OG0002290	augustus_masked-abe-_s7-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.1&CDS=1-2262	YJL033W
OG0002291	augustus_masked-abe-_s7-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.2&CDS=1-1611	YDL153C
OG0002292	augustus_masked-abe-_s7-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.6&CDS=1-1590	YDL143W
OG0002293	augustus_masked-abe-_s7-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.3&CDS=1-1011	YLR215C
OG0002294	maker-abe-_s7-augustus-gene-7.46-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-7.46&CDS=1-981	YBR053C
OG0002295	augustus_masked-abe-_s7-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.7&CDS=1-474	YJR055W
OG0002296	snap_masked-abe-_s7-processed-gene-7.109-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-7.109&CDS=1-2292	YMR019W
OG0002297	snap_masked-abe-_s7-processed-gene-7.111-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-7.111&CDS=1-957	YGL215W
OG0002298	augustus_masked-abe-_s7-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.29&CDS=1-435	YER030W
OG0002299	augustus_masked-abe-_s7-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.9&CDS=1-399	YER029C
OG0002300	maker-abe-_s7-augustus-gene-7.47-mRNA-1_1&gene=maker-abe-_s7-augustus-gene-7.47&CDS=1-3774	YGL207W
OG0002301	augustus_masked-abe-_s7-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.10&CDS=1-1527	YKL045W
OG0002302	augustus_masked-abe-_s7-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.34&CDS=1-777	YJR060W
OG0002303	augustus_masked-abe-_s7-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.14&CDS=1-1491	YPL204W
OG0002304	augustus_masked-abe-_s7-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.36&CDS=1-1521	YPL212C
