	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
OG0002804	YML022W	snap_masked-scaffold_1-processed-gene-7.91-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.91&CDS=1-567
OG0002805	YML023C	snap_masked-scaffold_1-processed-gene-7.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.68&CDS=1-1656
OG0002806	YML025C	augustus_masked-scaffold_1-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.124&CDS=1-756
OG0002807	YML027W	augustus_masked-scaffold_1-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.144&CDS=1-990
OG0002808	YML029W	augustus_masked-scaffold_1-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.146&CDS=1-2436
OG0002809	YML030W	snap_masked-scaffold_1-processed-gene-7.99-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.99&CDS=1-483
OG0002810	YML031W	augustus_masked-scaffold_1-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.149&CDS=1-1836
OG0002811	YML034W	snap_masked-scaffold_1-processed-gene-8.121-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.121&CDS=1-2406
OG0002812	YML035C	snap_masked-scaffold_1-processed-gene-8.117-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.117&CDS=1-2223
OG0002813	YML036W	genemark-scaffold_1-processed-gene-8.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.12&CDS=1-465
OG0002814	YML037C	snap_masked-scaffold_1-processed-gene-8.119-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.119&CDS=1-897
OG0002815	YML038C	snap_masked-scaffold_1-processed-gene-8.124-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.124&CDS=1-1107
OG0002816	YML042W	snap_masked-scaffold_1-processed-gene-6.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.51&CDS=1-1938
OG0002817	YML043C	snap_masked-scaffold_7-processed-gene-7.31-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.31&CDS=1-1332
OG0002818	YML046W	snap_masked-scaffold_6-processed-gene-1.13-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.13&CDS=1-1914
OG0002819	YML048W	snap_masked-scaffold_6-processed-gene-1.12-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.12&CDS=1-1065
OG0002820	YML049C	snap_masked-scaffold_6-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.30&CDS=1-3762
OG0002821	YML050W	snap_masked-scaffold_6-processed-gene-1.11-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.11&CDS=1-963
OG0002822	YML052W	snap_masked-scaffold_6-processed-gene-1.10-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.10&CDS=1-903
OG0002823	YML054C	snap_masked-scaffold_4-processed-gene-2.60-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.60&CDS=1-1752
OG0002824	YML055W	snap_masked-scaffold_4-processed-gene-2.42-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.42&CDS=1-510
OG0002825	YML058W	snap_masked-scaffold_4-processed-gene-2.35-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.35&CDS=1-417
OG0002826	YML059C	snap_masked-scaffold_4-processed-gene-1.55-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.55&CDS=1-4926
OG0002827	YML060W	snap_masked-scaffold_4-processed-gene-1.32-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.32&CDS=1-1161
OG0002828	YML061C	snap_masked-scaffold_4-processed-gene-1.53-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.53&CDS=1-2748
OG0002829	YML062C	snap_masked-scaffold_4-processed-gene-1.52-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.52&CDS=1-1044
OG0002830	YML064C	snap_masked-scaffold_4-processed-gene-1.51-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.51&CDS=1-687
OG0002831	YML065W	snap_masked-scaffold_4-processed-gene-1.29-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.29&CDS=1-2856
OG0002832	YML067C	maker-scaffold_4-augustus-gene-1.2-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-1.2&CDS=1-3303
OG0002833	YML068W	snap_masked-scaffold_4-processed-gene-1.28-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.28&CDS=1-1374
OG0002834	YML069W	snap_masked-scaffold_4-processed-gene-1.27-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.27&CDS=1-1620
OG0002835	YML070W	snap_masked-scaffold_4-processed-gene-1.26-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.26&CDS=1-1755
OG0002836	YML071C	snap_masked-scaffold_4-processed-gene-1.46-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.46&CDS=1-1332
OG0002837	YML072C	genemark-scaffold_4-processed-gene-1.142-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.142&CDS=1-5115
OG0002838	YML075C	snap_masked-scaffold_4-processed-gene-1.41-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.41&CDS=1-3123
OG0002839	YML076C	snap_masked-scaffold_4-processed-gene-1.40-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.40&CDS=1-2418
OG0002840	YML077W	snap_masked-scaffold_4-processed-gene-1.22-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.22&CDS=1-477
OG0002841	YML078W	snap_masked-scaffold_1-processed-gene-5.165-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.165&CDS=1-546
OG0002842	YML079W	snap_masked-scaffold_4-processed-gene-1.19-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.19&CDS=1-630
OG0002843	YML080W	snap_masked-scaffold_4-processed-gene-1.18-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.18&CDS=1-1281
OG0002844	YML081C-A	snap_masked-scaffold_4-processed-gene-1.38-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.38&CDS=1-180
OG0002845	YML081W	snap_masked-scaffold_4-processed-gene-1.17-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.17&CDS=1-3597
OG0002846	YML085C	snap_masked-scaffold_2-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.10&CDS=1-1338
OG0002847	YML086C	snap_masked-scaffold_2-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.11&CDS=1-1587
OG0002848	YML088W	snap_masked-scaffold_2-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.35&CDS=1-1911
OG0002849	YML091C	snap_masked-scaffold_2-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.14&CDS=1-3573
OG0002850	YML092C	augustus_masked-scaffold_2-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.59&CDS=1-1281
OG0002851	YML093W	snap_masked-scaffold_2-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.38&CDS=1-2547
OG0002852	YML094W	snap_masked-scaffold_2-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.39&CDS=1-477
OG0002853	YML095C	snap_masked-scaffold_2-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.19&CDS=1-615
OG0002854	YML096W	snap_masked-scaffold_2-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.40&CDS=1-1548
OG0002855	YML097C	snap_masked-scaffold_2-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.20&CDS=1-1332
OG0002856	YML098W	snap_masked-scaffold_2-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.41&CDS=1-480
OG0002857	YML099C	snap_masked-scaffold_2-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.22&CDS=1-2505
OG0002858	YML102W	snap_masked-scaffold_2-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.69&CDS=1-1425
OG0002859	YML103C	snap_masked-scaffold_2-processed-gene-1.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.91&CDS=1-4863
OG0002860	YML104C	snap_masked-scaffold_2-processed-gene-1.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.89&CDS=1-3414
OG0002861	YML105C	snap_masked-scaffold_2-processed-gene-1.88-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.88&CDS=1-783
OG0002862	YML106W	snap_masked-scaffold_2-processed-gene-1.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.65&CDS=1-675
OG0002863	YML107C	snap_masked-scaffold_2-processed-gene-1.87-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.87&CDS=1-999
OG0002864	YML108W	snap_masked-scaffold_2-processed-gene-1.63-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.63&CDS=1-333
OG0002865	YML109W	snap_masked-scaffold_2-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.62&CDS=1-2877
OG0002866	YML110C	augustus_masked-scaffold_2-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.130&CDS=1-894
OG0002867	YML112W	genemark-scaffold_2-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.11&CDS=1-873
OG0002868	YML114C	snap_masked-scaffold_2-processed-gene-1.84-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.84&CDS=1-1623
OG0002869	YML116W	snap_masked-scaffold_2-processed-gene-1.58-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.58&CDS=1-1611
OG0002870	YML117W	snap_masked-scaffold_2-processed-gene-1.57-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.57&CDS=1-3345
OG0002871	YML119W	snap_masked-scaffold_2-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.31&CDS=1-999
OG0002872	YML120C	snap_masked-scaffold_2-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.6&CDS=1-1572
OG0002873	YML121W	snap_masked-scaffold_2-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.33&CDS=1-897
OG0002874	YML123C	snap_masked-scaffold_2-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.9&CDS=1-1743
OG0002875	YML125C	snap_masked-scaffold_2-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.12&CDS=1-933
OG0002876	YML126C	snap_masked-scaffold_2-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.13&CDS=1-1383
OG0002877	YML127W	genemark-scaffold_2-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.113&CDS=1-1758
OG0002878	YML128C	genemark-scaffold_2-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.95&CDS=1-1662
OG0002879	YML130C	snap_masked-scaffold_2-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.21&CDS=1-1680
OG0002880	YML131W	snap_masked-scaffold_3-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.60&CDS=1-1095
OG0002881	YMR001C	snap_masked-scaffold_7-processed-gene-8.67-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.67&CDS=1-2166
OG0002882	YMR002W	snap_masked-scaffold_7-processed-gene-8.70-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.70&CDS=1-453
OG0002883	YMR003W	augustus_masked-scaffold_7-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.9&CDS=1-639
OG0002884	YMR004W	snap_masked-scaffold_7-processed-gene-7.55-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.55&CDS=1-1569
OG0002885	YMR005W	snap_masked-scaffold_7-processed-gene-7.54-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.54&CDS=1-1101
OG0002886	YMR009W	snap_masked-scaffold_8-processed-gene-5.26-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.26&CDS=1-531
OG0002887	YMR010W	snap_masked-scaffold_8-processed-gene-5.27-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.27&CDS=1-1149
OG0002888	YMR012W	snap_masked-scaffold_2-processed-gene-11.126-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.126&CDS=1-3795
OG0002889	YMR013C	snap_masked-scaffold_2-processed-gene-11.150-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.150&CDS=1-1545
OG0002890	YMR014W	snap_masked-scaffold_2-processed-gene-11.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.127&CDS=1-1404
OG0002891	YMR015C	snap_masked-scaffold_2-processed-gene-11.151-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.151&CDS=1-1605
OG0002892	YMR020W	snap_masked-scaffold_2-processed-gene-11.129-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.129&CDS=1-1503
OG0002893	YMR021C	snap_masked-scaffold_2-processed-gene-11.155-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.155&CDS=1-1047
OG0002894	YMR022W	snap_masked-scaffold_2-processed-gene-11.130-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.130&CDS=1-495
OG0002895	YMR023C	snap_masked-scaffold_2-processed-gene-11.157-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.157&CDS=1-1503
OG0002896	YMR024W	snap_masked-scaffold_2-processed-gene-11.133-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.133&CDS=1-1134
OG0002897	YMR025W	snap_masked-scaffold_2-processed-gene-11.134-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.134&CDS=1-804
OG0002898	YMR027W	augustus_masked-scaffold_2-processed-gene-11.105-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.105&CDS=1-2451
OG0002899	YMR028W	snap_masked-scaffold_2-processed-gene-12.1-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.1&CDS=1-1104
OG0002900	YMR029C	augustus_masked-scaffold_2-processed-gene-12.102-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.102&CDS=1-1647
OG0002901	YMR031C	snap_masked-scaffold_2-processed-gene-12.51-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.51&CDS=1-2673
OG0002902	YMR032W	snap_masked-scaffold_2-processed-gene-12.8-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.8&CDS=1-1788
OG0002903	YMR033W	snap_masked-scaffold_2-processed-gene-12.9-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.9&CDS=1-1383
OG0002904	YMR034C	snap_masked-scaffold_2-processed-gene-12.53-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.53&CDS=1-1299
OG0002905	YMR035W	augustus_masked-scaffold_2-processed-gene-12.107-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.107&CDS=1-537
OG0002906	YMR036C	snap_masked-scaffold_2-processed-gene-12.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.54&CDS=1-1674
OG0002907	YMR038C	snap_masked-scaffold_2-processed-gene-12.57-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.57&CDS=1-717
OG0002908	YMR039C	snap_masked-scaffold_2-processed-gene-12.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.59&CDS=1-666
OG0002909	YMR041C	snap_masked-scaffold_2-processed-gene-12.60-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.60&CDS=1-1014
OG0002910	YMR043W	maker-scaffold_2-snap-gene-12.287-mRNA-1_1&gene=maker-scaffold_2-snap-gene-12.287&CDS=1-1143
OG0002911	YMR044W	snap_masked-scaffold_2-processed-gene-12.14-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.14&CDS=1-1314
OG0002912	YMR048W	snap_masked-scaffold_2-processed-gene-12.15-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.15&CDS=1-642
OG0002913	YMR049C	snap_masked-scaffold_2-processed-gene-12.65-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.65&CDS=1-2394
OG0002914	YMR052W	augustus_masked-scaffold_2-processed-gene-12.112-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.112&CDS=1-618
OG0002915	YMR053C	snap_masked-scaffold_2-processed-gene-12.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.67&CDS=1-2319
OG0002916	YMR059W	snap_masked-scaffold_2-processed-gene-12.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.21&CDS=1-372
OG0002917	YMR060C	snap_masked-scaffold_2-processed-gene-12.72-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.72&CDS=1-900
OG0002918	YMR061W	snap_masked-scaffold_2-processed-gene-12.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.22&CDS=1-1962
OG0002919	YMR062C	snap_masked-scaffold_2-processed-gene-12.73-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.73&CDS=1-1323
OG0002920	YMR063W	snap_masked-scaffold_2-processed-gene-12.23-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.23&CDS=1-627
OG0002921	YMR064W	snap_masked-scaffold_2-processed-gene-12.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.24&CDS=1-1686
OG0002922	YMR065W	snap_masked-scaffold_2-processed-gene-12.25-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.25&CDS=1-1344
OG0002923	YMR066W	augustus_masked-scaffold_2-processed-gene-12.122-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.122&CDS=1-2631
OG0002924	YMR067C	snap_masked-scaffold_2-processed-gene-12.79-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.79&CDS=1-1317
OG0002925	YMR068W	snap_masked-scaffold_2-processed-gene-12.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.28&CDS=1-1125
OG0002926	YMR070W	augustus_masked-scaffold_1-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.81&CDS=1-717
OG0002927	YMR071C	snap_masked-scaffold_1-processed-gene-5.159-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.159&CDS=1-501
OG0002928	YMR073C	augustus_masked-scaffold_1-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.105&CDS=1-969
OG0002929	YMR075W	snap_masked-scaffold_1-processed-gene-5.138-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.138&CDS=1-2067
OG0002930	YMR076C	snap_masked-scaffold_1-processed-gene-5.162-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.162&CDS=1-3789
OG0002931	YMR077C	snap_masked-scaffold_1-processed-gene-4.157-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.157&CDS=1-642
OG0002932	YMR078C	snap_masked-scaffold_1-processed-gene-4.158-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.158&CDS=1-2268
OG0002933	YMR079W	snap_masked-scaffold_1-processed-gene-4.137-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.137&CDS=1-915
OG0002934	YMR080C	snap_masked-scaffold_1-processed-gene-4.159-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.159&CDS=1-2709
OG0002935	YMR086W	snap_masked-scaffold_1-processed-gene-4.150-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.150&CDS=1-2433
OG0002936	YMR087W	snap_masked-scaffold_1-processed-gene-4.149-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.149&CDS=1-714
OG0002937	YMR088C	snap_masked-scaffold_1-processed-gene-4.131-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.131&CDS=1-1662
OG0002938	YMR091C	snap_masked-scaffold_1-processed-gene-4.129-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.129&CDS=1-1386
OG0002939	YMR092C	snap_masked-scaffold_1-processed-gene-4.128-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.128&CDS=1-1830
OG0002940	YMR093W	snap_masked-scaffold_1-processed-gene-4.148-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.148&CDS=1-1530
OG0002941	YMR094W	snap_masked-scaffold_1-processed-gene-4.147-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.147&CDS=1-1287
OG0002942	YMR097C	snap_masked-scaffold_1-processed-gene-4.125-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.125&CDS=1-1017
OG0002943	YMR098C	augustus_masked-scaffold_1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.72&CDS=1-2739
OG0002944	YMR099C	snap_masked-scaffold_1-processed-gene-4.142-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.142&CDS=1-891
OG0002945	YMR100W	snap_masked-scaffold_1-processed-gene-4.141-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.141&CDS=1-1959
OG0002946	YMR101C	snap_masked-scaffold_1-processed-gene-4.121-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.121&CDS=1-1035
OG0002947	YMR106C	snap_masked-scaffold_1-processed-gene-4.110-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.110&CDS=1-1878
OG0002948	YMR108W	snap_masked-scaffold_1-processed-gene-4.112-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.112&CDS=1-2046
OG0002949	YMR109W	snap_masked-scaffold_1-processed-gene-3.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.113&CDS=1-3747
OG0002950	YMR110C	snap_masked-scaffold_1-processed-gene-3.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.88&CDS=1-1605
OG0002951	YMR112C	snap_masked-scaffold_1-processed-gene-3.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.86&CDS=1-384
OG0002952	YMR113W	snap_masked-scaffold_1-processed-gene-3.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.111&CDS=1-1272
OG0002953	YMR114C	snap_masked-scaffold_1-processed-gene-3.85-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.85&CDS=1-1362
OG0002954	YMR115W	snap_masked-scaffold_1-processed-gene-3.110-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.110&CDS=1-1434
OG0002955	YMR116C	maker-scaffold_1-snap-gene-3.4-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.4&CDS=1-957
OG0002956	YMR117C	augustus_masked-scaffold_1-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.133&CDS=1-636
OG0002957	YMR118C	snap_masked-scaffold_1-processed-gene-3.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.79&CDS=1-531
OG0002958	YMR119W	snap_masked-scaffold_1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.104&CDS=1-1905
OG0002959	YMR123W	snap_masked-scaffold_1-processed-gene-3.102-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.102&CDS=1-330
OG0002960	YMR124W	snap_masked-scaffold_1-processed-gene-3.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.101&CDS=1-2490
OG0002961	YMR125W	snap_masked-scaffold_1-processed-gene-3.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.100&CDS=1-2565
OG0002962	YMR126C	genemark-scaffold_1-processed-gene-3.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.18&CDS=1-903
OG0002963	YMR127C	snap_masked-scaffold_1-processed-gene-3.72-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.72&CDS=1-927
OG0002964	YMR128W	snap_masked-scaffold_1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.98&CDS=1-3687
OG0002965	YMR129W	snap_masked-scaffold_1-processed-gene-3.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.96&CDS=1-3957
OG0002966	YMR130W	snap_masked-scaffold_1-processed-gene-3.95-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.95&CDS=1-906
OG0002967	YMR131C	maker-scaffold_7-snap-gene-6.111-mRNA-1_1&gene=maker-scaffold_7-snap-gene-6.111&CDS=1-4581
OG0002968	YMR132C	snap_masked-scaffold_7-processed-gene-6.10-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.10&CDS=1-522
OG0002969	YMR133W	snap_masked-scaffold_7-processed-gene-6.41-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.41&CDS=1-1440
OG0002970	YMR134W	snap_masked-scaffold_7-processed-gene-6.39-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.39&CDS=1-696
OG0002971	YMR135C	snap_masked-scaffold_7-processed-gene-6.9-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.9&CDS=1-1230
OG0002972	YMR137C	snap_masked-scaffold_7-processed-gene-6.7-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.7&CDS=1-1575
OG0002973	YMR139W	snap_masked-scaffold_7-processed-gene-6.34-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.34&CDS=1-1086
OG0002974	YMR144W	snap_masked-scaffold_7-processed-gene-6.1-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.1&CDS=1-957
OG0002975	YMR145C	snap_masked-scaffold_7-processed-gene-5.90-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.90&CDS=1-1614
OG0002976	YMR146C	snap_masked-scaffold_7-processed-gene-5.89-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.89&CDS=1-1038
OG0002977	YMR149W	snap_masked-scaffold_7-processed-gene-5.114-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.114&CDS=1-1023
OG0002978	YMR150C	snap_masked-scaffold_7-processed-gene-5.87-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.87&CDS=1-591
OG0002979	YMR154C	snap_masked-scaffold_7-processed-gene-5.84-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.84&CDS=1-2100
OG0002980	YMR155W	snap_masked-scaffold_7-processed-gene-5.107-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.107&CDS=1-1875
OG0002981	YMR156C	snap_masked-scaffold_7-processed-gene-5.81-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.81&CDS=1-753
