	Saccharomyces_cerevisiae	yHMPu5000034627_Pichia_heedii
OG0002140	YLR088W	maker-NODE_52_length_73849_cov_13.2809_ID_103-augustus-gene-0.88-mRNA-1_1&gene=maker-NODE_52_length_73849_cov_13.2809_ID_103-augustus-gene-0.88&CDS=1-4152
OG0002141	YLR094C	snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.78&CDS=1-1434
OG0002142	YLR097C	genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-0.122-mRNA-1_1&gene=genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-0.122&CDS=1-1233
OG0002143	YLR100W	genemark-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.112&CDS=1-1068
OG0002144	YLR103C	maker-NODE_24_length_123027_cov_13.1324_ID_47-snap-gene-0.67-mRNA-1_1&gene=maker-NODE_24_length_123027_cov_13.1324_ID_47-snap-gene-0.67&CDS=1-3456
OG0002145	YLR105C	snap_masked-NODE_137_length_6573_cov_15.9113_ID_273-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_137_length_6573_cov_15.9113_ID_273-processed-gene-0.9&CDS=1-882
OG0002146	YLR106C	snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.128-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.128&CDS=1-15942
OG0002147	YLR107W	snap_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.194-mRNA-1_1&gene=snap_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.194&CDS=1-1395
OG0002148	YLR109W	genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.10&CDS=1-549
OG0002149	YLR113W	snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.187-mRNA-1_1&gene=snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.187&CDS=1-1326
OG0002150	YLR114C	snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.139&CDS=1-2457
OG0002151	YLR115W	snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.99&CDS=1-2718
OG0002152	YLR116W	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.31-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.31&CDS=1-1731
OG0002153	YLR117C	snap_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.217-mRNA-1_1&gene=snap_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.217&CDS=1-2334
OG0002154	YLR118C	genemark-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.73&CDS=1-672
OG0002155	YLR126C	genemark-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.31&CDS=1-723
OG0002156	YLR127C	genemark-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.111&CDS=1-1767
OG0002157	YLR128W	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.146&CDS=1-768
OG0002158	YLR129W	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.147-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.147&CDS=1-2730
OG0002159	YLR130C	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.144-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.144&CDS=1-1260
OG0002160	YLR142W	snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.8&CDS=1-1395
OG0002161	YLR143W	snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.28&CDS=1-1887
OG0002162	YLR145W	augustus_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.88&CDS=1-921
OG0002163	YLR147C	snap_masked-NODE_22_length_129666_cov_12.7811_ID_43-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_22_length_129666_cov_12.7811_ID_43-processed-gene-0.49&CDS=1-267
OG0002164	YLR148W	snap_masked-NODE_22_length_129666_cov_12.7811_ID_43-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_22_length_129666_cov_12.7811_ID_43-processed-gene-0.19&CDS=1-2928
OG0002165	YLR149C	genemark-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.30&CDS=1-1722
OG0002166	YLR150W	snap_masked-NODE_41_length_87757_cov_13.3219_ID_81-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_41_length_87757_cov_13.3219_ID_81-processed-gene-0.31&CDS=1-792
OG0002167	YLR166C	snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.64&CDS=1-2730
OG0002168	YLR167W	genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.53&CDS=1-447
OG0002169	YLR170C	snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.101&CDS=1-450
OG0002170	YLR172C	genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.78&CDS=1-909
OG0002171	YLR175W	genemark-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-1.136-mRNA-1_1&gene=genemark-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-1.136&CDS=1-1452
OG0002172	YLR176C	snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.247-mRNA-1_1&gene=snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.247&CDS=1-5277
OG0002173	YLR181C	snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.103&CDS=1-1065
OG0002174	YLR186W	snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.178-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.178&CDS=1-771
OG0002175	YLR187W	snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.102&CDS=1-3165
OG0002176	YLR189C	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-4.115-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-4.115&CDS=1-5949
OG0002177	YLR192C	snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.195-mRNA-1_1&gene=snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.195&CDS=1-834
OG0002178	YLR193C	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.138&CDS=1-549
OG0002179	YLR195C	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-0.14&CDS=1-1374
OG0002180	YLR196W	snap_masked-NODE_29_length_112959_cov_20.5112_ID_57-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_29_length_112959_cov_20.5112_ID_57-processed-gene-0.37&CDS=1-1848
OG0002181	YLR197W	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.170-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.170&CDS=1-1512
OG0002182	YLR200W	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.139&CDS=1-291
OG0002183	YLR201C	snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.172-mRNA-1_1&gene=snap_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.172&CDS=1-753
OG0002184	YLR203C	snap_masked-NODE_104_length_24091_cov_12.9481_ID_207-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_104_length_24091_cov_12.9481_ID_207-processed-gene-0.13&CDS=1-1233
OG0002185	YLR205C	genemark-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.47&CDS=1-873
OG0002186	YLR207W	genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.42-mRNA-1_1&gene=genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.42&CDS=1-2637
OG0002187	YLR209C	genemark-NODE_34_length_97442_cov_12.6926_ID_67-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_34_length_97442_cov_12.6926_ID_67-processed-gene-0.35&CDS=1-942
OG0002188	YLR210W	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-1.15&CDS=1-1434
OG0002189	YLR212C	snap_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.210-mRNA-1_1&gene=snap_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.210&CDS=1-1422
OG0002190	YLR214W	snap_masked-NODE_58_length_64814_cov_12.7505_ID_115-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_58_length_64814_cov_12.7505_ID_115-processed-gene-0.86&CDS=1-2013
OG0002191	YLR215C	genemark-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.20&CDS=1-1101
OG0002192	YLR218C	snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.15&CDS=1-258
OG0002193	YLR222C	snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.214-mRNA-1_1&gene=snap_masked-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.214&CDS=1-2376
OG0002194	YLR223C	snap_masked-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_23_length_123202_cov_12.2863_ID_45-processed-gene-0.139&CDS=1-2526
OG0002195	YLR229C	genemark-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.44&CDS=1-585
OG0002196	YLR234W	snap_masked-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.63&CDS=1-1944
OG0002197	YLR239C	genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.47&CDS=1-810
OG0002198	YLR240W	augustus_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.61&CDS=1-6702
OG0002199	YLR242C	genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.36&CDS=1-927
OG0002200	YLR243W	genemark-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.118&CDS=1-846
OG0002201	YLR244C	maker-NODE_36_length_95723_cov_17.5303_ID_71-snap-gene-0.55-mRNA-1_1&gene=maker-NODE_36_length_95723_cov_17.5303_ID_71-snap-gene-0.55&CDS=1-2898
OG0002202	YLR245C	augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.59&CDS=1-456
OG0002203	YLR247C	snap_masked-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.69&CDS=1-4821
OG0002204	YLR250W	snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.135-mRNA-1_1&gene=snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.135&CDS=1-690
OG0002205	YLR251W	maker-NODE_12_length_182624_cov_13.0032_ID_23-snap-gene-0.79-mRNA-1_1&gene=maker-NODE_12_length_182624_cov_13.0032_ID_23-snap-gene-0.79&CDS=1-549
OG0002206	YLR253W	snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.243-mRNA-1_1&gene=snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.243&CDS=1-1818
OG0002207	YLR259C	genemark-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.113&CDS=1-1710
OG0002208	YLR262C	genemark-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.59&CDS=1-762
OG0002209	YLR268W	genemark-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.70&CDS=1-663
OG0002210	YLR272C	snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.101&CDS=1-3465
OG0002211	YLR274W	snap_masked-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_75_length_41690_cov_14.1787_ID_149-processed-gene-0.46&CDS=1-2181
OG0002212	YLR277C	snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.206-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.206&CDS=1-2421
OG0002213	YLR278C	genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.112&CDS=1-3861
OG0002214	YLR281C	genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.66-mRNA-1_1&gene=genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.66&CDS=1-507
OG0002215	YLR283W	augustus_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.113&CDS=1-1197
OG0002216	YLR285W	genemark-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.36&CDS=1-807
OG0002217	YLR286C	genemark-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_47_length_83722_cov_15.1668_ID_93-processed-gene-0.118&CDS=1-1626
OG0002218	YLR287C	snap_masked-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.27&CDS=1-1086
OG0002219	YLR289W	maker-NODE_20_length_137300_cov_13.1447_ID_39-snap-gene-0.131-mRNA-1_1&gene=maker-NODE_20_length_137300_cov_13.1447_ID_39-snap-gene-0.131&CDS=1-2358
OG0002220	YLR290C	snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.66&CDS=1-708
OG0002221	YLR291C	snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_28_length_112988_cov_13.2826_ID_55-processed-gene-0.133&CDS=1-1215
OG0002222	YLR295C	genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.23&CDS=1-321
OG0002223	YLR298C	snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.146&CDS=1-297
OG0002224	YLR299W	genemark-NODE_93_length_32082_cov_12.2905_ID_185-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_93_length_32082_cov_12.2905_ID_185-processed-gene-0.4&CDS=1-1848
OG0002225	YLR303W	snap_masked-NODE_101_length_26911_cov_12.523_ID_201-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_101_length_26911_cov_12.523_ID_201-processed-gene-0.6&CDS=1-1335
OG0002226	YLR305C	genemark-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.23&CDS=1-5649
OG0002227	YLR306W	genemark-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.31&CDS=1-627
OG0002228	YLR308W	snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-0.9&CDS=1-969
OG0002229	YLR309C	snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.9&CDS=1-3273
OG0002230	YLR312W-A	augustus_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-0.90&CDS=1-684
OG0002231	YLR314C	snap_masked-NODE_94_length_32069_cov_18.0477_ID_187-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_94_length_32069_cov_18.0477_ID_187-processed-gene-0.16&CDS=1-1407
OG0002232	YLR316C	snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.138&CDS=1-1566
OG0002233	YLR318W	snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.165&CDS=1-2529
OG0002234	YLR319C	snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.137&CDS=1-2214
OG0002235	YLR321C	genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_62_length_52835_cov_14.8787_ID_123-processed-gene-0.37&CDS=1-1410
OG0002236	YLR323C	genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.76-mRNA-1_1&gene=genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.76&CDS=1-600
OG0002237	YLR325C	genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.59-mRNA-1_1&gene=genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-3.59&CDS=1-234
OG0002238	YLR326W	snap_masked-NODE_101_length_26911_cov_12.523_ID_201-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_101_length_26911_cov_12.523_ID_201-processed-gene-0.5&CDS=1-738
OG0002239	YLR330W	augustus_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.2&CDS=1-1569
OG0002240	YLR336C	augustus_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-0.66&CDS=1-3597
OG0002241	YLR337C	genemark-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.105&CDS=1-2676
OG0002242	YLR340W	maker-NODE_2_length_325125_cov_15.1005_ID_3-snap-gene-0.80-mRNA-1_1&gene=maker-NODE_2_length_325125_cov_15.1005_ID_3-snap-gene-0.80&CDS=1-1206
OG0002243	YLR345W	snap_masked-NODE_105_length_24070_cov_26.0973_ID_209-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_105_length_24070_cov_26.0973_ID_209-processed-gene-0.19&CDS=1-1590
OG0002244	YLR347C	snap_masked-NODE_46_length_84629_cov_16.2648_ID_91-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_46_length_84629_cov_16.2648_ID_91-processed-gene-0.16&CDS=1-2607
OG0002245	YLR351C	genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.48-mRNA-1_1&gene=genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.48&CDS=1-882
OG0002246	YLR352W	genemark-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-1.81-mRNA-1_1&gene=genemark-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-1.81&CDS=1-1932
OG0002247	YLR354C	snap_masked-NODE_40_length_90330_cov_13.8745_ID_79-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_40_length_90330_cov_13.8745_ID_79-processed-gene-0.41&CDS=1-969
OG0002248	YLR355C	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-5.25&CDS=1-1185
OG0002249	YLR359W	snap_masked-NODE_57_length_64917_cov_15.6688_ID_113-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_57_length_64917_cov_15.6688_ID_113-processed-gene-0.3&CDS=1-1446
OG0002250	YLR361C	snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.0&CDS=1-1728
OG0002251	YLR363C	snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.8&CDS=1-1494
OG0002252	YLR370C	augustus_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_24_length_123027_cov_13.1324_ID_47-processed-gene-0.106&CDS=1-528
OG0002253	YLR372W	snap_masked-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.154-mRNA-1_1&gene=snap_masked-NODE_27_length_119768_cov_18.951_ID_53-processed-gene-0.154&CDS=1-1014
OG0002254	YLR377C	snap_masked-NODE_72_length_42103_cov_11.9416_ID_143-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_72_length_42103_cov_11.9416_ID_143-processed-gene-0.16&CDS=1-1017
OG0002255	YLR378C	snap_masked-NODE_72_length_42103_cov_11.9416_ID_143-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_72_length_42103_cov_11.9416_ID_143-processed-gene-0.15&CDS=1-1434
OG0002256	YLR380W	snap_masked-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_55_length_67186_cov_14.0589_ID_109-processed-gene-0.88&CDS=1-1281
OG0002257	YLR383W	snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.53&CDS=1-4923
OG0002258	YLR384C	snap_masked-NODE_81_length_39527_cov_13.9207_ID_161-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_81_length_39527_cov_13.9207_ID_161-processed-gene-0.2&CDS=1-4047
OG0002259	YLR386W	maker-NODE_2_length_325125_cov_15.1005_ID_3-snap-gene-2.155-mRNA-1_1&gene=maker-NODE_2_length_325125_cov_15.1005_ID_3-snap-gene-2.155&CDS=1-2907
OG0002260	YLR389C	snap_masked-NODE_71_length_45071_cov_23.0535_ID_141-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_71_length_45071_cov_23.0535_ID_141-processed-gene-0.7&CDS=1-3285
OG0002261	YLR390W-A	snap_masked-NODE_105_length_24070_cov_26.0973_ID_209-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_105_length_24070_cov_26.0973_ID_209-processed-gene-0.23&CDS=1-615
OG0002262	YLR393W	genemark-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.71&CDS=1-921
OG0002263	YLR395C	snap_masked-NODE_115_length_16855_cov_13.0597_ID_229-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_115_length_16855_cov_13.0597_ID_229-processed-gene-0.19&CDS=1-246
OG0002264	YLR396C	snap_masked-NODE_115_length_16855_cov_13.0597_ID_229-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_115_length_16855_cov_13.0597_ID_229-processed-gene-0.20&CDS=1-2142
