	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
OG0002175	maker-scaffold_41-snap-gene-0.8-mRNA-1_1&gene=maker-scaffold_41-snap-gene-0.8&CDS=1-1185	YPL204W
OG0002176	augustus_masked-scaffold_41-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_41-processed-gene-0.16&CDS=1-780	YPL199C
OG0002177	snap_masked-scaffold_41-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scaffold_41-processed-gene-0.3&CDS=1-2322	YGL073W
OG0002178	augustus_masked-scaffold_410-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_410-processed-gene-0.0&CDS=1-1521	YJR137C
OG0002179	augustus_masked-scaffold_411-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_411-processed-gene-0.0&CDS=1-2133	YDL126C
OG0002180	augustus_masked-scaffold_414-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_414-processed-gene-0.1&CDS=1-2610	YOR304W
OG0002181	genemark-scaffold_419-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_419-processed-gene-0.4&CDS=1-381	YOL133W
OG0002182	genemark-scaffold_419-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_419-processed-gene-0.5&CDS=1-981	YNL316C
OG0002183	augustus_masked-scaffold_42-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_42-processed-gene-0.34&CDS=1-1728	YML123C
OG0002184	genemark-scaffold_42-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_42-processed-gene-0.16&CDS=1-2742	YMR266W
OG0002185	genemark-scaffold_42-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_42-processed-gene-0.24&CDS=1-1356	YML085C
OG0002186	genemark-scaffold_42-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_42-processed-gene-0.17&CDS=1-1401	YML126C
OG0002187	genemark-scaffold_42-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_42-processed-gene-0.18&CDS=1-2808	YML091C
OG0002188	genemark-scaffold_42-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_42-processed-gene-0.25&CDS=1-2001	YML127W
OG0002189	genemark-scaffold_42-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_42-processed-gene-0.19&CDS=1-1857	YML128C
OG0002190	genemark-scaffold_421-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_421-processed-gene-0.1&CDS=1-1314	YGL241W
OG0002191	genemark-scaffold_421-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_421-processed-gene-0.0&CDS=1-297	YGL237C
OG0002192	augustus_masked-scaffold_422-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_422-processed-gene-0.3&CDS=1-351	YJR002W
OG0002193	genemark-scaffold_422-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_422-processed-gene-0.1&CDS=1-2112	YLR002C
OG0002194	genemark-scaffold_423-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_423-processed-gene-0.3&CDS=1-957	YKL040C
OG0002195	genemark-scaffold_424-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_424-processed-gene-0.8&CDS=1-1047	YGL100W
OG0002196	maker-scaffold_426-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_426-snap-gene-0.1&CDS=1-1662	YDL159W
OG0002197	genemark-scaffold_43-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_43-processed-gene-0.30&CDS=1-897	YNL265C
OG0002198	genemark-scaffold_43-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_43-processed-gene-0.36&CDS=1-1200	YGR046W
OG0002199	genemark-scaffold_43-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_43-processed-gene-0.37&CDS=1-3318	YNL267W
OG0002200	genemark-scaffold_43-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_43-processed-gene-0.31&CDS=1-750	YAL049C
OG0002201	genemark-scaffold_43-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_43-processed-gene-0.33&CDS=1-5538	YNL271C
OG0002202	genemark-scaffold_43-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_43-processed-gene-0.38&CDS=1-1545	YGR255C
OG0002203	augustus_masked-scaffold_43-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scaffold_43-processed-gene-0.22&CDS=1-228	YNL259C
OG0002204	augustus_masked-scaffold_43-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_43-processed-gene-0.23&CDS=1-1416	YOR154W
OG0002205	genemark-scaffold_435-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_435-processed-gene-0.4&CDS=1-903	YGL250W
OG0002206	genemark-scaffold_44-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_44-processed-gene-0.28&CDS=1-1548	YDL001W
OG0002207	genemark-scaffold_44-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_44-processed-gene-0.37&CDS=1-1614	YDR005C
OG0002208	genemark-scaffold_446-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_446-processed-gene-0.3&CDS=1-315	YDR424C
OG0002209	maker-scaffold_448-augustus-gene-0.0-mRNA-1_1&gene=maker-scaffold_448-augustus-gene-0.0&CDS=1-2073	YLR274W
OG0002210	genemark-scaffold_449-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_449-processed-gene-0.0&CDS=1-756	YDR159W
OG0002211	genemark-scaffold_449-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_449-processed-gene-0.1&CDS=1-1038	YLR137W
OG0002212	genemark-scaffold_45-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_45-processed-gene-0.16&CDS=1-993	YKL019W
OG0002213	genemark-scaffold_45-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_45-processed-gene-0.18&CDS=1-1299	YKL021C
OG0002214	genemark-scaffold_45-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_45-processed-gene-0.25&CDS=1-1119	YIR034C
OG0002215	genemark-scaffold_45-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_45-processed-gene-0.19&CDS=1-2265	YKL022C
OG0002216	genemark-scaffold_45-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_45-processed-gene-0.27&CDS=1-585	YKL024C
OG0002217	genemark-scaffold_45-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_45-processed-gene-0.20&CDS=1-2037	YKL025C
OG0002218	maker-scaffold_450-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_450-snap-gene-0.0&CDS=1-2238	YLR106C
OG0002219	genemark-scaffold_452-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_452-processed-gene-0.1&CDS=1-1140	YFR032C
OG0002220	genemark-scaffold_455-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_455-processed-gene-0.2&CDS=1-1347	YBL091C
OG0002221	augustus_masked-scaffold_457-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_457-processed-gene-0.1&CDS=1-1164	YGR159C
OG0002222	maker-scaffold_459-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_459-snap-gene-0.1&CDS=1-2208	YLR305C
OG0002223	genemark-scaffold_46-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.11&CDS=1-555	YIR022W
OG0002224	genemark-scaffold_46-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.12&CDS=1-522	YKL013C
OG0002225	genemark-scaffold_46-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.13&CDS=1-3156	YIR023W
OG0002226	genemark-scaffold_46-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.14&CDS=1-5079	YKL014C
OG0002227	genemark-scaffold_46-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.20&CDS=1-2928	YKL015W
OG0002228	genemark-scaffold_46-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.15&CDS=1-540	YKL016C
OG0002229	genemark-scaffold_46-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.16&CDS=1-2130	YKL017C
OG0002230	genemark-scaffold_46-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.21&CDS=1-1095	YKL018W
OG0002231	augustus_masked-scaffold_460-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_460-processed-gene-0.1&CDS=1-2325	YGL238W
OG0002232	genemark-scaffold_461-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_461-processed-gene-0.4&CDS=1-1509	YFL022C
OG0002233	augustus_masked-scaffold_465-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_465-processed-gene-0.3&CDS=1-1944	YLR384C
OG0002234	augustus_masked-scaffold_466-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_466-processed-gene-0.2&CDS=1-1683	YDR091C
OG0002235	augustus_masked-scaffold_467-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_467-processed-gene-0.3&CDS=1-1881	YFL002C
OG0002236	augustus_masked-scaffold_47-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_47-processed-gene-0.9&CDS=1-1311	YBR143C
OG0002237	maker-scaffold_47-snap-gene-0.20-mRNA-1_1&gene=maker-scaffold_47-snap-gene-0.20&CDS=1-1608	YDR402C
OG0002238	genemark-scaffold_47-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_47-processed-gene-0.7&CDS=1-2364	YBR142W
OG0002239	snap_masked-scaffold_47-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scaffold_47-processed-gene-0.27&CDS=1-2568	YJL154C
OG0002240	genemark-scaffold_47-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_47-processed-gene-0.2&CDS=1-1368	YJL155C
OG0002241	genemark-scaffold_47-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_47-processed-gene-0.3&CDS=1-2157	YJL156C
OG0002242	genemark-scaffold_47-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_47-processed-gene-0.8&CDS=1-2259	YML088W
OG0002243	augustus_masked-scaffold_47-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_47-processed-gene-0.16&CDS=1-2844	YJL149W
OG0002244	snap_masked-scaffold_474-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_474-processed-gene-0.2&CDS=1-1848	YLR429W
OG0002245	genemark-scaffold_477-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_477-processed-gene-0.2&CDS=1-1155	YOR287C
OG0002246	augustus_masked-scaffold_479-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_479-processed-gene-0.2&CDS=1-795	YLL041C
OG0002247	genemark-scaffold_479-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_479-processed-gene-0.5&CDS=1-663	YHL031C
OG0002248	genemark-scaffold_48-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.11&CDS=1-2526	YOR141C
OG0002249	genemark-scaffold_48-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.12&CDS=1-978	YOR142W
OG0002250	genemark-scaffold_48-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.17&CDS=1-1032	YOR143C
OG0002251	genemark-scaffold_48-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.13&CDS=1-1077	YDR392W
OG0002252	genemark-scaffold_48-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.18&CDS=1-2538	YOR144C
OG0002253	genemark-scaffold_48-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.19&CDS=1-777	YOR145C
OG0002254	genemark-scaffold_48-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.20&CDS=1-1332	YIL033C
OG0002255	genemark-scaffold_48-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.15&CDS=1-2586	YBL008W
OG0002256	genemark-scaffold_48-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.16&CDS=1-2316	YGL009C
OG0002257	genemark-scaffold_48-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_48-processed-gene-0.21&CDS=1-3516	YBL007C
OG0002258	genemark-scaffold_481-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_481-processed-gene-0.2&CDS=1-2286	YHR186C
OG0002259	augustus_masked-scaffold_482-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_482-processed-gene-0.0&CDS=1-2037	YLR084C
OG0002260	genemark-scaffold_483-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_483-processed-gene-0.2&CDS=1-1410	YGL184C
OG0002261	genemark-scaffold_484-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_484-processed-gene-0.1&CDS=1-429	YJL104W
OG0002262	genemark-scaffold_486-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_486-processed-gene-0.0&CDS=1-1515	YBR006W
OG0002263	snap_masked-scaffold_487-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_487-processed-gene-0.4&CDS=1-987	YJR098C
OG0002264	maker-scaffold_49-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_49-snap-gene-0.0&CDS=1-2349	YNL021W
OG0002265	genemark-scaffold_49-processed-gene-0.22-mRNA-1_1&gene=genemark-scaffold_49-processed-gene-0.22&CDS=1-1827	YNL020C
OG0002266	maker-scaffold_49-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_49-snap-gene-0.1&CDS=1-2952	YNL039W
OG0002267	genemark-scaffold_49-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_49-processed-gene-0.17&CDS=1-975	YIL096C
OG0002268	genemark-scaffold_49-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_49-processed-gene-0.18&CDS=1-993	YHR076W
OG0002269	genemark-scaffold_49-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_49-processed-gene-0.24&CDS=1-1293	YIL088C
OG0002270	genemark-scaffold_49-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_49-processed-gene-0.20&CDS=1-870	YNL032W
OG0002271	genemark-scaffold_49-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_49-processed-gene-0.28&CDS=1-1287	YIL084C
OG0002272	augustus_masked-scaffold_490-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_490-processed-gene-0.1&CDS=1-183	YFR032C-A
OG0002273	genemark-scaffold_493-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_493-processed-gene-0.2&CDS=1-408	YGR074W
OG0002274	genemark-scaffold_496-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_496-processed-gene-0.3&CDS=1-378	YDR115W
OG0002275	genemark-scaffold_498-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_498-processed-gene-0.1&CDS=1-777	YHR058C
OG0002276	genemark-scaffold_498-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_498-processed-gene-0.0&CDS=1-462	YHR059W
OG0002277	genemark-scaffold_498-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_498-processed-gene-0.2&CDS=1-327	YDR305C
OG0002278	augustus_masked-scaffold_5-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.7&CDS=1-789	YLL027W
OG0002279	snap_masked-scaffold_5-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.20&CDS=1-1197	YHL027W
OG0002280	maker-scaffold_5-snap-gene-1.62-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.62&CDS=1-2115	YFR001W
OG0002281	maker-scaffold_5-augustus-gene-1.1-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.1&CDS=1-1065	YFL005W
OG0002282	maker-scaffold_5-snap-gene-1.64-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.64&CDS=1-5583	YOR341W
OG0002283	augustus_masked-scaffold_5-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.23&CDS=1-2379	YOR336W
OG0002284	augustus_masked-scaffold_5-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.27&CDS=1-3348	YPL160W
OG0002285	augustus_masked-scaffold_5-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.28&CDS=1-1062	YOR246C
OG0002286	augustus_masked-scaffold_5-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.12&CDS=1-1851	YPL161C
OG0002287	augustus_masked-scaffold_5-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.13&CDS=1-1065	YPL162C
OG0002288	snap_masked-scaffold_5-processed-gene-1.46-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.46&CDS=1-1371	YPL146C
OG0002289	snap_masked-scaffold_5-processed-gene-1.59-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.59&CDS=1-558	YOR252W
OG0002290	augustus_masked-scaffold_5-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.30&CDS=1-4428	YPL167C
OG0002291	augustus_masked-scaffold_5-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.16&CDS=1-936	YOR251C
OG0002292	augustus_masked-scaffold_5-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.19&CDS=1-2250	YPL164C
OG0002293	augustus_masked-scaffold_5-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.51&CDS=1-1887	YOR250C
OG0002294	augustus_masked-scaffold_5-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.53&CDS=1-648	YOR236W
OG0002295	snap_masked-scaffold_5-processed-gene-2.6-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.6&CDS=1-705	YOR232W
OG0002296	augustus_masked-scaffold_5-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.56&CDS=1-1713	YPL157W
OG0002297	snap_masked-scaffold_5-processed-gene-2.19-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.19&CDS=1-1341	YPL154C
OG0002298	maker-scaffold_5-snap-gene-2.39-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.39&CDS=1-1101	YOR245C
OG0002299	augustus_masked-scaffold_5-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.58&CDS=1-1125	YPL152W
OG0002300	augustus_masked-scaffold_5-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.73&CDS=1-1341	YOR244W
OG0002301	augustus_masked-scaffold_5-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.59&CDS=1-2073	YOR243C
OG0002302	augustus_masked-scaffold_5-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.60&CDS=1-3450	YOR207C
OG0002303	snap_masked-scaffold_5-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.11&CDS=1-1503	YPL063W
OG0002304	augustus_masked-scaffold_5-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.62&CDS=1-750	YBR201W
OG0002305	augustus_masked-scaffold_5-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.77&CDS=1-1608	YPL061W
OG0002306	augustus_masked-scaffold_5-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.78&CDS=1-3270	YBR203W
OG0002307	augustus_masked-scaffold_5-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.63&CDS=1-4095	YPL110C
OG0002308	augustus_masked-scaffold_5-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.79&CDS=1-990	YPL111W
OG0002309	snap_masked-scaffold_5-processed-gene-2.30-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.30&CDS=1-726	YPL065W
OG0002310	maker-scaffold_5-snap-gene-2.47-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.47&CDS=1-1608	YPL066W
OG0002311	snap_masked-scaffold_5-processed-gene-2.32-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.32&CDS=1-2805	YBR202W
OG0002312	augustus_masked-scaffold_5-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.83&CDS=1-702	YDR013W
OG0002313	augustus_masked-scaffold_5-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.66&CDS=1-3177	YBR207W
OG0002314	maker-scaffold_5-augustus-gene-2.88-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.88&CDS=1-6438	YBR208C
OG0002315	augustus_masked-scaffold_5-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.67&CDS=1-411	YPL059W
OG0002316	augustus_masked-scaffold_5-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.85&CDS=1-1572	YBR162C
OG0002317	augustus_masked-scaffold_5-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.68&CDS=1-210	YBR162W-A
OG0002318	snap_masked-scaffold_5-processed-gene-2.17-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.17&CDS=1-1995	YPL120W
OG0002319	augustus_masked-scaffold_5-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.47&CDS=1-1380	YPL123C
OG0002320	maker-scaffold_5-snap-gene-3.40-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.40&CDS=1-4527	YPL125W
OG0002321	snap_masked-scaffold_5-processed-gene-3.1-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.1&CDS=1-1314	YOR209C
OG0002322	augustus_masked-scaffold_5-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.51&CDS=1-2847	YPL126W
OG0002323	snap_masked-scaffold_5-processed-gene-3.3-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.3&CDS=1-228	YOR210W
OG0002324	augustus_masked-scaffold_5-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.69&CDS=1-2745	YOR211C
OG0002325	augustus_masked-scaffold_5-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.54&CDS=1-2886	YPL128C
OG0002326	augustus_masked-scaffold_5-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.55&CDS=1-1335	YOR212W
OG0002327	maker-scaffold_5-augustus-gene-3.88-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.88&CDS=1-2475	YPL129W
OG0002328	augustus_masked-scaffold_5-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.72&CDS=1-1464	YOR216C
OG0002329	snap_masked-scaffold_5-processed-gene-3.6-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.6&CDS=1-2550	YOR217W
OG0002330	augustus_masked-scaffold_5-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.73&CDS=1-2826	YOR219C
OG0002331	snap_masked-scaffold_5-processed-gene-3.26-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.26&CDS=1-891	YPL131W
OG0002332	augustus_masked-scaffold_5-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.75&CDS=1-813	YPL132W
OG0002333	maker-scaffold_5-snap-gene-3.36-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.36&CDS=1-1554	YPL133C
OG0002334	augustus_masked-scaffold_5-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.76&CDS=1-990	YOR221C
OG0002335	augustus_masked-scaffold_5-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.78&CDS=1-453	YOR224C
OG0002336	snap_masked-scaffold_5-processed-gene-3.9-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.9&CDS=1-240	YPL135C-A
OG0002337	maker-scaffold_5-snap-gene-3.39-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.39&CDS=1-1341	YMR220W
OG0002338	augustus_masked-scaffold_5-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.80&CDS=1-723	YOR279C
OG0002339	augustus_masked-scaffold_5-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.81&CDS=1-3078	YKL210W
OG0002340	augustus_masked-scaffold_5-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.63&CDS=1-561	YJR074W
OG0002341	snap_masked-scaffold_5-processed-gene-3.15-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.15&CDS=1-1212	YJR075W
OG0002342	augustus_masked-scaffold_5-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.65&CDS=1-1752	YHL039W
OG0002343	augustus_masked-scaffold_5-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.84&CDS=1-429	YLL050C
OG0002344	augustus_masked-scaffold_5-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.66&CDS=1-3342	YMR218C
OG0002345	snap_masked-scaffold_5-processed-gene-3.34-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.34&CDS=1-753	YOR278W
OG0002346	snap_masked-scaffold_5-processed-gene-3.35-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.35&CDS=1-1572	YMR217W
OG0002347	snap_masked-scaffold_5-processed-gene-3.19-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.19&CDS=1-2046	YMR216C
OG0002348	augustus_masked-scaffold_5-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.7&CDS=1-1167	YMR214W
OG0002349	snap_masked-scaffold_5-processed-gene-4.75-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.75&CDS=1-1584	YMR211W
OG0002350	augustus_masked-scaffold_5-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.3&CDS=1-1338	YOR274W
OG0002351	augustus_masked-scaffold_5-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.8&CDS=1-2655	YMR212C
OG0002352	augustus_masked-scaffold_5-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.4&CDS=1-1269	YMR213W
OG0002353	snap_masked-scaffold_5-processed-gene-4.76-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.76&CDS=1-468	YOR276W
OG0002354	augustus_masked-scaffold_5-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.9&CDS=1-1209	YMR209C
