	Saccharomyces_cerevisiae	Spathaspora_passalidarum
OG0002967	YOL040C	maker-scaffold_5-augustus-gene-10.136-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.136&CDS=1-426
OG0002968	YOL041C	augustus_masked-scaffold_3-processed-gene-15.42-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.42&CDS=1-3840
OG0002969	YOL049W	augustus_masked-scaffold_2-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.20&CDS=1-1467
OG0002970	YOL051W	augustus_masked-scaffold_6-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.29&CDS=1-3243
OG0002971	YOL052C	augustus_masked-scaffold_4-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.60&CDS=1-1263
OG0002972	YOL057W	maker-scaffold_7-augustus-gene-7.0-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-7.0&CDS=1-4227
OG0002973	YOL058W	augustus_masked-scaffold_2-processed-gene-19.54-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.54&CDS=1-1248
OG0002974	YOL060C	augustus_masked-scaffold_5-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.4&CDS=1-2268
OG0002975	YOL061W	augustus_masked-scaffold_3-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.16&CDS=1-1281
OG0002976	YOL062C	augustus_masked-scaffold_3-processed-gene-10.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.17&CDS=1-3303
OG0002977	YOL064C	augustus_masked-scaffold_7-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.64&CDS=1-1053
OG0002978	YOL065C	augustus_masked-scaffold_4-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.11&CDS=1-1314
OG0002979	YOL066C	augustus_masked-scaffold_4-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.28&CDS=1-1725
OG0002980	YOL067C	augustus_masked-scaffold_4-processed-gene-12.65-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.65&CDS=1-831
OG0002981	YOL069W	augustus_masked-scaffold_4-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.55&CDS=1-1458
OG0002982	YOL070C	augustus_masked-scaffold_4-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.81&CDS=1-1260
OG0002983	YOL071W	augustus_masked-scaffold_4-processed-gene-12.63-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.63&CDS=1-447
OG0002984	YOL072W	snap_masked-scaffold_6-processed-gene-8.69-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.69&CDS=1-1272
OG0002985	YOL073C	augustus_masked-scaffold_5-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.39&CDS=1-1017
OG0002986	YOL075C	genemark-scaffold_1-processed-gene-4.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.86&CDS=1-4914
OG0002987	YOL076W	augustus_masked-scaffold_1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.31&CDS=1-2391
OG0002988	YOL077C	augustus_masked-scaffold_4-processed-gene-14.15-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.15&CDS=1-864
OG0002989	YOL077W-A	augustus_masked-scaffold_4-processed-gene-14.14-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.14&CDS=1-207
OG0002990	YOL078W	snap_masked-scaffold_4-processed-gene-14.52-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-14.52&CDS=1-2508
OG0002991	YOL080C	snap_masked-scaffold_4-processed-gene-14.51-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-14.51&CDS=1-819
OG0002992	YOL086W-A	augustus_masked-scaffold_4-processed-gene-14.40-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.40&CDS=1-321
OG0002993	YOL090W	augustus_masked-scaffold_1-processed-gene-25.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.52&CDS=1-2973
OG0002994	YOL093W	augustus_masked-scaffold_3-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.50&CDS=1-942
OG0002995	YOL094C	augustus_masked-scaffold_2-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.28&CDS=1-972
OG0002996	YOL095C	augustus_masked-scaffold_2-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.27&CDS=1-2454
OG0002997	YOL096C	augustus_masked-scaffold_7-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.104&CDS=1-966
OG0002998	YOL097C	maker-scaffold_4-augustus-gene-14.93-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-14.93&CDS=1-1695
OG0002999	YOL098C	augustus_masked-scaffold_8-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.16&CDS=1-3180
OG0003000	YOL102C	augustus_masked-scaffold_5-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.90&CDS=1-627
OG0003001	YOL107W	augustus_masked-scaffold_1-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.28&CDS=1-1008
OG0003002	YOL111C	augustus_masked-scaffold_4-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.31&CDS=1-702
OG0003003	YOL114C	augustus_masked-scaffold_1-processed-gene-15.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.28&CDS=1-2907
OG0003004	YOL122C	augustus_masked-scaffold_3-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.67&CDS=1-1572
OG0003005	YOL123W	augustus_masked-scaffold_5-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.38&CDS=1-1611
OG0003006	YOL124C	augustus_masked-scaffold_5-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.22&CDS=1-1311
OG0003007	YOL125W	augustus_masked-scaffold_2-processed-gene-18.82-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.82&CDS=1-1254
OG0003008	YOL127W	maker-scaffold_7-snap-gene-3.89-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.89&CDS=1-1074
OG0003009	YOL129W	augustus_masked-scaffold_7-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.54&CDS=1-531
OG0003010	YOL132W	augustus_masked-scaffold_6-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.100&CDS=1-1536
OG0003011	YOL133W	augustus_masked-scaffold_5-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.18&CDS=1-351
OG0003012	YOL135C	augustus_masked-scaffold_5-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.31&CDS=1-702
OG0003013	YOL136C	augustus_masked-scaffold_1-processed-gene-13.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.39&CDS=1-1089
OG0003014	YOL137W	snap_masked-scaffold_2-processed-gene-19.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.40&CDS=1-1536
OG0003015	YOL138C	snap_masked-scaffold_2-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.92&CDS=1-2898
OG0003016	YOL139C	augustus_masked-scaffold_2-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.46&CDS=1-627
OG0003017	YOL140W	maker-scaffold_1-augustus-gene-22.5-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-22.5&CDS=1-2640
OG0003018	YOL141W	augustus_masked-scaffold_1-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.129&CDS=1-2031
OG0003019	YOL142W	augustus_masked-scaffold_1-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.128&CDS=1-771
OG0003020	YOL143C	maker-scaffold_1-augustus-gene-15.88-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-15.88&CDS=1-492
OG0003021	YOL144W	augustus_masked-scaffold_7-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.79&CDS=1-1563
OG0003022	YOL145C	augustus_masked-scaffold_8-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.72&CDS=1-3453
OG0003023	YOL146W	augustus_masked-scaffold_8-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.55&CDS=1-525
OG0003024	YOL147C	augustus_masked-scaffold_7-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.80&CDS=1-2229
OG0003025	YOL148C	augustus_masked-scaffold_1-processed-gene-15.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.11&CDS=1-2190
OG0003026	YOL149W	augustus_masked-scaffold_1-processed-gene-15.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.10&CDS=1-537
OG0003027	YOL152W	augustus_masked-scaffold_8-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.31&CDS=1-1833
OG0003028	YOR001W	augustus_masked-scaffold_1-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.15&CDS=1-2265
OG0003029	YOR002W	augustus_masked-scaffold_2-processed-gene-10.13-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.13&CDS=1-2508
OG0003030	YOR004W	augustus_masked-scaffold_2-processed-gene-16.85-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.85&CDS=1-813
OG0003031	YOR005C	augustus_masked-scaffold_3-processed-gene-16.54-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.54&CDS=1-2844
OG0003032	YOR007C	maker-scaffold_3-snap-gene-16.1-mRNA-1_1&gene=maker-scaffold_3-snap-gene-16.1&CDS=1-1278
OG0003033	YOR014W	maker-scaffold_3-snap-gene-9.6-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.6&CDS=1-3855
OG0003034	YOR017W	maker-scaffold_1-augustus-gene-13.100-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-13.100&CDS=1-2139
OG0003035	YOR018W	augustus_masked-scaffold_3-processed-gene-12.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.16&CDS=1-2244
OG0003036	YOR021C	augustus_masked-scaffold_3-processed-gene-16.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.63&CDS=1-618
OG0003037	YOR022C	augustus_masked-scaffold_3-processed-gene-16.74-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.74&CDS=1-2271
OG0003038	YOR023C	augustus_masked-scaffold_2-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.62&CDS=1-1437
OG0003039	YOR025W	augustus_masked-scaffold_4-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.68&CDS=1-1401
OG0003040	YOR027W	augustus_masked-scaffold_4-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.33&CDS=1-1770
OG0003041	YOR032C	augustus_masked-scaffold_4-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.46&CDS=1-1407
OG0003042	YOR035C	augustus_masked-scaffold_3-processed-gene-17.76-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.76&CDS=1-2325
OG0003043	YOR036W	augustus_masked-scaffold_5-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.86&CDS=1-879
OG0003044	YOR037W	augustus_masked-scaffold_4-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.81&CDS=1-1482
OG0003045	YOR038C	augustus_masked-scaffold_4-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.100&CDS=1-2739
OG0003046	YOR039W	augustus_masked-scaffold_4-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.82&CDS=1-726
OG0003047	YOR042W	augustus_masked-scaffold_1-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.21&CDS=1-1050
OG0003048	YOR043W	augustus_masked-scaffold_8-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.130&CDS=1-1101
OG0003049	YOR045W	genemark-scaffold_5-processed-gene-6.67-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.67&CDS=1-153
OG0003050	YOR046C	augustus_masked-scaffold_5-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.10&CDS=1-1482
OG0003051	YOR048C	augustus_masked-scaffold_6-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.100&CDS=1-8373
OG0003052	YOR051C	augustus_masked-scaffold_3-processed-gene-15.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.34&CDS=1-1254
OG0003053	YOR052C	augustus_masked-scaffold_3-processed-gene-15.54-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.54&CDS=1-519
OG0003054	YOR056C	augustus_masked-scaffold_5-processed-gene-12.46-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.46&CDS=1-1428
OG0003055	YOR057W	augustus_masked-scaffold_3-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.34&CDS=1-1077
OG0003056	YOR060C	maker-scaffold_3-snap-gene-14.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-14.0&CDS=1-915
OG0003057	YOR061W	augustus_masked-scaffold_3-processed-gene-14.44-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.44&CDS=1-981
OG0003058	YOR063W	augustus_masked-scaffold_3-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.16&CDS=1-1167
OG0003059	YOR065W	snap_masked-scaffold_3-processed-gene-14.84-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.84&CDS=1-855
OG0003060	YOR067C	augustus_masked-scaffold_5-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.23&CDS=1-1740
OG0003061	YOR069W	augustus_masked-scaffold_1-processed-gene-25.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.1&CDS=1-2085
OG0003062	YOR070C	maker-scaffold_1-augustus-gene-21.3-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-21.3&CDS=1-3036
OG0003063	YOR073W	augustus_masked-scaffold_3-processed-gene-13.26-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.26&CDS=1-1410
OG0003064	YOR074C	augustus_masked-scaffold_3-processed-gene-13.45-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.45&CDS=1-921
OG0003065	YOR075W	augustus_masked-scaffold_8-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.39&CDS=1-978
OG0003066	YOR077W	augustus_masked-scaffold_1-processed-gene-21.130-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.130&CDS=1-687
OG0003067	YOR084W	augustus_masked-scaffold_2-processed-gene-15.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.84&CDS=1-1182
OG0003068	YOR087W	augustus_masked-scaffold_3-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.80&CDS=1-1998
OG0003069	YOR089C	augustus_masked-scaffold_2-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.79&CDS=1-651
OG0003070	YOR090C	augustus_masked-scaffold_2-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.66&CDS=1-1734
OG0003071	YOR091W	augustus_masked-scaffold_5-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.99&CDS=1-1140
OG0003072	YOR093C	augustus_masked-scaffold_7-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.131&CDS=1-4773
OG0003073	YOR095C	augustus_masked-scaffold_5-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.97&CDS=1-702
OG0003074	YOR100C	augustus_masked-scaffold_2-processed-gene-16.90-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.90&CDS=1-882
OG0003075	YOR101W	augustus_masked-scaffold_3-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.41&CDS=1-786
OG0003076	YOR103C	augustus_masked-scaffold_3-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.24&CDS=1-501
OG0003077	YOR104W	augustus_masked-scaffold_6-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.81&CDS=1-504
OG0003078	YOR111W	maker-scaffold_8-augustus-gene-3.100-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-3.100&CDS=1-1437
OG0003079	YOR112W	augustus_masked-scaffold_2-processed-gene-15.62-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.62&CDS=1-2193
OG0003080	YOR113W	augustus_masked-scaffold_2-processed-gene-15.61-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.61&CDS=1-2925
OG0003081	YOR115C	maker-scaffold_8-augustus-gene-7.147-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-7.147&CDS=1-1449
OG0003082	YOR116C	augustus_masked-scaffold_1-processed-gene-25.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.13&CDS=1-5031
OG0003083	YOR117W	augustus_masked-scaffold_1-processed-gene-25.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.12&CDS=1-1284
OG0003084	YOR118W	augustus_masked-scaffold_6-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.37&CDS=1-1851
OG0003085	YOR119C	augustus_masked-scaffold_6-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.13&CDS=1-1443
OG0003086	YOR122C	augustus_masked-scaffold_6-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.6&CDS=1-378
OG0003087	YOR123C	augustus_masked-scaffold_8-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.35&CDS=1-1161
OG0003088	YOR124C	augustus_masked-scaffold_2-processed-gene-9.68-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.68&CDS=1-3954
OG0003089	YOR125C	augustus_masked-scaffold_4-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.54&CDS=1-750
OG0003090	YOR126C	augustus_masked-scaffold_2-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.37&CDS=1-810
OG0003091	YOR128C	augustus_masked-scaffold_5-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.78&CDS=1-1701
OG0003092	YOR129C	snap_masked-scaffold_5-processed-gene-10.29-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-10.29&CDS=1-1896
OG0003093	YOR130C	augustus_masked-scaffold_5-processed-gene-10.53-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.53&CDS=1-960
OG0003094	YOR132W	augustus_masked-scaffold_1-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.112&CDS=1-1608
OG0003095	YOR136W	augustus_masked-scaffold_3-processed-gene-16.59-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.59&CDS=1-1095
OG0003096	YOR137C	snap_masked-scaffold_4-processed-gene-7.15-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.15&CDS=1-1659
OG0003097	YOR138C	augustus_masked-scaffold_1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.113&CDS=1-2031
OG0003098	YOR141C	augustus_masked-scaffold_1-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.104&CDS=1-2463
OG0003099	YOR142W	augustus_masked-scaffold_1-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.93&CDS=1-966
OG0003100	YOR143C	augustus_masked-scaffold_4-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.92&CDS=1-1209
OG0003101	YOR144C	augustus_masked-scaffold_2-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.48&CDS=1-2316
OG0003102	YOR145C	augustus_masked-scaffold_2-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.21&CDS=1-771
OG0003103	YOR149C	augustus_masked-scaffold_3-processed-gene-16.72-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.72&CDS=1-1518
OG0003104	YOR150W	augustus_masked-scaffold_1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.110&CDS=1-522
OG0003105	YOR151C	augustus_masked-scaffold_1-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.97&CDS=1-3714
OG0003106	YOR154W	augustus_masked-scaffold_6-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.21&CDS=1-1869
OG0003107	YOR155C	augustus_masked-scaffold_1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.106&CDS=1-1404
OG0003108	YOR157C	augustus_masked-scaffold_2-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.89&CDS=1-804
OG0003109	YOR159C	augustus_masked-scaffold_7-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.79&CDS=1-261
OG0003110	YOR160W	augustus_masked-scaffold_4-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.76&CDS=1-2874
OG0003111	YOR161C	augustus_masked-scaffold_1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.7&CDS=1-1599
OG0003112	YOR163W	augustus_masked-scaffold_4-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.5&CDS=1-585
OG0003113	YOR164C	augustus_masked-scaffold_4-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.11&CDS=1-933
OG0003114	YOR165W	maker-scaffold_4-snap-gene-17.1-mRNA-1_1&gene=maker-scaffold_4-snap-gene-17.1&CDS=1-2535
OG0003115	YOR168W	augustus_masked-scaffold_8-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.125&CDS=1-2385
OG0003116	YOR174W	augustus_masked-scaffold_3-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.55&CDS=1-933
OG0003117	YOR175C	augustus_masked-scaffold_3-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.70&CDS=1-1788
OG0003118	YOR176W	augustus_masked-scaffold_3-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.69&CDS=1-1149
OG0003119	YOR181W	augustus_masked-scaffold_2-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.18&CDS=1-1980
OG0003120	YOR187W	augustus_masked-scaffold_1-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.109&CDS=1-1314
OG0003121	YOR188W	augustus_masked-scaffold_1-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.105&CDS=1-3540
OG0003122	YOR191W	augustus_masked-scaffold_6-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.121&CDS=1-3432
OG0003123	YOR194C	augustus_masked-scaffold_1-processed-gene-16.111-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.111&CDS=1-828
OG0003124	YOR196C	augustus_masked-scaffold_1-processed-gene-16.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.128&CDS=1-1170
OG0003125	YOR198C	augustus_masked-scaffold_1-processed-gene-16.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.113&CDS=1-1377
OG0003126	YOR201C	augustus_masked-scaffold_3-processed-gene-14.50-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.50&CDS=1-3312
OG0003127	YOR202W	augustus_masked-scaffold_3-processed-gene-14.51-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.51&CDS=1-663
OG0003128	YOR204W	augustus_masked-scaffold_5-processed-gene-12.71-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.71&CDS=1-1932
OG0003129	YOR205C	augustus_masked-scaffold_5-processed-gene-15.208-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.208&CDS=1-1770
OG0003130	YOR206W	augustus_masked-scaffold_2-processed-gene-10.47-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.47&CDS=1-2127
OG0003131	YOR207C	augustus_masked-scaffold_2-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.26&CDS=1-3465
OG0003132	YOR209C	augustus_masked-scaffold_8-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.15&CDS=1-1251
OG0003133	YOR210W	augustus_masked-scaffold_1-processed-gene-16.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.108&CDS=1-216
OG0003134	YOR211C	augustus_masked-scaffold_1-processed-gene-16.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.107&CDS=1-2541
OG0003135	YOR212W	augustus_masked-scaffold_3-processed-gene-15.24-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.24&CDS=1-1278
OG0003136	YOR217W	augustus_masked-scaffold_3-processed-gene-15.39-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.39&CDS=1-4809
OG0003137	YOR221C	augustus_masked-scaffold_2-processed-gene-10.42-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.42&CDS=1-963
OG0003138	YOR223W	augustus_masked-scaffold_2-processed-gene-10.51-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.51&CDS=1-879
OG0003139	YOR224C	augustus_masked-scaffold_2-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.58&CDS=1-444
OG0003140	YOR228C	augustus_masked-scaffold_8-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.52&CDS=1-906
