	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
OG0002403	YLR186W	augustus_masked-LQHL01001824.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LQHL01001824.1-processed-gene-0.51&CDS=1-1512
OG0002404	YLR187W	genemark-LQHL01001646.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001646.1-processed-gene-0.0&CDS=1-3141
OG0002405	YLR188W	genemark-LQHL01001853.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LQHL01001853.1-processed-gene-0.22&CDS=1-3516
OG0002406	YLR189C	genemark-LQHL01001853.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001853.1-processed-gene-0.21&CDS=1-4620
OG0002407	YLR191W	genemark-LQHL01001830.1-processed-gene-0.61-mRNA-1_1&gene=genemark-LQHL01001830.1-processed-gene-0.61&CDS=1-1284
OG0002408	YLR192C	genemark-LQHL01001868.1-processed-gene-0.61-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.61&CDS=1-852
OG0002409	YLR193C	genemark-LQHL01001786.1-processed-gene-0.64-mRNA-1_1&gene=genemark-LQHL01001786.1-processed-gene-0.64&CDS=1-537
OG0002410	YLR195C	genemark-LQHL01001683.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001683.1-processed-gene-0.13&CDS=1-1332
OG0002411	YLR196W	genemark-LQHL01001683.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001683.1-processed-gene-0.12&CDS=1-1725
OG0002412	YLR197W	genemark-LQHL01001786.1-processed-gene-0.65-mRNA-1_1&gene=genemark-LQHL01001786.1-processed-gene-0.65&CDS=1-1491
OG0002413	YLR200W	genemark-LQHL01001786.1-processed-gene-0.62-mRNA-1_1&gene=genemark-LQHL01001786.1-processed-gene-0.62&CDS=1-351
OG0002414	YLR201C	genemark-LQHL01001786.1-processed-gene-0.51-mRNA-1_1&gene=genemark-LQHL01001786.1-processed-gene-0.51&CDS=1-750
OG0002415	YLR203C	genemark-LQHL01001822.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQHL01001822.1-processed-gene-0.36&CDS=1-1272
OG0002416	YLR205C	genemark-LQHL01001622.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001622.1-processed-gene-0.7&CDS=1-876
OG0002417	YLR207W	genemark-LQHL01001761.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001761.1-processed-gene-0.15&CDS=1-2595
OG0002418	YLR208W	genemark-LQHL01001802.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001802.1-processed-gene-0.4&CDS=1-909
OG0002419	YLR209C	maker-LQHL01001802.1-augustus-gene-0.25-mRNA-1_1&gene=maker-LQHL01001802.1-augustus-gene-0.25&CDS=1-5046
OG0002420	YLR212C	maker-LQHL01001815.1-augustus-gene-0.65-mRNA-1_1&gene=maker-LQHL01001815.1-augustus-gene-0.65&CDS=1-1455
OG0002421	YLR215C	genemark-LQHL01001733.1-processed-gene-0.40-mRNA-1_1&gene=genemark-LQHL01001733.1-processed-gene-0.40&CDS=1-1077
OG0002422	YLR216C	genemark-LQHL01001868.1-processed-gene-0.89-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.89&CDS=1-1104
OG0002423	YLR218C	snap_masked-LQHL01001264.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001264.1-processed-gene-0.0&CDS=1-243
OG0002424	YLR220W	genemark-LQHL01001871.1-processed-gene-0.112-mRNA-1_1&gene=genemark-LQHL01001871.1-processed-gene-0.112&CDS=1-963
OG0002425	YLR222C	snap_masked-LQHL01001562.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LQHL01001562.1-processed-gene-0.18&CDS=1-2385
OG0002426	YLR223C	genemark-LQHL01001564.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001564.1-processed-gene-0.6&CDS=1-2577
OG0002427	YLR229C	genemark-LQHL01001289.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001289.1-processed-gene-0.4&CDS=1-573
OG0002428	YLR231C	genemark-LQHL01001339.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001339.1-processed-gene-0.2&CDS=1-1386
OG0002429	YLR234W	genemark-LQHL01001806.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001806.1-processed-gene-0.24&CDS=1-1689
OG0002430	YLR239C	augustus_masked-LQHL01001829.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LQHL01001829.1-processed-gene-0.59&CDS=1-876
OG0002431	YLR240W	augustus_masked-LQHL01001767.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQHL01001767.1-processed-gene-0.29&CDS=1-3321
OG0002432	YLR241W	genemark-LQHL01001806.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001806.1-processed-gene-0.19&CDS=1-2583
OG0002433	YLR243W	genemark-LQHL01001747.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001747.1-processed-gene-0.2&CDS=1-816
OG0002434	YLR244C	genemark-LQHL01001747.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001747.1-processed-gene-0.12&CDS=1-1110
OG0002435	YLR245C	maker-LQHL01001747.1-snap-gene-0.36-mRNA-1_1&gene=maker-LQHL01001747.1-snap-gene-0.36&CDS=1-441
OG0002436	YLR246W	genemark-LQHL01001796.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.29&CDS=1-2754
OG0002437	YLR247C	snap_masked-LQHL01001582.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LQHL01001582.1-processed-gene-0.15&CDS=1-5295
OG0002438	YLR250W	genemark-LQHL01001577.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001577.1-processed-gene-0.18&CDS=1-666
OG0002439	YLR253W	genemark-LQHL01001745.1-processed-gene-0.44-mRNA-1_1&gene=genemark-LQHL01001745.1-processed-gene-0.44&CDS=1-1749
OG0002440	YLR259C	genemark-LQHL01001834.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQHL01001834.1-processed-gene-0.30&CDS=1-1701
OG0002441	YLR262C	genemark-LQHL01001834.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LQHL01001834.1-processed-gene-0.28&CDS=1-648
OG0002442	YLR262C-A	snap_masked-LQHL01001762.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LQHL01001762.1-processed-gene-0.38&CDS=1-192
OG0002443	YLR268W	maker-LQHL01001755.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQHL01001755.1-augustus-gene-0.0&CDS=1-525
OG0002444	YLR271W	snap_masked-LQHL01001857.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LQHL01001857.1-processed-gene-0.77&CDS=1-867
OG0002445	YLR272C	genemark-LQHL01001857.1-processed-gene-0.127-mRNA-1_1&gene=genemark-LQHL01001857.1-processed-gene-0.127&CDS=1-3540
OG0002446	YLR274W	augustus_masked-LQHL01001720.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LQHL01001720.1-processed-gene-0.26&CDS=1-2118
OG0002447	YLR276C	maker-LQHL01001278.1-augustus-gene-0.7-mRNA-1_1&gene=maker-LQHL01001278.1-augustus-gene-0.7&CDS=1-1491
OG0002448	YLR277C	genemark-LQHL01001720.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQHL01001720.1-processed-gene-0.32&CDS=1-2700
OG0002449	YLR281C	maker-LQHL01001720.1-augustus-gene-0.13-mRNA-1_1&gene=maker-LQHL01001720.1-augustus-gene-0.13&CDS=1-1665
OG0002450	YLR283W	genemark-LQHL01001567.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001567.1-processed-gene-0.6&CDS=1-993
OG0002451	YLR285W	genemark-LQHL01001782.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001782.1-processed-gene-0.16&CDS=1-804
OG0002452	YLR286C	genemark-LQHL01001756.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001756.1-processed-gene-0.23&CDS=1-1266
OG0002453	YLR287C	genemark-LQHL01001762.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001762.1-processed-gene-0.7&CDS=1-1044
OG0002454	YLR288C	genemark-LQHL01001720.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001720.1-processed-gene-0.38&CDS=1-963
OG0002455	YLR289W	maker-LQHL01001720.1-snap-gene-0.16-mRNA-1_1&gene=maker-LQHL01001720.1-snap-gene-0.16&CDS=1-3102
OG0002456	YLR290C	genemark-LQHL01001394.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001394.1-processed-gene-0.5&CDS=1-810
OG0002457	YLR291C	genemark-LQHL01001535.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001535.1-processed-gene-0.8&CDS=1-1077
OG0002458	YLR293C	genemark-LQHL01001720.1-processed-gene-0.42-mRNA-1_1&gene=genemark-LQHL01001720.1-processed-gene-0.42&CDS=1-642
OG0002459	YLR295C	snap_masked-LQHL01001720.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LQHL01001720.1-processed-gene-0.9&CDS=1-324
OG0002460	YLR298C	genemark-LQHL01001720.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001720.1-processed-gene-0.34&CDS=1-423
OG0002461	YLR299W	augustus_masked-LQHL01001831.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LQHL01001831.1-processed-gene-0.54&CDS=1-1875
OG0002462	YLR300W	genemark-LQHL01001804.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001804.1-processed-gene-0.45&CDS=1-1302
OG0002463	YLR304C	genemark-LQHL01001672.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001672.1-processed-gene-0.1&CDS=1-2325
OG0002464	YLR305C	genemark-LQHL01001803.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001803.1-processed-gene-0.4&CDS=1-5658
OG0002465	YLR306W	genemark-LQHL01001525.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001525.1-processed-gene-0.8&CDS=1-579
OG0002466	YLR309C	augustus_masked-LQHL01001847.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-LQHL01001847.1-processed-gene-0.92&CDS=1-1050
OG0002467	YLR314C	augustus_masked-LQHL01001846.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-LQHL01001846.1-processed-gene-0.109&CDS=1-1335
OG0002468	YLR316C	snap_masked-LQHL01001702.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-LQHL01001702.1-processed-gene-0.30&CDS=1-975
OG0002469	YLR321C	genemark-LQHL01001702.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001702.1-processed-gene-0.3&CDS=1-1068
OG0002470	YLR323C	genemark-LQHL01001840.1-processed-gene-0.56-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.56&CDS=1-678
OG0002471	YLR324W	genemark-LQHL01001840.1-processed-gene-0.52-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.52&CDS=1-1551
OG0002472	YLR325C	genemark-LQHL01001840.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.34&CDS=1-999
OG0002473	YLR326W	genemark-LQHL01001840.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQHL01001840.1-processed-gene-0.37&CDS=1-717
OG0002474	YLR328W	genemark-LQHL01001795.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQHL01001795.1-processed-gene-0.36&CDS=1-1194
OG0002475	YLR330W	genemark-LQHL01001860.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.33&CDS=1-1692
OG0002476	YLR336C	genemark-LQHL01001553.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001553.1-processed-gene-0.0&CDS=1-3039
OG0002477	YLR340W	genemark-LQHL01001801.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001801.1-processed-gene-0.2&CDS=1-933
OG0002478	YLR345W	genemark-LQHL01001722.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001722.1-processed-gene-0.1&CDS=1-1611
OG0002479	YLR347C	snap_masked-LQHL01001722.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LQHL01001722.1-processed-gene-0.32&CDS=1-2616
OG0002480	YLR348C	genemark-LQHL01001750.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001750.1-processed-gene-0.31&CDS=1-861
OG0002481	YLR352W	genemark-LQHL01001819.1-processed-gene-0.68-mRNA-1_1&gene=genemark-LQHL01001819.1-processed-gene-0.68&CDS=1-2424
OG0002482	YLR354C	genemark-LQHL01001604.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001604.1-processed-gene-0.8&CDS=1-969
OG0002483	YLR355C	genemark-LQHL01001843.1-processed-gene-0.56-mRNA-1_1&gene=genemark-LQHL01001843.1-processed-gene-0.56&CDS=1-1191
OG0002484	YLR359W	genemark-LQHL01001803.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001803.1-processed-gene-0.19&CDS=1-1446
OG0002485	YLR361C	genemark-LQHL01001636.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001636.1-processed-gene-0.1&CDS=1-2379
OG0002486	YLR362W	genemark-LQHL01001370.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001370.1-processed-gene-0.4&CDS=1-4593
OG0002487	YLR363C	maker-LQHL01001859.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQHL01001859.1-snap-gene-0.0&CDS=1-1155
OG0002488	YLR363W-A	snap_masked-LQHL01001828.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LQHL01001828.1-processed-gene-0.58&CDS=1-282
OG0002489	YLR364W	genemark-LQHL01001730.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001730.1-processed-gene-0.8&CDS=1-333
OG0002490	YLR370C	genemark-LQHL01001843.1-processed-gene-0.64-mRNA-1_1&gene=genemark-LQHL01001843.1-processed-gene-0.64&CDS=1-531
OG0002491	YLR372W	genemark-LQHL01001721.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQHL01001721.1-processed-gene-0.36&CDS=1-1011
OG0002492	YLR377C	genemark-LQHL01001779.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001779.1-processed-gene-0.38&CDS=1-1029
OG0002493	YLR378C	genemark-LQHL01001779.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001779.1-processed-gene-0.31&CDS=1-1437
OG0002494	YLR380W	genemark-LQHL01001696.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001696.1-processed-gene-0.2&CDS=1-1650
OG0002495	YLR382C	snap_masked-LQHL01001696.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-LQHL01001696.1-processed-gene-0.17&CDS=1-2796
OG0002496	YLR383W	genemark-LQHL01001862.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001862.1-processed-gene-0.45&CDS=1-3354
OG0002497	YLR384C	maker-LQHL01001655.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQHL01001655.1-augustus-gene-0.0&CDS=1-3921
OG0002498	YLR386W	genemark-LQHL01001628.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001628.1-processed-gene-0.13&CDS=1-2109
OG0002499	YLR390W	snap_masked-LQHL01001648.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LQHL01001648.1-processed-gene-0.19&CDS=1-258
OG0002500	YLR393W	genemark-LQHL01001834.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001834.1-processed-gene-0.19&CDS=1-867
OG0002501	YLR395C	snap_masked-LQHL01001860.1-processed-gene-0.160-mRNA-1_1&gene=snap_masked-LQHL01001860.1-processed-gene-0.160&CDS=1-261
OG0002502	YLR396C	genemark-LQHL01001860.1-processed-gene-0.46-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.46&CDS=1-2154
OG0002503	YLR397C	genemark-LQHL01001834.1-processed-gene-0.39-mRNA-1_1&gene=genemark-LQHL01001834.1-processed-gene-0.39&CDS=1-2319
OG0002504	YLR398C	maker-LQHL01001834.1-snap-gene-0.7-mRNA-1_1&gene=maker-LQHL01001834.1-snap-gene-0.7&CDS=1-4662
OG0002505	YLR399C	genemark-LQHL01001718.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001718.1-processed-gene-0.2&CDS=1-2235
OG0002506	YLR401C	genemark-LQHL01001810.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001810.1-processed-gene-0.8&CDS=1-1857
OG0002507	YLR403W	genemark-LQHL01001490.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001490.1-processed-gene-0.3&CDS=1-1251
OG0002508	YLR405W	genemark-LQHL01001718.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001718.1-processed-gene-0.3&CDS=1-1053
OG0002509	YLR407W	genemark-LQHL01001810.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001810.1-processed-gene-0.15&CDS=1-1110
OG0002510	YLR409C	genemark-LQHL01001810.1-processed-gene-0.18-mRNA-1_1&gene=genemark-LQHL01001810.1-processed-gene-0.18&CDS=1-2826
OG0002511	YLR410W	genemark-LQHL01001701.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001701.1-processed-gene-0.21&CDS=1-3663
OG0002512	YLR411W	augustus_masked-LQHL01001835.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LQHL01001835.1-processed-gene-0.43&CDS=1-1581
OG0002513	YLR417W	genemark-LQHL01001860.1-processed-gene-0.28-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.28&CDS=1-1974
OG0002514	YLR418C	genemark-LQHL01001804.1-processed-gene-0.56-mRNA-1_1&gene=genemark-LQHL01001804.1-processed-gene-0.56&CDS=1-1119
OG0002515	YLR419W	maker-LQHL01001611.1-augustus-gene-0.14-mRNA-1_1&gene=maker-LQHL01001611.1-augustus-gene-0.14&CDS=1-6642
OG0002516	YLR420W	genemark-LQHL01001466.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001466.1-processed-gene-0.19&CDS=1-1080
OG0002517	YLR421C	maker-LQHL01001846.1-snap-gene-0.115-mRNA-1_1&gene=maker-LQHL01001846.1-snap-gene-0.115&CDS=1-873
OG0002518	YLR422W	augustus_masked-LQHL01001535.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQHL01001535.1-processed-gene-0.6&CDS=1-4557
OG0002519	YLR424W	genemark-LQHL01001804.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQHL01001804.1-processed-gene-0.49&CDS=1-2400
OG0002520	YLR425W	genemark-LQHL01001846.1-processed-gene-0.58-mRNA-1_1&gene=genemark-LQHL01001846.1-processed-gene-0.58&CDS=1-4068
OG0002521	YLR427W	augustus_masked-LQHL01001594.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LQHL01001594.1-processed-gene-0.22&CDS=1-768
OG0002522	YLR429W	genemark-LQHL01001725.1-processed-gene-0.27-mRNA-1_1&gene=genemark-LQHL01001725.1-processed-gene-0.27&CDS=1-1959
OG0002523	YLR430W	maker-LQHL01001806.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQHL01001806.1-snap-gene-0.0&CDS=1-8487
OG0002524	YLR435W	genemark-LQHL01001740.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001740.1-processed-gene-0.14&CDS=1-618
OG0002525	YLR438C-A	snap_masked-LQHL01001819.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LQHL01001819.1-processed-gene-0.44&CDS=1-252
OG0002526	YLR438W	genemark-LQHL01001695.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001695.1-processed-gene-0.4&CDS=1-1305
OG0002527	YLR439W	genemark-LQHL01001819.1-processed-gene-0.58-mRNA-1_1&gene=genemark-LQHL01001819.1-processed-gene-0.58&CDS=1-903
OG0002528	YLR440C	genemark-LQHL01001819.1-processed-gene-0.70-mRNA-1_1&gene=genemark-LQHL01001819.1-processed-gene-0.70&CDS=1-2424
OG0002529	YLR441C	snap_masked-LQHL01001740.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-LQHL01001740.1-processed-gene-0.34&CDS=1-768
OG0002530	YLR447C	maker-LQHL01001682.1-snap-gene-0.21-mRNA-1_1&gene=maker-LQHL01001682.1-snap-gene-0.21&CDS=1-945
OG0002531	YLR450W	genemark-LQHL01001740.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001740.1-processed-gene-0.12&CDS=1-3084
OG0002532	YLR451W	maker-LQHL01001491.1-snap-gene-0.9-mRNA-1_1&gene=maker-LQHL01001491.1-snap-gene-0.9&CDS=1-4266
OG0002533	YLR452C	genemark-LQHL01001491.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001491.1-processed-gene-0.0&CDS=1-1869
OG0002534	YLR454W	snap_masked-LQHL01001783.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-LQHL01001783.1-processed-gene-0.29&CDS=1-7485
OG0002535	YLR459W	genemark-LQHL01001865.1-processed-gene-0.158-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.158&CDS=1-1275
OG0002536	YML001W	genemark-LQHL01001265.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001265.1-processed-gene-0.8&CDS=1-645
OG0002537	YML003W	augustus_masked-LQHL01001422.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQHL01001422.1-processed-gene-0.6&CDS=1-2043
OG0002538	YML004C	genemark-LQHL01001813.1-processed-gene-0.40-mRNA-1_1&gene=genemark-LQHL01001813.1-processed-gene-0.40&CDS=1-960
OG0002539	YML007W	genemark-LQHL01001873.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001873.1-processed-gene-0.10&CDS=1-1527
OG0002540	YML008C	genemark-LQHL01001873.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001873.1-processed-gene-0.11&CDS=1-1128
OG0002541	YML009C	snap_masked-LQHL01001710.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQHL01001710.1-processed-gene-0.7&CDS=1-183
OG0002542	YML010W	genemark-LQHL01001842.1-processed-gene-0.73-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.73&CDS=1-7833
OG0002543	YML012W	augustus_masked-LQHL01001710.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LQHL01001710.1-processed-gene-0.25&CDS=1-648
OG0002544	YML014W	augustus_masked-LQHL01001749.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001749.1-processed-gene-0.3&CDS=1-2001
OG0002545	YML015C	genemark-LQHL01001749.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001749.1-processed-gene-0.24&CDS=1-807
OG0002546	YML017W	snap_masked-LQHL01001873.1-processed-gene-0.88-mRNA-1_1&gene=snap_masked-LQHL01001873.1-processed-gene-0.88&CDS=1-2352
OG0002547	YML018C	genemark-LQHL01001717.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001717.1-processed-gene-0.8&CDS=1-1203
OG0002548	YML019W	genemark-LQHL01001717.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001717.1-processed-gene-0.7&CDS=1-1005
OG0002549	YML020W	maker-LQHL01001710.1-snap-gene-0.35-mRNA-1_1&gene=maker-LQHL01001710.1-snap-gene-0.35&CDS=1-2415
OG0002550	YML021C	genemark-LQHL01001717.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001717.1-processed-gene-0.4&CDS=1-1143
OG0002551	YML022W	genemark-LQHL01001842.1-processed-gene-0.72-mRNA-1_1&gene=genemark-LQHL01001842.1-processed-gene-0.72&CDS=1-555
OG0002552	YML025C	genemark-LQHL01001799.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQHL01001799.1-processed-gene-0.20&CDS=1-756
OG0002553	YML030W	genemark-LQHL01001478.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001478.1-processed-gene-0.12&CDS=1-396
OG0002554	YML032C	snap_masked-LQHL01001843.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-LQHL01001843.1-processed-gene-0.21&CDS=1-1506
OG0002555	YML035C	genemark-LQHL01001633.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001633.1-processed-gene-0.9&CDS=1-2292
OG0002556	YML036W	genemark-LQHL01001858.1-processed-gene-0.43-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.43&CDS=1-588
OG0002557	YML042W	genemark-LQHL01001448.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001448.1-processed-gene-0.4&CDS=1-1887
OG0002558	YML043C	maker-LQHL01001834.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQHL01001834.1-snap-gene-0.4&CDS=1-1950
OG0002559	YML048W	maker-LQHL01001777.1-augustus-gene-0.17-mRNA-1_1&gene=maker-LQHL01001777.1-augustus-gene-0.17&CDS=1-1578
OG0002560	YML049C	genemark-LQHL01001861.1-processed-gene-0.78-mRNA-1_1&gene=genemark-LQHL01001861.1-processed-gene-0.78&CDS=1-3612
OG0002561	YML052W	genemark-LQHL01001854.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001854.1-processed-gene-0.10&CDS=1-819
OG0002562	YML054C	genemark-LQHL01001845.1-processed-gene-0.76-mRNA-1_1&gene=genemark-LQHL01001845.1-processed-gene-0.76&CDS=1-1719
OG0002563	YML055W	genemark-LQHL01001594.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001594.1-processed-gene-0.14&CDS=1-507
OG0002564	YML056C	genemark-LQHL01001850.1-processed-gene-0.57-mRNA-1_1&gene=genemark-LQHL01001850.1-processed-gene-0.57&CDS=1-1563
OG0002565	YML059C	maker-LQHL01001819.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LQHL01001819.1-augustus-gene-0.1&CDS=1-6486
OG0002566	YML060W	genemark-LQHL01001833.1-processed-gene-0.86-mRNA-1_1&gene=genemark-LQHL01001833.1-processed-gene-0.86&CDS=1-1095
OG0002567	YML061C	genemark-LQHL01001819.1-processed-gene-0.69-mRNA-1_1&gene=genemark-LQHL01001819.1-processed-gene-0.69&CDS=1-2469
OG0002568	YML064C	genemark-LQHL01001740.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001740.1-processed-gene-0.16&CDS=1-669
OG0002569	YML065W	genemark-LQHL01001740.1-processed-gene-0.15-mRNA-1_1&gene=genemark-LQHL01001740.1-processed-gene-0.15&CDS=1-2400
OG0002570	YML067C	snap_masked-LQHL01001806.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LQHL01001806.1-processed-gene-0.39&CDS=1-1062
OG0002571	YML068W	genemark-LQHL01001806.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001806.1-processed-gene-0.21&CDS=1-1479
OG0002572	YML069W	augustus_masked-LQHL01001810.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-LQHL01001810.1-processed-gene-0.39&CDS=1-1677
OG0002573	YML071C	genemark-LQHL01001682.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001682.1-processed-gene-0.13&CDS=1-1452
