	Ashbya_aceri	Saccharomyces_cerevisiae
OG0002859	genemark-CP006025.1-processed-gene-6.3-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.3&CDS=1-1299	YAR003W
OG0002860	snap_masked-CP006025.1-processed-gene-6.58-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-6.58&CDS=1-2409	YAR002W
OG0002861	genemark-CP006025.1-processed-gene-6.5-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.5&CDS=1-3453	YAL001C
OG0002862	genemark-CP006025.1-processed-gene-6.6-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.6&CDS=1-750	YGR001C
OG0002863	genemark-CP006025.1-processed-gene-6.7-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.7&CDS=1-1050	YGL001C
OG0002864	augustus_masked-CP006025.1-processed-gene-6.138-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.138&CDS=1-2880	YAL002W
OG0002865	augustus_masked-CP006025.1-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.139&CDS=1-618	YAL003W
OG0002866	genemark-CP006025.1-processed-gene-6.8-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.8&CDS=1-1149	YLR321C
OG0002867	genemark-CP006025.1-processed-gene-6.31-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.31&CDS=1-621	YGL020C
OG0002868	genemark-CP006025.1-processed-gene-6.9-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.9&CDS=1-2556	YDR069C
OG0002869	augustus_masked-CP006025.1-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.142&CDS=1-876	YDR068W
OG0002870	genemark-CP006025.1-processed-gene-6.10-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.10&CDS=1-624	YDR067C
OG0002871	genemark-CP006025.1-processed-gene-6.33-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.33&CDS=1-1416	YER143W
OG0002872	genemark-CP006025.1-processed-gene-6.11-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.11&CDS=1-825	YER142C
OG0002873	augustus_masked-CP006025.1-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.144&CDS=1-4299	YBL022C
OG0002874	genemark-CP006025.1-processed-gene-6.36-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.36&CDS=1-534	YBL021C
OG0002875	genemark-CP006025.1-processed-gene-6.12-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.12&CDS=1-1755	YBL020W
OG0002876	genemark-CP006025.1-processed-gene-6.13-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.13&CDS=1-1590	YBL019W
OG0002877	genemark-CP006025.1-processed-gene-6.15-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.15&CDS=1-1569	YBL015W
OG0002878	augustus_masked-CP006025.1-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.126&CDS=1-5007	YNL172W
OG0002879	genemark-CP006025.1-processed-gene-6.38-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.38&CDS=1-1497	YNL169C
OG0002880	genemark-CP006025.1-processed-gene-6.17-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.17&CDS=1-900	YHR144C
OG0002881	genemark-CP006025.1-processed-gene-6.39-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.39&CDS=1-771	YNL168C
OG0002882	genemark-CP006025.1-processed-gene-6.40-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.40&CDS=1-1467	YNL167C
OG0002883	snap_masked-CP006025.1-processed-gene-6.98-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-6.98&CDS=1-210	YHR143W-A
OG0002884	augustus_masked-CP006025.1-processed-gene-6.150-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.150&CDS=1-936	YNL166C
OG0002885	augustus_masked-CP006025.1-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.128&CDS=1-1113	YNL165W
OG0002886	genemark-CP006025.1-processed-gene-6.42-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.42&CDS=1-1026	YNL164C
OG0002887	genemark-CP006025.1-processed-gene-6.43-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.43&CDS=1-3285	YNL163C
OG0002888	snap_masked-CP006025.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-6.72&CDS=1-231	YNL162W-A
OG0002889	genemark-CP006025.1-processed-gene-6.44-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.44&CDS=1-1044	YHR142W
OG0002890	genemark-CP006025.1-processed-gene-6.20-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.20&CDS=1-2190	YNL161W
OG0002891	genemark-CP006025.1-processed-gene-6.45-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.45&CDS=1-678	YHR140W
OG0002892	augustus_masked-CP006025.1-processed-gene-6.155-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.155&CDS=1-387	YNL153C
OG0002893	genemark-CP006025.1-processed-gene-6.47-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.47&CDS=1-771	YNL155W
OG0002894	genemark-CP006025.1-processed-gene-6.48-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.48&CDS=1-654	YHR134W
OG0002895	genemark-CP006025.1-processed-gene-6.23-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.23&CDS=1-813	YNL156C
OG0002896	genemark-CP006025.1-processed-gene-6.49-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.49&CDS=1-378	YHR132W-A
OG0002897	augustus_masked-CP006025.1-processed-gene-6.135-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.135&CDS=1-1302	YHR132C
OG0002898	augustus_masked-CP006025.1-processed-gene-6.159-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.159&CDS=1-600	YNL158W
OG0002899	genemark-CP006025.1-processed-gene-6.25-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-6.25&CDS=1-774	YNL159C
OG0002900	maker-CP006025.1-augustus-gene-7.144-mRNA-1_1&gene=maker-CP006025.1-augustus-gene-7.144&CDS=1-1017	YHR128W
OG0002901	genemark-CP006025.1-processed-gene-7.3-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.3&CDS=1-372	YNL149C
OG0002902	genemark-CP006025.1-processed-gene-7.4-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.4&CDS=1-702	YNL151C
OG0002903	augustus_masked-CP006025.1-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.107&CDS=1-5526	YNL139C
OG0002904	snap_masked-CP006025.1-processed-gene-7.56-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-7.56&CDS=1-213	YNL138W-A
OG0002905	augustus_masked-CP006025.1-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.130&CDS=1-618	YHR127W
OG0002906	genemark-CP006025.1-processed-gene-7.8-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.8&CDS=1-1536	YNL138W
OG0002907	genemark-CP006025.1-processed-gene-7.32-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.32&CDS=1-1419	YNL137C
OG0002908	augustus_masked-CP006025.1-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.109&CDS=1-747	YNL136W
OG0002909	genemark-CP006025.1-processed-gene-7.33-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.33&CDS=1-342	YNL135C
OG0002910	genemark-CP006025.1-processed-gene-7.11-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.11&CDS=1-1644	YJL111W
OG0002911	genemark-CP006025.1-processed-gene-7.35-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.35&CDS=1-612	YKR035W-A
OG0002912	augustus_masked-CP006025.1-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.113&CDS=1-4734	YKR031C
OG0002913	genemark-CP006025.1-processed-gene-7.37-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.37&CDS=1-711	YKR030W
OG0002914	genemark-CP006025.1-processed-gene-7.38-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.38&CDS=1-7500	YJL109C
OG0002915	augustus_masked-CP006025.1-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.115&CDS=1-2445	YJL106W
OG0002916	genemark-CP006025.1-processed-gene-7.15-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.15&CDS=1-2376	YKR029C
OG0002917	genemark-CP006025.1-processed-gene-7.16-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.16&CDS=1-417	YJL104W
OG0002918	snap_masked-CP006025.1-processed-gene-7.67-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-7.67&CDS=1-1515	YKR023W
OG0002919	augustus_masked-CP006025.1-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.139&CDS=1-3492	YKR024C
OG0002920	genemark-CP006025.1-processed-gene-7.18-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.18&CDS=1-771	YKR025W
OG0002921	genemark-CP006025.1-processed-gene-7.42-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.42&CDS=1-912	YKR026C
OG0002922	genemark-CP006025.1-processed-gene-7.19-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.19&CDS=1-2382	YJL102W
OG0002923	genemark-CP006025.1-processed-gene-7.43-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.43&CDS=1-1983	YJL101C
OG0002924	augustus_masked-CP006025.1-processed-gene-7.121-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.121&CDS=1-3753	YJL100W
OG0002925	genemark-CP006025.1-processed-gene-7.22-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.22&CDS=1-3096	YKR028W
OG0002926	genemark-CP006025.1-processed-gene-7.23-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.23&CDS=1-651	YJL097W
OG0002927	augustus_masked-CP006025.1-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.124&CDS=1-477	YJL096W
OG0002928	augustus_masked-CP006025.1-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.125&CDS=1-4128	YJL095W
OG0002929	augustus_masked-CP006025.1-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.126&CDS=1-3093	YJL092W
OG0002930	genemark-CP006025.1-processed-gene-7.44-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.44&CDS=1-1440	YJL091C
OG0002931	snap_masked-CP006025.1-processed-gene-7.97-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-7.97&CDS=1-2022	YJL090C
OG0002932	genemark-CP006025.1-processed-gene-7.27-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.27&CDS=1-2559	YJL089W
OG0002933	genemark-CP006025.1-processed-gene-7.29-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.29&CDS=1-984	YJL088W
OG0002934	genemark-CP006025.1-processed-gene-7.46-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.46&CDS=1-2451	YJL087C
OG0002935	genemark-CP006025.1-processed-gene-7.30-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.30&CDS=1-1842	YJL085W
OG0002936	snap_masked-CP006025.1-processed-gene-8.57-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-8.57&CDS=1-2493	YJL084C
OG0002937	augustus_masked-CP006025.1-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-8.8&CDS=1-414	YKR020W
OG0002938	genemark-CP006025.1-processed-gene-8.118-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.118&CDS=1-2232	YJL083W
OG0002939	snap_masked-CP006025.1-processed-gene-8.55-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-8.55&CDS=1-1650	YKR017C
OG0002940	genemark-CP006025.1-processed-gene-8.123-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.123&CDS=1-1437	YJL081C
OG0002941	genemark-CP006025.1-processed-gene-8.124-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.124&CDS=1-1488	YKR016W
OG0002942	genemark-CP006025.1-processed-gene-8.120-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.120&CDS=1-1224	YGR159C
OG0002943	genemark-CP006025.1-processed-gene-8.125-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.125&CDS=1-1638	YGL045W
OG0002944	genemark-CP006025.1-processed-gene-8.126-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.126&CDS=1-714	YGR158C
OG0002945	augustus_masked-CP006025.1-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-8.30&CDS=1-2535	YGR157W
OG0002946	genemark-CP006025.1-processed-gene-8.148-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.148&CDS=1-1518	YLR314C
OG0002947	genemark-CP006025.1-processed-gene-8.130-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.130&CDS=1-528	YKL069W
OG0002948	genemark-CP006025.1-processed-gene-8.131-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.131&CDS=1-1557	YGL160W
OG0002949	genemark-CP006025.1-processed-gene-8.149-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.149&CDS=1-3465	YLR256W
OG0002950	snap_masked-CP006025.1-processed-gene-8.89-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-8.89&CDS=1-2202	YLR253W
OG0002951	augustus_masked-CP006025.1-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-8.35&CDS=1-1857	YLR173W
OG0002952	genemark-CP006025.1-processed-gene-8.134-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.134&CDS=1-894	YLR172C
OG0002953	genemark-CP006025.1-processed-gene-8.135-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.135&CDS=1-468	YLR170C
OG0002954	genemark-CP006025.1-processed-gene-8.136-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.136&CDS=1-1266	YBR287W
OG0002955	snap_masked-CP006025.1-processed-gene-8.73-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-8.73&CDS=1-660	YHR181W
OG0002956	snap_masked-CP006025.1-processed-gene-8.74-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-8.74&CDS=1-2049	YHR182W
OG0002957	snap_masked-CP006025.1-processed-gene-8.75-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-8.75&CDS=1-1476	YHR183W
OG0002958	augustus_masked-CP006025.1-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-8.22&CDS=1-1857	YHR184W
OG0002959	genemark-CP006025.1-processed-gene-8.154-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.154&CDS=1-1032	YGR257C
OG0002960	maker-CP006025.1-snap-gene-8.2-mRNA-1_1&gene=maker-CP006025.1-snap-gene-8.2&CDS=1-2646	YGR258C
OG0002961	genemark-CP006025.1-processed-gene-8.156-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.156&CDS=1-957	YOR142W
OG0002962	genemark-CP006025.1-processed-gene-8.140-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.140&CDS=1-2319	YOR141C
OG0002963	genemark-CP006025.1-processed-gene-8.158-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.158&CDS=1-1101	YOR136W
OG0002964	genemark-CP006025.1-processed-gene-8.141-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.141&CDS=1-1854	YDR390C
OG0002965	augustus_masked-CP006025.1-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-8.40&CDS=1-5328	YDR388W
OG0002966	genemark-CP006025.1-processed-gene-8.163-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.163&CDS=1-1584	YOR132W
OG0002967	genemark-CP006025.1-processed-gene-8.142-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.142&CDS=1-780	YDR384C
OG0002968	genemark-CP006025.1-processed-gene-8.164-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.164&CDS=1-324	YDR382W
OG0002969	genemark-CP006025.1-processed-gene-8.143-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.143&CDS=1-843	YOR130C
OG0002970	genemark-CP006025.1-processed-gene-8.144-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.144&CDS=1-312	YDR381C-A
OG0002971	maker-CP006025.1-augustus-gene-8.52-mRNA-1_1&gene=maker-CP006025.1-augustus-gene-8.52&CDS=1-660	YDR381W
OG0002972	augustus_masked-CP006025.1-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-8.46&CDS=1-1047	YFL029C
OG0002973	genemark-CP006025.1-processed-gene-8.168-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.168&CDS=1-1053	YLR056W
OG0002974	genemark-CP006025.1-processed-gene-8.169-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.169&CDS=1-810	YFL028C
OG0002975	genemark-CP006025.1-processed-gene-8.145-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.145&CDS=1-1728	YLR055C
OG0002976	augustus_masked-CP006025.1-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-8.49&CDS=1-1536	YFL027C
OG0002977	genemark-CP006025.1-processed-gene-8.146-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-8.146&CDS=1-1689	YLR259C
OG0002978	genemark-CP006025.1-processed-gene-9.3-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.3&CDS=1-924	YDL179W
OG0002979	snap_masked-CP006025.1-processed-gene-9.54-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-9.54&CDS=1-1215	YDL128W
OG0002980	snap_masked-CP006025.1-processed-gene-9.55-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-9.55&CDS=1-1278	YDL180W
OG0002981	augustus_masked-CP006025.1-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.113&CDS=1-645	YDL129W
OG0002982	genemark-CP006025.1-processed-gene-9.25-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.25&CDS=1-315	YDL130W
OG0002983	genemark-CP006025.1-processed-gene-9.26-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.26&CDS=1-609	YGL200C
OG0002984	augustus_masked-CP006025.1-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.116&CDS=1-8016	YGL195W
OG0002985	genemark-CP006025.1-processed-gene-9.28-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.28&CDS=1-1347	YGL194C
OG0002986	genemark-CP006025.1-processed-gene-9.10-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.10&CDS=1-1677	YGL192W
OG0002987	snap_masked-CP006025.1-processed-gene-9.63-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-9.63&CDS=1-897	YDR065W
OG0002988	genemark-CP006025.1-processed-gene-9.29-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.29&CDS=1-624	YER139C
OG0002989	snap_masked-CP006025.1-processed-gene-9.64-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-9.64&CDS=1-1353	YER140W
OG0002990	genemark-CP006025.1-processed-gene-9.12-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.12&CDS=1-2652	YBL023C
OG0002991	augustus_masked-CP006025.1-processed-gene-9.140-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.140&CDS=1-2394	YBL024W
OG0002992	augustus_masked-CP006025.1-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.122&CDS=1-393	YER137C
OG0002993	genemark-CP006025.1-processed-gene-9.33-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.33&CDS=1-285	YBL026W
OG0002994	genemark-CP006025.1-processed-gene-9.34-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.34&CDS=1-1338	YER136W
OG0002995	genemark-CP006025.1-processed-gene-9.35-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.35&CDS=1-660	YER163C
OG0002996	augustus_masked-CP006025.1-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.144&CDS=1-861	YHL025W
OG0002997	snap_masked-CP006025.1-processed-gene-9.67-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-9.67&CDS=1-2145	YLL032C
OG0002998	genemark-CP006025.1-processed-gene-9.15-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.15&CDS=1-2481	YLL034C
OG0002999	genemark-CP006025.1-processed-gene-9.37-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.37&CDS=1-1902	YLL035W
OG0003000	genemark-CP006025.1-processed-gene-9.38-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.38&CDS=1-1299	YHL027W
OG0003001	augustus_masked-CP006025.1-processed-gene-9.147-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.147&CDS=1-1185	YHL028W
OG0003002	genemark-CP006025.1-processed-gene-9.16-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.16&CDS=1-1680	YHL029C
OG0003003	genemark-CP006025.1-processed-gene-9.17-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.17&CDS=1-459	YGL187C
OG0003004	genemark-CP006025.1-processed-gene-9.19-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.19&CDS=1-1368	YGL190C
OG0003005	genemark-CP006025.1-processed-gene-9.40-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.40&CDS=1-378	YGL191W
OG0003006	genemark-CP006025.1-processed-gene-9.20-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.20&CDS=1-1254	YMR115W
OG0003007	genemark-CP006025.1-processed-gene-9.21-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.21&CDS=1-2328	YKL134C
OG0003008	genemark-CP006025.1-processed-gene-9.41-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.41&CDS=1-954	YMR116C
OG0003009	genemark-CP006025.1-processed-gene-9.22-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.22&CDS=1-2082	YKL135C
OG0003010	genemark-CP006025.1-processed-gene-9.42-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.42&CDS=1-327	YKL137W
OG0003011	augustus_masked-CP006025.1-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.130&CDS=1-399	YKL138C
OG0003012	genemark-CP006025.1-processed-gene-9.43-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.43&CDS=1-612	YMR117C
OG0003013	augustus_masked-CP006025.1-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.131&CDS=1-204	YKL138C-A
OG0003014	genemark-CP006025.1-processed-gene-9.44-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.44&CDS=1-1374	YKL139W
OG0003015	maker-CP006025.1-augustus-gene-9.160-mRNA-1_1&gene=maker-CP006025.1-augustus-gene-9.160&CDS=1-1785	YKL140W
OG0003016	genemark-CP006025.1-processed-gene-9.23-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.23&CDS=1-711	YLR025W
OG0003017	genemark-CP006025.1-processed-gene-9.48-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.48&CDS=1-987	YLR026C
OG0003018	genemark-CP006025.1-processed-gene-9.49-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.49&CDS=1-1257	YLR027C
OG0003019	augustus_masked-CP006025.1-processed-gene-9.133-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-9.133&CDS=1-1878	YMR119W
OG0003020	genemark-CP006025.1-processed-gene-10.58-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.58&CDS=1-1770	YMR120C
OG0003021	genemark-CP006025.1-processed-gene-10.55-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.55&CDS=1-306	YMR123W
OG0003022	genemark-CP006025.1-processed-gene-10.56-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.56&CDS=1-3318	YMR124W
OG0003023	maker-CP006025.1-snap-gene-10.0-mRNA-1_1&gene=maker-CP006025.1-snap-gene-10.0&CDS=1-2580	YMR125W
OG0003024	snap_masked-CP006025.1-processed-gene-10.143-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-10.143&CDS=1-795	YMR126C
OG0003025	genemark-CP006025.1-processed-gene-10.61-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.61&CDS=1-3258	YLR032W
OG0003026	genemark-CP006025.1-processed-gene-10.87-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.87&CDS=1-942	YMR127C
OG0003027	genemark-CP006025.1-processed-gene-10.62-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.62&CDS=1-3711	YMR128W
OG0003028	augustus_masked-CP006025.1-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-10.11&CDS=1-1425	YLR033W
OG0003029	genemark-CP006025.1-processed-gene-10.64-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.64&CDS=1-3894	YMR129W
OG0003030	genemark-CP006025.1-processed-gene-10.89-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.89&CDS=1-2112	YLR035C
OG0003031	augustus_masked-CP006025.1-processed-gene-10.13-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-10.13&CDS=1-819	YMR130W
OG0003032	genemark-CP006025.1-processed-gene-10.67-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.67&CDS=1-1008	YGL222C
OG0003033	genemark-CP006025.1-processed-gene-10.92-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.92&CDS=1-1818	YER036C
OG0003034	augustus_masked-CP006025.1-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-10.16&CDS=1-1125	YGL223C
OG0003035	genemark-CP006025.1-processed-gene-10.69-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.69&CDS=1-846	YGL224C
OG0003036	augustus_masked-CP006025.1-processed-gene-10.39-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-10.39&CDS=1-1239	YER038C
OG0003037	genemark-CP006025.1-processed-gene-10.94-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.94&CDS=1-987	YGL225W
OG0003038	snap_masked-CP006025.1-processed-gene-10.128-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-10.128&CDS=1-2085	YER041W
OG0003039	snap_masked-CP006025.1-processed-gene-10.129-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-10.129&CDS=1-567	YER042W
OG0003040	snap_masked-CP006025.1-processed-gene-10.150-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-10.150&CDS=1-405	YGL226W
