	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
OG0002056	augustus_masked-APLS01000015.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.102&CDS=1-258	YAL046C
OG0002057	snap_masked-APLS01000015.1-processed-gene-0.241-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.241&CDS=1-2334	YOR361C
OG0002058	snap_masked-APLS01000015.1-processed-gene-0.242-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.242&CDS=1-2061	YAL048C
OG0002059	snap_masked-APLS01000015.1-processed-gene-0.243-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.243&CDS=1-1896	YJR045C
OG0002060	snap_masked-APLS01000015.1-processed-gene-0.192-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.192&CDS=1-1167	YKR038C
OG0002061	snap_masked-APLS01000015.1-processed-gene-0.193-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.193&CDS=1-342	YLR364W
OG0002062	snap_masked-APLS01000015.1-processed-gene-0.244-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.244&CDS=1-3594	YJL074C
OG0002063	genemark-APLS01000015.1-processed-gene-0.9-mRNA-1_1&gene=genemark-APLS01000015.1-processed-gene-0.9&CDS=1-822	YJL072C
OG0002064	snap_masked-APLS01000015.1-processed-gene-0.195-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.195&CDS=1-1581	YBR286W
OG0002065	snap_masked-APLS01000015.1-processed-gene-0.197-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.197&CDS=1-1410	YKR034W
OG0002066	augustus_masked-APLS01000015.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.110&CDS=1-453	YJL104W
OG0002067	snap_masked-APLS01000015.1-processed-gene-0.199-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.199&CDS=1-1803	YKR023W
OG0002068	snap_masked-APLS01000015.1-processed-gene-0.248-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.248&CDS=1-2415	YKR024C
OG0002069	snap_masked-APLS01000015.1-processed-gene-0.200-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.200&CDS=1-858	YKR025W
OG0002070	snap_masked-APLS01000015.1-processed-gene-0.201-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.201&CDS=1-1053	YKR026C
OG0002071	snap_masked-APLS01000015.1-processed-gene-0.250-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.250&CDS=1-1929	YJL106W
OG0002072	snap_masked-APLS01000015.1-processed-gene-0.251-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.251&CDS=1-5472	YJL109C
OG0002073	maker-APLS01000015.1-snap-gene-0.182-mRNA-1_1&gene=maker-APLS01000015.1-snap-gene-0.182&CDS=1-2352	YJL108C
OG0002074	genemark-APLS01000015.1-processed-gene-0.18-mRNA-1_1&gene=genemark-APLS01000015.1-processed-gene-0.18&CDS=1-1671	YFR028C
OG0002075	snap_masked-APLS01000015.1-processed-gene-0.206-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.206&CDS=1-819	YOR362C
OG0002076	snap_masked-APLS01000015.1-processed-gene-0.207-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.207&CDS=1-618	YAL059W
OG0002077	genemark-APLS01000015.1-processed-gene-0.24-mRNA-1_1&gene=genemark-APLS01000015.1-processed-gene-0.24&CDS=1-2505	YBR276C
OG0002078	maker-APLS01000015.1-augustus-gene-0.94-mRNA-1_1&gene=maker-APLS01000015.1-augustus-gene-0.94&CDS=1-1254	YBR265W
OG0002079	augustus_masked-APLS01000015.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.123&CDS=1-1290	YBR267W
OG0002080	snap_masked-APLS01000015.1-processed-gene-0.214-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.214&CDS=1-2313	YJL062W
OG0002081	snap_masked-APLS01000015.1-processed-gene-0.215-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.215&CDS=1-327	YBR268W
OG0002082	snap_masked-APLS01000015.1-processed-gene-0.256-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.256&CDS=1-441	YBR269C
OG0002083	snap_masked-APLS01000015.1-processed-gene-0.217-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.217&CDS=1-1317	YJL060W
OG0002084	snap_masked-APLS01000015.1-processed-gene-0.258-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.258&CDS=1-891	YJL053W
OG0002085	snap_masked-APLS01000015.1-processed-gene-0.259-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.259&CDS=1-1341	YJL054W
OG0002086	snap_masked-APLS01000015.1-processed-gene-0.261-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.261&CDS=1-2016	YMR313C
OG0002087	snap_masked-APLS01000015.1-processed-gene-0.219-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.219&CDS=1-1638	YBR274W
OG0002088	snap_masked-APLS01000015.1-processed-gene-0.263-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.263&CDS=1-1494	YBR263W
OG0002089	augustus_masked-APLS01000015.1-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.129&CDS=1-1512	YJL056C
OG0002090	snap_masked-APLS01000015.1-processed-gene-0.265-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.265&CDS=1-1074	YBR271W
OG0002091	augustus_masked-APLS01000015.1-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.169&CDS=1-1149	YJL059W
OG0002092	augustus_masked-APLS01000015.1-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.132&CDS=1-5046	YKR031C
OG0002093	augustus_masked-APLS01000015.1-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.170&CDS=1-1692	YJL073W
OG0002094	snap_masked-APLS01000015.1-processed-gene-0.226-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.226&CDS=1-939	YOL018C
OG0002095	snap_masked-APLS01000015.1-processed-gene-0.267-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.267&CDS=1-1881	YOL019W
OG0002096	augustus_masked-APLS01000015.1-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.173&CDS=1-2529	YJL090C
OG0002097	augustus_masked-APLS01000015.1-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.175&CDS=1-1917	YJL069C
OG0002098	snap_masked-APLS01000015.1-processed-gene-0.231-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.231&CDS=1-2631	YLR207W
OG0002099	snap_masked-APLS01000015.1-processed-gene-0.232-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.232&CDS=1-987	YLR208W
OG0002100	snap_masked-APLS01000015.1-processed-gene-0.273-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.273&CDS=1-975	YLR209C
OG0002101	snap_masked-APLS01000015.1-processed-gene-0.233-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.233&CDS=1-2040	YDL164C
OG0002102	snap_masked-APLS01000015.1-processed-gene-0.275-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.275&CDS=1-1515	YLR203C
OG0002103	snap_masked-APLS01000015.1-processed-gene-0.235-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.235&CDS=1-627	YDL165W
OG0002104	snap_masked-APLS01000016.1-processed-gene-0.182-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.182&CDS=1-1059	YBR221C
OG0002105	augustus_masked-APLS01000016.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.92&CDS=1-1581	YBR220C
OG0002106	augustus_masked-APLS01000016.1-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.135&CDS=1-582	YGL126W
OG0002107	snap_masked-APLS01000016.1-processed-gene-0.184-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.184&CDS=1-381	YGL127C
OG0002108	snap_masked-APLS01000016.1-processed-gene-0.185-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.185&CDS=1-3522	YBR218C
OG0002109	snap_masked-APLS01000016.1-processed-gene-0.238-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.238&CDS=1-1410	YBR026C
OG0002110	maker-APLS01000016.1-snap-gene-0.283-mRNA-1_1&gene=maker-APLS01000016.1-snap-gene-0.283&CDS=1-453	YBR215W
OG0002111	snap_masked-APLS01000016.1-processed-gene-0.240-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.240&CDS=1-1494	YGL059W
OG0002112	snap_masked-APLS01000016.1-processed-gene-0.242-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.242&CDS=1-1008	YPL266W
OG0002113	snap_masked-APLS01000016.1-processed-gene-0.189-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.189&CDS=1-1506	YGL055W
OG0002114	augustus_masked-APLS01000016.1-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.141&CDS=1-966	YBR213W
OG0002115	snap_masked-APLS01000016.1-processed-gene-0.244-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.244&CDS=1-1701	YBR212W
OG0002116	snap_masked-APLS01000016.1-processed-gene-0.190-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.190&CDS=1-1227	YML060W
OG0002117	snap_masked-APLS01000016.1-processed-gene-0.245-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.245&CDS=1-408	YGL054C
OG0002118	snap_masked-APLS01000016.1-processed-gene-0.193-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.193&CDS=1-4179	YOR191W
OG0002119	snap_masked-APLS01000016.1-processed-gene-0.194-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.194&CDS=1-711	YLR301W
OG0002120	augustus_masked-APLS01000016.1-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.145&CDS=1-2784	YPL268W
OG0002121	augustus_masked-APLS01000016.1-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.147&CDS=1-2211	YPL270W
OG0002122	augustus_masked-APLS01000016.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.103&CDS=1-2004	YPL263C
OG0002123	snap_masked-APLS01000016.1-processed-gene-0.197-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.197&CDS=1-1176	YEL056W
OG0002124	genemark-APLS01000016.1-processed-gene-0.61-mRNA-1_1&gene=genemark-APLS01000016.1-processed-gene-0.61&CDS=1-1731	YPL272C
OG0002125	snap_masked-APLS01000016.1-processed-gene-0.253-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.253&CDS=1-3297	YEL055C
OG0002126	augustus_masked-APLS01000016.1-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.151&CDS=1-1683	YEL058W
OG0002127	snap_masked-APLS01000016.1-processed-gene-0.198-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.198&CDS=1-1458	YPL262W
OG0002128	snap_masked-APLS01000016.1-processed-gene-0.199-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.199&CDS=1-1683	YEL060C
OG0002129	snap_masked-APLS01000016.1-processed-gene-0.200-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.200&CDS=1-930	YOR004W
OG0002130	maker-APLS01000016.1-snap-gene-0.279-mRNA-1_1&gene=maker-APLS01000016.1-snap-gene-0.279&CDS=1-1716	YEL062W
OG0002131	snap_masked-APLS01000016.1-processed-gene-0.256-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.256&CDS=1-3291	YEL061C
OG0002132	snap_masked-APLS01000016.1-processed-gene-0.202-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.202&CDS=1-1749	YOR002W
OG0002133	augustus_masked-APLS01000016.1-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.154&CDS=1-1224	YOL001W
OG0002134	augustus_masked-APLS01000016.1-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.155&CDS=1-708	YML001W
OG0002135	augustus_masked-APLS01000016.1-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.156&CDS=1-966	YOR006C
OG0002136	snap_masked-APLS01000016.1-processed-gene-0.259-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.259&CDS=1-879	YOR007C
OG0002137	genemark-APLS01000016.1-processed-gene-0.20-mRNA-1_1&gene=genemark-APLS01000016.1-processed-gene-0.20&CDS=1-2760	YOR001W
OG0002138	maker-APLS01000016.1-snap-gene-0.280-mRNA-1_1&gene=maker-APLS01000016.1-snap-gene-0.280&CDS=1-1065	YOL003C
OG0002139	snap_masked-APLS01000016.1-processed-gene-0.260-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.260&CDS=1-4347	YOL004W
OG0002140	snap_masked-APLS01000016.1-processed-gene-0.206-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.206&CDS=1-357	YOL005C
OG0002141	augustus_masked-APLS01000016.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.159&CDS=1-2223	YMR001C
OG0002142	augustus_masked-APLS01000016.1-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.113&CDS=1-2076	YOL006C
OG0002143	snap_masked-APLS01000016.1-processed-gene-0.262-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.262&CDS=1-438	YMR002W
OG0002144	augustus_masked-APLS01000016.1-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.162&CDS=1-630	YOL008W
OG0002145	augustus_masked-APLS01000016.1-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.115&CDS=1-918	YOL009C
OG0002146	augustus_masked-APLS01000016.1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.116&CDS=1-1476	YMR004W
OG0002147	augustus_masked-APLS01000016.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.163&CDS=1-1215	YOL010W
OG0002148	snap_masked-APLS01000016.1-processed-gene-0.213-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.213&CDS=1-954	YOR164C
OG0002149	snap_masked-APLS01000016.1-processed-gene-0.264-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.264&CDS=1-2424	YOR165W
OG0002150	snap_masked-APLS01000016.1-processed-gene-0.219-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.219&CDS=1-2472	YOR168W
OG0002151	snap_masked-APLS01000016.1-processed-gene-0.220-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.220&CDS=1-195	YLR262C-A
OG0002152	snap_masked-APLS01000016.1-processed-gene-0.221-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.221&CDS=1-708	YLR262C
OG0002153	augustus_masked-APLS01000016.1-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.167&CDS=1-4956	YPL242C
OG0002154	snap_masked-APLS01000016.1-processed-gene-0.269-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.269&CDS=1-1227	YMR185W
OG0002155	snap_masked-APLS01000016.1-processed-gene-0.222-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.222&CDS=1-630	YPL239W
OG0002156	snap_masked-APLS01000016.1-processed-gene-0.223-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.223&CDS=1-741	YPL237W
OG0002157	snap_masked-APLS01000016.1-processed-gene-0.271-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.271&CDS=1-228	YMR184W
OG0002158	snap_masked-APLS01000016.1-processed-gene-0.226-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.226&CDS=1-1437	YPL235W
OG0002159	snap_masked-APLS01000016.1-processed-gene-0.272-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.272&CDS=1-492	YPL234C
OG0002160	snap_masked-APLS01000016.1-processed-gene-0.229-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.229&CDS=1-1002	YPL215W
OG0002161	augustus_masked-APLS01000016.1-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.129&CDS=1-876	YPL232W
OG0002162	snap_masked-APLS01000016.1-processed-gene-0.231-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.231&CDS=1-5676	YPL231W
OG0002163	snap_masked-APLS01000016.1-processed-gene-0.232-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.232&CDS=1-1560	YPL228W
OG0002164	snap_masked-APLS01000016.1-processed-gene-0.233-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.233&CDS=1-3660	YPL217C
OG0002165	snap_masked-APLS01000016.1-processed-gene-0.273-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.273&CDS=1-567	YPL218W
OG0002166	snap_masked-APLS01000016.1-processed-gene-0.234-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.234&CDS=1-747	YGL136C
OG0002167	snap_masked-APLS01000017.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.50&CDS=1-1515	YER123W
OG0002168	snap_masked-APLS01000017.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.51&CDS=1-1104	YGL175C
OG0002169	augustus_masked-APLS01000017.1-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-APLS01000017.1-processed-gene-0.191&CDS=1-462	YGL174W
OG0002170	snap_masked-APLS01000017.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.52&CDS=1-4188	YGL173C
OG0002171	augustus_masked-APLS01000017.1-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-APLS01000017.1-processed-gene-0.192&CDS=1-1395	YGL172W
OG0002172	snap_masked-APLS01000017.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.53&CDS=1-3714	YLL019C
OG0002173	snap_masked-APLS01000017.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.2&CDS=1-1689	YLL018C
OG0002174	snap_masked-APLS01000017.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.54&CDS=1-237	YLL018C-A
OG0002175	snap_masked-APLS01000017.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.4&CDS=1-651	YDR391C
OG0002176	maker-APLS01000017.1-augustus-gene-0.187-mRNA-1_1&gene=maker-APLS01000017.1-augustus-gene-0.187&CDS=1-1359	YDL156W
OG0002177	snap_masked-APLS01000017.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.5&CDS=1-318	YDL157C
OG0002178	snap_masked-APLS01000017.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.57&CDS=1-1644	YDL159W
OG0002179	snap_masked-APLS01000017.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.6&CDS=1-708	YBR261C
OG0002180	snap_masked-APLS01000017.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.11&CDS=1-3912	YJL080C
OG0002181	snap_masked-APLS01000017.1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.60&CDS=1-666	YKR014C
OG0002182	augustus_masked-APLS01000017.1-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-APLS01000017.1-processed-gene-0.206&CDS=1-1407	YMR223W
OG0002183	snap_masked-APLS01000017.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.62&CDS=1-801	YOR281C
OG0002184	snap_masked-APLS01000017.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.63&CDS=1-2250	YMR224C
OG0002185	snap_masked-APLS01000017.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.15&CDS=1-810	YOR283W
OG0002186	snap_masked-APLS01000017.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.64&CDS=1-1140	YOR287C
OG0002187	snap_masked-APLS01000017.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.66&CDS=1-1074	YOR288C
OG0002188	snap_masked-APLS01000017.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.17&CDS=1-810	YOR289W
OG0002189	snap_masked-APLS01000017.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.18&CDS=1-801	YMR226C
OG0002190	snap_masked-APLS01000017.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.19&CDS=1-1050	YLR308W
OG0002191	snap_masked-APLS01000017.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.68&CDS=1-2049	YLR309C
OG0002192	snap_masked-APLS01000017.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.69&CDS=1-1134	YER127W
OG0002193	snap_masked-APLS01000017.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.20&CDS=1-828	YER126C
OG0002194	snap_masked-APLS01000017.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.21&CDS=1-2748	YGL178W
OG0002195	snap_masked-APLS01000017.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.23&CDS=1-1800	YER068W
OG0002196	snap_masked-APLS01000017.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.28&CDS=1-1398	YIL074C
OG0002197	maker-APLS01000017.1-snap-gene-0.279-mRNA-1_1&gene=maker-APLS01000017.1-snap-gene-0.279&CDS=1-2853	YIL075C
OG0002198	snap_masked-APLS01000017.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.72&CDS=1-1662	YER082C
OG0002199	snap_masked-APLS01000017.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.30&CDS=1-1365	YKL216W
OG0002200	maker-APLS01000017.1-augustus-gene-0.189-mRNA-1_1&gene=maker-APLS01000017.1-augustus-gene-0.189&CDS=1-1887	YER083C
OG0002201	genemark-APLS01000017.1-processed-gene-0.126-mRNA-1_1&gene=genemark-APLS01000017.1-processed-gene-0.126&CDS=1-240	YDL177C
OG0002202	snap_masked-APLS01000017.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.74&CDS=1-969	YDL124W
OG0002203	maker-APLS01000017.1-snap-gene-0.286-mRNA-1_1&gene=maker-APLS01000017.1-snap-gene-0.286&CDS=1-2940	YDL126C
OG0002204	maker-APLS01000017.1-snap-gene-0.287-mRNA-1_1&gene=maker-APLS01000017.1-snap-gene-0.287&CDS=1-2817	YDL178W
OG0002205	snap_masked-APLS01000017.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.79&CDS=1-2496	YDL180W
OG0002206	snap_masked-APLS01000017.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.36&CDS=1-804	YKL095W
OG0002207	snap_masked-APLS01000017.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.80&CDS=1-3138	YDL190C
OG0002208	augustus_masked-APLS01000017.1-processed-gene-0.268-mRNA-1_1&gene=augustus_masked-APLS01000017.1-processed-gene-0.268&CDS=1-645	YDL135C
OG0002209	augustus_masked-APLS01000017.1-processed-gene-0.270-mRNA-1_1&gene=augustus_masked-APLS01000017.1-processed-gene-0.270&CDS=1-1032	YDL183C
OG0002210	snap_masked-APLS01000017.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.41&CDS=1-1611	YDL133W
OG0002211	snap_masked-APLS01000017.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.42&CDS=1-2307	YDL132W
OG0002212	snap_masked-APLS01000017.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.43&CDS=1-1320	YDL131W
OG0002213	maker-APLS01000017.1-snap-gene-0.281-mRNA-1_1&gene=maker-APLS01000017.1-snap-gene-0.281&CDS=1-315	YDL130W
OG0002214	snap_masked-APLS01000017.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.84&CDS=1-1155	YDL193W
OG0002215	snap_masked-APLS01000017.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.87&CDS=1-3954	YDL195W
OG0002216	maker-APLS01000017.1-snap-gene-0.282-mRNA-1_1&gene=maker-APLS01000017.1-snap-gene-0.282&CDS=1-1074	YLR218C
OG0002217	snap_masked-APLS01000017.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.48&CDS=1-1173	YLR216C
OG0002218	snap_masked-APLS01000018.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-APLS01000018.1-processed-gene-0.0&CDS=1-447	YKL067W
OG0002219	augustus_masked-APLS01000018.1-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-APLS01000018.1-processed-gene-0.145&CDS=1-1047	YMR041C
OG0002220	snap_masked-APLS01000018.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-APLS01000018.1-processed-gene-0.2&CDS=1-747	YMR039C
OG0002221	maker-APLS01000018.1-augustus-gene-0.186-mRNA-1_1&gene=maker-APLS01000018.1-augustus-gene-0.186&CDS=1-4671	YKL064W
OG0002222	snap_masked-APLS01000018.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-APLS01000018.1-processed-gene-0.5&CDS=1-2523	YKL048C
OG0002223	snap_masked-APLS01000018.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-APLS01000018.1-processed-gene-0.7&CDS=1-573	YMR036C
OG0002224	snap_masked-APLS01000018.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-APLS01000018.1-processed-gene-0.8&CDS=1-390	YMR035W
