	Hyphopichia_burtonii	Saccharomyces_cerevisiae
OG0002705	snap_masked-scaffold_6-processed-gene-5.89-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.89&CDS=1-3747	YOL051W
OG0002706	maker-scaffold_6-augustus-gene-5.81-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-5.81&CDS=1-504	YPR073C
OG0002707	genemark-scaffold_6-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.43&CDS=1-1869	YPR072W
OG0002708	snap_masked-scaffold_6-processed-gene-5.118-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.118&CDS=1-237	YOR357C
OG0002709	genemark-scaffold_6-processed-gene-5.69-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.69&CDS=1-1479	YGL055W
OG0002710	genemark-scaffold_6-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.48&CDS=1-3099	YMR189W
OG0002711	genemark-scaffold_6-processed-gene-5.49-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.49&CDS=1-1650	YPL247C
OG0002712	genemark-scaffold_6-processed-gene-5.51-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.51&CDS=1-438	YNL185C
OG0002713	genemark-scaffold_6-processed-gene-5.71-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.71&CDS=1-1410	YNL181W
OG0002714	genemark-scaffold_6-processed-gene-5.52-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.52&CDS=1-1536	YNL182C
OG0002715	genemark-scaffold_6-processed-gene-5.53-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.53&CDS=1-729	YDL213C
OG0002716	genemark-scaffold_6-processed-gene-5.54-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.54&CDS=1-636	YDL212W
OG0002717	genemark-scaffold_6-processed-gene-5.55-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.55&CDS=1-915	YNL177C
OG0002718	genemark-scaffold_6-processed-gene-5.56-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.56&CDS=1-672	YBL049W
OG0002719	genemark-scaffold_6-processed-gene-5.74-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.74&CDS=1-2256	YNL186W
OG0002720	genemark-scaffold_6-processed-gene-5.76-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.76&CDS=1-2043	YHL024W
OG0002721	genemark-scaffold_6-processed-gene-5.78-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.78&CDS=1-8202	YGL195W
OG0002722	augustus_masked-scaffold_6-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.19&CDS=1-3678	YMR190C
OG0002723	genemark-scaffold_6-processed-gene-5.61-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.61&CDS=1-1071	YPL248C
OG0002724	genemark-scaffold_6-processed-gene-5.63-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.63&CDS=1-3087	YPL249C
OG0002725	augustus_masked-scaffold_6-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.38&CDS=1-543	YKL186C
OG0002726	genemark-scaffold_6-processed-gene-6.85-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.85&CDS=1-1926	YKL185W
OG0002727	genemark-scaffold_6-processed-gene-6.88-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.88&CDS=1-1488	YLL036C
OG0002728	genemark-scaffold_6-processed-gene-6.90-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.90&CDS=1-2511	YMR277W
OG0002729	augustus_masked-scaffold_6-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.69&CDS=1-5655	YMR276W
OG0002730	genemark-scaffold_6-processed-gene-6.92-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.92&CDS=1-1881	YMR278W
OG0002731	genemark-scaffold_6-processed-gene-6.93-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.93&CDS=1-1461	YML115C
OG0002732	genemark-scaffold_6-processed-gene-6.114-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.114&CDS=1-960	YGL198W
OG0002733	genemark-scaffold_6-processed-gene-6.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.115&CDS=1-681	YJL218W
OG0002734	genemark-scaffold_6-processed-gene-6.95-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.95&CDS=1-2907	YLR187W
OG0002735	snap_masked-scaffold_6-processed-gene-6.38-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.38&CDS=1-270	YDR510W
OG0002736	genemark-scaffold_6-processed-gene-6.97-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.97&CDS=1-1854	YNL279W
OG0002737	genemark-scaffold_6-processed-gene-6.121-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.121&CDS=1-2271	YNL218W
OG0002738	genemark-scaffold_6-processed-gene-6.98-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.98&CDS=1-1083	YML060W
OG0002739	genemark-scaffold_6-processed-gene-6.123-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.123&CDS=1-2322	YDR499W
OG0002740	genemark-scaffold_6-processed-gene-6.100-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.100&CDS=1-831	YLR186W
OG0002741	genemark-scaffold_6-processed-gene-6.102-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.102&CDS=1-1386	YPR186C
OG0002742	maker-scaffold_6-augustus-gene-6.133-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.133&CDS=1-6048	YNL139C
OG0002743	augustus_masked-scaffold_6-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.83&CDS=1-750	YGL136C
OG0002744	augustus_masked-scaffold_6-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.65&CDS=1-1890	YJR002W
OG0002745	genemark-scaffold_6-processed-gene-6.106-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.106&CDS=1-1983	YKL125W
OG0002746	snap_masked-scaffold_6-processed-gene-7.2-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.2&CDS=1-1026	YNL274C
OG0002747	genemark-scaffold_6-processed-gene-7.59-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.59&CDS=1-1635	YBR286W
OG0002748	genemark-scaffold_6-processed-gene-7.61-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.61&CDS=1-1203	YGL048C
OG0002749	augustus_masked-scaffold_6-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.127&CDS=1-954	YNL213C
OG0002750	genemark-scaffold_6-processed-gene-7.62-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.62&CDS=1-2496	YNL212W
OG0002751	snap_masked-scaffold_6-processed-gene-7.26-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.26&CDS=1-252	YNL211C
OG0002752	genemark-scaffold_6-processed-gene-7.65-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.65&CDS=1-981	YGL127C
OG0002753	genemark-scaffold_6-processed-gene-7.66-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.66&CDS=1-957	YGL126W
OG0002754	augustus_masked-scaffold_6-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.113&CDS=1-2754	YIL140W
OG0002755	genemark-scaffold_6-processed-gene-7.68-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.68&CDS=1-1176	YBR221C
OG0002756	genemark-scaffold_6-processed-gene-7.69-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.69&CDS=1-1698	YBR220C
OG0002757	genemark-scaffold_6-processed-gene-7.88-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.88&CDS=1-2382	YBR198C
OG0002758	augustus_masked-scaffold_6-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.117&CDS=1-948	YMR101C
OG0002759	augustus_masked-scaffold_6-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.135&CDS=1-576	YKL119C
OG0002760	genemark-scaffold_6-processed-gene-7.72-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.72&CDS=1-1341	YNL040W
OG0002761	augustus_masked-scaffold_6-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.136&CDS=1-5013	YBR146W
OG0002762	genemark-scaffold_6-processed-gene-7.93-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.93&CDS=1-1509	YJL194W
OG0002763	genemark-scaffold_6-processed-gene-7.94-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.94&CDS=1-303	YOL086W-A
OG0002764	genemark-scaffold_6-processed-gene-7.74-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.74&CDS=1-642	YBR154C
OG0002765	augustus_masked-scaffold_6-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.139&CDS=1-1236	YBR153W
OG0002766	genemark-scaffold_6-processed-gene-7.75-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.75&CDS=1-1005	YCR034W
OG0002767	genemark-scaffold_6-processed-gene-7.97-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.97&CDS=1-993	YCR036W
OG0002768	genemark-scaffold_6-processed-gene-7.98-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.98&CDS=1-2748	YBR079C
OG0002769	genemark-scaffold_6-processed-gene-7.99-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.99&CDS=1-876	YDR361C
OG0002770	genemark-scaffold_6-processed-gene-7.76-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.76&CDS=1-1467	YDR364C
OG0002771	genemark-scaffold_6-processed-gene-7.77-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.77&CDS=1-2289	YPR031W
OG0002772	augustus_masked-scaffold_6-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.124&CDS=1-2322	YBR083W
OG0002773	genemark-scaffold_6-processed-gene-8.3-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.3&CDS=1-1677	YOR128C
OG0002774	maker-scaffold_6-augustus-gene-8.235-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.235&CDS=1-1692	YOR301W
OG0002775	genemark-scaffold_6-processed-gene-8.2-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.2&CDS=1-678	YDR381W
OG0002776	genemark-scaffold_6-processed-gene-8.6-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.6&CDS=1-1935	YOR129C
OG0002777	genemark-scaffold_6-processed-gene-8.9-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.9&CDS=1-1140	YDL237W
OG0002778	genemark-scaffold_6-processed-gene-8.41-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.41&CDS=1-861	YOR130C
OG0002779	genemark-scaffold_6-processed-gene-8.42-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.42&CDS=1-426	YOL040C
OG0002780	augustus_masked-scaffold_6-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.121&CDS=1-1647	YLR242C
OG0002781	snap_masked-scaffold_6-processed-gene-8.196-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.196&CDS=1-1713	YOR205C
OG0002782	genemark-scaffold_6-processed-gene-8.48-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.48&CDS=1-777	YCR015C
OG0002783	genemark-scaffold_6-processed-gene-8.15-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.15&CDS=1-933	YCR016W
OG0002784	augustus_masked-scaffold_6-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.93&CDS=1-228	YDR525W-A
OG0002785	genemark-scaffold_6-processed-gene-8.49-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.49&CDS=1-2034	YDR234W
OG0002786	genemark-scaffold_6-processed-gene-8.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.18&CDS=1-1125	YMR272C
OG0002787	genemark-scaffold_6-processed-gene-8.50-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.50&CDS=1-1590	YMR270C
OG0002788	genemark-scaffold_6-processed-gene-8.51-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.51&CDS=1-828	YML105C
OG0002789	genemark-scaffold_6-processed-gene-8.53-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.53&CDS=1-3279	YPL160W
OG0002790	genemark-scaffold_6-processed-gene-8.54-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.54&CDS=1-2784	YMR268C
OG0002791	maker-scaffold_6-augustus-gene-8.232-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.232&CDS=1-4293	YML104C
OG0002792	genemark-scaffold_6-processed-gene-8.55-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.55&CDS=1-6435	YMR229C
OG0002793	genemark-scaffold_6-processed-gene-8.59-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.59&CDS=1-1668	YMR227C
OG0002794	snap_masked-scaffold_6-processed-gene-8.173-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.173&CDS=1-4233	YOR291W
OG0002795	genemark-scaffold_6-processed-gene-8.26-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.26&CDS=1-2649	YGR178C
OG0002796	genemark-scaffold_6-processed-gene-8.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.27&CDS=1-2526	YIL068C
OG0002797	genemark-scaffold_6-processed-gene-8.61-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.61&CDS=1-1020	YKL095W
OG0002798	genemark-scaffold_6-processed-gene-8.28-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.28&CDS=1-1602	YJL025W
OG0002799	genemark-scaffold_6-processed-gene-8.31-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.31&CDS=1-924	YGR208W
OG0002800	augustus_masked-scaffold_6-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.135&CDS=1-1608	YCL031C
OG0002801	genemark-scaffold_6-processed-gene-8.32-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.32&CDS=1-3003	YDR395W
OG0002802	genemark-scaffold_6-processed-gene-8.33-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.33&CDS=1-1092	YGR048W
OG0002803	genemark-scaffold_6-processed-gene-8.66-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.66&CDS=1-657	YDR399W
OG0002804	genemark-scaffold_6-processed-gene-8.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.34&CDS=1-2820	YKL073W
OG0002805	genemark-scaffold_6-processed-gene-8.35-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.35&CDS=1-1902	YKL074C
OG0002806	genemark-scaffold_6-processed-gene-8.67-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.67&CDS=1-957	YMR055C
OG0002807	snap_masked-scaffold_6-processed-gene-8.187-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.187&CDS=1-279	YER074W-A
OG0002808	augustus_masked-scaffold_6-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.138&CDS=1-1062	YDR397C
OG0002809	genemark-scaffold_6-processed-gene-8.70-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.70&CDS=1-663	YOR320C
OG0002810	maker-scaffold_6-snap-gene-8.228-mRNA-1_1&gene=maker-scaffold_6-snap-gene-8.228&CDS=1-1320	YJL171C
OG0002811	augustus_masked-scaffold_6-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.115&CDS=1-5157	YGR098C
OG0002812	genemark-scaffold_7-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.9&CDS=1-2034	YBR019C
OG0002813	snap_masked-scaffold_7-processed-gene-0.90-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.90&CDS=1-561	YDR246W
OG0002814	augustus_masked-scaffold_7-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.50&CDS=1-2052	YBR018C
OG0002815	augustus_masked-scaffold_7-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.68&CDS=1-855	YPL149W
OG0002816	genemark-scaffold_7-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.31&CDS=1-732	YNL200C
OG0002817	genemark-scaffold_7-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.13&CDS=1-1842	YDL225W
OG0002818	genemark-scaffold_7-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.14&CDS=1-2610	YLR347C
OG0002819	genemark-scaffold_7-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.15&CDS=1-705	YGR036C
OG0002820	genemark-scaffold_7-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.32&CDS=1-1128	YDL226C
OG0002821	genemark-scaffold_7-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.34&CDS=1-3237	YNL201C
OG0002822	genemark-scaffold_7-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.35&CDS=1-1080	YJL180C
OG0002823	genemark-scaffold_7-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.16&CDS=1-360	YJL179W
OG0002824	genemark-scaffold_7-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.36&CDS=1-321	YJL184W
OG0002825	genemark-scaffold_7-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.37&CDS=1-1623	YLR345W
OG0002826	genemark-scaffold_7-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.17&CDS=1-777	YGR033C
OG0002827	genemark-scaffold_7-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.41&CDS=1-549	YMR138W
OG0002828	genemark-scaffold_7-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.18&CDS=1-2061	YMR137C
OG0002829	maker-scaffold_7-augustus-gene-0.4-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-0.4&CDS=1-2241	YJL183W
OG0002830	genemark-scaffold_7-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.69&CDS=1-2703	YGR054W
OG0002831	genemark-scaffold_7-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.70&CDS=1-462	YLR074C
OG0002832	genemark-scaffold_7-processed-gene-1.66-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.66&CDS=1-660	YLR075W
OG0002833	genemark-scaffold_7-processed-gene-1.72-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.72&CDS=1-732	YPL051W
OG0002834	genemark-scaffold_7-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.92&CDS=1-831	YFR032C
OG0002835	snap_masked-scaffold_7-processed-gene-1.40-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.40&CDS=1-189	YFR032C-A
OG0002836	augustus_masked-scaffold_7-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.120&CDS=1-270	YJR135W-A
OG0002837	augustus_masked-scaffold_7-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.138&CDS=1-3621	YDL055C
OG0002838	genemark-scaffold_7-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.79&CDS=1-1437	YLR378C
OG0002839	genemark-scaffold_7-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.82&CDS=1-732	YJR144W
OG0002840	genemark-scaffold_7-processed-gene-1.83-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.83&CDS=1-516	YGR082W
OG0002841	genemark-scaffold_7-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.104&CDS=1-5040	YJR138W
OG0002842	genemark-scaffold_7-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.107&CDS=1-4545	YAL024C
OG0002843	genemark-scaffold_7-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.87&CDS=1-5523	YPR103W
OG0002844	genemark-scaffold_7-processed-gene-1.109-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.109&CDS=1-1074	YGR080W
OG0002845	maker-scaffold_7-snap-gene-2.52-mRNA-1_1&gene=maker-scaffold_7-snap-gene-2.52&CDS=1-3333	YOR014W
OG0002846	genemark-scaffold_7-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.72&CDS=1-1563	YML056C
OG0002847	genemark-scaffold_7-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.75&CDS=1-516	YOR367W
OG0002848	genemark-scaffold_7-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.76&CDS=1-912	YAL025C
OG0002849	genemark-scaffold_7-processed-gene-2.78-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.78&CDS=1-642	YLR293C
OG0002850	augustus_masked-scaffold_7-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.135&CDS=1-1440	YLR295C
OG0002851	augustus_masked-scaffold_7-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.151&CDS=1-1164	YLR281C
OG0002852	augustus_masked-scaffold_7-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.136&CDS=1-9030	YLR274W
OG0002853	genemark-scaffold_7-processed-gene-2.108-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.108&CDS=1-1737	YER086W
OG0002854	genemark-scaffold_7-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.109&CDS=1-1194	YGR058W
OG0002855	genemark-scaffold_7-processed-gene-2.87-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.87&CDS=1-1701	YHR108W
OG0002856	genemark-scaffold_7-processed-gene-2.110-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.110&CDS=1-684	YDR262W
OG0002857	augustus_masked-scaffold_7-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.138&CDS=1-1167	YDR305C
OG0002858	maker-scaffold_7-augustus-gene-2.64-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-2.64&CDS=1-1989	YOR142W
OG0002859	genemark-scaffold_7-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.115&CDS=1-2556	YOR141C
OG0002860	genemark-scaffold_7-processed-gene-2.116-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.116&CDS=1-978	YNL229C
OG0002861	genemark-scaffold_7-processed-gene-2.92-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.92&CDS=1-888	YLR126C
OG0002862	genemark-scaffold_7-processed-gene-2.93-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.93&CDS=1-930	YIL061C
OG0002863	genemark-scaffold_7-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.94&CDS=1-1200	YIL063C
OG0002864	genemark-scaffold_7-processed-gene-2.119-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.119&CDS=1-750	YIL064W
OG0002865	genemark-scaffold_7-processed-gene-2.95-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.95&CDS=1-1329	YBR195C
OG0002866	augustus_masked-scaffold_7-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.161&CDS=1-1158	YPL078C
OG0002867	genemark-scaffold_7-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.96&CDS=1-4110	YGL251C
OG0002868	maker-scaffold_7-augustus-gene-2.63-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-2.63&CDS=1-2760	YKL174C
OG0002869	genemark-scaffold_7-processed-gene-2.99-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.99&CDS=1-474	YJL143W
OG0002870	genemark-scaffold_7-processed-gene-2.100-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.100&CDS=1-2232	YJL141C
OG0002871	genemark-scaffold_7-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.39&CDS=1-1389	YGL250W
OG0002872	maker-scaffold_7-snap-gene-3.93-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.93&CDS=1-2298	YJL176C
OG0002873	augustus_masked-scaffold_7-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.5&CDS=1-4260	YJL167W
OG0002874	genemark-scaffold_7-processed-gene-3.45-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.45&CDS=1-1044	YBR187W
OG0002875	genemark-scaffold_7-processed-gene-3.63-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.63&CDS=1-696	YBR193C
OG0002876	genemark-scaffold_7-processed-gene-3.64-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.64&CDS=1-1095	YBR192W
OG0002877	genemark-scaffold_7-processed-gene-3.65-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.65&CDS=1-5964	YPL082C
OG0002878	genemark-scaffold_7-processed-gene-3.47-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.47&CDS=1-1653	YOR241W
OG0002879	maker-scaffold_7-snap-gene-3.94-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.94&CDS=1-3030	YPL150W
OG0002880	augustus_masked-scaffold_7-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.10&CDS=1-3687	YOR246C
OG0002881	genemark-scaffold_7-processed-gene-3.73-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.73&CDS=1-1203	YPL028W
OG0002882	genemark-scaffold_7-processed-gene-3.52-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.52&CDS=1-621	YPL041C
OG0002883	genemark-scaffold_7-processed-gene-3.75-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.75&CDS=1-1134	YLR056W
OG0002884	snap_masked-scaffold_7-processed-gene-3.139-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.139&CDS=1-1161	YDL205C
OG0002885	genemark-scaffold_7-processed-gene-3.78-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.78&CDS=1-3330	YPL022W
OG0002886	genemark-scaffold_7-processed-gene-3.53-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.53&CDS=1-615	YPL024W
OG0002887	genemark-scaffold_7-processed-gene-3.79-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.79&CDS=1-1938	YPL023C
OG0002888	genemark-scaffold_7-processed-gene-3.80-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.80&CDS=1-804	YJL178C
