	Candida_dubliniensis	Saccharomyces_cerevisiae
OG0002784	genemark-NC_012865.1-processed-gene-9.69-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.69&CDS=1-1581	YBL082C
OG0002785	genemark-NC_012865.1-processed-gene-9.94-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.94&CDS=1-2505	YER109C
OG0002786	genemark-NC_012865.1-processed-gene-9.95-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.95&CDS=1-1164	YER107C
OG0002787	maker-NC_012865.1-snap-gene-9.189-mRNA-1_1&gene=maker-NC_012865.1-snap-gene-9.189&CDS=1-1644	YNR051C
OG0002788	genemark-NC_012865.1-processed-gene-9.98-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.98&CDS=1-672	YDR177W
OG0002789	genemark-NC_012865.1-processed-gene-9.99-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.99&CDS=1-6678	YCR093W
OG0002790	genemark-NC_012865.1-processed-gene-9.73-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.73&CDS=1-681	YMR132C
OG0002791	snap_masked-NC_012865.1-processed-gene-9.170-mRNA-1_1&gene=snap_masked-NC_012865.1-processed-gene-9.170&CDS=1-249	YLR038C
OG0002792	genemark-NC_012865.1-processed-gene-9.74-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.74&CDS=1-1287	YFL030W
OG0002793	snap_masked-NC_012865.1-processed-gene-9.135-mRNA-1_1&gene=snap_masked-NC_012865.1-processed-gene-9.135&CDS=1-2178	YMR301C
OG0002794	genemark-NC_012865.1-processed-gene-9.102-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.102&CDS=1-2820	YIL137C
OG0002795	genemark-NC_012865.1-processed-gene-9.77-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.77&CDS=1-2751	YDR166C
OG0002796	genemark-NC_012865.1-processed-gene-9.78-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.78&CDS=1-2490	YCL054W
OG0002797	genemark-NC_012865.1-processed-gene-9.106-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.106&CDS=1-2307	YDR104C
OG0002798	genemark-NC_012865.1-processed-gene-9.83-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.83&CDS=1-1188	YHL014C
OG0002799	genemark-NC_012865.1-processed-gene-9.107-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.107&CDS=1-2325	YKL034W
OG0002800	snap_masked-NC_012865.1-processed-gene-9.181-mRNA-1_1&gene=snap_masked-NC_012865.1-processed-gene-9.181&CDS=1-1254	YER152C
OG0002801	genemark-NC_012865.1-processed-gene-9.84-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.84&CDS=1-414	YCL012C
OG0002802	augustus_masked-NC_012865.1-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-NC_012865.1-processed-gene-9.54&CDS=1-3882	YCR042C
OG0002803	genemark-NC_012865.1-processed-gene-9.86-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.86&CDS=1-3252	YBL076C
OG0002804	augustus_masked-NC_012865.1-processed-gene-9.56-mRNA-1_1&gene=augustus_masked-NC_012865.1-processed-gene-9.56&CDS=1-2838	YPL183C
OG0002805	genemark-NC_012865.1-processed-gene-9.115-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.115&CDS=1-2283	YPR003C
OG0002806	genemark-NC_012865.1-processed-gene-9.87-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.87&CDS=1-987	YPR004C
OG0002807	maker-NC_012865.1-augustus-gene-9.1-mRNA-1_1&gene=maker-NC_012865.1-augustus-gene-9.1&CDS=1-3828	YOR165W
OG0002808	genemark-NC_012865.1-processed-gene-9.91-mRNA-1_1&gene=genemark-NC_012865.1-processed-gene-9.91&CDS=1-969	YOR368W
OG0002809	genemark-NC_012866.1-processed-gene-0.95-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.95&CDS=1-2172	YGL245W
OG0002810	genemark-NC_012866.1-processed-gene-0.77-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.77&CDS=1-1740	YFR048W
OG0002811	genemark-NC_012866.1-processed-gene-0.78-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.78&CDS=1-1353	YOR166C
OG0002812	genemark-NC_012866.1-processed-gene-0.79-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.79&CDS=1-681	YFR007W
OG0002813	genemark-NC_012866.1-processed-gene-0.97-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.97&CDS=1-3498	YPR010C
OG0002814	genemark-NC_012866.1-processed-gene-0.80-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.80&CDS=1-804	YGR024C
OG0002815	genemark-NC_012866.1-processed-gene-0.81-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.81&CDS=1-2397	YOR168W
OG0002816	genemark-NC_012866.1-processed-gene-0.82-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.82&CDS=1-531	YOL146W
OG0002817	genemark-NC_012866.1-processed-gene-0.98-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.98&CDS=1-3258	YOL145C
OG0002818	genemark-NC_012866.1-processed-gene-0.83-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.83&CDS=1-729	YBR261C
OG0002819	genemark-NC_012866.1-processed-gene-0.84-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.84&CDS=1-1503	YCL004W
OG0002820	genemark-NC_012866.1-processed-gene-0.85-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.85&CDS=1-795	YCL010C
OG0002821	genemark-NC_012866.1-processed-gene-0.101-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.101&CDS=1-1758	YOL152W
OG0002822	genemark-NC_012866.1-processed-gene-0.103-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.103&CDS=1-792	YCR009C
OG0002823	genemark-NC_012866.1-processed-gene-0.105-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.105&CDS=1-2343	YER171W
OG0002824	augustus_masked-NC_012866.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-0.29&CDS=1-1701	YER170W
OG0002825	genemark-NC_012866.1-processed-gene-0.108-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.108&CDS=1-1653	YDR389W
OG0002826	genemark-NC_012866.1-processed-gene-0.90-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.90&CDS=1-462	YIL065C
OG0002827	genemark-NC_012866.1-processed-gene-0.91-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.91&CDS=1-1056	YGL243W
OG0002828	genemark-NC_012866.1-processed-gene-0.110-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.110&CDS=1-540	YGL242C
OG0002829	genemark-NC_012866.1-processed-gene-0.92-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.92&CDS=1-690	YJL121C
OG0002830	genemark-NC_012866.1-processed-gene-0.111-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-0.111&CDS=1-459	YJL122W
OG0002831	genemark-NC_012866.1-processed-gene-1.47-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.47&CDS=1-2217	YJR126C
OG0002832	augustus_masked-NC_012866.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-0.34&CDS=1-2397	YGR099W
OG0002833	genemark-NC_012866.1-processed-gene-1.52-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.52&CDS=1-1764	YJR001W
OG0002834	genemark-NC_012866.1-processed-gene-1.53-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.53&CDS=1-645	YKL070W
OG0002835	genemark-NC_012866.1-processed-gene-1.57-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.57&CDS=1-2922	YLR001C
OG0002836	genemark-NC_012866.1-processed-gene-1.59-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.59&CDS=1-798	YLR290C
OG0002837	genemark-NC_012866.1-processed-gene-1.77-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.77&CDS=1-2751	YGL167C
OG0002838	genemark-NC_012866.1-processed-gene-1.78-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.78&CDS=1-1119	YGL169W
OG0002839	genemark-NC_012866.1-processed-gene-1.79-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.79&CDS=1-2913	YGL241W
OG0002840	snap_masked-NC_012866.1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-1.14&CDS=1-1770	YNL003C
OG0002841	genemark-NC_012866.1-processed-gene-1.62-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.62&CDS=1-1464	YCL017C
OG0002842	genemark-NC_012866.1-processed-gene-1.63-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.63&CDS=1-1122	YCL018W
OG0002843	augustus_masked-NC_012866.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-1.120&CDS=1-3078	YCL014W
OG0002844	genemark-NC_012866.1-processed-gene-1.64-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.64&CDS=1-645	YOR111W
OG0002845	genemark-NC_012866.1-processed-gene-1.65-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.65&CDS=1-795	YNL110C
OG0002846	snap_masked-NC_012866.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-1.22&CDS=1-1656	YGL244W
OG0002847	snap_masked-NC_012866.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-1.24&CDS=1-5496	YFL033C
OG0002848	snap_masked-NC_012866.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-1.25&CDS=1-258	YGR037C
OG0002849	snap_masked-NC_012866.1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-1.42&CDS=1-498	YLR050C
OG0002850	genemark-NC_012866.1-processed-gene-1.71-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.71&CDS=1-2268	YAL043C
OG0002851	genemark-NC_012866.1-processed-gene-1.72-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.72&CDS=1-2115	YMR004W
OG0002852	genemark-NC_012866.1-processed-gene-1.83-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.83&CDS=1-456	YJR067C
OG0002853	genemark-NC_012866.1-processed-gene-1.73-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.73&CDS=1-1206	YOR043W
OG0002854	genemark-NC_012866.1-processed-gene-1.74-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.74&CDS=1-1092	YJR068W
OG0002855	genemark-NC_012866.1-processed-gene-1.85-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-1.85&CDS=1-3159	YBR276C
OG0002856	genemark-NC_012866.1-processed-gene-2.0-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.0&CDS=1-699	YLR390W-A
OG0002857	genemark-NC_012866.1-processed-gene-2.1-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.1&CDS=1-1752	YDL238C
OG0002858	genemark-NC_012866.1-processed-gene-2.23-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.23&CDS=1-786	YMR043W
OG0002859	genemark-NC_012866.1-processed-gene-2.24-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.24&CDS=1-1233	YMR044W
OG0002860	genemark-NC_012866.1-processed-gene-2.3-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.3&CDS=1-2700	YPR160W
OG0002861	maker-NC_012866.1-augustus-gene-2.87-mRNA-1_1&gene=maker-NC_012866.1-augustus-gene-2.87&CDS=1-2883	YGL203C
OG0002862	genemark-NC_012866.1-processed-gene-2.7-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.7&CDS=1-1986	YDR452W
OG0002863	genemark-NC_012866.1-processed-gene-2.9-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.9&CDS=1-936	YLR340W
OG0002864	genemark-NC_012866.1-processed-gene-2.27-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.27&CDS=1-414	YPL013C
OG0002865	genemark-NC_012866.1-processed-gene-2.28-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.28&CDS=1-3627	YPL012W
OG0002866	genemark-NC_012866.1-processed-gene-2.29-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.29&CDS=1-1833	YIL001W
OG0002867	genemark-NC_012866.1-processed-gene-2.14-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.14&CDS=1-1266	YOL009C
OG0002868	genemark-NC_012866.1-processed-gene-2.32-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.32&CDS=1-2187	YKR024C
OG0002869	genemark-NC_012866.1-processed-gene-2.33-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.33&CDS=1-834	YKR025W
OG0002870	genemark-NC_012866.1-processed-gene-2.16-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.16&CDS=1-933	YKR026C
OG0002871	genemark-NC_012866.1-processed-gene-2.34-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.34&CDS=1-1431	YNL011C
OG0002872	genemark-NC_012866.1-processed-gene-2.17-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.17&CDS=1-951	YMR116C
OG0002873	genemark-NC_012866.1-processed-gene-2.35-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.35&CDS=1-1818	YDL156W
OG0002874	genemark-NC_012866.1-processed-gene-2.18-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.18&CDS=1-522	YMR112C
OG0002875	augustus_masked-NC_012866.1-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-2.125&CDS=1-699	YDR013W
OG0002876	genemark-NC_012866.1-processed-gene-2.38-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.38&CDS=1-5241	YDR283C
OG0002877	genemark-NC_012866.1-processed-gene-2.20-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.20&CDS=1-2013	YMR224C
OG0002878	genemark-NC_012866.1-processed-gene-2.39-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.39&CDS=1-954	YNL315C
OG0002879	genemark-NC_012866.1-processed-gene-2.40-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-2.40&CDS=1-573	YNL310C
OG0002880	genemark-NC_012866.1-processed-gene-3.46-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.46&CDS=1-987	YDR162C
OG0002881	genemark-NC_012866.1-processed-gene-3.44-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.44&CDS=1-789	YDR152W
OG0002882	augustus_masked-NC_012866.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-3.84&CDS=1-234	YAL046C
OG0002883	genemark-NC_012866.1-processed-gene-3.68-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.68&CDS=1-2274	YOR361C
OG0002884	maker-NC_012866.1-snap-gene-3.2-mRNA-1_1&gene=maker-NC_012866.1-snap-gene-3.2&CDS=1-789	YOR362C
OG0002885	genemark-NC_012866.1-processed-gene-3.48-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.48&CDS=1-1329	YOL003C
OG0002886	genemark-NC_012866.1-processed-gene-3.54-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.54&CDS=1-6603	YER155C
OG0002887	genemark-NC_012866.1-processed-gene-3.55-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.55&CDS=1-3384	YLR383W
OG0002888	genemark-NC_012866.1-processed-gene-3.56-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.56&CDS=1-1128	YER154W
OG0002889	genemark-NC_012866.1-processed-gene-3.57-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.57&CDS=1-264	YJL062W-A
OG0002890	augustus_masked-NC_012866.1-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-3.95&CDS=1-3936	YNL071W
OG0002891	snap_masked-NC_012866.1-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-3.24&CDS=1-363	YKL084W
OG0002892	genemark-NC_012866.1-processed-gene-3.64-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.64&CDS=1-744	YPR037C
OG0002893	maker-NC_012866.1-snap-gene-3.4-mRNA-1_1&gene=maker-NC_012866.1-snap-gene-3.4&CDS=1-993	YHL031C
OG0002894	genemark-NC_012866.1-processed-gene-3.65-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.65&CDS=1-885	YOR228C
OG0002895	genemark-NC_012866.1-processed-gene-3.79-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-3.79&CDS=1-894	YPL131W
OG0002896	genemark-NC_012866.1-processed-gene-4.71-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.71&CDS=1-2838	YMR205C
OG0002897	genemark-NC_012866.1-processed-gene-4.68-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.68&CDS=1-1494	YPL235W
OG0002898	genemark-NC_012866.1-processed-gene-4.72-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.72&CDS=1-489	YPL234C
OG0002899	genemark-NC_012866.1-processed-gene-4.69-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.69&CDS=1-684	YPL233W
OG0002900	genemark-NC_012866.1-processed-gene-4.70-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.70&CDS=1-4899	YPL242C
OG0002901	genemark-NC_012866.1-processed-gene-4.89-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.89&CDS=1-1881	YLR429W
OG0002902	genemark-NC_012866.1-processed-gene-4.73-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.73&CDS=1-1605	YNL073W
OG0002903	snap_masked-NC_012866.1-processed-gene-4.53-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-4.53&CDS=1-948	YIL134W
OG0002904	snap_masked-NC_012866.1-processed-gene-4.54-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-4.54&CDS=1-195	YNL070W
OG0002905	genemark-NC_012866.1-processed-gene-4.75-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.75&CDS=1-732	YDR054C
OG0002906	genemark-NC_012866.1-processed-gene-4.93-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.93&CDS=1-3315	YJL108C
OG0002907	genemark-NC_012866.1-processed-gene-4.76-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.76&CDS=1-852	YPL246C
OG0002908	genemark-NC_012866.1-processed-gene-4.94-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.94&CDS=1-1170	YMR203W
OG0002909	genemark-NC_012866.1-processed-gene-4.80-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.80&CDS=1-1179	YMR201C
OG0002910	genemark-NC_012866.1-processed-gene-4.81-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.81&CDS=1-2133	YPL240C
OG0002911	genemark-NC_012866.1-processed-gene-4.100-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.100&CDS=1-2013	YJL085W
OG0002912	genemark-NC_012866.1-processed-gene-4.82-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.82&CDS=1-2493	YJL087C
OG0002913	genemark-NC_012866.1-processed-gene-4.101-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.101&CDS=1-807	YGR057C
OG0002914	genemark-NC_012866.1-processed-gene-4.86-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.86&CDS=1-2055	YMR075W
OG0002915	snap_masked-NC_012866.1-processed-gene-4.64-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-4.64&CDS=1-447	YKL167C
OG0002916	genemark-NC_012866.1-processed-gene-4.87-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.87&CDS=1-1026	YDL114W
OG0002917	genemark-NC_012866.1-processed-gene-4.103-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-4.103&CDS=1-1317	YMR062C
OG0002918	augustus_masked-NC_012866.1-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-5.87&CDS=1-1584	YOR115C
OG0002919	snap_masked-NC_012866.1-processed-gene-5.12-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-5.12&CDS=1-2091	YDR349C
OG0002920	genemark-NC_012866.1-processed-gene-5.71-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.71&CDS=1-1236	YML038C
OG0002921	genemark-NC_012866.1-processed-gene-5.54-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.54&CDS=1-2274	YDR164C
OG0002922	genemark-NC_012866.1-processed-gene-5.55-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.55&CDS=1-4776	YDR135C
OG0002923	genemark-NC_012866.1-processed-gene-5.72-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.72&CDS=1-1200	YDR165W
OG0002924	genemark-NC_012866.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.73&CDS=1-2334	YLR114C
OG0002925	genemark-NC_012866.1-processed-gene-5.74-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.74&CDS=1-486	YDR155C
OG0002926	genemark-NC_012866.1-processed-gene-5.75-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.75&CDS=1-1179	YJR072C
OG0002927	genemark-NC_012866.1-processed-gene-5.76-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.76&CDS=1-786	YKL207W
OG0002928	genemark-NC_012866.1-processed-gene-5.60-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.60&CDS=1-516	YDR231C
OG0002929	genemark-NC_012866.1-processed-gene-5.61-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.61&CDS=1-3285	YKL197C
OG0002930	genemark-NC_012866.1-processed-gene-5.77-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.77&CDS=1-933	YDR284C
OG0002931	genemark-NC_012866.1-processed-gene-5.62-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.62&CDS=1-444	YER112W
OG0002932	snap_masked-NC_012866.1-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-5.35&CDS=1-1746	YBL086C
OG0002933	genemark-NC_012866.1-processed-gene-5.79-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.79&CDS=1-696	YHR122W
OG0002934	genemark-NC_012866.1-processed-gene-5.80-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.80&CDS=1-372	YNL135C
OG0002935	genemark-NC_012866.1-processed-gene-5.67-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.67&CDS=1-1860	YHR117W
OG0002936	genemark-NC_012866.1-processed-gene-5.68-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.68&CDS=1-1182	YNL128W
OG0002937	genemark-NC_012866.1-processed-gene-5.69-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.69&CDS=1-2964	YNL127W
OG0002938	genemark-NC_012866.1-processed-gene-5.70-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-5.70&CDS=1-450	YNL131W
OG0002939	genemark-NC_012866.1-processed-gene-6.2-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.2&CDS=1-3081	YBR038W
OG0002940	genemark-NC_012866.1-processed-gene-6.3-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.3&CDS=1-1473	YGL097W
OG0002941	genemark-NC_012866.1-processed-gene-6.16-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.16&CDS=1-3120	YDL102W
OG0002942	genemark-NC_012866.1-processed-gene-6.7-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.7&CDS=1-669	YBL064C
OG0002943	genemark-NC_012866.1-processed-gene-6.9-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.9&CDS=1-1551	YMR015C
OG0002944	genemark-NC_012866.1-processed-gene-6.11-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.11&CDS=1-2625	YDL095W
OG0002945	augustus_masked-NC_012866.1-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-6.63&CDS=1-3894	YIL030C
OG0002946	genemark-NC_012866.1-processed-gene-6.21-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.21&CDS=1-1290	YOL022C
OG0002947	augustus_masked-NC_012866.1-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-6.66&CDS=1-2295	YOL023W
OG0002948	genemark-NC_012866.1-processed-gene-6.23-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.23&CDS=1-1494	YDR052C
OG0002949	genemark-NC_012866.1-processed-gene-6.24-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.24&CDS=1-1125	YNR029C
OG0002950	genemark-NC_012866.1-processed-gene-6.14-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-6.14&CDS=1-1752	YNR030W
OG0002951	augustus_masked-NC_012866.1-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-NC_012866.1-processed-gene-6.69&CDS=1-3360	YLL003W
OG0002952	genemark-NC_012866.1-processed-gene-7.0-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.0&CDS=1-3945	YJL095W
OG0002953	genemark-NC_012866.1-processed-gene-7.3-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.3&CDS=1-468	YJL096W
OG0002954	genemark-NC_012866.1-processed-gene-7.1-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.1&CDS=1-2541	YKR028W
OG0002955	genemark-NC_012866.1-processed-gene-7.4-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.4&CDS=1-1032	YNL191W
OG0002956	maker-NC_012866.1-snap-gene-7.37-mRNA-1_1&gene=maker-NC_012866.1-snap-gene-7.37&CDS=1-1209	YJL097W
OG0002957	genemark-NC_012866.1-processed-gene-7.21-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.21&CDS=1-5070	YJL005W
OG0002958	genemark-NC_012866.1-processed-gene-7.7-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.7&CDS=1-1842	YLL007C
OG0002959	genemark-NC_012866.1-processed-gene-7.9-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.9&CDS=1-1200	YJL054W
OG0002960	genemark-NC_012866.1-processed-gene-7.23-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.23&CDS=1-576	YOR236W
OG0002961	snap_masked-NC_012866.1-processed-gene-7.65-mRNA-1_1&gene=snap_masked-NC_012866.1-processed-gene-7.65&CDS=1-534	YPL127C
OG0002962	genemark-NC_012866.1-processed-gene-7.25-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.25&CDS=1-684	YGR017W
OG0002963	genemark-NC_012866.1-processed-gene-7.15-mRNA-1_1&gene=genemark-NC_012866.1-processed-gene-7.15&CDS=1-2151	YCL039W
