	Saccharomyces_cerevisiae	yHMPu5000035044_Barnettozyma_californica
OG0003255	YOR008C	genemark-flattened_line_10-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.29&CDS=1-915
OG0003256	YOR014W	genemark-flattened_line_22-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.83&CDS=1-1860
OG0003257	YOR017W	genemark-flattened_line_34-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.74&CDS=1-1935
OG0003258	YOR018W	genemark-flattened_line_0-processed-gene-3.87-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.87&CDS=1-2424
OG0003259	YOR020C	genemark-flattened_line_24-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.42&CDS=1-312
OG0003260	YOR021C	maker-flattened_line_24-augustus-gene-1.115-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.115&CDS=1-891
OG0003261	YOR022C	snap_masked-flattened_line_24-processed-gene-1.167-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.167&CDS=1-2466
OG0003262	YOR023C	genemark-flattened_line_24-processed-gene-1.44-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.44&CDS=1-1482
OG0003263	YOR027W	genemark-flattened_line_16-processed-gene-3.39-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.39&CDS=1-1755
OG0003264	YOR035C	snap_masked-flattened_line_10-processed-gene-3.114-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.114&CDS=1-2067
OG0003265	YOR036W	genemark-flattened_line_6-processed-gene-3.129-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.129&CDS=1-804
OG0003266	YOR037W	genemark-flattened_line_6-processed-gene-3.108-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.108&CDS=1-1335
OG0003267	YOR038C	genemark-flattened_line_6-processed-gene-3.105-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.105&CDS=1-2427
OG0003268	YOR039W	snap_masked-flattened_line_6-processed-gene-3.30-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.30&CDS=1-750
OG0003269	YOR042W	genemark-flattened_line_30-processed-gene-1.293-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.293&CDS=1-1074
OG0003270	YOR046C	genemark-flattened_line_18-processed-gene-2.49-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.49&CDS=1-1455
OG0003271	YOR048C	genemark-flattened_line_30-processed-gene-1.296-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.296&CDS=1-2820
OG0003272	YOR049C	genemark-flattened_line_2-processed-gene-8.87-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.87&CDS=1-1164
OG0003273	YOR051C	genemark-flattened_line_2-processed-gene-3.51-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.51&CDS=1-1371
OG0003274	YOR052C	genemark-flattened_line_2-processed-gene-3.52-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.52&CDS=1-345
OG0003275	YOR056C	genemark-flattened_line_2-processed-gene-3.45-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.45&CDS=1-1455
OG0003276	YOR057W	genemark-flattened_line_2-processed-gene-3.50-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.50&CDS=1-1257
OG0003277	YOR058C	augustus_masked-flattened_line_2-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.91&CDS=1-2349
OG0003278	YOR063W	genemark-flattened_line_2-processed-gene-6.71-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.71&CDS=1-1167
OG0003279	YOR064C	snap_masked-flattened_line_68-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.84&CDS=1-840
OG0003280	YOR065W	genemark-flattened_line_68-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.35&CDS=1-906
OG0003281	YOR067C	genemark-flattened_line_68-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.36&CDS=1-1683
OG0003282	YOR069W	genemark-flattened_line_68-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.19&CDS=1-1983
OG0003283	YOR073W	genemark-flattened_line_6-processed-gene-2.80-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.80&CDS=1-1920
OG0003284	YOR074C	genemark-flattened_line_6-processed-gene-2.104-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.104&CDS=1-903
OG0003285	YOR075W	genemark-flattened_line_6-processed-gene-2.81-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.81&CDS=1-900
OG0003286	YOR077W	snap_masked-flattened_line_20-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.91&CDS=1-723
OG0003287	YOR084W	genemark-flattened_line_2-processed-gene-2.164-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.164&CDS=1-1113
OG0003288	YOR086C	genemark-flattened_line_4-processed-gene-4.135-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.135&CDS=1-3537
OG0003289	YOR087W	genemark-flattened_line_20-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.64&CDS=1-1989
OG0003290	YOR089C	genemark-flattened_line_22-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.47&CDS=1-615
OG0003291	YOR090C	genemark-flattened_line_22-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.69&CDS=1-1779
OG0003292	YOR091W	genemark-flattened_line_4-processed-gene-2.52-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.52&CDS=1-1128
OG0003293	YOR093C	genemark-flattened_line_8-processed-gene-2.70-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.70&CDS=1-4446
OG0003294	YOR094W	genemark-flattened_line_4-processed-gene-2.50-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.50&CDS=1-573
OG0003295	YOR095C	genemark-flattened_line_4-processed-gene-2.53-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.53&CDS=1-759
OG0003296	YOR099W	genemark-flattened_line_20-processed-gene-2.124-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.124&CDS=1-1242
OG0003297	YOR100C	genemark-flattened_line_12-processed-gene-2.32-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.32&CDS=1-870
OG0003298	YOR101W	genemark-flattened_line_14-processed-gene-3.127-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.127&CDS=1-687
OG0003299	YOR103C	genemark-flattened_line_14-processed-gene-3.165-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.165&CDS=1-339
OG0003300	YOR106W	genemark-flattened_line_12-processed-gene-2.57-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.57&CDS=1-816
OG0003301	YOR107W	augustus_masked-flattened_line_8-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.109&CDS=1-984
OG0003302	YOR109W	genemark-flattened_line_4-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.32&CDS=1-3405
OG0003303	YOR111W	genemark-flattened_line_4-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.30&CDS=1-651
OG0003304	YOR112W	genemark-flattened_line_4-processed-gene-1.41-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.41&CDS=1-2193
OG0003305	YOR113W	genemark-flattened_line_4-processed-gene-1.40-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.40&CDS=1-2367
OG0003306	YOR115C	genemark-flattened_line_14-processed-gene-3.135-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.135&CDS=1-627
OG0003307	YOR116C	genemark-flattened_line_40-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.80&CDS=1-4368
OG0003308	YOR117W	genemark-flattened_line_0-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.33&CDS=1-1284
OG0003309	YOR118W	genemark-flattened_line_30-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.131&CDS=1-1698
OG0003310	YOR119C	genemark-flattened_line_30-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.108&CDS=1-1437
OG0003311	YOR122C	genemark-flattened_line_18-processed-gene-1.130-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.130&CDS=1-378
OG0003312	YOR123C	genemark-flattened_line_18-processed-gene-1.129-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.129&CDS=1-1212
OG0003313	YOR124C	genemark-flattened_line_18-processed-gene-2.52-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.52&CDS=1-3699
OG0003314	YOR125C	genemark-flattened_line_18-processed-gene-2.89-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.89&CDS=1-588
OG0003315	YOR126C	genemark-flattened_line_18-processed-gene-1.131-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.131&CDS=1-699
OG0003316	YOR128C	genemark-flattened_line_14-processed-gene-3.144-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.144&CDS=1-1680
OG0003317	YOR129C	genemark-flattened_line_2-processed-gene-3.72-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.72&CDS=1-1974
OG0003318	YOR130C	maker-flattened_line_2-augustus-gene-3.98-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.98&CDS=1-924
OG0003319	YOR131C	genemark-flattened_line_50-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.151&CDS=1-666
OG0003320	YOR136W	maker-flattened_line_10-augustus-gene-2.1-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-2.1&CDS=1-1914
OG0003321	YOR138C	snap_masked-flattened_line_18-processed-gene-2.118-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.118&CDS=1-1947
OG0003322	YOR141C	snap_masked-flattened_line_54-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.16&CDS=1-2307
OG0003323	YOR142W	genemark-flattened_line_54-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.103&CDS=1-966
OG0003324	YOR143C	snap_masked-flattened_line_54-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.48&CDS=1-864
OG0003325	YOR144C	augustus_masked-flattened_line_0-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.76&CDS=1-2718
OG0003326	YOR145C	genemark-flattened_line_54-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.75&CDS=1-798
OG0003327	YOR148C	genemark-flattened_line_54-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.80&CDS=1-735
OG0003328	YOR149C	genemark-flattened_line_54-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.110&CDS=1-1449
OG0003329	YOR150W	genemark-flattened_line_54-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.88&CDS=1-480
OG0003330	YOR151C	genemark-flattened_line_54-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.116&CDS=1-3669
OG0003331	YOR154W	genemark-flattened_line_62-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.86&CDS=1-2292
OG0003332	YOR157C	snap_masked-flattened_line_10-processed-gene-2.108-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.108&CDS=1-807
OG0003333	YOR158W	genemark-flattened_line_10-processed-gene-2.82-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.82&CDS=1-858
OG0003334	YOR160W	genemark-flattened_line_54-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.119&CDS=1-2817
OG0003335	YOR161C	genemark-flattened_line_54-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.90&CDS=1-1653
OG0003336	YOR163W	augustus_masked-flattened_line_10-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.24&CDS=1-528
OG0003337	YOR164C	genemark-flattened_line_10-processed-gene-3.94-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.94&CDS=1-909
OG0003338	YOR165W	genemark-flattened_line_10-processed-gene-3.73-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.73&CDS=1-2277
OG0003339	YOR166C	genemark-flattened_line_10-processed-gene-3.95-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.95&CDS=1-1443
OG0003340	YOR168W	genemark-flattened_line_10-processed-gene-4.132-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.132&CDS=1-2412
OG0003341	YOR174W	genemark-flattened_line_50-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.118&CDS=1-792
OG0003342	YOR175C	genemark-flattened_line_50-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.156&CDS=1-1728
OG0003343	YOR176W	genemark-flattened_line_50-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.119&CDS=1-1140
OG0003344	YOR181W	genemark-flattened_line_28-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.110&CDS=1-2028
OG0003345	YOR185C	genemark-flattened_line_16-processed-gene-2.81-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.81&CDS=1-642
OG0003346	YOR187W	maker-flattened_line_24-snap-gene-0.147-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.147&CDS=1-3009
OG0003347	YOR188W	genemark-flattened_line_0-processed-gene-3.61-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.61&CDS=1-4161
OG0003348	YOR191W	augustus_masked-flattened_line_34-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.16&CDS=1-3252
OG0003349	YOR194C	genemark-flattened_line_22-processed-gene-2.97-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.97&CDS=1-675
OG0003350	YOR195W	genemark-flattened_line_22-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.101&CDS=1-2562
OG0003351	YOR196C	genemark-flattened_line_22-processed-gene-2.134-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.134&CDS=1-1128
OG0003352	YOR197W	genemark-flattened_line_38-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.184&CDS=1-1332
OG0003353	YOR202W	genemark-flattened_line_0-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.43&CDS=1-663
OG0003354	YOR204W	genemark-flattened_line_2-processed-gene-7.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.116&CDS=1-1851
OG0003355	YOR205C	genemark-flattened_line_38-processed-gene-0.214-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.214&CDS=1-1731
OG0003356	YOR206W	genemark-flattened_line_38-processed-gene-0.215-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.215&CDS=1-2124
OG0003357	YOR207C	genemark-flattened_line_14-processed-gene-3.162-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.162&CDS=1-3459
OG0003358	YOR211C	maker-flattened_line_14-augustus-gene-3.176-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-3.176&CDS=1-2826
OG0003359	YOR212W	maker-flattened_line_26-augustus-gene-2.0-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-2.0&CDS=1-3240
OG0003360	YOR215C	genemark-flattened_line_60-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.24&CDS=1-519
OG0003361	YOR216C	genemark-flattened_line_10-processed-gene-2.69-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.69&CDS=1-1362
OG0003362	YOR217W	genemark-flattened_line_10-processed-gene-2.92-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.92&CDS=1-2667
OG0003363	YOR221C	snap_masked-flattened_line_44-processed-gene-0.207-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.207&CDS=1-954
OG0003364	YOR223W	genemark-flattened_line_44-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.80&CDS=1-765
OG0003365	YOR224C	genemark-flattened_line_44-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.115&CDS=1-435
OG0003366	YOR226C	genemark-flattened_line_44-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.83&CDS=1-444
OG0003367	YOR232W	genemark-flattened_line_0-processed-gene-6.83-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.83&CDS=1-651
OG0003368	YOR238W	genemark-flattened_line_12-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.163&CDS=1-738
OG0003369	YOR239W	genemark-flattened_line_4-processed-gene-7.136-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.136&CDS=1-981
OG0003370	YOR241W	augustus_masked-flattened_line_4-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.46&CDS=1-2007
OG0003371	YOR242C	snap_masked-flattened_line_20-processed-gene-2.330-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.330&CDS=1-1236
OG0003372	YOR243C	genemark-flattened_line_70-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.33&CDS=1-2037
OG0003373	YOR244W	genemark-flattened_line_70-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.15&CDS=1-1350
OG0003374	YOR245C	genemark-flattened_line_22-processed-gene-2.99-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.99&CDS=1-867
OG0003375	YOR246C	genemark-flattened_line_4-processed-gene-7.185-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.185&CDS=1-972
OG0003376	YOR249C	genemark-flattened_line_22-processed-gene-2.82-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.82&CDS=1-2370
OG0003377	YOR250C	genemark-flattened_line_20-processed-gene-2.150-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.150&CDS=1-1371
OG0003378	YOR251C	genemark-flattened_line_20-processed-gene-2.149-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.149&CDS=1-900
OG0003379	YOR252W	genemark-flattened_line_50-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.99&CDS=1-543
OG0003380	YOR254C	genemark-flattened_line_4-processed-gene-7.129-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.129&CDS=1-1839
OG0003381	YOR257W	maker-flattened_line_4-snap-gene-7.204-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-7.204&CDS=1-507
OG0003382	YOR259C	genemark-flattened_line_4-processed-gene-7.184-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.184&CDS=1-1293
OG0003383	YOR260W	genemark-flattened_line_4-processed-gene-7.140-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.140&CDS=1-1323
OG0003384	YOR261C	genemark-flattened_line_4-processed-gene-7.178-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.178&CDS=1-963
OG0003385	YOR262W	genemark-flattened_line_4-processed-gene-7.135-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.135&CDS=1-1005
OG0003386	YOR265W	genemark-flattened_line_4-processed-gene-7.179-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.179&CDS=1-306
OG0003387	YOR267C	genemark-flattened_line_70-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.35&CDS=1-1479
OG0003388	YOR269W	genemark-flattened_line_70-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.16&CDS=1-1389
OG0003389	YOR271C	genemark-flattened_line_6-processed-gene-4.176-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.176&CDS=1-981
OG0003390	YOR272W	genemark-flattened_line_6-processed-gene-4.177-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.177&CDS=1-1323
OG0003391	YOR273C	genemark-flattened_line_4-processed-gene-7.128-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.128&CDS=1-2178
OG0003392	YOR274W	genemark-flattened_line_50-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.97&CDS=1-1350
OG0003393	YOR275C	maker-flattened_line_50-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.4&CDS=1-2364
OG0003394	YOR276W	genemark-flattened_line_50-processed-gene-0.136-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.136&CDS=1-474
OG0003395	YOR278W	genemark-flattened_line_0-processed-gene-6.72-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.72&CDS=1-759
OG0003396	YOR281C	genemark-flattened_line_2-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.9&CDS=1-780
OG0003397	YOR283W	genemark-flattened_line_2-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.13&CDS=1-648
OG0003398	YOR286W	genemark-flattened_line_36-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.18&CDS=1-555
OG0003399	YOR288C	genemark-flattened_line_2-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.40&CDS=1-864
OG0003400	YOR289W	genemark-flattened_line_2-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.12&CDS=1-570
OG0003401	YOR291W	genemark-flattened_line_6-processed-gene-4.235-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.235&CDS=1-4194
OG0003402	YOR292C	snap_masked-flattened_line_6-processed-gene-4.36-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.36&CDS=1-1227
OG0003403	YOR294W	genemark-flattened_line_2-processed-gene-4.52-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.52&CDS=1-2508
OG0003404	YOR296W	genemark-flattened_line_2-processed-gene-4.54-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.54&CDS=1-5271
OG0003405	YOR298C-A	genemark-flattened_line_22-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.76&CDS=1-453
OG0003406	YOR298W	genemark-flattened_line_22-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.57&CDS=1-849
OG0003407	YOR301W	maker-flattened_line_6-snap-gene-3.53-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-3.53&CDS=1-1389
OG0003408	YOR303W	maker-flattened_line_10-augustus-gene-3.99-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-3.99&CDS=1-5394
OG0003409	YOR305W	augustus_masked-flattened_line_18-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.90&CDS=1-558
OG0003410	YOR307C	maker-flattened_line_8-snap-gene-2.0-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-2.0&CDS=1-3207
OG0003411	YOR310C	genemark-flattened_line_8-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.78&CDS=1-1527
OG0003412	YOR311C	genemark-flattened_line_8-processed-gene-2.103-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.103&CDS=1-966
OG0003413	YOR313C	genemark-flattened_line_8-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.76&CDS=1-1029
OG0003414	YOR317W	genemark-flattened_line_62-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.80&CDS=1-2094
OG0003415	YOR319W	genemark-flattened_line_30-processed-gene-1.309-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.309&CDS=1-618
OG0003416	YOR322C	genemark-flattened_line_0-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.24&CDS=1-2214
OG0003417	YOR323C	genemark-flattened_line_20-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.55&CDS=1-1311
OG0003418	YOR326W	genemark-flattened_line_0-processed-gene-1.41-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.41&CDS=1-4725
OG0003419	YOR327C	genemark-flattened_line_6-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.112&CDS=1-342
OG0003420	YOR329C	genemark-flattened_line_2-processed-gene-4.76-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.76&CDS=1-1797
OG0003421	YOR330C	genemark-flattened_line_38-processed-gene-0.224-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.224&CDS=1-3594
OG0003422	YOR332W	genemark-flattened_line_38-processed-gene-0.227-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.227&CDS=1-678
OG0003423	YOR334W	genemark-flattened_line_6-processed-gene-2.68-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.68&CDS=1-1203
OG0003424	YOR335C	maker-flattened_line_54-augustus-gene-0.182-mRNA-1_1&gene=maker-flattened_line_54-augustus-gene-0.182&CDS=1-3999
OG0003425	YOR340C	genemark-flattened_line_50-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.142&CDS=1-870
OG0003426	YOR341W	genemark-flattened_line_6-processed-gene-2.59-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.59&CDS=1-4851
OG0003427	YOR344C	genemark-flattened_line_8-processed-gene-1.0-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.0&CDS=1-849
OG0003428	YOR346W	genemark-flattened_line_40-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.96&CDS=1-3216
OG0003429	YOR348C	genemark-flattened_line_8-processed-gene-4.22-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.22&CDS=1-1674
OG0003430	YOR349W	genemark-flattened_line_18-processed-gene-2.61-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.61&CDS=1-3102
OG0003431	YOR351C	maker-flattened_line_2-snap-gene-2.59-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.59&CDS=1-1350
OG0003432	YOR352W	augustus_masked-flattened_line_18-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.76&CDS=1-645
OG0003433	YOR353C	genemark-flattened_line_14-processed-gene-1.56-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.56&CDS=1-2328
OG0003434	YOR354C	augustus_masked-flattened_line_30-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.176&CDS=1-2085
OG0003435	YOR356W	genemark-flattened_line_12-processed-gene-3.54-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.54&CDS=1-1965
