	Metschnikowia_similis	Saccharomyces_cerevisiae
OG0002731	augustus_masked-sim-_s474-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s474-processed-gene-0.26&CDS=1-3372	YGR274C
OG0002732	augustus_masked-sim-_s474-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s474-processed-gene-0.27&CDS=1-888	YBR176W
OG0002733	maker-sim-_s474-augustus-gene-0.10-mRNA-1_1&gene=maker-sim-_s474-augustus-gene-0.10&CDS=1-1341	YML004C
OG0002734	genemark-sim-_s474-processed-gene-0.3-mRNA-1_1&gene=genemark-sim-_s474-processed-gene-0.3&CDS=1-1374	YCR079W
OG0002735	augustus_masked-sim-_s475-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s475-processed-gene-0.4&CDS=1-711	YDR054C
OG0002736	augustus_masked-sim-_s475-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s475-processed-gene-0.1&CDS=1-3177	YFR016C
OG0002737	augustus_masked-sim-_s475-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s475-processed-gene-0.2&CDS=1-3621	YJL080C
OG0002738	augustus_masked-sim-_s475-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s475-processed-gene-0.3&CDS=1-1629	YGR055W
OG0002739	genemark-sim-_s476-processed-gene-0.161-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.161&CDS=1-1506	YGL160W
OG0002740	augustus_masked-sim-_s476-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.74&CDS=1-510	YJL024C
OG0002741	genemark-sim-_s476-processed-gene-0.162-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.162&CDS=1-435	YGR174C
OG0002742	augustus_masked-sim-_s476-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.75&CDS=1-1779	YDR213W
OG0002743	augustus_masked-sim-_s476-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.76&CDS=1-573	YLR229C
OG0002744	maker-sim-_s476-augustus-gene-0.127-mRNA-1_1&gene=maker-sim-_s476-augustus-gene-0.127&CDS=1-1968	YBR006W
OG0002745	augustus_masked-sim-_s476-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.102&CDS=1-7581	YLR454W
OG0002746	augustus_masked-sim-_s476-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.79&CDS=1-408	YBL092W
OG0002747	genemark-sim-_s476-processed-gene-0.166-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.166&CDS=1-825	YML052W
OG0002748	maker-sim-_s476-snap-gene-0.67-mRNA-1_1&gene=maker-sim-_s476-snap-gene-0.67&CDS=1-2583	YCR068W
OG0002749	augustus_masked-sim-_s476-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.80&CDS=1-5772	YHL008C
OG0002750	genemark-sim-_s476-processed-gene-0.141-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.141&CDS=1-1794	YLR276C
OG0002751	augustus_masked-sim-_s476-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.105&CDS=1-2307	YDR485C
OG0002752	genemark-sim-_s476-processed-gene-0.143-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.143&CDS=1-945	YOL096C
OG0002753	maker-sim-_s476-augustus-gene-0.130-mRNA-1_1&gene=maker-sim-_s476-augustus-gene-0.130&CDS=1-2799	YNL064C
OG0002754	augustus_masked-sim-_s476-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.83&CDS=1-2322	YNL059C
OG0002755	augustus_masked-sim-_s476-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.107&CDS=1-1806	YNL061W
OG0002756	augustus_masked-sim-_s476-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.84&CDS=1-1398	YNL062C
OG0002757	augustus_masked-sim-_s476-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.108&CDS=1-858	YNL063W
OG0002758	augustus_masked-sim-_s476-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.109&CDS=1-1407	YNL137C
OG0002759	augustus_masked-sim-_s476-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.110&CDS=1-1644	YEL063C
OG0002760	augustus_masked-sim-_s476-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.86&CDS=1-1581	YNL124W
OG0002761	genemark-sim-_s476-processed-gene-0.178-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.178&CDS=1-5703	YHR120W
OG0002762	augustus_masked-sim-_s476-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.88&CDS=1-2931	YNL123W
OG0002763	augustus_masked-sim-_s476-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.114&CDS=1-3036	YCR017C
OG0002764	maker-sim-_s476-snap-gene-0.66-mRNA-1_1&gene=maker-sim-_s476-snap-gene-0.66&CDS=1-1077	YBR039W
OG0002765	maker-sim-_s476-augustus-gene-0.131-mRNA-1_1&gene=maker-sim-_s476-augustus-gene-0.131&CDS=1-3900	YER113C
OG0002766	augustus_masked-sim-_s476-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.117&CDS=1-2679	YER114C
OG0002767	augustus_masked-sim-_s476-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.118&CDS=1-1521	YGR260W
OG0002768	genemark-sim-_s476-processed-gene-0.184-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.184&CDS=1-336	YHR116W
OG0002769	genemark-sim-_s476-processed-gene-0.185-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.185&CDS=1-483	YNL208W
OG0002770	snap_masked-sim-_s476-processed-gene-0.20-mRNA-1_1&gene=snap_masked-sim-_s476-processed-gene-0.20&CDS=1-1950	YNL119W
OG0002771	genemark-sim-_s476-processed-gene-0.186-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.186&CDS=1-975	YIR026C
OG0002772	augustus_masked-sim-_s476-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.122&CDS=1-1065	YOR258W
OG0002773	augustus_masked-sim-_s476-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.93&CDS=1-1854	YER068W
OG0002774	snap_masked-sim-_s476-processed-gene-0.60-mRNA-1_1&gene=snap_masked-sim-_s476-processed-gene-0.60&CDS=1-2883	YPL040C
OG0002775	maker-sim-_s476-augustus-gene-0.133-mRNA-1_1&gene=maker-sim-_s476-augustus-gene-0.133&CDS=1-1386	YNR001C
OG0002776	genemark-sim-_s476-processed-gene-0.192-mRNA-1_1&gene=genemark-sim-_s476-processed-gene-0.192&CDS=1-1599	YBR163W
OG0002777	augustus_masked-sim-_s476-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.96&CDS=1-3111	YOR048C
OG0002778	maker-sim-_s477-augustus-gene-0.2-mRNA-1_1&gene=maker-sim-_s477-augustus-gene-0.2&CDS=1-2829	YGR285C
OG0002779	genemark-sim-_s477-processed-gene-0.98-mRNA-1_1&gene=genemark-sim-_s477-processed-gene-0.98&CDS=1-1749	YBR158W
OG0002780	augustus_masked-sim-_s477-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.76&CDS=1-2265	YOL076W
OG0002781	augustus_masked-sim-_s477-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.77&CDS=1-678	YOR283W
OG0002782	augustus_masked-sim-_s477-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.80&CDS=1-1722	YNL115C
OG0002783	augustus_masked-sim-_s477-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.61&CDS=1-996	YGL212W
OG0002784	augustus_masked-sim-_s477-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.81&CDS=1-1299	YER152C
OG0002785	augustus_masked-sim-_s477-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.82&CDS=1-1404	YNL206C
OG0002786	augustus_masked-sim-_s477-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.64&CDS=1-2580	YER151C
OG0002787	augustus_masked-sim-_s477-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.84&CDS=1-2289	YNL221C
OG0002788	maker-sim-_s477-augustus-gene-0.3-mRNA-1_1&gene=maker-sim-_s477-augustus-gene-0.3&CDS=1-1851	YNL222W
OG0002789	augustus_masked-sim-_s477-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.65&CDS=1-2016	YNL224C
OG0002790	augustus_masked-sim-_s477-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.86&CDS=1-1788	YNL227C
OG0002791	augustus_masked-sim-_s477-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.66&CDS=1-2997	YER087W
OG0002792	augustus_masked-sim-_s477-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.67&CDS=1-2055	YBL051C
OG0002793	genemark-sim-_s477-processed-gene-0.112-mRNA-1_1&gene=genemark-sim-_s477-processed-gene-0.112&CDS=1-1950	YBL052C
OG0002794	maker-sim-_s477-augustus-gene-0.4-mRNA-1_1&gene=maker-sim-_s477-augustus-gene-0.4&CDS=1-1509	YJR121W
OG0002795	augustus_masked-sim-_s477-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.91&CDS=1-2355	YJR119C
OG0002796	augustus_masked-sim-_s477-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.70&CDS=1-828	YER023W
OG0002797	snap_masked-sim-_s477-processed-gene-0.49-mRNA-1_1&gene=snap_masked-sim-_s477-processed-gene-0.49&CDS=1-315	YGL041W-A
OG0002798	maker-sim-_s477-augustus-gene-0.1-mRNA-1_1&gene=maker-sim-_s477-augustus-gene-0.1&CDS=1-1287	YDL084W
OG0002799	augustus_masked-sim-_s477-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.72&CDS=1-1311	YLR303W
OG0002800	augustus_masked-sim-_s477-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.73&CDS=1-1290	YLR438W
OG0002801	augustus_masked-sim-_s477-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.97&CDS=1-2451	YLR138W
OG0002802	augustus_masked-sim-_s477-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.74&CDS=1-837	YER163C
OG0002803	genemark-sim-_s478-processed-gene-0.2-mRNA-1_1&gene=genemark-sim-_s478-processed-gene-0.2&CDS=1-1254	YGL111W
OG0002804	augustus_masked-sim-_s479-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s479-processed-gene-0.13&CDS=1-1392	YLL011W
OG0002805	augustus_masked-sim-_s479-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s479-processed-gene-0.14&CDS=1-2148	YOR267C
OG0002806	augustus_masked-sim-_s479-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s479-processed-gene-0.15&CDS=1-768	YNL265C
OG0002807	augustus_masked-sim-_s479-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s479-processed-gene-0.16&CDS=1-1518	YOR269W
OG0002808	augustus_masked-sim-_s479-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s479-processed-gene-0.19&CDS=1-894	YOR251C
OG0002809	maker-sim-_s479-snap-gene-0.1-mRNA-1_1&gene=maker-sim-_s479-snap-gene-0.1&CDS=1-2166	YOR243C
OG0002810	augustus_masked-sim-_s479-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s479-processed-gene-0.17&CDS=1-951	YOR242C
OG0002811	augustus_masked-sim-_s479-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s479-processed-gene-0.18&CDS=1-1839	YPL155C
OG0002812	augustus_masked-sim-_s48-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.76&CDS=1-1125	YNL326C
OG0002813	augustus_masked-sim-_s48-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.77&CDS=1-1473	YNL330C
OG0002814	augustus_masked-sim-_s48-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.78&CDS=1-1497	YPL188W
OG0002815	genemark-sim-_s48-processed-gene-0.7-mRNA-1_1&gene=genemark-sim-_s48-processed-gene-0.7&CDS=1-2346	YBR112C
OG0002816	genemark-sim-_s48-processed-gene-0.24-mRNA-1_1&gene=genemark-sim-_s48-processed-gene-0.24&CDS=1-612	YBR111C
OG0002817	augustus_masked-sim-_s48-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.80&CDS=1-288	YBR111W-A
OG0002818	snap_masked-sim-_s48-processed-gene-0.62-mRNA-1_1&gene=snap_masked-sim-_s48-processed-gene-0.62&CDS=1-1707	YBR212W
OG0002819	augustus_masked-sim-_s48-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.95&CDS=1-378	YNL111C
OG0002820	augustus_masked-sim-_s48-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.96&CDS=1-2247	YJL094C
OG0002821	genemark-sim-_s48-processed-gene-0.30-mRNA-1_1&gene=genemark-sim-_s48-processed-gene-0.30&CDS=1-3105	YFR002W
OG0002822	genemark-sim-_s48-processed-gene-0.31-mRNA-1_1&gene=genemark-sim-_s48-processed-gene-0.31&CDS=1-1578	YGL077C
OG0002823	augustus_masked-sim-_s48-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.84&CDS=1-2463	YMR165C
OG0002824	snap_masked-sim-_s48-processed-gene-0.51-mRNA-1_1&gene=snap_masked-sim-_s48-processed-gene-0.51&CDS=1-954	YDR432W
OG0002825	genemark-sim-_s48-processed-gene-0.15-mRNA-1_1&gene=genemark-sim-_s48-processed-gene-0.15&CDS=1-780	YDR429C
OG0002826	augustus_masked-sim-_s48-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.99&CDS=1-3405	YIL026C
OG0002827	augustus_masked-sim-_s48-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.88&CDS=1-1755	YFR037C
OG0002828	augustus_masked-sim-_s48-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.89&CDS=1-1203	YDL033C
OG0002829	augustus_masked-sim-_s48-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.100&CDS=1-1731	YHL027W
OG0002830	genemark-sim-_s48-processed-gene-0.35-mRNA-1_1&gene=genemark-sim-_s48-processed-gene-0.35&CDS=1-1395	YHL028W
OG0002831	augustus_masked-sim-_s480-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s480-processed-gene-0.1&CDS=1-945	YMR161W
OG0002832	augustus_masked-sim-_s480-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s480-processed-gene-0.3&CDS=1-1365	YOR197W
OG0002833	augustus_masked-sim-_s481-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s481-processed-gene-0.4&CDS=1-2445	YLL001W
OG0002834	genemark-sim-_s482-processed-gene-0.67-mRNA-1_1&gene=genemark-sim-_s482-processed-gene-0.67&CDS=1-1092	YLR216C
OG0002835	genemark-sim-_s482-processed-gene-0.68-mRNA-1_1&gene=genemark-sim-_s482-processed-gene-0.68&CDS=1-978	YIL035C
OG0002836	genemark-sim-_s482-processed-gene-0.69-mRNA-1_1&gene=genemark-sim-_s482-processed-gene-0.69&CDS=1-1371	YKL143W
OG0002837	augustus_masked-sim-_s482-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.43&CDS=1-1065	YHR034C
OG0002838	genemark-sim-_s482-processed-gene-0.55-mRNA-1_1&gene=genemark-sim-_s482-processed-gene-0.55&CDS=1-2061	YDL141W
OG0002839	genemark-sim-_s482-processed-gene-0.56-mRNA-1_1&gene=genemark-sim-_s482-processed-gene-0.56&CDS=1-1155	YNR041C
OG0002840	augustus_masked-sim-_s482-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.44&CDS=1-3777	YDR495C
OG0002841	augustus_masked-sim-_s482-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.33&CDS=1-1530	YDR143C
OG0002842	augustus_masked-sim-_s482-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.45&CDS=1-807	YGL050W
OG0002843	augustus_masked-sim-_s482-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.34&CDS=1-1032	YJL053W
OG0002844	augustus_masked-sim-_s482-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.48&CDS=1-780	YEL021W
OG0002845	augustus_masked-sim-_s482-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.36&CDS=1-2328	YMR075W
OG0002846	augustus_masked-sim-_s482-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.51&CDS=1-1281	YMR062C
OG0002847	augustus_masked-sim-_s482-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.52&CDS=1-813	YDL114W
OG0002848	augustus_masked-sim-_s482-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.54&CDS=1-639	YOR115C
OG0002849	augustus_masked-sim-_s483-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.18&CDS=1-1209	YCR044C
OG0002850	augustus_masked-sim-_s483-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.27&CDS=1-711	YPL002C
OG0002851	augustus_masked-sim-_s483-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.19&CDS=1-1083	YMR152W
OG0002852	augustus_masked-sim-_s483-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.28&CDS=1-897	YLR172C
OG0002853	augustus_masked-sim-_s483-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.29&CDS=1-1266	YPL069C
OG0002854	augustus_masked-sim-_s483-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.24&CDS=1-4272	YGR116W
OG0002855	genemark-sim-_s483-processed-gene-0.45-mRNA-1_1&gene=genemark-sim-_s483-processed-gene-0.45&CDS=1-1293	YHL021C
OG0002856	genemark-sim-_s483-processed-gene-0.46-mRNA-1_1&gene=genemark-sim-_s483-processed-gene-0.46&CDS=1-2778	YJL108C
OG0002857	augustus_masked-sim-_s483-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.31&CDS=1-1314	YOL022C
OG0002858	augustus_masked-sim-_s483-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sim-_s483-processed-gene-0.32&CDS=1-2277	YOL023W
OG0002859	augustus_masked-sim-_s484-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s484-processed-gene-0.7&CDS=1-2766	YNL021W
OG0002860	augustus_masked-sim-_s484-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s484-processed-gene-0.8&CDS=1-1389	YNL022C
OG0002861	augustus_masked-sim-_s484-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s484-processed-gene-0.11&CDS=1-1122	YIL094C
OG0002862	augustus_masked-sim-_s484-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s484-processed-gene-0.9&CDS=1-735	YOR232W
OG0002863	augustus_masked-sim-_s486-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s486-processed-gene-0.10&CDS=1-504	YBR137W
OG0002864	augustus_masked-sim-_s486-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s486-processed-gene-0.11&CDS=1-1044	YJR111C
OG0002865	maker-sim-_s486-snap-gene-0.0-mRNA-1_1&gene=maker-sim-_s486-snap-gene-0.0&CDS=1-2001	YJR110W
OG0002866	augustus_masked-sim-_s486-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s486-processed-gene-0.14&CDS=1-1605	YPR169W
OG0002867	augustus_masked-sim-_s486-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s486-processed-gene-0.15&CDS=1-3456	YAR042W
OG0002868	genemark-sim-_s487-processed-gene-0.23-mRNA-1_1&gene=genemark-sim-_s487-processed-gene-0.23&CDS=1-2742	YDL056W
OG0002869	augustus_masked-sim-_s487-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.106&CDS=1-528	YHR193C
OG0002870	snap_masked-sim-_s487-processed-gene-0.66-mRNA-1_1&gene=snap_masked-sim-_s487-processed-gene-0.66&CDS=1-2088	YLR002C
OG0002871	augustus_masked-sim-_s487-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.89&CDS=1-1137	YMR015C
OG0002872	augustus_masked-sim-_s487-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.90&CDS=1-1596	YJR010W
OG0002873	augustus_masked-sim-_s487-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.110&CDS=1-7557	YBL004W
OG0002874	genemark-sim-_s487-processed-gene-0.8-mRNA-1_1&gene=genemark-sim-_s487-processed-gene-0.8&CDS=1-861	YDL001W
OG0002875	augustus_masked-sim-_s487-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.111&CDS=1-1923	YDR208W
OG0002876	genemark-sim-_s487-processed-gene-0.11-mRNA-1_1&gene=genemark-sim-_s487-processed-gene-0.11&CDS=1-912	YBR151W
OG0002877	augustus_masked-sim-_s487-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.114&CDS=1-2484	YDR444W
OG0002878	augustus_masked-sim-_s487-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.115&CDS=1-2940	YIL125W
OG0002879	augustus_masked-sim-_s487-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.116&CDS=1-522	YKR065C
OG0002880	augustus_masked-sim-_s487-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.97&CDS=1-462	YIL065C
OG0002881	maker-sim-_s487-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s487-augustus-gene-0.0&CDS=1-876	YNL316C
OG0002882	augustus_masked-sim-_s487-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.117&CDS=1-351	YOL133W
OG0002883	augustus_masked-sim-_s487-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.99&CDS=1-708	YOL135C
OG0002884	augustus_masked-sim-_s487-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.118&CDS=1-2145	YKL135C
OG0002885	snap_masked-sim-_s487-processed-gene-0.78-mRNA-1_1&gene=snap_masked-sim-_s487-processed-gene-0.78&CDS=1-549	YJR074W
OG0002886	augustus_masked-sim-_s487-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.100&CDS=1-1182	YJR075W
OG0002887	augustus_masked-sim-_s487-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.120&CDS=1-6129	YLR305C
OG0002888	augustus_masked-sim-_s487-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.121&CDS=1-735	YPR016C
OG0002889	augustus_masked-sim-_s487-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.122&CDS=1-2664	YLL026W
OG0002890	augustus_masked-sim-_s487-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.123&CDS=1-1320	YGL181W
OG0002891	genemark-sim-_s489-processed-gene-0.12-mRNA-1_1&gene=genemark-sim-_s489-processed-gene-0.12&CDS=1-1191	YHL014C
OG0002892	augustus_masked-sim-_s489-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s489-processed-gene-0.6&CDS=1-1632	YCL004W
OG0002893	augustus_masked-sim-_s489-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s489-processed-gene-0.7&CDS=1-1128	YNL005C
OG0002894	augustus_masked-sim-_s49-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.25&CDS=1-1302	YDR148C
OG0002895	augustus_masked-sim-_s49-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.34&CDS=1-3543	YPL012W
OG0002896	augustus_masked-sim-_s49-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.26&CDS=1-402	YPL013C
OG0002897	maker-sim-_s49-augustus-gene-0.23-mRNA-1_1&gene=maker-sim-_s49-augustus-gene-0.23&CDS=1-2745	YLR340W
OG0002898	augustus_masked-sim-_s49-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.37&CDS=1-1062	YMR214W
OG0002899	augustus_masked-sim-_s49-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.29&CDS=1-1473	YMR211W
OG0002900	augustus_masked-sim-_s49-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.38&CDS=1-1332	YNR050C
OG0002901	augustus_masked-sim-_s49-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.39&CDS=1-1059	YMR146C
OG0002902	augustus_masked-sim-_s49-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.40&CDS=1-807	YDL086W
OG0002903	maker-sim-_s49-snap-gene-0.65-mRNA-1_1&gene=maker-sim-_s49-snap-gene-0.65&CDS=1-1305	YDL100C
OG0002904	augustus_masked-sim-_s49-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.30&CDS=1-2814	YPL003W
OG0002905	augustus_masked-sim-_s49-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.42&CDS=1-1803	YFL002C
OG0002906	augustus_masked-sim-_s49-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.31&CDS=1-1284	YFL001W
