	Saccharomyces_cerevisiae	yHMPu5000035243_Zygoascus_meyerae
OG0002766	YNL284C	snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.59&CDS=1-831
OG0002767	YNL286W	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.45&CDS=1-1095
OG0002768	YNL287W	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.46&CDS=1-2769
OG0002769	YNL288W	genemark-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-3.44-mRNA-1_1&gene=genemark-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-3.44&CDS=1-987
OG0002770	YNL289W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.31&CDS=1-1014
OG0002771	YNL291C	augustus_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.141&CDS=1-1866
OG0002772	YNL292W	maker-NODE_3_length_863959_cov_18.7832_ID_1457-augustus-gene-2.55-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-augustus-gene-2.55&CDS=1-1752
OG0002773	YNL293W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.153-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.153&CDS=1-1893
OG0002774	YNL294C	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.130-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.130&CDS=1-1500
OG0002775	YNL297C	maker-NODE_4_length_827553_cov_19.7208_ID_1272-augustus-gene-7.198-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-augustus-gene-7.198&CDS=1-4749
OG0002776	YNL305C	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-2.35&CDS=1-798
OG0002777	YNL306W	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-4.103-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-4.103&CDS=1-714
OG0002778	YNL308C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.24&CDS=1-1728
OG0002779	YNL310C	maker-NODE_5_length_798211_cov_19.4048_ID_1084-augustus-gene-4.10-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-augustus-gene-4.10&CDS=1-1458
OG0002780	YNL312W	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.71-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.71&CDS=1-759
OG0002781	YNL313C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.225-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.225&CDS=1-2580
OG0002782	YNL315C	maker-NODE_5_length_798211_cov_19.4048_ID_1084-augustus-gene-4.3-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-augustus-gene-4.3&CDS=1-1815
OG0002783	YNL317W	snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-0.93&CDS=1-1302
OG0002784	YNL320W	augustus_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.74&CDS=1-897
OG0002785	YNL321W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.115&CDS=1-3039
OG0002786	YNL325C	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.33&CDS=1-2970
OG0002787	YNL326C	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.13&CDS=1-1014
OG0002788	YNL328C	maker-NODE_8_length_668598_cov_18.9487_ID_973-snap-gene-1.166-mRNA-1_1&gene=maker-NODE_8_length_668598_cov_18.9487_ID_973-snap-gene-1.166&CDS=1-363
OG0002789	YNL329C	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.16&CDS=1-3372
OG0002790	YNL330C	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-1.36&CDS=1-1365
OG0002791	YNR001C	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.94&CDS=1-1395
OG0002792	YNR003C	snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.130&CDS=1-966
OG0002793	YNR006W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.37-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.37&CDS=1-1755
OG0002794	YNR007C	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.61&CDS=1-1023
OG0002795	YNR008W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.24&CDS=1-1986
OG0002796	YNR012W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.24-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-8.24&CDS=1-1344
OG0002797	YNR013C	snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.36&CDS=1-2502
OG0002798	YNR015W	snap_masked-NODE_29_length_29367_cov_18.5747_ID_2642-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_29_length_29367_cov_18.5747_ID_2642-processed-gene-0.8&CDS=1-1323
OG0002799	YNR016C	snap_masked-NODE_29_length_29367_cov_18.5747_ID_2642-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_29_length_29367_cov_18.5747_ID_2642-processed-gene-0.10&CDS=1-6753
OG0002800	YNR017W	snap_masked-NODE_29_length_29367_cov_18.5747_ID_2642-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_29_length_29367_cov_18.5747_ID_2642-processed-gene-0.14&CDS=1-612
OG0002801	YNR018W	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.7-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.7&CDS=1-642
OG0002802	YNR019W	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.12-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.12&CDS=1-1599
OG0002803	YNR020C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.37-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.37&CDS=1-690
OG0002804	YNR021W	maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-6.161-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-6.161&CDS=1-1158
OG0002805	YNR022C	snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-1.84&CDS=1-888
OG0002806	YNR023W	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-2.9&CDS=1-1302
OG0002807	YNR029C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.92-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.92&CDS=1-1137
OG0002808	YNR032C-A	maker-NODE_4_length_827553_cov_19.7208_ID_1272-augustus-gene-5.22-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-augustus-gene-5.22&CDS=1-210
OG0002809	YNR032W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.195-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.195&CDS=1-984
OG0002810	YNR033W	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.170-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.170&CDS=1-2178
OG0002811	YNR035C	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.130&CDS=1-957
OG0002812	YNR036C	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.150-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.150&CDS=1-579
OG0002813	YNR037C	augustus_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.99&CDS=1-264
OG0002814	YNR039C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.258-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.258&CDS=1-1755
OG0002815	YNR041C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.36&CDS=1-1080
OG0002816	YNR043W	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.75&CDS=1-1179
OG0002817	YNR046W	maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-2.10-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-2.10&CDS=1-387
OG0002818	YNR050C	maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-2.100-mRNA-1_1&gene=maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-2.100&CDS=1-1332
OG0002819	YNR052C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.57&CDS=1-1245
OG0002820	YNR053C	maker-NODE_18_length_328044_cov_21.3707_ID_2954-snap-gene-0.139-mRNA-1_1&gene=maker-NODE_18_length_328044_cov_21.3707_ID_2954-snap-gene-0.139&CDS=1-1626
OG0002821	YNR054C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.290-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.290&CDS=1-954
OG0002822	YNR062C	augustus_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-0.65&CDS=1-2127
OG0002823	YNR064C	snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.16&CDS=1-870
OG0002824	YOL001W	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-7.0-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-7.0&CDS=1-1026
OG0002825	YOL002C	snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-5.161-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-5.161&CDS=1-822
OG0002826	YOL003C	snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.0-mRNA-1_1&gene=snap_masked-NODE_16_length_358951_cov_18.8291_ID_1516-processed-gene-2.0&CDS=1-1113
OG0002827	YOL004W	maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-2.222-mRNA-1_1&gene=maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-2.222&CDS=1-4326
OG0002828	YOL005C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.19&CDS=1-360
OG0002829	YOL006C	maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-2.214-mRNA-1_1&gene=maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-2.214&CDS=1-2400
OG0002830	YOL008W	maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-3.177-mRNA-1_1&gene=maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-3.177&CDS=1-537
OG0002831	YOL009C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.120&CDS=1-996
OG0002832	YOL010W	maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-3.183-mRNA-1_1&gene=maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-3.183&CDS=1-1086
OG0002833	YOL018C	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.32&CDS=1-1029
OG0002834	YOL021C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.3&CDS=1-2955
OG0002835	YOL022C	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.31&CDS=1-1128
OG0002836	YOL023W	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.62&CDS=1-2361
OG0002837	YOL026C	augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.134&CDS=1-330
OG0002838	YOL032W	maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-3.7-mRNA-1_1&gene=maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-3.7&CDS=1-627
OG0002839	YOL033W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.43&CDS=1-1638
OG0002840	YOL034W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.23-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-5.23&CDS=1-3378
OG0002841	YOL038W	augustus_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.23&CDS=1-804
OG0002842	YOL039W	augustus_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.118&CDS=1-339
OG0002843	YOL040C	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.50-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.50&CDS=1-435
OG0002844	YOL041C	maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-2.102-mRNA-1_1&gene=maker-NODE_1_length_1065328_cov_19.742_ID_1323-snap-gene-2.102&CDS=1-1308
OG0002845	YOL048C	maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-3.191-mRNA-1_1&gene=maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-3.191&CDS=1-990
OG0002846	YOL049W	augustus_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.133&CDS=1-1416
OG0002847	YOL051W	maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-5.0-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-5.0&CDS=1-3972
OG0002848	YOL052C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.22&CDS=1-1191
OG0002849	YOL057W	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.215-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-5.215&CDS=1-2046
OG0002850	YOL058W	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.39&CDS=1-1239
OG0002851	YOL060C	snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_24_length_131066_cov_19.6241_ID_2412-processed-gene-0.9&CDS=1-2205
OG0002852	YOL063C	snap_masked-NODE_27_length_60890_cov_18.3424_ID_2495-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_27_length_60890_cov_18.3424_ID_2495-processed-gene-0.62&CDS=1-1821
OG0002853	YOL064C	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.37&CDS=1-1056
OG0002854	YOL066C	maker-NODE_8_length_668598_cov_18.9487_ID_973-augustus-gene-2.1-mRNA-1_1&gene=maker-NODE_8_length_668598_cov_18.9487_ID_973-augustus-gene-2.1&CDS=1-2904
OG0002855	YOL069W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.35&CDS=1-1374
OG0002856	YOL071W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-2.56&CDS=1-477
OG0002857	YOL072W	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.64-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.64&CDS=1-1371
OG0002858	YOL073C	augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.170-mRNA-1_1&gene=augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.170&CDS=1-810
OG0002859	YOL075C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.235-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-3.235&CDS=1-3780
OG0002860	YOL076W	snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.185-mRNA-1_1&gene=snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.185&CDS=1-2400
OG0002861	YOL077C	snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.220-mRNA-1_1&gene=snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.220&CDS=1-855
OG0002862	YOL078W	maker-NODE_6_length_745053_cov_20.2367_ID_1009-snap-gene-5.2-mRNA-1_1&gene=maker-NODE_6_length_745053_cov_20.2367_ID_1009-snap-gene-5.2&CDS=1-2481
OG0002863	YOL080C	snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-1.58&CDS=1-798
OG0002864	YOL090W	snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.32-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-5.32&CDS=1-2826
OG0002865	YOL093W	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.30-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.30&CDS=1-960
OG0002866	YOL094C	snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-3.36&CDS=1-993
OG0002867	YOL096C	genemark-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.95-mRNA-1_1&gene=genemark-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.95&CDS=1-930
OG0002868	YOL097C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-2.48&CDS=1-1305
OG0002869	YOL098C	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.125-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.125&CDS=1-3159
OG0002870	YOL114C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.268-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.268&CDS=1-567
OG0002871	YOL123W	maker-NODE_14_length_402958_cov_18.9881_ID_2029-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_14_length_402958_cov_18.9881_ID_2029-augustus-gene-0.6&CDS=1-1485
OG0002872	YOL124C	snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-0.118&CDS=1-1326
OG0002873	YOL125W	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-0.8&CDS=1-1254
OG0002874	YOL127W	snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-4.126-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-4.126&CDS=1-429
OG0002875	YOL129W	maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-0.8-mRNA-1_1&gene=maker-NODE_16_length_358951_cov_18.8291_ID_1516-snap-gene-0.8&CDS=1-516
OG0002876	YOL133W	augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.205-mRNA-1_1&gene=augustus_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.205&CDS=1-342
OG0002877	YOL135C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.83&CDS=1-699
OG0002878	YOL138C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.57-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.57&CDS=1-3327
OG0002879	YOL139C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.114&CDS=1-699
OG0002880	YOL140W	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.116&CDS=1-1242
OG0002881	YOL141W	snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.17-mRNA-1_1&gene=snap_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-2.17&CDS=1-3009
OG0002882	YOL142W	snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-1.14&CDS=1-705
OG0002883	YOL143C	maker-NODE_26_length_100927_cov_18.7495_ID_2454-snap-gene-0.139-mRNA-1_1&gene=maker-NODE_26_length_100927_cov_18.7495_ID_2454-snap-gene-0.139&CDS=1-528
OG0002884	YOL144W	snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.120&CDS=1-1494
OG0002885	YOL145C	snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.193-mRNA-1_1&gene=snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.193&CDS=1-3324
OG0002886	YOL146W	maker-NODE_21_length_170389_cov_19.3193_ID_2324-snap-gene-0.25-mRNA-1_1&gene=maker-NODE_21_length_170389_cov_19.3193_ID_2324-snap-gene-0.25&CDS=1-537
OG0002887	YOL147C	maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.189-mRNA-1_1&gene=maker-NODE_5_length_798211_cov_19.4048_ID_1084-snap-gene-6.189&CDS=1-702
OG0002888	YOL148C	snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.220-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-6.220&CDS=1-1638
