	Metschnikowia_cerradonensis	Saccharomyces_cerevisiae
OG0002562	genemark-cer-_s584-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s584-processed-gene-0.19&CDS=1-984	YOR271C
OG0002563	genemark-cer-_s584-processed-gene-0.24-mRNA-1_1&gene=genemark-cer-_s584-processed-gene-0.24&CDS=1-1278	YMR208W
OG0002564	genemark-cer-_s587-processed-gene-0.50-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.50&CDS=1-1452	YFL018C
OG0002565	genemark-cer-_s587-processed-gene-0.51-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.51&CDS=1-1488	YFL022C
OG0002566	genemark-cer-_s587-processed-gene-0.53-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.53&CDS=1-696	YLR051C
OG0002567	augustus_masked-cer-_s587-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-cer-_s587-processed-gene-0.4&CDS=1-3186	YIL115C
OG0002568	genemark-cer-_s587-processed-gene-0.58-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.58&CDS=1-1797	YGR054W
OG0002569	snap_masked-cer-_s587-processed-gene-0.108-mRNA-1_1&gene=snap_masked-cer-_s587-processed-gene-0.108&CDS=1-5655	YGR032W
OG0002570	genemark-cer-_s587-processed-gene-0.79-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.79&CDS=1-1257	YJL183W
OG0002571	genemark-cer-_s587-processed-gene-0.80-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.80&CDS=1-981	YOL107W
OG0002572	genemark-cer-_s587-processed-gene-0.81-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.81&CDS=1-2094	YMR137C
OG0002573	genemark-cer-_s587-processed-gene-0.60-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.60&CDS=1-552	YMR138W
OG0002574	genemark-cer-_s587-processed-gene-0.82-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.82&CDS=1-753	YGR033C
OG0002575	genemark-cer-_s587-processed-gene-0.64-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.64&CDS=1-1893	YLR345W
OG0002576	genemark-cer-_s587-processed-gene-0.83-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.83&CDS=1-360	YJL179W
OG0002577	genemark-cer-_s587-processed-gene-0.65-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.65&CDS=1-1044	YJL180C
OG0002578	genemark-cer-_s587-processed-gene-0.66-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.66&CDS=1-2559	YNL201C
OG0002579	genemark-cer-_s587-processed-gene-0.68-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.68&CDS=1-1041	YDL226C
OG0002580	genemark-cer-_s587-processed-gene-0.84-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.84&CDS=1-669	YGR036C
OG0002581	genemark-cer-_s587-processed-gene-0.85-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.85&CDS=1-2610	YLR347C
OG0002582	genemark-cer-_s587-processed-gene-0.86-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.86&CDS=1-1860	YDL225W
OG0002583	genemark-cer-_s587-processed-gene-0.69-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.69&CDS=1-750	YNL200C
OG0002584	augustus_masked-cer-_s587-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-cer-_s587-processed-gene-0.21&CDS=1-816	YPL149W
OG0002585	genemark-cer-_s587-processed-gene-0.88-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.88&CDS=1-954	YOR239W
OG0002586	genemark-cer-_s587-processed-gene-0.89-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.89&CDS=1-543	YDR246W
OG0002587	genemark-cer-_s587-processed-gene-0.90-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.90&CDS=1-3702	YOR274W
OG0002588	augustus_masked-cer-_s587-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-cer-_s587-processed-gene-0.42&CDS=1-1809	YMR213W
OG0002589	genemark-cer-_s587-processed-gene-0.72-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.72&CDS=1-4995	YGL206C
OG0002590	genemark-cer-_s587-processed-gene-0.74-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.74&CDS=1-1734	YHL027W
OG0002591	genemark-cer-_s587-processed-gene-0.95-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.95&CDS=1-1215	YDL033C
OG0002592	genemark-cer-_s587-processed-gene-0.96-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.96&CDS=1-1710	YFR037C
OG0002593	augustus_masked-cer-_s587-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-cer-_s587-processed-gene-0.26&CDS=1-3309	YIL026C
OG0002594	genemark-cer-_s587-processed-gene-0.98-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.98&CDS=1-780	YDR429C
OG0002595	genemark-cer-_s590-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s590-processed-gene-0.4&CDS=1-522	YJR017C
OG0002596	snap_masked-cer-_s590-processed-gene-0.8-mRNA-1_1&gene=snap_masked-cer-_s590-processed-gene-0.8&CDS=1-1734	YJR052W
OG0002597	snap_masked-cer-_s590-processed-gene-0.12-mRNA-1_1&gene=snap_masked-cer-_s590-processed-gene-0.12&CDS=1-2307	YML046W
OG0002598	genemark-cer-_s590-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s590-processed-gene-0.3&CDS=1-2574	YHR047C
OG0002599	genemark-cer-_s591-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s591-processed-gene-0.6&CDS=1-1461	YGL190C
OG0002600	genemark-cer-_s591-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s591-processed-gene-0.8&CDS=1-396	YGL191W
OG0002601	genemark-cer-_s593-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s593-processed-gene-0.14&CDS=1-669	YDL046W
OG0002602	genemark-cer-_s593-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s593-processed-gene-0.17&CDS=1-2865	YGR125W
OG0002603	genemark-cer-_s594-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s594-processed-gene-0.6&CDS=1-816	YLR192C
OG0002604	augustus_masked-cer-_s594-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-cer-_s594-processed-gene-0.9&CDS=1-1401	YHR109W
OG0002605	snap_masked-cer-_s595-processed-gene-0.11-mRNA-1_1&gene=snap_masked-cer-_s595-processed-gene-0.11&CDS=1-1557	YGL017W
OG0002606	genemark-cer-_s595-processed-gene-0.32-mRNA-1_1&gene=genemark-cer-_s595-processed-gene-0.32&CDS=1-1116	YGR005C
OG0002607	snap_masked-cer-_s595-processed-gene-0.12-mRNA-1_1&gene=snap_masked-cer-_s595-processed-gene-0.12&CDS=1-234	YLR325C
OG0002608	snap_masked-cer-_s595-processed-gene-0.13-mRNA-1_1&gene=snap_masked-cer-_s595-processed-gene-0.13&CDS=1-990	YGR006W
OG0002609	genemark-cer-_s595-processed-gene-0.34-mRNA-1_1&gene=genemark-cer-_s595-processed-gene-0.34&CDS=1-1410	YLR324W
OG0002610	genemark-cer-_s595-processed-gene-0.40-mRNA-1_1&gene=genemark-cer-_s595-processed-gene-0.40&CDS=1-3513	YFR031C
OG0002611	genemark-cer-_s595-processed-gene-0.35-mRNA-1_1&gene=genemark-cer-_s595-processed-gene-0.35&CDS=1-1356	YEL036C
OG0002612	augustus_masked-cer-_s595-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-cer-_s595-processed-gene-0.29&CDS=1-234	YDR379C-A
OG0002613	genemark-cer-_s595-processed-gene-0.43-mRNA-1_1&gene=genemark-cer-_s595-processed-gene-0.43&CDS=1-1539	YKL217W
OG0002614	genemark-cer-_s598-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s598-processed-gene-0.3&CDS=1-558	YGR078C
OG0002615	genemark-cer-_s598-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s598-processed-gene-0.4&CDS=1-2187	YLR274W
OG0002616	genemark-cer-_s599-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s599-processed-gene-0.1&CDS=1-1485	YBR243C
OG0002617	genemark-cer-_s599-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s599-processed-gene-0.0&CDS=1-1017	YGL100W
OG0002618	genemark-cer-_s599-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s599-processed-gene-0.2&CDS=1-1284	YGL111W
OG0002619	augustus_masked-cer-_s6-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-cer-_s6-processed-gene-0.24&CDS=1-300	YGR215W
OG0002620	snap_masked-cer-_s6-processed-gene-0.14-mRNA-1_1&gene=snap_masked-cer-_s6-processed-gene-0.14&CDS=1-2922	YGR134W
OG0002621	genemark-cer-_s6-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s6-processed-gene-0.10&CDS=1-936	YGR017W
OG0002622	genemark-cer-_s60-processed-gene-0.35-mRNA-1_1&gene=genemark-cer-_s60-processed-gene-0.35&CDS=1-2232	YDL164C
OG0002623	genemark-cer-_s60-processed-gene-0.27-mRNA-1_1&gene=genemark-cer-_s60-processed-gene-0.27&CDS=1-1356	YMR033W
OG0002624	genemark-cer-_s60-processed-gene-0.29-mRNA-1_1&gene=genemark-cer-_s60-processed-gene-0.29&CDS=1-462	YBL059W
OG0002625	genemark-cer-_s60-processed-gene-0.38-mRNA-1_1&gene=genemark-cer-_s60-processed-gene-0.38&CDS=1-1788	YKL062W
OG0002626	genemark-cer-_s60-processed-gene-0.39-mRNA-1_1&gene=genemark-cer-_s60-processed-gene-0.39&CDS=1-1278	YMR034C
OG0002627	genemark-cer-_s60-processed-gene-0.33-mRNA-1_1&gene=genemark-cer-_s60-processed-gene-0.33&CDS=1-1044	YMR041C
OG0002628	augustus_masked-cer-_s602-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-cer-_s602-processed-gene-0.2&CDS=1-3639	YJR041C
OG0002629	genemark-cer-_s605-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s605-processed-gene-0.17&CDS=1-2208	YOR243C
OG0002630	snap_masked-cer-_s605-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_s605-processed-gene-0.0&CDS=1-948	YOR242C
OG0002631	genemark-cer-_s607-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s607-processed-gene-0.1&CDS=1-2325	YPL153C
OG0002632	genemark-cer-_s607-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s607-processed-gene-0.4&CDS=1-1845	YPL155C
OG0002633	snap_masked-cer-_s608-processed-gene-0.8-mRNA-1_1&gene=snap_masked-cer-_s608-processed-gene-0.8&CDS=1-1113	YOR007C
OG0002634	snap_masked-cer-_s608-processed-gene-0.9-mRNA-1_1&gene=snap_masked-cer-_s608-processed-gene-0.9&CDS=1-3735	YML002W
OG0002635	genemark-cer-_s608-processed-gene-0.39-mRNA-1_1&gene=genemark-cer-_s608-processed-gene-0.39&CDS=1-1026	YOR006C
OG0002636	genemark-cer-_s608-processed-gene-0.41-mRNA-1_1&gene=genemark-cer-_s608-processed-gene-0.41&CDS=1-1353	YJL026W
OG0002637	genemark-cer-_s608-processed-gene-0.36-mRNA-1_1&gene=genemark-cer-_s608-processed-gene-0.36&CDS=1-1311	YDR393W
OG0002638	augustus_masked-cer-_s608-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-cer-_s608-processed-gene-0.21&CDS=1-588	YML064C
OG0002639	genemark-cer-_s61-processed-gene-0.30-mRNA-1_1&gene=genemark-cer-_s61-processed-gene-0.30&CDS=1-1947	YDL206W
OG0002640	genemark-cer-_s61-processed-gene-0.31-mRNA-1_1&gene=genemark-cer-_s61-processed-gene-0.31&CDS=1-507	YAL044C
OG0002641	genemark-cer-_s61-processed-gene-0.39-mRNA-1_1&gene=genemark-cer-_s61-processed-gene-0.39&CDS=1-333	YOR327C
OG0002642	augustus_masked-cer-_s61-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-cer-_s61-processed-gene-0.19&CDS=1-1128	YFL039C
OG0002643	genemark-cer-_s612-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.9&CDS=1-1425	YDR388W
OG0002644	genemark-cer-_s612-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.2&CDS=1-1368	YJR078W
OG0002645	genemark-cer-_s612-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.3&CDS=1-1617	YPR033C
OG0002646	genemark-cer-_s612-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.14&CDS=1-642	YDR140W
OG0002647	genemark-cer-_s612-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.15&CDS=1-2277	YLR117C
OG0002648	genemark-cer-_s612-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.6&CDS=1-375	YKL086W
OG0002649	genemark-cer-_s612-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s612-processed-gene-0.21&CDS=1-855	YOR065W
OG0002650	genemark-cer-_s615-processed-gene-0.34-mRNA-1_1&gene=genemark-cer-_s615-processed-gene-0.34&CDS=1-2244	YPL249C
OG0002651	genemark-cer-_s615-processed-gene-0.46-mRNA-1_1&gene=genemark-cer-_s615-processed-gene-0.46&CDS=1-552	YKL186C
OG0002652	genemark-cer-_s615-processed-gene-0.41-mRNA-1_1&gene=genemark-cer-_s615-processed-gene-0.41&CDS=1-1017	YMR276W
OG0002653	augustus_masked-cer-_s615-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-cer-_s615-processed-gene-0.25&CDS=1-1959	YML114C
OG0002654	genemark-cer-_s615-processed-gene-0.43-mRNA-1_1&gene=genemark-cer-_s615-processed-gene-0.43&CDS=1-2445	YMR277W
OG0002655	genemark-cer-_s615-processed-gene-0.45-mRNA-1_1&gene=genemark-cer-_s615-processed-gene-0.45&CDS=1-1356	YLR414C
OG0002656	maker-cer-_s616-augustus-gene-0.0-mRNA-1_1&gene=maker-cer-_s616-augustus-gene-0.0&CDS=1-5238	YMR308C
OG0002657	genemark-cer-_s616-processed-gene-0.30-mRNA-1_1&gene=genemark-cer-_s616-processed-gene-0.30&CDS=1-966	YLR316C
OG0002658	genemark-cer-_s616-processed-gene-0.31-mRNA-1_1&gene=genemark-cer-_s616-processed-gene-0.31&CDS=1-3663	YNL325C
OG0002659	genemark-cer-_s616-processed-gene-0.32-mRNA-1_1&gene=genemark-cer-_s616-processed-gene-0.32&CDS=1-600	YKL117W
OG0002660	genemark-cer-_s616-processed-gene-0.33-mRNA-1_1&gene=genemark-cer-_s616-processed-gene-0.33&CDS=1-1323	YHL004W
OG0002661	genemark-cer-_s616-processed-gene-0.34-mRNA-1_1&gene=genemark-cer-_s616-processed-gene-0.34&CDS=1-1110	YHL002W
OG0002662	snap_masked-cer-_s616-processed-gene-0.25-mRNA-1_1&gene=snap_masked-cer-_s616-processed-gene-0.25&CDS=1-798	YKL007W
OG0002663	genemark-cer-_s619-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s619-processed-gene-0.1&CDS=1-2691	YGL008C
OG0002664	genemark-cer-_s62-processed-gene-0.11-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.11&CDS=1-3294	YLR383W
OG0002665	genemark-cer-_s62-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.14&CDS=1-504	YBR137W
OG0002666	genemark-cer-_s62-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.15&CDS=1-1011	YJR111C
OG0002667	maker-cer-_s62-augustus-gene-0.45-mRNA-1_1&gene=maker-cer-_s62-augustus-gene-0.45&CDS=1-2025	YJR110W
OG0002668	augustus_masked-cer-_s62-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-cer-_s62-processed-gene-0.38&CDS=1-1590	YPR169W
OG0002669	genemark-cer-_s62-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.18&CDS=1-3459	YAR042W
OG0002670	genemark-cer-_s62-processed-gene-0.19-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.19&CDS=1-1068	YHR069C
OG0002671	genemark-cer-_s62-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.5&CDS=1-1560	YHR070W
OG0002672	genemark-cer-_s62-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.10&CDS=1-2496	YHR073W
OG0002673	genemark-cer-_s622-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s622-processed-gene-0.25&CDS=1-1140	YLR151C
OG0002674	genemark-cer-_s622-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s622-processed-gene-0.28&CDS=1-1035	YKL151C
OG0002675	genemark-cer-_s622-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s622-processed-gene-0.20&CDS=1-879	YKL150W
OG0002676	genemark-cer-_s622-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s622-processed-gene-0.21&CDS=1-1650	YKL149C
OG0002677	genemark-cer-_s622-processed-gene-0.24-mRNA-1_1&gene=genemark-cer-_s622-processed-gene-0.24&CDS=1-1224	YGR117C
OG0002678	snap_masked-cer-_s623-processed-gene-0.20-mRNA-1_1&gene=snap_masked-cer-_s623-processed-gene-0.20&CDS=1-2142	YHR074W
OG0002679	genemark-cer-_s623-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.13&CDS=1-1080	YHR075C
OG0002680	genemark-cer-_s623-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.3&CDS=1-873	YJL035C
OG0002681	genemark-cer-_s623-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.5&CDS=1-1491	YLR005W
OG0002682	genemark-cer-_s623-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.7&CDS=1-549	YML022W
OG0002683	genemark-cer-_s623-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.15&CDS=1-270	YDR424C
OG0002684	genemark-cer-_s623-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.8&CDS=1-3897	YMR304W
OG0002685	augustus_masked-cer-_s623-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-cer-_s623-processed-gene-0.51&CDS=1-903	YGR277C
OG0002686	snap_masked-cer-_s623-processed-gene-0.36-mRNA-1_1&gene=snap_masked-cer-_s623-processed-gene-0.36&CDS=1-2541	YER077C
OG0002687	genemark-cer-_s623-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.18&CDS=1-480	YCR090C
OG0002688	genemark-cer-_s623-processed-gene-0.11-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.11&CDS=1-759	YOR281C
OG0002689	genemark-cer-_s623-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s623-processed-gene-0.12&CDS=1-1593	YMR223W
OG0002690	genemark-cer-_s624-processed-gene-0.65-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.65&CDS=1-1488	YDR257C
OG0002691	genemark-cer-_s624-processed-gene-0.52-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.52&CDS=1-1803	YOL070C
OG0002692	genemark-cer-_s624-processed-gene-0.53-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.53&CDS=1-1671	YKL116C
OG0002693	genemark-cer-_s624-processed-gene-0.54-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.54&CDS=1-3282	YLR071C
OG0002694	genemark-cer-_s624-processed-gene-0.68-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.68&CDS=1-1761	YJR001W
OG0002695	genemark-cer-_s624-processed-gene-0.70-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.70&CDS=1-543	YEL012W
OG0002696	snap_masked-cer-_s624-processed-gene-0.45-mRNA-1_1&gene=snap_masked-cer-_s624-processed-gene-0.45&CDS=1-1203	YPR108W
OG0002697	genemark-cer-_s624-processed-gene-0.72-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.72&CDS=1-549	YJL124C
OG0002698	genemark-cer-_s624-processed-gene-0.58-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.58&CDS=1-1110	YJL125C
OG0002699	genemark-cer-_s624-processed-gene-0.59-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.59&CDS=1-1176	YDL029W
OG0002700	genemark-cer-_s624-processed-gene-0.73-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.73&CDS=1-2361	YDL028C
OG0002701	genemark-cer-_s624-processed-gene-0.60-mRNA-1_1&gene=genemark-cer-_s624-processed-gene-0.60&CDS=1-3180	YOL098C
OG0002702	snap_masked-cer-_s626-processed-gene-0.19-mRNA-1_1&gene=snap_masked-cer-_s626-processed-gene-0.19&CDS=1-1224	YKL172W
OG0002703	genemark-cer-_s626-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s626-processed-gene-0.4&CDS=1-1050	YJL167W
OG0002704	snap_masked-cer-_s626-processed-gene-0.26-mRNA-1_1&gene=snap_masked-cer-_s626-processed-gene-0.26&CDS=1-282	YJL166W
OG0002705	genemark-cer-_s626-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s626-processed-gene-0.6&CDS=1-2310	YJL176C
OG0002706	augustus_masked-cer-_s626-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-cer-_s626-processed-gene-0.37&CDS=1-1503	YGL250W
OG0002707	genemark-cer-_s626-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s626-processed-gene-0.8&CDS=1-525	YKL016C
OG0002708	genemark-cer-_s626-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s626-processed-gene-0.14&CDS=1-1833	YMR258C
OG0002709	snap_masked-cer-_s626-processed-gene-0.31-mRNA-1_1&gene=snap_masked-cer-_s626-processed-gene-0.31&CDS=1-177	YMR256C
OG0002710	genemark-cer-_s626-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s626-processed-gene-0.9&CDS=1-1425	YIL063C
OG0002711	genemark-cer-_s627-processed-gene-0.20-mRNA-1_1&gene=genemark-cer-_s627-processed-gene-0.20&CDS=1-1428	YGL012W
OG0002712	snap_masked-cer-_s627-processed-gene-0.6-mRNA-1_1&gene=snap_masked-cer-_s627-processed-gene-0.6&CDS=1-741	YGL011C
OG0002713	genemark-cer-_s627-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s627-processed-gene-0.21&CDS=1-1185	YGL194C
OG0002714	genemark-cer-_s627-processed-gene-0.24-mRNA-1_1&gene=genemark-cer-_s627-processed-gene-0.24&CDS=1-1833	YMR036C
OG0002715	genemark-cer-_s63-processed-gene-0.38-mRNA-1_1&gene=genemark-cer-_s63-processed-gene-0.38&CDS=1-1230	YML021C
OG0002716	augustus_masked-cer-_s63-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-cer-_s63-processed-gene-0.29&CDS=1-3537	YDR440W
OG0002717	genemark-cer-_s63-processed-gene-0.47-mRNA-1_1&gene=genemark-cer-_s63-processed-gene-0.47&CDS=1-2604	YML020W
OG0002718	genemark-cer-_s63-processed-gene-0.50-mRNA-1_1&gene=genemark-cer-_s63-processed-gene-0.50&CDS=1-636	YML012W
OG0002719	augustus_masked-cer-_s63-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-cer-_s63-processed-gene-0.26&CDS=1-210	YML009C
OG0002720	genemark-cer-_s63-processed-gene-0.51-mRNA-1_1&gene=genemark-cer-_s63-processed-gene-0.51&CDS=1-3078	YDR430C
OG0002721	genemark-cer-_s63-processed-gene-0.45-mRNA-1_1&gene=genemark-cer-_s63-processed-gene-0.45&CDS=1-3495	YNL329C
OG0002722	genemark-cer-_s630-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s630-processed-gene-0.14&CDS=1-4338	YNL102W
OG0002723	snap_masked-cer-_s630-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s630-processed-gene-0.3&CDS=1-2148	YJR040W
OG0002724	genemark-cer-_s631-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s631-processed-gene-0.3&CDS=1-2085	YJL036W
OG0002725	augustus_masked-cer-_s633-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-cer-_s633-processed-gene-0.8&CDS=1-3432	YMR287C
OG0002726	genemark-cer-_s634-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s634-processed-gene-0.1&CDS=1-1707	YLR433C
OG0002727	genemark-cer-_s634-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s634-processed-gene-0.5&CDS=1-609	YLR435W
OG0002728	genemark-cer-_s634-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s634-processed-gene-0.6&CDS=1-2592	YML065W
OG0002729	genemark-cer-_s635-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.15&CDS=1-2037	YDL074C
OG0002730	genemark-cer-_s635-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.0&CDS=1-2727	YBR229C
OG0002731	genemark-cer-_s635-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.1&CDS=1-1482	YHR206W
OG0002732	genemark-cer-_s635-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.2&CDS=1-1215	YKL181W
OG0002733	genemark-cer-_s635-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.3&CDS=1-3354	YLR410W
OG0002734	snap_masked-cer-_s635-processed-gene-0.42-mRNA-1_1&gene=snap_masked-cer-_s635-processed-gene-0.42&CDS=1-6183	YKL182W
OG0002735	genemark-cer-_s635-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.18&CDS=1-978	YJL208C
OG0002736	genemark-cer-_s635-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.4&CDS=1-2679	YPR194C
OG0002737	genemark-cer-_s635-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.5&CDS=1-1353	YKL140W
OG0002738	genemark-cer-_s635-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.21&CDS=1-1314	YMR091C
OG0002739	genemark-cer-_s635-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.8&CDS=1-1986	YJR098C
OG0002740	genemark-cer-_s635-processed-gene-0.23-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.23&CDS=1-489	YJR097W
OG0002741	genemark-cer-_s635-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.9&CDS=1-1233	YNL248C
OG0002742	genemark-cer-_s635-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.10&CDS=1-780	YNL246W
OG0002743	genemark-cer-_s635-processed-gene-0.11-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.11&CDS=1-663	YMR090W
OG0002744	genemark-cer-_s635-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.12&CDS=1-1419	YGR255C
OG0002745	genemark-cer-_s635-processed-gene-0.13-mRNA-1_1&gene=genemark-cer-_s635-processed-gene-0.13&CDS=1-1146	YDR058C
