	Saccharomyces_cerevisiae	yHMPu5000035696_Hanseniaspora_singularis
OG0002486	YNL209W	snap_masked-flattened_line_116-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.66&CDS=1-1839
OG0002487	YNL216W	snap_masked-flattened_line_24-processed-gene-0.231-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.231&CDS=1-1740
OG0002488	YNL217W	snap_masked-flattened_line_24-processed-gene-0.232-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.232&CDS=1-1224
OG0002489	YNL218W	augustus_masked-flattened_line_24-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.58&CDS=1-1800
OG0002490	YNL219C	augustus_masked-flattened_line_24-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.13&CDS=1-1911
OG0002491	YNL220W	snap_masked-flattened_line_24-processed-gene-0.235-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.235&CDS=1-1311
OG0002492	YNL221C	augustus_masked-flattened_line_22-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.52&CDS=1-2421
OG0002493	YNL222W	genemark-flattened_line_86-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.48&CDS=1-618
OG0002494	YNL223W	genemark-flattened_line_86-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.49&CDS=1-1203
OG0002495	YNL224C	snap_masked-flattened_line_86-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.72&CDS=1-1953
OG0002496	YNL227C	genemark-flattened_line_86-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.38&CDS=1-1836
OG0002497	YNL229C	snap_masked-flattened_line_86-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.75&CDS=1-1275
OG0002498	YNL232W	snap_masked-flattened_line_86-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.84&CDS=1-882
OG0002499	YNL233W	snap_masked-flattened_line_86-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.85&CDS=1-2490
OG0002500	YNL236W	augustus_masked-flattened_line_86-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.24&CDS=1-3105
OG0002501	YNL238W	maker-flattened_line_86-augustus-gene-0.56-mRNA-1_1&gene=maker-flattened_line_86-augustus-gene-0.56&CDS=1-4527
OG0002502	YNL240C	augustus_masked-flattened_line_86-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.26&CDS=1-1554
OG0002503	YNL241C	snap_masked-flattened_line_86-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.87&CDS=1-1551
OG0002504	YNL246W	snap_masked-flattened_line_14-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.113&CDS=1-858
OG0002505	YNL247W	augustus_masked-flattened_line_14-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.40&CDS=1-2307
OG0002506	YNL248C	augustus_masked-flattened_line_14-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.60&CDS=1-1257
OG0002507	YNL250W	augustus_masked-flattened_line_14-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.38&CDS=1-4068
OG0002508	YNL251C	snap_masked-flattened_line_14-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.131&CDS=1-1896
OG0002509	YNL252C	snap_masked-flattened_line_14-processed-gene-1.130-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.130&CDS=1-825
OG0002510	YNL256W	snap_masked-flattened_line_14-processed-gene-1.129-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.129&CDS=1-2397
OG0002511	YNL259C	snap_masked-flattened_line_14-processed-gene-1.102-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.102&CDS=1-225
OG0002512	YNL260C	augustus_masked-flattened_line_26-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.110&CDS=1-531
OG0002513	YNL261W	augustus_masked-flattened_line_14-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.48&CDS=1-1569
OG0002514	YNL262W	augustus_masked-flattened_line_14-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.49&CDS=1-6240
OG0002515	YNL263C	snap_masked-flattened_line_14-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.93&CDS=1-1110
OG0002516	YNL265C	snap_masked-flattened_line_14-processed-gene-1.97-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.97&CDS=1-732
OG0002517	YNL267W	maker-flattened_line_14-augustus-gene-1.196-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-1.196&CDS=1-3948
OG0002518	YNL271C	snap_masked-flattened_line_14-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.100&CDS=1-5382
OG0002519	YNL272C	snap_masked-flattened_line_14-processed-gene-1.127-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.127&CDS=1-2148
OG0002520	YNL273W	augustus_masked-flattened_line_14-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.33&CDS=1-4083
OG0002521	YNL274C	augustus_masked-flattened_line_14-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.19&CDS=1-1023
OG0002522	YNL275W	snap_masked-flattened_line_14-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.44&CDS=1-1686
OG0002523	YNL277W	augustus_masked-flattened_line_14-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.21&CDS=1-1566
OG0002524	YNL280C	snap_masked-flattened_line_32-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.70&CDS=1-1341
OG0002525	YNL281W	snap_masked-flattened_line_32-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.26&CDS=1-441
OG0002526	YNL284C	augustus_masked-flattened_line_22-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.34&CDS=1-978
OG0002527	YNL287W	snap_masked-flattened_line_22-processed-gene-0.223-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.223&CDS=1-2328
OG0002528	YNL288W	snap_masked-flattened_line_22-processed-gene-0.222-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.222&CDS=1-1011
OG0002529	YNL290W	augustus_masked-flattened_line_22-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.38&CDS=1-1029
OG0002530	YNL292W	augustus_masked-flattened_line_28-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.120&CDS=1-1293
OG0002531	YNL298W	snap_masked-flattened_line_22-processed-gene-0.271-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.271&CDS=1-2526
OG0002532	YNL304W	snap_masked-flattened_line_249-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_249-processed-gene-0.0&CDS=1-1362
OG0002533	YNL305C	snap_masked-flattened_line_431-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_431-processed-gene-0.2&CDS=1-909
OG0002534	YNL307C	augustus_masked-flattened_line_163-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_163-processed-gene-0.4&CDS=1-1209
OG0002535	YNL308C	snap_masked-flattened_line_163-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.29&CDS=1-1542
OG0002536	YNL310C	augustus_masked-flattened_line_163-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_163-processed-gene-0.6&CDS=1-432
OG0002537	YNL312W	augustus_masked-flattened_line_163-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_163-processed-gene-0.14&CDS=1-885
OG0002538	YNL313C	snap_masked-flattened_line_163-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.32&CDS=1-2394
OG0002539	YNL315C	snap_masked-flattened_line_22-processed-gene-0.257-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.257&CDS=1-981
OG0002540	YNL316C	augustus_masked-flattened_line_22-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.64&CDS=1-1023
OG0002541	YNL320W	augustus_masked-flattened_line_22-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.62&CDS=1-906
OG0002542	YNL321W	augustus_masked-flattened_line_22-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.59&CDS=1-2751
OG0002543	YNL322C	augustus_masked-flattened_line_22-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.15&CDS=1-864
OG0002544	YNL323W	snap_masked-flattened_line_22-processed-gene-0.253-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.253&CDS=1-1311
OG0002545	YNL325C	augustus_masked-flattened_line_28-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.104&CDS=1-3033
OG0002546	YNL326C	augustus_masked-flattened_line_22-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.57&CDS=1-903
OG0002547	YNR001C	augustus_masked-flattened_line_140-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.24&CDS=1-1407
OG0002548	YNR003C	snap_masked-flattened_line_2-processed-gene-1.22-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.22&CDS=1-993
OG0002549	YNR006W	augustus_masked-flattened_line_32-processed-gene-0.244-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.244&CDS=1-1809
OG0002550	YNR007C	augustus_masked-flattened_line_32-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.206&CDS=1-864
OG0002551	YNR008W	augustus_masked-flattened_line_32-processed-gene-0.243-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.243&CDS=1-2010
OG0002552	YNR012W	augustus_masked-flattened_line_50-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.143&CDS=1-867
OG0002553	YNR013C	augustus_masked-flattened_line_50-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.167&CDS=1-2520
OG0002554	YNR015W	snap_masked-flattened_line_50-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.22&CDS=1-1179
OG0002555	YNR016C	augustus_masked-flattened_line_50-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.169&CDS=1-6651
OG0002556	YNR017W	snap_masked-flattened_line_50-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.23&CDS=1-618
OG0002557	YNR018W	snap_masked-flattened_line_50-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.24&CDS=1-672
OG0002558	YNR020C	augustus_masked-flattened_line_0-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.123&CDS=1-696
OG0002559	YNR021W	augustus_masked-flattened_line_50-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.173&CDS=1-1113
OG0002560	YNR030W	augustus_masked-flattened_line_96-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.68&CDS=1-2019
OG0002561	YNR032W	augustus_masked-flattened_line_76-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.112&CDS=1-1353
OG0002562	YNR033W	snap_masked-flattened_line_76-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.36&CDS=1-2397
OG0002563	YNR035C	augustus_masked-flattened_line_96-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.70&CDS=1-990
OG0002564	YNR036C	snap_masked-flattened_line_104-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.22&CDS=1-525
OG0002565	YNR037C	augustus_masked-flattened_line_265-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_265-processed-gene-0.1&CDS=1-219
OG0002566	YNR038W	augustus_masked-flattened_line_76-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.83&CDS=1-1968
OG0002567	YNR041C	snap_masked-flattened_line_104-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.25&CDS=1-1332
OG0002568	YNR043W	snap_masked-flattened_line_104-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.13&CDS=1-1200
OG0002569	YNR046W	augustus_masked-flattened_line_76-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.108&CDS=1-420
OG0002570	YNR047W	augustus_masked-flattened_line_76-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.94&CDS=1-2601
OG0002571	YNR049C	augustus_masked-flattened_line_76-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.93&CDS=1-681
OG0002572	YNR050C	snap_masked-flattened_line_76-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.15&CDS=1-1341
OG0002573	YNR052C	augustus_masked-flattened_line_76-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.89&CDS=1-1377
OG0002574	YNR053C	maker-flattened_line_76-snap-gene-0.113-mRNA-1_1&gene=maker-flattened_line_76-snap-gene-0.113&CDS=1-1440
OG0002575	YNR054C	snap_masked-flattened_line_76-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.10&CDS=1-897
OG0002576	YNR067C	augustus_masked-flattened_line_122-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.33&CDS=1-3147
OG0002577	YOL001W	snap_masked-flattened_line_52-processed-gene-0.148-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.148&CDS=1-1341
OG0002578	YOL003C	augustus_masked-flattened_line_52-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.93&CDS=1-1173
OG0002579	YOL004W	augustus_masked-flattened_line_52-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.116&CDS=1-4377
OG0002580	YOL005C	snap_masked-flattened_line_52-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.151&CDS=1-357
OG0002581	YOL006C	augustus_masked-flattened_line_52-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.95&CDS=1-2289
OG0002582	YOL008W	augustus_masked-flattened_line_241-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_241-processed-gene-0.8&CDS=1-651
OG0002583	YOL009C	snap_masked-flattened_line_241-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_241-processed-gene-0.2&CDS=1-975
OG0002584	YOL010W	snap_masked-flattened_line_259-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_259-processed-gene-0.3&CDS=1-1251
OG0002585	YOL013C	genemark-flattened_line_167-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_167-processed-gene-0.9&CDS=1-1821
OG0002586	YOL016C	snap_masked-flattened_line_156-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_156-processed-gene-0.43&CDS=1-1314
OG0002587	YOL018C	augustus_masked-flattened_line_2-processed-gene-2.214-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.214&CDS=1-984
OG0002588	YOL019W	snap_masked-flattened_line_2-processed-gene-2.70-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.70&CDS=1-1836
OG0002589	YOL021C	snap_masked-flattened_line_68-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.19&CDS=1-3108
OG0002590	YOL022C	augustus_masked-flattened_line_68-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.121&CDS=1-1260
OG0002591	YOL023W	genemark-flattened_line_68-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.99&CDS=1-2139
OG0002592	YOL031C	augustus_masked-flattened_line_12-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.36&CDS=1-1242
OG0002593	YOL032W	augustus_masked-flattened_line_12-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.11&CDS=1-702
OG0002594	YOL033W	maker-flattened_line_12-augustus-gene-0.89-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-0.89&CDS=1-5022
OG0002595	YOL038W	augustus_masked-flattened_line_110-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.90&CDS=1-759
OG0002596	YOL040C	snap_masked-flattened_line_12-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.57&CDS=1-429
OG0002597	YOL041C	augustus_masked-flattened_line_12-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.13&CDS=1-1323
OG0002598	YOL049W	genemark-flattened_line_12-processed-gene-1.136-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.136&CDS=1-1515
OG0002599	YOL051W	augustus_masked-flattened_line_12-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.75&CDS=1-2322
OG0002600	YOL054W	snap_masked-flattened_line_0-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.28&CDS=1-978
OG0002601	YOL058W	snap_masked-flattened_line_66-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.69&CDS=1-1263
OG0002602	YOL060C	maker-flattened_line_50-augustus-gene-0.113-mRNA-1_1&gene=maker-flattened_line_50-augustus-gene-0.113&CDS=1-2724
OG0002603	YOL064C	augustus_masked-flattened_line_60-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.88&CDS=1-1095
OG0002604	YOL066C	augustus_masked-flattened_line_22-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.22&CDS=1-1767
OG0002605	YOL069W	augustus_masked-flattened_line_76-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.85&CDS=1-1275
OG0002606	YOL070C	augustus_masked-flattened_line_66-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.120&CDS=1-1242
OG0002607	YOL071W	augustus_masked-flattened_line_66-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.98&CDS=1-498
OG0002608	YOL077C	snap_masked-flattened_line_56-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.73&CDS=1-903
OG0002609	YOL078W	augustus_masked-flattened_line_118-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.24&CDS=1-3603
OG0002610	YOL080C	augustus_masked-flattened_line_118-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.34&CDS=1-801
OG0002611	YOL084W	augustus_masked-flattened_line_74-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.28&CDS=1-3072
OG0002612	YOL088C	augustus_masked-flattened_line_110-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.96&CDS=1-933
OG0002613	YOL090W	snap_masked-flattened_line_22-processed-gene-0.265-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.265&CDS=1-2895
OG0002614	YOL093W	snap_masked-flattened_line_22-processed-gene-0.261-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.261&CDS=1-1029
OG0002615	YOL094C	maker-flattened_line_22-snap-gene-0.194-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-0.194&CDS=1-2397
OG0002616	YOL096C	augustus_masked-flattened_line_32-processed-gene-0.234-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.234&CDS=1-777
OG0002617	YOL097C	snap_masked-flattened_line_32-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.29&CDS=1-1275
OG0002618	YOL098C	snap_masked-flattened_line_32-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.81&CDS=1-3099
OG0002619	YOL102C	snap_masked-flattened_line_50-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.42&CDS=1-624
OG0002620	YOL111C	augustus_masked-flattened_line_22-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.37&CDS=1-597
OG0002621	YOL114C	augustus_masked-flattened_line_22-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.40&CDS=1-615
OG0002622	YOL116W	augustus_masked-flattened_line_22-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.84&CDS=1-1575
OG0002623	YOL119C	maker-flattened_line_22-snap-gene-0.195-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-0.195&CDS=1-1947
OG0002624	YOL123W	snap_masked-flattened_line_22-processed-gene-0.279-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.279&CDS=1-1437
OG0002625	YOL124C	augustus_masked-flattened_line_44-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.34&CDS=1-1368
OG0002626	YOL125W	augustus_masked-flattened_line_249-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_249-processed-gene-0.6&CDS=1-1260
OG0002627	YOL127W	maker-flattened_line_163-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_163-snap-gene-0.1&CDS=1-1215
OG0002628	YOL129W	snap_masked-flattened_line_163-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.36&CDS=1-609
OG0002629	YOL132W	maker-flattened_line_163-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_163-snap-gene-0.3&CDS=1-1407
OG0002630	YOL133W	augustus_masked-flattened_line_22-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.19&CDS=1-522
OG0002631	YOL135C	augustus_masked-flattened_line_22-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.63&CDS=1-714
OG0002632	YOL136C	snap_masked-flattened_line_22-processed-gene-0.251-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.251&CDS=1-2379
OG0002633	YOL138C	snap_masked-flattened_line_22-processed-gene-0.212-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.212&CDS=1-4008
OG0002634	YOL139C	augustus_masked-flattened_line_22-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.14&CDS=1-699
OG0002635	YOL140W	augustus_masked-flattened_line_22-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.60&CDS=1-1308
OG0002636	YOL142W	snap_masked-flattened_line_124-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.1&CDS=1-768
OG0002637	YOL143C	augustus_masked-flattened_line_22-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.54&CDS=1-489
OG0002638	YOL144W	augustus_masked-flattened_line_22-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.11&CDS=1-1647
OG0002639	YOL145C	snap_masked-flattened_line_22-processed-gene-0.247-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.247&CDS=1-3276
OG0002640	YOL146W	augustus_masked-flattened_line_124-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.48&CDS=1-573
OG0002641	YOL148C	snap_masked-flattened_line_146-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_146-processed-gene-0.41&CDS=1-1074
OG0002642	YOL149W	snap_masked-flattened_line_64-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.27&CDS=1-555
OG0002643	YOR001W	augustus_masked-flattened_line_52-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.91&CDS=1-2310
OG0002644	YOR002W	augustus_masked-flattened_line_52-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.86&CDS=1-1725
OG0002645	YOR004W	snap_masked-flattened_line_52-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.142&CDS=1-939
OG0002646	YOR006C	snap_masked-flattened_line_52-processed-gene-0.146-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.146&CDS=1-1077
OG0002647	YOR007C	augustus_masked-flattened_line_52-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.87&CDS=1-876
OG0002648	YOR008C	augustus_masked-flattened_line_82-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.34&CDS=1-1524
OG0002649	YOR014W	augustus_masked-flattened_line_12-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.34&CDS=1-2538
OG0002650	YOR021C	snap_masked-flattened_line_46-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.21&CDS=1-642
OG0002651	YOR023C	augustus_masked-flattened_line_142-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.6&CDS=1-1473
OG0002652	YOR027W	augustus_masked-flattened_line_46-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.166&CDS=1-1671
OG0002653	YOR036W	augustus_masked-flattened_line_36-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.58&CDS=1-816
OG0002654	YOR037W	augustus_masked-flattened_line_36-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.57&CDS=1-1056
OG0002655	YOR038C	snap_masked-flattened_line_36-processed-gene-0.180-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.180&CDS=1-1884
OG0002656	YOR039W	augustus_masked-flattened_line_36-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.55&CDS=1-1065
