	Kluyveromyces_lactis	Saccharomyces_cerevisiae
OG0003749	augustus_masked-CR382126-processed-gene-15.53-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.53&CDS=1-2172	YKR067W
OG0003750	augustus_masked-CR382126-processed-gene-15.57-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.57&CDS=1-1911	YKR068C
OG0003751	augustus_masked-CR382126-processed-gene-15.58-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.58&CDS=1-1788	YKR069W
OG0003752	augustus_masked-CR382126-processed-gene-15.59-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.59&CDS=1-1065	YKR070W
OG0003753	augustus_masked-CR382126-processed-gene-15.79-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.79&CDS=1-354	YOR052C
OG0003754	augustus_masked-CR382126-processed-gene-15.80-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.80&CDS=1-1029	YKR071C
OG0003755	augustus_masked-CR382126-processed-gene-15.82-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.82&CDS=1-1416	YOR056C
OG0003756	augustus_masked-CR382126-processed-gene-15.60-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.60&CDS=1-1137	YOR057W
OG0003757	snap_masked-CR382126-processed-gene-15.140-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.140&CDS=1-2403	YOR058C
OG0003758	augustus_masked-CR382126-processed-gene-15.61-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.61&CDS=1-441	YKR074W
OG0003759	augustus_masked-CR382126-processed-gene-15.84-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.84&CDS=1-1377	YOR059C
OG0003760	augustus_masked-CR382126-processed-gene-15.85-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.85&CDS=1-780	YOR060C
OG0003761	augustus_masked-CR382126-processed-gene-15.62-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.62&CDS=1-1020	YOR061W
OG0003762	augustus_masked-CR382126-processed-gene-15.63-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.63&CDS=1-1161	YOR063W
OG0003763	genemark-CR382126-processed-gene-15.36-mRNA-1_1&gene=genemark-CR382126-processed-gene-15.36&CDS=1-597	YOR064C
OG0003764	augustus_masked-CR382126-processed-gene-15.64-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.64&CDS=1-876	YOR065W
OG0003765	snap_masked-CR382126-processed-gene-15.121-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.121&CDS=1-1584	YOR066W
OG0003766	augustus_masked-CR382126-processed-gene-15.88-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.88&CDS=1-1683	YOR067C
OG0003767	augustus_masked-CR382126-processed-gene-15.66-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.66&CDS=1-1995	YOR069W
OG0003768	augustus_masked-CR382126-processed-gene-15.89-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.89&CDS=1-2466	YKR079C
OG0003769	augustus_masked-CR382126-processed-gene-15.90-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.90&CDS=1-408	YEL048C
OG0003770	augustus_masked-CR382126-processed-gene-15.92-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.92&CDS=1-1185	YEL046C
OG0003771	snap_masked-CR382126-processed-gene-15.124-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.124&CDS=1-408	YEL044W
OG0003772	snap_masked-CR382126-processed-gene-15.125-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.125&CDS=1-2307	YEL043W
OG0003773	augustus_masked-CR382126-processed-gene-15.93-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.93&CDS=1-711	YJR050W
OG0003774	augustus_masked-CR382126-processed-gene-15.69-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.69&CDS=1-1566	YEL042W
OG0003775	augustus_masked-CR382126-processed-gene-15.70-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.70&CDS=1-1587	YJR049C
OG0003776	augustus_masked-CR382126-processed-gene-15.71-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.71&CDS=1-1356	YEL040W
OG0003777	augustus_masked-CR382126-processed-gene-15.94-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.94&CDS=1-330	YJR048W
OG0003778	augustus_masked-CR382126-processed-gene-15.97-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.97&CDS=1-1014	YDL078C
OG0003779	augustus_masked-CR382126-processed-gene-15.98-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.98&CDS=1-570	YMR138W
OG0003780	snap_masked-CR382126-processed-gene-15.129-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.129&CDS=1-1539	YMR137C
OG0003781	augustus_masked-CR382126-processed-gene-15.99-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.99&CDS=1-1173	YMR136W
OG0003782	augustus_masked-CR382126-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.73&CDS=1-1059	YMR135C
OG0003783	genemark-CR382126-processed-gene-15.49-mRNA-1_1&gene=genemark-CR382126-processed-gene-15.49&CDS=1-720	YMR134W
OG0003784	augustus_masked-CR382126-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.74&CDS=1-639	YLR040C
OG0003785	snap_masked-CR382126-processed-gene-15.156-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.156&CDS=1-1065	YMR133W
OG0003786	augustus_masked-CR382126-processed-gene-15.75-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.75&CDS=1-627	YMR132C
OG0003787	snap_masked-CR382126-processed-gene-15.132-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.132&CDS=1-1569	YMR131C
OG0003788	snap_masked-CR382126-processed-gene-15.133-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-15.133&CDS=1-3012	YLR039C
OG0003789	augustus_masked-CR382126-processed-gene-15.77-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.77&CDS=1-246	YLR038C
OG0003790	augustus_masked-CR382126-processed-gene-15.102-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-15.102&CDS=1-921	YMR130W
OG0003791	augustus_masked-CR382126-processed-gene-16.41-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.41&CDS=1-3906	YMR129W
OG0003792	augustus_masked-CR382126-processed-gene-16.40-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.40&CDS=1-1428	YLR034C
OG0003793	augustus_masked-CR382126-processed-gene-16.42-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.42&CDS=1-5151	YMR128W
OG0003794	augustus_masked-CR382126-processed-gene-16.43-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.43&CDS=1-957	YMR127C
OG0003795	augustus_masked-CR382126-processed-gene-16.59-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.59&CDS=1-3342	YLR032W
OG0003796	augustus_masked-CR382126-processed-gene-16.44-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.44&CDS=1-978	YMR126C
OG0003797	augustus_masked-CR382126-processed-gene-16.60-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.60&CDS=1-2565	YMR125W
OG0003798	augustus_masked-CR382126-processed-gene-16.61-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.61&CDS=1-2778	YMR124W
OG0003799	augustus_masked-CR382126-processed-gene-16.62-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.62&CDS=1-378	YMR123W
OG0003800	snap_masked-CR382126-processed-gene-16.28-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-16.28&CDS=1-534	YMR122W-A
OG0003801	augustus_masked-CR382126-processed-gene-16.46-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.46&CDS=1-1770	YMR120C
OG0003802	snap_masked-CR382126-processed-gene-16.30-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-16.30&CDS=1-2025	YMR119W
OG0003803	augustus_masked-CR382126-processed-gene-16.47-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.47&CDS=1-1263	YLR027C
OG0003804	augustus_masked-CR382126-processed-gene-16.48-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.48&CDS=1-951	YLR026C
OG0003805	augustus_masked-CR382126-processed-gene-16.67-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.67&CDS=1-696	YLR025W
OG0003806	snap_masked-CR382126-processed-gene-16.33-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-16.33&CDS=1-1050	YIL023C
OG0003807	augustus_masked-CR382126-processed-gene-16.50-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.50&CDS=1-684	YLR118C
OG0003808	augustus_masked-CR382126-processed-gene-16.51-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.51&CDS=1-4992	YDR141C
OG0003809	augustus_masked-CR382126-processed-gene-16.70-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.70&CDS=1-666	YDR140W
OG0003810	augustus_masked-CR382126-processed-gene-16.52-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.52&CDS=1-2052	YLR117C
OG0003811	augustus_masked-CR382126-processed-gene-16.71-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.71&CDS=1-1377	YLR116W
OG0003812	maker-CR382126-augustus-gene-16.77-mRNA-1_1&gene=maker-CR382126-augustus-gene-16.77&CDS=1-933	YDR064W
OG0003813	augustus_masked-CR382126-processed-gene-16.53-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.53&CDS=1-1767	YLL028W
OG0003814	augustus_masked-CR382126-processed-gene-16.54-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.54&CDS=1-2166	YLL029W
OG0003815	snap_masked-CR382126-processed-gene-16.19-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-16.19&CDS=1-693	YLL027W
OG0003816	augustus_masked-CR382126-processed-gene-16.56-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.56&CDS=1-2697	YLL026W
OG0003817	augustus_masked-CR382126-processed-gene-16.57-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.57&CDS=1-2124	YHL024W
OG0003818	augustus_masked-CR382126-processed-gene-16.74-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.74&CDS=1-2532	YHL023C
OG0003819	augustus_masked-CR382126-processed-gene-16.58-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.58&CDS=1-2547	YGR157W
OG0003820	augustus_masked-CR382126-processed-gene-17.44-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.44&CDS=1-708	YGR158C
OG0003821	augustus_masked-CR382126-processed-gene-17.42-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.42&CDS=1-1764	YDR037W
OG0003822	augustus_masked-CR382126-processed-gene-17.45-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.45&CDS=1-903	YBR061C
OG0003823	augustus_masked-CR382126-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.43&CDS=1-621	YDR041W
OG0003824	augustus_masked-CR382126-processed-gene-17.46-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.46&CDS=1-420	YBR062C
OG0003825	augustus_masked-CR382126-processed-gene-17.48-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.48&CDS=1-906	YBR065C
OG0003826	augustus_masked-CR382126-processed-gene-17.49-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.49&CDS=1-969	YDR044W
OG0003827	augustus_masked-CR382126-processed-gene-17.65-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.65&CDS=1-336	YDR045C
OG0003828	snap_masked-CR382126-processed-gene-17.9-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-17.9&CDS=1-1788	YBR060C
OG0003829	augustus_masked-CR382126-processed-gene-17.52-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.52&CDS=1-1512	YDR036C
OG0003830	snap_masked-CR382126-processed-gene-17.12-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-17.12&CDS=1-2310	YBR058C
OG0003831	genemark-CR382126-processed-gene-17.93-mRNA-1_1&gene=genemark-CR382126-processed-gene-17.93&CDS=1-798	YBR057C
OG0003832	augustus_masked-CR382126-processed-gene-17.67-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.67&CDS=1-1116	YDR035W
OG0003833	augustus_masked-CR382126-processed-gene-17.68-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.68&CDS=1-1467	YBR056W
OG0003834	augustus_masked-CR382126-processed-gene-17.54-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.54&CDS=1-939	YDR051C
OG0003835	augustus_masked-CR382126-processed-gene-17.55-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.55&CDS=1-744	YDR050C
OG0003836	genemark-CR382126-processed-gene-17.110-mRNA-1_1&gene=genemark-CR382126-processed-gene-17.110&CDS=1-708	YBR070C
OG0003837	augustus_masked-CR382126-processed-gene-17.57-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.57&CDS=1-588	YBR072W
OG0003838	snap_masked-CR382126-processed-gene-17.19-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-17.19&CDS=1-1776	YDR108W
OG0003839	snap_masked-CR382126-processed-gene-17.31-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-17.31&CDS=1-3552	YLR084C
OG0003840	augustus_masked-CR382126-processed-gene-17.73-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.73&CDS=1-2289	YDR109C
OG0003841	augustus_masked-CR382126-processed-gene-17.74-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.74&CDS=1-1245	YLR085C
OG0003842	snap_masked-CR382126-processed-gene-17.20-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-17.20&CDS=1-4116	YLR086W
OG0003843	augustus_masked-CR382126-processed-gene-17.75-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.75&CDS=1-8769	YLR087C
OG0003844	augustus_masked-CR382126-processed-gene-17.60-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.60&CDS=1-1734	YLR088W
OG0003845	snap_masked-CR382126-processed-gene-17.21-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-17.21&CDS=1-1581	YDR110W
OG0003846	augustus_masked-CR382126-processed-gene-17.76-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.76&CDS=1-1584	YLR089C
OG0003847	augustus_masked-CR382126-processed-gene-17.62-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.62&CDS=1-1425	YLR090W
OG0003848	snap_masked-CR382126-processed-gene-17.37-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-17.37&CDS=1-789	YDR113C
OG0003849	genemark-CR382126-processed-gene-17.104-mRNA-1_1&gene=genemark-CR382126-processed-gene-17.104&CDS=1-348	YDR115W
OG0003850	augustus_masked-CR382126-processed-gene-17.78-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.78&CDS=1-798	YDR116C
OG0003851	augustus_masked-CR382126-processed-gene-17.79-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-17.79&CDS=1-1710	YDR117C
OG0003852	augustus_masked-CR382126-processed-gene-18.88-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.88&CDS=1-1032	YPL088W
OG0003853	augustus_masked-CR382126-processed-gene-18.89-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.89&CDS=1-240	YDR119W-A
OG0003854	augustus_masked-CR382126-processed-gene-18.92-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.92&CDS=1-1671	YDR120C
OG0003855	augustus_masked-CR382126-processed-gene-18.91-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.91&CDS=1-648	YDR121W
OG0003856	augustus_masked-CR382126-processed-gene-18.93-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.93&CDS=1-693	YLR093C
OG0003857	snap_masked-CR382126-processed-gene-18.21-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-18.21&CDS=1-1332	YLR094C
OG0003858	augustus_masked-CR382126-processed-gene-18.106-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.106&CDS=1-2217	YLR095C
OG0003859	augustus_masked-CR382126-processed-gene-18.94-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.94&CDS=1-3312	YDR122W
OG0003860	augustus_masked-CR382126-processed-gene-18.107-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.107&CDS=1-1155	YDR123C
OG0003861	augustus_masked-CR382126-processed-gene-18.108-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.108&CDS=1-1047	YLR097C
OG0003862	augustus_masked-CR382126-processed-gene-18.109-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.109&CDS=1-1725	YLR098C
OG0003863	augustus_masked-CR382126-processed-gene-18.110-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.110&CDS=1-1182	YDR125C
OG0003864	augustus_masked-CR382126-processed-gene-18.95-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.95&CDS=1-357	YLR099W-A
OG0003865	genemark-CR382126-processed-gene-18.51-mRNA-1_1&gene=genemark-CR382126-processed-gene-18.51&CDS=1-972	YDR126W
OG0003866	augustus_masked-CR382126-processed-gene-18.96-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.96&CDS=1-4734	YDR127W
OG0003867	augustus_masked-CR382126-processed-gene-18.97-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.97&CDS=1-4338	YDR128W
OG0003868	augustus_masked-CR382126-processed-gene-18.111-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.111&CDS=1-1971	YDR129C
OG0003869	augustus_masked-CR382126-processed-gene-18.113-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.113&CDS=1-1863	YLR103C
OG0003870	augustus_masked-CR382126-processed-gene-18.98-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.98&CDS=1-402	YLR104W
OG0003871	augustus_masked-CR382126-processed-gene-18.114-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.114&CDS=1-1044	YLR105C
OG0003872	augustus_masked-CR382126-processed-gene-18.115-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.115&CDS=1-14745	YLR106C
OG0003873	snap_masked-CR382126-processed-gene-18.14-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-18.14&CDS=1-1155	YLR107W
OG0003874	augustus_masked-CR382126-processed-gene-18.116-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.116&CDS=1-696	YDR130C
OG0003875	augustus_masked-CR382126-processed-gene-18.99-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.99&CDS=1-513	YLR109W
OG0003876	augustus_masked-CR382126-processed-gene-18.119-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.119&CDS=1-372	YDR134C
OG0003877	augustus_masked-CR382126-processed-gene-18.100-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.100&CDS=1-1332	YLR113W
OG0003878	augustus_masked-CR382126-processed-gene-18.101-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.101&CDS=1-3255	YLR272C
OG0003879	augustus_masked-CR382126-processed-gene-18.121-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.121&CDS=1-1170	YOR176W
OG0003880	augustus_masked-CR382126-processed-gene-18.102-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.102&CDS=1-1845	YOR175C
OG0003881	augustus_masked-CR382126-processed-gene-18.122-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.122&CDS=1-855	YOR174W
OG0003882	augustus_masked-CR382126-processed-gene-18.123-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.123&CDS=1-861	YLR271W
OG0003883	augustus_masked-CR382126-processed-gene-18.124-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.124&CDS=1-1050	YLR270W
OG0003884	augustus_masked-CR382126-processed-gene-18.125-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.125&CDS=1-642	YLR268W
OG0003885	augustus_masked-CR382126-processed-gene-18.103-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.103&CDS=1-537	YOR163W
OG0003886	augustus_masked-CR382126-processed-gene-18.126-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.126&CDS=1-906	YOR164C
OG0003887	augustus_masked-CR382126-processed-gene-19.81-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.81&CDS=1-2358	YOR165W
OG0003888	augustus_masked-CR382126-processed-gene-19.84-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.84&CDS=1-1341	YOR166C
OG0003889	snap_masked-CR382126-processed-gene-19.5-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.5&CDS=1-2310	YLR263W
OG0003890	maker-CR382126-augustus-gene-19.79-mRNA-1_1&gene=maker-CR382126-augustus-gene-19.79&CDS=1-2577	YOR168W
OG0003891	augustus_masked-CR382126-processed-gene-19.87-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.87&CDS=1-636	YLR262C
OG0003892	augustus_masked-CR382126-processed-gene-19.102-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.102&CDS=1-1701	YLR260W
OG0003893	snap_masked-CR382126-processed-gene-19.8-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.8&CDS=1-1242	YGR156W
OG0003894	augustus_masked-CR382126-processed-gene-19.89-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.89&CDS=1-1416	YGR019W
OG0003895	augustus_masked-CR382126-processed-gene-19.90-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.90&CDS=1-537	YER134C
OG0003896	snap_masked-CR382126-processed-gene-19.13-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.13&CDS=1-2280	YDR207C
OG0003897	snap_masked-CR382126-processed-gene-19.27-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.27&CDS=1-2706	YDR206W
OG0003898	augustus_masked-CR382126-processed-gene-19.93-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.93&CDS=1-1977	YLR234W
OG0003899	genemark-CR382126-processed-gene-19.65-mRNA-1_1&gene=genemark-CR382126-processed-gene-19.65&CDS=1-2109	YDR205W
OG0003900	augustus_masked-CR382126-processed-gene-19.106-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.106&CDS=1-714	YNL200C
OG0003901	snap_masked-CR382126-processed-gene-19.30-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.30&CDS=1-1053	YNL199C
OG0003902	augustus_masked-CR382126-processed-gene-19.94-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.94&CDS=1-1653	YDL225W
OG0003903	augustus_masked-CR382126-processed-gene-19.108-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.108&CDS=1-1848	YNL197C
OG0003904	snap_masked-CR382126-processed-gene-19.34-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.34&CDS=1-2721	YDL220C
OG0003905	snap_masked-CR382126-processed-gene-19.16-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.16&CDS=1-1551	YNL193W
OG0003906	augustus_masked-CR382126-processed-gene-19.98-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.98&CDS=1-891	YBR146W
OG0003907	augustus_masked-CR382126-processed-gene-19.113-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.113&CDS=1-315	YOL086W-A
OG0003908	snap_masked-CR382126-processed-gene-19.21-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.21&CDS=1-2661	YOL087C
OG0003909	augustus_masked-CR382126-processed-gene-19.100-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.100&CDS=1-645	YBR154C
OG0003910	augustus_masked-CR382126-processed-gene-19.114-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.114&CDS=1-756	YBR153W
OG0003911	augustus_masked-CR382126-processed-gene-19.101-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.101&CDS=1-5322	YJL109C
OG0003912	snap_masked-CR382126-processed-gene-19.24-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-19.24&CDS=1-735	YKR030W
OG0003913	augustus_masked-CR382126-processed-gene-19.118-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.118&CDS=1-4806	YKR031C
OG0003914	augustus_masked-CR382126-processed-gene-20.46-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.46&CDS=1-1422	YKR034W
OG0003915	augustus_masked-CR382126-processed-gene-20.47-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.47&CDS=1-612	YKR035W-A
OG0003916	augustus_masked-CR382126-processed-gene-20.48-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.48&CDS=1-1653	YJL111W
OG0003917	augustus_masked-CR382126-processed-gene-20.49-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.49&CDS=1-2115	YJL112W
OG0003918	augustus_masked-CR382126-processed-gene-20.50-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.50&CDS=1-825	YKR037C
OG0003919	augustus_masked-CR382126-processed-gene-20.51-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.51&CDS=1-1155	YKR038C
OG0003920	augustus_masked-CR382126-processed-gene-20.65-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.65&CDS=1-846	YDR337W
OG0003921	augustus_masked-CR382126-processed-gene-20.53-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.53&CDS=1-657	YHR089C
OG0003922	augustus_masked-CR382126-processed-gene-20.66-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.66&CDS=1-1077	YDR336W
OG0003923	augustus_masked-CR382126-processed-gene-20.67-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.67&CDS=1-3663	YDR335W
OG0003924	augustus_masked-CR382126-processed-gene-20.68-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.68&CDS=1-876	YHR088W
OG0003925	augustus_masked-CR382126-processed-gene-20.70-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.70&CDS=1-345	YHR087W
OG0003926	augustus_masked-CR382126-processed-gene-20.71-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.71&CDS=1-4716	YDR334W
OG0003927	augustus_masked-CR382126-processed-gene-20.55-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.55&CDS=1-1830	YHR032W
OG0003928	augustus_masked-CR382126-processed-gene-20.73-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.73&CDS=1-1128	YHR052W
OG0003929	augustus_masked-CR382126-processed-gene-20.56-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.56&CDS=1-513	YKL160W
OG0003930	augustus_masked-CR382126-processed-gene-20.74-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.74&CDS=1-441	YHR051W
OG0003931	snap_masked-CR382126-processed-gene-20.117-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-20.117&CDS=1-633	YKL159C
