	Lachancea_quebecensis	Saccharomyces_cerevisiae
OG0002820	genemark-LAQU0S11-processed-gene-0.91-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.91&CDS=1-1041	YOR085W
OG0002821	snap_masked-LAQU0S11-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-0.67&CDS=1-291	YNL086W
OG0002822	genemark-LAQU0S11-processed-gene-0.107-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.107&CDS=1-3528	YOR086C
OG0002823	genemark-LAQU0S11-processed-gene-0.108-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.108&CDS=1-4293	YNL088W
OG0002824	genemark-LAQU0S11-processed-gene-0.109-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.109&CDS=1-561	YNL090W
OG0002825	augustus_masked-LAQU0S11-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-0.28&CDS=1-3837	YNL091W
OG0002826	genemark-LAQU0S11-processed-gene-0.92-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.92&CDS=1-2037	YOR087W
OG0002827	maker-LAQU0S11-augustus-gene-0.81-mRNA-1_1&gene=maker-LAQU0S11-augustus-gene-0.81&CDS=1-2100	YOR090C
OG0002828	genemark-LAQU0S11-processed-gene-0.93-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.93&CDS=1-1023	YOR091W
OG0002829	genemark-LAQU0S11-processed-gene-0.113-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.113&CDS=1-8400	YOR093C
OG0002830	augustus_masked-LAQU0S11-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-0.12&CDS=1-552	YOR094W
OG0002831	augustus_masked-LAQU0S11-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-0.32&CDS=1-825	YOR095C
OG0002832	genemark-LAQU0S11-processed-gene-0.95-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-0.95&CDS=1-567	YOR096W
OG0002833	augustus_masked-LAQU0S11-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-0.33&CDS=1-435	YOR097C
OG0002834	genemark-LAQU0S11-processed-gene-1.54-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.54&CDS=1-972	YOR100C
OG0002835	genemark-LAQU0S11-processed-gene-1.55-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.55&CDS=1-2625	YLR014C
OG0002836	augustus_masked-LAQU0S11-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-1.104&CDS=1-2622	YJL036W
OG0002837	genemark-LAQU0S11-processed-gene-1.56-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.56&CDS=1-750	YJL035C
OG0002838	genemark-LAQU0S11-processed-gene-1.74-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.74&CDS=1-636	YLR016C
OG0002839	augustus_masked-LAQU0S11-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-1.109&CDS=1-3138	YJL033W
OG0002840	genemark-LAQU0S11-processed-gene-1.75-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.75&CDS=1-993	YJL031C
OG0002841	genemark-LAQU0S11-processed-gene-1.59-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.59&CDS=1-600	YJL030W
OG0002842	genemark-LAQU0S11-processed-gene-1.76-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.76&CDS=1-2415	YJL029C
OG0002843	genemark-LAQU0S11-processed-gene-1.60-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.60&CDS=1-1692	YJL008C
OG0002844	genemark-LAQU0S11-processed-gene-1.61-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.61&CDS=1-2019	YJL010C
OG0002845	augustus_masked-LAQU0S11-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-1.124&CDS=1-2079	YKL142W
OG0002846	genemark-LAQU0S11-processed-gene-1.62-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.62&CDS=1-624	YKL144C
OG0002847	genemark-LAQU0S11-processed-gene-1.79-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.79&CDS=1-3207	YKL145W
OG0002848	genemark-LAQU0S11-processed-gene-1.80-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.80&CDS=1-876	YKL150W
OG0002849	augustus_masked-LAQU0S11-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-1.114&CDS=1-954	YKL151C
OG0002850	genemark-LAQU0S11-processed-gene-1.66-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.66&CDS=1-741	YKL152C
OG0002851	snap_masked-LAQU0S11-processed-gene-1.29-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-1.29&CDS=1-1128	YJL044C
OG0002852	augustus_masked-LAQU0S11-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-1.116&CDS=1-6594	YJL042W
OG0002853	genemark-LAQU0S11-processed-gene-1.82-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.82&CDS=1-5013	YJL039C
OG0002854	snap_masked-LAQU0S11-processed-gene-1.16-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-1.16&CDS=1-210	YIL102C-A
OG0002855	genemark-LAQU0S11-processed-gene-1.83-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.83&CDS=1-777	YKL154W
OG0002856	genemark-LAQU0S11-processed-gene-1.68-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.68&CDS=1-2064	YKL155C
OG0002857	snap_masked-LAQU0S11-processed-gene-1.33-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-1.33&CDS=1-1152	YHR022C
OG0002858	genemark-LAQU0S11-processed-gene-1.86-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.86&CDS=1-1473	YHR024C
OG0002859	genemark-LAQU0S11-processed-gene-1.70-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.70&CDS=1-1071	YHR025W
OG0002860	genemark-LAQU0S11-processed-gene-1.71-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.71&CDS=1-636	YHR026W
OG0002861	genemark-LAQU0S11-processed-gene-1.89-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.89&CDS=1-870	YHR029C
OG0002862	genemark-LAQU0S11-processed-gene-1.90-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.90&CDS=1-1497	YHR030C
OG0002863	genemark-LAQU0S11-processed-gene-1.72-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.72&CDS=1-1815	YHR032W
OG0002864	genemark-LAQU0S11-processed-gene-1.93-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.93&CDS=1-1224	YHR052W
OG0002865	genemark-LAQU0S11-processed-gene-1.73-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.73&CDS=1-441	YKL160W
OG0002866	augustus_masked-LAQU0S11-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-1.138&CDS=1-450	YHR051W
OG0002867	snap_masked-LAQU0S11-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-1.44&CDS=1-630	YKL159C
OG0002868	genemark-LAQU0S11-processed-gene-1.97-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.97&CDS=1-714	YHR049W
OG0002869	genemark-LAQU0S11-processed-gene-1.98-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.98&CDS=1-1440	YHR048W
OG0002870	genemark-LAQU0S11-processed-gene-2.0-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.0&CDS=1-2586	YKL157W
OG0002871	genemark-LAQU0S11-processed-gene-2.1-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.1&CDS=1-876	YHR046C
OG0002872	genemark-LAQU0S11-processed-gene-2.4-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.4&CDS=1-1671	YHR045W
OG0002873	augustus_masked-LAQU0S11-processed-gene-2.186-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.186&CDS=1-990	YDR279W
OG0002874	genemark-LAQU0S11-processed-gene-2.3-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.3&CDS=1-915	YDR280W
OG0002875	maker-LAQU0S11-augustus-gene-2.176-mRNA-1_1&gene=maker-LAQU0S11-augustus-gene-2.176&CDS=1-3183	YHR042W
OG0002876	snap_masked-LAQU0S11-processed-gene-2.130-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.130&CDS=1-924	YDR288W
OG0002877	genemark-LAQU0S11-processed-gene-2.46-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.46&CDS=1-888	YDR287W
OG0002878	genemark-LAQU0S11-processed-gene-2.5-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.5&CDS=1-324	YDR286C
OG0002879	augustus_masked-LAQU0S11-processed-gene-2.225-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.225&CDS=1-2370	YDR285W
OG0002880	genemark-LAQU0S11-processed-gene-2.6-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.6&CDS=1-876	YDR284C
OG0002881	snap_masked-LAQU0S11-processed-gene-2.90-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.90&CDS=1-5130	YDR283C
OG0002882	snap_masked-LAQU0S11-processed-gene-2.91-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.91&CDS=1-624	YHR041C
OG0002883	genemark-LAQU0S11-processed-gene-2.48-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.48&CDS=1-1059	YDR289C
OG0002884	genemark-LAQU0S11-processed-gene-2.8-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.8&CDS=1-3216	YDR291W
OG0002885	genemark-LAQU0S11-processed-gene-2.49-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.49&CDS=1-1758	YDR292C
OG0002886	augustus_masked-LAQU0S11-processed-gene-2.228-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.228&CDS=1-1065	YHR040W
OG0002887	augustus_masked-LAQU0S11-processed-gene-2.194-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.194&CDS=1-2346	YHR039C
OG0002888	genemark-LAQU0S11-processed-gene-2.51-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.51&CDS=1-4254	YDR293C
OG0002889	genemark-LAQU0S11-processed-gene-2.52-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.52&CDS=1-1719	YHR037W
OG0002890	genemark-LAQU0S11-processed-gene-2.53-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.53&CDS=1-1227	YHR036W
OG0002891	genemark-LAQU0S11-processed-gene-2.54-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.54&CDS=1-1695	YDR294C
OG0002892	augustus_masked-LAQU0S11-processed-gene-2.233-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.233&CDS=1-3591	YDR295C
OG0002893	genemark-LAQU0S11-processed-gene-2.12-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.12&CDS=1-642	YDR296W
OG0002894	genemark-LAQU0S11-processed-gene-2.13-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.13&CDS=1-1011	YDR297W
OG0002895	genemark-LAQU0S11-processed-gene-2.57-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.57&CDS=1-618	YDR298C
OG0002896	genemark-LAQU0S11-processed-gene-2.14-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.14&CDS=1-1584	YDR299W
OG0002897	genemark-LAQU0S11-processed-gene-2.15-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.15&CDS=1-1065	YHR034C
OG0002898	genemark-LAQU0S11-processed-gene-2.58-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.58&CDS=1-1263	YDR300C
OG0002899	genemark-LAQU0S11-processed-gene-2.16-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.16&CDS=1-3924	YDR301W
OG0002900	genemark-LAQU0S11-processed-gene-2.17-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.17&CDS=1-654	YDR302W
OG0002901	genemark-LAQU0S11-processed-gene-2.60-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.60&CDS=1-624	YDR304C
OG0002902	genemark-LAQU0S11-processed-gene-2.61-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.61&CDS=1-771	YHR058C
OG0002903	maker-LAQU0S11-augustus-gene-2.173-mRNA-1_1&gene=maker-LAQU0S11-augustus-gene-2.173&CDS=1-1290	YJR095W
OG0002904	genemark-LAQU0S11-processed-gene-2.20-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.20&CDS=1-858	YJR096W
OG0002905	genemark-LAQU0S11-processed-gene-2.63-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.63&CDS=1-1491	YOR025W
OG0002906	genemark-LAQU0S11-processed-gene-2.64-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.64&CDS=1-1791	YDR477W
OG0002907	snap_masked-LAQU0S11-processed-gene-2.107-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.107&CDS=1-1299	YDR476C
OG0002908	genemark-LAQU0S11-processed-gene-2.25-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.25&CDS=1-1266	YDR473C
OG0002909	genemark-LAQU0S11-processed-gene-2.65-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.65&CDS=1-315	YOR020C
OG0002910	snap_masked-LAQU0S11-processed-gene-2.110-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.110&CDS=1-216	YOR020W-A
OG0002911	genemark-LAQU0S11-processed-gene-2.66-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.66&CDS=1-636	YOR021C
OG0002912	genemark-LAQU0S11-processed-gene-2.67-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.67&CDS=1-1977	YOR022C
OG0002913	snap_masked-LAQU0S11-processed-gene-2.154-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.154&CDS=1-1632	YOR023C
OG0002914	genemark-LAQU0S11-processed-gene-2.70-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.70&CDS=1-855	YDR472W
OG0002915	genemark-LAQU0S11-processed-gene-2.27-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.27&CDS=1-681	YHR013C
OG0002916	genemark-LAQU0S11-processed-gene-2.71-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.71&CDS=1-2013	YHR011W
OG0002917	genemark-LAQU0S11-processed-gene-2.29-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.29&CDS=1-1413	YDR470C
OG0002918	snap_masked-LAQU0S11-processed-gene-2.161-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.161&CDS=1-270	YDR469W
OG0002919	genemark-LAQU0S11-processed-gene-2.30-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.30&CDS=1-621	YDR468C
OG0002920	genemark-LAQU0S11-processed-gene-2.31-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.31&CDS=1-1476	YHR009C
OG0002921	genemark-LAQU0S11-processed-gene-2.73-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.73&CDS=1-2016	YDR466W
OG0002922	maker-LAQU0S11-snap-gene-2.181-mRNA-1_1&gene=maker-LAQU0S11-snap-gene-2.181&CDS=1-1938	YDR465C
OG0002923	genemark-LAQU0S11-processed-gene-2.34-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.34&CDS=1-1608	YHR007C
OG0002924	augustus_masked-LAQU0S11-processed-gene-2.249-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.249&CDS=1-4641	YDR464W
OG0002925	genemark-LAQU0S11-processed-gene-2.75-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.75&CDS=1-1617	YDR463W
OG0002926	maker-LAQU0S11-augustus-gene-2.179-mRNA-1_1&gene=maker-LAQU0S11-augustus-gene-2.179&CDS=1-1551	YML038C
OG0002927	snap_masked-LAQU0S11-processed-gene-2.120-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.120&CDS=1-522	YML036W
OG0002928	genemark-LAQU0S11-processed-gene-2.79-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.79&CDS=1-966	YDR460W
OG0002929	augustus_masked-LAQU0S11-processed-gene-2.217-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.217&CDS=1-1101	YDR459C
OG0002930	genemark-LAQU0S11-processed-gene-2.80-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.80&CDS=1-2274	YML035C
OG0002931	genemark-LAQU0S11-processed-gene-2.36-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.36&CDS=1-2403	YML034W
OG0002932	snap_masked-LAQU0S11-processed-gene-2.170-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.170&CDS=1-9765	YDR457W
OG0002933	snap_masked-LAQU0S11-processed-gene-2.171-mRNA-1_1&gene=snap_masked-LAQU0S11-processed-gene-2.171&CDS=1-1368	YML032C
OG0002934	augustus_masked-LAQU0S11-processed-gene-2.219-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.219&CDS=1-777	YML031W
OG0002935	genemark-LAQU0S11-processed-gene-2.82-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-2.82&CDS=1-1836	YDR456W
OG0002936	maker-LAQU0S11-augustus-gene-2.175-mRNA-1_1&gene=maker-LAQU0S11-augustus-gene-2.175&CDS=1-1038	YDR454C
OG0002937	augustus_masked-LAQU0S11-processed-gene-2.221-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.221&CDS=1-2535	YML029W
OG0002938	augustus_masked-LAQU0S11-processed-gene-2.222-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-2.222&CDS=1-378	YDR260C
OG0002939	genemark-LAQU0S12-processed-gene-0.21-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.21&CDS=1-1146	YGL256W
OG0002940	genemark-LAQU0S12-processed-gene-0.22-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.22&CDS=1-1695	YNL125C
OG0002941	genemark-LAQU0S12-processed-gene-0.3-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.3&CDS=1-702	YIR038C
OG0002942	snap_masked-LAQU0S12-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LAQU0S12-processed-gene-0.61&CDS=1-1335	YPL092W
OG0002943	genemark-LAQU0S12-processed-gene-0.23-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.23&CDS=1-1722	YBR293W
OG0002944	genemark-LAQU0S12-processed-gene-0.25-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.25&CDS=1-1200	YGR234W
OG0002945	genemark-LAQU0S12-processed-gene-0.26-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.26&CDS=1-1050	YMR315W
OG0002946	genemark-LAQU0S12-processed-gene-0.27-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.27&CDS=1-2502	YML099C
OG0002947	genemark-LAQU0S12-processed-gene-0.7-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.7&CDS=1-474	YML098W
OG0002948	maker-LAQU0S12-snap-gene-0.122-mRNA-1_1&gene=maker-LAQU0S12-snap-gene-0.122&CDS=1-3024	YML130C
OG0002949	augustus_masked-LAQU0S12-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-0.93&CDS=1-1545	YML096W
OG0002950	augustus_masked-LAQU0S12-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-0.113&CDS=1-612	YML095C
OG0002951	maker-LAQU0S12-augustus-gene-0.80-mRNA-1_1&gene=maker-LAQU0S12-augustus-gene-0.80&CDS=1-2955	YML093W
OG0002952	genemark-LAQU0S12-processed-gene-0.30-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.30&CDS=1-1095	YML092C
OG0002953	snap_masked-LAQU0S12-processed-gene-0.71-mRNA-1_1&gene=snap_masked-LAQU0S12-processed-gene-0.71&CDS=1-186	YML129C
OG0002954	maker-LAQU0S12-snap-gene-0.125-mRNA-1_1&gene=maker-LAQU0S12-snap-gene-0.125&CDS=1-1581	YML128C
OG0002955	genemark-LAQU0S12-processed-gene-0.11-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.11&CDS=1-1740	YML127W
OG0002956	genemark-LAQU0S12-processed-gene-0.32-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.32&CDS=1-3579	YML091C
OG0002957	snap_masked-LAQU0S12-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LAQU0S12-processed-gene-0.74&CDS=1-1392	YML126C
OG0002958	augustus_masked-LAQU0S12-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-0.117&CDS=1-3666	YAR042W
OG0002959	maker-LAQU0S12-snap-gene-0.121-mRNA-1_1&gene=maker-LAQU0S12-snap-gene-0.121&CDS=1-849	YAR019C
OG0002960	genemark-LAQU0S12-processed-gene-0.13-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.13&CDS=1-1218	YAR018C
OG0002961	genemark-LAQU0S12-processed-gene-0.34-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.34&CDS=1-912	YAR015W
OG0002962	genemark-LAQU0S12-processed-gene-0.14-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.14&CDS=1-1875	YAR014C
OG0002963	genemark-LAQU0S12-processed-gene-0.15-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.15&CDS=1-2697	YBR017C
OG0002964	genemark-LAQU0S12-processed-gene-0.16-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.16&CDS=1-1626	YIR027C
OG0002965	snap_masked-LAQU0S12-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LAQU0S12-processed-gene-0.77&CDS=1-474	YDL018C
OG0002966	genemark-LAQU0S12-processed-gene-0.17-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.17&CDS=1-1413	YDL017W
OG0002967	genemark-LAQU0S12-processed-gene-0.36-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.36&CDS=1-915	YDL015C
OG0002968	genemark-LAQU0S12-processed-gene-0.18-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.18&CDS=1-978	YDL014W
OG0002969	augustus_masked-LAQU0S12-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-0.104&CDS=1-2202	YDL013W
OG0002970	genemark-LAQU0S12-processed-gene-1.3-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.3&CDS=1-339	YDL012C
OG0002971	augustus_masked-LAQU0S12-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.102&CDS=1-1407	YBR138C
OG0002972	genemark-LAQU0S12-processed-gene-1.4-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.4&CDS=1-3741	YOL075C
OG0002973	genemark-LAQU0S12-processed-gene-1.1-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.1&CDS=1-576	YGR078C
OG0002974	genemark-LAQU0S12-processed-gene-1.5-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.5&CDS=1-825	YOL073C
OG0002975	snap_masked-LAQU0S12-processed-gene-1.51-mRNA-1_1&gene=snap_masked-LAQU0S12-processed-gene-1.51&CDS=1-1722	YGR077C
OG0002976	genemark-LAQU0S12-processed-gene-1.6-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.6&CDS=1-1044	YBR034C
OG0002977	genemark-LAQU0S12-processed-gene-1.7-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.7&CDS=1-1152	YKR038C
OG0002978	genemark-LAQU0S12-processed-gene-1.8-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.8&CDS=1-813	YKR037C
OG0002979	genemark-LAQU0S12-processed-gene-1.9-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.9&CDS=1-2169	YJL112W
OG0002980	genemark-LAQU0S12-processed-gene-1.10-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.10&CDS=1-1644	YJL111W
OG0002981	genemark-LAQU0S12-processed-gene-1.29-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.29&CDS=1-612	YKR035W-A
OG0002982	genemark-LAQU0S12-processed-gene-1.12-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.12&CDS=1-4656	YKR031C
OG0002983	maker-LAQU0S12-augustus-gene-1.150-mRNA-1_1&gene=maker-LAQU0S12-augustus-gene-1.150&CDS=1-5976	YJL109C
OG0002984	genemark-LAQU0S12-processed-gene-1.33-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.33&CDS=1-3099	YJL108C
OG0002985	genemark-LAQU0S12-processed-gene-1.15-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.15&CDS=1-1248	YBR105C
OG0002986	augustus_masked-LAQU0S12-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.133&CDS=1-459	YPR062W
OG0002987	maker-LAQU0S12-augustus-gene-1.148-mRNA-1_1&gene=maker-LAQU0S12-augustus-gene-1.148&CDS=1-1659	YPR060C
OG0002988	augustus_masked-LAQU0S12-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.135&CDS=1-1047	YPR057W
OG0002989	genemark-LAQU0S12-processed-gene-1.37-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.37&CDS=1-1011	YPR056W
OG0002990	genemark-LAQU0S12-processed-gene-1.38-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.38&CDS=1-1527	YBR103W
OG0002991	genemark-LAQU0S12-processed-gene-1.18-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.18&CDS=1-2085	YBR102C
OG0002992	genemark-LAQU0S12-processed-gene-1.19-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.19&CDS=1-864	YBR101C
OG0002993	augustus_masked-LAQU0S12-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.139&CDS=1-4875	YPR055W
OG0002994	augustus_masked-LAQU0S12-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.140&CDS=1-4263	YBR097W
OG0002995	augustus_masked-LAQU0S12-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.141&CDS=1-1845	YPR054W
OG0002996	genemark-LAQU0S12-processed-gene-1.20-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.20&CDS=1-1017	YBR095C
OG0002997	augustus_masked-LAQU0S12-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.142&CDS=1-2310	YBR094W
OG0002998	augustus_masked-LAQU0S12-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-LAQU0S12-processed-gene-1.121&CDS=1-297	YBR091C
