	Millerozyma_acaciae	Saccharomyces_cerevisiae
OG0002507	-processed-gene-10.135-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.135&CDS=1-774	YOR278W
OG0002508	-processed-gene-10.113-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.113&CDS=1-765	YIL010W
OG0002509	-processed-gene-10.138-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.138&CDS=1-1464	YIL039W
OG0002510	-processed-gene-10.139-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.139&CDS=1-615	YDR298C
OG0002511	-processed-gene-10.114-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.114&CDS=1-1110	YEL050C
OG0002512	-augustus-gene-10.95-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-10.95&CDS=1-3240	YKR079C
OG0002513	-processed-gene-10.115-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.115&CDS=1-2925	YKR089C
OG0002514	-processed-gene-10.116-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.116&CDS=1-2163	YOR080W
OG0002515	-processed-gene-10.117-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.117&CDS=1-705	YOR078W
OG0002516	-processed-gene-10.118-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.118&CDS=1-1473	YDR235W
OG0002517	-augustus-gene-10.96-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-10.96&CDS=1-1572	YLR354C
OG0002518	-processed-gene-10.121-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.121&CDS=1-3711	YFL008W
OG0002519	-processed-gene-10.149-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.149&CDS=1-2925	YLR336C
OG0002520	-processed-gene-10.123-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.123&CDS=1-1092	YGR028W
OG0002521	-processed-gene-10.124-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.124&CDS=1-2655	YMR302C
OG0002522	-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.44&CDS=1-1491	YPL020C
OG0002523	-processed-gene-10.126-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.126&CDS=1-570	YPL010W
OG0002524	-processed-gene-10.127-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.127&CDS=1-1029	YPL011C
OG0002525	-processed-gene-11.107-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.107&CDS=1-3318	YBR163W
OG0002526	-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.109&CDS=1-1137	YOR258W
OG0002527	-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.108&CDS=1-1914	YER068W
OG0002528	-processed-gene-11.61-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.61&CDS=1-2964	YPL040C
OG0002529	-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.112&CDS=1-990	YIR026C
OG0002530	-processed-gene-11.85-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.85&CDS=1-1395	YNL119W
OG0002531	-processed-gene-11.63-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.63&CDS=1-396	YHR116W
OG0002532	-processed-gene-11.64-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.64&CDS=1-3009	YER114C
OG0002533	-processed-gene-11.87-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.87&CDS=1-1095	YBR039W
OG0002534	-processed-gene-11.67-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.67&CDS=1-2892	YCR017C
OG0002535	-processed-gene-11.88-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.88&CDS=1-2943	YNL123W
OG0002536	-processed-gene-11.89-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.89&CDS=1-1071	YHR118C
OG0002537	-augustus-gene-11.1-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-11.1&CDS=1-5913	YHR120W
OG0002538	-processed-gene-11.90-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.90&CDS=1-1797	YNL124W
OG0002539	-processed-gene-11.72-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.72&CDS=1-2256	YNL137C
OG0002540	-processed-gene-11.92-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.92&CDS=1-1386	YNL062C
OG0002541	-processed-gene-11.73-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.73&CDS=1-1878	YNL061W
OG0002542	-processed-gene-11.93-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.93&CDS=1-2325	YNL059C
OG0002543	-processed-gene-11.74-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.74&CDS=1-1626	YNL138W
OG0002544	-processed-gene-11.76-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.76&CDS=1-717	YNL129W
OG0002545	-processed-gene-11.97-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.97&CDS=1-3132	YNL132W
OG0002546	-processed-gene-11.29-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.29&CDS=1-288	YBL026W
OG0002547	-processed-gene-11.144-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.144&CDS=1-561	YER137C
OG0002548	-processed-gene-11.145-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.145&CDS=1-417	YMR292W
OG0002549	-processed-gene-11.81-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.81&CDS=1-855	YGR268C
OG0002550	-processed-gene-11.99-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.99&CDS=1-1755	YHR037W
OG0002551	-processed-gene-11.101-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.101&CDS=1-1104	YGR173W
OG0002552	-processed-gene-11.82-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.82&CDS=1-699	YGR271C-A
OG0002553	-augustus-gene-12.48-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-12.48&CDS=1-3165	YMR290C
OG0002554	-processed-gene-12.98-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.98&CDS=1-3840	YDR293C
OG0002555	-processed-gene-12.100-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.100&CDS=1-798	YGR267C
OG0002556	-processed-gene-12.121-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.121&CDS=1-1458	YMR293C
OG0002557	-processed-gene-12.101-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.101&CDS=1-2265	YGR264C
OG0002558	-processed-gene-12.77-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.77&CDS=1-5073	YGR170W
OG0002559	-processed-gene-12.7-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.7&CDS=1-783	YGR172C
OG0002560	-processed-gene-12.103-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.103&CDS=1-5691	YGR270W
OG0002561	-processed-gene-12.124-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.124&CDS=1-336	YGR063C
OG0002562	-processed-gene-12.104-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.104&CDS=1-1035	YGR062C
OG0002563	-processed-gene-12.29-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.29&CDS=1-2514	YGL227W
OG0002564	-processed-gene-12.62-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.62&CDS=1-2211	YGR262C
OG0002565	-processed-gene-12.108-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.108&CDS=1-1932	YDR194C
OG0002566	-processed-gene-12.127-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.127&CDS=1-1995	YOR154W
OG0002567	-processed-gene-12.109-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.109&CDS=1-1164	YGL246C
OG0002568	-processed-gene-12.82-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.82&CDS=1-2430	YKL034W
OG0002569	-processed-gene-12.111-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.111&CDS=1-363	YDR511W
OG0002570	-augustus-gene-12.50-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-12.50&CDS=1-1917	YOR315W
OG0002571	-processed-gene-12.19-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.19&CDS=1-1221	YDR124W
OG0002572	-processed-gene-12.20-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.20&CDS=1-735	YOR313C
OG0002573	-augustus-gene-12.51-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-12.51&CDS=1-3396	YLR197W
OG0002574	-processed-gene-12.115-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.115&CDS=1-441	YBR082C
OG0002575	-processed-gene-12.116-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.116&CDS=1-3195	YBR081C
OG0002576	-processed-gene-12.138-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.138&CDS=1-1275	YLR203C
OG0002577	-processed-gene-12.74-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.74&CDS=1-1518	YMR240C
OG0002578	-processed-gene-12.120-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-12.120&CDS=1-786	YOR305W
OG0002579	-processed-gene-13.46-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.46&CDS=1-1560	YJL153C
OG0002580	-processed-gene-13.47-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.47&CDS=1-2088	YOR317W
OG0002581	-processed-gene-13.49-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.49&CDS=1-1155	YDR321W
OG0002582	-processed-gene-13.48-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.48&CDS=1-321	YMR244C-A
OG0002583	-processed-gene-13.68-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.68&CDS=1-4335	YDR407C
OG0002584	-processed-gene-13.50-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.50&CDS=1-819	YOR157C
OG0002585	-processed-gene-13.51-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.51&CDS=1-1041	YDR214W
OG0002586	-processed-gene-13.52-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.52&CDS=1-1143	YDL168W
OG0002587	-processed-gene-13.53-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.53&CDS=1-1095	YOR136W
OG0002588	-processed-gene-13.69-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.69&CDS=1-672	YDR408C
OG0002589	-snap-gene-13.43-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-snap-gene-13.43&CDS=1-2277	YOR022C
OG0002590	-processed-gene-13.71-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.71&CDS=1-2106	YIL067C
OG0002591	-processed-gene-13.73-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.73&CDS=1-1602	YDR473C
OG0002592	-processed-gene-13.96-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.96&CDS=1-10047	YDR457W
OG0002593	-processed-gene-13.32-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.32&CDS=1-1941	YBR096W
OG0002594	-processed-gene-13.59-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.59&CDS=1-528	YLR370C
OG0002595	-processed-gene-13.60-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.60&CDS=1-753	YDR410C
OG0002596	-processed-gene-13.61-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.61&CDS=1-918	YMR241W
OG0002597	-processed-gene-13.79-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.79&CDS=1-1323	YOR307C
OG0002598	-processed-gene-13.62-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.62&CDS=1-1992	YDR456W
OG0002599	-processed-gene-13.80-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.80&CDS=1-1968	YML031W
OG0002600	-augustus-gene-13.2-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-13.2&CDS=1-2745	YDR386W
OG0002601	-processed-gene-13.101-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.101&CDS=1-270	YOR159C
OG0002602	-snap-gene-13.42-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-snap-gene-13.42&CDS=1-2811	YPR066W
OG0002603	-processed-gene-13.83-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.83&CDS=1-1308	YGR110W
OG0002604	-processed-gene-13.66-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.66&CDS=1-1599	YBR288C
OG0002605	-processed-gene-14.119-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.119&CDS=1-2352	YKL134C
OG0002606	-processed-gene-14.144-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.144&CDS=1-486	YBL107C
OG0002607	-augustus-gene-14.102-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-14.102&CDS=1-2661	YKR035W-A
OG0002608	-processed-gene-14.145-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.145&CDS=1-1557	YOR132W
OG0002609	-augustus-gene-14.106-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-14.106&CDS=1-2061	YDR470C
OG0002610	-processed-gene-14.123-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.123&CDS=1-693	YDR468C
OG0002611	-processed-gene-14.124-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.124&CDS=1-981	YDR392W
OG0002612	-processed-gene-14.28-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.28&CDS=1-2982	YOR144C
OG0002613	-processed-gene-14.125-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.125&CDS=1-876	YOR148C
OG0002614	-processed-gene-14.126-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.126&CDS=1-771	YOR145C
OG0002615	-processed-gene-14.150-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.150&CDS=1-621	YHR013C
OG0002616	-processed-gene-14.151-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.151&CDS=1-741	YDR472W
OG0002617	-processed-gene-14.128-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.128&CDS=1-1326	YOR023C
OG0002618	-processed-gene-14.33-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.33&CDS=1-1638	YHR109W
OG0002619	-processed-gene-14.130-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.130&CDS=1-840	YLR192C
OG0002620	-processed-gene-14.87-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.87&CDS=1-8577	YKL215C
OG0002621	-processed-gene-14.157-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.157&CDS=1-1122	YOR006C
OG0002622	-processed-gene-14.158-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.158&CDS=1-1275	YJL026W
OG0002623	-processed-gene-14.132-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.132&CDS=1-2820	YOR005C
OG0002624	-augustus-gene-14.105-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-14.105&CDS=1-2451	YDR394W
OG0002625	-processed-gene-14.160-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.160&CDS=1-1599	YOR149C
OG0002626	-processed-gene-14.161-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.161&CDS=1-2010	YDR398W
OG0002627	-processed-gene-14.138-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.138&CDS=1-456	YDR397C
OG0002628	-processed-gene-14.93-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.93&CDS=1-273	YER074W-A
OG0002629	-processed-gene-14.139-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.139&CDS=1-954	YMR055C
OG0002630	-processed-gene-14.140-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.140&CDS=1-618	YDR399W
OG0002631	-processed-gene-14.163-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.163&CDS=1-1062	YGR048W
OG0002632	-processed-gene-14.141-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.141&CDS=1-864	YCL031C
OG0002633	-processed-gene-14.142-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.142&CDS=1-852	YMR289W
OG0002634	-processed-gene-14.165-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.165&CDS=1-927	YGR208W
OG0002635	-processed-gene-14.76-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.76&CDS=1-582	YER071C
OG0002636	-processed-gene-14.100-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.100&CDS=1-1398	YJL025W
OG0002637	-processed-gene-15.7-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.7&CDS=1-966	YKL095W
OG0002638	-processed-gene-15.8-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.8&CDS=1-2517	YIL068C
OG0002639	-processed-gene-15.98-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.98&CDS=1-3933	YGR178C
OG0002640	-processed-gene-15.30-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.30&CDS=1-345	YER072W
OG0002641	-processed-gene-15.31-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.31&CDS=1-4233	YOR291W
OG0002642	-processed-gene-15.11-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.11&CDS=1-1644	YMR227C
OG0002643	-augustus-gene-15.89-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-15.89&CDS=1-2550	YKL033W-A
OG0002644	-processed-gene-15.104-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.104&CDS=1-5115	YMR229C
OG0002645	-processed-gene-15.32-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.32&CDS=1-1188	YMR243C
OG0002646	-processed-gene-15.34-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.34&CDS=1-1455	YKL175W
OG0002647	-processed-gene-15.35-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.35&CDS=1-1320	YKL077W
OG0002648	-processed-gene-15.36-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.36&CDS=1-1065	YMR060C
OG0002649	-processed-gene-15.20-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.20&CDS=1-2235	YMR061W
OG0002650	-processed-gene-15.37-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.37&CDS=1-1092	YMR228W
OG0002651	-snap-gene-15.2-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-snap-gene-15.2&CDS=1-1197	YGR058W
OG0002652	-processed-gene-15.42-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.42&CDS=1-6579	YFL007W
OG0002653	-processed-gene-15.26-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.26&CDS=1-1830	YER036C
OG0002654	-processed-gene-15.27-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.27&CDS=1-1242	YDL033C
OG0002655	-processed-gene-15.43-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.43&CDS=1-1668	YHL027W
OG0002656	-processed-gene-15.44-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.44&CDS=1-1431	YHL028W
OG0002657	-augustus-gene-15.93-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-15.93&CDS=1-5511	YPL006W
OG0002658	-processed-gene-15.72-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.72&CDS=1-1059	YHR144C
OG0002659	-processed-gene-15.47-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.47&CDS=1-699	YNL168C
OG0002660	-processed-gene-16.8-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.8&CDS=1-1740	YFR037C
OG0002661	-processed-gene-16.7-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.7&CDS=1-3636	YIL026C
OG0002662	-processed-gene-16.125-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.125&CDS=1-1584	YDR429C
OG0002663	-processed-gene-16.53-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.53&CDS=1-855	YDR432W
OG0002664	-processed-gene-16.56-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.56&CDS=1-2679	YMR165C
OG0002665	-processed-gene-16.171-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.171&CDS=1-3549	YFR002W
OG0002666	-processed-gene-16.217-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.217&CDS=1-2514	YPL008W
OG0002667	-processed-gene-16.15-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.15&CDS=1-1215	YDR427W
OG0002668	-augustus-gene-16.164-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-16.164&CDS=1-2988	YOL058W
OG0002669	-processed-gene-16.17-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.17&CDS=1-840	YNL056W
OG0002670	-processed-gene-16.223-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.223&CDS=1-786	YPR143W
OG0002671	-processed-gene-16.18-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.18&CDS=1-2214	YPR141C
OG0002672	-processed-gene-16.68-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.68&CDS=1-1224	YPR140W
OG0002673	-processed-gene-16.20-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.20&CDS=1-1821	YGR103W
OG0002674	-processed-gene-16.70-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.70&CDS=1-1131	YGR105W
OG0002675	-processed-gene-16.71-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.71&CDS=1-1329	YNL280C
OG0002676	-processed-gene-16.24-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.24&CDS=1-1167	YOR063W
OG0002677	-processed-gene-16.72-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.72&CDS=1-1503	YMR093W
