	Candida_tanzawaensis	Saccharomyces_cerevisiae
OG0002953	augustus_masked-scaffold_6-processed-gene-11.156-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.156&CDS=1-1947	YKL088W
OG0002954	augustus_masked-scaffold_6-processed-gene-11.183-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.183&CDS=1-1638	YDR120C
OG0002955	augustus_masked-scaffold_6-processed-gene-11.158-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.158&CDS=1-300	YLR099W-A
OG0002956	augustus_masked-scaffold_6-processed-gene-11.159-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.159&CDS=1-1089	YDR126W
OG0002957	augustus_masked-scaffold_6-processed-gene-11.160-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.160&CDS=1-2925	YIR023W
OG0002958	augustus_masked-scaffold_6-processed-gene-11.186-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.186&CDS=1-513	YKL013C
OG0002959	augustus_masked-scaffold_6-processed-gene-11.187-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.187&CDS=1-1911	YKL012W
OG0002960	augustus_masked-scaffold_6-processed-gene-11.161-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.161&CDS=1-1020	YBL018C
OG0002961	augustus_masked-scaffold_6-processed-gene-11.188-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.188&CDS=1-4056	YLR084C
OG0002962	augustus_masked-scaffold_6-processed-gene-11.163-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.163&CDS=1-2172	YDR108W
OG0002963	augustus_masked-scaffold_6-processed-gene-11.190-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.190&CDS=1-2661	YPR019W
OG0002964	augustus_masked-scaffold_6-processed-gene-11.165-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.165&CDS=1-558	YMR295C
OG0002965	augustus_masked-scaffold_6-processed-gene-11.192-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.192&CDS=1-3078	YGL207W
OG0002966	augustus_masked-scaffold_6-processed-gene-11.166-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.166&CDS=1-1515	YKL045W
OG0002967	augustus_masked-scaffold_6-processed-gene-11.168-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.168&CDS=1-744	YJR060W
OG0002968	augustus_masked-scaffold_6-processed-gene-11.170-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.170&CDS=1-4380	YNL088W
OG0002969	augustus_masked-scaffold_7-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.50&CDS=1-2166	YKR095W-A
OG0002970	augustus_masked-scaffold_7-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.51&CDS=1-933	YLR165C
OG0002971	augustus_masked-scaffold_7-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.37&CDS=1-1239	YIL160C
OG0002972	augustus_masked-scaffold_7-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.39&CDS=1-1617	YHR030C
OG0002973	augustus_masked-scaffold_7-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.40&CDS=1-2547	YFL024C
OG0002974	augustus_masked-scaffold_7-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.41&CDS=1-678	YMR090W
OG0002975	augustus_masked-scaffold_7-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.43&CDS=1-4605	YMR247C
OG0002976	augustus_masked-scaffold_7-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.56&CDS=1-1200	YIL153W
OG0002977	augustus_masked-scaffold_7-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.57&CDS=1-2430	YER041W
OG0002978	augustus_masked-scaffold_7-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.45&CDS=1-1659	YKR097W
OG0002979	augustus_masked-scaffold_7-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.47&CDS=1-5661	YJL039C
OG0002980	augustus_masked-scaffold_7-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.48&CDS=1-513	YDR377W
OG0002981	genemark-scaffold_7-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.41&CDS=1-1368	YLL002W
OG0002982	augustus_masked-scaffold_7-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.95&CDS=1-855	YGR161C
OG0002983	augustus_masked-scaffold_7-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.96&CDS=1-942	YLR308W
OG0002984	augustus_masked-scaffold_7-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.115&CDS=1-1218	YKR048C
OG0002985	augustus_masked-scaffold_7-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.97&CDS=1-1170	YLR328W
OG0002986	augustus_masked-scaffold_7-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.118&CDS=1-2319	YGL009C
OG0002987	augustus_masked-scaffold_7-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.99&CDS=1-1728	YGR002C
OG0002988	augustus_masked-scaffold_7-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.100&CDS=1-1458	YOL137W
OG0002989	augustus_masked-scaffold_7-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.120&CDS=1-252	YGL220W
OG0002990	augustus_masked-scaffold_7-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.121&CDS=1-4098	YDL240W
OG0002991	augustus_masked-scaffold_7-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.101&CDS=1-252	YCL057C-A
OG0002992	augustus_masked-scaffold_7-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.122&CDS=1-1128	YKR038C
OG0002993	augustus_masked-scaffold_7-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.103&CDS=1-789	YKR037C
OG0002994	augustus_masked-scaffold_7-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.123&CDS=1-318	YGL030W
OG0002995	augustus_masked-scaffold_7-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.125&CDS=1-1125	YMR272C
OG0002996	genemark-scaffold_7-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.76&CDS=1-807	YMR274C
OG0002997	augustus_masked-scaffold_7-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.106&CDS=1-2046	YDR234W
OG0002998	augustus_masked-scaffold_7-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.108&CDS=1-1185	YGR286C
OG0002999	augustus_masked-scaffold_7-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.128&CDS=1-1434	YDR229W
OG0003000	augustus_masked-scaffold_7-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.129&CDS=1-1512	YMR239C
OG0003001	augustus_masked-scaffold_7-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.109&CDS=1-753	YDL202W
OG0003002	augustus_masked-scaffold_7-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.110&CDS=1-897	YDL201W
OG0003003	maker-scaffold_7-augustus-gene-1.40-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-1.40&CDS=1-876	YDR233C
OG0003004	snap_masked-scaffold_7-processed-gene-1.37-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.37&CDS=1-3072	YMR231W
OG0003005	augustus_masked-scaffold_7-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.111&CDS=1-2175	YFL013C
OG0003006	augustus_masked-scaffold_7-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.112&CDS=1-222	YFL017W-A
OG0003007	augustus_masked-scaffold_7-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.132&CDS=1-447	YFL017C
OG0003008	augustus_masked-scaffold_7-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.113&CDS=1-1095	YMR152W
OG0003009	augustus_masked-scaffold_7-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.1&CDS=1-2619	YKL171W
OG0003010	augustus_masked-scaffold_7-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.5&CDS=1-1905	YLR143W
OG0003011	snap_masked-scaffold_7-processed-gene-2.117-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.117&CDS=1-1287	YJR062C
OG0003012	augustus_masked-scaffold_7-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.7&CDS=1-408	YGL191W
OG0003013	augustus_masked-scaffold_7-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.26&CDS=1-1506	YGL190C
OG0003014	augustus_masked-scaffold_7-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.8&CDS=1-465	YGL187C
OG0003015	augustus_masked-scaffold_7-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.10&CDS=1-3699	YBL007C
OG0003016	augustus_masked-scaffold_7-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.11&CDS=1-1236	YGL192W
OG0003017	augustus_masked-scaffold_7-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.28&CDS=1-546	YGL010W
OG0003018	genemark-scaffold_7-processed-gene-2.79-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.79&CDS=1-2214	YGL022W
OG0003019	genemark-scaffold_7-processed-gene-2.80-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.80&CDS=1-2322	YGL023C
OG0003020	augustus_masked-scaffold_7-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.14&CDS=1-696	YMR117C
OG0003021	augustus_masked-scaffold_7-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.32&CDS=1-351	YKL138C
OG0003022	augustus_masked-scaffold_7-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.15&CDS=1-3111	YGR014W
OG0003023	augustus_masked-scaffold_7-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.35&CDS=1-1656	YGR013W
OG0003024	augustus_masked-scaffold_7-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.16&CDS=1-2025	YML046W
OG0003025	augustus_masked-scaffold_7-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.36&CDS=1-1851	YJR052W
OG0003026	augustus_masked-scaffold_7-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.17&CDS=1-1032	YEL037C
OG0003027	augustus_masked-scaffold_7-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.37&CDS=1-720	YEL038W
OG0003028	augustus_masked-scaffold_7-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.39&CDS=1-2751, augustus_masked-scaffold_7-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.40&CDS=1-2811	
OG0003029	augustus_masked-scaffold_7-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.20&CDS=1-1188	YGR012W
OG0003030	genemark-scaffold_7-processed-gene-2.92-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.92&CDS=1-1506	YPL112C
OG0003031	genemark-scaffold_7-processed-gene-2.93-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.93&CDS=1-1365	YDR531W
OG0003032	augustus_masked-scaffold_7-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.76&CDS=1-2826	YIL137C
OG0003033	genemark-scaffold_7-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.42&CDS=1-2088	YMR301C
OG0003034	genemark-scaffold_7-processed-gene-3.43-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.43&CDS=1-1143	YFL030W
OG0003035	snap_masked-scaffold_7-processed-gene-3.6-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.6&CDS=1-249	YLR038C
OG0003036	augustus_masked-scaffold_7-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.93&CDS=1-657	YMR132C
OG0003037	augustus_masked-scaffold_7-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.81&CDS=1-8835	YCR093W
OG0003038	maker-scaffold_7-augustus-gene-3.75-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.75&CDS=1-1593	YNR053C
OG0003039	augustus_masked-scaffold_7-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.84&CDS=1-2832	YPR097W
OG0003040	augustus_masked-scaffold_7-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.86&CDS=1-1722	YLR023C
OG0003041	augustus_masked-scaffold_7-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.95&CDS=1-1410	YLR058C
OG0003042	augustus_masked-scaffold_7-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.97&CDS=1-1818	YBR280C
OG0003043	augustus_masked-scaffold_7-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.89&CDS=1-1326	YOL001W
OG0003044	genemark-scaffold_7-processed-gene-3.55-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.55&CDS=1-915	YMR178W
OG0003045	augustus_masked-scaffold_7-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.100&CDS=1-3987	YOR335C
OG0003046	genemark-scaffold_7-processed-gene-3.56-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.56&CDS=1-1107	YDR202C
OG0003047	genemark-scaffold_7-processed-gene-3.57-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.57&CDS=1-3186	YLR389C
OG0003048	augustus_masked-scaffold_7-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.92&CDS=1-1842	YGL095C
OG0003049	augustus_masked-scaffold_7-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.102&CDS=1-1830	YLR380W
OG0003050	snap_masked-scaffold_7-processed-gene-3.35-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.35&CDS=1-4704	YOR093C
OG0003051	augustus_masked-scaffold_7-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.9&CDS=1-2313	YGR150C
OG0003052	genemark-scaffold_7-processed-gene-4.107-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.107&CDS=1-5025	YLR382C
OG0003053	genemark-scaffold_7-processed-gene-4.108-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.108&CDS=1-1155	YGL213C
OG0003054	augustus_masked-scaffold_7-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.15&CDS=1-1047	YNL286W
OG0003055	augustus_masked-scaffold_7-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.11&CDS=1-1014	YGL115W
OG0003056	augustus_masked-scaffold_7-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.12&CDS=1-2070	YGL114W
OG0003057	augustus_masked-scaffold_7-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.16&CDS=1-1554	YBR233W
OG0003058	genemark-scaffold_7-processed-gene-4.111-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.111&CDS=1-999	YBR231C
OG0003059	augustus_masked-scaffold_7-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.13&CDS=1-2061	YOL057W
OG0003060	genemark-scaffold_7-processed-gene-4.131-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.131&CDS=1-3384	YEL055C
OG0003061	augustus_masked-scaffold_7-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.36&CDS=1-1050	YJR105W
OG0003062	augustus_masked-scaffold_7-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.19&CDS=1-819	YJR116W
OG0003063	augustus_masked-scaffold_7-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.20&CDS=1-624	YFL038C
OG0003064	augustus_masked-scaffold_7-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.21&CDS=1-3210	YER021W
OG0003065	augustus_masked-scaffold_7-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.37&CDS=1-498	YJR118C
OG0003066	augustus_masked-scaffold_7-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.38&CDS=1-558	YMR150C
OG0003067	augustus_masked-scaffold_7-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.23&CDS=1-3540	YKL033W
OG0003068	genemark-scaffold_7-processed-gene-4.136-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.136&CDS=1-744	YBR278W
OG0003069	augustus_masked-scaffold_7-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.41&CDS=1-489	YBR282W
OG0003070	augustus_masked-scaffold_7-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.26&CDS=1-1266	YDR517W
OG0003071	maker-scaffold_7-augustus-gene-4.156-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.156&CDS=1-3519	YCR023C
OG0003072	augustus_masked-scaffold_7-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.42&CDS=1-2517	YJL094C
OG0003073	snap_masked-scaffold_7-processed-gene-4.76-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.76&CDS=1-1023	YCR019W
OG0003074	augustus_masked-scaffold_7-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.31&CDS=1-906	YGL043W
OG0003075	augustus_masked-scaffold_7-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.45&CDS=1-1482	YGR155W
OG0003076	augustus_masked-scaffold_7-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.46&CDS=1-2295	YFR029W
OG0003077	augustus_masked-scaffold_7-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.32&CDS=1-1527	YGR093W
OG0003078	augustus_masked-scaffold_7-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.34&CDS=1-5346	YJR138W
OG0003079	augustus_masked-scaffold_7-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.93&CDS=1-507	YGR082W
OG0003080	augustus_masked-scaffold_7-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.94&CDS=1-768	YJR144W
OG0003081	genemark-scaffold_7-processed-gene-5.4-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.4&CDS=1-1491	YFL022C
OG0003082	augustus_masked-scaffold_7-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.119&CDS=1-687	YLR078C
OG0003083	augustus_masked-scaffold_7-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.120&CDS=1-609	YFL046W
OG0003084	augustus_masked-scaffold_7-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.96&CDS=1-2037	YLR077W
OG0003085	augustus_masked-scaffold_7-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.121&CDS=1-753	YFL045C
OG0003086	augustus_masked-scaffold_7-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.122&CDS=1-660	YLR075W
OG0003087	augustus_masked-scaffold_7-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.97&CDS=1-468	YLR074C
OG0003088	augustus_masked-scaffold_7-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.98&CDS=1-939	YFL044C
OG0003089	augustus_masked-scaffold_7-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.99&CDS=1-1854	YGR054W
OG0003090	augustus_masked-scaffold_7-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.100&CDS=1-5664	YGR032W
OG0003091	augustus_masked-scaffold_7-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.101&CDS=1-1005	YOL107W
OG0003092	augustus_masked-scaffold_7-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.102&CDS=1-1290	YJL183W
OG0003093	augustus_masked-scaffold_7-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.123&CDS=1-2007	YMR137C
OG0003094	augustus_masked-scaffold_7-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.103&CDS=1-546	YMR138W
OG0003095	augustus_masked-scaffold_7-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.124&CDS=1-795	YGR033C
OG0003096	augustus_masked-scaffold_7-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.106&CDS=1-1623	YLR345W
OG0003097	augustus_masked-scaffold_7-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.107&CDS=1-318	YJL184W
OG0003098	augustus_masked-scaffold_7-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.126&CDS=1-357	YJL179W
OG0003099	augustus_masked-scaffold_7-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.108&CDS=1-1077	YJL180C
OG0003100	augustus_masked-scaffold_7-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.127&CDS=1-4935	YML103C
OG0003101	augustus_masked-scaffold_7-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.111&CDS=1-1296	YMR208W
OG0003102	augustus_masked-scaffold_7-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.128&CDS=1-984	YOR271C
OG0003103	augustus_masked-scaffold_7-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.129&CDS=1-1587	YMR217W
OG0003104	augustus_masked-scaffold_7-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.113&CDS=1-1389	YOR272W
OG0003105	augustus_masked-scaffold_7-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.130&CDS=1-1275	YMR209C
OG0003106	augustus_masked-scaffold_7-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.114&CDS=1-906	YKL019W
OG0003107	maker-scaffold_7-augustus-gene-5.2-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-5.2&CDS=1-1494	YOR274W
OG0003108	maker-scaffold_7-augustus-gene-6.83-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-6.83&CDS=1-4290	YOR275C
OG0003109	augustus_masked-scaffold_7-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.0&CDS=1-2796	YMR212C
OG0003110	augustus_masked-scaffold_7-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.3&CDS=1-525	YOR276W
OG0003111	augustus_masked-scaffold_7-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.1&CDS=1-543	YOR252W
OG0003112	snap_masked-scaffold_7-processed-gene-6.93-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.93&CDS=1-2580	YER069W
OG0003113	augustus_masked-scaffold_7-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.7&CDS=1-1374	YCR095C
OG0003114	augustus_masked-scaffold_7-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.19&CDS=1-711	YNR049C
OG0003115	augustus_masked-scaffold_7-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.8&CDS=1-1932	YDR194C
OG0003116	genemark-scaffold_7-processed-gene-6.64-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.64&CDS=1-1611	YOR154W
OG0003117	augustus_masked-scaffold_7-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.22&CDS=1-1785	YCR061W
OG0003118	maker-scaffold_7-snap-gene-6.38-mRNA-1_1&gene=maker-scaffold_7-snap-gene-6.38&CDS=1-2859	YNL161W
OG0003119	augustus_masked-scaffold_7-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.26&CDS=1-2049	YOR322C
OG0003120	augustus_masked-scaffold_7-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.10&CDS=1-1227	YLR085C
OG0003121	augustus_masked-scaffold_7-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.27&CDS=1-921	YMR281W
OG0003122	augustus_masked-scaffold_7-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.12&CDS=1-1593	YDR061W
OG0003123	augustus_masked-scaffold_7-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.13&CDS=1-2232	YDR062W
OG0003124	augustus_masked-scaffold_7-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.29&CDS=1-1500	YBR056W
OG0003125	genemark-scaffold_7-processed-gene-6.58-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.58&CDS=1-3312	YDR291W
OG0003126	genemark-scaffold_7-processed-gene-6.74-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.74&CDS=1-957	YJR008W
