	Arxula_adeninivorans	Saccharomyces_cerevisiae
OG0002654	augustus_masked-Arad1D-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-11.101&CDS=1-2262	YJR143C
OG0002655	augustus_masked-Arad1D-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-11.83&CDS=1-873	YJR144W
OG0002656	augustus_masked-Arad1D-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-11.85&CDS=1-723	YMR048W
OG0002657	maker-Arad1D-augustus-gene-12.121-mRNA-1_1&gene=maker-Arad1D-augustus-gene-12.121&CDS=1-1788	YOR155C
OG0002658	augustus_masked-Arad1D-processed-gene-12.66-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.66&CDS=1-1980	YHR202W
OG0002659	genemark-Arad1D-processed-gene-12.127-mRNA-1_1&gene=genemark-Arad1D-processed-gene-12.127&CDS=1-2181	YHR204W
OG0002660	genemark-Arad1D-processed-gene-12.154-mRNA-1_1&gene=genemark-Arad1D-processed-gene-12.154&CDS=1-597	YFL038C
OG0002661	augustus_masked-Arad1D-processed-gene-12.94-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.94&CDS=1-1944	YER103W
OG0002662	augustus_masked-Arad1D-processed-gene-12.97-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.97&CDS=1-1797	YGR186W
OG0002663	augustus_masked-Arad1D-processed-gene-12.99-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.99&CDS=1-729	YGR195W
OG0002664	augustus_masked-Arad1D-processed-gene-12.75-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.75&CDS=1-549	YJR014W
OG0002665	augustus_masked-Arad1D-processed-gene-12.100-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.100&CDS=1-960	YOR130C
OG0002666	augustus_masked-Arad1D-processed-gene-12.103-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.103&CDS=1-990	YIL153W
OG0002667	maker-Arad1D-augustus-gene-12.119-mRNA-1_1&gene=maker-Arad1D-augustus-gene-12.119&CDS=1-4995	YJL039C
OG0002668	augustus_masked-Arad1D-processed-gene-12.104-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.104&CDS=1-1797	YJL041W
OG0002669	augustus_masked-Arad1D-processed-gene-12.78-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.78&CDS=1-756	YKL152C
OG0002670	augustus_masked-Arad1D-processed-gene-12.106-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.106&CDS=1-1131	YMR214W
OG0002671	augustus_masked-Arad1D-processed-gene-12.79-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.79&CDS=1-1542	YMR211W
OG0002672	genemark-Arad1D-processed-gene-12.143-mRNA-1_1&gene=genemark-Arad1D-processed-gene-12.143&CDS=1-417	YER044C
OG0002673	snap_masked-Arad1D-processed-gene-12.18-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-12.18&CDS=1-1761	YMR221C
OG0002674	augustus_masked-Arad1D-processed-gene-12.110-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.110&CDS=1-1419	YCR054C
OG0002675	snap_masked-Arad1D-processed-gene-12.19-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-12.19&CDS=1-597	YLR281C
OG0002676	augustus_masked-Arad1D-processed-gene-12.84-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.84&CDS=1-1767	YJL093C
OG0002677	augustus_masked-Arad1D-processed-gene-12.111-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.111&CDS=1-1056	YJR149W
OG0002678	augustus_masked-Arad1D-processed-gene-12.88-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.88&CDS=1-1347	YML126C
OG0002679	augustus_masked-Arad1D-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-12.115&CDS=1-1545	YML127W
OG0002680	maker-Arad1D-augustus-gene-12.124-mRNA-1_1&gene=maker-Arad1D-augustus-gene-12.124&CDS=1-750	YML092C
OG0002681	maker-Arad1D-augustus-gene-12.125-mRNA-1_1&gene=maker-Arad1D-augustus-gene-12.125&CDS=1-204	YML129C
OG0002682	augustus_masked-Arad1D-processed-gene-13.48-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.48&CDS=1-1398	YLR097C
OG0002683	maker-Arad1D-augustus-gene-13.145-mRNA-1_1&gene=maker-Arad1D-augustus-gene-13.145&CDS=1-1755	YMR278W
OG0002684	augustus_masked-Arad1D-processed-gene-13.51-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.51&CDS=1-2250	YMR277W
OG0002685	augustus_masked-Arad1D-processed-gene-13.67-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.67&CDS=1-1704	YML114C
OG0002686	maker-Arad1D-augustus-gene-13.146-mRNA-1_1&gene=maker-Arad1D-augustus-gene-13.146&CDS=1-1155	YMR276W
OG0002687	augustus_masked-Arad1D-processed-gene-13.70-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.70&CDS=1-3363	YER110C
OG0002688	augustus_masked-Arad1D-processed-gene-13.72-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.72&CDS=1-1155	YDR502C
OG0002689	augustus_masked-Arad1D-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.73&CDS=1-3681	YJL020C
OG0002690	augustus_masked-Arad1D-processed-gene-13.74-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.74&CDS=1-4977	YDR283C
OG0002691	maker-Arad1D-augustus-gene-13.147-mRNA-1_1&gene=maker-Arad1D-augustus-gene-13.147&CDS=1-270	YDR286C
OG0002692	maker-Arad1D-augustus-gene-13.148-mRNA-1_1&gene=maker-Arad1D-augustus-gene-13.148&CDS=1-2025	YMR224C
OG0002693	augustus_masked-Arad1D-processed-gene-13.54-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.54&CDS=1-837	YDR284C
OG0002694	maker-Arad1D-augustus-gene-13.142-mRNA-1_1&gene=maker-Arad1D-augustus-gene-13.142&CDS=1-681	YNL024C
OG0002695	snap_masked-Arad1D-processed-gene-13.99-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-13.99&CDS=1-7635	YBL088C
OG0002696	augustus_masked-Arad1D-processed-gene-13.76-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.76&CDS=1-783	YIL093C
OG0002697	maker-Arad1D-snap-gene-13.134-mRNA-1_1&gene=maker-Arad1D-snap-gene-13.134&CDS=1-210	YNL024C-A
OG0002698	augustus_masked-Arad1D-processed-gene-13.77-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.77&CDS=1-2091	YIL091C
OG0002699	augustus_masked-Arad1D-processed-gene-13.59-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.59&CDS=1-1416	YIL090W
OG0002700	augustus_masked-Arad1D-processed-gene-13.79-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.79&CDS=1-1200	YML038C
OG0002701	augustus_masked-Arad1D-processed-gene-13.81-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.81&CDS=1-279	YBL028C
OG0002702	genemark-Arad1D-processed-gene-13.18-mRNA-1_1&gene=genemark-Arad1D-processed-gene-13.18&CDS=1-315	YAL046C
OG0002703	augustus_masked-Arad1D-processed-gene-13.83-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.83&CDS=1-2469	YBR083W
OG0002704	augustus_masked-Arad1D-processed-gene-13.64-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.64&CDS=1-1545	YOR301W
OG0002705	augustus_masked-Arad1D-processed-gene-13.85-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.85&CDS=1-2004	YHL016C
OG0002706	augustus_masked-Arad1D-processed-gene-13.86-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.86&CDS=1-1278	YLR438W
OG0002707	augustus_masked-Arad1D-processed-gene-13.87-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-13.87&CDS=1-3585	YJR041C
OG0002708	augustus_masked-Arad1D-processed-gene-14.56-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.56&CDS=1-1662	YJL069C
OG0002709	augustus_masked-Arad1D-processed-gene-14.57-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.57&CDS=1-1407	YPL094C
OG0002710	augustus_masked-Arad1D-processed-gene-14.58-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.58&CDS=1-1335	YPL103C
OG0002711	augustus_masked-Arad1D-processed-gene-14.60-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.60&CDS=1-606	YIL007C
OG0002712	augustus_masked-Arad1D-processed-gene-14.63-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.63&CDS=1-822	YBR176W
OG0002713	augustus_masked-Arad1D-processed-gene-14.61-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.61&CDS=1-1353	YMR210W
OG0002714	augustus_masked-Arad1D-processed-gene-14.66-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.66&CDS=1-1269	YIL063C
OG0002715	augustus_masked-Arad1D-processed-gene-14.87-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.87&CDS=1-681	YIL064W
OG0002716	maker-Arad1D-augustus-gene-14.106-mRNA-1_1&gene=maker-Arad1D-augustus-gene-14.106&CDS=1-993	YIL061C
OG0002717	augustus_masked-Arad1D-processed-gene-14.68-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.68&CDS=1-417	YPR100W
OG0002718	augustus_masked-Arad1D-processed-gene-14.70-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.70&CDS=1-1101	YNL175C
OG0002719	augustus_masked-Arad1D-processed-gene-14.93-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.93&CDS=1-3315	YEL043W
OG0002720	augustus_masked-Arad1D-processed-gene-14.72-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.72&CDS=1-882	YNL202W
OG0002721	augustus_masked-Arad1D-processed-gene-14.95-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.95&CDS=1-744	YEL001C
OG0002722	augustus_masked-Arad1D-processed-gene-14.76-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.76&CDS=1-279	YIL008W
OG0002723	augustus_masked-Arad1D-processed-gene-14.96-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.96&CDS=1-732	YIL010W
OG0002724	augustus_masked-Arad1D-processed-gene-14.77-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.77&CDS=1-954	YOL093W
OG0002725	augustus_masked-Arad1D-processed-gene-14.79-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.79&CDS=1-1008	YOL094C
OG0002726	augustus_masked-Arad1D-processed-gene-14.97-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.97&CDS=1-750	YMR274C
OG0002727	genemark-Arad1D-processed-gene-14.132-mRNA-1_1&gene=genemark-Arad1D-processed-gene-14.132&CDS=1-1944	YDR484W
OG0002728	maker-Arad1D-augustus-gene-14.107-mRNA-1_1&gene=maker-Arad1D-augustus-gene-14.107&CDS=1-1419	YHR113W
OG0002729	augustus_masked-Arad1D-processed-gene-14.99-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.99&CDS=1-801	YIL070C
OG0002730	augustus_masked-Arad1D-processed-gene-14.100-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.100&CDS=1-1356	YLR210W
OG0002731	augustus_masked-Arad1D-processed-gene-14.81-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.81&CDS=1-507	YBL043W
OG0002732	augustus_masked-Arad1D-processed-gene-14.101-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.101&CDS=1-570	YCL001W
OG0002733	augustus_masked-Arad1D-processed-gene-14.82-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.82&CDS=1-1725	YBL039C
OG0002734	augustus_masked-Arad1D-processed-gene-14.83-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.83&CDS=1-7533	YBL004W
OG0002735	augustus_masked-Arad1D-processed-gene-14.102-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.102&CDS=1-465	YJR104C
OG0002736	augustus_masked-Arad1D-processed-gene-15.20-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.20&CDS=1-585	YGR029W
OG0002737	maker-Arad1D-snap-gene-15.59-mRNA-1_1&gene=maker-Arad1D-snap-gene-15.59&CDS=1-1518	YLR337C
OG0002738	augustus_masked-Arad1D-processed-gene-15.42-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.42&CDS=1-1602	YER080W
OG0002739	augustus_masked-Arad1D-processed-gene-15.43-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.43&CDS=1-1131	YMR203W
OG0002740	augustus_masked-Arad1D-processed-gene-15.47-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.47&CDS=1-1269	YDL131W
OG0002741	augustus_masked-Arad1D-processed-gene-15.22-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.22&CDS=1-5790	YPL082C
OG0002742	augustus_masked-Arad1D-processed-gene-15.48-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.48&CDS=1-1353	YOR250C
OG0002743	augustus_masked-Arad1D-processed-gene-15.50-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.50&CDS=1-1449	YBR187W
OG0002744	augustus_masked-Arad1D-processed-gene-15.26-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.26&CDS=1-1182	YPL165C
OG0002745	augustus_masked-Arad1D-processed-gene-15.51-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.51&CDS=1-693	YPL166W
OG0002746	augustus_masked-Arad1D-processed-gene-15.27-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.27&CDS=1-4284	YPL167C
OG0002747	augustus_masked-Arad1D-processed-gene-15.52-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.52&CDS=1-1674	YPL164C
OG0002748	augustus_masked-Arad1D-processed-gene-15.30-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.30&CDS=1-1098	YBR192W
OG0002749	augustus_masked-Arad1D-processed-gene-15.53-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.53&CDS=1-1830	YOR249C
OG0002750	genemark-Arad1D-processed-gene-15.141-mRNA-1_1&gene=genemark-Arad1D-processed-gene-15.141&CDS=1-459	YOR357C
OG0002751	genemark-Arad1D-processed-gene-15.164-mRNA-1_1&gene=genemark-Arad1D-processed-gene-15.164&CDS=1-1149	YBL019W
OG0002752	augustus_masked-Arad1D-processed-gene-15.54-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.54&CDS=1-3147	YNL243W
OG0002753	augustus_masked-Arad1D-processed-gene-15.32-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.32&CDS=1-330	YNL244C
OG0002754	augustus_masked-Arad1D-processed-gene-15.55-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-15.55&CDS=1-2820	YPR091C
OG0002755	augustus_masked-Arad1D-processed-gene-16.2-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.2&CDS=1-1845	YHL010C
OG0002756	augustus_masked-Arad1D-processed-gene-16.3-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.3&CDS=1-960	YHL011C
OG0002757	augustus_masked-Arad1D-processed-gene-16.5-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.5&CDS=1-720	YKL033W-A
OG0002758	augustus_masked-Arad1D-processed-gene-16.24-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.24&CDS=1-1344	YML085C
OG0002759	augustus_masked-Arad1D-processed-gene-16.9-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.9&CDS=1-1608	YMR250W
OG0002760	augustus_masked-Arad1D-processed-gene-16.27-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.27&CDS=1-780	YHR071W
OG0002761	snap_masked-Arad1D-processed-gene-16.62-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-16.62&CDS=1-1101	YDR229W
OG0002762	augustus_masked-Arad1D-processed-gene-16.14-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.14&CDS=1-1545	YMR296C
OG0002763	augustus_masked-Arad1D-processed-gene-16.15-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.15&CDS=1-498	YDR231C
OG0002764	augustus_masked-Arad1D-processed-gene-16.32-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.32&CDS=1-1737	YDR232W
OG0002765	maker-Arad1D-augustus-gene-16.153-mRNA-1_1&gene=maker-Arad1D-augustus-gene-16.153&CDS=1-1305	YDL084W
OG0002766	augustus_masked-Arad1D-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.36&CDS=1-1695	YAL032C
OG0002767	augustus_masked-Arad1D-processed-gene-16.18-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.18&CDS=1-1011	YNR054C
OG0002768	augustus_masked-Arad1D-processed-gene-16.37-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.37&CDS=1-4452	YOR336W
OG0002769	snap_masked-Arad1D-processed-gene-16.91-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-16.91&CDS=1-2511	YMR287C
OG0002770	augustus_masked-Arad1D-processed-gene-16.41-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.41&CDS=1-675	YJL121C
OG0002771	augustus_masked-Arad1D-processed-gene-16.42-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.42&CDS=1-444	YNL185C
OG0002772	augustus_masked-Arad1D-processed-gene-16.21-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.21&CDS=1-1317	YJL054W
OG0002773	augustus_masked-Arad1D-processed-gene-16.43-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.43&CDS=1-1413	YNL186W
OG0002774	augustus_masked-Arad1D-processed-gene-16.44-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.44&CDS=1-2559	YCL054W
OG0002775	augustus_masked-Arad1D-processed-gene-16.22-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.22&CDS=1-3315	YJL050W
OG0002776	augustus_masked-Arad1D-processed-gene-16.45-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.45&CDS=1-1248	YNL181W
OG0002777	augustus_masked-Arad1D-processed-gene-16.23-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.23&CDS=1-1371	YNL182C
OG0002778	augustus_masked-Arad1D-processed-gene-17.69-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.69&CDS=1-420	YPR020W
OG0002779	augustus_masked-Arad1D-processed-gene-17.70-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.70&CDS=1-1713	YLR259C
OG0002780	augustus_masked-Arad1D-processed-gene-17.67-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.67&CDS=1-1479	YEL062W
OG0002781	augustus_masked-Arad1D-processed-gene-17.72-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.72&CDS=1-1362	YDR023W
OG0002782	maker-Arad1D-augustus-gene-17.0-mRNA-1_1&gene=maker-Arad1D-augustus-gene-17.0&CDS=1-624	YDR020C
OG0002783	augustus_masked-Arad1D-processed-gene-17.75-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.75&CDS=1-1455	YBR287W
OG0002784	augustus_masked-Arad1D-processed-gene-17.78-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.78&CDS=1-981	YBR046C
OG0002785	augustus_masked-Arad1D-processed-gene-17.80-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.80&CDS=1-1242	YDR030C
OG0002786	augustus_masked-Arad1D-processed-gene-17.86-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.86&CDS=1-4107	YLR114C
OG0002787	augustus_masked-Arad1D-processed-gene-17.107-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.107&CDS=1-1830	YDR137W
OG0002788	augustus_masked-Arad1D-processed-gene-17.110-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.110&CDS=1-435	YLR221C
OG0002789	augustus_masked-Arad1D-processed-gene-17.89-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.89&CDS=1-1395	YLR314C
OG0002790	augustus_masked-Arad1D-processed-gene-17.90-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.90&CDS=1-810	YLL023C
OG0002791	augustus_masked-Arad1D-processed-gene-17.92-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.92&CDS=1-1176	YNL072W
OG0002792	augustus_masked-Arad1D-processed-gene-17.93-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.93&CDS=1-1425	YNL071W
OG0002793	augustus_masked-Arad1D-processed-gene-17.112-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.112&CDS=1-849	YNL075W
OG0002794	augustus_masked-Arad1D-processed-gene-17.96-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.96&CDS=1-3009	YMR080C
OG0002795	augustus_masked-Arad1D-processed-gene-17.113-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.113&CDS=1-513	YDR404C
OG0002796	maker-Arad1D-augustus-gene-18.127-mRNA-1_1&gene=maker-Arad1D-augustus-gene-18.127&CDS=1-6606	YNL262W
OG0002797	maker-Arad1D-augustus-gene-18.130-mRNA-1_1&gene=maker-Arad1D-augustus-gene-18.130&CDS=1-948	YMR201C
OG0002798	augustus_masked-Arad1D-processed-gene-18.1-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.1&CDS=1-1401	YNL261W
OG0002799	augustus_masked-Arad1D-processed-gene-18.3-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.3&CDS=1-1761	YNR006W
OG0002800	augustus_masked-Arad1D-processed-gene-18.4-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.4&CDS=1-789	YNL265C
OG0002801	augustus_masked-Arad1D-processed-gene-18.25-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.25&CDS=1-1410	YGR046W
OG0002802	augustus_masked-Arad1D-processed-gene-18.7-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.7&CDS=1-4626	YDR135C
OG0002803	augustus_masked-Arad1D-processed-gene-18.29-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.29&CDS=1-1200	YLR113W
OG0002804	augustus_masked-Arad1D-processed-gene-18.9-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.9&CDS=1-774	YMR281W
OG0002805	snap_masked-Arad1D-processed-gene-18.48-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-18.48&CDS=1-1794	YJL090C
OG0002806	snap_masked-Arad1D-processed-gene-18.70-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-18.70&CDS=1-1335	YMR283C
OG0002807	augustus_masked-Arad1D-processed-gene-18.11-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.11&CDS=1-1173	YBR279W
OG0002808	maker-Arad1D-augustus-gene-18.128-mRNA-1_1&gene=maker-Arad1D-augustus-gene-18.128&CDS=1-2073	YDR164C
OG0002809	augustus_masked-Arad1D-processed-gene-18.13-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.13&CDS=1-1560	YCR098C
OG0002810	augustus_masked-Arad1D-processed-gene-18.20-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.20&CDS=1-3660	YKL092C
OG0002811	augustus_masked-Arad1D-processed-gene-18.21-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.21&CDS=1-4587	YNL088W
OG0002812	snap_masked-Arad1D-processed-gene-18.74-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-18.74&CDS=1-7482	YIL129C
OG0002813	genemark-Arad1D-processed-gene-18.122-mRNA-1_1&gene=genemark-Arad1D-processed-gene-18.122&CDS=1-2280	YMR078C
OG0002814	augustus_masked-Arad1D-processed-gene-18.22-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.22&CDS=1-3000	YIL128W
OG0002815	augustus_masked-Arad1D-processed-gene-18.24-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-18.24&CDS=1-2034	YPR074C
OG0002816	maker-Arad1D-augustus-gene-19.4-mRNA-1_1&gene=maker-Arad1D-augustus-gene-19.4&CDS=1-474	YPR073C
OG0002817	augustus_masked-Arad1D-processed-gene-19.55-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.55&CDS=1-1839	YPR072W
OG0002818	augustus_masked-Arad1D-processed-gene-19.53-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.53&CDS=1-4152	YBR115C
OG0002819	genemark-Arad1D-processed-gene-19.10-mRNA-1_1&gene=genemark-Arad1D-processed-gene-19.10&CDS=1-786	YIL049W
OG0002820	augustus_masked-Arad1D-processed-gene-19.58-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.58&CDS=1-3639	YDL145C
OG0002821	augustus_masked-Arad1D-processed-gene-19.82-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.82&CDS=1-1455	YER051W
OG0002822	augustus_masked-Arad1D-processed-gene-19.59-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.59&CDS=1-591	YER050C
OG0002823	augustus_masked-Arad1D-processed-gene-19.61-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.61&CDS=1-2598	YDL148C
OG0002824	genemark-Arad1D-processed-gene-19.39-mRNA-1_1&gene=genemark-Arad1D-processed-gene-19.39&CDS=1-2274	YDL149W
OG0002825	genemark-Arad1D-processed-gene-19.17-mRNA-1_1&gene=genemark-Arad1D-processed-gene-19.17&CDS=1-1665	YMR240C
OG0002826	augustus_masked-Arad1D-processed-gene-19.63-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.63&CDS=1-1455	YMR239C
OG0002827	augustus_masked-Arad1D-processed-gene-19.65-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.65&CDS=1-1002	YNL263C
OG0002828	augustus_masked-Arad1D-processed-gene-19.66-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.66&CDS=1-1026	YGL128C
OG0002829	augustus_masked-Arad1D-processed-gene-19.67-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.67&CDS=1-3270	YGL140C
OG0002830	augustus_masked-Arad1D-processed-gene-19.85-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.85&CDS=1-1140	YGR048W
OG0002831	augustus_masked-Arad1D-processed-gene-19.68-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.68&CDS=1-3000	YGR047C
OG0002832	augustus_masked-Arad1D-processed-gene-19.87-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.87&CDS=1-960	YNR007C
OG0002833	augustus_masked-Arad1D-processed-gene-19.70-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.70&CDS=1-2016	YNR008W
