	Saccharomyces_cerevisiae	yHMPu5000034885_Ogataea_zsoltii
OG0002557	YMR112C	snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-1.51&CDS=1-771
OG0002558	YMR113W	snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.282-mRNA-1_1&gene=snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.282&CDS=1-1266
OG0002559	YMR114C	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-0.34&CDS=1-894
OG0002560	YMR116C	maker-NODE_11_length_303890_cov_30.9068_ID_21-snap-gene-2.178-mRNA-1_1&gene=maker-NODE_11_length_303890_cov_30.9068_ID_21-snap-gene-2.178&CDS=1-942
OG0002561	YMR117C	maker-NODE_9_length_332902_cov_30.3286_ID_17-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_9_length_332902_cov_30.3286_ID_17-snap-gene-0.1&CDS=1-600
OG0002562	YMR120C	snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.30&CDS=1-1770
OG0002563	YMR121C	snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.29&CDS=1-612
OG0002564	YMR123W	snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.68&CDS=1-315
OG0002565	YMR126C	augustus_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.3&CDS=1-918
OG0002566	YMR127C	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.27&CDS=1-1032
OG0002567	YMR128W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.7&CDS=1-3612
OG0002568	YMR129W	snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.64&CDS=1-3840
OG0002569	YMR130W	snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.212-mRNA-1_1&gene=snap_masked-NODE_16_length_268119_cov_31.1022_ID_31-processed-gene-1.212&CDS=1-816
OG0002570	YMR131C	snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-1.131-mRNA-1_1&gene=snap_masked-NODE_6_length_396474_cov_30.9587_ID_11-processed-gene-1.131&CDS=1-1548
OG0002571	YMR137C	snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.43&CDS=1-1659
OG0002572	YMR138W	snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.17&CDS=1-561
OG0002573	YMR139W	snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_37_length_103167_cov_34.2317_ID_73-processed-gene-0.31&CDS=1-1164
OG0002574	YMR140W	snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_60_length_27067_cov_32.9766_ID_119-processed-gene-0.9&CDS=1-1539
OG0002575	YMR146C	snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.24&CDS=1-1029
OG0002576	YMR149W	snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.145&CDS=1-810
OG0002577	YMR150C	snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_38_length_101086_cov_29.1576_ID_75-processed-gene-0.121&CDS=1-597
OG0002578	YMR152W	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.119&CDS=1-1119
OG0002579	YMR155W	snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.246-mRNA-1_1&gene=snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.246&CDS=1-2064
OG0002580	YMR156C	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.324-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.324&CDS=1-822
OG0002581	YMR158W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.325-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.325&CDS=1-468
OG0002582	YMR159C	augustus_masked-NODE_50_length_46340_cov_28.7699_ID_99-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_50_length_46340_cov_28.7699_ID_99-processed-gene-0.55&CDS=1-579
OG0002583	YMR162C	snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.28&CDS=1-4971
OG0002584	YMR165C	snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.55&CDS=1-2472
OG0002585	YMR166C	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.151-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.151&CDS=1-1068
OG0002586	YMR167W	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.177-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.177&CDS=1-2055
OG0002587	YMR171C	genemark-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.263-mRNA-1_1&gene=genemark-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.263&CDS=1-1389
OG0002588	YMR179W	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.59&CDS=1-2040
OG0002589	YMR185W	snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_17_length_254749_cov_31.1339_ID_33-processed-gene-0.106&CDS=1-2733
OG0002590	YMR186W	snap_masked-NODE_59_length_30048_cov_28.6_ID_117-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_59_length_30048_cov_28.6_ID_117-processed-gene-0.7&CDS=1-2115
OG0002591	YMR188C	snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-0.121&CDS=1-741
OG0002592	YMR189W	augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.76&CDS=1-4329
OG0002593	YMR190C	augustus_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.232&CDS=1-3915
OG0002594	YMR193W	maker-NODE_20_length_223538_cov_38.8343_ID_39-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_20_length_223538_cov_38.8343_ID_39-snap-gene-1.0&CDS=1-984
OG0002595	YMR194C-B	maker-NODE_20_length_223538_cov_38.8343_ID_39-snap-gene-1.3-mRNA-1_1&gene=maker-NODE_20_length_223538_cov_38.8343_ID_39-snap-gene-1.3&CDS=1-243
OG0002596	YMR196W	snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.6&CDS=1-3096
OG0002597	YMR197C	snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_51_length_46138_cov_30.082_ID_101-processed-gene-0.16&CDS=1-639
OG0002598	YMR200W	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.6&CDS=1-771
OG0002599	YMR201C	maker-NODE_10_length_305151_cov_36.765_ID_19-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_10_length_305151_cov_36.765_ID_19-snap-gene-0.3&CDS=1-2250
OG0002600	YMR202W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.280-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.280&CDS=1-657
OG0002601	YMR203W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.275-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.275&CDS=1-1146
OG0002602	YMR208W	maker-NODE_26_length_181048_cov_42.3995_ID_51-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_26_length_181048_cov_42.3995_ID_51-snap-gene-0.2&CDS=1-1278
OG0002603	YMR209C	snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.71&CDS=1-1251
OG0002604	YMR210W	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-0.141&CDS=1-1494
OG0002605	YMR211W	snap_masked-NODE_58_length_32405_cov_30.6523_ID_115-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_58_length_32405_cov_30.6523_ID_115-processed-gene-0.35&CDS=1-1389
OG0002606	YMR212C	snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.41&CDS=1-2427
OG0002607	YMR213W	snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.1&CDS=1-1776
OG0002608	YMR214W	maker-NODE_29_length_167461_cov_42.2916_ID_57-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_29_length_167461_cov_42.2916_ID_57-snap-gene-0.9&CDS=1-1104
OG0002609	YMR215W	maker-NODE_13_length_289362_cov_30.0886_ID_25-snap-gene-1.95-mRNA-1_1&gene=maker-NODE_13_length_289362_cov_30.0886_ID_25-snap-gene-1.95&CDS=1-1767
OG0002610	YMR217W	snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.72&CDS=1-1575
OG0002611	YMR218C	snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.261-mRNA-1_1&gene=snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.261&CDS=1-3339
OG0002612	YMR220W	snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_7_length_357092_cov_29.7097_ID_13-processed-gene-2.57&CDS=1-1332
OG0002613	YMR223W	snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_28_length_169340_cov_34.4_ID_55-processed-gene-0.19&CDS=1-1680
OG0002614	YMR224C	maker-NODE_24_length_183566_cov_30.6958_ID_47-augustus-gene-0.18-mRNA-1_1&gene=maker-NODE_24_length_183566_cov_30.6958_ID_47-augustus-gene-0.18&CDS=1-3207
OG0002615	YMR226C	snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.65&CDS=1-804
OG0002616	YMR227C	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.46&CDS=1-1572
OG0002617	YMR228W	augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-1.23&CDS=1-1956
OG0002618	YMR229C	snap_masked-NODE_54_length_39956_cov_39.2569_ID_107-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_54_length_39956_cov_39.2569_ID_107-processed-gene-0.0&CDS=1-5094
OG0002619	YMR231W	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.130&CDS=1-2979
OG0002620	YMR232W	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.109&CDS=1-1707
OG0002621	YMR234W	snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_29_length_167461_cov_42.2916_ID_57-processed-gene-0.19&CDS=1-825
OG0002622	YMR235C	snap_masked-NODE_45_length_62926_cov_29.9951_ID_89-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_45_length_62926_cov_29.9951_ID_89-processed-gene-0.79&CDS=1-1182
OG0002623	YMR239C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.138&CDS=1-1626
OG0002624	YMR240C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.139&CDS=1-1404
OG0002625	YMR241W	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.109-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.109&CDS=1-933
OG0002626	YMR244C-A	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.42&CDS=1-315
OG0002627	YMR244W	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-2.103&CDS=1-912
OG0002628	YMR247C	snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.46&CDS=1-4644
OG0002629	YMR250W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.33&CDS=1-1713
OG0002630	YMR256C	snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.14&CDS=1-177
OG0002631	YMR258C	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.22&CDS=1-1623
OG0002632	YMR259C	maker-NODE_1_length_742912_cov_33.9653_ID_1-augustus-gene-3.48-mRNA-1_1&gene=maker-NODE_1_length_742912_cov_33.9653_ID_1-augustus-gene-3.48&CDS=1-4461
OG0002633	YMR260C	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.27&CDS=1-450
OG0002634	YMR262W	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-0.109&CDS=1-975
OG0002635	YMR263W	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.141-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.141&CDS=1-510
OG0002636	YMR264W	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.120-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-4.120&CDS=1-345
OG0002637	YMR265C	snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_23_length_192153_cov_28.0327_ID_45-processed-gene-0.80&CDS=1-1065
OG0002638	YMR267W	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.1-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.1&CDS=1-870
OG0002639	YMR268C	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.5-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.5&CDS=1-2616
OG0002640	YMR269W	snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.18-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-5.18&CDS=1-711
OG0002641	YMR272C	snap_masked-NODE_42_length_88966_cov_30.3916_ID_83-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_42_length_88966_cov_30.3916_ID_83-processed-gene-0.109&CDS=1-1128
OG0002642	YMR274C	augustus_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-1.87&CDS=1-885
OG0002643	YMR277W	augustus_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-1.75&CDS=1-4077
OG0002644	YMR278W	augustus_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.0&CDS=1-3171
OG0002645	YMR280C	snap_masked-NODE_40_length_98301_cov_29.074_ID_79-processed-gene-0.149-mRNA-1_1&gene=snap_masked-NODE_40_length_98301_cov_29.074_ID_79-processed-gene-0.149&CDS=1-2988
OG0002646	YMR281W	snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.288-mRNA-1_1&gene=snap_masked-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.288&CDS=1-951
OG0002647	YMR283C	genemark-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_21_length_199464_cov_29.6595_ID_41-processed-gene-0.59&CDS=1-864
OG0002648	YMR284W	snap_masked-NODE_63_length_21506_cov_28.5917_ID_125-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_63_length_21506_cov_28.5917_ID_125-processed-gene-0.2&CDS=1-1905
OG0002649	YMR285C	augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-0.100&CDS=1-1419
OG0002650	YMR286W	snap_masked-NODE_49_length_47699_cov_31.3729_ID_97-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_49_length_47699_cov_31.3729_ID_97-processed-gene-0.7&CDS=1-285
OG0002651	YMR288W	snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.47&CDS=1-3360
OG0002652	YMR289W	snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.281-mRNA-1_1&gene=snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.281&CDS=1-834
OG0002653	YMR290C	snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_11_length_303890_cov_30.9068_ID_21-processed-gene-0.18&CDS=1-1665
OG0002654	YMR292W	augustus_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.65&CDS=1-417
OG0002655	YMR293C	snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.211-mRNA-1_1&gene=snap_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.211&CDS=1-1515
OG0002656	YMR295C	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.139&CDS=1-579
OG0002657	YMR300C	snap_masked-NODE_44_length_76293_cov_30.3159_ID_87-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_44_length_76293_cov_30.3159_ID_87-processed-gene-0.91&CDS=1-1680
OG0002658	YMR301C	snap_masked-NODE_55_length_39841_cov_33.6476_ID_109-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_55_length_39841_cov_33.6476_ID_109-processed-gene-0.42&CDS=1-2142
OG0002659	YMR302C	snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-0.142&CDS=1-2448
OG0002660	YMR304W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.53-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-4.53&CDS=1-3717
OG0002661	YMR307W	maker-NODE_36_length_115515_cov_29.1138_ID_71-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_36_length_115515_cov_29.1138_ID_71-snap-gene-0.5&CDS=1-3342
OG0002662	YMR308C	snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_36_length_115515_cov_29.1138_ID_71-processed-gene-0.58&CDS=1-3276
OG0002663	YMR309C	snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_19_length_231802_cov_29.4664_ID_37-processed-gene-0.141&CDS=1-2505
OG0002664	YMR310C	augustus_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_14_length_272433_cov_31.4939_ID_27-processed-gene-1.40&CDS=1-1023
OG0002665	YMR311C	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.198-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.198&CDS=1-645
OG0002666	YMR312W	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.127&CDS=1-801
OG0002667	YMR313C	snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.148-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-1.148&CDS=1-1647
OG0002668	YMR314W	genemark-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.138-mRNA-1_1&gene=genemark-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.138&CDS=1-885
OG0002669	YMR315W	snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.229-mRNA-1_1&gene=snap_masked-NODE_24_length_183566_cov_30.6958_ID_47-processed-gene-0.229&CDS=1-1038
OG0002670	YNL001W	maker-NODE_35_length_118745_cov_32.5334_ID_69-snap-gene-0.183-mRNA-1_1&gene=maker-NODE_35_length_118745_cov_32.5334_ID_69-snap-gene-0.183&CDS=1-2220
OG0002671	YNL002C	snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.78&CDS=1-831
OG0002672	YNL003C	snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.76&CDS=1-831
OG0002673	YNL005C	snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.96&CDS=1-1152
OG0002674	YNL006W	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.25&CDS=1-909
OG0002675	YNL007C	snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-3.24&CDS=1-1005
OG0002676	YNL010W	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.42&CDS=1-726
OG0002677	YNL011C	genemark-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.134-mRNA-1_1&gene=genemark-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.134&CDS=1-1575
OG0002678	YNL014W	snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-2.44&CDS=1-3138
OG0002679	YNL015W	maker-NODE_31_length_138543_cov_31.3823_ID_61-snap-gene-0.78-mRNA-1_1&gene=maker-NODE_31_length_138543_cov_31.3823_ID_61-snap-gene-0.78&CDS=1-234
OG0002680	YNL016W	snap_masked-NODE_44_length_76293_cov_30.3159_ID_87-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_44_length_76293_cov_30.3159_ID_87-processed-gene-0.113&CDS=1-1224
