	Saccharomyces_cerevisiae	yHMPu5000035271_Wickerhamomyces_bovis
OG0002972	YMR304W	augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.87&CDS=1-3651
OG0002973	YMR308C	augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.85&CDS=1-3270
OG0002974	YMR309C	augustus_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_62_length_32543_cov_22.9945_ID_5139-processed-gene-0.40&CDS=1-2547
OG0002975	YMR310C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.270-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.270&CDS=1-1059
OG0002976	YMR311C	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.68&CDS=1-666
OG0002977	YMR312W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.262-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.262&CDS=1-789
OG0002978	YMR313C	maker-NODE_3_length_686625_cov_22.7875_ID_2680-augustus-gene-5.108-mRNA-1_1&gene=maker-NODE_3_length_686625_cov_22.7875_ID_2680-augustus-gene-5.108&CDS=1-1629
OG0002979	YMR314W	maker-NODE_59_length_35517_cov_23.2744_ID_5480-snap-gene-0.54-mRNA-1_1&gene=maker-NODE_59_length_35517_cov_23.2744_ID_5480-snap-gene-0.54&CDS=1-855
OG0002980	YMR315W	augustus_masked-NODE_30_length_117107_cov_22.465_ID_3048-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_30_length_117107_cov_22.465_ID_3048-processed-gene-0.4&CDS=1-1050
OG0002981	YNL001W	augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.133&CDS=1-1146
OG0002982	YNL002C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.310-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.310&CDS=1-843
OG0002983	YNL003C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.97&CDS=1-816
OG0002984	YNL005C	genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.24-mRNA-1_1&gene=genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.24&CDS=1-1146
OG0002985	YNL006W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.133&CDS=1-909
OG0002986	YNL007C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.152-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.152&CDS=1-1020
OG0002987	YNL010W	augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.294-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.294&CDS=1-741
OG0002988	YNL011C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.68&CDS=1-1284
OG0002989	YNL014W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-4.135&CDS=1-3141
OG0002990	YNL015W	maker-NODE_55_length_40521_cov_22.646_ID_4841-augustus-gene-0.67-mRNA-1_1&gene=maker-NODE_55_length_40521_cov_22.646_ID_4841-augustus-gene-0.67&CDS=1-228
OG0002991	YNL016W	augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.123&CDS=1-1344
OG0002992	YNL021W	augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.155&CDS=1-2229
OG0002993	YNL022C	snap_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.19&CDS=1-1443
OG0002994	YNL023C	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.116&CDS=1-2955
OG0002995	YNL024C	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.114&CDS=1-780
OG0002996	YNL025C	augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.129&CDS=1-939
OG0002997	YNL026W	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-3.98&CDS=1-1482
OG0002998	YNL032W	augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.126&CDS=1-750
OG0002999	YNL035C	augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.248-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.248&CDS=1-1263
OG0003000	YNL036W	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.39&CDS=1-804
OG0003001	YNL037C	augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.17&CDS=1-1074
OG0003002	YNL039W	augustus_masked-NODE_71_length_21065_cov_24.0764_ID_10010-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_71_length_21065_cov_24.0764_ID_10010-processed-gene-0.22&CDS=1-1707
OG0003003	YNL040W	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-0.69&CDS=1-1281
OG0003004	YNL041C	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.36&CDS=1-2388
OG0003005	YNL044W	maker-NODE_17_length_233845_cov_24.4945_ID_2323-augustus-gene-0.129-mRNA-1_1&gene=maker-NODE_17_length_233845_cov_24.4945_ID_2323-augustus-gene-0.129&CDS=1-528
OG0003006	YNL045W	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.34&CDS=1-1893
OG0003007	YNL048W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-6.113&CDS=1-1467
OG0003008	YNL050C	augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_17_length_233845_cov_24.4945_ID_2323-processed-gene-0.37&CDS=1-744
OG0003009	YNL051W	augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.41&CDS=1-1158
OG0003010	YNL054W	genemark-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.50-mRNA-1_1&gene=genemark-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.50&CDS=1-2577
OG0003011	YNL055C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-0.116&CDS=1-861
OG0003012	YNL056W	augustus_masked-NODE_63_length_31179_cov_22.7796_ID_5245-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_63_length_31179_cov_22.7796_ID_5245-processed-gene-0.16&CDS=1-540
OG0003013	YNL059C	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.38&CDS=1-2220
OG0003014	YNL061W	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.57&CDS=1-1863
OG0003015	YNL062C	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.39&CDS=1-1368
OG0003016	YNL063W	augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.17&CDS=1-816
OG0003017	YNL064C	augustus_masked-NODE_68_length_23584_cov_22.0258_ID_5375-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_68_length_23584_cov_22.0258_ID_5375-processed-gene-0.12&CDS=1-1227
OG0003018	YNL071W	maker-NODE_19_length_221202_cov_23.1889_ID_2151-augustus-gene-1.195-mRNA-1_1&gene=maker-NODE_19_length_221202_cov_23.1889_ID_2151-augustus-gene-1.195&CDS=1-1407
OG0003019	YNL075W	augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-0.50&CDS=1-855
OG0003020	YNL080C	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.135&CDS=1-966
OG0003021	YNL081C	maker-NODE_9_length_324451_cov_22.8396_ID_7486-augustus-gene-1.1-mRNA-1_1&gene=maker-NODE_9_length_324451_cov_22.8396_ID_7486-augustus-gene-1.1&CDS=1-441
OG0003022	YNL082W	maker-NODE_9_length_324451_cov_22.8396_ID_7486-snap-gene-1.11-mRNA-1_1&gene=maker-NODE_9_length_324451_cov_22.8396_ID_7486-snap-gene-1.11&CDS=1-2730
OG0003023	YNL083W	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.133&CDS=1-1491
OG0003024	YNL084C	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-0.118&CDS=1-1182
OG0003025	YNL085W	snap_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-0.20&CDS=1-2187
OG0003026	YNL088W	genemark-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-0.97&CDS=1-4476
OG0003027	YNL090W	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.55&CDS=1-567
OG0003028	YNL091W	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.54&CDS=1-3720
OG0003029	YNL092W	maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-4.4-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-augustus-gene-4.4&CDS=1-1176
OG0003030	YNL094W	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.71&CDS=1-1938
OG0003031	YNL097C	augustus_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-0.127&CDS=1-1080
OG0003032	YNL099C	augustus_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-0.124&CDS=1-570
OG0003033	YNL102W	augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_24_length_139379_cov_21.5415_ID_2650-processed-gene-0.51&CDS=1-4350
OG0003034	YNL107W	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.75&CDS=1-633
OG0003035	YNL108C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.76&CDS=1-1032
OG0003036	YNL110C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-0.54&CDS=1-807
OG0003037	YNL111C	maker-NODE_4_length_628375_cov_23.1438_ID_2100-augustus-gene-0.134-mRNA-1_1&gene=maker-NODE_4_length_628375_cov_23.1438_ID_2100-augustus-gene-0.134&CDS=1-366
OG0003038	YNL112W	maker-NODE_24_length_139379_cov_21.5415_ID_2650-augustus-gene-0.210-mRNA-1_1&gene=maker-NODE_24_length_139379_cov_21.5415_ID_2650-augustus-gene-0.210&CDS=1-1665
OG0003039	YNL113W	maker-NODE_24_length_139379_cov_21.5415_ID_2650-augustus-gene-0.211-mRNA-1_1&gene=maker-NODE_24_length_139379_cov_21.5415_ID_2650-augustus-gene-0.211&CDS=1-384
OG0003040	YNL115C	augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.53&CDS=1-1626
OG0003041	YNL118C	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.92&CDS=1-2847
OG0003042	YNL119W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.93&CDS=1-1302
OG0003043	YNL122C	genemark-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.41&CDS=1-285
OG0003044	YNL123W	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.206&CDS=1-2946
OG0003045	YNL124W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.69&CDS=1-1443
OG0003046	YNL126W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.83&CDS=1-2490
OG0003047	YNL127W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.84&CDS=1-2388
OG0003048	YNL128W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.85&CDS=1-1002
OG0003049	YNL129W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.67&CDS=1-729
OG0003050	YNL131W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.66&CDS=1-438
OG0003051	YNL132W	augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.88&CDS=1-3120
OG0003052	YNL135C	augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.18&CDS=1-408
OG0003053	YNL137C	augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.19&CDS=1-1431
OG0003054	YNL138W	augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.21&CDS=1-1596
OG0003055	YNL138W-A	augustus_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.51&CDS=1-237
OG0003056	YNL139C	snap_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_44_length_56175_cov_21.588_ID_12004-processed-gene-0.65&CDS=1-4914
OG0003057	YNL141W	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.125&CDS=1-1068
OG0003058	YNL142W	augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.46&CDS=1-1452
OG0003059	YNL148C	augustus_masked-NODE_57_length_37575_cov_21.9688_ID_5033-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_57_length_37575_cov_21.9688_ID_5033-processed-gene-0.27&CDS=1-729
OG0003060	YNL149C	augustus_masked-NODE_57_length_37575_cov_21.9688_ID_5033-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_57_length_37575_cov_21.9688_ID_5033-processed-gene-0.28&CDS=1-381
OG0003061	YNL151C	maker-NODE_57_length_37575_cov_21.9688_ID_5033-augustus-gene-0.81-mRNA-1_1&gene=maker-NODE_57_length_37575_cov_21.9688_ID_5033-augustus-gene-0.81&CDS=1-675
OG0003062	YNL152W	augustus_masked-NODE_57_length_37575_cov_21.9688_ID_5033-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_57_length_37575_cov_21.9688_ID_5033-processed-gene-0.37&CDS=1-1530
OG0003063	YNL153C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.147&CDS=1-390
OG0003064	YNL155W	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-0.34&CDS=1-810
OG0003065	YNL156C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.142&CDS=1-813
OG0003066	YNL161W	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.252-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.252&CDS=1-2091
OG0003067	YNL163C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.211-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.211&CDS=1-3099
OG0003068	YNL165W	augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-1.121&CDS=1-1236
OG0003069	YNL166C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.255-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.255&CDS=1-723
OG0003070	YNL167C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.324-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.324&CDS=1-1254
OG0003071	YNL168C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.323-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.323&CDS=1-699
OG0003072	YNL169C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.268-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.268&CDS=1-1620
OG0003073	YNL172W	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.267-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.267&CDS=1-4557
OG0003074	YNL175C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.65&CDS=1-1101
OG0003075	YNL177C	augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-2.63&CDS=1-873
OG0003076	YNL178W	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.52&CDS=1-774
OG0003077	YNL181W	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.73&CDS=1-1326
OG0003078	YNL182C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.50&CDS=1-1458
OG0003079	YNL183C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.49&CDS=1-2235
OG0003080	YNL185C	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.70&CDS=1-450
OG0003081	YNL186W	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.72&CDS=1-2352
OG0003082	YNL187W	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-0.48&CDS=1-1146
OG0003083	YNL189W	augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.32&CDS=1-1608
OG0003084	YNL191W	maker-NODE_14_length_268870_cov_26.8865_ID_1946-augustus-gene-0.144-mRNA-1_1&gene=maker-NODE_14_length_268870_cov_26.8865_ID_1946-augustus-gene-0.144&CDS=1-1044
OG0003085	YNL193W	augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.205-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.205&CDS=1-1494
OG0003086	YNL200C	maker-NODE_49_length_50590_cov_22.9765_ID_4604-augustus-gene-0.85-mRNA-1_1&gene=maker-NODE_49_length_50590_cov_22.9765_ID_4604-augustus-gene-0.85&CDS=1-690
OG0003087	YNL201C	maker-NODE_49_length_50590_cov_22.9765_ID_4604-snap-gene-0.56-mRNA-1_1&gene=maker-NODE_49_length_50590_cov_22.9765_ID_4604-snap-gene-0.56&CDS=1-2289
OG0003088	YNL202W	augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.49&CDS=1-873
OG0003089	YNL206C	augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.98&CDS=1-1170
OG0003090	YNL207W	augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.77&CDS=1-1272
OG0003091	YNL210W	maker-NODE_13_length_278934_cov_23.8117_ID_1820-snap-gene-0.49-mRNA-1_1&gene=maker-NODE_13_length_278934_cov_23.8117_ID_1820-snap-gene-0.49&CDS=1-1011
OG0003092	YNL211C	genemark-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.38&CDS=1-228
