	Candida_boidinii_JCM9604	Saccharomyces_cerevisiae
OG0003094	-processed-gene-11.30-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-11.30&CDS=1-2886	YPL195W
OG0003095	-processed-gene-11.18-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-11.18&CDS=1-729	YGL079W
OG0003096	-processed-gene-11.19-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-11.19&CDS=1-1254	YGL196W
OG0003097	-snap-gene-11.114-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-11.114&CDS=1-2847	YKL171W
OG0003098	-processed-gene-11.20-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-11.20&CDS=1-279	YJL166W
OG0003099	-processed-gene-11.21-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-11.21&CDS=1-2004	YFR037C
OG0003100	-snap-gene-11.112-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-11.112&CDS=1-1368	YLR191W
OG0003101	-processed-gene-11.34-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-11.34&CDS=1-1404	YBL098W
OG0003102	-processed-gene-11.35-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-11.35&CDS=1-1494	YER122C
OG0003103	-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.1&CDS=1-2247	YPR024W
OG0003104	-processed-gene-12.3-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.3&CDS=1-3753	YIL026C
OG0003105	-processed-gene-12.2-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.2&CDS=1-3462	YJL176C
OG0003106	-processed-gene-12.4-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.4&CDS=1-975	YNL320W
OG0003107	-processed-gene-12.18-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.18&CDS=1-3570	YOL138C
OG0003108	-processed-gene-12.19-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.19&CDS=1-672	YDR489W
OG0003109	-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.20&CDS=1-1923	YDL003W
OG0003110	-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.22&CDS=1-3387	YBL051C
OG0003111	-processed-gene-12.6-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.6&CDS=1-288	YER019C-A
OG0003112	-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.23&CDS=1-1854	YER087W
OG0003113	-snap-gene-12.61-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-12.61&CDS=1-1107	YIL084C
OG0003114	-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.9&CDS=1-1482	YML005W
OG0003115	-processed-gene-12.10-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.10&CDS=1-2523	YGR200C
OG0003116	-augustus-gene-12.0-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-12.0&CDS=1-474	YDL004W
OG0003117	-processed-gene-12.13-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.13&CDS=1-1602	YMR015C
OG0003118	-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.15&CDS=1-4305	YMR129W
OG0003119	-processed-gene-12.16-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-12.16&CDS=1-909	YBR085W
OG0003120	-augustus-gene-13.76-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-13.76&CDS=1-1554	YOR095C
OG0003121	-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.8&CDS=1-1962	YHR114W
OG0003122	-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.23&CDS=1-1251	YOR091W
OG0003123	-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.10&CDS=1-2016	YOR090C
OG0003124	-processed-gene-13.24-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.24&CDS=1-687	YOR089C
OG0003125	-processed-gene-13.25-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.25&CDS=1-1227	YNL092W
OG0003126	-processed-gene-13.26-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.26&CDS=1-1617	YDR257C
OG0003127	-processed-gene-13.90-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.90&CDS=1-1791	YOR027W
OG0003128	-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.15&CDS=1-3165	YHR065C
OG0003129	-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.28&CDS=1-1059	YDL209C
OG0003130	-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.16&CDS=1-2922	YJL092W
OG0003131	-processed-gene-13.17-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.17&CDS=1-4041	YJL157C
OG0003132	-processed-gene-13.18-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.18&CDS=1-1554	YCL032W
OG0003133	-processed-gene-13.29-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.29&CDS=1-912	YCL031C
OG0003134	-processed-gene-13.19-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.19&CDS=1-450	YIL062C
OG0003135	-processed-gene-13.32-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.32&CDS=1-711	YIL064W
OG0003136	-processed-gene-13.33-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.33&CDS=1-2634	YER069W
OG0003137	-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.34&CDS=1-699	YDR533C
OG0003138	-processed-gene-13.99-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.99&CDS=1-438	YIL065C
OG0003139	-processed-gene-13.100-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.100&CDS=1-1500	YGL243W
OG0003140	-processed-gene-13.35-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-13.35&CDS=1-702	YGL242C
OG0003141	-processed-gene-14.58-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.58&CDS=1-2589	YPR160W
OG0003142	-processed-gene-14.64-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.64&CDS=1-2313	YBL086C
OG0003143	-augustus-gene-14.57-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-14.57&CDS=1-2199	YBR287W
OG0003144	-processed-gene-14.78-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.78&CDS=1-1371	YDL237W
OG0003145	-processed-gene-14.68-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.68&CDS=1-612	YGL200C
OG0003146	-processed-gene-14.69-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.69&CDS=1-438	YFR011C
OG0003147	-processed-gene-14.24-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.24&CDS=1-1488	YFR010W
OG0003148	-processed-gene-14.84-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-14.84&CDS=1-858	YNL003C
OG0003149	-processed-gene-15.1-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.1&CDS=1-1392	YCL017C
OG0003150	-processed-gene-15.3-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.3&CDS=1-1389	YOR244W
OG0003151	-processed-gene-15.4-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.4&CDS=1-1176	YPL152W
OG0003152	-processed-gene-15.6-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.6&CDS=1-1461	YMR210W
OG0003153	-processed-gene-15.9-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.9&CDS=1-3924	YDR097C
OG0003154	-processed-gene-15.19-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.19&CDS=1-3195	YER169W
OG0003155	-processed-gene-15.10-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.10&CDS=1-2820	YER173W
OG0003156	-processed-gene-15.11-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.11&CDS=1-1524	YGL067W
OG0003157	-processed-gene-15.21-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.21&CDS=1-1449	YPL204W
OG0003158	-processed-gene-15.13-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.13&CDS=1-1944	YJL041W
OG0003159	-processed-gene-15.22-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.22&CDS=1-1743	YJL044C
OG0003160	-processed-gene-15.26-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.26&CDS=1-1839	YDR228C
OG0003161	-snap-gene-15.63-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-15.63&CDS=1-1155	YOL038W
OG0003162	-processed-gene-15.92-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.92&CDS=1-699	YIR015W
OG0003163	-processed-gene-15.28-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.28&CDS=1-1200	YJL125C
OG0003164	-processed-gene-15.49-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-15.49&CDS=1-5733	YBL088C
OG0003165	-processed-gene-16.2-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.2&CDS=1-663	YER112W
OG0003166	-processed-gene-16.3-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.3&CDS=1-8256	YGL195W
OG0003167	-processed-gene-16.17-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.17&CDS=1-1317	YLR303W
OG0003168	-processed-gene-16.5-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.5&CDS=1-2103	YKL104C
OG0003169	-processed-gene-16.21-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.21&CDS=1-930	YDR337W
OG0003170	-processed-gene-16.7-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.7&CDS=1-2931	YDR238C
OG0003171	-processed-gene-16.8-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.8&CDS=1-573	YDR236C
OG0003172	-processed-gene-16.23-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.23&CDS=1-1896	YDL207W
OG0003173	-processed-gene-16.40-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.40&CDS=1-930	YDR237W
OG0003174	-augustus-gene-16.31-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-16.31&CDS=1-1881	YDR005C
OG0003175	-processed-gene-16.11-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.11&CDS=1-1998	YKL175W
OG0003176	-processed-gene-16.89-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.89&CDS=1-1824	YBR170C
OG0003177	-processed-gene-16.15-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-16.15&CDS=1-765	YPL107W
OG0003178	-processed-gene-17.5-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.5&CDS=1-906	YPL065W
OG0003179	-processed-gene-17.6-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.6&CDS=1-1389	YBR162C
OG0003180	-processed-gene-17.7-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.7&CDS=1-489	YCR090C
OG0003181	-processed-gene-17.8-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.8&CDS=1-4668	YER008C
OG0003182	-processed-gene-17.9-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.9&CDS=1-3204	YIR002C
OG0003183	-processed-gene-17.10-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.10&CDS=1-540	YER007C-A
OG0003184	-processed-gene-17.11-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.11&CDS=1-2178	YER005W
OG0003185	-processed-gene-17.13-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.13&CDS=1-1155	YPR023C
OG0003186	-processed-gene-17.24-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.24&CDS=1-342	YLL014W
OG0003187	-processed-gene-17.17-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.17&CDS=1-1845	YGR186W
OG0003188	-processed-gene-17.25-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.25&CDS=1-1116	YGR187C
OG0003189	-processed-gene-17.73-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.73&CDS=1-189	YGR183C
OG0003190	-processed-gene-17.20-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.20&CDS=1-294	YGR181W
OG0003191	-processed-gene-17.30-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.30&CDS=1-459	YOR104W
OG0003192	-processed-gene-18.48-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.48&CDS=1-1386	YGR189C
OG0003193	-processed-gene-18.49-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.49&CDS=1-981	YGR031W
OG0003194	-processed-gene-18.50-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.50&CDS=1-1464	YFL018C
OG0003195	-processed-gene-18.68-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.68&CDS=1-696	YLR078C
OG0003196	-processed-gene-18.69-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.69&CDS=1-2058	YLR077W
OG0003197	-processed-gene-18.53-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.53&CDS=1-918	YFR047C
OG0003198	-processed-gene-18.70-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.70&CDS=1-1002	YGL225W
OG0003199	-processed-gene-18.72-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.72&CDS=1-1212	YMR114C
OG0003200	-processed-gene-18.56-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.56&CDS=1-1827	YKL108W
OG0003201	-processed-gene-18.73-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.73&CDS=1-1494	YMR093W
OG0003202	-processed-gene-18.90-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.90&CDS=1-876	YKL098W
OG0003203	-snap-gene-18.3-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-18.3&CDS=1-1788	YMR092C
OG0003204	-processed-gene-18.110-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.110&CDS=1-1908	YMR106C
OG0003205	-augustus-gene-18.47-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-18.47&CDS=1-939	YMR116C
OG0003206	-processed-gene-18.76-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.76&CDS=1-1539	YMR110C
OG0003207	-processed-gene-18.78-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.78&CDS=1-549	YHR148W
OG0003208	-processed-gene-18.59-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.59&CDS=1-672	YHR147C
OG0003209	-processed-gene-18.60-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.60&CDS=1-849	YGR220C
OG0003210	-processed-gene-18.61-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.61&CDS=1-1752	YHL009C
OG0003211	-processed-gene-18.63-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.63&CDS=1-858	YKL099C
OG0003212	-augustus-gene-18.45-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-18.45&CDS=1-351	YGR063C
OG0003213	-processed-gene-18.65-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.65&CDS=1-1344	YER043C
OG0003214	-processed-gene-19.27-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.27&CDS=1-330	YPR094W
OG0003215	-processed-gene-19.64-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.64&CDS=1-294	YBR135W
OG0003216	-processed-gene-19.65-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.65&CDS=1-3297	YCR011C
OG0003217	-processed-gene-19.66-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.66&CDS=1-1092	YOR388C
OG0003218	-processed-gene-19.55-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.55&CDS=1-4086	YGR061C
OG0003219	-processed-gene-19.67-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.67&CDS=1-4635	YER164W
OG0003220	-processed-gene-19.68-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.68&CDS=1-1107	YOR305W
OG0003221	-processed-gene-19.58-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.58&CDS=1-1581	YMR240C
OG0003222	-processed-gene-19.59-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.59&CDS=1-2013	YMR239C
OG0003223	-augustus-gene-19.25-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-19.25&CDS=1-333	YBR091C
OG0003224	-processed-gene-19.72-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.72&CDS=1-2907	YOR211C
OG0003225	-processed-gene-19.73-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.73&CDS=1-1386	YLL010C
OG0003226	-processed-gene-19.10-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.10&CDS=1-4701	YDR027C
OG0003227	-processed-gene-19.63-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.63&CDS=1-1911	YLL007C
OG0003228	-processed-gene-19.74-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.74&CDS=1-2409	YLL008W
OG0003229	-processed-gene-20.31-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.31&CDS=1-6411	YJL005W
OG0003230	-processed-gene-20.45-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.45&CDS=1-1374	YHR002W
OG0003231	-processed-gene-20.46-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.46&CDS=1-498	YGR076C
OG0003232	-processed-gene-20.36-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.36&CDS=1-1383	YOL140W
OG0003233	-processed-gene-20.47-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.47&CDS=1-4242	YNL321W
OG0003234	-processed-gene-20.48-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.48&CDS=1-972	YDL015C
OG0003235	-processed-gene-20.37-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.37&CDS=1-396	YGR074W
OG0003236	-processed-gene-20.49-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.49&CDS=1-651	YGR075C
OG0003237	-processed-gene-20.38-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.38&CDS=1-624	YOL139C
OG0003238	-processed-gene-20.51-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.51&CDS=1-2538	YDL122W
OG0003239	-processed-gene-20.9-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.9&CDS=1-1161	YKL011C
OG0003240	-snap-gene-20.92-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-20.92&CDS=1-4821	YIL112W
OG0003241	-processed-gene-20.53-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.53&CDS=1-1344	YNL051W
OG0003242	-processed-gene-20.55-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.55&CDS=1-5454	YJL187C
OG0003243	-processed-gene-20.56-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.56&CDS=1-3060	YCR030C
OG0003244	-processed-gene-20.44-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.44&CDS=1-393	YCR028C-A
OG0003245	-processed-gene-20.61-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.61&CDS=1-1494	YKL178C
OG0003246	-processed-gene-21.57-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.57&CDS=1-1281	YJR075W
OG0003247	-processed-gene-21.58-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.58&CDS=1-1551	YPL083C
OG0003248	-processed-gene-21.60-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.60&CDS=1-1194	YGL048C
OG0003249	-processed-gene-21.73-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.73&CDS=1-939	YJL053W
OG0003250	-snap-gene-21.55-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-21.55&CDS=1-3075	YJL115W
OG0003251	-processed-gene-21.7-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.7&CDS=1-1758	YNL042W
OG0003252	-processed-gene-21.76-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.76&CDS=1-1662	YIL104C
OG0003253	-processed-gene-21.65-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.65&CDS=1-1317	YIL103W
OG0003254	-processed-gene-21.77-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.77&CDS=1-2589	YNL041C
OG0003255	-processed-gene-21.66-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.66&CDS=1-4917	YMR190C
OG0003256	-processed-gene-21.68-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.68&CDS=1-1572	YBR286W
OG0003257	-processed-gene-21.81-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.81&CDS=1-744	YDR226W
OG0003258	-processed-gene-21.82-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.82&CDS=1-1569	YBL015W
OG0003259	-processed-gene-22.3-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-22.3&CDS=1-2445	YJR040W
OG0003260	-augustus-gene-22.18-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-22.18&CDS=1-1968	YEL023C
