	Metschnikowia_bowlesiae	Saccharomyces_cerevisiae
OG0002462	augustus_masked-bow-b_s550-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.48&CDS=1-1329	YDR198C
OG0002463	genemark-bow-b_s550-processed-gene-0.64-mRNA-1_1&gene=genemark-bow-b_s550-processed-gene-0.64&CDS=1-1863	YLR234W
OG0002464	augustus_masked-bow-b_s550-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.37&CDS=1-984	YLR242C
OG0002465	augustus_masked-bow-b_s550-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.49&CDS=1-2613	YLR241W
OG0002466	augustus_masked-bow-b_s550-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.50&CDS=1-327	YDR382W
OG0002467	snap_masked-bow-b_s550-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bow-b_s550-processed-gene-0.7&CDS=1-426	YOL040C
OG0002468	augustus_masked-bow-b_s550-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.40&CDS=1-867	YOR130C
OG0002469	augustus_masked-bow-b_s550-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.51&CDS=1-924	YDL237W
OG0002470	augustus_masked-bow-b_s550-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.54&CDS=1-618	YLR312W-A
OG0002471	augustus_masked-bow-b_s550-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.41&CDS=1-1824	YGL171W
OG0002472	maker-bow-b_s550-augustus-gene-0.95-mRNA-1_1&gene=maker-bow-b_s550-augustus-gene-0.95&CDS=1-1662	YDR105C
OG0002473	augustus_masked-bow-b_s550-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.42&CDS=1-1257	YPL101W
OG0002474	augustus_masked-bow-b_s550-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.43&CDS=1-2691	YPR019W
OG0002475	augustus_masked-bow-b_s550-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.57&CDS=1-1962	YDR108W
OG0002476	augustus_masked-bow-b_s550-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.44&CDS=1-3987	YLR084C
OG0002477	augustus_masked-bow-b_s558-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.6&CDS=1-2337	YLR304C
OG0002478	augustus_masked-bow-b_s558-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.7&CDS=1-879	YPR069C
OG0002479	maker-bow-b_s558-augustus-gene-0.4-mRNA-1_1&gene=maker-bow-b_s558-augustus-gene-0.4&CDS=1-1047	YMR201C
OG0002480	augustus_masked-bow-b_s558-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.9&CDS=1-2106	YMR186W
OG0002481	augustus_masked-bow-b_s558-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.26&CDS=1-3156	YMR185W
OG0002482	augustus_masked-bow-b_s558-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.10&CDS=1-618	YPL239W
OG0002483	snap_masked-bow-b_s558-processed-gene-0.76-mRNA-1_1&gene=snap_masked-bow-b_s558-processed-gene-0.76&CDS=1-858	YPL237W
OG0002484	augustus_masked-bow-b_s558-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.28&CDS=1-1062	YPL236C
OG0002485	augustus_masked-bow-b_s558-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.13&CDS=1-813	YPL246C
OG0002486	augustus_masked-bow-b_s558-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.29&CDS=1-1155	YMR203W
OG0002487	augustus_masked-bow-b_s558-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.15&CDS=1-2832	YMR205C
OG0002488	augustus_masked-bow-b_s558-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.17&CDS=1-1854	YDR380W
OG0002489	augustus_masked-bow-b_s558-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.19&CDS=1-1392	YPL235W
OG0002490	augustus_masked-bow-b_s558-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.31&CDS=1-480	YPL234C
OG0002491	augustus_masked-bow-b_s558-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.20&CDS=1-696	YPL233W
OG0002492	augustus_masked-bow-b_s558-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.21&CDS=1-612	YJR050W
OG0002493	augustus_masked-bow-b_s558-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.22&CDS=1-4761	YPL242C
OG0002494	genemark-bow-b_s558-processed-gene-0.64-mRNA-1_1&gene=genemark-bow-b_s558-processed-gene-0.64&CDS=1-1875	YLR429W
OG0002495	augustus_masked-bow-b_s558-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.34&CDS=1-2088	YNR008W
OG0002496	augustus_masked-bow-b_s558-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bow-b_s558-processed-gene-0.35&CDS=1-912	YNR007C
OG0002497	augustus_masked-bow-b_s568-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.76&CDS=1-702	YDR020C
OG0002498	genemark-bow-b_s568-processed-gene-0.101-mRNA-1_1&gene=genemark-bow-b_s568-processed-gene-0.101&CDS=1-1287	YDR021W
OG0002499	augustus_masked-bow-b_s568-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.55&CDS=1-3321	YER110C
OG0002500	augustus_masked-bow-b_s568-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.56&CDS=1-1083	YKL178C
OG0002501	augustus_masked-bow-b_s568-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.77&CDS=1-1500	YBL080C
OG0002502	augustus_masked-bow-b_s568-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.57&CDS=1-396	YBL078C
OG0002503	augustus_masked-bow-b_s568-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.79&CDS=1-1059	YNL141W
OG0002504	genemark-bow-b_s568-processed-gene-0.106-mRNA-1_1&gene=genemark-bow-b_s568-processed-gene-0.106&CDS=1-2958	YNL192W
OG0002505	augustus_masked-bow-b_s568-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.80&CDS=1-549	YDL217C
OG0002506	augustus_masked-bow-b_s568-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.81&CDS=1-1188	YPR023C
OG0002507	augustus_masked-bow-b_s568-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.82&CDS=1-2331	YER125W
OG0002508	augustus_masked-bow-b_s568-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.84&CDS=1-1218	YDR083W
OG0002509	augustus_masked-bow-b_s568-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.86&CDS=1-996	YER142C
OG0002510	augustus_masked-bow-b_s568-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.88&CDS=1-945	YHR062C
OG0002511	augustus_masked-bow-b_s568-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.67&CDS=1-819	YNL155W
OG0002512	snap_masked-bow-b_s568-processed-gene-0.15-mRNA-1_1&gene=snap_masked-bow-b_s568-processed-gene-0.15&CDS=1-522	YMR035W
OG0002513	augustus_masked-bow-b_s568-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.90&CDS=1-705	YGR057C
OG0002514	augustus_masked-bow-b_s568-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.92&CDS=1-2232	YBR198C
OG0002515	augustus_masked-bow-b_s568-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.93&CDS=1-852	YPL076W
OG0002516	genemark-bow-b_s568-processed-gene-0.143-mRNA-1_1&gene=genemark-bow-b_s568-processed-gene-0.143&CDS=1-390	YIR015W
OG0002517	augustus_masked-bow-b_s568-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.71&CDS=1-750	YOL038W
OG0002518	genemark-bow-b_s568-processed-gene-0.144-mRNA-1_1&gene=genemark-bow-b_s568-processed-gene-0.144&CDS=1-4143	YKL113C
OG0002519	maker-bow-b_s568-snap-gene-0.1-mRNA-1_1&gene=maker-bow-b_s568-snap-gene-0.1&CDS=1-2727	YKL114C
OG0002520	snap_masked-bow-b_s568-processed-gene-0.20-mRNA-1_1&gene=snap_masked-bow-b_s568-processed-gene-0.20&CDS=1-2430	YGR099W
OG0002521	augustus_masked-bow-b_s568-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.99&CDS=1-762	YDR538W
OG0002522	augustus_masked-bow-b_s568-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.75&CDS=1-1533	YDR539W
OG0002523	snap_masked-bow-b_s571-processed-gene-0.63-mRNA-1_1&gene=snap_masked-bow-b_s571-processed-gene-0.63&CDS=1-348	YLL014W
OG0002524	augustus_masked-bow-b_s571-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.33&CDS=1-918	YBR231C
OG0002525	augustus_masked-bow-b_s571-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.34&CDS=1-1449	YBR233W
OG0002526	augustus_masked-bow-b_s571-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.49&CDS=1-2097	YGL114W
OG0002527	maker-bow-b_s571-augustus-gene-0.97-mRNA-1_1&gene=maker-bow-b_s571-augustus-gene-0.97&CDS=1-2073	YGL115W
OG0002528	augustus_masked-bow-b_s571-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.52&CDS=1-468	YMR158W
OG0002529	augustus_masked-bow-b_s571-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.36&CDS=1-732	YMR157C
OG0002530	augustus_masked-bow-b_s571-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.53&CDS=1-732	YMR156C
OG0002531	augustus_masked-bow-b_s571-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.37&CDS=1-669	YDL098C
OG0002532	augustus_masked-bow-b_s571-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.55&CDS=1-5523	YDR159W
OG0002533	augustus_masked-bow-b_s571-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.57&CDS=1-1095	YDR158W
OG0002534	augustus_masked-bow-b_s571-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.39&CDS=1-1620	YML069W
OG0002535	augustus_masked-bow-b_s571-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.41&CDS=1-1746	YLR152C
OG0002536	augustus_masked-bow-b_s571-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.42&CDS=1-588	YDL072C
OG0002537	augustus_masked-bow-b_s571-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.58&CDS=1-1836	YLR401C
OG0002538	augustus_masked-bow-b_s571-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.43&CDS=1-2808	YLR409C
OG0002539	augustus_masked-bow-b_s571-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.44&CDS=1-3189	YDL077C
OG0002540	snap_masked-bow-b_s571-processed-gene-0.77-mRNA-1_1&gene=snap_masked-bow-b_s571-processed-gene-0.77&CDS=1-813	YLR407W
OG0002541	augustus_masked-bow-b_s571-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.59&CDS=1-1128	YOR388C
OG0002542	augustus_masked-bow-b_s571-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.60&CDS=1-780	YLL041C
OG0002543	augustus_masked-bow-b_s571-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.61&CDS=1-1161	YGR234W
OG0002544	augustus_masked-bow-b_s571-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bow-b_s571-processed-gene-0.62&CDS=1-1068	YJR149W
OG0002545	augustus_masked-bow-b_s573-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s573-processed-gene-0.44&CDS=1-3672	YJR041C
OG0002546	augustus_masked-bow-b_s573-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bow-b_s573-processed-gene-0.45&CDS=1-375	YEL026W
OG0002547	genemark-bow-b_s573-processed-gene-0.57-mRNA-1_1&gene=genemark-bow-b_s573-processed-gene-0.57&CDS=1-1998	YHR124W
OG0002548	genemark-bow-b_s573-processed-gene-0.58-mRNA-1_1&gene=genemark-bow-b_s573-processed-gene-0.58&CDS=1-288	YBL026W
OG0002549	genemark-bow-b_s573-processed-gene-0.74-mRNA-1_1&gene=genemark-bow-b_s573-processed-gene-0.74&CDS=1-1602	YBL020W
OG0002550	augustus_masked-bow-b_s573-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bow-b_s573-processed-gene-0.35&CDS=1-756	YBL021C
OG0002551	augustus_masked-bow-b_s573-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bow-b_s573-processed-gene-0.36&CDS=1-2103	YBL024W
OG0002552	genemark-bow-b_s573-processed-gene-0.63-mRNA-1_1&gene=genemark-bow-b_s573-processed-gene-0.63&CDS=1-3396	YBL022C
OG0002553	augustus_masked-bow-b_s581-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s581-processed-gene-0.2&CDS=1-1593	YBL054W
OG0002554	augustus_masked-bow-b_s581-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_s581-processed-gene-0.8&CDS=1-651	YBL057C
OG0002555	maker-bow-b_s581-snap-gene-0.0-mRNA-1_1&gene=maker-bow-b_s581-snap-gene-0.0&CDS=1-1296	YGR229C
OG0002556	augustus_masked-bow-b_s581-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s581-processed-gene-0.11&CDS=1-1542	YGR227W
OG0002557	maker-bow-b_s581-augustus-gene-0.25-mRNA-1_1&gene=maker-bow-b_s581-augustus-gene-0.25&CDS=1-1149	YGR225W
OG0002558	augustus_masked-bow-b_s581-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bow-b_s581-processed-gene-0.6&CDS=1-1014	YGR163W
OG0002559	augustus_masked-bow-b_s581-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bow-b_s581-processed-gene-0.7&CDS=1-909	YGR060W
OG0002560	augustus_masked-bow-b_s586-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.19&CDS=1-1020	YJL180C
OG0002561	augustus_masked-bow-b_s586-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.0&CDS=1-360	YJL179W
OG0002562	augustus_masked-bow-b_s586-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.21&CDS=1-1914	YLR345W
OG0002563	augustus_masked-bow-b_s586-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.1&CDS=1-681	YGR033C
OG0002564	augustus_masked-bow-b_s586-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.23&CDS=1-1725	YLR343W
OG0002565	augustus_masked-bow-b_s586-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.25&CDS=1-552	YMR138W
OG0002566	augustus_masked-bow-b_s586-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.2&CDS=1-2310	YMR137C
OG0002567	augustus_masked-bow-b_s586-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.3&CDS=1-981	YOL107W
OG0002568	augustus_masked-bow-b_s586-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.4&CDS=1-1248	YJL183W
OG0002569	augustus_masked-bow-b_s586-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.26&CDS=1-5649	YGR032W
OG0002570	augustus_masked-bow-b_s586-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.27&CDS=1-1788	YGR054W
OG0002571	augustus_masked-bow-b_s586-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.5&CDS=1-240	YNL138W-A
OG0002572	snap_masked-bow-b_s586-processed-gene-0.145-mRNA-1_1&gene=snap_masked-bow-b_s586-processed-gene-0.145&CDS=1-3099	YIL115C
OG0002573	augustus_masked-bow-b_s586-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.31&CDS=1-672	YLR051C
OG0002574	augustus_masked-bow-b_s586-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.33&CDS=1-1488	YFL022C
OG0002575	augustus_masked-bow-b_s586-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.34&CDS=1-1452	YFL018C
OG0002576	genemark-bow-b_s586-processed-gene-0.91-mRNA-1_1&gene=genemark-bow-b_s586-processed-gene-0.91&CDS=1-972	YPL227C
OG0002577	augustus_masked-bow-b_s586-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.37&CDS=1-1554	YPL228W
OG0002578	augustus_masked-bow-b_s586-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.38&CDS=1-1233	YLR174W
OG0002579	augustus_masked-bow-b_s586-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.39&CDS=1-1122	YCL055W
OG0002580	augustus_masked-bow-b_s586-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.40&CDS=1-246	YCL057C-A
OG0002581	maker-bow-b_s586-augustus-gene-0.169-mRNA-1_1&gene=maker-bow-b_s586-augustus-gene-0.169&CDS=1-3084	YHL007C
OG0002582	augustus_masked-bow-b_s586-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.41&CDS=1-1755	YOR329C
OG0002583	augustus_masked-bow-b_s586-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.9&CDS=1-1017	YDL144C
OG0002584	augustus_masked-bow-b_s586-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.10&CDS=1-2004	YEL065W
OG0002585	maker-bow-b_s586-augustus-gene-0.173-mRNA-1_1&gene=maker-bow-b_s586-augustus-gene-0.173&CDS=1-2055	YCR024C
OG0002586	genemark-bow-b_s586-processed-gene-0.62-mRNA-1_1&gene=genemark-bow-b_s586-processed-gene-0.62&CDS=1-918	YFR025C
OG0002587	augustus_masked-bow-b_s586-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.44&CDS=1-2061	YHR020W
OG0002588	augustus_masked-bow-b_s586-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.12&CDS=1-2925	YHR018C
OG0002589	augustus_masked-bow-b_s586-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.14&CDS=1-2046	YGR145W
OG0002590	augustus_masked-bow-b_s586-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.45&CDS=1-696	YGL037C
OG0002591	augustus_masked-bow-b_s586-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.46&CDS=1-1101	YGL038C
OG0002592	augustus_masked-bow-b_s586-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.47&CDS=1-1845	YOR204W
OG0002593	augustus_masked-bow-b_s586-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.49&CDS=1-1668	YEL042W
OG0002594	snap_masked-bow-b_s586-processed-gene-0.126-mRNA-1_1&gene=snap_masked-bow-b_s586-processed-gene-0.126&CDS=1-2148	YDR217C
OG0002595	augustus_masked-bow-b_s586-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bow-b_s586-processed-gene-0.50&CDS=1-1434	YLR142W
OG0002596	snap_masked-bow-b_s587-processed-gene-0.13-mRNA-1_1&gene=snap_masked-bow-b_s587-processed-gene-0.13&CDS=1-3201	YBL060W
OG0002597	augustus_masked-bow-b_s587-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_s587-processed-gene-0.8&CDS=1-621	YER094C
OG0002598	augustus_masked-bow-b_s587-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s587-processed-gene-0.12&CDS=1-285	YBL059C-A
OG0002599	augustus_masked-bow-b_s587-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bow-b_s587-processed-gene-0.9&CDS=1-1191	YER178W
OG0002600	genemark-bow-b_s587-processed-gene-0.3-mRNA-1_1&gene=genemark-bow-b_s587-processed-gene-0.3&CDS=1-6324	YER172C
OG0002601	maker-bow-b_s6-snap-gene-0.3-mRNA-1_1&gene=maker-bow-b_s6-snap-gene-0.3&CDS=1-1422	YAR003W
OG0002602	snap_masked-bow-b_s6-processed-gene-0.63-mRNA-1_1&gene=snap_masked-bow-b_s6-processed-gene-0.63&CDS=1-3738	YAL002W
OG0002603	augustus_masked-bow-b_s6-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.7&CDS=1-2691	YGL008C
OG0002604	snap_masked-bow-b_s6-processed-gene-0.68-mRNA-1_1&gene=snap_masked-bow-b_s6-processed-gene-0.68&CDS=1-1377	YGL012W
OG0002605	augustus_masked-bow-b_s6-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.22&CDS=1-741	YGL011C
OG0002606	genemark-bow-b_s6-processed-gene-0.39-mRNA-1_1&gene=genemark-bow-b_s6-processed-gene-0.39&CDS=1-1323	YGL194C
OG0002607	augustus_masked-bow-b_s6-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.12&CDS=1-1797	YMR036C
OG0002608	augustus_masked-bow-b_s6-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.23&CDS=1-2715	YKR009C
OG0002609	augustus_masked-bow-b_s6-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.13&CDS=1-2388	YBL011W
OG0002610	augustus_masked-bow-b_s6-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.24&CDS=1-2268	YDL164C
OG0002611	augustus_masked-bow-b_s6-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.14&CDS=1-1356	YMR033W
OG0002612	augustus_masked-bow-b_s6-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.16&CDS=1-462	YBL059W
OG0002613	augustus_masked-bow-b_s6-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.32&CDS=1-1803	YKL062W
OG0002614	augustus_masked-bow-b_s6-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s6-processed-gene-0.33&CDS=1-1260	YMR034C
OG0002615	augustus_masked-bow-b_s606-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.34&CDS=1-669	YJR123W
OG0002616	augustus_masked-bow-b_s606-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.55&CDS=1-1872	YNL125C
OG0002617	augustus_masked-bow-b_s606-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.35&CDS=1-1284	YPR173C
OG0002618	augustus_masked-bow-b_s606-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.57&CDS=1-324	YPR182W
OG0002619	augustus_masked-bow-b_s606-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.36&CDS=1-1278	YLR459W
OG0002620	augustus_masked-bow-b_s606-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.37&CDS=1-1119	YPR191W
OG0002621	augustus_masked-bow-b_s606-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.38&CDS=1-468	YPR187W
OG0002622	augustus_masked-bow-b_s606-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.59&CDS=1-648	YHR128W
OG0002623	augustus_masked-bow-b_s606-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.60&CDS=1-441	YNL147W
OG0002624	augustus_masked-bow-b_s606-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.40&CDS=1-717	YNL148C
OG0002625	augustus_masked-bow-b_s606-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.41&CDS=1-393	YNL149C
OG0002626	augustus_masked-bow-b_s606-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.42&CDS=1-1539	YPR137W
OG0002627	augustus_masked-bow-b_s606-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.61&CDS=1-645	YNL151C
OG0002628	augustus_masked-bow-b_s606-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.43&CDS=1-1533	YNL152W
OG0002629	augustus_masked-bow-b_s606-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.44&CDS=1-654	YJL097W
OG0002630	augustus_masked-bow-b_s606-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.45&CDS=1-552	YKR085C
OG0002631	augustus_masked-bow-b_s606-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.62&CDS=1-1911	YIL144W
OG0002632	augustus_masked-bow-b_s606-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s606-processed-gene-0.47&CDS=1-1128	YKR071C
