	Lachancea_thermotolerans	Saccharomyces_cerevisiae
OG0002868	augustus_masked-CU928170-processed-gene-15.176-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.176&CDS=1-783	YPR167C
OG0002869	augustus_masked-CU928170-processed-gene-15.177-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.177&CDS=1-1764	YOL123W
OG0002870	augustus_masked-CU928170-processed-gene-15.149-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.149&CDS=1-1311	YOL124C
OG0002871	augustus_masked-CU928170-processed-gene-15.178-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.178&CDS=1-1344	YNL304W
OG0002872	augustus_masked-CU928170-processed-gene-15.179-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.179&CDS=1-1602	YOL125W
OG0002873	augustus_masked-CU928170-processed-gene-15.150-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.150&CDS=1-1185	YOL126C
OG0002874	augustus_masked-CU928170-processed-gene-15.151-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.151&CDS=1-954	YNL305C
OG0002875	maker-CU928170-augustus-gene-15.70-mRNA-1_1&gene=maker-CU928170-augustus-gene-15.70&CDS=1-513	YOL127W
OG0002876	augustus_masked-CU928170-processed-gene-15.181-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.181&CDS=1-621	YNL306W
OG0002877	augustus_masked-CU928170-processed-gene-15.152-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.152&CDS=1-1089	YNL307C
OG0002878	augustus_masked-CU928170-processed-gene-15.182-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.182&CDS=1-528	YOL129W
OG0002879	augustus_masked-CU928170-processed-gene-15.153-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.153&CDS=1-1686	YNL308C
OG0002880	augustus_masked-CU928170-processed-gene-15.184-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.184&CDS=1-951	YNL309W
OG0002881	augustus_masked-CU928170-processed-gene-15.154-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.154&CDS=1-453	YNL310C
OG0002882	augustus_masked-CU928170-processed-gene-15.155-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.155&CDS=1-2187	YNL311C
OG0002883	maker-CU928170-augustus-gene-15.71-mRNA-1_1&gene=maker-CU928170-augustus-gene-15.71&CDS=1-2211	YOL132W
OG0002884	augustus_masked-CU928170-processed-gene-15.156-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.156&CDS=1-2712	YNL313C
OG0002885	augustus_masked-CU928170-processed-gene-15.186-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.186&CDS=1-792	YNL314W
OG0002886	augustus_masked-CU928170-processed-gene-15.157-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.157&CDS=1-1920	YNL315C
OG0002887	augustus_masked-CU928170-processed-gene-15.187-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.187&CDS=1-330	YOL133W
OG0002888	snap_masked-CU928170-processed-gene-15.21-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-15.21&CDS=1-660	YOL135C
OG0002889	snap_masked-CU928170-processed-gene-15.22-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-15.22&CDS=1-1485	YOL136C
OG0002890	genemark-CU928170-processed-gene-15.130-mRNA-1_1&gene=genemark-CU928170-processed-gene-15.130&CDS=1-1353	YNL317W
OG0002891	genemark-CU928170-processed-gene-15.131-mRNA-1_1&gene=genemark-CU928170-processed-gene-15.131&CDS=1-1374	YOL137W
OG0002892	augustus_masked-CU928170-processed-gene-15.159-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.159&CDS=1-3681	YOL138C
OG0002893	augustus_masked-CU928170-processed-gene-15.189-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.189&CDS=1-843	YNL320W
OG0002894	augustus_masked-CU928170-processed-gene-15.160-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.160&CDS=1-627	YOL139C
OG0002895	augustus_masked-CU928170-processed-gene-15.190-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.190&CDS=1-2406	YNL321W
OG0002896	augustus_masked-CU928170-processed-gene-15.161-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.161&CDS=1-792	YNL322C
OG0002897	augustus_masked-CU928170-processed-gene-15.191-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.191&CDS=1-1272	YOL140W
OG0002898	augustus_masked-CU928170-processed-gene-15.192-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.192&CDS=1-1230	YNL323W
OG0002899	augustus_masked-CU928170-processed-gene-15.162-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.162&CDS=1-1518	YGR197C
OG0002900	augustus_masked-CU928170-processed-gene-15.193-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.193&CDS=1-2097	YOL141W
OG0002901	augustus_masked-CU928170-processed-gene-15.163-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.163&CDS=1-2562	YNL325C
OG0002902	augustus_masked-CU928170-processed-gene-15.194-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.194&CDS=1-708	YOL142W
OG0002903	augustus_masked-CU928170-processed-gene-15.164-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.164&CDS=1-903	YNL326C
OG0002904	augustus_masked-CU928170-processed-gene-15.195-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.195&CDS=1-3000	YNL327W
OG0002905	genemark-CU928170-processed-gene-15.104-mRNA-1_1&gene=genemark-CU928170-processed-gene-15.104&CDS=1-435	YNL328C
OG0002906	augustus_masked-CU928170-processed-gene-15.165-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.165&CDS=1-3120	YNL329C
OG0002907	augustus_masked-CU928170-processed-gene-15.166-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.166&CDS=1-1296	YNL330C
OG0002908	augustus_masked-CU928170-processed-gene-15.167-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.167&CDS=1-498	YOL143C
OG0002909	augustus_masked-CU928170-processed-gene-15.196-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.196&CDS=1-1380	YOL144W
OG0002910	augustus_masked-CU928170-processed-gene-15.168-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.168&CDS=1-3243	YOL145C
OG0002911	augustus_masked-CU928170-processed-gene-15.197-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.197&CDS=1-546	YOL146W
OG0002912	augustus_masked-CU928170-processed-gene-15.169-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.169&CDS=1-2412	YOL147C
OG0002913	augustus_masked-CU928170-processed-gene-15.198-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-15.198&CDS=1-612	YOL149W
OG0002914	maker-CU928171-snap-gene-0.46-mRNA-1_1&gene=maker-CU928171-snap-gene-0.46&CDS=1-876	YLL056C
OG0002915	augustus_masked-CU928171-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.75&CDS=1-1704	YLL058W
OG0002916	augustus_masked-CU928171-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.76&CDS=1-795	YFR052W
OG0002917	augustus_masked-CU928171-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.77&CDS=1-1743	YGL252C
OG0002918	snap_masked-CU928171-processed-gene-0.10-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-0.10&CDS=1-1170	YGL250W
OG0002919	augustus_masked-CU928171-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.55&CDS=1-1611	YFR051C
OG0002920	augustus_masked-CU928171-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.56&CDS=1-795	YFR050C
OG0002921	augustus_masked-CU928171-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.57&CDS=1-936	YGL248W
OG0002922	augustus_masked-CU928171-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.78&CDS=1-378	YFR049W
OG0002923	maker-CU928171-augustus-gene-0.48-mRNA-1_1&gene=maker-CU928171-augustus-gene-0.48&CDS=1-1452	YDL124W
OG0002924	augustus_masked-CU928171-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.79&CDS=1-1149	YGL246C
OG0002925	augustus_masked-CU928171-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.59&CDS=1-2112	YGL245W
OG0002926	augustus_masked-CU928171-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.80&CDS=1-1845	YFR048W
OG0002927	augustus_masked-CU928171-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.60&CDS=1-1683	YGL244W
OG0002928	augustus_masked-CU928171-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.61&CDS=1-1155	YGL243W
OG0002929	augustus_masked-CU928171-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.81&CDS=1-513	YGL242C
OG0002930	snap_masked-CU928171-processed-gene-0.19-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-0.19&CDS=1-3030	YGL241W
OG0002931	augustus_masked-CU928171-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.63&CDS=1-885	YFR047C
OG0002932	augustus_masked-CU928171-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.64&CDS=1-726	YGL240W
OG0002933	augustus_masked-CU928171-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.65&CDS=1-2877	YGL238W
OG0002934	maker-CU928171-snap-gene-0.47-mRNA-1_1&gene=maker-CU928171-snap-gene-0.47&CDS=1-2514	YGL236C
OG0002935	augustus_masked-CU928171-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.67&CDS=1-2385	YGL234W
OG0002936	augustus_masked-CU928171-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.84&CDS=1-1035	YFR045W
OG0002937	augustus_masked-CU928171-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.68&CDS=1-1449	YFR044C
OG0002938	augustus_masked-CU928171-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.69&CDS=1-2628	YGL233W
OG0002939	augustus_masked-CU928171-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.70&CDS=1-852	YGL232W
OG0002940	genemark-CU928171-processed-gene-0.128-mRNA-1_1&gene=genemark-CU928171-processed-gene-0.128&CDS=1-543	YGL231C
OG0002941	augustus_masked-CU928171-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.71&CDS=1-753	YFR043C
OG0002942	augustus_masked-CU928171-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.86&CDS=1-651	YFR042W
OG0002943	augustus_masked-CU928171-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.72&CDS=1-882	YFR041C
OG0002944	augustus_masked-CU928171-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.87&CDS=1-2400	YFR040W
OG0002945	augustus_masked-CU928171-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.73&CDS=1-2019	YGL228W
OG0002946	augustus_masked-CU928171-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-0.74&CDS=1-1347	YER043C
OG0002947	augustus_masked-CU928171-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.0&CDS=1-2457	YGL227W
OG0002948	snap_masked-CU928171-processed-gene-1.103-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-1.103&CDS=1-279	YGL226C-A
OG0002949	augustus_masked-CU928171-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.1&CDS=1-447	YGL226W
OG0002950	augustus_masked-CU928171-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.4&CDS=1-552	YER042W
OG0002951	augustus_masked-CU928171-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.5&CDS=1-2025	YER041W
OG0002952	augustus_masked-CU928171-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.6&CDS=1-2232	YER040W
OG0002953	snap_masked-CU928171-processed-gene-1.101-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-1.101&CDS=1-1005	YGL225W
OG0002954	snap_masked-CU928171-processed-gene-1.102-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-1.102&CDS=1-1197	YER038C
OG0002955	augustus_masked-CU928171-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.24&CDS=1-843	YGL224C
OG0002956	augustus_masked-CU928171-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.25&CDS=1-1674	YGL223C
OG0002957	augustus_masked-CU928171-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.7&CDS=1-1821	YER036C
OG0002958	augustus_masked-CU928171-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.26&CDS=1-1065	YGL222C
OG0002959	augustus_masked-CU928171-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.27&CDS=1-531	YER034W
OG0002960	augustus_masked-CU928171-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.28&CDS=1-855	YGL221C
OG0002961	snap_masked-CU928171-processed-gene-1.108-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-1.108&CDS=1-255	YGL220W
OG0002962	augustus_masked-CU928171-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.29&CDS=1-1626	YGL219C
OG0002963	augustus_masked-CU928171-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.8&CDS=1-2457	YGL216W
OG0002964	augustus_masked-CU928171-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.9&CDS=1-1209	YGL215W
OG0002965	augustus_masked-CU928171-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.31&CDS=1-1125	YGL213C
OG0002966	augustus_masked-CU928171-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.10&CDS=1-1047	YGL212W
OG0002967	augustus_masked-CU928171-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.11&CDS=1-1119	YGL211W
OG0002968	augustus_masked-CU928171-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.12&CDS=1-2535	YER033C
OG0002969	augustus_masked-CU928171-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.32&CDS=1-2751	YER032W
OG0002970	augustus_masked-CU928171-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.13&CDS=1-654	YGL210W
OG0002971	augustus_masked-CU928171-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.33&CDS=1-438	YER030W
OG0002972	genemark-CU928171-processed-gene-1.58-mRNA-1_1&gene=genemark-CU928171-processed-gene-1.58&CDS=1-483	YER029C
OG0002973	genemark-CU928171-processed-gene-1.60-mRNA-1_1&gene=genemark-CU928171-processed-gene-1.60&CDS=1-1221	YER027C
OG0002974	augustus_masked-CU928171-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.16&CDS=1-3096	YGL207W
OG0002975	augustus_masked-CU928171-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.34&CDS=1-4971	YGL206C
OG0002976	augustus_masked-CU928171-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.17&CDS=1-2214	YGL205W
OG0002977	augustus_masked-CU928171-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.18&CDS=1-810	YER026C
OG0002978	augustus_masked-CU928171-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.35&CDS=1-2235	YGL203C
OG0002979	augustus_masked-CU928171-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.36&CDS=1-1626	YKL217W
OG0002980	augustus_masked-CU928171-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.37&CDS=1-2733	YPR160W
OG0002981	augustus_masked-CU928171-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.38&CDS=1-3108	YGL201C
OG0002982	augustus_masked-CU928171-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.39&CDS=1-2127	YPR159W
OG0002983	augustus_masked-CU928171-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.41&CDS=1-1287	YGR142W
OG0002984	augustus_masked-CU928171-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.42&CDS=1-1314	YGR141W
OG0002985	augustus_masked-CU928171-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.43&CDS=1-2454	YGR140W
OG0002986	snap_masked-CU928171-processed-gene-1.124-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-1.124&CDS=1-2055	YPR155C
OG0002987	genemark-CU928171-processed-gene-1.90-mRNA-1_1&gene=genemark-CU928171-processed-gene-1.90&CDS=1-1167	YGR135W
OG0002988	augustus_masked-CU928171-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-1.23&CDS=1-1371	YPR152C
OG0002989	snap_masked-CU928171-processed-gene-2.93-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.93&CDS=1-3339	YGR134W
OG0002990	augustus_masked-CU928171-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.46&CDS=1-978	YOR142W
OG0002991	augustus_masked-CU928171-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.50&CDS=1-927	YOR143C
OG0002992	augustus_masked-CU928171-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.47&CDS=1-990	YDR392W
OG0002993	snap_masked-CU928171-processed-gene-2.95-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.95&CDS=1-2391	YOR144C
OG0002994	augustus_masked-CU928171-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.69&CDS=1-813	YOR145C
OG0002995	augustus_masked-CU928171-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.52&CDS=1-1779	YOR147W
OG0002996	augustus_masked-CU928171-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.70&CDS=1-654	YOR148C
OG0002997	snap_masked-CU928171-processed-gene-2.97-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.97&CDS=1-2583	YDR394W
OG0002998	augustus_masked-CU928171-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.71&CDS=1-1524	YOR149C
OG0002999	augustus_masked-CU928171-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.55&CDS=1-2850	YDR395W
OG0003000	augustus_masked-CU928171-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.72&CDS=1-492	YDR397C
OG0003001	augustus_masked-CU928171-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.56&CDS=1-1905	YDR398W
OG0003002	augustus_masked-CU928171-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.57&CDS=1-642	YDR399W
OG0003003	augustus_masked-CU928171-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.73&CDS=1-1407	YKL221W
OG0003004	snap_masked-CU928171-processed-gene-2.101-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.101&CDS=1-1029	YDR400W
OG0003005	augustus_masked-CU928171-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.74&CDS=1-1518	YDR402C
OG0003006	augustus_masked-CU928171-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.59&CDS=1-1554	YDR403W
OG0003007	augustus_masked-CU928171-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.75&CDS=1-513	YDR404C
OG0003008	augustus_masked-CU928171-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.60&CDS=1-480	YOR150W
OG0003009	augustus_masked-CU928171-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.76&CDS=1-3660	YOR151C
OG0003010	augustus_masked-CU928171-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.61&CDS=1-747	YDR405W
OG0003011	snap_masked-CU928171-processed-gene-2.120-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.120&CDS=1-1296	YOR155C
OG0003012	augustus_masked-CU928171-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.62&CDS=1-1602	YOR161C
OG0003013	augustus_masked-CU928171-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.78&CDS=1-2898	YOR160W
OG0003014	augustus_masked-CU928171-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.63&CDS=1-282	YOR159C
OG0003015	genemark-CU928171-processed-gene-2.32-mRNA-1_1&gene=genemark-CU928171-processed-gene-2.32&CDS=1-912	YOR158W
OG0003016	snap_masked-CU928171-processed-gene-2.123-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.123&CDS=1-3657	YDR407C
OG0003017	augustus_masked-CU928171-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.64&CDS=1-789	YOR157C
OG0003018	augustus_masked-CU928171-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.80&CDS=1-663	YDR408C
OG0003019	augustus_masked-CU928171-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.65&CDS=1-2646	YOR156C
OG0003020	maker-CU928171-augustus-gene-2.141-mRNA-1_1&gene=maker-CU928171-augustus-gene-2.141&CDS=1-3552	YML042W
OG0003021	snap_masked-CU928171-processed-gene-2.128-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.128&CDS=1-936	YDR411C
OG0003022	augustus_masked-CU928171-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.66&CDS=1-699	YDR412W
OG0003023	snap_masked-CU928171-processed-gene-2.129-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.129&CDS=1-723	YDR414C
OG0003024	augustus_masked-CU928171-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.67&CDS=1-1152	YEL050C
OG0003025	augustus_masked-CU928171-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.85&CDS=1-828	YEL051W
OG0003026	snap_masked-CU928171-processed-gene-2.110-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-2.110&CDS=1-2448	YDR416W
OG0003027	augustus_masked-CU928171-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.86&CDS=1-1863	YDR419W
OG0003028	augustus_masked-CU928171-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-2.89&CDS=1-2289	YEL053C
OG0003029	augustus_masked-CU928171-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.107&CDS=1-1413	YEL052W
OG0003030	augustus_masked-CU928171-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.109&CDS=1-2571	YDR421W
OG0003031	augustus_masked-CU928171-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.110&CDS=1-1893	YML006C
OG0003032	augustus_masked-CU928171-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.111&CDS=1-2100	YDR422C
OG0003033	augustus_masked-CU928171-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.134&CDS=1-1707	YML007W
OG0003034	augustus_masked-CU928171-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.112&CDS=1-1152	YML008C
OG0003035	snap_masked-CU928171-processed-gene-3.31-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-3.31&CDS=1-252	YDR424C
OG0003036	maker-CU928171-augustus-gene-3.54-mRNA-1_1&gene=maker-CU928171-augustus-gene-3.54&CDS=1-3021	YDR427W
OG0003037	augustus_masked-CU928171-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.135&CDS=1-747	YDR428C
OG0003038	augustus_masked-CU928171-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.136&CDS=1-840	YDR429C
OG0003039	snap_masked-CU928171-processed-gene-3.10-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-3.10&CDS=1-210	YML009C
OG0003040	augustus_masked-CU928171-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.137&CDS=1-3255	YML010W
OG0003041	genemark-CU928171-processed-gene-3.65-mRNA-1_1&gene=genemark-CU928171-processed-gene-3.65&CDS=1-528	YML011C
OG0003042	maker-CU928171-augustus-gene-3.55-mRNA-1_1&gene=maker-CU928171-augustus-gene-3.55&CDS=1-3567	YDR430C
OG0003043	augustus_masked-CU928171-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.117&CDS=1-1104	YDR432W
OG0003044	augustus_masked-CU928171-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.141&CDS=1-1758	YML013W
OG0003045	augustus_masked-CU928171-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.142&CDS=1-828	YML014W
OG0003046	genemark-CU928171-processed-gene-3.67-mRNA-1_1&gene=genemark-CU928171-processed-gene-3.67&CDS=1-1554	YDR434W
OG0003047	augustus_masked-CU928171-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.119&CDS=1-1065	YML015C
OG0003048	augustus_masked-CU928171-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.143&CDS=1-993	YDR435C
OG0003049	augustus_masked-CU928171-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.121&CDS=1-438	YDR437W
OG0003050	augustus_masked-CU928171-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.144&CDS=1-1506	YML017W
OG0003051	augustus_masked-CU928171-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.122&CDS=1-1224	YML018C
