	Saccharomyces_cerevisiae	yHMPu5000035040_Ambrosiozyma_maleeae
OG0002337	YLR262C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.134&CDS=1-612
OG0002338	YLR262C-A	snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.94&CDS=1-192
OG0002339	YLR268W	maker-NODE_10_length_550745_cov_39.138_ID_19-augustus-gene-2.123-mRNA-1_1&gene=maker-NODE_10_length_550745_cov_39.138_ID_19-augustus-gene-2.123&CDS=1-642
OG0002340	YLR272C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.18&CDS=1-3477
OG0002341	YLR274W	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.51&CDS=1-2193
OG0002342	YLR275W	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.84&CDS=1-360
OG0002343	YLR276C	augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-2.143&CDS=1-1686
OG0002344	YLR277C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.118&CDS=1-2214
OG0002345	YLR278C	maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-0.1&CDS=1-3063
OG0002346	YLR281C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.80&CDS=1-444
OG0002347	YLR283W	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.70&CDS=1-1092
OG0002348	YLR285W	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.73&CDS=1-792
OG0002349	YLR286C	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-1.74&CDS=1-2007
OG0002350	YLR287C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.135&CDS=1-1143
OG0002351	YLR288C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.58&CDS=1-960
OG0002352	YLR289W	augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_22_length_207061_cov_43.0719_ID_43-processed-gene-0.83&CDS=1-1953
OG0002353	YLR290C	maker-NODE_7_length_668977_cov_43.4603_ID_13-augustus-gene-5.81-mRNA-1_1&gene=maker-NODE_7_length_668977_cov_43.4603_ID_13-augustus-gene-5.81&CDS=1-840
OG0002354	YLR291C	maker-NODE_18_length_260039_cov_39.3695_ID_35-snap-gene-1.78-mRNA-1_1&gene=maker-NODE_18_length_260039_cov_39.3695_ID_35-snap-gene-1.78&CDS=1-1107
OG0002355	YLR298C	snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-7.168-mRNA-1_1&gene=snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-7.168&CDS=1-636
OG0002356	YLR299W	snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-1.14&CDS=1-1530
OG0002357	YLR301W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-0.100&CDS=1-819
OG0002358	YLR303W	maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-1.38-mRNA-1_1&gene=maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-1.38&CDS=1-1338
OG0002359	YLR305C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-1.83&CDS=1-5589
OG0002360	YLR306W	snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.12-mRNA-1_1&gene=snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.12&CDS=1-531
OG0002361	YLR307W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.87&CDS=1-921
OG0002362	YLR309C	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.37&CDS=1-3369
OG0002363	YLR312W-A	augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-1.2&CDS=1-669
OG0002364	YLR314C	snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-7.148-mRNA-1_1&gene=snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-7.148&CDS=1-1359
OG0002365	YLR316C	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.114&CDS=1-1008
OG0002366	YLR318W	snap_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.10&CDS=1-2496
OG0002367	YLR319C	genemark-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.75-mRNA-1_1&gene=genemark-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.75&CDS=1-2049
OG0002368	YLR321C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-0.55&CDS=1-1224
OG0002369	YLR323C	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.149&CDS=1-597
OG0002370	YLR324W	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-3.130&CDS=1-1584
OG0002371	YLR325C	maker-NODE_11_length_412070_cov_44.6161_ID_21-snap-gene-3.1-mRNA-1_1&gene=maker-NODE_11_length_412070_cov_44.6161_ID_21-snap-gene-3.1&CDS=1-234
OG0002372	YLR326W	snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-1.6&CDS=1-627
OG0002373	YLR330W	augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.11&CDS=1-1539
OG0002374	YLR336C	augustus_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.117&CDS=1-3702
OG0002375	YLR337C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.35&CDS=1-2622
OG0002376	YLR340W	augustus_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.116&CDS=1-1200
OG0002377	YLR345W	augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.19&CDS=1-1494
OG0002378	YLR348C	snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.59&CDS=1-870
OG0002379	YLR351C	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.120&CDS=1-1746
OG0002380	YLR352W	maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-11.124-mRNA-1_1&gene=maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-11.124&CDS=1-2559
OG0002381	YLR354C	augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.191-mRNA-1_1&gene=augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.191&CDS=1-969
OG0002382	YLR355C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-3.105&CDS=1-1179
OG0002383	YLR359W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-0.109&CDS=1-1443
OG0002384	YLR361C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-4.86&CDS=1-1956
OG0002385	YLR363C	snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.131-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.131&CDS=1-1173
OG0002386	YLR363W-A	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-5.77&CDS=1-273
OG0002387	YLR364W	augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.199-mRNA-1_1&gene=augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.199&CDS=1-315
OG0002388	YLR370C	snap_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-1.116-mRNA-1_1&gene=snap_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-1.116&CDS=1-534
OG0002389	YLR372W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.74&CDS=1-978
OG0002390	YLR377C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-4.96&CDS=1-1011
OG0002391	YLR382C	augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.48&CDS=1-2649
OG0002392	YLR383W	snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.28&CDS=1-3297
OG0002393	YLR384C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.74&CDS=1-4101
OG0002394	YLR386W	maker-NODE_4_length_788429_cov_41.9372_ID_7-snap-gene-4.154-mRNA-1_1&gene=maker-NODE_4_length_788429_cov_41.9372_ID_7-snap-gene-4.154&CDS=1-3213
OG0002395	YLR389C	augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.21&CDS=1-3330
OG0002396	YLR390W-A	maker-NODE_20_length_229787_cov_48.6478_ID_39-snap-gene-0.116-mRNA-1_1&gene=maker-NODE_20_length_229787_cov_48.6478_ID_39-snap-gene-0.116&CDS=1-1269
OG0002397	YLR393W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.28&CDS=1-915
OG0002398	YLR395C	snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.120-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.120&CDS=1-228
OG0002399	YLR396C	snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.104-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-9.104&CDS=1-2262
OG0002400	YLR397C	maker-NODE_4_length_788429_cov_41.9372_ID_7-augustus-gene-4.50-mRNA-1_1&gene=maker-NODE_4_length_788429_cov_41.9372_ID_7-augustus-gene-4.50&CDS=1-2550
OG0002401	YLR398C	snap_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.106&CDS=1-3852
OG0002402	YLR399C	snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.14&CDS=1-1701
OG0002403	YLR401C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.187-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.187&CDS=1-1896
OG0002404	YLR403W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.159-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.159&CDS=1-1614
OG0002405	YLR405W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.161-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.161&CDS=1-1047
OG0002406	YLR407W	maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-12.1-mRNA-1_1&gene=maker-NODE_2_length_1346259_cov_39.2016_ID_3-snap-gene-12.1&CDS=1-717
OG0002407	YLR409C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.191-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.191&CDS=1-2844
OG0002408	YLR410W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.164-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.164&CDS=1-3327
OG0002409	YLR411W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-3.66&CDS=1-699
OG0002410	YLR412W	snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-0.27&CDS=1-861
OG0002411	YLR414C	snap_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.185-mRNA-1_1&gene=snap_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.185&CDS=1-837
OG0002412	YLR418C	augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.160-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.160&CDS=1-1194
OG0002413	YLR419W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.114&CDS=1-6411
OG0002414	YLR420W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.197-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.197&CDS=1-1104
OG0002415	YLR421C	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.245-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.245&CDS=1-405
OG0002416	YLR422W	augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-1.37&CDS=1-5841
OG0002417	YLR423C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.61&CDS=1-1302
OG0002418	YLR424W	snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-2.32&CDS=1-2343
OG0002419	YLR427W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.8&CDS=1-2043
OG0002420	YLR429W	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.57&CDS=1-1962
OG0002421	YLR430W	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-3.74&CDS=1-6381
OG0002422	YLR435W	augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-1.38&CDS=1-618
OG0002423	YLR438C-A	maker-NODE_6_length_707688_cov_38.2434_ID_11-augustus-gene-5.82-mRNA-1_1&gene=maker-NODE_6_length_707688_cov_38.2434_ID_11-augustus-gene-5.82&CDS=1-282
OG0002424	YLR438W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.199-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.199&CDS=1-1326
OG0002425	YLR439W	genemark-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.111-mRNA-1_1&gene=genemark-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.111&CDS=1-882
OG0002426	YLR441C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.104&CDS=1-768
OG0002427	YLR443W	snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.40-mRNA-1_1&gene=snap_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.40&CDS=1-1476
OG0002428	YLR447C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-13.94&CDS=1-1059
OG0002429	YLR451W	maker-NODE_7_length_668977_cov_43.4603_ID_13-snap-gene-2.71-mRNA-1_1&gene=maker-NODE_7_length_668977_cov_43.4603_ID_13-snap-gene-2.71&CDS=1-2730
OG0002430	YLR452C	snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.42&CDS=1-2040
OG0002431	YLR459W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.96&CDS=1-1212
OG0002432	YML001W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-3.83&CDS=1-621
OG0002433	YML002W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.73&CDS=1-3891
OG0002434	YML004C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-9.93&CDS=1-924
OG0002435	YML005W	augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.134&CDS=1-1311
OG0002436	YML007W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.16&CDS=1-1539
OG0002437	YML008C	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-1.133&CDS=1-1134
OG0002438	YML009C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.24&CDS=1-228
OG0002439	YML010W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.23&CDS=1-2913
OG0002440	YML012W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.22&CDS=1-657
OG0002441	YML014W	augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.73&CDS=1-864
OG0002442	YML015C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-7.80&CDS=1-960
OG0002443	YML018C	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.203-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.203&CDS=1-1125
OG0002444	YML020W	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-2.57&CDS=1-1893
OG0002445	YML021C	maker-NODE_3_length_819385_cov_40.0357_ID_5-snap-gene-2.50-mRNA-1_1&gene=maker-NODE_3_length_819385_cov_40.0357_ID_5-snap-gene-2.50&CDS=1-2709
OG0002446	YML022W	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-2.80&CDS=1-570
OG0002447	YML025C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.54&CDS=1-882
OG0002448	YML031W	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.90&CDS=1-1992
OG0002449	YML032C	augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.69&CDS=1-1401
OG0002450	YML035C	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.92&CDS=1-2484
OG0002451	YML036W	augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.121&CDS=1-561
OG0002452	YML038C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.28&CDS=1-2238
OG0002453	YML042W	augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-0.98&CDS=1-1842
OG0002454	YML043C	snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.92&CDS=1-2349
OG0002455	YML046W	augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_21_length_217050_cov_48.8671_ID_41-processed-gene-1.26&CDS=1-2010
OG0002456	YML048W	augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.207-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.207&CDS=1-1083
OG0002457	YML049C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-0.98&CDS=1-3660
OG0002458	YML055W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.43-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-10.43&CDS=1-513
