	Naumovozyma_castellii	Saccharomyces_cerevisiae
OG0002908	augustus_masked-HE576756-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.32&CDS=1-2868	YOR335C
OG0002909	augustus_masked-HE576756-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.15&CDS=1-3876	YOR336W
OG0002910	augustus_masked-HE576756-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.16&CDS=1-2154	YOR337W
OG0002911	augustus_masked-HE576756-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.33&CDS=1-939	YOR340C
OG0002912	augustus_masked-HE576756-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.34&CDS=1-2949	YAL035W
OG0002913	snap_masked-HE576756-processed-gene-4.78-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-4.78&CDS=1-876	YOR342C
OG0002914	augustus_masked-HE576756-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.18&CDS=1-2622	YOR346W
OG0002915	augustus_masked-HE576756-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.19&CDS=1-1605	YBL099W
OG0002916	augustus_masked-HE576756-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.20&CDS=1-2322	YBL097W
OG0002917	augustus_masked-HE576756-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.21&CDS=1-753	YBL095W
OG0002918	augustus_masked-HE576756-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.38&CDS=1-642	YBL093C
OG0002919	augustus_masked-HE576756-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.23&CDS=1-1485	YER119C
OG0002920	genemark-HE576756-processed-gene-5.102-mRNA-1_1&gene=genemark-HE576756-processed-gene-5.102&CDS=1-7662	YBL088C
OG0002921	augustus_masked-HE576756-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.10&CDS=1-1419	YBL086C
OG0002922	maker-HE576756-snap-gene-5.151-mRNA-1_1&gene=maker-HE576756-snap-gene-5.151&CDS=1-2076	YBL084C
OG0002923	genemark-HE576756-processed-gene-5.101-mRNA-1_1&gene=genemark-HE576756-processed-gene-5.101&CDS=1-3300	YBL082C
OG0002924	augustus_masked-HE576756-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.12&CDS=1-1242	YBL081W
OG0002925	augustus_masked-HE576756-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.26&CDS=1-1653	YBL080C
OG0002926	augustus_masked-HE576756-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.13&CDS=1-4329	YBL079W
OG0002927	augustus_masked-HE576756-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.27&CDS=1-357	YBL078C
OG0002928	maker-HE576756-augustus-gene-5.3-mRNA-1_1&gene=maker-HE576756-augustus-gene-5.3&CDS=1-5133	YBL076C
OG0002929	maker-HE576756-augustus-gene-5.4-mRNA-1_1&gene=maker-HE576756-augustus-gene-5.4&CDS=1-3918	YBL066C
OG0002930	augustus_masked-HE576756-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.14&CDS=1-3243	YBL063W
OG0002931	augustus_masked-HE576756-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.33&CDS=1-2040	YBL061C
OG0002932	augustus_masked-HE576756-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.15&CDS=1-2016	YBL060W
OG0002933	augustus_masked-HE576756-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.34&CDS=1-336	YBL059C-A
OG0002934	maker-HE576756-snap-gene-5.149-mRNA-1_1&gene=maker-HE576756-snap-gene-5.149&CDS=1-288	YER093C-A
OG0002935	augustus_masked-HE576756-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.16&CDS=1-1194	YBL058W
OG0002936	snap_masked-HE576756-processed-gene-5.83-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-5.83&CDS=1-663	YBL057C
OG0002937	augustus_masked-HE576756-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.36&CDS=1-1137	YBL055C
OG0002938	augustus_masked-HE576756-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.37&CDS=1-2154	YBL052C
OG0002939	snap_masked-HE576756-processed-gene-5.63-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-5.63&CDS=1-240	YER087C-B
OG0002940	augustus_masked-HE576756-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.20&CDS=1-1713	YLR190W
OG0002941	augustus_masked-HE576756-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.21&CDS=1-1137	YLR191W
OG0002942	augustus_masked-HE576756-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.39&CDS=1-810	YLR192C
OG0002943	augustus_masked-HE576756-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.40&CDS=1-1401	YLR193C
OG0002944	augustus_masked-HE576756-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.41&CDS=1-1371	YLR195C
OG0002945	augustus_masked-HE576756-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.22&CDS=1-1740	YLR196W
OG0002946	augustus_masked-HE576756-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.42&CDS=1-843	YLR199C
OG0002947	augustus_masked-HE576756-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.23&CDS=1-315	YLR200W
OG0002948	augustus_masked-HE576756-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.43&CDS=1-783	YLR201C
OG0002949	augustus_masked-HE576756-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.44&CDS=1-1197	YLR203C
OG0002950	augustus_masked-HE576756-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.45&CDS=1-945	YLR205C
OG0002951	snap_masked-HE576756-processed-gene-5.70-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-5.70&CDS=1-411	YER050C
OG0002952	augustus_masked-HE576756-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.46&CDS=1-1896	YER049W
OG0002953	augustus_masked-HE576756-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.47&CDS=1-285	YER048W-A
OG0002954	augustus_masked-HE576756-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-5.25&CDS=1-1161	YER048C
OG0002955	augustus_masked-HE576756-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.0&CDS=1-2874	YBL101C
OG0002956	augustus_masked-HE576756-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.4&CDS=1-639	YBL102W
OG0002957	augustus_masked-HE576756-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.1&CDS=1-1380	YBL103C
OG0002958	genemark-HE576756-processed-gene-6.104-mRNA-1_1&gene=genemark-HE576756-processed-gene-6.104&CDS=1-6216	YBL105C
OG0002959	genemark-HE576756-processed-gene-6.106-mRNA-1_1&gene=genemark-HE576756-processed-gene-6.106&CDS=1-3102	YPR032W
OG0002960	augustus_masked-HE576756-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.5&CDS=1-591	YBL107C
OG0002961	augustus_masked-HE576756-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.22&CDS=1-1233	YJR080C
OG0002962	augustus_masked-HE576756-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.23&CDS=1-426	YJR082C
OG0002963	augustus_masked-HE576756-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.24&CDS=1-855	YJR083C
OG0002964	augustus_masked-HE576756-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.6&CDS=1-1200	YJR084W
OG0002965	snap_masked-HE576756-processed-gene-6.72-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-6.72&CDS=1-192	YJR085C
OG0002966	augustus_masked-HE576756-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.26&CDS=1-1584	YER052C
OG0002967	augustus_masked-HE576756-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.27&CDS=1-915	YER053C
OG0002968	augustus_masked-HE576756-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.28&CDS=1-1710	YER054C
OG0002969	augustus_masked-HE576756-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.29&CDS=1-891	YER055C
OG0002970	augustus_masked-HE576756-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.7&CDS=1-1344	YER061C
OG0002971	augustus_masked-HE576756-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.36&CDS=1-321	YER058W
OG0002972	augustus_masked-HE576756-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.8&CDS=1-384	YER057C
OG0002973	augustus_masked-HE576756-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.37&CDS=1-2604	YER069W
OG0002974	augustus_masked-HE576756-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.38&CDS=1-963	YIL061C
OG0002975	augustus_masked-HE576756-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.39&CDS=1-1836	YER068W
OG0002976	augustus_masked-HE576756-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.11&CDS=1-1653	YER065C
OG0002977	augustus_masked-HE576756-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.14&CDS=1-459	YIL062C
OG0002978	augustus_masked-HE576756-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.16&CDS=1-2403	YIL068C
OG0002979	snap_masked-HE576756-processed-gene-6.91-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-6.91&CDS=1-384	YER071C
OG0002980	augustus_masked-HE576756-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.17&CDS=1-393	YER072W
OG0002981	maker-HE576756-snap-gene-6.96-mRNA-1_1&gene=maker-HE576756-snap-gene-6.96&CDS=1-1917	YER073W
OG0002982	snap_masked-HE576756-processed-gene-6.92-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-6.92&CDS=1-2562	YER075C
OG0002983	maker-HE576756-augustus-gene-6.101-mRNA-1_1&gene=maker-HE576756-augustus-gene-6.101&CDS=1-3378	YER078C
OG0002984	augustus_masked-HE576756-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.21&CDS=1-1812	YER080W
OG0002985	augustus_masked-HE576756-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.84&CDS=1-2820	YIL075C
OG0002986	augustus_masked-HE576756-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.87&CDS=1-1650	YER082C
OG0002987	augustus_masked-HE576756-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.88&CDS=1-462	YDL125C
OG0002988	snap_masked-HE576756-processed-gene-7.6-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-7.6&CDS=1-2154	YDL176W
OG0002989	genemark-HE576756-processed-gene-7.158-mRNA-1_1&gene=genemark-HE576756-processed-gene-7.158&CDS=1-813	YER083C
OG0002990	snap_masked-HE576756-processed-gene-7.41-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-7.41&CDS=1-1257	YDL128W
OG0002991	snap_masked-HE576756-processed-gene-7.42-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-7.42&CDS=1-1491	YDL180W
OG0002992	maker-HE576756-augustus-gene-7.222-mRNA-1_1&gene=maker-HE576756-augustus-gene-7.222&CDS=1-318	YDL130W
OG0002993	augustus_masked-HE576756-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.90&CDS=1-864	YDL183C
OG0002994	snap_masked-HE576756-processed-gene-7.46-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-7.46&CDS=1-735	YDL186W
OG0002995	augustus_masked-HE576756-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.123&CDS=1-933	YDL189W
OG0002996	augustus_masked-HE576756-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.92&CDS=1-2970	YDL190C
OG0002997	snap_masked-HE576756-processed-gene-7.50-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-7.50&CDS=1-996	YDL193W
OG0002998	augustus_masked-HE576756-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.128&CDS=1-3828	YDL195W
OG0002999	maker-HE576756-snap-gene-7.79-mRNA-1_1&gene=maker-HE576756-snap-gene-7.79&CDS=1-1395	YLR216C
OG0003000	genemark-HE576756-processed-gene-7.165-mRNA-1_1&gene=genemark-HE576756-processed-gene-7.165&CDS=1-630	YDL142C
OG0003001	augustus_masked-HE576756-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.96&CDS=1-2304	YGR245C
OG0003002	augustus_masked-HE576756-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.97&CDS=1-1281	YGR244C
OG0003003	augustus_masked-HE576756-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.130&CDS=1-1119	YLR215C
OG0003004	augustus_masked-HE576756-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.131&CDS=1-1770	YGR246C
OG0003005	augustus_masked-HE576756-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.99&CDS=1-660	YGR247W
OG0003006	augustus_masked-HE576756-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.101&CDS=1-1179	YGR249W
OG0003007	augustus_masked-HE576756-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.132&CDS=1-2151	YGR250C
OG0003008	augustus_masked-HE576756-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.134&CDS=1-1365	YGR252W
OG0003009	augustus_masked-HE576756-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.135&CDS=1-615	YGR251W
OG0003010	genemark-HE576756-processed-gene-7.203-mRNA-1_1&gene=genemark-HE576756-processed-gene-7.203&CDS=1-1311	YHR169W
OG0003011	genemark-HE576756-processed-gene-7.204-mRNA-1_1&gene=genemark-HE576756-processed-gene-7.204&CDS=1-1098	YGR257C
OG0003012	augustus_masked-HE576756-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.138&CDS=1-3000	YGR258C
OG0003013	augustus_masked-HE576756-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.106&CDS=1-1638	YGR260W
OG0003014	genemark-HE576756-processed-gene-7.206-mRNA-1_1&gene=genemark-HE576756-processed-gene-7.206&CDS=1-3336	YGR261C
OG0003015	snap_masked-HE576756-processed-gene-7.65-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-7.65&CDS=1-921	YGR263C
OG0003016	augustus_masked-HE576756-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.107&CDS=1-2118	YGR266W
OG0003017	augustus_masked-HE576756-processed-gene-7.140-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.140&CDS=1-723	YGR267C
OG0003018	augustus_masked-HE576756-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.141&CDS=1-597	YGR268C
OG0003019	augustus_masked-HE576756-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.108&CDS=1-9735	YGR271W
OG0003020	augustus_masked-HE576756-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.142&CDS=1-744	YGR271C-A
OG0003021	augustus_masked-HE576756-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.109&CDS=1-426	YMR298W
OG0003022	snap_masked-HE576756-processed-gene-7.32-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-7.32&CDS=1-813	YGR275W
OG0003023	augustus_masked-HE576756-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.144&CDS=1-1980	YGR276C
OG0003024	augustus_masked-HE576756-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.145&CDS=1-945	YGR277C
OG0003025	augustus_masked-HE576756-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.111&CDS=1-1713	YGR278W
OG0003026	augustus_masked-HE576756-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.147&CDS=1-816	YGR280C
OG0003027	augustus_masked-HE576756-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.112&CDS=1-4518	YGR281W
OG0003028	augustus_masked-HE576756-processed-gene-7.148-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.148&CDS=1-942	YGR282C
OG0003029	augustus_masked-HE576756-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.149&CDS=1-2178	YGR285C
OG0003030	augustus_masked-HE576757-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.83&CDS=1-1833	YJL201W
OG0003031	augustus_masked-HE576757-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.102&CDS=1-2388	YJL200C
OG0003032	augustus_masked-HE576757-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.84&CDS=1-669	YIL161W
OG0003033	augustus_masked-HE576757-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.85&CDS=1-3054	YEL055C
OG0003034	augustus_masked-HE576757-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.103&CDS=1-1233	YEL056W
OG0003035	augustus_masked-HE576757-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.104&CDS=1-1647	YEL058W
OG0003036	augustus_masked-HE576757-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.86&CDS=1-2085	YEL060C
OG0003037	augustus_masked-HE576757-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.105&CDS=1-2433	YOR168W
OG0003038	snap_masked-HE576757-processed-gene-0.45-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-0.45&CDS=1-1251	YOR166C
OG0003039	augustus_masked-HE576757-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.107&CDS=1-2361	YOR165W
OG0003040	augustus_masked-HE576757-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.89&CDS=1-948	YOR164C
OG0003041	augustus_masked-HE576757-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.108&CDS=1-528	YOR163W
OG0003042	augustus_masked-HE576757-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.92&CDS=1-843	YOR174W
OG0003043	augustus_masked-HE576757-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.109&CDS=1-1845	YOR175C
OG0003044	maker-HE576757-snap-gene-0.78-mRNA-1_1&gene=maker-HE576757-snap-gene-0.78&CDS=1-1827	YOR181W
OG0003045	augustus_masked-HE576757-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.96&CDS=1-1185	YOR184W
OG0003046	augustus_masked-HE576757-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.112&CDS=1-1164	YLR291C
OG0003047	augustus_masked-HE576757-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.114&CDS=1-378	YLR295C
OG0003048	augustus_masked-HE576757-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.97&CDS=1-1308	YOR187W
OG0003049	snap_masked-HE576757-processed-gene-0.57-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-0.57&CDS=1-3342	YOR188W
OG0003050	snap_masked-HE576757-processed-gene-0.58-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-0.58&CDS=1-240	YOR189W
OG0003051	augustus_masked-HE576757-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.44&CDS=1-2961	YGR240C
OG0003052	augustus_masked-HE576757-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.46&CDS=1-3258	YHR158C
OG0003053	augustus_masked-HE576757-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.47&CDS=1-2298	YGR237C
OG0003054	snap_masked-HE576757-processed-gene-1.99-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-1.99&CDS=1-681	YGR235C
OG0003055	snap_masked-HE576757-processed-gene-1.119-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-1.119&CDS=1-1194	YGR234W
OG0003056	augustus_masked-HE576757-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.49&CDS=1-3444	YGR233C
OG0003057	augustus_masked-HE576757-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.70&CDS=1-705	YGR232W
OG0003058	augustus_masked-HE576757-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.50&CDS=1-939	YGR231C
OG0003059	augustus_masked-HE576757-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.51&CDS=1-1461	YGR229C
OG0003060	maker-HE576757-augustus-gene-1.0-mRNA-1_1&gene=maker-HE576757-augustus-gene-1.0&CDS=1-3264	YGR227W
OG0003061	augustus_masked-HE576757-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.52&CDS=1-483	YIR037W
OG0003062	augustus_masked-HE576757-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.53&CDS=1-1341	YGR223C
OG0003063	snap_masked-HE576757-processed-gene-1.126-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-1.126&CDS=1-819	YGR222W
OG0003064	augustus_masked-HE576757-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.55&CDS=1-879	YOR344C
OG0003065	augustus_masked-HE576757-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.76&CDS=1-1107	YAL036C
OG0003066	augustus_masked-HE576757-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.77&CDS=1-5022	YOR341W
OG0003067	augustus_masked-HE576757-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.56&CDS=1-852	YAL034W-A
OG0003068	augustus_masked-HE576757-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.79&CDS=1-516	YIR017C
OG0003069	augustus_masked-HE576757-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.58&CDS=1-1761	YIL014W
OG0003070	augustus_masked-HE576757-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.59&CDS=1-741	YIL011W
OG0003071	augustus_masked-HE576757-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.60&CDS=1-693	YIL010W
OG0003072	augustus_masked-HE576757-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.81&CDS=1-2217	YMR078C
OG0003073	augustus_masked-HE576757-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.61&CDS=1-912	YMR079W
OG0003074	augustus_masked-HE576757-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.62&CDS=1-3840	YMR076C
OG0003075	augustus_masked-HE576757-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.82&CDS=1-2226	YMR075W
OG0003076	augustus_masked-HE576757-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.63&CDS=1-423	YMR074C
OG0003077	augustus_masked-HE576757-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.64&CDS=1-567	YMR073C
OG0003078	augustus_masked-HE576757-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.83&CDS=1-558	YMR072W
OG0003079	augustus_masked-HE576757-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-1.65&CDS=1-501	YMR071C
OG0003080	snap_masked-HE576757-processed-gene-1.118-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-1.118&CDS=1-1209	YHR004C
OG0003081	genemark-HE576757-processed-gene-2.5-mRNA-1_1&gene=genemark-HE576757-processed-gene-2.5&CDS=1-1068	YHR002W
OG0003082	augustus_masked-HE576757-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.54&CDS=1-1137	YMR010W
OG0003083	augustus_masked-HE576757-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.55&CDS=1-534	YMR009W
OG0003084	augustus_masked-HE576757-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.56&CDS=1-1143	YOL028C
OG0003085	snap_masked-HE576757-processed-gene-2.104-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-2.104&CDS=1-639	YIR014W
OG0003086	augustus_masked-HE576757-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.57&CDS=1-510	YIR015W
OG0003087	augustus_masked-HE576757-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.58&CDS=1-759	YOL038W
OG0003088	genemark-HE576757-processed-gene-2.13-mRNA-1_1&gene=genemark-HE576757-processed-gene-2.13&CDS=1-495	YAL033W
OG0003089	genemark-HE576757-processed-gene-2.14-mRNA-1_1&gene=genemark-HE576757-processed-gene-2.14&CDS=1-2235	YIR007W
OG0003090	augustus_masked-HE576757-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.78&CDS=1-1260	YIR008C
OG0003091	genemark-HE576757-processed-gene-2.15-mRNA-1_1&gene=genemark-HE576757-processed-gene-2.15&CDS=1-2712	YDR421W
OG0003092	augustus_masked-HE576757-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-2.79&CDS=1-2361	YDR422C
