	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0002873	YMR315W	-processed-gene-11.77-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-11.77&CDS=1-1047
OG0002874	YNL001W	-snap-gene-1.10-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-1.10&CDS=1-2322
OG0002875	YNL002C	-processed-gene-4.18-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.18&CDS=1-849
OG0002876	YNL003C	-processed-gene-30.106-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.106&CDS=1-1929
OG0002877	YNL006W	-processed-gene-4.17-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.17&CDS=1-1005
OG0002878	YNL007C	-processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.16&CDS=1-1038
OG0002879	YNL010W	-processed-gene-9.77-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-9.77&CDS=1-744
OG0002880	YNL011C	-processed-gene-2.54-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-2.54&CDS=1-1458
OG0002881	YNL015W	-processed-gene-10.49-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.49&CDS=1-225
OG0002882	YNL016W	-processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-1.46&CDS=1-1410
OG0002883	YNL021W	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.83&CDS=1-2676
OG0002884	YNL022C	-processed-gene-21.58-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-21.58&CDS=1-1593
OG0002885	YNL023C	-processed-gene-3.82-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.82&CDS=1-3120
OG0002886	YNL024C-A	-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-6.31&CDS=1-213
OG0002887	YNL025C	-processed-gene-1.90-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-1.90&CDS=1-1155
OG0002888	YNL026W	-processed-gene-1.59-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-1.59&CDS=1-1500
OG0002889	YNL027W	-processed-gene-6.8-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-6.8&CDS=1-1320
OG0002890	YNL032W	-processed-gene-6.3-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-6.3&CDS=1-960
OG0002891	YNL035C	-processed-gene-20.41-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-20.41&CDS=1-1224
OG0002892	YNL036W	-processed-gene-2.28-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.28&CDS=1-801
OG0002893	YNL037C	-processed-gene-6.89-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.89&CDS=1-1086
OG0002894	YNL038W	-processed-gene-20.5-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-20.5&CDS=1-654
OG0002895	YNL039W	-processed-gene-20.40-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-20.40&CDS=1-2067
OG0002896	YNL040W	-processed-gene-10.50-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.50&CDS=1-1344
OG0002897	YNL041C	-processed-gene-10.12-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.12&CDS=1-2397
OG0002898	YNL042W	-processed-gene-10.32-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.32&CDS=1-1671
OG0002899	YNL044W	-processed-gene-15.35-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-15.35&CDS=1-519
OG0002900	YNL048W	-processed-gene-10.73-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-10.73&CDS=1-1842
OG0002901	YNL050C	-processed-gene-5.20-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-5.20&CDS=1-801
OG0002902	YNL051W	-processed-gene-5.55-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-5.55&CDS=1-1227
OG0002903	YNL054W	-processed-gene-7.5-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-7.5&CDS=1-3297
OG0002904	YNL055C	-processed-gene-10.53-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-10.53&CDS=1-846
OG0002905	YNL056W	-processed-gene-12.10-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.10&CDS=1-975
OG0002906	YNL059C	-processed-gene-18.90-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.90&CDS=1-2322
OG0002907	YNL061W	-processed-gene-18.93-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.93&CDS=1-1857
OG0002908	YNL062C	-processed-gene-18.91-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.91&CDS=1-1428
OG0002909	YNL070W	-processed-gene-15.86-mRNA-1_1&gene=snap_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.86&CDS=1-192
OG0002910	YNL071W	-processed-gene-15.4-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.4&CDS=1-1410
OG0002911	YNL072W	-processed-gene-15.3-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.3&CDS=1-1080
OG0002912	YNL073W	-processed-gene-15.7-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.7&CDS=1-1707
OG0002913	YNL075W	-processed-gene-5.40-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-5.40&CDS=1-855
OG0002914	YNL080C	-processed-gene-10.95-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-10.95&CDS=1-1287
OG0002915	YNL081C	-processed-gene-10.48-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-10.48&CDS=1-366
OG0002916	YNL082W	-processed-gene-16.79-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.79&CDS=1-2595
OG0002917	YNL083W	-processed-gene-15.75-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.75&CDS=1-1644
OG0002918	YNL084C	-processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-1.71&CDS=1-1146
OG0002919	YNL085W	-processed-gene-9.66-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.66&CDS=1-2433
OG0002920	YNL086W	-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.63&CDS=1-447
OG0002921	YNL088W	-processed-gene-2.69-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-2.69&CDS=1-4428
OG0002922	YNL090W	-processed-gene-7.36-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.36&CDS=1-561
OG0002923	YNL091W	-processed-gene-7.37-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.37&CDS=1-3753
OG0002924	YNL092W	-processed-gene-9.51-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.51&CDS=1-1185
OG0002925	YNL094W	-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-0.52&CDS=1-2091
OG0002926	YNL097C	-processed-gene-11.121-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-11.121&CDS=1-1170
OG0002927	YNL099C	-processed-gene-4.22-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-4.22&CDS=1-726
OG0002928	YNL102W	-processed-gene-13.0-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.0&CDS=1-4377
OG0002929	YNL103W	-processed-gene-7.33-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-7.33&CDS=1-1212
OG0002930	YNL104C	-processed-gene-16.153-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.153&CDS=1-1800
OG0002931	YNL107W	-processed-gene-14.40-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.40&CDS=1-666
OG0002932	YNL110C	-processed-gene-14.71-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.71&CDS=1-1329
OG0002933	YNL111C	-processed-gene-14.30-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.30&CDS=1-381
OG0002934	YNL113W	-processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.82&CDS=1-390
OG0002935	YNL115C	-processed-gene-15.21-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.21&CDS=1-1689
OG0002936	YNL118C	-processed-gene-9.78-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.78&CDS=1-2907
OG0002937	YNL119W	-processed-gene-19.106-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-19.106&CDS=1-1413
OG0002938	YNL122C	-processed-gene-11.5-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.5&CDS=1-270
OG0002939	YNL123W	-processed-gene-11.58-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.58&CDS=1-3000
OG0002940	YNL124W	-processed-gene-18.118-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.118&CDS=1-1929
OG0002941	YNL125C	-processed-gene-15.92-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.92&CDS=1-1824
OG0002942	YNL126W	-processed-gene-21.38-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-21.38&CDS=1-2598
OG0002943	YNL127W	-processed-gene-12.104-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-12.104&CDS=1-2790
OG0002944	YNL128W	-processed-gene-12.105-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-12.105&CDS=1-1122
OG0002945	YNL129W	-processed-gene-17.83-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.83&CDS=1-729
OG0002946	YNL131W	-processed-gene-12.103-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-12.103&CDS=1-438
OG0002947	YNL132W	-processed-gene-17.63-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.63&CDS=1-3144
OG0002948	YNL135C	-processed-gene-12.89-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-12.89&CDS=1-468
OG0002949	YNL136W	-processed-gene-18.15-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.15&CDS=1-1170
OG0002950	YNL137C	-processed-gene-18.14-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.14&CDS=1-2079
OG0002951	YNL138W	-processed-gene-18.92-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.92&CDS=1-1584
OG0002952	YNL138W-A	-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.10&CDS=1-249
OG0002953	YNL139C	-processed-gene-14.10-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-14.10&CDS=1-5238
OG0002954	YNL141W	-processed-gene-17.104-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.104&CDS=1-1065
OG0002955	YNL142W	-processed-gene-0.41-mRNA-1_1&gene=genemark-gi|1002316362|dbj|BCGS01000011.1|-processed-gene-0.41&CDS=1-1527
OG0002956	YNL147W	-processed-gene-15.87-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.87&CDS=1-381
OG0002957	YNL149C	-processed-gene-3.7-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.7&CDS=1-378
OG0002958	YNL151C	-processed-gene-3.22-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.22&CDS=1-693
OG0002959	YNL152W	-processed-gene-3.9-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.9&CDS=1-1566
OG0002960	YNL153C	-processed-gene-2.91-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-2.91&CDS=1-390
OG0002961	YNL155W	-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.55&CDS=1-900
OG0002962	YNL161W	-processed-gene-13.34-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.34&CDS=1-2412
OG0002963	YNL163C	-processed-gene-2.54-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.54&CDS=1-3111
OG0002964	YNL164C	-processed-gene-2.55-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.55&CDS=1-1785
OG0002965	YNL166C	-processed-gene-1.73-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.73&CDS=1-783
OG0002966	YNL167C	-snap-gene-12.1-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-12.1&CDS=1-1791
OG0002967	YNL168C	-processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.30&CDS=1-693
OG0002968	YNL169C	-processed-gene-12.84-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-12.84&CDS=1-1830
OG0002969	YNL172W	-processed-gene-12.83-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-12.83&CDS=1-4638
OG0002970	YNL175C	-processed-gene-3.1-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.1&CDS=1-1281
OG0002971	YNL177C	-snap-gene-9.42-mRNA-1_1&gene=maker-gi|1002316370|dbj|BCGS01000003.1|-snap-gene-9.42&CDS=1-1083
OG0002972	YNL178W	-processed-gene-16.3-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-16.3&CDS=1-741
OG0002973	YNL181W	-processed-gene-5.3-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.3&CDS=1-1410
OG0002974	YNL182C	-processed-gene-5.1-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.1&CDS=1-1557
OG0002975	YNL183C	-processed-gene-5.2-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.2&CDS=1-2628
OG0002976	YNL185C	-processed-gene-5.0-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.0&CDS=1-429
OG0002977	YNL186W	-processed-gene-9.96-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.96&CDS=1-2172
OG0002978	YNL189W	-processed-gene-25.61-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.61&CDS=1-1638
OG0002979	YNL191W	-processed-gene-12.57-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-12.57&CDS=1-1077
OG0002980	YNL193W	-processed-gene-9.42-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.42&CDS=1-1647
OG0002981	YNL200C	-processed-gene-17.27-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.27&CDS=1-750
OG0002982	YNL201C	-processed-gene-17.30-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.30&CDS=1-2880
OG0002983	YNL206C	-processed-gene-15.17-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.17&CDS=1-1572
OG0002984	YNL207W	-processed-gene-9.77-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.77&CDS=1-1329
OG0002985	YNL210W	-processed-gene-9.9-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.9&CDS=1-990
OG0002986	YNL212W	-processed-gene-15.36-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.36&CDS=1-2499
OG0002987	YNL213C	-processed-gene-15.89-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.89&CDS=1-564
OG0002988	YNL216W	-processed-gene-4.20-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-4.20&CDS=1-1938
OG0002989	YNL217W	-processed-gene-10.11-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.11&CDS=1-1200
OG0002990	YNL218W	-processed-gene-9.3-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.3&CDS=1-2424
OG0002991	YNL219C	-processed-gene-4.68-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-4.68&CDS=1-1812
OG0002992	YNL220W	-processed-gene-6.88-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.88&CDS=1-1287
OG0002993	YNL221C	-processed-gene-1.48-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.48&CDS=1-2397
OG0002994	YNL222W	-processed-gene-0.78-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-0.78&CDS=1-591
OG0002995	YNL223W	-processed-gene-0.77-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-0.77&CDS=1-1629
OG0002996	YNL224C	-processed-gene-0.89-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-0.89&CDS=1-2385
OG0002997	YNL227C	-augustus-gene-0.31-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-augustus-gene-0.31&CDS=1-4530
OG0002998	YNL229C	-processed-gene-4.27-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-4.27&CDS=1-933
OG0002999	YNL230C	-processed-gene-9.16-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.16&CDS=1-1248
OG0003000	YNL231C	-processed-gene-9.1-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.1&CDS=1-1053
OG0003001	YNL232W	-processed-gene-9.5-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.5&CDS=1-840
OG0003002	YNL233W	-processed-gene-9.6-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.6&CDS=1-5088
OG0003003	YNL234W	-processed-gene-9.22-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.22&CDS=1-891
OG0003004	YNL236W	-processed-gene-10.23-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.23&CDS=1-3093
OG0003005	YNL237W	-processed-gene-6.80-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.80&CDS=1-1380
OG0003006	YNL238W	-processed-gene-6.97-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.97&CDS=1-2745
OG0003007	YNL239W	-processed-gene-10.37-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.37&CDS=1-1542
OG0003008	YNL240C	-processed-gene-6.81-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.81&CDS=1-1632
OG0003009	YNL241C	-processed-gene-6.96-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-6.96&CDS=1-1497
OG0003010	YNL242W	-processed-gene-15.20-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.20&CDS=1-5883
OG0003011	YNL243W	-processed-gene-14.19-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.19&CDS=1-3135
OG0003012	YNL244C	-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.91&CDS=1-309
OG0003013	YNL245C	-processed-gene-10.3-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.3&CDS=1-792
OG0003014	YNL246W	-processed-gene-4.4-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.4&CDS=1-822
OG0003015	YNL247W	-processed-gene-8.53-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-8.53&CDS=1-2292
OG0003016	YNL248C	-processed-gene-0.88-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-0.88&CDS=1-1245
OG0003017	YNL249C	-processed-gene-28.35-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.35&CDS=1-1704
OG0003018	YNL250W	-processed-gene-6.72-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-6.72&CDS=1-3918
OG0003019	YNL251C	-processed-gene-23.78-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-23.78&CDS=1-1965
OG0003020	YNL252C	-processed-gene-23.64-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-23.64&CDS=1-843
OG0003021	YNL253W	-processed-gene-23.65-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-23.65&CDS=1-1065
OG0003022	YNL256W	-augustus-gene-23.58-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-augustus-gene-23.58&CDS=1-3630
OG0003023	YNL258C	-processed-gene-3.76-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.76&CDS=1-2046
OG0003024	YNL259C	-processed-gene-3.86-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.86&CDS=1-261
OG0003025	YNL260C	-processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.89&CDS=1-462
OG0003026	YNL262W	-processed-gene-3.90-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.90&CDS=1-8133
OG0003027	YNL263C	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.91&CDS=1-999
OG0003028	YNL265C	-processed-gene-28.27-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.27&CDS=1-840
OG0003029	YNL267W	-processed-gene-22.72-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.72&CDS=1-4563
OG0003030	YNL271C	-processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-8.39&CDS=1-5568
OG0003031	YNL272C	-processed-gene-8.38-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-8.38&CDS=1-2094
OG0003032	YNL273W	-processed-gene-4.33-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.33&CDS=1-3879
OG0003033	YNL274C	-processed-gene-15.80-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.80&CDS=1-1050
OG0003034	YNL275W	-processed-gene-8.119-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.119&CDS=1-1668
OG0003035	YNL277W	-processed-gene-3.16-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.16&CDS=1-1458
OG0003036	YNL279W	-processed-gene-4.59-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.59&CDS=1-1848
OG0003037	YNL280C	-processed-gene-12.37-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.37&CDS=1-1332
OG0003038	YNL281W	-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-8.43&CDS=1-447
OG0003039	YNL282W	-processed-gene-1.157-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.157&CDS=1-822
OG0003040	YNL284C	-processed-gene-14.20-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-14.20&CDS=1-834
OG0003041	YNL286W	-processed-gene-19.29-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.29&CDS=1-1164
OG0003042	YNL287W	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-2.33&CDS=1-2814
OG0003043	YNL288W	-processed-gene-14.23-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.23&CDS=1-957
OG0003044	YNL289W	-processed-gene-3.104-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.104&CDS=1-1023
