	Kazachstania_naganishii	Saccharomyces_cerevisiae
OG0003681	snap_masked-HE978324-processed-gene-4.54-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.54&CDS=1-855	YNL286W
OG0003682	genemark-HE978324-processed-gene-4.130-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.130&CDS=1-2796	YNL287W
OG0003683	genemark-HE978324-processed-gene-4.131-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.131&CDS=1-894	YNL288W
OG0003684	genemark-HE978324-processed-gene-4.132-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.132&CDS=1-1068	YNL290W
OG0003685	genemark-HE978324-processed-gene-4.93-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.93&CDS=1-1599	YNL291C
OG0003686	genemark-HE978324-processed-gene-4.94-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.94&CDS=1-1605	YNL294C
OG0003687	snap_masked-HE978324-processed-gene-4.59-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.59&CDS=1-1473	YNL295W
OG0003688	genemark-HE978324-processed-gene-4.95-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.95&CDS=1-4986	YNL297C
OG0003689	genemark-HE978324-processed-gene-4.136-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.136&CDS=1-2649	YNL298W
OG0003690	genemark-HE978324-processed-gene-4.139-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.139&CDS=1-1017	YNL304W
OG0003691	genemark-HE978324-processed-gene-4.97-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.97&CDS=1-855	YNL305C
OG0003692	genemark-HE978324-processed-gene-4.140-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.140&CDS=1-426	YOL127W
OG0003693	genemark-HE978324-processed-gene-4.141-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.141&CDS=1-630	YNL306W
OG0003694	genemark-HE978324-processed-gene-4.98-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.98&CDS=1-1725	YNL308C
OG0003695	snap_masked-HE978324-processed-gene-4.66-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.66&CDS=1-1368	YNL309W
OG0003696	augustus_masked-HE978324-processed-gene-4.173-mRNA-1_1&gene=augustus_masked-HE978324-processed-gene-4.173&CDS=1-546	YNL310C
OG0003697	genemark-HE978324-processed-gene-4.100-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.100&CDS=1-2052	YNL311C
OG0003698	snap_masked-HE978324-processed-gene-4.26-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.26&CDS=1-921	YHR156C
OG0003699	genemark-HE978324-processed-gene-4.102-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.102&CDS=1-951	YNL315C
OG0003700	genemark-HE978324-processed-gene-4.103-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.103&CDS=1-975	YNL316C
OG0003701	snap_masked-HE978324-processed-gene-4.69-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.69&CDS=1-852	YNL320W
OG0003702	genemark-HE978324-processed-gene-4.145-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.145&CDS=1-2892	YNL321W
OG0003703	snap_masked-HE978324-processed-gene-4.29-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.29&CDS=1-816	YNL322C
OG0003704	genemark-HE978324-processed-gene-4.105-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.105&CDS=1-2685	YNL325C
OG0003705	snap_masked-HE978324-processed-gene-4.71-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.71&CDS=1-2973	YNL327W
OG0003706	genemark-HE978324-processed-gene-4.106-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.106&CDS=1-441	YNL328C
OG0003707	genemark-HE978324-processed-gene-4.107-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.107&CDS=1-3075	YNL329C
OG0003708	genemark-HE978324-processed-gene-4.108-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.108&CDS=1-510	YOL143C
OG0003709	genemark-HE978324-processed-gene-4.147-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.147&CDS=1-1389	YOL144W
OG0003710	genemark-HE978324-processed-gene-4.109-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.109&CDS=1-3228	YOL145C
OG0003711	genemark-HE978324-processed-gene-4.148-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.148&CDS=1-594	YOL146W
OG0003712	genemark-HE978324-processed-gene-4.110-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.110&CDS=1-732	YOL147C
OG0003713	genemark-HE978324-processed-gene-4.111-mRNA-1_1&gene=genemark-HE978324-processed-gene-4.111&CDS=1-1851	YOL148C
OG0003714	augustus_masked-HE978325-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.72&CDS=1-795	YLR079W
OG0003715	genemark-HE978325-processed-gene-0.1-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.1&CDS=1-705	YLR078C
OG0003716	augustus_masked-HE978325-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.73&CDS=1-1566	YLR077W
OG0003717	genemark-HE978325-processed-gene-0.28-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.28&CDS=1-660	YLR075W
OG0003718	genemark-HE978325-processed-gene-0.2-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.2&CDS=1-465	YLR074C
OG0003719	genemark-HE978325-processed-gene-0.29-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.29&CDS=1-855	YFL044C
OG0003720	maker-HE978325-augustus-gene-0.142-mRNA-1_1&gene=maker-HE978325-augustus-gene-0.142&CDS=1-5415	YLR069C
OG0003721	genemark-HE978325-processed-gene-0.31-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.31&CDS=1-459	YLR068W
OG0003722	augustus_masked-HE978325-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.54&CDS=1-2808	YLR067C
OG0003723	snap_masked-HE978325-processed-gene-0.125-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-0.125&CDS=1-1125	YFL039C
OG0003724	augustus_masked-HE978325-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.55&CDS=1-501	YLR065C
OG0003725	genemark-HE978325-processed-gene-0.33-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.33&CDS=1-795	YLR064W
OG0003726	genemark-HE978325-processed-gene-0.34-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.34&CDS=1-903	YLR063W
OG0003727	genemark-HE978325-processed-gene-0.35-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.35&CDS=1-360	YLR061W
OG0003728	genemark-HE978325-processed-gene-0.7-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.7&CDS=1-771	YLR059C
OG0003729	genemark-HE978325-processed-gene-0.36-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.36&CDS=1-2241	YLR057W
OG0003730	genemark-HE978325-processed-gene-0.37-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.37&CDS=1-1083	YLR056W
OG0003731	genemark-HE978325-processed-gene-0.8-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.8&CDS=1-1632	YLR055C
OG0003732	maker-HE978325-augustus-gene-0.143-mRNA-1_1&gene=maker-HE978325-augustus-gene-0.143&CDS=1-2595	YLR054C
OG0003733	maker-HE978325-snap-gene-0.49-mRNA-1_1&gene=maker-HE978325-snap-gene-0.49&CDS=1-2022	YFL018C
OG0003734	genemark-HE978325-processed-gene-0.11-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.11&CDS=1-579	YFL010C
OG0003735	augustus_masked-HE978325-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.86&CDS=1-1068	YPL018W
OG0003736	augustus_masked-HE978325-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.59&CDS=1-1326	YPL003W
OG0003737	genemark-HE978325-processed-gene-0.41-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.41&CDS=1-1839	YFL002C
OG0003738	genemark-HE978325-processed-gene-0.13-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.13&CDS=1-372	YOR327C
OG0003739	genemark-HE978325-processed-gene-0.42-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.42&CDS=1-4680	YOR326W
OG0003740	augustus_masked-HE978325-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.61&CDS=1-1551	YOR324C
OG0003741	genemark-HE978325-processed-gene-0.15-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.15&CDS=1-1356	YOR323C
OG0003742	genemark-HE978325-processed-gene-0.43-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.43&CDS=1-924	YAL025C
OG0003743	genemark-HE978325-processed-gene-0.16-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.16&CDS=1-2457	YOR322C
OG0003744	genemark-HE978325-processed-gene-0.17-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.17&CDS=1-1476	YOL049W
OG0003745	snap_masked-HE978325-processed-gene-0.138-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-0.138&CDS=1-870	YOL048C
OG0003746	augustus_masked-HE978325-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.66&CDS=1-1038	YOL044W
OG0003747	genemark-HE978325-processed-gene-0.20-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.20&CDS=1-1896	YAL016W
OG0003748	genemark-HE978325-processed-gene-0.21-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.21&CDS=1-1143	YOL042W
OG0003749	augustus_masked-HE978325-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.93&CDS=1-1293	YOL041C
OG0003750	genemark-HE978325-processed-gene-0.48-mRNA-1_1&gene=genemark-HE978325-processed-gene-0.48&CDS=1-426	YOL040C
OG0003751	genemark-HE978325-processed-gene-1.84-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.84&CDS=1-321	YOL039W
OG0003752	genemark-HE978325-processed-gene-1.85-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.85&CDS=1-1185	YOL031C
OG0003753	genemark-HE978325-processed-gene-1.87-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.87&CDS=1-732	YOL032W
OG0003754	maker-HE978325-augustus-gene-1.126-mRNA-1_1&gene=maker-HE978325-augustus-gene-1.126&CDS=1-4971	YOL034W
OG0003755	maker-HE978325-augustus-gene-1.123-mRNA-1_1&gene=maker-HE978325-augustus-gene-1.123&CDS=1-4902	YOR014W
OG0003756	genemark-HE978325-processed-gene-1.91-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.91&CDS=1-1302	YEL002C
OG0003757	genemark-HE978325-processed-gene-1.108-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.108&CDS=1-1320	YEL004W
OG0003758	augustus_masked-HE978325-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-1.52&CDS=1-783	YEL005C
OG0003759	genemark-HE978325-processed-gene-1.109-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.109&CDS=1-870	YIL003W
OG0003760	genemark-HE978325-processed-gene-1.110-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.110&CDS=1-1974	YEL007W
OG0003761	augustus_masked-HE978325-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-1.53&CDS=1-3324	YER006W
OG0003762	augustus_masked-HE978325-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-1.54&CDS=1-1512	YER007W
OG0003763	genemark-HE978325-processed-gene-1.112-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.112&CDS=1-4608	YER008C
OG0003764	genemark-HE978325-processed-gene-1.96-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.96&CDS=1-375	YER009W
OG0003765	genemark-HE978325-processed-gene-1.113-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.113&CDS=1-714	YER010C
OG0003766	genemark-HE978325-processed-gene-1.114-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.114&CDS=1-4215	YIR006C
OG0003767	augustus_masked-HE978325-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-1.73&CDS=1-765	YEL001C
OG0003768	genemark-HE978325-processed-gene-1.98-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.98&CDS=1-837	YEL009C
OG0003769	maker-HE978325-snap-gene-1.83-mRNA-1_1&gene=maker-HE978325-snap-gene-1.83&CDS=1-1389	YIL008W
OG0003770	maker-HE978325-snap-gene-1.79-mRNA-1_1&gene=maker-HE978325-snap-gene-1.79&CDS=1-1344	YER004W
OG0003771	genemark-HE978325-processed-gene-1.102-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.102&CDS=1-1647	YPL260W
OG0003772	genemark-HE978325-processed-gene-1.117-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.117&CDS=1-1383	YPL259C
OG0003773	snap_masked-HE978325-processed-gene-1.41-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-1.41&CDS=1-285	YIL009C-A
OG0003774	genemark-HE978325-processed-gene-1.103-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.103&CDS=1-3474	YER013W
OG0003775	genemark-HE978325-processed-gene-1.104-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.104&CDS=1-1626	YER014W
OG0003776	genemark-HE978325-processed-gene-1.105-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.105&CDS=1-2235	YER015W
OG0003777	augustus_masked-HE978325-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-1.76&CDS=1-1605	YOL036W
OG0003778	genemark-HE978325-processed-gene-1.119-mRNA-1_1&gene=genemark-HE978325-processed-gene-1.119&CDS=1-798	YOL038W
OG0003779	snap_masked-HE978325-processed-gene-2.106-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-2.106&CDS=1-243	YOL026C
OG0003780	snap_masked-HE978325-processed-gene-2.107-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-2.107&CDS=1-1515	YOL027C
OG0003781	genemark-HE978325-processed-gene-2.8-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.8&CDS=1-984	YER016W
OG0003782	maker-HE978325-snap-gene-2.0-mRNA-1_1&gene=maker-HE978325-snap-gene-2.0&CDS=1-1497	YBR251W
OG0003783	genemark-HE978325-processed-gene-2.12-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.12&CDS=1-573	YBR254C
OG0003784	augustus_masked-HE978325-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-2.60&CDS=1-2325	YBR255W
OG0003785	genemark-HE978325-processed-gene-2.32-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.32&CDS=1-1356	YBR255C-A
OG0003786	genemark-HE978325-processed-gene-2.33-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.33&CDS=1-714	YBR256C
OG0003787	genemark-HE978325-processed-gene-2.13-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.13&CDS=1-3165	YFR030W
OG0003788	genemark-HE978325-processed-gene-2.34-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.34&CDS=1-3510	YFR031C
OG0003789	snap_masked-HE978325-processed-gene-2.136-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-2.136&CDS=1-1152	YFR032C
OG0003790	maker-HE978325-snap-gene-2.4-mRNA-1_1&gene=maker-HE978325-snap-gene-2.4&CDS=1-450	YFR032C-A
OG0003791	genemark-HE978325-processed-gene-2.37-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.37&CDS=1-1428	YFR034C
OG0003792	genemark-HE978325-processed-gene-2.38-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.38&CDS=1-1065	YIL019W
OG0003793	augustus_masked-HE978325-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-2.88&CDS=1-5031	YIL026C
OG0003794	genemark-HE978325-processed-gene-2.40-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.40&CDS=1-453	YER044C
OG0003795	snap_masked-HE978325-processed-gene-2.144-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-2.144&CDS=1-990	YER044C-A
OG0003796	augustus_masked-HE978325-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-2.66&CDS=1-465	YER046W
OG0003797	genemark-HE978325-processed-gene-2.44-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.44&CDS=1-1188	YER048C
OG0003798	genemark-HE978325-processed-gene-2.18-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.18&CDS=1-1947	YER049W
OG0003799	genemark-HE978325-processed-gene-2.45-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.45&CDS=1-1956	YER052C
OG0003800	augustus_masked-HE978325-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-2.69&CDS=1-585	YIL044C
OG0003801	genemark-HE978325-processed-gene-2.46-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.46&CDS=1-924	YER053C
OG0003802	genemark-HE978325-processed-gene-2.47-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.47&CDS=1-1677	YER054C
OG0003803	genemark-HE978325-processed-gene-2.48-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.48&CDS=1-891	YER055C
OG0003804	genemark-HE978325-processed-gene-2.20-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.20&CDS=1-336	YER058W
OG0003805	snap_masked-HE978325-processed-gene-2.156-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-2.156&CDS=1-1308	YER061C
OG0003806	genemark-HE978325-processed-gene-2.24-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.24&CDS=1-585	YER063W
OG0003807	genemark-HE978325-processed-gene-2.55-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.55&CDS=1-1665	YER065C
OG0003808	genemark-HE978325-processed-gene-2.25-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.25&CDS=1-471	YIL057C
OG0003809	genemark-HE978325-processed-gene-2.27-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.27&CDS=1-1758	YER068W
OG0003810	genemark-HE978325-processed-gene-2.28-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.28&CDS=1-915	YIL061C
OG0003811	augustus_masked-HE978325-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-2.78&CDS=1-3039	YER069W
OG0003812	genemark-HE978325-processed-gene-3.72-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.72&CDS=1-2418	YIL068C
OG0003813	snap_masked-HE978325-processed-gene-3.4-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.4&CDS=1-492	YER071C
OG0003814	genemark-HE978325-processed-gene-3.73-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.73&CDS=1-393	YER072W
OG0003815	maker-HE978325-snap-gene-3.147-mRNA-1_1&gene=maker-HE978325-snap-gene-3.147&CDS=1-255	YER074W-A
OG0003816	augustus_masked-HE978325-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-3.155&CDS=1-2574	YER075C
OG0003817	augustus_masked-HE978325-processed-gene-3.192-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-3.192&CDS=1-1941	YER077C
OG0003818	genemark-HE978325-processed-gene-3.116-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.116&CDS=1-1509	YER078C
OG0003819	snap_masked-HE978325-processed-gene-3.7-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.7&CDS=1-1953	YER080W
OG0003820	genemark-HE978325-processed-gene-3.117-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.117&CDS=1-3009	YOR048C
OG0003821	genemark-HE978325-processed-gene-3.118-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.118&CDS=1-1248	YOR049C
OG0003822	snap_masked-HE978325-processed-gene-3.48-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.48&CDS=1-1230	YOR051C
OG0003823	genemark-HE978325-processed-gene-3.120-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.120&CDS=1-501	YOR052C
OG0003824	genemark-HE978325-processed-gene-3.121-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.121&CDS=1-2049	YOR054C
OG0003825	snap_masked-HE978325-processed-gene-3.51-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.51&CDS=1-2835	YOR058C
OG0003826	genemark-HE978325-processed-gene-3.81-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.81&CDS=1-441	YKR074W
OG0003827	genemark-HE978325-processed-gene-3.123-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.123&CDS=1-1401	YOR059C
OG0003828	snap_masked-HE978325-processed-gene-3.53-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.53&CDS=1-669	YOR060C
OG0003829	genemark-HE978325-processed-gene-3.82-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.82&CDS=1-1020	YOR061W
OG0003830	genemark-HE978325-processed-gene-3.83-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.83&CDS=1-1161	YOR063W
OG0003831	genemark-HE978325-processed-gene-3.126-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.126&CDS=1-507	YOR064C
OG0003832	genemark-HE978325-processed-gene-3.84-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.84&CDS=1-930	YOR065W
OG0003833	augustus_masked-HE978325-processed-gene-3.163-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-3.163&CDS=1-876	YOR066W
OG0003834	genemark-HE978325-processed-gene-3.127-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.127&CDS=1-1704	YOR067C
OG0003835	genemark-HE978325-processed-gene-3.86-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.86&CDS=1-1938	YOR069W
OG0003836	genemark-HE978325-processed-gene-3.128-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.128&CDS=1-1830	YOR070C
OG0003837	genemark-HE978325-processed-gene-3.129-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.129&CDS=1-1038	YKR081C
OG0003838	snap_masked-HE978325-processed-gene-3.14-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.14&CDS=1-1125	YOR073W
OG0003839	genemark-HE978325-processed-gene-3.88-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.88&CDS=1-705	YOR077W
OG0003840	snap_masked-HE978325-processed-gene-3.16-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.16&CDS=1-1221	YOR078W
OG0003841	genemark-HE978325-processed-gene-3.131-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.131&CDS=1-957	YOR079C
OG0003842	snap_masked-HE978325-processed-gene-3.17-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.17&CDS=1-2190	YOR080W
OG0003843	snap_masked-HE978325-processed-gene-3.20-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.20&CDS=1-1077	YOR083W
OG0003844	genemark-HE978325-processed-gene-3.93-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.93&CDS=1-1143	YOR084W
OG0003845	genemark-HE978325-processed-gene-3.94-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.94&CDS=1-2553	YIL143C
OG0003846	snap_masked-HE978325-processed-gene-3.59-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.59&CDS=1-2007	YIL144W
OG0003847	genemark-HE978325-processed-gene-3.95-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.95&CDS=1-930	YIL145C
OG0003848	snap_masked-HE978325-processed-gene-3.24-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.24&CDS=1-1332	YIL146C
OG0003849	augustus_masked-HE978325-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-3.175&CDS=1-3600	YIL147C
OG0003850	snap_masked-HE978325-processed-gene-3.27-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.27&CDS=1-1848	YIL150C
OG0003851	genemark-HE978325-processed-gene-3.136-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.136&CDS=1-1188	YIL153W
OG0003852	genemark-HE978325-processed-gene-3.99-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.99&CDS=1-1317	YIL154C
OG0003853	genemark-HE978325-processed-gene-3.100-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.100&CDS=1-1935	YIL155C
OG0003854	augustus_masked-HE978325-processed-gene-3.211-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-3.211&CDS=1-3741	YIL156W
OG0003855	genemark-HE978325-processed-gene-3.101-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.101&CDS=1-558	YIL157C
OG0003856	snap_masked-HE978325-processed-gene-3.63-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.63&CDS=1-483	YIL158W
OG0003857	genemark-HE978325-processed-gene-3.139-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.139&CDS=1-4053	YIL159W
OG0003858	genemark-HE978325-processed-gene-3.141-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.141&CDS=1-609	YDL212W
OG0003859	genemark-HE978325-processed-gene-3.102-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.102&CDS=1-654	YDL213C
OG0003860	genemark-HE978325-processed-gene-3.103-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.103&CDS=1-3186	YDL215C
OG0003861	genemark-HE978325-processed-gene-3.104-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.104&CDS=1-1398	YDL216C
OG0003862	genemark-HE978325-processed-gene-3.105-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.105&CDS=1-588	YDL217C
OG0003863	genemark-HE978325-processed-gene-3.143-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.143&CDS=1-915	YDL218W
OG0003864	genemark-HE978325-processed-gene-3.144-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.144&CDS=1-450	YDL219W
OG0003865	snap_masked-HE978325-processed-gene-3.35-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.35&CDS=1-2259	YDL220C
OG0003866	genemark-HE978325-processed-gene-3.107-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.107&CDS=1-933	YDL222C
OG0003867	genemark-HE978325-processed-gene-3.145-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.145&CDS=1-1620	YDL225W
OG0003868	maker-HE978325-snap-gene-3.149-mRNA-1_1&gene=maker-HE978325-snap-gene-3.149&CDS=1-1338	YNL199C
OG0003869	genemark-HE978325-processed-gene-3.111-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.111&CDS=1-1071	YDL226C
OG0003870	genemark-HE978325-processed-gene-3.112-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.112&CDS=1-951	YPL266W
OG0003871	genemark-HE978325-processed-gene-3.146-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.146&CDS=1-873	YHR209W
OG0003872	maker-HE978325-snap-gene-3.150-mRNA-1_1&gene=maker-HE978325-snap-gene-3.150&CDS=1-3582	YPL265W
OG0003873	genemark-HE978326-processed-gene-0.61-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.61&CDS=1-2193	YDL037C
OG0003874	genemark-HE978326-processed-gene-0.41-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.41&CDS=1-669	YER183C
