	Saccharomyces_cerevisiae	yHMPu5000034904_Ogataea_nonfermentans
OG0002663	YMR125W	snap_masked-flattened_line_17-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.59&CDS=1-2907
OG0002664	YMR126C	genemark-flattened_line_5-processed-gene-3.121-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.121&CDS=1-834
OG0002665	YMR128W	snap_masked-flattened_line_11-processed-gene-2.94-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.94&CDS=1-3630
OG0002666	YMR129W	snap_masked-flattened_line_9-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.8&CDS=1-3831
OG0002667	YMR130W	augustus_masked-flattened_line_5-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-2.46&CDS=1-1392
OG0002668	YMR131C	snap_masked-flattened_line_1-processed-gene-7.172-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.172&CDS=1-1527
OG0002669	YMR137C	snap_masked-flattened_line_21-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.121&CDS=1-1518
OG0002670	YMR138W	snap_masked-flattened_line_21-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.137&CDS=1-558
OG0002671	YMR139W	snap_masked-flattened_line_13-processed-gene-2.76-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.76&CDS=1-1173
OG0002672	YMR140W	snap_masked-flattened_line_25-processed-gene-0.160-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.160&CDS=1-1530
OG0002673	YMR146C	snap_masked-flattened_line_17-processed-gene-2.100-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.100&CDS=1-2610
OG0002674	YMR149W	snap_masked-flattened_line_19-processed-gene-1.112-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.112&CDS=1-774
OG0002675	YMR150C	snap_masked-flattened_line_19-processed-gene-1.148-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.148&CDS=1-564
OG0002676	YMR155W	snap_masked-flattened_line_15-processed-gene-1.175-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.175&CDS=1-1863
OG0002677	YMR156C	snap_masked-flattened_line_7-processed-gene-1.97-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.97&CDS=1-732
OG0002678	YMR158W	snap_masked-flattened_line_7-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.96&CDS=1-468
OG0002679	YMR159C	snap_masked-flattened_line_5-processed-gene-1.127-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.127&CDS=1-564
OG0002680	YMR161W	snap_masked-flattened_line_3-processed-gene-12.155-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.155&CDS=1-612
OG0002681	YMR162C	snap_masked-flattened_line_17-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.87&CDS=1-4842
OG0002682	YMR165C	snap_masked-flattened_line_3-processed-gene-8.182-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.182&CDS=1-2349
OG0002683	YMR166C	snap_masked-flattened_line_9-processed-gene-5.256-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.256&CDS=1-1038
OG0002684	YMR167W	snap_masked-flattened_line_9-processed-gene-5.309-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.309&CDS=1-1971
OG0002685	YMR171C	snap_masked-flattened_line_11-processed-gene-3.119-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.119&CDS=1-1098
OG0002686	YMR179W	genemark-flattened_line_1-processed-gene-4.65-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.65&CDS=1-1947
OG0002687	YMR185W	snap_masked-flattened_line_1-processed-gene-10.115-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-10.115&CDS=1-2772
OG0002688	YMR188C	snap_masked-flattened_line_1-processed-gene-2.37-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-2.37&CDS=1-735
OG0002689	YMR189W	augustus_masked-flattened_line_17-processed-gene-2.192-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.192&CDS=1-4134
OG0002690	YMR196W	snap_masked-flattened_line_11-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.84&CDS=1-3102
OG0002691	YMR197C	snap_masked-flattened_line_11-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.60&CDS=1-636
OG0002692	YMR200W	snap_masked-flattened_line_23-processed-gene-0.171-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.171&CDS=1-750
OG0002693	YMR201C	augustus_masked-flattened_line_1-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.70&CDS=1-3189
OG0002694	YMR202W	snap_masked-flattened_line_7-processed-gene-1.117-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.117&CDS=1-654
OG0002695	YMR203W	snap_masked-flattened_line_7-processed-gene-1.121-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.121&CDS=1-1155
OG0002696	YMR205C	snap_masked-flattened_line_7-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.118&CDS=1-2838
OG0002697	YMR208W	genemark-flattened_line_11-processed-gene-3.23-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-3.23&CDS=1-1305
OG0002698	YMR209C	genemark-flattened_line_11-processed-gene-3.22-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-3.22&CDS=1-1101
OG0002699	YMR215W	maker-flattened_line_25-snap-gene-0.59-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-0.59&CDS=1-1707
OG0002700	YMR216C	maker-flattened_line_1-snap-gene-11.67-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-11.67&CDS=1-2067
OG0002701	YMR217W	snap_masked-flattened_line_11-processed-gene-3.123-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.123&CDS=1-1578
OG0002702	YMR218C	snap_masked-flattened_line_15-processed-gene-2.199-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.199&CDS=1-3264
OG0002703	YMR221C	snap_masked-flattened_line_15-processed-gene-2.209-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.209&CDS=1-1521
OG0002704	YMR223W	augustus_masked-flattened_line_3-processed-gene-12.187-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-12.187&CDS=1-1563
OG0002705	YMR224C	augustus_masked-flattened_line_5-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.155&CDS=1-6579
OG0002706	YMR226C	snap_masked-flattened_line_1-processed-gene-9.65-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-9.65&CDS=1-804
OG0002707	YMR227C	snap_masked-flattened_line_7-processed-gene-3.91-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.91&CDS=1-1326
OG0002708	YMR231W	snap_masked-flattened_line_7-processed-gene-3.80-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.80&CDS=1-2922
OG0002709	YMR235C	snap_masked-flattened_line_11-processed-gene-4.202-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.202&CDS=1-1176
OG0002710	YMR238W	snap_masked-flattened_line_5-processed-gene-2.76-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.76&CDS=1-1419
OG0002711	YMR239C	genemark-flattened_line_23-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.86&CDS=1-1506
OG0002712	YMR240C	snap_masked-flattened_line_23-processed-gene-0.188-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.188&CDS=1-1374
OG0002713	YMR241W	snap_masked-flattened_line_9-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.125&CDS=1-906
OG0002714	YMR244C-A	snap_masked-flattened_line_9-processed-gene-3.100-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.100&CDS=1-300
OG0002715	YMR244W	snap_masked-flattened_line_7-processed-gene-3.86-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.86&CDS=1-894
OG0002716	YMR247C	snap_masked-flattened_line_17-processed-gene-2.129-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.129&CDS=1-4371
OG0002717	YMR250W	snap_masked-flattened_line_21-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.46&CDS=1-1746
OG0002718	YMR256C	snap_masked-flattened_line_3-processed-gene-5.108-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.108&CDS=1-177
OG0002719	YMR258C	snap_masked-flattened_line_9-processed-gene-3.82-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.82&CDS=1-1572
OG0002720	YMR259C	genemark-flattened_line_9-processed-gene-3.23-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.23&CDS=1-4233
OG0002721	YMR260C	snap_masked-flattened_line_9-processed-gene-3.72-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.72&CDS=1-450
OG0002722	YMR262W	snap_masked-flattened_line_23-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.142&CDS=1-960
OG0002723	YMR263W	snap_masked-flattened_line_9-processed-gene-2.83-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.83&CDS=1-486
OG0002724	YMR264W	snap_masked-flattened_line_9-processed-gene-2.116-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.116&CDS=1-339
OG0002725	YMR272C	snap_masked-flattened_line_11-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.87&CDS=1-1116
OG0002726	YMR277W	snap_masked-flattened_line_1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.55&CDS=1-2235
OG0002727	YMR280C	snap_masked-flattened_line_3-processed-gene-4.114-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.114&CDS=1-2832
OG0002728	YMR281W	snap_masked-flattened_line_3-processed-gene-4.78-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.78&CDS=1-891
OG0002729	YMR283C	snap_masked-flattened_line_3-processed-gene-4.87-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.87&CDS=1-1338
OG0002730	YMR285C	snap_masked-flattened_line_21-processed-gene-1.15-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.15&CDS=1-1269
OG0002731	YMR288W	snap_masked-flattened_line_23-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.125&CDS=1-4485
OG0002732	YMR289W	snap_masked-flattened_line_5-processed-gene-4.87-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.87&CDS=1-819
OG0002733	YMR290C	snap_masked-flattened_line_7-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.62&CDS=1-1683
OG0002734	YMR292W	snap_masked-flattened_line_1-processed-gene-3.116-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.116&CDS=1-417
OG0002735	YMR293C	snap_masked-flattened_line_1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.83&CDS=1-1485
OG0002736	YMR295C	snap_masked-flattened_line_3-processed-gene-10.69-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-10.69&CDS=1-585
OG0002737	YMR296C	snap_masked-flattened_line_1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.54&CDS=1-1716
OG0002738	YMR297W	snap_masked-flattened_line_3-processed-gene-8.142-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.142&CDS=1-1626
OG0002739	YMR300C	snap_masked-flattened_line_17-processed-gene-1.61-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.61&CDS=1-1686
OG0002740	YMR301C	snap_masked-flattened_line_11-processed-gene-4.195-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.195&CDS=1-1869
OG0002741	YMR302C	snap_masked-flattened_line_9-processed-gene-5.226-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.226&CDS=1-2421
OG0002742	YMR304W	snap_masked-flattened_line_1-processed-gene-2.20-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-2.20&CDS=1-3690
OG0002743	YMR307W	maker-flattened_line_21-snap-gene-0.43-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-0.43&CDS=1-1683
OG0002744	YMR308C	snap_masked-flattened_line_21-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.106&CDS=1-3276
OG0002745	YMR309C	snap_masked-flattened_line_3-processed-gene-10.67-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-10.67&CDS=1-2478
OG0002746	YMR310C	snap_masked-flattened_line_1-processed-gene-4.111-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.111&CDS=1-936
OG0002747	YMR311C	snap_masked-flattened_line_1-processed-gene-12.33-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.33&CDS=1-594
OG0002748	YMR312W	snap_masked-flattened_line_1-processed-gene-12.15-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.15&CDS=1-753
OG0002749	YMR313C	snap_masked-flattened_line_1-processed-gene-12.67-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.67&CDS=1-1638
OG0002750	YMR314W	genemark-flattened_line_1-processed-gene-12.176-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-12.176&CDS=1-852
OG0002751	YMR315W	snap_masked-flattened_line_5-processed-gene-5.84-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.84&CDS=1-1041
OG0002752	YNL001W	snap_masked-flattened_line_19-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.116&CDS=1-1134
OG0002753	YNL002C	snap_masked-flattened_line_13-processed-gene-1.2-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.2&CDS=1-801
OG0002754	YNL003C	snap_masked-flattened_line_13-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.5&CDS=1-789
OG0002755	YNL005C	snap_masked-flattened_line_5-processed-gene-7.118-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-7.118&CDS=1-1128
OG0002756	YNL006W	snap_masked-flattened_line_7-processed-gene-5.27-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.27&CDS=1-909
OG0002757	YNL007C	snap_masked-flattened_line_7-processed-gene-5.26-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.26&CDS=1-1026
OG0002758	YNL010W	snap_masked-flattened_line_1-processed-gene-5.81-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.81&CDS=1-720
OG0002759	YNL011C	snap_masked-flattened_line_1-processed-gene-5.110-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.110&CDS=1-1473
OG0002760	YNL014W	snap_masked-flattened_line_1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.79&CDS=1-3141
OG0002761	YNL015W	maker-flattened_line_7-snap-gene-0.56-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-0.56&CDS=1-225
OG0002762	YNL016W	augustus_masked-flattened_line_17-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.154&CDS=1-1068
OG0002763	YNL023C	maker-flattened_line_11-snap-gene-1.64-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-1.64&CDS=1-2676
OG0002764	YNL025C	snap_masked-flattened_line_17-processed-gene-2.74-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.74&CDS=1-861
OG0002765	YNL026W	snap_masked-flattened_line_17-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.35&CDS=1-1482
OG0002766	YNL027W	snap_masked-flattened_line_17-processed-gene-2.119-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.119&CDS=1-1806
OG0002767	YNL032W	snap_masked-flattened_line_17-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.78&CDS=1-708
OG0002768	YNL037C	augustus_masked-flattened_line_21-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.2&CDS=1-3501
OG0002769	YNL040W	snap_masked-flattened_line_3-processed-gene-6.35-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.35&CDS=1-1158
OG0002770	YNL041C	snap_masked-flattened_line_7-processed-gene-3.125-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.125&CDS=1-2313
OG0002771	YNL042W	snap_masked-flattened_line_7-processed-gene-3.97-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.97&CDS=1-597
OG0002772	YNL044W	augustus_masked-flattened_line_1-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-11.71&CDS=1-1446
OG0002773	YNL045W	snap_masked-flattened_line_1-processed-gene-11.7-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-11.7&CDS=1-1920
OG0002774	YNL048W	snap_masked-flattened_line_13-processed-gene-1.1-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.1&CDS=1-1800
OG0002775	YNL049C	snap_masked-flattened_line_13-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.59&CDS=1-2706
OG0002776	YNL051W	snap_masked-flattened_line_13-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.57&CDS=1-1164
OG0002777	YNL054W	snap_masked-flattened_line_1-processed-gene-11.28-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-11.28&CDS=1-1920
OG0002778	YNL056W	snap_masked-flattened_line_1-processed-gene-8.144-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-8.144&CDS=1-711
OG0002779	YNL064C	snap_masked-flattened_line_1-processed-gene-12.78-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.78&CDS=1-1218
OG0002780	YNL066W	snap_masked-flattened_line_13-processed-gene-2.53-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.53&CDS=1-1215
OG0002781	YNL075W	snap_masked-flattened_line_3-processed-gene-10.70-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-10.70&CDS=1-858
OG0002782	YNL076W	snap_masked-flattened_line_17-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.52&CDS=1-2190
OG0002783	YNL081C	snap_masked-flattened_line_11-processed-gene-4.236-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.236&CDS=1-363
OG0002784	YNL082W	snap_masked-flattened_line_9-processed-gene-5.286-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.286&CDS=1-2463
OG0002785	YNL083W	genemark-flattened_line_7-processed-gene-2.64-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.64&CDS=1-1521
OG0002786	YNL085W	snap_masked-flattened_line_17-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.63&CDS=1-2238
OG0002787	YNL088W	snap_masked-flattened_line_5-processed-gene-1.162-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.162&CDS=1-4065
OG0002788	YNL090W	snap_masked-flattened_line_21-processed-gene-1.81-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.81&CDS=1-579
OG0002789	YNL091W	snap_masked-flattened_line_21-processed-gene-1.82-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.82&CDS=1-2046
OG0002790	YNL092W	genemark-flattened_line_21-processed-gene-1.270-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.270&CDS=1-1203
OG0002791	YNL096C	snap_masked-flattened_line_5-processed-gene-3.41-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.41&CDS=1-567
OG0002792	YNL097C	snap_masked-flattened_line_11-processed-gene-3.147-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.147&CDS=1-1083
OG0002793	YNL099C	snap_masked-flattened_line_1-processed-gene-6.155-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.155&CDS=1-624
OG0002794	YNL101W	snap_masked-flattened_line_1-processed-gene-6.154-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.154&CDS=1-1953
OG0002795	YNL102W	snap_masked-flattened_line_1-processed-gene-6.130-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.130&CDS=1-4242
OG0002796	YNL107W	snap_masked-flattened_line_3-processed-gene-10.88-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-10.88&CDS=1-651
OG0002797	YNL112W	maker-flattened_line_5-snap-gene-3.65-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-3.65&CDS=1-1575
OG0002798	YNL113W	snap_masked-flattened_line_5-processed-gene-3.49-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.49&CDS=1-372
OG0002799	YNL118C	snap_masked-flattened_line_3-processed-gene-12.91-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.91&CDS=1-2136
OG0002800	YNL122C	genemark-flattened_line_1-processed-gene-6.33-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-6.33&CDS=1-822
OG0002801	YNL123W	snap_masked-flattened_line_1-processed-gene-6.121-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.121&CDS=1-2895
OG0002802	YNL124W	genemark-flattened_line_1-processed-gene-6.35-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-6.35&CDS=1-1482
OG0002803	YNL125C	snap_masked-flattened_line_11-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.84&CDS=1-1719
OG0002804	YNL126W	snap_masked-flattened_line_1-processed-gene-6.148-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.148&CDS=1-2616
OG0002805	YNL127W	snap_masked-flattened_line_1-processed-gene-6.149-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.149&CDS=1-2664
OG0002806	YNL128W	genemark-flattened_line_1-processed-gene-6.40-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-6.40&CDS=1-1095
OG0002807	YNL129W	snap_masked-flattened_line_1-processed-gene-6.145-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.145&CDS=1-711
OG0002808	YNL131W	snap_masked-flattened_line_1-processed-gene-6.128-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.128&CDS=1-423
OG0002809	YNL132W	snap_masked-flattened_line_1-processed-gene-6.126-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.126&CDS=1-3141
OG0002810	YNL141W	snap_masked-flattened_line_23-processed-gene-0.138-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.138&CDS=1-1062
OG0002811	YNL142W	snap_masked-flattened_line_9-processed-gene-5.279-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.279&CDS=1-1410
OG0002812	YNL147W	maker-flattened_line_7-augustus-gene-5.209-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-5.209&CDS=1-342
OG0002813	YNL149C	snap_masked-flattened_line_7-processed-gene-5.42-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.42&CDS=1-387
OG0002814	YNL151C	snap_masked-flattened_line_7-processed-gene-5.43-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.43&CDS=1-675
OG0002815	YNL152W	snap_masked-flattened_line_7-processed-gene-5.90-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.90&CDS=1-1245
OG0002816	YNL153C	snap_masked-flattened_line_5-processed-gene-5.96-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.96&CDS=1-387
OG0002817	YNL155W	snap_masked-flattened_line_1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.25&CDS=1-774
OG0002818	YNL161W	maker-flattened_line_7-snap-gene-5.106-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-5.106&CDS=1-4317
OG0002819	YNL163C	maker-flattened_line_9-snap-gene-3.111-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-3.111&CDS=1-3372
OG0002820	YNL168C	snap_masked-flattened_line_9-processed-gene-5.258-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.258&CDS=1-702
OG0002821	YNL169C	snap_masked-flattened_line_11-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.78&CDS=1-1560
OG0002822	YNL172W	snap_masked-flattened_line_11-processed-gene-3.110-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.110&CDS=1-4938
OG0002823	YNL175C	snap_masked-flattened_line_1-processed-gene-3.106-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.106&CDS=1-1020
OG0002824	YNL177C	snap_masked-flattened_line_1-processed-gene-8.172-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-8.172&CDS=1-792
OG0002825	YNL178W	genemark-flattened_line_1-processed-gene-5.176-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-5.176&CDS=1-711
OG0002826	YNL182C	snap_masked-flattened_line_1-processed-gene-5.127-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.127&CDS=1-1365
OG0002827	YNL189W	snap_masked-flattened_line_15-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.31&CDS=1-1626
OG0002828	YNL191W	snap_masked-flattened_line_15-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.11&CDS=1-1056
OG0002829	YNL192W	genemark-flattened_line_15-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.80&CDS=1-2856
OG0002830	YNL193W	genemark-flattened_line_13-processed-gene-3.65-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.65&CDS=1-1530
OG0002831	YNL200C	snap_masked-flattened_line_1-processed-gene-7.132-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.132&CDS=1-702
OG0002832	YNL202W	snap_masked-flattened_line_1-processed-gene-7.139-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.139&CDS=1-849
OG0002833	YNL206C	snap_masked-flattened_line_21-processed-gene-1.42-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.42&CDS=1-1146
OG0002834	YNL207W	genemark-flattened_line_21-processed-gene-1.227-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.227&CDS=1-1239
OG0002835	YNL209W	snap_masked-flattened_line_21-processed-gene-1.75-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.75&CDS=1-1839
OG0002836	YNL211C	snap_masked-flattened_line_5-processed-gene-1.169-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.169&CDS=1-219
