	Saccharomyces_cerevisiae	yHMPu5000035031_Candida_kruisii
OG0002462	YLR369W	augustus_masked-flattened_line_30-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.25&CDS=1-1941
OG0002463	YLR377C	augustus_masked-flattened_line_68-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.67&CDS=1-1029
OG0002464	YLR378C	augustus_masked-flattened_line_68-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.100&CDS=1-1440
OG0002465	YLR380W	genemark-flattened_line_10-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.67&CDS=1-1665
OG0002466	YLR382C	snap_masked-flattened_line_10-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.108&CDS=1-4620
OG0002467	YLR383W	augustus_masked-flattened_line_36-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.10&CDS=1-3255
OG0002468	YLR384C	genemark-flattened_line_66-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.113&CDS=1-4743
OG0002469	YLR386W	genemark-flattened_line_34-processed-gene-1.86-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.86&CDS=1-2607
OG0002470	YLR387C	augustus_masked-flattened_line_34-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.174&CDS=1-1323
OG0002471	YLR389C	maker-flattened_line_10-augustus-gene-0.75-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-0.75&CDS=1-4890
OG0002472	YLR390W-A	genemark-flattened_line_36-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.98&CDS=1-714
OG0002473	YLR393W	augustus_masked-flattened_line_34-processed-gene-1.219-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.219&CDS=1-855
OG0002474	YLR397C	genemark-flattened_line_34-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.94&CDS=1-2283
OG0002475	YLR398C	genemark-flattened_line_34-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.93&CDS=1-3588
OG0002476	YLR399C	augustus_masked-flattened_line_8-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.99&CDS=1-1899
OG0002477	YLR401C	augustus_masked-flattened_line_26-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.82&CDS=1-1842
OG0002478	YLR403W	augustus_masked-flattened_line_83-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.128&CDS=1-1491
OG0002479	YLR405W	augustus_masked-flattened_line_8-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.98&CDS=1-1077
OG0002480	YLR407W	genemark-flattened_line_26-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.21&CDS=1-885
OG0002481	YLR409C	augustus_masked-flattened_line_26-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.63&CDS=1-2820
OG0002482	YLR410W	augustus_masked-flattened_line_8-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.78&CDS=1-3552
OG0002483	YLR412W	augustus_masked-flattened_line_8-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.102&CDS=1-714
OG0002484	YLR414C	augustus_masked-flattened_line_26-processed-gene-1.246-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.246&CDS=1-1122
OG0002485	YLR417W	augustus_masked-flattened_line_26-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.212&CDS=1-1941
OG0002486	YLR418C	augustus_masked-flattened_line_72-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.61&CDS=1-1065
OG0002487	YLR419W	augustus_masked-flattened_line_26-processed-gene-1.276-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.276&CDS=1-4203
OG0002488	YLR420W	augustus_masked-flattened_line_117-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_117-processed-gene-0.3&CDS=1-1089
OG0002489	YLR421C	maker-flattened_line_6-augustus-gene-3.5-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-3.5&CDS=1-867
OG0002490	YLR422W	augustus_masked-flattened_line_26-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.87&CDS=1-5670
OG0002491	YLR424W	augustus_masked-flattened_line_72-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.79&CDS=1-1950
OG0002492	YLR427W	augustus_masked-flattened_line_58-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.30&CDS=1-1686
OG0002493	YLR429W	augustus_masked-flattened_line_68-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.107&CDS=1-1926
OG0002494	YLR430W	augustus_masked-flattened_line_83-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.110&CDS=1-8577
OG0002495	YLR433C	augustus_masked-flattened_line_68-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.88&CDS=1-1686
OG0002496	YLR435W	augustus_masked-flattened_line_68-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.115&CDS=1-618
OG0002497	YLR438C-A	augustus_masked-flattened_line_34-processed-gene-1.233-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.233&CDS=1-273
OG0002498	YLR438W	augustus_masked-flattened_line_93-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_93-processed-gene-0.52&CDS=1-1299
OG0002499	YLR439W	augustus_masked-flattened_line_34-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.193&CDS=1-855
OG0002500	YLR440C	maker-flattened_line_34-augustus-gene-1.83-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-1.83&CDS=1-2208
OG0002501	YLR441C	augustus_masked-flattened_line_68-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.91&CDS=1-768
OG0002502	YLR443W	augustus_masked-flattened_line_144-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_144-processed-gene-0.6&CDS=1-1302
OG0002503	YLR447C	augustus_masked-flattened_line_58-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.52&CDS=1-1050
OG0002504	YLR451W	augustus_masked-flattened_line_74-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.99&CDS=1-2787
OG0002505	YLR452C	augustus_masked-flattened_line_74-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.71&CDS=1-1740
OG0002506	YLR454W	augustus_masked-flattened_line_48-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.142&CDS=1-7563
OG0002507	YLR455W	snap_masked-flattened_line_1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-0.21&CDS=1-1176
OG0002508	YLR459W	augustus_masked-flattened_line_74-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.75&CDS=1-1242
OG0002509	YML001W	augustus_masked-flattened_line_60-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.212&CDS=1-648
OG0002510	YML004C	maker-flattened_line_52-snap-gene-0.186-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.186&CDS=1-2502
OG0002511	YML005W	genemark-flattened_line_12-processed-gene-2.44-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.44&CDS=1-1203
OG0002512	YML007W	augustus_masked-flattened_line_4-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.111&CDS=1-1431
OG0002513	YML008C	augustus_masked-flattened_line_4-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.93&CDS=1-1128
OG0002514	YML009C	augustus_masked-flattened_line_12-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.78&CDS=1-210
OG0002515	YML010W	augustus_masked-flattened_line_1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.75&CDS=1-7866
OG0002516	YML012W	augustus_masked-flattened_line_12-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.99&CDS=1-627
OG0002517	YML016C	augustus_masked-flattened_line_125-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.17&CDS=1-1644
OG0002518	YML018C	augustus_masked-flattened_line_12-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.72&CDS=1-1188
OG0002519	YML019W	augustus_masked-flattened_line_12-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.73&CDS=1-1029
OG0002520	YML020W	maker-flattened_line_12-snap-gene-1.55-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.55&CDS=1-3534
OG0002521	YML021C	augustus_masked-flattened_line_12-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.74&CDS=1-1107
OG0002522	YML022W	augustus_masked-flattened_line_1-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.76&CDS=1-549
OG0002523	YML025C	augustus_masked-flattened_line_24-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.58&CDS=1-735
OG0002524	YML035C	genemark-flattened_line_1-processed-gene-1.72-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-1.72&CDS=1-2235
OG0002525	YML036W	augustus_masked-flattened_line_8-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.82&CDS=1-555
OG0002526	YML038C	augustus_masked-flattened_line_101-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_101-processed-gene-0.56&CDS=1-1038
OG0002527	YML042W	augustus_masked-flattened_line_30-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.45&CDS=1-1896
OG0002528	YML043C	maker-flattened_line_40-snap-gene-0.189-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-0.189&CDS=1-1338
OG0002529	YML046W	augustus_masked-flattened_line_28-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.76&CDS=1-2058
OG0002530	YML048W	augustus_masked-flattened_line_32-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.108&CDS=1-1080
OG0002531	YML049C	augustus_masked-flattened_line_38-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.65&CDS=1-3537
OG0002532	YML052W	augustus_masked-flattened_line_48-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.144&CDS=1-840
OG0002533	YML054C	augustus_masked-flattened_line_46-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.128&CDS=1-1665
OG0002534	YML055W	augustus_masked-flattened_line_58-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.56&CDS=1-513
OG0002535	YML056C	augustus_masked-flattened_line_17-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.139&CDS=1-1563
OG0002536	YML059C	maker-flattened_line_34-augustus-gene-1.79-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-1.79&CDS=1-6315
OG0002537	YML060W	augustus_masked-flattened_line_30-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.55&CDS=1-1056
OG0002538	YML064C	maker-flattened_line_68-augustus-gene-0.184-mRNA-1_1&gene=maker-flattened_line_68-augustus-gene-0.184&CDS=1-594
OG0002539	YML065W	augustus_masked-flattened_line_68-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.116&CDS=1-2304
OG0002540	YML069W	augustus_masked-flattened_line_26-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.60&CDS=1-1611
OG0002541	YML071C	augustus_masked-flattened_line_58-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.17&CDS=1-1269
OG0002542	YML072C	augustus_masked-flattened_line_68-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.92&CDS=1-4809
OG0002543	YML076C	augustus_masked-flattened_line_68-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.119&CDS=1-2778
OG0002544	YML077W	augustus_masked-flattened_line_4-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.46&CDS=1-471
OG0002545	YML080W	augustus_masked-flattened_line_60-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.166&CDS=1-1179
OG0002546	YML085C	maker-flattened_line_60-augustus-gene-0.76-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.76&CDS=1-1344
OG0002547	YML086C	augustus_masked-flattened_line_60-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.185&CDS=1-1680
OG0002548	YML088W	maker-flattened_line_14-augustus-gene-0.40-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-0.40&CDS=1-5589
OG0002549	YML092C	maker-flattened_line_60-augustus-gene-0.77-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.77&CDS=1-750
OG0002550	YML093W	augustus_masked-flattened_line_60-processed-gene-0.223-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.223&CDS=1-2601
OG0002551	YML094W	augustus_masked-flattened_line_14-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.14&CDS=1-465
OG0002552	YML095C	augustus_masked-flattened_line_14-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.56&CDS=1-963
OG0002553	YML096W	augustus_masked-flattened_line_60-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.205&CDS=1-2796
OG0002554	YML097C	augustus_masked-flattened_line_107-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_107-processed-gene-0.34&CDS=1-2082
OG0002555	YML098W	genemark-flattened_line_78-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.143&CDS=1-633
OG0002556	YML099C	augustus_masked-flattened_line_32-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.127&CDS=1-2520
OG0002557	YML102W	augustus_masked-flattened_line_87-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.47&CDS=1-1503
OG0002558	YML103C	augustus_masked-flattened_line_6-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.19&CDS=1-4899
OG0002559	YML104C	maker-flattened_line_89-augustus-gene-0.105-mRNA-1_1&gene=maker-flattened_line_89-augustus-gene-0.105&CDS=1-3897
OG0002560	YML105C	augustus_masked-flattened_line_89-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.65&CDS=1-822
OG0002561	YML108W	augustus_masked-flattened_line_40-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.154&CDS=1-345
OG0002562	YML112W	augustus_masked-flattened_line_56-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.196&CDS=1-891
OG0002563	YML114C	snap_masked-flattened_line_56-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.25&CDS=1-1476
OG0002564	YML115C	augustus_masked-flattened_line_26-processed-gene-1.249-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.249&CDS=1-1389
OG0002565	YML121W	augustus_masked-flattened_line_60-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.215&CDS=1-960
OG0002566	YML123C	augustus_masked-flattened_line_8-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.124&CDS=1-1668
OG0002567	YML125C	augustus_masked-flattened_line_60-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.219&CDS=1-888
OG0002568	YML126C	augustus_masked-flattened_line_60-processed-gene-0.222-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.222&CDS=1-1341
OG0002569	YML127W	genemark-flattened_line_14-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.109&CDS=1-2043
OG0002570	YML128C	augustus_masked-flattened_line_60-processed-gene-0.221-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.221&CDS=1-2328
OG0002571	YML130C	augustus_masked-flattened_line_32-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.95&CDS=1-2364
OG0002572	YMR001C	augustus_masked-flattened_line_10-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.107&CDS=1-1965
OG0002573	YMR002W	augustus_masked-flattened_line_1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-1.126&CDS=1-438
OG0002574	YMR004W	maker-flattened_line_34-augustus-gene-0.92-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-0.92&CDS=1-1896
OG0002575	YMR005W	augustus_masked-flattened_line_17-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.69&CDS=1-1374
OG0002576	YMR009W	augustus_masked-flattened_line_14-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.39&CDS=1-534
OG0002577	YMR010W	augustus_masked-flattened_line_6-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.154&CDS=1-966
OG0002578	YMR012W	augustus_masked-flattened_line_14-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.60&CDS=1-3639
OG0002579	YMR013C	augustus_masked-flattened_line_4-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.110&CDS=1-3222
OG0002580	YMR015C	genemark-flattened_line_78-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.142&CDS=1-1554
OG0002581	YMR019W	augustus_masked-flattened_line_54-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.131&CDS=1-2571
OG0002582	YMR020W	augustus_masked-flattened_line_60-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.228&CDS=1-1401
OG0002583	YMR022W	augustus_masked-flattened_line_60-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.229&CDS=1-498
OG0002584	YMR023C	augustus_masked-flattened_line_4-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.52&CDS=1-1464
OG0002585	YMR024W	augustus_masked-flattened_line_62-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.90&CDS=1-1065
OG0002586	YMR026C	augustus_masked-flattened_line_1-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.96&CDS=1-1356
OG0002587	YMR027W	augustus_masked-flattened_line_30-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.38&CDS=1-1350
OG0002588	YMR028W	augustus_masked-flattened_line_30-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.37&CDS=1-1095
OG0002589	YMR029C	augustus_masked-flattened_line_60-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.226&CDS=1-1383
OG0002590	YMR034C	augustus_masked-flattened_line_93-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_93-processed-gene-0.70&CDS=1-1347
OG0002591	YMR035W	augustus_masked-flattened_line_74-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.70&CDS=1-513
OG0002592	YMR041C	augustus_masked-flattened_line_93-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_93-processed-gene-0.62&CDS=1-1248
OG0002593	YMR043W	augustus_masked-flattened_line_24-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.23&CDS=1-732
OG0002594	YMR044W	augustus_masked-flattened_line_24-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.22&CDS=1-1161
OG0002595	YMR048W	augustus_masked-flattened_line_17-processed-gene-2.179-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.179&CDS=1-864
OG0002596	YMR049C	augustus_masked-flattened_line_6-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.146&CDS=1-2406
OG0002597	YMR059W	augustus_masked-flattened_line_52-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.229&CDS=1-315
OG0002598	YMR060C	augustus_masked-flattened_line_22-processed-gene-1.264-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.264&CDS=1-951
OG0002599	YMR061W	maker-flattened_line_22-augustus-gene-1.10-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.10&CDS=1-2262
OG0002600	YMR062C	augustus_masked-flattened_line_36-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.162&CDS=1-1296
OG0002601	YMR065W	snap_masked-flattened_line_1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.18&CDS=1-1938
OG0002602	YMR067C	augustus_masked-flattened_line_36-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.197&CDS=1-1413
OG0002603	YMR068W	genemark-flattened_line_36-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.119&CDS=1-1635
OG0002604	YMR069W	augustus_masked-flattened_line_30-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.106&CDS=1-633
OG0002605	YMR071C	augustus_masked-flattened_line_12-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.84&CDS=1-513
OG0002606	YMR074C	augustus_masked-flattened_line_40-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.186&CDS=1-396
OG0002607	YMR075W	augustus_masked-flattened_line_36-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.168&CDS=1-2094
OG0002608	YMR076C	augustus_masked-flattened_line_17-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.6&CDS=1-3822
OG0002609	YMR077C	augustus_masked-flattened_line_1-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-1.117&CDS=1-639
OG0002610	YMR078C	augustus_masked-flattened_line_64-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.145&CDS=1-2304
OG0002611	YMR079W	augustus_masked-flattened_line_8-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.66&CDS=1-903
OG0002612	YMR080C	augustus_masked-flattened_line_8-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.65&CDS=1-2946
OG0002613	YMR087W	snap_masked-flattened_line_6-processed-gene-3.26-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.26&CDS=1-792
OG0002614	YMR088C	augustus_masked-flattened_line_44-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.146&CDS=1-1737
OG0002615	YMR090W	augustus_masked-flattened_line_28-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.73&CDS=1-678
OG0002616	YMR092C	augustus_masked-flattened_line_20-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.97&CDS=1-1854
OG0002617	YMR093W	augustus_masked-flattened_line_85-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_85-processed-gene-0.20&CDS=1-1521
OG0002618	YMR097C	augustus_masked-flattened_line_20-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.127&CDS=1-1107
OG0002619	YMR098C	augustus_masked-flattened_line_20-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.123&CDS=1-1752
OG0002620	YMR099C	augustus_masked-flattened_line_8-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.74&CDS=1-909
OG0002621	YMR100W	augustus_masked-flattened_line_12-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.80&CDS=1-2469
OG0002622	YMR101C	augustus_masked-flattened_line_22-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.99&CDS=1-1467
OG0002623	YMR106C	augustus_masked-flattened_line_20-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.121&CDS=1-1941
OG0002624	YMR108W	augustus_masked-flattened_line_4-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.98&CDS=1-2022
OG0002625	YMR110C	maker-flattened_line_20-augustus-gene-1.114-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.114&CDS=1-2376
OG0002626	YMR112C	augustus_masked-flattened_line_24-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.49&CDS=1-822
OG0002627	YMR115W	genemark-flattened_line_42-processed-gene-0.165-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.165&CDS=1-1551
OG0002628	YMR116C	maker-flattened_line_24-augustus-gene-1.265-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.265&CDS=1-951
OG0002629	YMR117C	augustus_masked-flattened_line_28-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.78&CDS=1-729
OG0002630	YMR120C	augustus_masked-flattened_line_42-processed-gene-0.262-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.262&CDS=1-1770
OG0002631	YMR123W	genemark-flattened_line_42-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.108&CDS=1-360
OG0002632	YMR125W	genemark-flattened_line_6-processed-gene-1.33-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.33&CDS=1-2793
OG0002633	YMR126C	augustus_masked-flattened_line_52-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.192&CDS=1-1260
