	Fusarium_graminearum	Saccharomyces_cerevisiae
OG0001563	XP_011320092.1	YLR430W
OG0001564	XP_011320097.1	YOL142W
OG0001565	XP_011320098.1	YHR064C
OG0001566	XP_011320104.1	YBR260C
OG0001567	XP_011320105.1	YCR081W
OG0001568	XP_011320116.1	YER004W
OG0001569	XP_011320117.1	YDR236C
OG0001570	XP_011320118.1	YBR239C
OG0001571	XP_011320123.1	YKL007W
OG0001572	XP_011320124.1	YNL111C
OG0001573	XP_011320125.1	YKR062W
OG0001574	XP_011320132.1	YCL034W
OG0001575	XP_011320133.1	YGR264C
OG0001576	XP_011320134.1	YJR073C
OG0001577	XP_011320142.1	YGL019W
OG0001578	XP_011320145.1	YGL164C
OG0001579	XP_011320146.1	YDR172W
OG0001580	XP_011320148.1	YKR097W
OG0001581	XP_011320152.1	YHR085W
OG0001582	XP_011320154.1	YHR039C
OG0001583	XP_011320155.1	YER166W
OG0001584	XP_011320157.1	YOR332W
OG0001585	XP_011320163.1	YLR286C
OG0001586	XP_011320165.1	YJR019C
OG0001587	XP_011320171.1	YOL152W
OG0001588	XP_011320173.1	YOR370C
OG0001589	XP_011320175.1	YBR293W
OG0001590	XP_011320178.1	YLR371W
OG0001591	XP_011320179.1	YKL140W
OG0001592	XP_011320192.1	YHR193C
OG0001593	XP_011320193.1	YKL016C
OG0001594	XP_011320195.1	YDR092W
OG0001595	XP_011320196.1	YDR128W
OG0001596	XP_011320198.1	YPL076W
OG0001597	XP_011320202.1	YDR045C
OG0001598	XP_011320203.1	YGL242C
OG0001599	XP_011320210.1	YNR006W
OG0001600	XP_011320214.1	YER022W
OG0001601	XP_011320215.1	YOR191W
OG0001602	XP_011320221.1	YOR327C
OG0001603	XP_011320226.1	YPL226W
OG0001604	XP_011320227.1	YLR246W
OG0001605	XP_011320229.1	YGR208W
OG0001606	XP_011320230.1	YPR167C
OG0001607	XP_011320231.1	YGL050W
OG0001608	XP_011320234.1	YDL105W
OG0001609	XP_011320238.1	YLR240W
OG0001610	XP_011320239.1	YBR026C
OG0001611	XP_011320243.1	YMR097C
OG0001612	XP_011320244.1	YPL181W
OG0001613	XP_011320263.1	YDR158W
OG0001614	XP_011320270.1	YHL002W
OG0001615	XP_011320271.1	YPR185W
OG0001616	XP_011320273.1	YOR222W
OG0001617	XP_011320285.1	YGL211W
OG0001618	XP_011320287.1	YER009W
OG0001619	XP_011320291.1	YCR093W
OG0001620	XP_011320295.1	YDR316W
OG0001621	XP_011320298.1	YNL289W
OG0001622	XP_011320304.1	YFR030W
OG0001623	XP_011320310.1	YLR017W
OG0001624	XP_011320311.1	YCR054C
OG0001625	XP_011320315.1	YOL096C
OG0001626	XP_011320316.1	YDR487C
OG0001627	XP_011320322.1	YAL048C
OG0001628	XP_011320323.1	YBR236C
OG0001629	XP_011320324.1	YPR108W
OG0001630	XP_011320325.1	YLR089C
OG0001631	XP_011320327.1	YML009C
OG0001632	XP_011320331.1	YGR145W
OG0001633	XP_011320341.1	YLR285W
OG0001634	XP_011320345.1	YDR408C
OG0001635	XP_011320347.1	YER148W
OG0001636	XP_011320348.1	YER069W
OG0001637	XP_011320349.1	YOR356W
OG0001638	XP_011320352.1	YGL141W
OG0001639	XP_011320353.1	YER165W
OG0001640	XP_011320357.1	YJR113C
OG0001641	XP_011320371.1	YJL092W
OG0001642	XP_011320375.1	YJR102C
OG0001643	XP_011320384.1	YGL166W
OG0001644	XP_011320387.1	YGL094C
OG0001645	XP_011320391.1	YAL039C
OG0001646	XP_011320392.1	YPL109C
OG0001647	XP_011320396.1	YDR299W
OG0001648	XP_011320405.1	YER162C
OG0001649	XP_011320431.1	YMR189W
OG0001650	XP_011320448.1	YKL157W
OG0001651	XP_011320456.1	YJL104W
OG0001652	XP_011320460.1	YDL141W
OG0001653	XP_011320461.1	YJR144W
OG0001654	XP_011320477.1	YER100W
OG0001655	XP_011320478.1	YNL026W
OG0001656	XP_011320492.1	YGR127W
OG0001657	XP_011320494.1	YPL122C
OG0001658	XP_011320522.1	YJR133W
OG0001659	XP_011320524.1	YPL107W
OG0001660	XP_011320530.1	YOL116W
OG0001661	XP_011320534.1	YBL015W
OG0001662	XP_011320638.1	YGR172C
OG0001663	XP_011320639.1	YGL097W
OG0001664	XP_011320682.1	YKL203C
OG0001665	XP_011320688.1	YMR140W
OG0001666	XP_011320690.1	YDR221W
OG0001667	XP_011320693.1	YLR085C
OG0001668	XP_011320972.1	YKL071W
OG0001669	XP_011321002.1	YGL245W
OG0001670	XP_011321006.1	YGL143C
OG0001671	XP_011321014.1	YGR007W
OG0001672	XP_011321018.1	YPL059W
OG0001673	XP_011321028.1	YNL036W
OG0001674	XP_011321033.1	YLL018C
OG0001675	XP_011321109.1	YIR030C
OG0001676	XP_011321110.1	YDL029W
OG0001677	XP_011321111.1	YPL042C
OG0001678	XP_011321113.1	YCL010C
OG0001679	XP_011321114.1	YER003C
OG0001680	XP_011321120.1	YJR129C
OG0001681	XP_011321124.1	YBL033C
OG0001682	XP_011321127.1	YOR340C
OG0001683	XP_011321147.1	YOL146W
OG0001684	XP_011321149.1	YDR057W
OG0001685	XP_011321180.1	YDR398W
OG0001686	XP_011321187.1	YJL106W
OG0001687	XP_011321193.1	YDR294C
OG0001688	XP_011321194.1	YJL183W
OG0001689	XP_011321196.1	YML092C
OG0001690	XP_011321199.1	YNL129W
OG0001691	XP_011321201.1	YER082C
OG0001692	XP_011321202.1	YDL060W
OG0001693	XP_011321208.1	YEL064C
OG0001694	XP_011321213.1	YOR216C
OG0001695	XP_011321214.1	YNL110C
OG0001696	XP_011321218.1	YDR228C
OG0001697	XP_011321219.1	YNL218W
OG0001698	XP_011321222.1	YHR011W
OG0001699	XP_011321224.1	YCR091W
OG0001700	XP_011321237.1	YLL028W
OG0001701	XP_011321241.1	YLR319C
OG0001702	XP_011321244.1	YDL235C
OG0001703	XP_011321246.1	YLR384C
OG0001704	XP_011321252.1	YNL025C
OG0001705	XP_011321258.1	YNL003C
OG0001706	XP_011321268.1	YJL155C
OG0001707	XP_011321275.1	YDL077C
OG0001708	XP_011321276.1	YNR013C
OG0001709	XP_011321287.1	YER031C
OG0001710	XP_011321288.1	YOL077C
OG0001711	XP_011321290.1	YNL021W
OG0001712	XP_011321294.1	YMR240C
OG0001713	XP_011321295.1	YOR307C
OG0001714	XP_011321296.1	YNL261W
OG0001715	XP_011321301.1	YBR227C
OG0001716	XP_011321302.1	YEL011W
OG0001717	XP_011321303.1	YJR121W
OG0001718	XP_011321306.1	YIL125W
OG0001719	XP_011321307.1	YDR311W
OG0001720	XP_011321311.1	YDR267C
OG0001721	XP_011321318.1	YOL141W
OG0001722	XP_011321319.1	YFR021W
OG0001723	XP_011321320.1	YBR276C
OG0001724	XP_011321321.1	YER171W
OG0001725	XP_011321325.1	YDR473C
OG0001726	XP_011321326.1	YOR341W
OG0001727	XP_011321329.1	YDL020C
OG0001728	XP_011321330.1	YDR127W
OG0001729	XP_011321332.1	YEL051W
OG0001730	XP_011321333.1	YDR416W
OG0001731	XP_011321336.1	YER168C
OG0001732	XP_011321338.1	YNL325C
OG0001733	XP_011321340.1	YEL036C
OG0001734	XP_011321341.1	YGR158C
OG0001735	XP_011321343.1	YAR008W
OG0001736	XP_011321344.1	YPL101W
OG0001737	XP_011321345.1	YOR224C
OG0001738	XP_011321346.1	YJR142W
OG0001739	XP_011321347.1	YOL032W
OG0001740	XP_011321348.1	YER005W
OG0001741	XP_011321352.1	YPL003W
OG0001742	XP_011321354.1	YDR108W
OG0001743	XP_011321355.1	YGL174W
OG0001744	XP_011321356.1	YGR186W
OG0001745	XP_011321359.1	YKL181W
OG0001746	XP_011321361.1	YJL049W
OG0001747	XP_011321364.1	YER152C
OG0001748	XP_011321366.1	YOR244W
OG0001749	XP_011321367.1	YOL080C
OG0001750	XP_011321380.1	YPR003C
OG0001751	XP_011321386.1	YBR029C
OG0001752	XP_011321404.1	YDR323C
OG0001753	XP_011321427.1	YDR023W
OG0001754	XP_011321439.1	YKL033W-A
OG0001755	XP_011321441.1	YIL145C
OG0001756	XP_011321443.1	YBR257W
OG0001757	XP_011321445.1	YNL313C
OG0001758	XP_011321448.1	YNL014W
OG0001759	XP_011321451.1	YOR087W
OG0001760	XP_011321458.1	YNL071W
OG0001761	XP_011321461.1	YDR170C
OG0001762	XP_011321465.1	YJR093C
OG0001763	XP_011321476.1	YOR005C
OG0001764	XP_011321478.1	YDR481C
OG0001765	XP_011321491.1	YAL020C
OG0001766	XP_011321492.1	YBR166C
OG0001767	XP_011321494.1	YBL092W
OG0001768	XP_011321503.1	YNL112W
OG0001769	XP_011321506.1	YMR145C
OG0001770	XP_011321509.1	YER093C
OG0001771	XP_011321511.1	YOR150W
OG0001772	XP_011321512.1	YMR038C
OG0001773	XP_011321514.1	YOL033W
OG0001774	XP_011321516.1	YPL002C
OG0001775	XP_011321518.1	YAR014C
OG0001776	XP_011321519.1	YDL215C
OG0001777	XP_011321521.1	YNL131W
OG0001778	XP_011321523.1	YBR179C
OG0001779	XP_011321524.1	YKL002W
OG0001780	XP_011321525.1	YDL006W
OG0001781	XP_011321527.1	YDR421W
OG0001782	XP_011321528.1	YPL129W
OG0001783	XP_011321529.1	YDR002W
OG0001784	XP_011321532.1	YOR212W
OG0001785	XP_011321535.1	YDR062W
OG0001786	XP_011321536.1	YCL032W
OG0001787	XP_011321542.1	YMR281W
OG0001788	XP_011321545.1	YLR138W
OG0001789	XP_011321549.1	YOR007C
OG0001790	XP_011321573.1	YER007C-A
OG0001791	XP_011321576.1	YNL091W
OG0001792	XP_011321601.1	YLR262C-A
OG0001793	XP_011321602.1	YOL002C
OG0001794	XP_011321609.1	YPR183W
OG0001795	XP_011321614.1	YDR087C
OG0001796	XP_011321615.1	YJR072C
OG0001797	XP_011321616.1	YHR143W-A
OG0001798	XP_011321624.1	YJR140C
OG0001799	XP_011321626.1	YHR065C
OG0001800	XP_011321639.1	YMR130W
OG0001801	XP_011321652.1	YGR246C
OG0001802	XP_011321658.1	YIR022W
OG0001803	XP_011321665.1	YDL182W
OG0001804	XP_011321666.1	YCR012W
OG0001805	XP_011321668.1	YBR022W
OG0001806	XP_011321710.1	YOL154W
OG0001807	XP_011321835.1	YJR085C
OG0001808	XP_011321910.1	YKL216W
OG0001809	XP_011321915.1	YOR378W
OG0001810	XP_011321937.1	YPL165C
OG0001811	XP_011322001.1	YHR018C
OG0001812	XP_011322075.1	YLR011W
OG0001813	XP_011322111.1	YDR117C
OG0001814	XP_011322180.1	YGR282C
OG0001815	XP_011322385.1	YKR093W
OG0001816	XP_011322502.1	YIL155C
OG0001817	XP_011322503.1	YFL054C
OG0001818	XP_011322659.1	YHL016C
OG0001819	XP_011322800.1	YNL040W
OG0001820	XP_011322924.1	YDR256C
OG0001821	XP_011322991.1	YJL094C
OG0001822	XP_011323001.1	YKL213C
OG0001823	XP_011323012.1	YLR055C
OG0001824	XP_011323015.1	YGL247W
OG0001825	XP_011323016.1	YPR133C
OG0001826	XP_011323018.1	YMR216C
OG0001827	XP_011323020.1	YLR309C
OG0001828	XP_011323028.1	YGR285C
OG0001829	XP_011323029.1	YDR493W
OG0001830	XP_011323032.1	YBR221C
OG0001831	XP_011323033.1	YLR398C
OG0001832	XP_011323034.1	YKR035W-A
OG0001833	XP_011323036.1	YMR048W
OG0001834	XP_011323052.1	YLL055W
OG0001835	XP_011323350.1	YIL039W
OG0001836	XP_011323354.1	YML036W
OG0001837	XP_011323357.1	YGL216W
OG0001838	XP_011323376.1	YDR301W
OG0001839	XP_011323378.1	YLR132C
OG0001840	XP_011323379.1	YBR135W
OG0001841	XP_011323380.1	YML130C
OG0001842	XP_011323400.1	YKL099C
OG0001843	XP_011323405.1	YPL104W
OG0001844	XP_011323415.1	YGL086W
OG0001845	XP_011323416.1	YGR046W
OG0001846	XP_011323419.1	YMR247C
OG0001847	XP_011323428.1	YCR098C
OG0001848	XP_011323458.1	YNL128W
OG0001849	XP_011323459.1	YLL023C
OG0001850	XP_011323464.1	YER134C
OG0001851	XP_011323475.1	YOR250C
OG0001852	XP_011323477.1	YDR173C
OG0001853	XP_011323481.1	YER013W
OG0001854	XP_011323487.1	YDL035C
OG0001855	XP_011323489.1	YGR110W
OG0001856	XP_011323490.1	YAL009W
OG0001857	XP_011323493.1	YGL105W
OG0001858	XP_011323494.1	YFR038W
OG0001859	XP_011323496.1	YHR201C
OG0001860	XP_011323498.1	YFL036W
OG0001861	XP_011323508.1	YPL020C
OG0001862	XP_011323510.1	YHR111W
OG0001863	XP_011323511.1	YKR065C
OG0001864	XP_011323518.1	YMR096W
OG0001865	XP_011323532.1	YPL266W
OG0001866	XP_011323537.1	YPR118W
OG0001867	XP_011323538.1	YMR218C
OG0001868	XP_011323550.1	YDR429C
OG0001869	XP_011323551.1	YGR157W
OG0001870	XP_011323559.1	YDL183C
OG0001871	XP_011323561.1	YDR346C
OG0001872	XP_011323571.1	YLR410W
OG0001873	XP_011323573.1	YLR409C
OG0001874	XP_011323574.1	YDR100W
OG0001875	XP_011323575.1	YJL102W
OG0001876	XP_011323578.1	YMR244W
OG0001877	XP_011323581.1	YGL058W
OG0001878	XP_011323584.1	YDR435C
OG0001879	XP_011323585.1	YDR392W
OG0001880	XP_011323586.1	YGL140C
OG0001881	XP_011323588.1	YNL265C
OG0001882	XP_011323595.1	YDL165W
OG0001883	XP_011323596.1	YNR029C
OG0001884	XP_011323601.1	YFR031C
OG0001885	XP_011323602.1	YBR156C
OG0001886	XP_011323605.1	YDR142C
OG0001887	XP_011323607.1	YBR153W
OG0001888	XP_011323618.1	YLR014C
OG0001889	XP_011323622.1	YER002W
OG0001890	XP_011323629.1	YMR283C
OG0001891	XP_011323631.1	YNL007C
OG0001892	XP_011323634.1	YDR283C
OG0001893	XP_011323637.1	YDL209C
OG0001894	XP_011323638.1	YGR173W
OG0001895	XP_011323641.1	YML001W
OG0001896	XP_011323643.1	YEL042W
OG0001897	XP_011323648.1	YBR235W
OG0001898	XP_011323651.1	YOR037W
OG0001899	XP_011323652.1	YIL048W
OG0001900	XP_011323653.1	YDR190C
OG0001901	XP_011323656.1	YML105C
OG0001902	XP_011323657.1	YPR113W
OG0001903	XP_011323659.1	YEL021W
OG0001904	XP_011323666.1	YCR079W
OG0001905	XP_011323668.1	YMR272C
OG0001906	XP_011323678.1	YER070W
OG0001907	XP_011323687.1	YIL068C
OG0001908	XP_011323688.1	YBL047C
OG0001909	XP_011323689.1	YPL091W
OG0001910	XP_011323695.1	YNL220W
OG0001911	XP_011323696.1	YDR217C
OG0001912	XP_011323699.1	YDL234C
OG0001913	XP_011323701.1	YAL025C
OG0001914	XP_011323702.1	YJR044C
OG0001915	XP_011323703.1	YNR033W
OG0001916	XP_011323705.1	YPL222W
OG0001917	XP_011323709.1	YMR239C
OG0001918	XP_011323710.1	YGR215W
OG0001919	XP_011323713.1	YOR090C
OG0001920	XP_011323716.1	YOL073C
OG0001921	XP_011323718.1	YDR006C
OG0001922	XP_011323720.1	YNL024C-A
OG0001923	XP_011323721.1	YML098W
OG0001924	XP_011323728.1	YNL271C
OG0001925	XP_011323730.1	YGL027C
OG0001926	XP_011323731.1	YMR023C
OG0001927	XP_011323732.1	YOR184W
OG0001928	XP_011323733.1	YMR314W
OG0001929	XP_011323734.1	YJL055W
OG0001930	XP_011323737.1	YLR268W
OG0001931	XP_011323738.1	YHR187W
OG0001932	XP_011323740.1	YBR247C
OG0001933	XP_011323741.1	YGR187C
OG0001934	XP_011323746.1	YGL106W
OG0001935	XP_011323747.1	YCL057W
OG0001936	XP_011323754.1	YNL219C
OG0001937	XP_011323755.1	YNL124W
OG0001938	XP_011323758.1	YJL072C
OG0001939	XP_011323760.1	YHR020W
OG0001940	XP_011323761.1	YDR212W
OG0001941	XP_011323762.1	YEL024W
OG0001942	XP_011323772.1	YBR200W
OG0001943	XP_011323773.1	YPR045C
OG0001944	XP_011323774.1	YLR417W
OG0001945	XP_011323779.1	YNL155W
OG0001946	XP_011323787.1	YGL241W
OG0001947	XP_011323789.1	YMR300C
OG0001948	XP_011323793.1	YDL135C
OG0001949	XP_011323797.1	YGR261C
OG0001950	XP_011323799.1	YOL069W
OG0001951	XP_011323805.1	YIL023C
OG0001952	XP_011323809.1	YML059C
OG0001953	XP_011323810.1	YOR262W
OG0001954	XP_011323812.1	YHR026W
OG0001955	XP_011323813.1	YKL058W
OG0001956	XP_011323817.1	YPL213W
OG0001957	XP_011323818.1	YBR097W
OG0001958	XP_011323828.1	YIL065C
OG0001959	XP_011323830.1	YOR176W
OG0001960	XP_011323831.1	YMR284W
OG0001961	XP_011323836.1	YPL231W
OG0001962	XP_011323837.1	YKL182W
OG0001963	XP_011323838.1	YDL238C
OG0001964	XP_011323844.1	YMR078C
OG0001965	XP_011323845.1	YNL137C
OG0001966	XP_011323847.1	YPL084W
OG0001967	XP_011323854.1	YBR142W
OG0001968	XP_011323864.1	YBL008W
OG0001969	XP_011323885.1	YOL135C
OG0001970	XP_011323889.1	YGR135W
OG0001971	XP_011323890.1	YDR284C
OG0001972	XP_011323900.1	YGR047C
OG0001973	XP_011323901.1	YOR359W
OG0001974	XP_011323902.1	YFR032C-A
OG0001975	XP_011323903.1	YPR128C
OG0001976	XP_011323908.1	YMR059W
OG0001977	XP_011323910.1	YBL049W
OG0001978	XP_011323914.1	YMR012W
OG0001979	XP_011323917.1	YKR002W
OG0001980	XP_011323918.1	YMR211W
OG0001981	XP_011323922.1	YPR140W
OG0001982	XP_011323940.1	YJL026W
OG0001983	XP_011323942.1	YNL118C
OG0001984	XP_011323945.1	YKL018W
OG0001985	XP_011323946.1	YKL120W
OG0001986	XP_011323947.1	YNL119W
OG0001987	XP_011323953.1	YJL141C
OG0001988	XP_011323957.1	YNL102W
OG0001989	XP_011323961.1	YPR041W
OG0001990	XP_011323965.1	YPR016C
OG0001991	XP_011323966.1	YIL064W
OG0001992	XP_011323967.1	YAL016W
OG0001993	XP_011323968.1	YLR060W
OG0001994	XP_011323969.1	YJR110W
OG0001995	XP_011323970.1	YNL178W
OG0001996	XP_011323974.1	YFR051C
OG0001997	XP_011323976.1	YGR163W
OG0001998	XP_011323980.1	YJR098C
OG0001999	XP_011323982.1	YPL184C
OG0002000	XP_011323991.1	YDL164C
OG0002001	XP_011323992.1	YER178W
OG0002002	XP_011323994.1	YOR079C
OG0002003	XP_011323998.1	YOL078W
OG0002004	XP_011324004.1	YLR002C
OG0002005	XP_011324005.1	YHR088W
OG0002006	XP_011324008.1	YLR148W
OG0002007	XP_011324022.1	YLL026W
OG0002008	XP_011324025.1	YNL316C
OG0002009	XP_011324027.1	YLR362W
OG0002010	XP_011324033.1	YPL178W
OG0002011	XP_011324034.1	YKL138C
OG0002012	XP_011324035.1	YBR254C
OG0002013	XP_011324037.1	YBL084C
OG0002014	XP_011324038.1	YHL015W
OG0002015	XP_011324043.1	YER159C
OG0002016	XP_011324045.1	YOR089C
OG0002017	XP_011324046.1	YNL308C
OG0002018	XP_011324049.1	YGR098C
OG0002019	XP_011324054.1	YGR194C
OG0002020	XP_011324056.1	YDR280W
OG0002021	XP_011324057.1	YPL051W
OG0002022	XP_011324058.1	YDR456W
OG0002023	XP_011324059.1	YDR359C
OG0002024	XP_011324063.1	YOR330C
OG0002025	XP_011324065.1	YJL039C
OG0002026	XP_011324066.1	YBL088C
OG0002027	XP_011324069.1	YML061C
OG0002028	XP_011324070.1	YEL015W
OG0002029	XP_011324071.1	YNL294C
OG0002030	XP_011324078.1	YDL126C
OG0002031	XP_011324079.1	YKL110C
OG0002032	XP_011324081.1	YPL199C
OG0002033	XP_011324085.1	YLR215C
OG0002034	XP_011324086.1	YDR482C
OG0002035	XP_011324089.1	YKL211C
OG0002036	XP_011324090.1	YML103C
OG0002037	XP_011324091.1	YEL020W-A
OG0002038	XP_011324093.1	YGL142C
OG0002039	XP_011324096.1	YGL180W
OG0002040	XP_011324100.1	YNL248C
OG0002041	XP_011324106.1	YDL153C
OG0002042	XP_011324108.1	YJL168C
OG0002043	XP_011324109.1	YIL096C
OG0002044	XP_011324112.1	YPR180W
OG0002045	XP_011324116.1	YNR052C
OG0002046	XP_011324118.1	YJR060W
OG0002047	XP_011324119.1	YDR124W
OG0002048	XP_011324123.1	YDR135C
OG0002049	XP_011324125.1	YKL033W
OG0002050	XP_011324128.1	YDR196C
OG0002051	XP_011324131.1	YNR017W
OG0002052	XP_011324133.1	YGL067W
OG0002053	XP_011324138.1	YKL021C
OG0002054	XP_011324139.1	YNL020C
OG0002055	XP_011324147.1	YLL031C
OG0002056	XP_011324154.1	YFR016C
OG0002057	XP_011324155.1	YNL329C
OG0002058	XP_011324157.1	YNL315C
OG0002059	XP_011324159.1	YML055W
OG0002060	XP_011324160.1	YKL207W
OG0002061	XP_011324161.1	YKL144C
OG0002062	XP_011324165.1	YDR382W
OG0002063	XP_011324167.1	YOR002W
OG0002064	XP_011324170.1	YLL041C
OG0002065	XP_011324171.1	YHR076W
OG0002066	XP_011324175.1	YER043C
OG0002067	XP_011324176.1	YNL274C
OG0002068	XP_011324177.1	YFL046W
OG0002069	XP_011324181.1	YGL206C
OG0002070	XP_011324183.1	YHR028C
OG0002071	XP_011324190.1	YPR010C
OG0002072	XP_011324194.1	YJL001W
OG0002073	XP_011324195.1	YPR037C
OG0002074	XP_011324199.1	YFR025C
OG0002075	XP_011324200.1	YPL116W
OG0002076	XP_011324205.1	YJL020C
OG0002077	XP_011324212.1	YKR026C
OG0002078	XP_011324223.1	YNL139C
OG0002079	XP_011324224.1	YNL277W
OG0002080	XP_011324234.1	YGR203W
OG0002081	XP_011324238.1	YDR448W
OG0002082	XP_011324239.1	YBR018C
OG0002083	XP_011324240.1	YER044C
OG0002084	XP_011324241.1	YBR159W
OG0002085	XP_011324259.1	YDR365C
OG0002086	XP_011324260.1	YJL033W
OG0002087	XP_011324263.1	YBR019C
OG0002088	XP_011324264.1	YBR046C
OG0002089	XP_011324274.1	YCR072C
OG0002090	XP_011324276.1	YFL003C
OG0002091	XP_011324291.1	YCR053W
OG0002092	XP_011324307.1	YHR181W
OG0002093	XP_011324308.1	YCR047C
OG0002094	XP_011324315.1	YNL037C
OG0002095	XP_011324317.1	YDR330W
OG0002096	XP_011324318.1	YHL030W
OG0002097	XP_011324334.1	YDR334W
OG0002098	XP_011324352.1	YPL150W
OG0002099	XP_011324363.1	YDR266C
OG0002100	XP_011324364.1	YHR079C
OG0002101	XP_011324366.1	YOR361C
OG0002102	XP_011324367.1	YIL142W
OG0002103	XP_011324444.1	YBR196C
OG0002104	XP_011324445.1	YGL137W
OG0002105	XP_011324455.1	YGR267C
OG0002106	XP_011324456.1	YJR119C
OG0002107	XP_011324458.1	YDL030W
OG0002108	XP_011324464.1	YER154W
OG0002109	XP_011324465.1	YOL026C
OG0002110	XP_011324466.1	YBL058W
OG0002111	XP_011324467.1	YML121W
OG0002112	XP_011324473.1	YNL181W
OG0002113	XP_011324494.1	YDR472W
OG0002114	XP_011324496.1	YNL231C
OG0002115	XP_011324500.1	YOR014W
OG0002116	XP_011324501.1	YBR123C
OG0002117	XP_011324503.1	YNL326C
OG0002118	XP_011324505.1	YPL268W
OG0002119	XP_011324508.1	YOL098C
OG0002120	XP_011324509.1	YJR117W
OG0002121	XP_011324511.1	YDR430C
OG0002122	XP_011324512.1	YKL184W
OG0002123	XP_011324513.1	YBR114W
OG0002124	XP_011324518.1	YGR171C
OG0002125	XP_011324520.1	YKL019W
OG0002126	XP_011324521.1	YMR208W
OG0002127	XP_011324525.1	YLR325C
OG0002128	XP_011324542.1	YDR116C
OG0002129	XP_011324559.1	YPL239W
OG0002130	XP_011324560.1	YHL022C
OG0002131	XP_011324561.1	YHR072W
OG0002132	XP_011324563.1	YOR057W
OG0002133	XP_011324565.1	YLR105C
OG0002134	XP_011324567.1	YDR454C
OG0002135	XP_011324569.1	YBR137W
OG0002136	XP_011324575.1	YNL247W
OG0002137	XP_011324576.1	YJL125C
OG0002138	XP_011324578.1	YLR147C
OG0002139	XP_011324585.1	YKL067W
OG0002140	XP_011324586.1	YBR229C
OG0002141	XP_011324593.1	YDR320C
OG0002142	XP_011324600.1	YJL014W
OG0002143	XP_011324602.1	YDR051C
OG0002144	XP_011324609.1	YIR029W
OG0002145	XP_011324610.1	YPR089W
OG0002146	XP_011324621.1	YLR005W
OG0002147	XP_011324625.1	YDL120W
OG0002148	XP_011324626.1	YJL024C
OG0002149	XP_011324628.1	YPL160W
OG0002150	XP_011324630.1	YBL071W-A
OG0002151	XP_011324635.1	YLR422W
OG0002152	XP_011324638.1	YJR123W
OG0002153	XP_011324640.1	YBR085W
OG0002154	XP_011324646.1	YNL290W
OG0002155	XP_011324649.1	YDR390C
OG0002156	XP_011324652.1	YGL213C
OG0002157	XP_011324653.1	YCR002C
OG0002158	XP_011324659.1	YMR286W
OG0002159	XP_011324660.1	YPR023C
OG0002160	XP_011324661.1	YBR115C
OG0002161	XP_011324664.1	YDR145W
OG0002162	XP_011324665.1	YER021W
OG0002163	XP_011324668.1	Q0130
OG0002164	XP_011324669.1	YOR001W
OG0002165	XP_011324671.1	YBR126C
OG0002166	XP_011324672.1	YNL212W
OG0002167	XP_011324679.1	YGR216C
OG0002168	XP_011324687.1	YNL262W
OG0002169	XP_011324689.1	YGL110C
OG0002170	XP_011324692.1	YCR017C
OG0002171	XP_011324693.1	YDR449C
OG0002172	XP_011324694.1	YPL016W
OG0002173	XP_011324695.1	YCR071C
OG0002174	XP_011324697.1	YNL172W
OG0002175	XP_011324698.1	YDR080W
OG0002176	XP_011324701.1	YBL080C
OG0002177	XP_011324703.1	YPR061C
OG0002178	XP_011324709.1	YOR124C
OG0002179	XP_011324713.1	YHR099W
OG0002180	XP_011324716.1	YKL022C
OG0002181	XP_011324717.1	YOR202W
OG0002182	XP_011324718.1	YMR062C
OG0002183	XP_011324720.1	YGR083C
OG0002184	XP_011324724.1	YHR058C
OG0002185	XP_011324725.1	YMR128W
OG0002186	XP_011324727.1	YLR433C
OG0002187	XP_011324731.1	YDL122W
OG0002188	XP_011324735.1	YDR470C
OG0002189	XP_011324736.1	YPL252C
OG0002190	XP_011324737.1	YPR143W
OG0002191	XP_011324740.1	YAL032C
OG0002192	XP_011324744.1	YDL217C
OG0002193	XP_011324746.1	YHR100C
OG0002194	XP_011324747.1	YBR060C
OG0002195	XP_011324748.1	YMR013C
OG0002196	XP_011324753.1	YOR388C
OG0002197	XP_011324767.1	YPR018W
OG0002198	XP_011324769.1	YIL047C
OG0002199	XP_011324776.1	YLR205C
OG0002200	XP_011324778.1	YNL191W
OG0002201	XP_011324783.1	YHR009C
OG0002202	XP_011324787.1	YJR045C
OG0002203	XP_011324791.1	YHR172W
OG0002204	XP_011324792.1	YGR253C
OG0002205	XP_011324795.1	YDR083W
OG0002206	XP_011324796.1	YER143W
OG0002207	XP_011324800.1	YPL093W
OG0002208	XP_011324801.1	YER136W
OG0002209	XP_011324802.1	YLR439W
OG0002210	XP_011324809.1	YMR033W
OG0002211	XP_011324811.1	YBR223C
OG0002212	XP_011324815.1	YPL094C
OG0002213	XP_011324816.1	YDR308C
OG0002214	XP_011324820.1	YLL032C
OG0002215	XP_011324822.1	YBL022C
OG0002216	XP_011324825.1	YGL055W
OG0002217	XP_011324832.1	YBL034C
OG0002218	XP_011324840.1	YJL100W
OG0002219	XP_011324842.1	YOR215C
OG0002220	XP_011324846.1	YCL059C
OG0002221	XP_011324847.1	YNL185C
OG0002222	XP_011324850.1	YNL183C
OG0002223	XP_011324851.1	YOR020C
OG0002224	XP_011324856.1	YNL201C
OG0002225	XP_011324859.1	YPL227C
OG0002226	XP_011324860.1	YGR175C
OG0002227	XP_011324865.1	YJR007W
OG0002228	XP_011324866.1	YMR035W
