	Eremothecium_coryli	Saccharomyces_cerevisiae
OG0002822	snap_masked-AZAH01000007.1-processed-gene-3.69-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.69&CDS=1-810	YML014W
OG0002823	snap_masked-AZAH01000007.1-processed-gene-3.70-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.70&CDS=1-1767	YML013W
OG0002824	snap_masked-AZAH01000007.1-processed-gene-3.94-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.94&CDS=1-948	YDR432W
OG0002825	augustus_masked-AZAH01000007.1-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.21&CDS=1-3468	YDR430C
OG0002826	snap_masked-AZAH01000007.1-processed-gene-3.95-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.95&CDS=1-519	YML011C
OG0002827	snap_masked-AZAH01000007.1-processed-gene-3.73-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.73&CDS=1-2895	YML010W
OG0002828	augustus_masked-AZAH01000007.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.44&CDS=1-273	YML009C
OG0002829	snap_masked-AZAH01000007.1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.74&CDS=1-810	YDR429C
OG0002830	snap_masked-AZAH01000007.1-processed-gene-3.75-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.75&CDS=1-726	YDR428C
OG0002831	snap_masked-AZAH01000007.1-processed-gene-3.96-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.96&CDS=1-1176	YDR427W
OG0002832	snap_masked-AZAH01000007.1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.97&CDS=1-1914	YDR425W
OG0002833	augustus_masked-AZAH01000007.1-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.48&CDS=1-2118	YDR422C
OG0002834	augustus_masked-AZAH01000007.1-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.49&CDS=1-891	YDR423C
OG0002835	snap_masked-AZAH01000007.1-processed-gene-3.76-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.76&CDS=1-1173	YML008C
OG0002836	augustus_masked-AZAH01000007.1-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.50&CDS=1-1632	YML006C
OG0002837	augustus_masked-AZAH01000007.1-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.60&CDS=1-432	YKR074W
OG0002838	snap_masked-AZAH01000007.1-processed-gene-4.127-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.127&CDS=1-1374	YOR059C
OG0002839	snap_masked-AZAH01000007.1-processed-gene-4.128-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.128&CDS=1-780	YOR060C
OG0002840	snap_masked-AZAH01000007.1-processed-gene-4.124-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.124&CDS=1-1161	YOR063W
OG0002841	genemark-AZAH01000007.1-processed-gene-4.7-mRNA-1_1&gene=genemark-AZAH01000007.1-processed-gene-4.7&CDS=1-543	YOR064C
OG0002842	snap_masked-AZAH01000007.1-processed-gene-4.125-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.125&CDS=1-894	YOR065W
OG0002843	augustus_masked-AZAH01000007.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.67&CDS=1-1581	YOR066W
OG0002844	snap_masked-AZAH01000007.1-processed-gene-4.159-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.159&CDS=1-1905	YOR067C
OG0002845	snap_masked-AZAH01000007.1-processed-gene-4.130-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.130&CDS=1-1926	YOR069W
OG0002846	augustus_masked-AZAH01000007.1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.96&CDS=1-4203	YKR079C
OG0002847	snap_masked-AZAH01000007.1-processed-gene-4.131-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.131&CDS=1-963	YKR080W
OG0002848	snap_masked-AZAH01000007.1-processed-gene-4.162-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.162&CDS=1-1017	YKR081C
OG0002849	augustus_masked-AZAH01000007.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.70&CDS=1-3393	YKR082W
OG0002850	snap_masked-AZAH01000007.1-processed-gene-4.163-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.163&CDS=1-339	YKR083C
OG0002851	snap_masked-AZAH01000007.1-processed-gene-4.133-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.133&CDS=1-1908	YOR073W
OG0002852	snap_masked-AZAH01000007.1-processed-gene-4.164-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.164&CDS=1-930	YOR074C
OG0002853	augustus_masked-AZAH01000007.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.72&CDS=1-984	YOR075W
OG0002854	snap_masked-AZAH01000007.1-processed-gene-4.167-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.167&CDS=1-987	YKR087C
OG0002855	snap_masked-AZAH01000007.1-processed-gene-4.136-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.136&CDS=1-714	YOR077W
OG0002856	snap_masked-AZAH01000007.1-processed-gene-4.168-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.168&CDS=1-921	YKR088C
OG0002857	augustus_masked-AZAH01000007.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.76&CDS=1-705	YOR078W
OG0002858	snap_masked-AZAH01000007.1-processed-gene-4.139-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.139&CDS=1-2067	YOR080W
OG0002859	snap_masked-AZAH01000007.1-processed-gene-4.169-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.169&CDS=1-2637	YKR089C
OG0002860	snap_masked-AZAH01000007.1-processed-gene-4.140-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.140&CDS=1-2289	YKR090W
OG0002861	snap_masked-AZAH01000007.1-processed-gene-4.141-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.141&CDS=1-1275	YOR083W
OG0002862	augustus_masked-AZAH01000007.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.79&CDS=1-1167	YOR084W
OG0002863	snap_masked-AZAH01000007.1-processed-gene-4.171-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.171&CDS=1-1107	YKR092C
OG0002864	augustus_masked-AZAH01000007.1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.80&CDS=1-2487	YIL143C
OG0002865	snap_masked-AZAH01000007.1-processed-gene-4.172-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.172&CDS=1-1998	YIL144W
OG0002866	snap_masked-AZAH01000007.1-processed-gene-4.144-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.144&CDS=1-936	YIL145C
OG0002867	snap_masked-AZAH01000007.1-processed-gene-4.145-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.145&CDS=1-1368	YIL146C
OG0002868	snap_masked-AZAH01000007.1-processed-gene-4.146-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.146&CDS=1-2967	YIL147C
OG0002869	augustus_masked-AZAH01000007.1-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.84&CDS=1-5268	YKR095W
OG0002870	snap_masked-AZAH01000007.1-processed-gene-4.148-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.148&CDS=1-1734	YIL150C
OG0002871	augustus_masked-AZAH01000007.1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.86&CDS=1-264	YKR095W-A
OG0002872	snap_masked-AZAH01000007.1-processed-gene-4.151-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.151&CDS=1-3810	YKR096W
OG0002873	snap_masked-AZAH01000007.1-processed-gene-4.152-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.152&CDS=1-1626	YKR097W
OG0002874	snap_masked-AZAH01000007.1-processed-gene-4.174-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.174&CDS=1-1191	YIL153W
OG0002875	augustus_masked-AZAH01000007.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.89&CDS=1-2667	YIL155C
OG0002876	snap_masked-AZAH01000007.1-processed-gene-4.176-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.176&CDS=1-3558	YIL156W
OG0002877	snap_masked-AZAH01000007.1-processed-gene-4.154-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.154&CDS=1-2250	YKR099W
OG0002878	snap_masked-AZAH01000007.1-processed-gene-4.177-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.177&CDS=1-219	YIL156W-B
OG0002879	snap_masked-AZAH01000007.1-processed-gene-4.155-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.155&CDS=1-552	YIL157C
OG0002880	snap_masked-AZAH01000007.1-processed-gene-4.178-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.178&CDS=1-1002	YKR100C
OG0002881	snap_masked-AZAH01000007.1-processed-gene-4.156-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.156&CDS=1-1209	YIL160C
OG0002882	snap_masked-AZAH01000008.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.5&CDS=1-1863	YDL057W
OG0002883	snap_masked-AZAH01000008.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.6&CDS=1-2349	YDL056W
OG0002884	snap_masked-AZAH01000008.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.29&CDS=1-1083	YDL055C
OG0002885	augustus_masked-AZAH01000008.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-0.57&CDS=1-978	YHL013C
OG0002886	snap_masked-AZAH01000008.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.30&CDS=1-354	YHL015W
OG0002887	snap_masked-AZAH01000008.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.9&CDS=1-2058	YHL016C
OG0002888	snap_masked-AZAH01000008.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.10&CDS=1-729	YKL040C
OG0002889	snap_masked-AZAH01000008.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.32&CDS=1-312	YHL018W
OG0002890	snap_masked-AZAH01000008.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.11&CDS=1-1509	YHL019C
OG0002891	snap_masked-AZAH01000008.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.12&CDS=1-1107	YHL020C
OG0002892	snap_masked-AZAH01000008.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.33&CDS=1-672	YKL041W
OG0002893	snap_masked-AZAH01000008.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.13&CDS=1-3696	YMR012W
OG0002894	snap_masked-AZAH01000008.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.34&CDS=1-1485	YMR013C
OG0002895	snap_masked-AZAH01000008.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.15&CDS=1-1491	YMR014W
OG0002896	snap_masked-AZAH01000008.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.35&CDS=1-1113	YKL042W
OG0002897	snap_masked-AZAH01000008.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.37&CDS=1-1527	YKL045W
OG0002898	snap_masked-AZAH01000008.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.16&CDS=1-1539	YMR020W
OG0002899	snap_masked-AZAH01000008.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.38&CDS=1-1302	YMR021C
OG0002900	maker-AZAH01000008.1-augustus-gene-0.53-mRNA-1_1&gene=maker-AZAH01000008.1-augustus-gene-0.53&CDS=1-1134	YMR022W
OG0002901	snap_masked-AZAH01000008.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.39&CDS=1-1581	YKL047W
OG0002902	snap_masked-AZAH01000008.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.19&CDS=1-333	YKL061W
OG0002903	snap_masked-AZAH01000008.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.40&CDS=1-1479	YMR023C
OG0002904	snap_masked-AZAH01000008.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.22&CDS=1-1056	YMR024W
OG0002905	snap_masked-AZAH01000008.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.41&CDS=1-1035	YMR026C
OG0002906	snap_masked-AZAH01000008.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.42&CDS=1-1080	YKL060C
OG0002907	snap_masked-AZAH01000008.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.24&CDS=1-1350	YMR027W
OG0002908	snap_masked-AZAH01000008.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.43&CDS=1-1266	YKL059C
OG0002909	snap_masked-AZAH01000008.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.25&CDS=1-1476	YKL058W
OG0002910	snap_masked-AZAH01000008.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.44&CDS=1-3099	YKL057C
OG0002911	snap_masked-AZAH01000008.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.45&CDS=1-1746	YMR029C
OG0002912	snap_masked-AZAH01000008.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.46&CDS=1-501	YKL056C
OG0002913	snap_masked-AZAH01000008.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.47&CDS=1-861	YKL055C
OG0002914	snap_masked-AZAH01000008.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.48&CDS=1-2118	YKL054C
OG0002915	augustus_masked-AZAH01000008.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-0.96&CDS=1-252	YKL053C-A
OG0002916	snap_masked-AZAH01000008.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.50&CDS=1-816	YKL052C
OG0002917	snap_masked-AZAH01000008.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.26&CDS=1-954	YKL051W
OG0002918	snap_masked-AZAH01000008.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.51&CDS=1-2430	YMR031C
OG0002919	snap_masked-AZAH01000008.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.27&CDS=1-2031	YMR032W
OG0002920	snap_masked-AZAH01000008.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.52&CDS=1-597	YKL049C
OG0002921	snap_masked-AZAH01000008.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.28&CDS=1-1389	YMR033W
OG0002922	snap_masked-AZAH01000008.1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.3&CDS=1-1320	YMR034C
OG0002923	snap_masked-AZAH01000008.1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.1&CDS=1-444	YMR035W
OG0002924	snap_masked-AZAH01000008.1-processed-gene-1.4-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.4&CDS=1-1590	YMR036C
OG0002925	snap_masked-AZAH01000008.1-processed-gene-1.2-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.2&CDS=1-546	YKL063C
OG0002926	maker-AZAH01000008.1-augustus-gene-1.100-mRNA-1_1&gene=maker-AZAH01000008.1-augustus-gene-1.100&CDS=1-3522	YKL064W
OG0002927	snap_masked-AZAH01000008.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.30&CDS=1-786	YMR039C
OG0002928	snap_masked-AZAH01000008.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.8&CDS=1-1017	YMR041C
OG0002929	snap_masked-AZAH01000008.1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.33&CDS=1-453	YKL067W
OG0002930	snap_masked-AZAH01000008.1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.34&CDS=1-1410	YMR044W
OG0002931	snap_masked-AZAH01000008.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.35&CDS=1-621	YMR043W
OG0002932	snap_masked-AZAH01000008.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.10&CDS=1-1362	YDR317W
OG0002933	snap_masked-AZAH01000008.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.11&CDS=1-1089	YDR318W
OG0002934	snap_masked-AZAH01000008.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.12&CDS=1-2193	YHR072W
OG0002935	augustus_masked-AZAH01000008.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-1.85&CDS=1-2346	YDR320C
OG0002936	snap_masked-AZAH01000008.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.13&CDS=1-177	YHR072W-A
OG0002937	snap_masked-AZAH01000008.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.38&CDS=1-234	YDR320C-A
OG0002938	augustus_masked-AZAH01000008.1-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-1.66&CDS=1-4116	YDR321W
OG0002939	snap_masked-AZAH01000008.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.16&CDS=1-2142	YHR074W
OG0002940	snap_masked-AZAH01000008.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.39&CDS=1-1146	YHR075C
OG0002941	snap_masked-AZAH01000008.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.18&CDS=1-1056	YDR322W
OG0002942	snap_masked-AZAH01000008.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.41&CDS=1-273	YDR322C-A
OG0002943	augustus_masked-AZAH01000008.1-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-1.69&CDS=1-1014	YHR076W
OG0002944	augustus_masked-AZAH01000008.1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-1.90&CDS=1-4608	YHR077C
OG0002945	snap_masked-AZAH01000008.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.20&CDS=1-1605	YHR078W
OG0002946	snap_masked-AZAH01000008.1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.44&CDS=1-2205	YDR324C
OG0002947	snap_masked-AZAH01000008.1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.21&CDS=1-2907	YDR325W
OG0002948	snap_masked-AZAH01000008.1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.45&CDS=1-3348	YHR079C
OG0002949	snap_masked-AZAH01000008.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.46&CDS=1-273	YHR079C-A
OG0002950	snap_masked-AZAH01000008.1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.48&CDS=1-537	YDR328C
OG0002951	snap_masked-AZAH01000008.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.49&CDS=1-1404	YDR329C
OG0002952	augustus_masked-AZAH01000008.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-1.72&CDS=1-528	YHR081W
OG0002953	snap_masked-AZAH01000008.1-processed-gene-1.23-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.23&CDS=1-1497	YDR330W
OG0002954	snap_masked-AZAH01000008.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.24&CDS=1-963	YDR331W
OG0002955	snap_masked-AZAH01000008.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.50&CDS=1-2607	YHR082C
OG0002956	snap_masked-AZAH01000008.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.25&CDS=1-2091	YDR332W
OG0002957	augustus_masked-AZAH01000008.1-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-1.76&CDS=1-1020	YHR083W
OG0002958	snap_masked-AZAH01000008.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.26&CDS=1-2211	YHR084W
OG0002959	snap_masked-AZAH01000008.1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.52&CDS=1-2100	YDR333C
OG0002960	snap_masked-AZAH01000008.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.27&CDS=1-1038	YHR085W
OG0002961	augustus_masked-AZAH01000008.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-1.79&CDS=1-1716	YHR086W
OG0002962	snap_masked-AZAH01000008.1-processed-gene-2.92-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.92&CDS=1-4398	YDR334W
OG0002963	snap_masked-AZAH01000008.1-processed-gene-2.93-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.93&CDS=1-879	YHR088W
OG0002964	snap_masked-AZAH01000008.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.94&CDS=1-3660	YDR335W
OG0002965	augustus_masked-AZAH01000008.1-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-2.3&CDS=1-1104	YDR336W
OG0002966	augustus_masked-AZAH01000008.1-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-2.15&CDS=1-666	YHR089C
OG0002967	snap_masked-AZAH01000008.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.97&CDS=1-855	YDR337W
OG0002968	maker-AZAH01000008.1-augustus-gene-2.42-mRNA-1_1&gene=maker-AZAH01000008.1-augustus-gene-2.42&CDS=1-3228	YDR338C
OG0002969	snap_masked-AZAH01000008.1-processed-gene-2.112-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.112&CDS=1-855	YHR090C
OG0002970	snap_masked-AZAH01000008.1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.98&CDS=1-534	YLR326W
OG0002971	snap_masked-AZAH01000008.1-processed-gene-2.113-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.113&CDS=1-567	YDR339C
OG0002972	snap_masked-AZAH01000008.1-processed-gene-2.115-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.115&CDS=1-1818	YDR341C
OG0002973	snap_masked-AZAH01000008.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.118&CDS=1-1173	YDR346C
OG0002974	snap_masked-AZAH01000008.1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.99&CDS=1-894	YDR347W
OG0002975	snap_masked-AZAH01000008.1-processed-gene-2.119-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.119&CDS=1-1572	YHR097C
OG0002976	snap_masked-AZAH01000008.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.120&CDS=1-2694	YHR098C
OG0002977	augustus_masked-AZAH01000008.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-2.25&CDS=1-1647	YDR349C
OG0002978	augustus_masked-AZAH01000008.1-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-2.9&CDS=1-2472	YJR010W
OG0002979	snap_masked-AZAH01000008.1-processed-gene-2.122-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.122&CDS=1-1230	YGR193C
OG0002980	snap_masked-AZAH01000008.1-processed-gene-2.124-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.124&CDS=1-1617	YJR004C
OG0002981	maker-AZAH01000008.1-snap-gene-2.90-mRNA-1_1&gene=maker-AZAH01000008.1-snap-gene-2.90&CDS=1-3411	YNR055C
OG0002982	snap_masked-AZAH01000008.1-processed-gene-2.127-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.127&CDS=1-1416	YLR005W
OG0002983	snap_masked-AZAH01000008.1-processed-gene-2.104-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.104&CDS=1-918	YLR003C
OG0002984	snap_masked-AZAH01000008.1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.129&CDS=1-2082	YJR005W
OG0002985	snap_masked-AZAH01000008.1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.130&CDS=1-2091	YLR006C
