	Nadsonia_fulvescens_var_elongata	Saccharomyces_cerevisiae
OG0002876	snap_masked-scaffold_6-processed-gene-8.50-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.50&CDS=1-1401	YDR470C
OG0002877	snap_masked-scaffold_6-processed-gene-8.17-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.17&CDS=1-4770	YNL172W
OG0002878	snap_masked-scaffold_6-processed-gene-8.18-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.18&CDS=1-1122	YHR144C
OG0002879	snap_masked-scaffold_6-processed-gene-8.52-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.52&CDS=1-2313	YKL155C
OG0002880	maker-scaffold_6-snap-gene-8.136-mRNA-1_1&gene=maker-scaffold_6-snap-gene-8.136&CDS=1-2226	YLR127C
OG0002881	snap_masked-scaffold_6-processed-gene-8.61-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.61&CDS=1-1611	YMR221C
OG0002882	maker-scaffold_6-snap-gene-8.139-mRNA-1_1&gene=maker-scaffold_6-snap-gene-8.139&CDS=1-1716	YOR027W
OG0002883	snap_masked-scaffold_6-processed-gene-8.63-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.63&CDS=1-4329	YLR419W
OG0002884	snap_masked-scaffold_6-processed-gene-8.27-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.27&CDS=1-453	YGL058W
OG0002885	snap_masked-scaffold_6-processed-gene-8.65-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.65&CDS=1-1026	YGL232W
OG0002886	maker-scaffold_7-snap-gene-0.45-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.45&CDS=1-1836	YLL055W
OG0002887	snap_masked-scaffold_7-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.15&CDS=1-2499	YOR370C
OG0002888	snap_masked-scaffold_7-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.38&CDS=1-2085	YOR329C
OG0002889	snap_masked-scaffold_7-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.18&CDS=1-1071	YPR011C
OG0002890	maker-scaffold_7-snap-gene-1.30-mRNA-1_1&gene=maker-scaffold_7-snap-gene-1.30&CDS=1-4683	YOL051W
OG0002891	snap_masked-scaffold_7-processed-gene-1.83-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.83&CDS=1-1959	YAL016W
OG0002892	snap_masked-scaffold_7-processed-gene-1.70-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.70&CDS=1-4257	YIL112W
OG0002893	snap_masked-scaffold_7-processed-gene-1.84-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.84&CDS=1-1041	YDR400W
OG0002894	snap_masked-scaffold_7-processed-gene-1.72-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.72&CDS=1-855	YJR096W
OG0002895	snap_masked-scaffold_7-processed-gene-1.87-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.87&CDS=1-3978	YKL215C
OG0002896	maker-scaffold_7-augustus-gene-1.63-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-1.63&CDS=1-2682	YCR084C
OG0002897	snap_masked-scaffold_7-processed-gene-1.91-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.91&CDS=1-4749	YNL102W
OG0002898	snap_masked-scaffold_7-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.92&CDS=1-2664	YML035C
OG0002899	snap_masked-scaffold_7-processed-gene-1.80-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.80&CDS=1-600	YKL001C
OG0002900	augustus_masked-scaffold_7-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.47&CDS=1-300	YKL003C
OG0002901	maker-scaffold_7-augustus-gene-2.72-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-2.72&CDS=1-1212	YPL154C
OG0002902	snap_masked-scaffold_7-processed-gene-2.84-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.84&CDS=1-8127	YGL195W
OG0002903	snap_masked-scaffold_7-processed-gene-2.86-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.86&CDS=1-219	YMR256C
OG0002904	snap_masked-scaffold_7-processed-gene-2.90-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.90&CDS=1-2073	YBR280C
OG0002905	snap_masked-scaffold_7-processed-gene-2.94-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.94&CDS=1-1260	YNL289W
OG0002906	snap_masked-scaffold_7-processed-gene-2.113-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.113&CDS=1-546	YPL178W
OG0002907	maker-scaffold_7-snap-gene-2.33-mRNA-1_1&gene=maker-scaffold_7-snap-gene-2.33&CDS=1-6810	YKR031C
OG0002908	snap_masked-scaffold_7-processed-gene-2.98-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.98&CDS=1-2007	YBL035C
OG0002909	snap_masked-scaffold_7-processed-gene-2.114-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.114&CDS=1-2244	YBR086C
OG0002910	snap_masked-scaffold_7-processed-gene-2.99-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.99&CDS=1-708	YBL036C
OG0002911	snap_masked-scaffold_7-processed-gene-3.90-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.90&CDS=1-1095	YMR024W
OG0002912	maker-scaffold_7-snap-gene-3.42-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.42&CDS=1-4899	YBL034C
OG0002913	maker-scaffold_7-snap-gene-3.37-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.37&CDS=1-588	YKR035W-A
OG0002914	augustus_masked-scaffold_7-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.49&CDS=1-1194	YPR201W
OG0002915	augustus_masked-scaffold_7-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.50&CDS=1-1008	YBR290W
OG0002916	snap_masked-scaffold_7-processed-gene-3.98-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.98&CDS=1-2430	YBR225W
OG0002917	maker-scaffold_7-snap-gene-3.38-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.38&CDS=1-654	YPL233W
OG0002918	snap_masked-scaffold_7-processed-gene-3.100-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.100&CDS=1-4797	YGR116W
OG0002919	snap_masked-scaffold_7-processed-gene-3.102-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.102&CDS=1-3711	YPR185W
OG0002920	maker-scaffold_7-snap-gene-3.43-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.43&CDS=1-2121	YPL248C
OG0002921	snap_masked-scaffold_7-processed-gene-3.120-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.120&CDS=1-2727	YGL083W
OG0002922	snap_masked-scaffold_7-processed-gene-3.122-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.122&CDS=1-951	YOR006C
OG0002923	snap_masked-scaffold_7-processed-gene-3.108-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.108&CDS=1-2580	YPR031W
OG0002924	snap_masked-scaffold_7-processed-gene-3.123-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.123&CDS=1-939	YDL045C
OG0002925	snap_masked-scaffold_7-processed-gene-3.124-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.124&CDS=1-1308	YDL044C
OG0002926	maker-scaffold_7-augustus-gene-3.83-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.83&CDS=1-921	YIL021W
OG0002927	augustus_masked-scaffold_7-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.64&CDS=1-1722	YDR294C
OG0002928	maker-scaffold_7-snap-gene-3.41-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.41&CDS=1-984	YPR176C
OG0002929	snap_masked-scaffold_7-processed-gene-3.113-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.113&CDS=1-489	YPR187W
OG0002930	maker-scaffold_7-snap-gene-3.44-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.44&CDS=1-1056	YBR111C
OG0002931	snap_masked-scaffold_7-processed-gene-3.115-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.115&CDS=1-807	YLR128W
OG0002932	snap_masked-scaffold_7-processed-gene-3.116-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.116&CDS=1-4581	YPR184W
OG0002933	snap_masked-scaffold_7-processed-gene-4.24-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.24&CDS=1-1776	YDL057W
OG0002934	maker-scaffold_7-snap-gene-4.98-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.98&CDS=1-996	YDR079W
OG0002935	snap_masked-scaffold_7-processed-gene-4.5-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.5&CDS=1-996	YER156C
OG0002936	snap_masked-scaffold_7-processed-gene-4.29-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.29&CDS=1-1791	YMR063W
OG0002937	snap_masked-scaffold_7-processed-gene-4.31-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.31&CDS=1-1053	YOL018C
OG0002938	snap_masked-scaffold_7-processed-gene-4.32-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.32&CDS=1-3723	YKR082W
OG0002939	snap_masked-scaffold_7-processed-gene-4.33-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.33&CDS=1-369	YJR063W
OG0002940	snap_masked-scaffold_7-processed-gene-4.37-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.37&CDS=1-234	YNR032C-A
OG0002941	snap_masked-scaffold_7-processed-gene-4.11-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.11&CDS=1-1536	YCR072C
OG0002942	snap_masked-scaffold_7-processed-gene-4.39-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.39&CDS=1-741	YHR041C
OG0002943	snap_masked-scaffold_7-processed-gene-4.14-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.14&CDS=1-2118	YAR018C
OG0002944	snap_masked-scaffold_7-processed-gene-4.40-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.40&CDS=1-678	YPR067W
OG0002945	snap_masked-scaffold_7-processed-gene-4.41-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.41&CDS=1-570	YGL047W
OG0002946	snap_masked-scaffold_7-processed-gene-4.42-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.42&CDS=1-675	YGR167W
OG0002947	maker-scaffold_7-snap-gene-4.96-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.96&CDS=1-1239	YDR289C
OG0002948	snap_masked-scaffold_7-processed-gene-4.18-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.18&CDS=1-3066	YNL325C
OG0002949	augustus_masked-scaffold_7-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.120&CDS=1-783	YKL207W
OG0002950	augustus_masked-scaffold_7-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.122&CDS=1-1413	YAL022C
OG0002951	snap_masked-scaffold_7-processed-gene-4.44-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.44&CDS=1-1143	YPL138C
OG0002952	snap_masked-scaffold_7-processed-gene-4.46-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.46&CDS=1-213	YOR210W
OG0002953	snap_masked-scaffold_7-processed-gene-5.85-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.85&CDS=1-1773	YJR016C
OG0002954	snap_masked-scaffold_7-processed-gene-5.86-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.86&CDS=1-2565	YBL023C
OG0002955	augustus_masked-scaffold_7-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.17&CDS=1-1584	YBR006W
OG0002956	snap_masked-scaffold_7-processed-gene-5.105-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.105&CDS=1-2577	YPL084W
OG0002957	augustus_masked-scaffold_7-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.35&CDS=1-804	YFR052W
OG0002958	maker-scaffold_7-snap-gene-5.7-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.7&CDS=1-2175	YMR216C
OG0002959	snap_masked-scaffold_7-processed-gene-5.106-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.106&CDS=1-1797	YDR004W
OG0002960	snap_masked-scaffold_7-processed-gene-5.92-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.92&CDS=1-2700	YMR266W
OG0002961	snap_masked-scaffold_7-processed-gene-5.108-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.108&CDS=1-1041	YOL094C
OG0002962	maker-scaffold_7-snap-gene-5.8-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.8&CDS=1-1908	YAL048C
OG0002963	snap_masked-scaffold_7-processed-gene-5.109-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.109&CDS=1-2298	YGR128C
OG0002964	snap_masked-scaffold_7-processed-gene-5.97-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.97&CDS=1-1119	YJL125C
OG0002965	snap_masked-scaffold_7-processed-gene-5.110-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.110&CDS=1-378	YAL046C
OG0002966	snap_masked-scaffold_7-processed-gene-5.100-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.100&CDS=1-2229	YJL106W
OG0002967	snap_masked-scaffold_7-processed-gene-5.101-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.101&CDS=1-396	YJL104W
OG0002968	maker-scaffold_7-snap-gene-5.13-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.13&CDS=1-1017	YIR029W
OG0002969	snap_masked-scaffold_7-processed-gene-5.103-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.103&CDS=1-717	YCR016W
OG0002970	maker-scaffold_7-snap-gene-6.56-mRNA-1_1&gene=maker-scaffold_7-snap-gene-6.56&CDS=1-219	YML081C-A
OG0002971	snap_masked-scaffold_7-processed-gene-6.112-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.112&CDS=1-1857	YCR014C
OG0002972	snap_masked-scaffold_7-processed-gene-6.113-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.113&CDS=1-888	YCR015C
OG0002973	snap_masked-scaffold_7-processed-gene-6.131-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.131&CDS=1-1824	YDR091C
OG0002974	snap_masked-scaffold_7-processed-gene-6.116-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.116&CDS=1-4851	YER164W
OG0002975	snap_masked-scaffold_7-processed-gene-6.117-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.117&CDS=1-1968	YER165W
OG0002976	snap_masked-scaffold_7-processed-gene-6.118-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.118&CDS=1-492	YDR092W
OG0002977	snap_masked-scaffold_7-processed-gene-6.132-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.132&CDS=1-582	YHR193C
OG0002978	snap_masked-scaffold_7-processed-gene-6.121-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.121&CDS=1-1437	YGR019W
OG0002979	snap_masked-scaffold_7-processed-gene-6.135-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.135&CDS=1-3135	YHR084W
OG0002980	snap_masked-scaffold_7-processed-gene-6.136-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.136&CDS=1-891	YGR021W
OG0002981	snap_masked-scaffold_7-processed-gene-6.125-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.125&CDS=1-363	YGR020C
OG0002982	maker-scaffold_7-augustus-gene-6.46-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-6.46&CDS=1-1413	YLR330W
OG0002983	snap_masked-scaffold_7-processed-gene-6.126-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.126&CDS=1-411	YCR028C-A
OG0002984	snap_masked-scaffold_7-processed-gene-6.138-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.138&CDS=1-1914	YKL178C
OG0002985	snap_masked-scaffold_7-processed-gene-6.129-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.129&CDS=1-2988	YNL123W
OG0002986	snap_masked-scaffold_7-processed-gene-6.150-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.150&CDS=1-327	YNL122C
OG0002987	snap_masked-scaffold_7-processed-gene-6.130-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.130&CDS=1-435	YJL011C
OG0002988	snap_masked-scaffold_7-processed-gene-7.185-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.185&CDS=1-1476	YJL123C
OG0002989	maker-scaffold_7-snap-gene-7.76-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.76&CDS=1-870	YJL126W
OG0002990	snap_masked-scaffold_7-processed-gene-7.216-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.216&CDS=1-1779	YKL074C
OG0002991	snap_masked-scaffold_7-processed-gene-7.217-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.217&CDS=1-1191	YLL006W
OG0002992	snap_masked-scaffold_7-processed-gene-7.187-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.187&CDS=1-1425	YGR202C
OG0002993	snap_masked-scaffold_7-processed-gene-7.188-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.188&CDS=1-2052	YNL126W
OG0002994	augustus_masked-scaffold_7-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.92&CDS=1-1029	YNL128W
OG0002995	snap_masked-scaffold_7-processed-gene-7.221-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.221&CDS=1-1689	YOR128C
OG0002996	snap_masked-scaffold_7-processed-gene-7.222-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.222&CDS=1-885	YHR187W
OG0002997	augustus_masked-scaffold_7-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.95&CDS=1-837	YOR238W
OG0002998	maker-scaffold_7-snap-gene-7.71-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.71&CDS=1-249	YDR379C-A
OG0002999	snap_masked-scaffold_7-processed-gene-7.225-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.225&CDS=1-2403	YLR222C
OG0003000	snap_masked-scaffold_7-processed-gene-7.193-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.193&CDS=1-1095	YDR322W
OG0003001	snap_masked-scaffold_7-processed-gene-7.227-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.227&CDS=1-267	YDR322C-A
OG0003002	snap_masked-scaffold_7-processed-gene-7.228-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.228&CDS=1-2307	YBR080C
OG0003003	snap_masked-scaffold_7-processed-gene-7.194-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.194&CDS=1-1158	YHR076W
OG0003004	maker-scaffold_7-snap-gene-7.78-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.78&CDS=1-3300	YHR077C
OG0003005	snap_masked-scaffold_7-processed-gene-7.230-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.230&CDS=1-1872	YDR323C
OG0003006	snap_masked-scaffold_7-processed-gene-7.232-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.232&CDS=1-2352	YOR035C
OG0003007	maker-scaffold_7-augustus-gene-7.161-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-7.161&CDS=1-1140	YHR090C
OG0003008	snap_masked-scaffold_7-processed-gene-7.235-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.235&CDS=1-3756	YJL080C
OG0003009	augustus_masked-scaffold_7-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.102&CDS=1-1920	YOL022C
OG0003010	maker-scaffold_7-snap-gene-7.73-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.73&CDS=1-2616	YOL023W
OG0003011	snap_masked-scaffold_7-processed-gene-7.236-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.236&CDS=1-1257	YCL034W
OG0003012	maker-scaffold_7-snap-gene-7.81-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.81&CDS=1-702	YDR054C
OG0003013	maker-scaffold_7-snap-gene-7.82-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.82&CDS=1-477	YHL018W
OG0003014	snap_masked-scaffold_7-processed-gene-7.246-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.246&CDS=1-591	YLR435W
OG0003015	snap_masked-scaffold_7-processed-gene-7.207-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.207&CDS=1-1734	YLR433C
OG0003016	snap_masked-scaffold_7-processed-gene-7.208-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.208&CDS=1-816	YIL003W
OG0003017	snap_masked-scaffold_7-processed-gene-7.209-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.209&CDS=1-1089	YEL004W
OG0003018	augustus_masked-scaffold_7-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.149&CDS=1-639	YDL106C
OG0003019	snap_masked-scaffold_8-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.3&CDS=1-2856	YGL151W
OG0003020	snap_masked-scaffold_8-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.21&CDS=1-1101	YER107C
OG0003021	augustus_masked-scaffold_8-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.95&CDS=1-987	YGL153W
OG0003022	snap_masked-scaffold_8-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.6&CDS=1-2367	YGL154C
OG0003023	augustus_masked-scaffold_8-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.82&CDS=1-1077	YDL119C
OG0003024	augustus_masked-scaffold_8-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.96&CDS=1-1182	YGL155W
OG0003025	snap_masked-scaffold_8-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.23&CDS=1-1590	YBL080C
OG0003026	snap_masked-scaffold_8-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.24&CDS=1-954	YFR025C
OG0003027	snap_masked-scaffold_8-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.25&CDS=1-1701	YHR019C
OG0003028	snap_masked-scaffold_8-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.26&CDS=1-1686	YEL020C
OG0003029	snap_masked-scaffold_8-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.27&CDS=1-1467	YCR024C
OG0003030	augustus_masked-scaffold_8-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.86&CDS=1-3285	YHR020W
OG0003031	snap_masked-scaffold_8-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.28&CDS=1-903	YGL043W
OG0003032	snap_masked-scaffold_8-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.12&CDS=1-831	YGL044C
OG0003033	snap_masked-scaffold_8-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.30&CDS=1-1518	YGR155W
OG0003034	maker-scaffold_8-snap-gene-0.116-mRNA-1_1&gene=maker-scaffold_8-snap-gene-0.116&CDS=1-4326	YGL150C
OG0003035	snap_masked-scaffold_8-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.34&CDS=1-447	YHR191C
OG0003036	snap_masked-scaffold_8-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.17&CDS=1-270	YEL020W-A
OG0003037	snap_masked-scaffold_8-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.36&CDS=1-876	YEL021W
OG0003038	snap_masked-scaffold_8-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.37&CDS=1-2964	YDL031W
OG0003039	snap_masked-scaffold_8-processed-gene-1.3-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.3&CDS=1-2259	YBR060C
OG0003040	maker-scaffold_8-snap-gene-1.94-mRNA-1_1&gene=maker-scaffold_8-snap-gene-1.94&CDS=1-336	YDR045C
OG0003041	maker-scaffold_8-snap-gene-1.99-mRNA-1_1&gene=maker-scaffold_8-snap-gene-1.99&CDS=1-654	YNL038W
OG0003042	snap_masked-scaffold_8-processed-gene-1.6-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.6&CDS=1-279	YHR005C-A
OG0003043	maker-scaffold_8-snap-gene-1.101-mRNA-1_1&gene=maker-scaffold_8-snap-gene-1.101&CDS=1-852	YKL087C
OG0003044	snap_masked-scaffold_8-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.25&CDS=1-1830	YGL028C
OG0003045	augustus_masked-scaffold_8-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.129&CDS=1-1422	YPL103C
OG0003046	snap_masked-scaffold_8-processed-gene-1.27-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.27&CDS=1-1338	YPL094C
OG0003047	snap_masked-scaffold_8-processed-gene-1.9-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.9&CDS=1-1215	YPR147C
OG0003048	snap_masked-scaffold_8-processed-gene-1.28-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.28&CDS=1-345	YGR181W
OG0003049	snap_masked-scaffold_8-processed-gene-1.10-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.10&CDS=1-3939	YOR346W
OG0003050	maker-scaffold_8-snap-gene-1.96-mRNA-1_1&gene=maker-scaffold_8-snap-gene-1.96&CDS=1-1806	YKL047W
OG0003051	snap_masked-scaffold_8-processed-gene-1.33-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.33&CDS=1-2802	YKL073W
OG0003052	snap_masked-scaffold_8-processed-gene-1.35-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.35&CDS=1-1281	YMR055C
OG0003053	snap_masked-scaffold_8-processed-gene-1.37-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.37&CDS=1-1959	YJL127C
OG0003054	maker-scaffold_8-snap-gene-1.97-mRNA-1_1&gene=maker-scaffold_8-snap-gene-1.97&CDS=1-1581	YOR310C
