	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
OG0001616	XP_011121315.1	YGR210C
OG0001617	XP_011121335.1	YBR056W
OG0001618	XP_011121348.1	YPL088W
OG0001619	XP_011121352.1	YNL007C
OG0001620	XP_011121356.1	YGR007W
OG0001621	XP_011121361.1	YGL196W
OG0001622	XP_011121378.1	YOR258W
OG0001623	XP_011121410.1	YJL055W
OG0001624	XP_011121424.1	YKL221W
OG0001625	XP_011121437.1	YHR208W
OG0001626	XP_011121438.1	YGL083W
OG0001627	XP_011121439.1	YPR036W
OG0001628	XP_011121452.1	YOL057W
OG0001629	XP_011121459.1	YDR510W
OG0001630	XP_011121460.1	YMR194C-B
OG0001631	XP_011121461.1	YDL116W
OG0001632	XP_011121462.1	YKL080W
OG0001633	XP_011121463.1	YER087W
OG0001634	XP_011121464.1	YDL119C
OG0001635	XP_011121468.1	YDR019C
OG0001636	XP_011121471.1	YDR060W
OG0001637	XP_011121472.1	YHR037W
OG0001638	XP_011121476.1	YLR208W
OG0001639	XP_011121478.1	YCR098C
OG0001640	XP_011121479.1	YOL021C
OG0001641	XP_011121485.1	YER006W
OG0001642	XP_011121489.1	YJL179W
OG0001643	XP_011121493.1	YBR095C
OG0001644	XP_011121495.1	YOL058W
OG0001645	XP_011121502.1	YJR073C
OG0001646	XP_011121503.1	YPL151C
OG0001647	XP_011121504.1	YML094W
OG0001648	XP_011121508.1	YBL095W
OG0001649	XP_011121513.1	YGR217W
OG0001650	XP_011121517.1	YDR087C
OG0001651	XP_011121519.1	YDR238C
OG0001652	XP_011121521.1	YBR105C
OG0001653	XP_011121522.1	YDL201W
OG0001654	XP_011121523.1	YML104C
OG0001655	XP_011121524.1	YFR009W
OG0001656	XP_011121525.1	YOR043W
OG0001657	XP_011121528.1	YJL053W
OG0001658	XP_011121533.1	YNL288W
OG0001659	XP_011121537.1	YDR013W
OG0001660	XP_011121538.1	YGR125W
OG0001661	XP_011121542.1	YOL102C
OG0001662	XP_011121545.1	YPR079W
OG0001663	XP_011121546.1	YNL280C
OG0001664	XP_011121547.1	YGL126W
OG0001665	XP_011121549.1	YMR012W
OG0001666	XP_011121552.1	YIL130W
OG0001667	XP_011121556.1	YER016W
OG0001668	XP_011121567.1	YDR311W
OG0001669	XP_011121570.1	YFL007W
OG0001670	XP_011121573.1	YDR214W
OG0001671	XP_011121576.1	YGL211W
OG0001672	XP_011121577.1	YLR100W
OG0001673	XP_011121581.1	YBL054W
OG0001674	XP_011121582.1	YIL125W
OG0001675	XP_011121583.1	YLR045C
OG0001676	XP_011121584.1	YML093W
OG0001677	XP_011121585.1	YLL040C
OG0001678	XP_011121592.1	YGL086W
OG0001679	XP_011121594.1	YIL072W
OG0001680	XP_011121595.1	YBR002C
OG0001681	XP_011121598.1	YJL208C
OG0001682	XP_011121599.1	YLR377C
OG0001683	XP_011121602.1	YLL039C
OG0001684	XP_011121608.1	YDL090C
OG0001685	XP_011121610.1	YHL010C
OG0001686	XP_011121611.1	YAL041W
OG0001687	XP_011121612.1	YOR270C
OG0001688	XP_011121614.1	YLR352W
OG0001689	XP_011121615.1	YDL055C
OG0001690	XP_011121616.1	YER008C
OG0001691	XP_011121617.1	YKR092C
OG0001692	XP_011121625.1	YGL028C
OG0001693	XP_011121628.1	YNL056W
OG0001694	XP_011121630.1	YOL006C
OG0001695	XP_011121631.1	YBR039W
OG0001696	XP_011121633.1	YMR109W
OG0001697	XP_011121636.1	YMR001C
OG0001698	XP_011121637.1	YKR074W
OG0001699	XP_011121639.1	YBL061C
OG0001700	XP_011121641.1	YBR023C
OG0001701	XP_011121642.1	YOL003C
OG0001702	XP_011121647.1	YJR139C
OG0001703	XP_011121650.1	YIR023W
OG0001704	XP_011121651.1	YGR255C
OG0001705	XP_011121652.1	YFL017W-A
OG0001706	XP_011121653.1	YLR396C
OG0001707	XP_011121654.1	YPR066W
OG0001708	XP_011121656.1	YCR042C
OG0001709	XP_011121658.1	YPR110C
OG0001710	XP_011121661.1	YAL002W
OG0001711	XP_011121665.1	YOR335C
OG0001712	XP_011121671.1	YOR103C
OG0001713	XP_011121672.1	YJR085C
OG0001714	XP_011121674.1	YGL145W
OG0001715	XP_011121675.1	YGL232W
OG0001716	XP_011121681.1	YPR033C
OG0001717	XP_011121682.1	YPL120W
OG0001718	XP_011121684.1	YGR099W
OG0001719	XP_011121686.1	YKL125W
OG0001720	XP_011121691.1	YHR062C
OG0001721	XP_011121692.1	YDL148C
OG0001722	XP_011121696.1	YNL241C
OG0001723	XP_011121698.1	YGR266W
OG0001724	XP_011121701.1	YNL238W
OG0001725	XP_011121703.1	YLR132C
OG0001726	XP_011121706.1	YOR061W
OG0001727	XP_011121711.1	YJR068W
OG0001728	XP_011121716.1	YIR002C
OG0001729	XP_011121720.1	YHR075C
OG0001730	XP_011121722.1	YAL019W
OG0001731	XP_011121723.1	YGR105W
OG0001732	XP_011121725.1	YAL058W
OG0001733	XP_011121726.1	YJR024C
OG0001734	XP_011121729.1	YGR012W
OG0001735	XP_011121732.1	YGL043W
OG0001736	XP_011121733.1	YIL034C
OG0001737	XP_011121734.1	YDR301W
OG0001738	XP_011121743.1	YBR162C
OG0001739	XP_011121746.1	YNL132W
OG0001740	XP_011121747.1	YPL028W
OG0001741	XP_011121749.1	YHR122W
OG0001742	XP_011121756.1	YML130C
OG0001743	XP_011121757.1	YGL018C
OG0001744	XP_011121758.1	YPR097W
OG0001745	XP_011121760.1	YGR276C
OG0001746	XP_011121761.1	YJL140W
OG0001747	XP_011121762.1	YDR246W
OG0001748	XP_011121763.1	YDL193W
OG0001749	XP_011121774.1	YDR353W
OG0001750	XP_011121776.1	YJR143C
OG0001751	XP_011121778.1	YPR178W
OG0001752	XP_011121779.1	YDR488C
OG0001753	XP_011121780.1	YHR076W
OG0001754	XP_011121781.1	YDR057W
OG0001755	XP_011121798.1	YOR130C
OG0001756	XP_011121801.1	YLR245C
OG0001757	XP_011121802.1	YGL010W
OG0001758	XP_011121803.1	YDR404C
OG0001759	XP_011121804.1	YBL099W
OG0001760	XP_011121805.1	YKL151C
OG0001761	XP_011121807.1	YDL143W
OG0001762	XP_011121809.1	YJR014W
OG0001763	XP_011121810.1	YKL148C
OG0001764	XP_011121811.1	YKL145W
OG0001765	XP_011121817.1	YIL110W
OG0001766	XP_011121821.1	YAL012W
OG0001767	XP_011121822.1	YDR382W
OG0001768	XP_011121823.1	YOL040C
OG0001769	XP_011121826.1	YAL013W
OG0001770	XP_011121827.1	YOL041C
OG0001771	XP_011121830.1	YIL128W
OG0001772	XP_011121831.1	YKR080W
OG0001773	XP_011121832.1	YKR081C
OG0001774	XP_011121838.1	YPR144C
OG0001775	XP_011121839.1	YPL078C
OG0001776	XP_011121840.1	YAL043C
OG0001777	XP_011121847.1	YKL144C
OG0001778	XP_011121850.1	YJR141W
OG0001779	XP_011121855.1	YLL001W
OG0001780	XP_011121858.1	YEL004W
OG0001781	XP_011121861.1	YOL031C
OG0001782	XP_011121867.1	YML055W
OG0001783	XP_011121868.1	YKL207W
OG0001784	XP_011121871.1	YFL033C
OG0001785	XP_011121872.1	YGL237C
OG0001786	XP_011121875.1	YHR200W
OG0001787	XP_011121877.1	YGR096W
OG0001788	XP_011121878.1	YMR235C
OG0001789	XP_011121879.1	YLL009C
OG0001790	XP_011121880.1	YMR227C
OG0001791	XP_011121881.1	YPL011C
OG0001792	XP_011121884.1	YOR002W
OG0001793	XP_011121885.1	YDL028C
OG0001794	XP_011121887.1	YGR005C
OG0001795	XP_011121888.1	YBR203W
OG0001796	XP_011121894.1	YER126C
OG0001797	XP_011121895.1	YJL096W
OG0001798	XP_011121897.1	YDL240W
OG0001799	XP_011121904.1	YLR151C
OG0001800	XP_011121912.1	YGR175C
OG0001801	XP_011121926.1	YGR165W
OG0001802	XP_011121927.1	YNL201C
OG0001803	XP_011121929.1	YPL181W
OG0001804	XP_011121938.1	YJL163C
OG0001805	XP_011121944.1	YDL105W
OG0001806	XP_011121959.1	YLR354C
OG0001807	XP_011121961.1	YER118C
OG0001808	XP_011121962.1	YKL027W
OG0001809	XP_011121964.1	YLR240W
OG0001810	XP_011121965.1	YKL140W
OG0001811	XP_011121967.1	YLR055C
OG0001812	XP_011121971.1	YPL234C
OG0001813	XP_011121999.1	YEL002C
OG0001814	XP_011122001.1	YDR419W
OG0001815	XP_011122002.1	YCL045C
OG0001816	XP_011122006.1	YIR012W
OG0001817	XP_011122023.1	YNR007C
OG0001818	XP_011122024.1	YNL139C
OG0001819	XP_011122043.1	YOR132W
OG0001820	XP_011122045.1	YPL227C
OG0001821	XP_011122056.1	YNL277W
OG0001822	XP_011122057.1	YNL202W
OG0001823	XP_011122061.1	YDL226C
OG0001824	XP_011122064.1	YPR048W
OG0001825	XP_011122077.1	YOR303W
OG0001826	XP_011122086.1	YGR207C
OG0001827	XP_011122094.1	YGR042W
OG0001828	XP_011122178.1	YLR231C
OG0001829	XP_011122180.1	YNL102W
OG0001830	XP_011122183.1	YBL090W
OG0001831	XP_011122185.1	YGR028W
OG0001832	XP_011122186.1	YBR196C
OG0001833	XP_011122189.1	YFR031C
OG0001834	XP_011122190.1	YER136W
OG0001835	XP_011122191.1	YLR439W
OG0001836	XP_011122192.1	YMR263W
OG0001837	XP_011122195.1	YFL016C
OG0001838	XP_011122197.1	YDR267C
OG0001839	XP_011122198.1	YGR253C
OG0001840	XP_011122199.1	YCL057W
OG0001841	XP_011122200.1	YGL106W
OG0001842	XP_011122209.1	YEL052W
OG0001843	XP_011122210.1	YGR014W
OG0001844	XP_011122215.1	YGL231C
OG0001845	XP_011122220.1	YNR029C
OG0001846	XP_011122221.1	YLR417W
OG0001847	XP_011122222.1	YOR161C
OG0001848	XP_011122228.1	YGL137W
OG0001849	XP_011122229.1	YPL076W
OG0001850	XP_011122232.1	YLR026C
OG0001851	XP_011122242.1	YNL220W
OG0001852	XP_011122245.1	YDR158W
OG0001853	XP_011122251.1	YBR187W
OG0001854	XP_011122254.1	YBR220C
OG0001855	XP_011122264.1	YGL037C
OG0001856	XP_011122265.1	YPL116W
OG0001857	XP_011122274.1	YDR086C
OG0001858	XP_011122277.1	YGL191W
OG0001859	XP_011122278.1	YBL019W
OG0001860	XP_011122281.1	YNL272C
OG0001861	XP_011122285.1	YML081C-A
OG0001862	XP_011122286.1	YPR166C
OG0001863	XP_011122288.1	YDR198C
OG0001864	XP_011122296.1	YBR192W
OG0001865	XP_011122298.1	YBR189W
OG0001866	XP_011122307.1	YOR357C
OG0001867	XP_011122308.1	YOR196C
OG0001868	XP_011122314.1	YNL182C
OG0001869	XP_011122316.1	YPR167C
OG0001870	XP_011122318.1	YGR208W
OG0001871	XP_011122322.1	YDR531W
OG0001872	XP_011122323.1	YPL167C
OG0001873	XP_011122327.1	YER048W-A
OG0001874	XP_011122329.1	YJR010W
OG0001875	XP_011122333.1	YPR091C
OG0001876	XP_011122339.1	YIL118W
OG0001877	XP_011122340.1	YKR069W
OG0001878	XP_011122344.1	YMR002W
OG0001879	XP_011122345.1	YDR088C
OG0001880	XP_011122349.1	YDL213C
OG0001881	XP_011122353.1	YNL244C
OG0001882	XP_011122354.1	YPR063C
OG0001883	XP_011122355.1	YCR081W
OG0001884	XP_011122356.1	YGR112W
OG0001885	XP_011122363.1	YNL243W
OG0001886	XP_011122364.1	YHR186C
OG0001887	XP_011122375.1	YLR246W
OG0001888	XP_011122380.1	YDR306C
OG0001889	XP_011122388.1	YDL147W
OG0001890	XP_011122389.1	YPL098C
OG0001891	XP_011122403.1	YLR239C
OG0001892	XP_011122410.1	YKL155C
OG0001893	XP_011122413.1	YHR064C
OG0001894	XP_011122417.1	YLL018C
OG0001895	XP_011122429.1	YNL287W
OG0001896	XP_011122430.1	YOL142W
OG0001897	XP_011122448.1	YGL150C
OG0001898	XP_011122450.1	YKL143W
OG0001899	XP_011122451.1	YGL099W
OG0001900	XP_011122458.1	YDR456W
OG0001901	XP_011122466.1	YJL168C
OG0001902	XP_011122467.1	YGR230W
OG0001903	XP_011122468.1	YMR096W
OG0001904	XP_011122469.1	YMR283C
OG0001905	XP_011122471.1	YHR084W
OG0001906	XP_011122472.1	YGR019W
OG0001907	XP_011122473.1	YIL020C
OG0001908	XP_011122477.1	YJR060W
OG0001909	XP_011122479.1	YJR062C
OG0001910	XP_011122481.1	YDR124W
OG0001911	XP_011122483.1	YGR063C
OG0001912	XP_011122484.1	YKL178C
OG0001913	XP_011122488.1	YCR028C-A
OG0001914	XP_011122498.1	YEL037C
OG0001915	XP_011122502.1	YEL038W
OG0001916	XP_011122503.1	YPR016C
OG0001917	XP_011122505.1	YDR328C
OG0001918	XP_011122516.1	YOR149C
OG0001919	XP_011122519.1	YNR052C
OG0001920	XP_011122520.1	YNL248C
OG0001921	XP_011122536.1	YNL291C
OG0001922	XP_011122540.1	YDR232W
OG0001923	XP_011122545.1	YHR202W
OG0001924	XP_011122553.1	YDL007W
OG0001925	XP_011122560.1	YGL119W
OG0001926	XP_011122574.1	YPR025C
OG0001927	XP_011122583.1	YPL188W
OG0001928	XP_011122630.1	YER036C
OG0001929	XP_011122632.1	YGR198W
OG0001930	XP_011122634.1	YHR088W
OG0001931	XP_011122645.1	YOL145C
OG0001932	XP_011122660.1	YBR121C
OG0001933	XP_011122666.1	YMR027W
OG0001934	XP_011122679.1	YIR034C
OG0001935	XP_011122680.1	YDL140C
OG0001936	XP_011122681.1	YAR003W
OG0001937	XP_011122685.1	YDR270W
OG0001938	XP_011122691.1	YLR163C
OG0001939	XP_011122692.1	YGR024C
OG0001940	XP_011122697.1	YMR269W
OG0001941	XP_011122700.1	YDR176W
OG0001942	XP_011122701.1	YKL150W
OG0001943	XP_011122708.1	YBL029C-A
OG0001944	XP_011122721.1	YBR274W
OG0001945	XP_011122728.1	YGL227W
OG0001946	XP_011122732.1	YLR421C
OG0001947	XP_011122740.1	YBR083W
OG0001948	XP_011122742.1	YFR048W
OG0001949	XP_011122743.1	YOR301W
OG0001950	XP_011122746.1	YGR252W
OG0001951	XP_011122752.1	YPL002C
OG0001952	XP_011122754.1	YMR221C
OG0001953	XP_011122763.1	YOR111W
OG0001954	XP_011122765.1	YEL062W
OG0001955	XP_011122771.1	YNL250W
OG0001956	XP_011122775.1	YLR313C
OG0001957	XP_011122778.1	YNL222W
OG0001958	XP_011122779.1	YDR162C
OG0001959	XP_011122791.1	YML036W
OG0001960	XP_011122803.1	YGR195W
OG0001961	XP_011122805.1	YOR027W
OG0001962	XP_011122806.1	YER042W
OG0001963	XP_011122810.1	YKL029C
OG0001964	XP_011122813.1	YOL138C
OG0001965	XP_011122814.1	YPL125W
OG0001966	XP_011122815.1	YNR003C
OG0001967	XP_011122817.1	YPL263C
OG0001968	XP_011122822.1	YGL216W
OG0001969	XP_011122840.1	YBR204C
OG0001970	XP_011122848.1	YPL063W
OG0001971	XP_011122849.1	YGL187C
OG0001972	XP_011122850.1	YHR165C
OG0001973	XP_011122864.1	YFR016C
OG0001974	XP_011122865.1	YLR432W
OG0001975	XP_011122870.1	YEL040W
OG0001976	XP_011122895.1	YLR248W
OG0001977	XP_011122903.1	YJL123C
OG0001978	XP_011122911.1	YFR004W
OG0001979	XP_011122912.1	YIL039W
OG0001980	XP_011122920.1	YJL210W
OG0001981	XP_011122932.1	YPR105C
OG0001982	XP_011122933.1	YGL155W
OG0001983	XP_011122942.1	YPR147C
OG0001984	XP_011122947.1	YPR019W
OG0001985	XP_011122949.1	YJL069C
OG0001986	XP_011122950.1	YGR093W
OG0001987	XP_011122952.1	YAR007C
OG0001988	XP_011122954.1	YBL004W
OG0001989	XP_011122955.1	YEL055C
OG0001990	XP_011122958.1	YGR185C
OG0001991	XP_011122961.1	YJL005W
OG0001992	XP_011122967.1	YMR036C
OG0001993	XP_011122969.1	YER014W
OG0001994	XP_011122970.1	YNL310C
OG0001995	XP_011122973.1	YGR184C
OG0001996	XP_011122977.1	YOR346W
OG0001997	XP_011122983.1	YHR183W
OG0001998	XP_011122989.1	YPL015C
OG0001999	XP_011122994.1	YER019W
OG0002000	XP_011123002.1	YHR121W
OG0002001	XP_011123007.1	YGR188C
OG0002002	XP_011123012.1	YML038C
OG0002003	XP_011123013.1	YPL009C
OG0002004	XP_011123016.1	YKL114C
OG0002005	XP_011123021.1	YGL167C
OG0002006	XP_011123027.1	YGL169W
OG0002007	XP_011123028.1	YPL010W
OG0002008	XP_011123031.1	YDR465C
OG0002009	XP_011123033.1	YER051W
OG0002010	XP_011123043.1	YJL012C
OG0002011	XP_011123048.1	YDL215C
OG0002012	XP_011123165.1	YNL227C
OG0002013	XP_011123172.1	YJL145W
OG0002014	XP_011123200.1	YLR422W
OG0002015	XP_011123209.1	YDL120W
OG0002016	XP_011123211.1	YHR191C
OG0002017	XP_011123214.1	YBL071W-A
OG0002018	XP_011123215.1	YJL031C
OG0002019	XP_011123227.1	YPL160W
OG0002020	XP_011123232.1	YFR025C
OG0002021	XP_011123246.1	YPL249C
OG0002022	XP_011123253.1	YJL155C
OG0002023	XP_011123256.1	YJL059W
OG0002024	XP_011123273.1	YIL021W
OG0002025	XP_011123283.1	YLL027W
OG0002026	XP_011123285.1	YOR223W
OG0002027	XP_011123286.1	YKL040C
OG0002028	XP_011123287.1	YJR036C
OG0002029	XP_011123288.1	YMR121C
OG0002030	XP_011123303.1	YGR181W
OG0002031	XP_011123308.1	YBL050W
OG0002032	XP_011123313.1	YDR294C
OG0002033	XP_011123314.1	YMR286W
OG0002034	XP_011123315.1	YIL068C
OG0002035	XP_011123319.1	YPL133C
OG0002036	XP_011123321.1	YKL167C
OG0002037	XP_011123323.1	YOL108C
OG0002038	XP_011123325.1	YDL195W
OG0002039	XP_011123327.1	YGL017W
OG0002040	XP_011123330.1	YBL038W
OG0002041	XP_011123332.1	YER090W
OG0002042	XP_011123334.1	YBR087W
OG0002043	XP_011123337.1	YOR163W
OG0002044	XP_011123338.1	YBR115C
OG0002045	XP_011123340.1	YLR038C
OG0002046	XP_011123345.1	YPL132W
OG0002047	XP_011123356.1	YBR103W
OG0002048	XP_011123357.1	YDL182W
OG0002049	XP_011123378.1	YLR348C
OG0002050	XP_011123380.1	YPL012W
OG0002051	XP_011123390.1	YPR047W
OG0002052	XP_011123391.1	YOR232W
OG0002053	XP_011123397.1	YOR217W
OG0002054	XP_011123398.1	YDR137W
OG0002055	XP_011123408.1	YMR193W
OG0002056	XP_011123409.1	YNL279W
OG0002057	XP_011123414.1	YIL103W
OG0002058	XP_011123416.1	YBR269C
OG0002059	XP_011123418.1	YNL213C
OG0002060	XP_011123419.1	YPR023C
OG0002061	XP_011123420.1	YLR153C
OG0002062	XP_011123424.1	YJL060W
OG0002063	XP_011123431.1	YNL129W
OG0002064	XP_011123432.1	YOR063W
OG0002065	XP_011123433.1	YBR112C
OG0002066	XP_011123441.1	YBL057C
OG0002067	XP_011123447.1	YDL235C
OG0002068	XP_011123451.1	YBR127C
OG0002069	XP_011123453.1	YGL026C
OG0002070	XP_011123454.1	YOL140W
OG0002071	XP_011123455.1	YDR190C
OG0002072	XP_011123456.1	YPR065W
OG0002073	XP_011123457.1	YNL218W
OG0002074	XP_011123463.1	YMR196W
OG0002075	XP_011123464.1	YDR298C
OG0002076	XP_011123466.1	YDR398W
OG0002077	XP_011123473.1	YER082C
OG0002078	XP_011123474.1	YDL060W
OG0002079	XP_011123478.1	YDL111C
OG0002080	XP_011123481.1	YML092C
OG0002081	XP_011123483.1	YCL038C
OG0002082	XP_011123485.1	YLR071C
OG0002083	XP_011123490.1	YGR235C
OG0002084	XP_011123491.1	YPR010C
OG0002085	XP_011123497.1	YPL269W
OG0002086	XP_011123498.1	YGR274C
OG0002087	XP_011123499.1	YKL215C
OG0002088	XP_011123500.1	YCL043C
OG0002089	XP_011123501.1	YML021C
OG0002090	XP_011123503.1	YDR517W
OG0002091	XP_011123505.1	YGL195W
OG0002092	XP_011123507.1	YKL043W
OG0002093	XP_011123508.1	YMR039C
OG0002094	XP_011123510.1	YOR022C
OG0002095	XP_011123516.1	YGR257C
OG0002096	XP_011123527.1	YOR128C
OG0002097	XP_011123529.1	YGL084C
OG0002098	XP_011123530.1	YMR190C
OG0002099	XP_011123539.1	YPR103W
OG0002100	XP_011123540.1	YGL124C
OG0002101	XP_011123541.1	YDR141C
OG0002102	XP_011123569.1	YOR157C
OG0002103	XP_011123594.1	YMR123W
OG0002104	XP_011123595.1	YDR511W
OG0002105	XP_011123596.1	YGR074W
OG0002106	XP_011123621.1	YGR047C
OG0002107	XP_011123622.1	YFR032C-A
OG0002108	XP_011123627.1	YPR131C
OG0002109	XP_011123628.1	YIR032C
OG0002110	XP_011123629.1	YDR470C
OG0002111	XP_011123630.1	YOR359W
OG0002112	XP_011123634.1	YDL004W
OG0002113	XP_011123638.1	YPL218W
OG0002114	XP_011123641.1	YOR360C
OG0002115	XP_011123649.1	YBR079C
OG0002116	XP_011123651.1	YPR181C
OG0002117	XP_011123655.1	YGR205W
OG0002118	XP_011123660.1	YMR186W
OG0002119	XP_011123662.1	YML069W
OG0002120	XP_011123666.1	YFL008W
OG0002121	XP_011123670.1	YDL236W
OG0002122	XP_011123678.1	YFR034C
OG0002123	XP_011123684.1	YKL045W
OG0002124	XP_011123685.1	YGR193C
OG0002125	XP_011123687.1	YAL021C
OG0002126	XP_011123688.1	YOR069W
OG0002127	XP_011123689.1	YKL205W
OG0002128	XP_011123694.1	YPR187W
OG0002129	XP_011123697.1	YGR089W
OG0002130	XP_011123698.1	YGR149W
OG0002131	XP_011123699.1	YBR198C
OG0002132	XP_011123702.1	YGR194C
OG0002133	XP_011123706.1	YGR278W
OG0002134	XP_011123710.1	YHR163W
OG0002135	XP_011123712.1	YLR361C
OG0002136	XP_011123714.1	YGR098C
OG0002137	XP_011123717.1	YKL094W
OG0002138	XP_011123720.1	YBR122C
OG0002139	XP_011123721.1	YJL068C
OG0002140	XP_011123757.1	YGL077C
OG0002141	XP_011123758.1	YPR002W
OG0002142	XP_011123761.1	YHR039C
OG0002143	XP_011123766.1	YER069W
OG0002144	XP_011123767.1	YOR327C
OG0002145	XP_011123773.1	YPL266W
OG0002146	XP_011123774.1	YBR055C
OG0002147	XP_011123776.1	YHR144C
OG0002148	XP_011123777.1	YHR148W
OG0002149	XP_011123782.1	YKL059C
OG0002150	XP_011123786.1	YJL187C
OG0002151	XP_011123789.1	YMR092C
OG0002152	XP_011123792.1	YGL136C
OG0002153	XP_011123794.1	YOR085W
OG0002154	XP_011123796.1	YJR035W
OG0002155	XP_011123801.1	YBR248C
OG0002156	XP_011123805.1	YGL030W
OG0002157	XP_011123806.1	YLR075W
OG0002158	XP_011123816.1	YPR175W
OG0002159	XP_011123817.1	YOR070C
OG0002160	XP_011123818.1	YOL123W
OG0002161	XP_011123819.1	YER050C
OG0002162	XP_011123827.1	YJL024C
OG0002163	XP_011123869.1	YDL102W
OG0002164	XP_011123876.1	YMR244C-A
OG0002165	XP_011123882.1	YIL026C
OG0002166	XP_011123886.1	YNL189W
OG0002167	XP_011123887.1	YLR419W
OG0002168	XP_011123890.1	YDL150W
OG0002169	XP_011123892.1	YMR130W
OG0002170	XP_011123894.1	YNL292W
OG0002171	XP_011123897.1	YLR205C
OG0002172	XP_011123899.1	YLR454W
OG0002173	XP_011123901.1	YBL092W
OG0002174	XP_011123903.1	YDL036C
OG0002175	XP_011123907.1	YPL111W
OG0002176	XP_011123908.1	YDR282C
OG0002177	XP_011123917.1	YLR016C
OG0002178	XP_011123922.1	YBL080C
OG0002179	XP_011123933.1	YOL114C
OG0002180	XP_011123934.1	YPL190C
OG0002181	XP_011123935.1	YKL004W
OG0002182	XP_011123939.1	YGR078C
OG0002183	XP_011123941.1	YCR017C
OG0002184	XP_011123942.1	YDR449C
OG0002185	XP_011123947.1	YGR216C
OG0002186	XP_011123948.1	YHR089C
OG0002187	XP_011123949.1	YIL083C
OG0002188	XP_011123954.1	YOR289W
OG0002189	XP_011123955.1	YER026C
OG0002190	XP_011123956.1	YOR001W
OG0002191	XP_011123963.1	YMR079W
OG0002192	XP_011123967.1	YJL010C
OG0002193	XP_011123969.1	YHL004W
OG0002194	XP_011123973.1	YDL125C
OG0002195	XP_011123975.1	YIR008C
OG0002196	XP_011123976.1	YOL093W
OG0002197	XP_011123979.1	YDR148C
OG0002198	XP_011123982.1	YNL223W
OG0002199	XP_011123983.1	YNL224C
OG0002200	XP_011123984.1	YMR225C
OG0002201	XP_011123989.1	YER151C
OG0002202	XP_011123990.1	YNL021W
OG0002203	XP_011123992.1	YIL108W
OG0002204	XP_011123994.1	YPL016W
OG0002205	XP_011123996.1	YIR007W
OG0002206	XP_011123997.1	YDR394W
OG0002207	XP_011123999.1	YGR271C-A
OG0002208	XP_011124155.1	YHR009C
OG0002209	XP_011124163.1	YGR044C
OG0002210	XP_011124166.1	YPR031W
OG0002211	XP_011124169.1	YJR111C
OG0002212	XP_011124180.1	YDL104C
OG0002213	XP_011124183.1	YPR021C
OG0002214	XP_011124189.1	YCR075C
OG0002215	XP_011124195.1	YGR270W
OG0002216	XP_011124210.1	YPR056W
OG0002217	XP_011124214.1	YJR065C
OG0002218	XP_011124227.1	YGR211W
OG0002219	XP_011124228.1	YPR060C
OG0002220	XP_011124237.1	YML005W
OG0002221	XP_011124238.1	YLR250W
OG0002222	XP_011124240.1	YNR032C-A
OG0002223	XP_011124241.1	YDR100W
OG0002224	XP_011124242.1	YOR250C
OG0002225	XP_011124259.1	YGR082W
OG0002226	XP_011124262.1	YJR142W
OG0002227	XP_011124263.1	YOR224C
OG0002228	XP_011124264.1	YOR035C
OG0002229	XP_011124265.1	YKL149C
OG0002230	XP_011124272.1	YBR102C
OG0002231	XP_011124275.1	YPL101W
OG0002232	XP_011124278.1	YOR262W
OG0002233	XP_011124280.1	YAL033W
OG0002234	XP_011124288.1	YBR276C
OG0002235	XP_011124292.1	YPL110C
OG0002236	XP_011124294.1	YMR185W
OG0002237	XP_011124295.1	YEL024W
OG0002238	XP_011124305.1	YDR393W
OG0002239	XP_011124306.1	YNR036C
OG0002240	XP_011124311.1	YCR077C
OG0002241	XP_011124313.1	YNL010W
OG0002242	XP_011124314.1	YPL083C
OG0002243	XP_011124315.1	YPL046C
OG0002244	XP_011124324.1	YNL025C
OG0002245	XP_011124325.1	YNL083W
OG0002246	XP_011124327.1	YGL241W
OG0002247	XP_011124332.1	YBR097W
OG0002248	XP_011124334.1	YMR217W
OG0002249	XP_011124336.1	YCR053W
OG0002250	XP_011124340.1	YDR361C
OG0002251	XP_011124341.1	YJL112W
OG0002252	XP_011124343.1	YDR208W
OG0002253	XP_011124345.1	YCR024C
OG0002254	XP_011124349.1	YJL004C
OG0002255	XP_011124351.1	YBR003W
OG0002256	XP_011124352.1	YGL110C
OG0002257	XP_011124360.1	YDR372C
OG0002258	XP_011124361.1	YKL192C
OG0002259	XP_011124362.1	YKL082C
OG0002260	XP_011124363.1	YLR201C
OG0002261	XP_011124365.1	YGL220W
OG0002262	XP_011124367.1	YDL156W
OG0002263	XP_011124370.1	YOR124C
OG0002264	XP_011124375.1	YBR215W
OG0002265	XP_011124381.1	YDR527W
OG0002266	XP_011124382.1	YBR290W
OG0002267	XP_011124390.1	YER047C
OG0002268	XP_011124391.1	YMR188C
OG0002269	XP_011124402.1	YPL164C
OG0002270	XP_011124406.1	YIL155C
OG0002271	XP_011124415.1	YNR055C
OG0002272	XP_011124431.1	YLR022C
OG0002273	XP_011124451.1	YJR077C
OG0002274	XP_011124459.1	YPL214C
OG0002275	XP_011124476.1	YKR002W
OG0002276	XP_011124481.1	YER145C
OG0002277	XP_011124482.1	YMR058W
OG0002278	XP_011124484.1	YPL175W
OG0002279	XP_011124500.1	YJR123W
OG0002280	XP_011124505.1	YMR171C
