	Babjeviella_inositovora	Saccharomyces_cerevisiae
OG0002893	genemark-scaffold_5-processed-gene-7.17-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.17&CDS=1-807	YAL039C
OG0002894	genemark-scaffold_5-processed-gene-7.7-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.7&CDS=1-2382	YJL200C
OG0002895	genemark-scaffold_5-processed-gene-7.19-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.19&CDS=1-1701	YNL275W
OG0002896	genemark-scaffold_5-processed-gene-7.20-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.20&CDS=1-1248	YCR044C
OG0002897	genemark-scaffold_5-processed-gene-7.21-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.21&CDS=1-636	YCR043C
OG0002898	snap_masked-scaffold_5-processed-gene-7.93-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.93&CDS=1-381	YPR082C
OG0002899	genemark-scaffold_5-processed-gene-7.9-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.9&CDS=1-1602	YKL140W
OG0002900	genemark-scaffold_5-processed-gene-7.10-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.10&CDS=1-5790	YJL207C
OG0002901	genemark-scaffold_5-processed-gene-7.12-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.12&CDS=1-2364	YNL256W
OG0002902	genemark-scaffold_5-processed-gene-7.25-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.25&CDS=1-831	YKL051W
OG0002903	genemark-scaffold_5-processed-gene-7.26-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.26&CDS=1-222	YNL259C
OG0002904	genemark-scaffold_5-processed-gene-7.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.27&CDS=1-1146	YHR156C
OG0002905	genemark-scaffold_5-processed-gene-7.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.28&CDS=1-2499	YMR078C
OG0002906	genemark-scaffold_5-processed-gene-7.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.29&CDS=1-600	YKL001C
OG0002907	maker-scaffold_5-snap-gene-7.41-mRNA-1_1&gene=maker-scaffold_5-snap-gene-7.41&CDS=1-3390	YKL092C
OG0002908	genemark-scaffold_5-processed-gene-7.31-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.31&CDS=1-1524	YBR127C
OG0002909	genemark-scaffold_5-processed-gene-7.15-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.15&CDS=1-2919	YMR080C
OG0002910	genemark-scaffold_5-processed-gene-8.1-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.1&CDS=1-2184	YLR188W
OG0002911	genemark-scaffold_5-processed-gene-8.25-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.25&CDS=1-1842	YBR123C
OG0002912	genemark-scaffold_5-processed-gene-8.6-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.6&CDS=1-1998	YJR098C
OG0002913	maker-scaffold_5-snap-gene-8.52-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.52&CDS=1-1452	YPR083W
OG0002914	genemark-scaffold_5-processed-gene-8.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.27&CDS=1-753	YNL246W
OG0002915	genemark-scaffold_5-processed-gene-8.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.28&CDS=1-1035	YBR125C
OG0002916	genemark-scaffold_5-processed-gene-8.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.29&CDS=1-1572	YKL116C
OG0002917	genemark-scaffold_5-processed-gene-8.30-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.30&CDS=1-1242	YNL248C
OG0002918	genemark-scaffold_5-processed-gene-8.8-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.8&CDS=1-531	YJR097W
OG0002919	genemark-scaffold_5-processed-gene-8.36-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.36&CDS=1-549	YBR122C
OG0002920	genemark-scaffold_5-processed-gene-8.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.37&CDS=1-1446	YBR126C
OG0002921	genemark-scaffold_5-processed-gene-8.38-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.38&CDS=1-2925	YLR071C
OG0002922	genemark-scaffold_5-processed-gene-8.10-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.10&CDS=1-1581	YKL100C
OG0002923	genemark-scaffold_5-processed-gene-8.15-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.15&CDS=1-888	YBR291C
OG0002924	genemark-scaffold_5-processed-gene-8.41-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.41&CDS=1-1011	YBL032W
OG0002925	genemark-scaffold_5-processed-gene-8.44-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.44&CDS=1-1986	YKL005C
OG0002926	genemark-scaffold_5-processed-gene-8.45-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.45&CDS=1-786	YKL007W
OG0002927	genemark-scaffold_5-processed-gene-8.46-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.46&CDS=1-1842	YFL041W
OG0002928	genemark-scaffold_5-processed-gene-8.48-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.48&CDS=1-4104	YLR189C
OG0002929	genemark-scaffold_5-processed-gene-8.17-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.17&CDS=1-3138	YOL063C
OG0002930	genemark-scaffold_5-processed-gene-8.19-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.19&CDS=1-1176	YHL004W
OG0002931	genemark-scaffold_5-processed-gene-8.22-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.22&CDS=1-4560	YHL007C
OG0002932	maker-scaffold_5-snap-gene-8.54-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.54&CDS=1-2505	YER019W
OG0002933	genemark-scaffold_6-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.29&CDS=1-3537	YIL030C
OG0002934	genemark-scaffold_6-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.8&CDS=1-3090	YIL026C
OG0002935	genemark-scaffold_6-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.9&CDS=1-1245	YDR255C
OG0002936	genemark-scaffold_6-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.30&CDS=1-960	YBR251W
OG0002937	genemark-scaffold_6-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.10&CDS=1-756	YMR069W
OG0002938	genemark-scaffold_6-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.11&CDS=1-519	YIL016W
OG0002939	genemark-scaffold_6-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.32&CDS=1-1392	YIR004W
OG0002940	genemark-scaffold_6-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.13&CDS=1-3510	YFR031C
OG0002941	genemark-scaffold_6-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.14&CDS=1-357	YPR166C
OG0002942	genemark-scaffold_6-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.15&CDS=1-903	YPR139C
OG0002943	genemark-scaffold_6-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.34&CDS=1-1056	YER016W
OG0002944	snap_masked-scaffold_6-processed-gene-0.86-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.86&CDS=1-1293	YER003C
OG0002945	genemark-scaffold_6-processed-gene-0.39-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.39&CDS=1-1800	YER049W
OG0002946	genemark-scaffold_6-processed-gene-0.40-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.40&CDS=1-651	YER002W
OG0002947	maker-scaffold_6-snap-gene-0.53-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.53&CDS=1-1371	YIL041W
OG0002948	genemark-scaffold_6-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.24&CDS=1-375	YER009W
OG0002949	genemark-scaffold_6-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.26&CDS=1-684	YDR482C
OG0002950	genemark-scaffold_6-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.44&CDS=1-3408	YCR092C
OG0002951	genemark-scaffold_6-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.45&CDS=1-387	YNR046W
OG0002952	snap_masked-scaffold_6-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.78&CDS=1-465	YCR090C
OG0002953	genemark-scaffold_6-processed-gene-0.47-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.47&CDS=1-1293	YKL216W
OG0002954	genemark-scaffold_6-processed-gene-1.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.7&CDS=1-1578	YER082C
OG0002955	genemark-scaffold_6-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.9&CDS=1-2817	YIL075C
OG0002956	genemark-scaffold_6-processed-gene-1.10-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.10&CDS=1-1401	YER081W
OG0002957	genemark-scaffold_6-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.27&CDS=1-1239	YGR210C
OG0002958	genemark-scaffold_6-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.11&CDS=1-1566	YDL178W
OG0002959	genemark-scaffold_6-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.12&CDS=1-1761	YKL025C
OG0002960	genemark-scaffold_6-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.14&CDS=1-414	YDR525W-A
OG0002961	genemark-scaffold_6-processed-gene-1.15-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.15&CDS=1-981	YJR019C
OG0002962	genemark-scaffold_6-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.31&CDS=1-876	YKL024C
OG0002963	snap_masked-scaffold_6-processed-gene-1.109-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.109&CDS=1-2610	YKL157W
OG0002964	genemark-scaffold_6-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.35&CDS=1-1020	YDR279W
OG0002965	genemark-scaffold_6-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.18&CDS=1-501	YJR017C
OG0002966	genemark-scaffold_6-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.20&CDS=1-1920	YPL093W
OG0002967	genemark-scaffold_6-processed-gene-1.38-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.38&CDS=1-1095	YPL050C
OG0002968	genemark-scaffold_6-processed-gene-1.39-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.39&CDS=1-2616	YFL024C
OG0002969	snap_masked-scaffold_6-processed-gene-1.100-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.100&CDS=1-1665	YPL086C
OG0002970	snap_masked-scaffold_6-processed-gene-1.101-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.101&CDS=1-6648	YPL085W
OG0002971	genemark-scaffold_6-processed-gene-1.40-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.40&CDS=1-786	YBR185C
OG0002972	genemark-scaffold_6-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.41&CDS=1-3336	YER013W
OG0002973	genemark-scaffold_6-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.24&CDS=1-582	YER012W
OG0002974	genemark-scaffold_6-processed-gene-1.42-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.42&CDS=1-1269	YIR008C
OG0002975	genemark-scaffold_6-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.25&CDS=1-711	YBR256C
OG0002976	genemark-scaffold_6-processed-gene-2.6-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.6&CDS=1-1275	YIR012W
OG0002977	genemark-scaffold_6-processed-gene-2.3-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.3&CDS=1-2391	YIR007W
OG0002978	genemark-scaffold_6-processed-gene-2.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.34&CDS=1-543	YDL046W
OG0002979	genemark-scaffold_6-processed-gene-2.35-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.35&CDS=1-1698	YER014W
OG0002980	genemark-scaffold_6-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.8&CDS=1-423	YIR009W
OG0002981	genemark-scaffold_6-processed-gene-2.10-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.10&CDS=1-1242	YDL020C
OG0002982	genemark-scaffold_6-processed-gene-2.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.12&CDS=1-1572	YCR098C
OG0002983	genemark-scaffold_6-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.14&CDS=1-1314	YBR162C
OG0002984	genemark-scaffold_6-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.16&CDS=1-1299	YBR004C
OG0002985	genemark-scaffold_6-processed-gene-2.37-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.37&CDS=1-945	YNR003C
OG0002986	genemark-scaffold_6-processed-gene-2.21-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.21&CDS=1-1206	YGR234W
OG0002987	genemark-scaffold_6-processed-gene-2.38-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.38&CDS=1-183	YBR162W-A
OG0002988	genemark-scaffold_6-processed-gene-2.26-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.26&CDS=1-663	YGR129W
OG0002989	genemark-scaffold_6-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.27&CDS=1-4077	YGR116W
OG0002990	genemark-scaffold_6-processed-gene-2.30-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.30&CDS=1-987	YPR147C
OG0002991	genemark-scaffold_6-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.31&CDS=1-891	YGR127W
OG0002992	maker-scaffold_6-snap-gene-3.127-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.127&CDS=1-3744	YKR056W
OG0002993	snap_masked-scaffold_6-processed-gene-3.47-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.47&CDS=1-1404	YIL039W
OG0002994	genemark-scaffold_6-processed-gene-3.5-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.5&CDS=1-1782	YNL048W
OG0002995	genemark-scaffold_6-processed-gene-3.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.7&CDS=1-2271	YER047C
OG0002996	genemark-scaffold_6-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.22&CDS=1-1212	YER048C
OG0002997	snap_masked-scaffold_6-processed-gene-3.51-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.51&CDS=1-243	YER048W-A
OG0002998	augustus_masked-scaffold_6-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.96&CDS=1-726	YPR124W
OG0002999	genemark-scaffold_6-processed-gene-3.30-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.30&CDS=1-2061	YPL104W
OG0003000	genemark-scaffold_6-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.10&CDS=1-438	YBR173C
OG0003001	genemark-scaffold_6-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.32&CDS=1-4107	YER008C
OG0003002	snap_masked-scaffold_6-processed-gene-3.74-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.74&CDS=1-570	YBR171W
OG0003003	genemark-scaffold_6-processed-gene-3.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.12&CDS=1-3432	YIR002C
OG0003004	genemark-scaffold_6-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.13&CDS=1-540	YER007C-A
OG0003005	genemark-scaffold_6-processed-gene-3.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.34&CDS=1-1623	YER007W
OG0003006	genemark-scaffold_6-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.35&CDS=1-1497	YER006W
OG0003007	genemark-scaffold_6-processed-gene-3.14-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.14&CDS=1-1017	YPR086W
OG0003008	genemark-scaffold_6-processed-gene-3.36-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.36&CDS=1-621	YFL046W
OG0003009	genemark-scaffold_6-processed-gene-3.37-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.37&CDS=1-1326	YPL083C
OG0003010	genemark-scaffold_6-processed-gene-3.15-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.15&CDS=1-495	YPL047W
OG0003011	genemark-scaffold_6-processed-gene-3.41-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.41&CDS=1-2376	YBR202W
OG0003012	genemark-scaffold_6-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.21&CDS=1-300	YPL046C
OG0003013	genemark-scaffold_6-processed-gene-4.1-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.1&CDS=1-1389	YIR027C
OG0003014	genemark-scaffold_6-processed-gene-4.3-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.3&CDS=1-1584	YDL143W
OG0003015	genemark-scaffold_6-processed-gene-4.5-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.5&CDS=1-1650	YPL030W
OG0003016	genemark-scaffold_6-processed-gene-4.21-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.21&CDS=1-1479	YPL260W
OG0003017	genemark-scaffold_6-processed-gene-4.22-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.22&CDS=1-1164	YOR008C
OG0003018	maker-scaffold_6-snap-gene-4.47-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.47&CDS=1-4281	YDL014W
OG0003019	genemark-scaffold_6-processed-gene-4.28-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.28&CDS=1-756	YGR232W
OG0003020	genemark-scaffold_6-processed-gene-4.8-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.8&CDS=1-2178	YPL043W
OG0003021	genemark-scaffold_6-processed-gene-4.29-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.29&CDS=1-2046	YDL141W
OG0003022	genemark-scaffold_6-processed-gene-4.9-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.9&CDS=1-906	YDL142C
OG0003023	genemark-scaffold_6-processed-gene-4.30-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.30&CDS=1-2715	YBR017C
OG0003024	genemark-scaffold_6-processed-gene-4.31-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.31&CDS=1-2919	YAR014C
OG0003025	genemark-scaffold_6-processed-gene-4.10-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.10&CDS=1-1479	YBR006W
OG0003026	genemark-scaffold_6-processed-gene-4.11-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.11&CDS=1-1623	YMR110C
OG0003027	genemark-scaffold_6-processed-gene-4.13-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.13&CDS=1-375	YNL149C
OG0003028	genemark-scaffold_6-processed-gene-4.14-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.14&CDS=1-333	YNL147W
OG0003029	genemark-scaffold_6-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.15&CDS=1-663	YHR128W
OG0003030	genemark-scaffold_6-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.36&CDS=1-759	YNL148C
OG0003031	snap_masked-scaffold_6-processed-gene-4.67-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.67&CDS=1-1776	YPR162C
OG0003032	genemark-scaffold_6-processed-gene-4.38-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.38&CDS=1-1719	YLR452C
OG0003033	genemark-scaffold_6-processed-gene-4.40-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.40&CDS=1-1578	YER025W
OG0003034	genemark-scaffold_6-processed-gene-4.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.18&CDS=1-1242	YJR124C
OG0003035	maker-scaffold_6-snap-gene-5.154-mRNA-1_1&gene=maker-scaffold_6-snap-gene-5.154&CDS=1-1515	YIL034C
OG0003036	genemark-scaffold_6-processed-gene-5.6-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.6&CDS=1-2109	YPR141C
OG0003037	genemark-scaffold_6-processed-gene-5.30-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.30&CDS=1-666	YNL056W
OG0003038	genemark-scaffold_6-processed-gene-5.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.7&CDS=1-669	YNL151C
OG0003039	genemark-scaffold_6-processed-gene-5.31-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.31&CDS=1-672	YIL118W
OG0003040	genemark-scaffold_6-processed-gene-5.32-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.32&CDS=1-744	YER010C
OG0003041	genemark-scaffold_6-processed-gene-5.33-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.33&CDS=1-600	YLR221C
OG0003042	augustus_masked-scaffold_6-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.130&CDS=1-1392	YDR254W
OG0003043	genemark-scaffold_6-processed-gene-5.11-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.11&CDS=1-912	YGR231C
OG0003044	genemark-scaffold_6-processed-gene-5.35-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.35&CDS=1-1428	YGR227W
OG0003045	genemark-scaffold_6-processed-gene-5.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.12&CDS=1-1554	YHR151C
OG0003046	augustus_masked-scaffold_6-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.132&CDS=1-4176	YGR225W
OG0003047	genemark-scaffold_6-processed-gene-5.15-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.15&CDS=1-756	YPL065W
OG0003048	genemark-scaffold_6-processed-gene-5.38-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.38&CDS=1-822	YFR052W
OG0003049	maker-scaffold_6-snap-gene-5.161-mRNA-1_1&gene=maker-scaffold_6-snap-gene-5.161&CDS=1-1332	YPL066W
OG0003050	snap_masked-scaffold_6-processed-gene-5.87-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.87&CDS=1-906	YIR011C
OG0003051	genemark-scaffold_6-processed-gene-5.19-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.19&CDS=1-1548	YIR010W
OG0003052	genemark-scaffold_6-processed-gene-5.42-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.42&CDS=1-1803	YBR255W
OG0003053	genemark-scaffold_6-processed-gene-5.20-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.20&CDS=1-423	YBR254C
OG0003054	genemark-scaffold_6-processed-gene-5.21-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.21&CDS=1-522	YOL129W
OG0003055	genemark-scaffold_6-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.43&CDS=1-1068	YOL127W
OG0003056	genemark-scaffold_6-processed-gene-5.22-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.22&CDS=1-1122	YNL307C
OG0003057	genemark-scaffold_6-processed-gene-5.45-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.45&CDS=1-873	YLR220W
OG0003058	genemark-scaffold_6-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.46&CDS=1-1614	YPR137W
OG0003059	genemark-scaffold_6-processed-gene-5.24-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.24&CDS=1-1902	YPR179C
OG0003060	genemark-scaffold_6-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.48&CDS=1-1062	YFR027W
OG0003061	genemark-scaffold_6-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.28&CDS=1-2607	YPL084W
OG0003062	genemark-scaffold_6-processed-gene-5.50-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.50&CDS=1-3309	YDL017W
OG0003063	genemark-scaffold_6-processed-gene-5.29-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.29&CDS=1-618	YDL018C
OG0003064	snap_masked-scaffold_6-processed-gene-6.96-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.96&CDS=1-1551	YGR119C
OG0003065	genemark-scaffold_6-processed-gene-6.1-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.1&CDS=1-1737	YPR161C
OG0003066	snap_masked-scaffold_6-processed-gene-6.97-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.97&CDS=1-912	YPL060W
OG0003067	snap_masked-scaffold_6-processed-gene-6.98-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.98&CDS=1-1977	YER005W
OG0003068	genemark-scaffold_6-processed-gene-6.23-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.23&CDS=1-1833	YPR190C
OG0003069	genemark-scaffold_6-processed-gene-6.24-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.24&CDS=1-4290	YPR189W
OG0003070	genemark-scaffold_6-processed-gene-6.25-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.25&CDS=1-474	YPR188C
OG0003071	augustus_masked-scaffold_6-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.50&CDS=1-1416	YDR004W
OG0003072	genemark-scaffold_6-processed-gene-6.6-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.6&CDS=1-840	YBR011C
OG0003073	genemark-scaffold_6-processed-gene-6.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.27&CDS=1-801	YDR007W
OG0003074	genemark-scaffold_6-processed-gene-6.28-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.28&CDS=1-582	YPR131C
OG0003075	genemark-scaffold_6-processed-gene-6.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.7&CDS=1-945	YPR129W
OG0003076	genemark-scaffold_6-processed-gene-6.8-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.8&CDS=1-939	YIL021W
OG0003077	genemark-scaffold_6-processed-gene-6.30-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.30&CDS=1-1350	YDL147W
OG0003078	genemark-scaffold_6-processed-gene-6.31-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.31&CDS=1-2688	YIL047C
