	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0002909	snap_masked-ipo_s63-processed-gene-0.37-mRNA-1_1&gene=snap_masked-ipo_s63-processed-gene-0.37&CDS=1-4365	YNL102W
OG0002910	maker-ipo_s63-snap-gene-0.39-mRNA-1_1&gene=maker-ipo_s63-snap-gene-0.39&CDS=1-828	YOR106W
OG0002911	augustus_masked-ipo_s63-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ipo_s63-processed-gene-0.6&CDS=1-2148	YJR040W
OG0002912	augustus_masked-ipo_s63-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ipo_s63-processed-gene-0.10&CDS=1-3837	YJR041C
OG0002913	snap_masked-ipo_s64-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s64-processed-gene-0.2&CDS=1-1377	YBR110W
OG0002914	maker-ipo_s64-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s64-snap-gene-0.0&CDS=1-3045	YOR346W
OG0002915	snap_masked-ipo_s64-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s64-processed-gene-0.3&CDS=1-453	YBR109C
OG0002916	genemark-ipo_s64-processed-gene-0.26-mRNA-1_1&gene=genemark-ipo_s64-processed-gene-0.26&CDS=1-10407	YDR150W
OG0002917	snap_masked-ipo_s64-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s64-processed-gene-0.5&CDS=1-828	YHR029C
OG0002918	snap_masked-ipo_s64-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s64-processed-gene-0.6&CDS=1-912	YDL124W
OG0002919	snap_masked-ipo_s65-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s65-processed-gene-0.4&CDS=1-744	YKL152C
OG0002920	snap_masked-ipo_s65-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s65-processed-gene-0.5&CDS=1-2289	YJL041W
OG0002921	snap_masked-ipo_s65-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s65-processed-gene-0.6&CDS=1-1020	YGL040C
OG0002922	snap_masked-ipo_s65-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s65-processed-gene-0.13&CDS=1-762	YMR077C
OG0002923	snap_masked-ipo_s65-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s65-processed-gene-0.7&CDS=1-1953	YGL116W
OG0002924	snap_masked-ipo_s66-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.33&CDS=1-1101	YAL036C
OG0002925	snap_masked-ipo_s66-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.26&CDS=1-3009	YAL035W
OG0002926	snap_masked-ipo_s66-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.28&CDS=1-924	YDL236W
OG0002927	snap_masked-ipo_s66-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.29&CDS=1-435	YDL235C
OG0002928	snap_masked-ipo_s66-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.34&CDS=1-1791	YNL219C
OG0002929	snap_masked-ipo_s66-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.35&CDS=1-1281	YNL220W
OG0002930	augustus_masked-ipo_s66-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ipo_s66-processed-gene-0.10&CDS=1-1077	YNL037C
OG0002931	snap_masked-ipo_s66-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.30&CDS=1-402	YIL098C
OG0002932	snap_masked-ipo_s66-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.31&CDS=1-459	YAL008W
OG0002933	snap_masked-ipo_s66-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ipo_s66-processed-gene-0.38&CDS=1-4893	YOR341W
OG0002934	snap_masked-ipo_s67-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.11&CDS=1-525	YLR370C
OG0002935	snap_masked-ipo_s67-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.5&CDS=1-729	YBR096W
OG0002936	maker-ipo_s67-augustus-gene-0.21-mRNA-1_1&gene=maker-ipo_s67-augustus-gene-0.21&CDS=1-9717	YDR457W
OG0002937	snap_masked-ipo_s67-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.6&CDS=1-264	YOR159C
OG0002938	maker-ipo_s67-snap-gene-0.53-mRNA-1_1&gene=maker-ipo_s67-snap-gene-0.53&CDS=1-2373	YPR066W
OG0002939	snap_masked-ipo_s67-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.16&CDS=1-1296	YGR110W
OG0002940	snap_masked-ipo_s67-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.10&CDS=1-1857	YMR058W
OG0002941	maker-ipo_s68-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s68-snap-gene-0.0&CDS=1-2037	YLL057C
OG0002942	snap_masked-ipo_s68-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.30&CDS=1-4116	YBL047C
OG0002943	snap_masked-ipo_s68-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.7&CDS=1-594	YHR089C
OG0002944	snap_masked-ipo_s68-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.31&CDS=1-1209	YDR336W
OG0002945	snap_masked-ipo_s68-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.10&CDS=1-5520	YKR031C
OG0002946	snap_masked-ipo_s68-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.11&CDS=1-645	YHR181W
OG0002947	snap_masked-ipo_s68-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.34&CDS=1-1380	YDL006W
OG0002948	snap_masked-ipo_s68-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.15&CDS=1-900	YKL094W
OG0002949	snap_masked-ipo_s68-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.17&CDS=1-2130	YDR081C
OG0002950	augustus_masked-ipo_s68-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-ipo_s68-processed-gene-0.100&CDS=1-294	YDR079W
OG0002951	snap_masked-ipo_s68-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.19&CDS=1-762	YDR084C
OG0002952	snap_masked-ipo_s68-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.36&CDS=1-3003	YDR080W
OG0002953	augustus_masked-ipo_s68-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-ipo_s68-processed-gene-0.102&CDS=1-3639	YDL101C
OG0002954	snap_masked-ipo_s68-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.24&CDS=1-1578	YJL014W
OG0002955	snap_masked-ipo_s70-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s70-processed-gene-0.0&CDS=1-2043	YJR053W
OG0002956	snap_masked-ipo_s70-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s70-processed-gene-0.1&CDS=1-1194	YML048W
OG0002957	snap_masked-ipo_s70-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s70-processed-gene-0.3&CDS=1-2301	YER091C
OG0002958	snap_masked-ipo_s70-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s70-processed-gene-0.4&CDS=1-1125	YBL058W
OG0002959	snap_masked-ipo_s71-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s71-processed-gene-0.10&CDS=1-993	YKL085W
OG0002960	snap_masked-ipo_s71-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s71-processed-gene-0.4&CDS=1-1872	YBR123C
OG0002961	snap_masked-ipo_s71-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s71-processed-gene-0.16&CDS=1-702	YOR232W
OG0002962	augustus_masked-ipo_s71-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ipo_s71-processed-gene-0.21&CDS=1-2958	YIL094C
OG0002963	snap_masked-ipo_s71-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s71-processed-gene-0.17&CDS=1-1437	YNL022C
OG0002964	snap_masked-ipo_s73-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.108&CDS=1-1350	YBR199W
OG0002965	snap_masked-ipo_s73-processed-gene-0.85-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.85&CDS=1-1989	YPL104W
OG0002966	snap_masked-ipo_s73-processed-gene-0.109-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.109&CDS=1-2130	YJL010C
OG0002967	snap_masked-ipo_s73-processed-gene-0.86-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.86&CDS=1-1368	YOR056C
OG0002968	snap_masked-ipo_s73-processed-gene-0.88-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.88&CDS=1-2079	YDR295C
OG0002969	snap_masked-ipo_s73-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.89&CDS=1-1767	YDR294C
OG0002970	augustus_masked-ipo_s73-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-0.49&CDS=1-2949	YOR058C
OG0002971	snap_masked-ipo_s73-processed-gene-0.111-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.111&CDS=1-1968	YGL099W
OG0002972	augustus_masked-ipo_s73-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-0.69&CDS=1-570	YPL218W
OG0002973	snap_masked-ipo_s73-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.113&CDS=1-1362	YHR176W
OG0002974	snap_masked-ipo_s73-processed-gene-0.93-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.93&CDS=1-1815	YER080W
OG0002975	snap_masked-ipo_s73-processed-gene-0.114-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.114&CDS=1-492	YBR254C
OG0002976	snap_masked-ipo_s73-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.116&CDS=1-2034	YBR255W
OG0002977	augustus_masked-ipo_s73-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-0.54&CDS=1-1404	YOL027C
OG0002978	maker-ipo_s73-augustus-gene-0.0-mRNA-1_1&gene=maker-ipo_s73-augustus-gene-0.0&CDS=1-1986	YPR018W
OG0002979	snap_masked-ipo_s73-processed-gene-0.99-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.99&CDS=1-2676	YER169W
OG0002980	snap_masked-ipo_s73-processed-gene-0.100-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.100&CDS=1-1857	YER173W
OG0002981	snap_masked-ipo_s73-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.101&CDS=1-3531	YDR216W
OG0002982	snap_masked-ipo_s73-processed-gene-0.121-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.121&CDS=1-483	YPR098C
OG0002983	snap_masked-ipo_s73-processed-gene-0.122-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.122&CDS=1-3612	YDR097C
OG0002984	snap_masked-ipo_s73-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.123&CDS=1-1596	YLR107W
OG0002985	snap_masked-ipo_s73-processed-gene-1.91-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.91&CDS=1-14904	YLR106C
OG0002986	maker-ipo_s73-augustus-gene-1.86-mRNA-1_1&gene=maker-ipo_s73-augustus-gene-1.86&CDS=1-6294	YDR127W
OG0002987	snap_masked-ipo_s73-processed-gene-1.112-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.112&CDS=1-2862	YDR524C
OG0002988	snap_masked-ipo_s73-processed-gene-1.94-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.94&CDS=1-1005	YDR460W
OG0002989	snap_masked-ipo_s73-processed-gene-1.95-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.95&CDS=1-540	YML036W
OG0002990	snap_masked-ipo_s73-processed-gene-1.96-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.96&CDS=1-1341	YDR527W
OG0002991	snap_masked-ipo_s73-processed-gene-1.117-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.117&CDS=1-237	YDR525W-A
OG0002992	snap_masked-ipo_s73-processed-gene-1.98-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.98&CDS=1-2532	YCL045C
OG0002993	snap_masked-ipo_s73-processed-gene-1.119-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.119&CDS=1-1632	YDR479C
OG0002994	snap_masked-ipo_s73-processed-gene-1.120-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.120&CDS=1-1401	YOR025W
OG0002995	snap_masked-ipo_s73-processed-gene-1.121-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.121&CDS=1-1764	YDR477W
OG0002996	snap_masked-ipo_s73-processed-gene-1.100-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.100&CDS=1-918	YDR374C
OG0002997	augustus_masked-ipo_s73-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-1.54&CDS=1-2169	YOR125C
OG0002998	snap_masked-ipo_s73-processed-gene-1.124-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.124&CDS=1-1929	YDL035C
OG0002999	snap_masked-ipo_s73-processed-gene-1.126-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.126&CDS=1-1128	YER027C
OG0003000	snap_masked-ipo_s73-processed-gene-1.103-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.103&CDS=1-1077	YFL026W
OG0003001	snap_masked-ipo_s73-processed-gene-1.104-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.104&CDS=1-831	YNL032W
OG0003002	snap_masked-ipo_s73-processed-gene-1.127-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.127&CDS=1-426	YIL087C
OG0003003	snap_masked-ipo_s73-processed-gene-1.130-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.130&CDS=1-1002	YIL084C
OG0003004	maker-ipo_s73-augustus-gene-1.85-mRNA-1_1&gene=maker-ipo_s73-augustus-gene-1.85&CDS=1-2445	YJL127C
OG0003005	augustus_masked-ipo_s73-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-1.82&CDS=1-6624	YJL130C
OG0003006	snap_masked-ipo_s73-processed-gene-1.108-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.108&CDS=1-2967	YKR050W
OG0003007	snap_masked-ipo_s73-processed-gene-1.109-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.109&CDS=1-855	YNL075W
OG0003008	snap_masked-ipo_s73-processed-gene-1.110-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.110&CDS=1-3855	YER093C
OG0003009	snap_masked-ipo_s73-processed-gene-2.0-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.0&CDS=1-759	YJL115W
OG0003010	maker-ipo_s73-snap-gene-2.36-mRNA-1_1&gene=maker-ipo_s73-snap-gene-2.36&CDS=1-1671	YBR287W
OG0003011	snap_masked-ipo_s73-processed-gene-2.4-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.4&CDS=1-984	YGR053C
OG0003012	snap_masked-ipo_s73-processed-gene-2.6-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.6&CDS=1-2445	YFL042C
OG0003013	snap_masked-ipo_s73-processed-gene-2.16-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.16&CDS=1-1197	YLR355C
OG0003014	snap_masked-ipo_s73-processed-gene-2.17-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.17&CDS=1-1500	YGR052W
OG0003015	snap_masked-ipo_s73-processed-gene-2.18-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.18&CDS=1-483	YIR037W
OG0003016	snap_masked-ipo_s73-processed-gene-2.20-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.20&CDS=1-639	YNL099C
OG0003017	snap_masked-ipo_s73-processed-gene-2.7-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.7&CDS=1-501	YOR103C
OG0003018	snap_masked-ipo_s73-processed-gene-2.21-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.21&CDS=1-741	YOR101W
OG0003019	snap_masked-ipo_s73-processed-gene-2.22-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.22&CDS=1-990	YNL097C
OG0003020	snap_masked-ipo_s73-processed-gene-2.24-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.24&CDS=1-2202	YJL168C
OG0003021	snap_masked-ipo_s73-processed-gene-2.10-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.10&CDS=1-1221	YOL016C
OG0003022	snap_masked-ipo_s73-processed-gene-2.11-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.11&CDS=1-1365	YLR231C
OG0003023	snap_masked-ipo_s73-processed-gene-2.29-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.29&CDS=1-1317	YGR254W
OG0003024	snap_masked-ipo_s73-processed-gene-2.12-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.12&CDS=1-408	YJR082C
OG0003025	snap_masked-ipo_s73-processed-gene-2.30-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.30&CDS=1-408	YDR462W
OG0003026	maker-ipo_s73-augustus-gene-2.38-mRNA-1_1&gene=maker-ipo_s73-augustus-gene-2.38&CDS=1-1689	YLR025W
OG0003027	snap_masked-ipo_s73-processed-gene-2.14-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.14&CDS=1-1347	YFL037W
OG0003028	snap_masked-ipo_s73-processed-gene-3.5-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.5&CDS=1-1590	YHR194W
OG0003029	augustus_masked-ipo_s73-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-3.46&CDS=1-1428	YKL194C
OG0003030	snap_masked-ipo_s73-processed-gene-3.22-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.22&CDS=1-1068	YLR418C
OG0003031	snap_masked-ipo_s73-processed-gene-3.10-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.10&CDS=1-822	YKL195W
OG0003032	snap_masked-ipo_s73-processed-gene-3.11-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.11&CDS=1-597	YKL196C
OG0003033	snap_masked-ipo_s73-processed-gene-3.24-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.24&CDS=1-1602	YOR359W
OG0003034	snap_masked-ipo_s73-processed-gene-3.25-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.25&CDS=1-1740	YOR360C
OG0003035	snap_masked-ipo_s73-processed-gene-3.28-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.28&CDS=1-4167	YBR115C
OG0003036	snap_masked-ipo_s73-processed-gene-3.30-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.30&CDS=1-2868	YBR114W
OG0003037	snap_masked-ipo_s73-processed-gene-3.32-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.32&CDS=1-711	YML025C
OG0003038	snap_masked-ipo_s73-processed-gene-3.33-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.33&CDS=1-1869	YGL203C
OG0003039	snap_masked-ipo_s73-processed-gene-3.34-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.34&CDS=1-2691	YPR160W
OG0003040	snap_masked-ipo_s73-processed-gene-3.14-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.14&CDS=1-1458	YMR044W
OG0003041	snap_masked-ipo_s73-processed-gene-3.19-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.19&CDS=1-5343	YFL033C
OG0003042	snap_masked-ipo_s73-processed-gene-3.35-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.35&CDS=1-882	YLR059C
OG0003043	snap_masked-ipo_s73-processed-gene-3.20-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.20&CDS=1-474	YLR050C
OG0003044	snap_masked-ipo_s75-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s75-processed-gene-0.13&CDS=1-1638	YBL020W
OG0003045	snap_masked-ipo_s75-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s75-processed-gene-0.2&CDS=1-750	YBL021C
OG0003046	augustus_masked-ipo_s75-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-ipo_s75-processed-gene-0.27&CDS=1-2163	YBL024W
OG0003047	snap_masked-ipo_s75-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s75-processed-gene-0.5&CDS=1-3318	YBL022C
OG0003048	snap_masked-ipo_s75-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s75-processed-gene-0.6&CDS=1-2595	YBL023C
OG0003049	snap_masked-ipo_s75-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ipo_s75-processed-gene-0.18&CDS=1-783	YLR285W
OG0003050	maker-ipo_s75-augustus-gene-0.24-mRNA-1_1&gene=maker-ipo_s75-augustus-gene-0.24&CDS=1-1653	YJR072C
OG0003051	snap_masked-ipo_s77-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.16&CDS=1-3249	YOL098C
OG0003052	snap_masked-ipo_s77-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.3&CDS=1-2352	YDL028C
OG0003053	maker-ipo_s77-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s77-snap-gene-0.0&CDS=1-1164	YDL029W
OG0003054	snap_masked-ipo_s77-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.18&CDS=1-1110	YJL125C
OG0003055	snap_masked-ipo_s77-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.4&CDS=1-549	YJL124C
OG0003056	snap_masked-ipo_s77-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.5&CDS=1-1203	YPR108W
OG0003057	snap_masked-ipo_s77-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.6&CDS=1-543	YEL012W
OG0003058	snap_masked-ipo_s77-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.8&CDS=1-1761	YJR001W
OG0003059	snap_masked-ipo_s77-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.22&CDS=1-3282	YLR071C
OG0003060	augustus_masked-ipo_s77-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-ipo_s77-processed-gene-0.94&CDS=1-1662	YKL116C
OG0003061	snap_masked-ipo_s77-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.24&CDS=1-1809	YOL070C
OG0003062	augustus_masked-ipo_s77-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-ipo_s77-processed-gene-0.82&CDS=1-2265	YDR257C
OG0003063	snap_masked-ipo_s77-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.26&CDS=1-279	YDL045W-A
OG0003064	snap_masked-ipo_s77-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.28&CDS=1-891	YNL289W
OG0003065	snap_masked-ipo_s77-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.12&CDS=1-3663	YNL273W
OG0003066	snap_masked-ipo_s77-processed-gene-0.31-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.31&CDS=1-1473	YEL064C
OG0003067	snap_masked-ipo_s77-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.32&CDS=1-1614	YLR253W
OG0003068	genemark-ipo_s77-processed-gene-0.69-mRNA-1_1&gene=genemark-ipo_s77-processed-gene-0.69&CDS=1-1545	YPL091W
OG0003069	snap_masked-ipo_s78-processed-gene-0.52-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.52&CDS=1-1857	YKR099W
OG0003070	snap_masked-ipo_s78-processed-gene-0.73-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.73&CDS=1-711	YOR077W
OG0003071	snap_masked-ipo_s78-processed-gene-0.74-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.74&CDS=1-1011	YKR087C
OG0003072	snap_masked-ipo_s78-processed-gene-0.76-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.76&CDS=1-537	YIL157C
OG0003073	snap_masked-ipo_s78-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.55&CDS=1-471	YAL059W
OG0003074	snap_masked-ipo_s78-processed-gene-0.56-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.56&CDS=1-1782	YAL058W
OG0003075	snap_masked-ipo_s78-processed-gene-0.61-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.61&CDS=1-1539	YKL217W
OG0003076	snap_masked-ipo_s78-processed-gene-0.63-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.63&CDS=1-234	YDR379C-A
OG0003077	snap_masked-ipo_s78-processed-gene-0.80-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.80&CDS=1-1374	YEL036C
OG0003078	snap_masked-ipo_s78-processed-gene-0.65-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.65&CDS=1-3513	YFR031C
OG0003079	snap_masked-ipo_s78-processed-gene-0.81-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.81&CDS=1-1407	YLR324W
OG0003080	snap_masked-ipo_s78-processed-gene-0.66-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.66&CDS=1-1005	YGR006W
OG0003081	snap_masked-ipo_s78-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.67&CDS=1-234	YLR325C
OG0003082	snap_masked-ipo_s78-processed-gene-0.83-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.83&CDS=1-1116	YGR005C
OG0003083	snap_masked-ipo_s78-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.69&CDS=1-1557	YGL017W
OG0003084	snap_masked-ipo_s78-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.71&CDS=1-396	YGL191W
OG0003085	augustus_masked-ipo_s8-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ipo_s8-processed-gene-0.8&CDS=1-1254	YPL248C
OG0003086	snap_masked-ipo_s8-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.67&CDS=1-4464	YMR190C
